COGID	dutch	english	french	german
2199-2		k ɑː f		
2197-2		ʃ iː p		
1523-2		s əʊ		
512-2		m ɑː r eɪ		
2141-2		h ɛ n		
2147-2		ɡ uː s		
814-2		k r əʊ		
810-2		d ʌ v		
1758-2		m aʊ z		
1760-2		r æ t		
1620-2		f ɪ n		
1282-2		w eɪ l		
1136-2		f ɔ k s		
1309-2		l aʊ s		
1307-2		n ɪ t		
1305-2		f l iː		
711-2		w ɔ s p		
1442-2		f l aɪ		
62-2		m ɪ dʒ		
-73-2		m ə s k iː t əʊ		
1810-2		h aɪ d		
1805-2		f l ɛ ʃ		
1813-2		h ɛ ə r		
1811-2		b l ʌ d		
690-2		r ɪ b		
2177-2		h ɛ d		
246-2		aɪ + b r aʊ		
1469-3			s ɑ b l	
2047-3			s ɔ l ɛ j	
2054-3			t ɔ n ɛ ʀ	
1375-3			l y m j ɛ ʀ	
760-3			v ɑ̃	
756-3			n ɛ ʒ	
726-3			m ɛ ʀ	
1351-3			ɡ ʀ ɑ̃ + p ɛ ʀ	
1353-3			ɡ ʀ ɑ̃ + m ɛ ʀ	
412-3			b o + p ɛ ʀ	
406-3			b ɛ l + m ɛ ʀ	
1005-3			b o + p ɛ ʀ	
1012-3			b ɛ l + m ɛ ʀ	
1016-3			v œ f	
1069-3			ʒ ə	
509-3			p u l ɛ̃	
693-3			m y l ɛ	
2179-3			n i	
1753-3			p w a s ɔ̃	
1131-3			l u	
1198-3			b a ʀ b	
2032-3			k ɔ ʁ n	
2241-3			n ɛ	
2244-3			l ɛ v ʀ	
610-3			ʒ ə n u	
945-3			k œ ʀ	
1534-3			l e ʃ e	
384-3			s y s e	
1650-3			n w a	
1663-3			s ɛ l	
2279-3			l ɛ̃	
471-3			s ə m e	
1385-3			s ə m ɑ̃ s	
792-3			ʒ u	
1111-3			m ɑ	
197-3			s y d	
2020-3			l ɔ̃	
867-3			s ɑ̃	
1970-3			p l ɛ̃	
1230-3			t ʀ w a z j ɛ m	
2017-3			n u v o	
2183-3			t ɔ ʀ o	
1521-3			b u k	
1755-3			ʃ j ɛ̃	
1760-3			ʀ a	
1469-4				z a n t
2047-4				z ɔ n ə
2054-4				d ɔ n ə r
1375-4				l ɪ x t
760-4				v ɪ n t
756-4				ʃ n eː
726-4				m ʊ t ə r
1351-4				ɡ r oː s + f aː t ə r
1353-4				ɡ r oː s + m ʊ t ə r
412-4				ʃ v iː ɡ ə r + f aː t ə r
406-4				ʃ v iː ɡ ə r + m ʊ t ə r
1005-4				ʃ t iː f + f aː t ə r
1012-4				ʃ t iː f + m ʊ t ə r
1016-4				v ɪ t v ə r
1069-4				ɪ x
509-4				f ʏ l ə n
693-4				m au l + t iː r
2179-4				n ɛ s t
1753-4				f ɪ ʃ
1131-4				v ɔ l f
1198-4				b aː r t
2032-4				h ɔ r n
2241-4				n aː z ə
2244-4				l ɪ p ə
610-4				k n iː
945-4				h ɛ r ts
1534-4				l ɛ k ə n
384-4				z au ɡ ə n
1650-4				n ʊ s
1663-4				z a l ts
2279-4				l ai n ə n
471-4				z æː ə n
1385-4				z aː t
792-4				j ɔ x
1111-4				m a s t
197-4				z yː d ə n
2020-4				l a ŋ
867-4				h ʊ n d ə r t
1970-4				f ɔ l
1230-4				d r ɪ t ə
2017-4				n ɔy
968-4				v ɛ l t
1674-4				l a n t
1671-4				h yː ɡ ə l
829-4				k l ɪ p ə
1025-4				v a s ə r
1027-4				z eː
1832-4				r au
-1816-4				oː ts eː aː n
-335-4				l a ɡ uː n ə
1043-4				ʃ t r oː m
423-4				ʃ t ai n
2049-4				m oː n t
2062-4				ʃ t ʊ r m
2065-4				r eː ɡ ə n + b oː ɡ ə n
1368-4				ʃ a t ə n
1365-4				t au
754-4				r eː ɡ ə n
768-4				v ɛ t ə r
1211-4				f ɔy ə r
106-4				m a n
-98-4				b eː b iː
719-4				f aː t ə r
1341-4				z oː n
-2027-4				t a n t ə
-2026-4				n ɛ f ə
409-4				ʃ v iː ɡ ə r + z oː n
402-4				ʃ v iː ɡ ə r + t ɔ x t ə r
1014-4				ʃ t iː f + t ɔ x t ə r
1059-4				v iː r
120-4				ʃ t a l
2183-4				ʃ t iː r
2194-4				ɔ k s ə
2199-4				k a l p
2197-4				ʃ aː f
1523-4				z au
1521-4				b ɔ k
512-4				m ɛː r ə
2141-4				h uː n
2147-4				ɡ a n s
814-4				k r ɛː ə
810-4				t au b ə
1755-4				h ʊ n t
1758-4				m au s
1620-4				f ɪ n ə
1282-4				v aː l
1136-4				f ʊ k s
1309-4				l au s
1307-4				n ɪ s ə
1305-4				f l oː
711-4				v ɛ s p ə
1442-4				f l iː ɡ ə
62-4				m ʏ k ə
-73-4				m ɔ s k iː t oː
1810-4				h au t
1805-4				f l ai ʃ
1813-4				h aː r
1811-4				b l uː t
690-4				r ɪ p ə
2177-4				h au p t
246-4				au ɡ ə n + b r au ə
