COGID	dutch	english	french	german
810-1	d ɔ r v ə			
1755-1	h ɔ n t			
1758-1	m oː t			
1760-1	k l ɛɪ t			
1620-1	f ɛɪ n			
1282-1	w aː l			
1136-1	v ɪ k s			
1309-1	l oː t			
1307-1	n ɛɪ t			
1305-1	v l oː			
711-1	w ɛ s p ə			
1442-1	v l eː ɣ ə			
62-1	m ʉ k ə			
-73-1	m ə s k iː t aː n			
1810-1	h ɑu w t			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l ɔ d ə r			
690-1	r ʉ p ə			
2177-1	h ɛɪ d ə			
246-1	oː ɣ ə + b r ɑu w ə			
249-1	ɛɪ + l ɛɪ d ə			
1506-1	n ɔ s t r iː l			
2242-1	m ʉ n t			
2245-1	t ɪ ŋ ə			
1196-1	n ɑ k ə			
2174-1	s x ʉ l t ə r			
575-1	ɑ k t ə l t + h oː l ə			
603-1	ɛ l ə + b oː ɣ ə			
601-1	h ɑ n t			
615-1	v ɪ ŋ ə r			
901-1	k l uː			
608-1	v uː s			
596-1	t aː n			
937-1	b ɔ r s t			
936-1	n aː v ə l			
646-1	l ɪ ŋ ə			
947-1	l iː v iː r			
1606-1	h iː p			
472-1	n iː r + z ə			
1535-1	z w ɛɪ t			
1546-1	s p ɪ k ə			
1959-1	s l aː v ə			
694-1	s n uː r			
1961-1	d r œy m ə			
323-1	l ɛɪ v ə			
1885-1	x r ɛ r v ə			
2156-1	k aː n l d ə			
1903-1	w ɔ n d ə			
525-1	z w ɑ l ɪ ŋ			
276-1	l aː m			
274-1	d oː p			
278-1	b l ɪ n t			
258-1	b ə + d r ɪ ŋ k ə			
256-1	n ɑ k t			
383-1	iː t			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k ə			
2009-1	uː v ə			
2003-1	k eː t ə l			
2024-1	p ɑ n			
1321-1	k oː p			
1976-1	v ɑ ŋ ə			
1243-1	m iː l			
1265-1	p iː l			
1261-1	z iː r v ə			
655-1	b r oː t			
650-1	v ə r + d eː k			
1532-1	k n eː d ə			
-36-1	v ə r + z ɔ p ə			
34-1	b oː n ə			
-1647-1	v eː ɣ ə			
-1615-1	ɔ iː l			
125-1	v eː d ə			
1659-1	h ɔ n ɪ x			
1661-1	m ɪ l k			
1676-1	b uː d ə r			
480-1	x ə + d r ɛ ŋ k			
1466-1	k l ɛɪ d ɪ ŋ			
2277-1	w ɔ l ə			
2271-1	v eː l t			
2293-1	l eː d ə r			
624-1	s p ɪ n ə			
628-1	s p ɪ n d ə l			
626-1	w iː r v ə			
633-1	n aː d ə l			
1185-1	s uː s t ə r			
1179-1	h uː t			
2168-1	k oː m			
1952-1	d oː r			
899-1	l ɛɪ d ə r			
922-1	b eː d ə			
-934-1	l ɑ m p			
916-1	d r oː k			
1726-1	v eː l t			
2108-1	p l øː ɣ ə			
1133-1	v ɔ r aː n			
2114-1	s p aː d ə			
1272-1	r ɛɪ			
1979-1	x r aː t			
1989-1	h œy			
-2260-1	p l ɑ n t ə			
70-1	b uː k ə			
-89-1	v ɛɪ n			
-12-1	p ɛɪ p			
713-1	z ɑ p			
747-1	n eː t ə l			
308-1	t uː n			
289-1	b ɪ n d ə			
1930-1	b r eː k ə			
1928-1	s p ɑ l t ə			
858-1	s t r eː k ə			
1577-1	h ɛ ŋ			
908-1	w ɑ s ə			
648-1	b uː r ə			
1855-1	h ɔ l aː x			
657-1	h aː m ə r			
2058-1	n aː ɣ ə l			
949-1	s m eː d ə			
1642-1	x aː n l d ə			
1640-1	z iː l v iː r			
1633-1	ɛɪ r ə n			
1630-1	t ɛɪ n			
993-1	x l ɑ t			
-2121-1	r ɔ l ə			
1692-1	v ɑ l ə			
1694-1	d r ɔ p ə			
1062-1	z iː ŋ k			
476-1	z w ɪ m ə			
1051-1	v l eː ɣ ə			
1075-1	b l aː x			
135-1	z l ɛɪ d ə			
-134-1	d ɑ n t ə			
1839-1	x aː n œy t +			
1097-1	k oː m + b ɑ k			
1777-1	v ɔ l aː x			
1434-1	b r ɪ ŋ ə			
1417-1	l ɛɪ t ə			
1424-1	r ɛɪ d ə			
778-1	p aː t			
790-1	b r ɔ k ə			
1223-1	p ɑ d ə l			
1117-1	v ə r + z aː ɣ ə l			
1411-1	h aː v ə			
1407-1	h ɑ l t ə			
1390-1	d ɪ ŋ			
2086-1	x iː r v ə			
2082-1	x iː v + b ɑ k			
576-1	z iː k			
579-1	v ɪ n d ə			
581-1	v ə r + l iː r ə			
-1791-1	r ɛɪ k			
-225-1	p r ɛɪ s			
-2284-1	p l ɑ t			
1479-1	aː n p ə n			
847-1	h oː k			
659-1	b oː d ə			
860-1	m ɪ d ə			
213-1	r ɛ x t			
1286-1	v ə r ə			
1293-1	w ɛ s t ə			
474-1	d ɪ k			
467-1	d iː n			
1177-1	d iː p			
588-1	v l ɑ k			
584-1	h aː k ə			
-1153-1	r ʉ n t			
700-1	t w ɛ r v ə l			
875-1	t ɑu w ə r + z ɔ n t			
1559-1	ɑ l ə			
1565-1	m aː r			
1968-1	h ɑ l f t ə			
-350-1	p aː r			
1478-1	b oː d ə			
1469-2		s æ n t		
2047-2		s ʌ n		
2054-2		d ɔ n d ə r		
1375-2		l aɪ ɡ t		
760-2		f aɪ m		
756-2		s n ə r w		
726-2		m aʊ d ə r		
1351-2		ɡ r ɔ t + f eɪ d ə r		
1353-2		ɡ r ɔ t + m aʊ d ə r		
412-2		s ɡ ʌ n + f eɪ d ə r		
406-2		s ɡ ʌ n + m aʊ d ə r		
1005-2		s t ɪ + f eɪ d ə r		
1012-2		s t ɪ f + m aʊ d ə r		
1016-2		f œ f		
1069-2		aɪ k		
509-2		f ʏ l		
693-2		m aʊ l + ɛ s l̩		
2179-2		n æ s t		
1753-2		f iː ʃ		
1131-2		w ɔ l f		
1198-2		b eɪ r t		
2032-2		h ʌ r n		
2241-2		n ɪ s ə r		
2244-2		l aɪ p		
610-2		k n ɪ		
945-2		h æ r t		
1534-2		l eɪ k n		
384-2		s iː ɡ ə r n		
1650-2		n ɔ t		
1663-2		s ɑu t		
2279-2		l aɪ n ə		
471-2		s eɪ ə		
1385-2		s eɪ t		
792-2		u ʒ		
1111-2		m æ s t		
197-2		s aʊ d		
2020-2		l æ ŋ		
867-2		aɪ m eɪ		
1970-2		f ɔː l		
1230-2		d ɜː d		
2017-2		n ɪ w		
968-2		w ɛ r l̩ t		
1674-2		l æ n t		
1671-2		h øː v ə l		
829-2		k l aɪ f		
1025-2		w eɪ t ə r		
1027-2		s ə r		
1832-2		r iː		
-1816-2		ɔ s ɛ j eɪ n		
-335-2		l əʊ ɡ uː n ə r		
1043-2		s t r ɔ m		
423-2		s t ɛ n		
2049-2		m eɪ n		
2062-2		s t ɔ r m		
2065-2		r ɛ ɣ ə m + b ɔ ɡ		
1368-2		s əʊ d		
1365-2		d æ r əʊ		
754-2		r ɛ ɣ ə		
768-2		w ɛ r		
1211-2		f yː r		
106-2		m æ n		
-98-2		b ɛ b ɪ		
719-2		f ɪ d r		
1341-2		s ʌ n		
-2027-2		t æ n t ə		
-2026-2		n eɪ p		
409-2		s ɡ ʌ n + s ʌ n		
402-2		s ɡ ʌ n + d ɔ ɡ t ə r		
1014-2		s t ɪ v + d ɔ ɡ t ə r		
1059-2		w aɪ		
120-2		s t æ l		
2194-2		əʊ s		
2199-2		k æ l f		
2197-2		s ɡ r eɪ p		
1523-2		s iː		
512-2		m ɛ r ɪ		
2141-2		h ɛ n		
2147-2		ɡ r æ n s		
814-2		k r eɪ		
810-2		d aʊ f		
1758-2		m aʊ s		
1760-2		r æ t		
1620-2		f aɪ n		
1282-2		w æ l f aɪ s		
1136-2		f əʊ s		
1309-2		l aʊ s		
1307-2		n ə r t		
1305-2		f l aɪ		
711-2		w ɛ s p		
1442-2		f l ɪ ɡ		
62-2		m ʏ k		
-73-2		m ʉ s k ɪ t		
1810-2		h aʊ t		
1805-2		f l iː ʃ		
1813-2		h eɪ r		
1811-2		b l ɔː t		
690-2		r iː f ə r		
2177-2		h ɔ f t		
246-2		w æ ŋ ɡ + b r æ r əʊ		
249-2		ɔ ɣ + l aɪ t		
1506-2		n ɪ ə r s n + l ʌ x		
2242-2		m ʌ n t		
2245-2		t ɔ ŋ		
2174-2		s ʊ l d r		
603-2		æ l ə + b ɔ ɡ		
601-2		h æ n t		
615-2		f aɪ ŋ ə r		
901-2		k l æ r əʊ		
608-2		f ɔː t		
596-2		t ɛ n		
937-2		b ɔː s t		
936-2		n eɪ v ə l		
646-2		l ɔ ŋ		
947-2		l ɛ v ə r		
1606-2		h øː p		
472-2		n ɪ s ə		
1535-2		s w ɛ t ə		
1546-2		s f ʊ k n		
1959-2		s l eɪ p ə		
694-2		s n əʊ ɑː k		
1961-2		d r ɔ m		
323-2		l ɛ v ə		
1885-2		ɡ r æ f		
2156-2		v ə r + k ɑu t + h aɪ d		
1903-2		w ɔ n t		
525-2		s w ɛ l aɪ ŋ		
276-2		l æ m		
274-2		d ɔ f		
278-2		b l aɪ n t		
258-2		d r ɔ ŋ k ə		
256-2		n eɪ k t		
383-2		t ə ə r		
207-2		r iː f		
376-2		θ aɪ ŋ k ə r		
2014-2		r uː t aɪ		
2009-2		aɪ p		
2003-2		k ɛ t l̩		
2024-2		p æ n		
1321-2		k ɔ p		
1976-2		t æ ŋ		
1243-2		m eɪ l + t aɪ d		
1265-2		p ɛ l ə		
1261-2		s ɛ v ə		
655-2		b r ɔ t		
650-2		ɡ r d ə r		
1532-2		k n ɛ d		
-36-2		s aʊ p		
34-2		b ʌ n		
-1647-2		f ɪ ɡ		
-1615-2		ɔ l ɪ		
125-2		v æ t		
1659-2		h ʌ n aɪ ŋ		
1661-2		m ɛ l k		
1676-2		b ɔ t ə r		
480-2		d r æ ŋ k		
1466-2		k l ɛ d aɪ ŋ		
2277-2		w ɔ l		
2271-2		f aɪ l t		
2293-2		l ɛ r		
624-2		s p aɪ n ə		
628-2		s p aɪ n d l		
626-2		w ɛ v ə		
633-2		n eɪ l t		
1185-2		s ɡ aʊ n + m eɪ k ə r		
1179-2		h aʊ t		
2168-2		k æ m		
1952-2		d øː r		
899-2		l æ d ə r		
922-2		b ɛ t		
-934-2		l æ m p		
916-2		t r ɔ ɡ		
1726-2		v æ l t		
2108-2		p l ɔː ɣ ə		
1133-2		f ɔ r ə		
2114-2		s p eɪ d		
1272-2		r ʌ ɡ ə r n		
1979-2		ɡ r æ s		
1989-2		ɔy h		
-2260-2		p l æ n t ə		
70-2		b øː k		
-89-2		w aɪ ŋ ə r t		
-12-2		p aɪ p		
713-2		s æ p		
747-2		n ə r t l̩		
308-2		d ɔː n		
289-2		b aɪ n d		
1930-2		b r ɛ k ə		
1928-2		s f əʊ l d		
858-2		+ aʊ t ɛ k ə r		
1577-2		ɔ p + h æ ŋ ə		
908-2		w æ s ə		
648-2		b ɔ r ə		
1855-2		+ aʊ t h ɔ l ə		
657-2		h eɪ m ə r		
2058-2		n ɪ ə r l ɡ		
949-2		s m aɪ t		
1642-2		ɡ ɑu t		
1640-2		s aɪ l v ə r		
1633-2		aɪ s ə r		
1630-2		t aɪ n		
993-2		ɡ l æ s		
-2121-2		r ɔ l ə		
1692-2		f əʊ l		
1694-2		d r ʉ p ə l ə		
1062-2		s aɪ ŋ k ə		
476-2		s w ɑː m		
1051-2		f l ɪ ɡ ə r n		
1075-2		b l eɪ s ə		
135-2		ɡ l aɪ d		
-134-2		d æ n s ə		
1839-2		w ɛ + ɣ eɪ n		
1097-2		t ə r ʉ ɡ + k ɔ m		
1777-2		f ʌ l ɡ ə r n		
1434-2		b r æ ŋ ə		
1417-2		l aɪ d		
1424-2		r ɛ d		
778-2		p æ t		
790-2		b r ʉ ɡ		
1223-2		p ɛ d l		
1117-2		s ɪ l		
1411-2		h ɛ b ə		
1407-2		h əʊ l d		
1390-2		θ aɪ ŋ		
2086-2		ɡ r ɛ v ə		
2082-2		t ə r ʉ + ɣ ɛ v ə		
576-2		s ɔː k ə		
579-2		f aɪ n d		
581-2		v ə r + l ɪ s ə		
-1791-2		r ɪ k		
-225-2		p r ɛ s		
-2284-2		p l eɪ k		
1479-2		ɔ p ə n ə		
847-2		h ɔ ɡ		
659-2		b ʌ d m		
860-2		m aɪ d		
213-2		r ɛ ɡ k		
1286-2		v æ r		
1293-2		w ɛ s t ə		
474-2		θ aɪ k		
467-2		d ʉ n		
1177-2		d ɪ p		
584-2		h eɪ k		
-1153-2		r ɔ n t		
700-2		t w eɪ l f		
875-2		d aʊ s ə n t		
1559-2		əʊ l ə r		
1565-2		m ɛ r		
1968-2		h ɛ l f t		
-350-2		p eɪ r		
1469-3			ʀ ɛ æ n d	
2047-3			ʀ ɛ ʌ n	
2054-3			d ɔ n p r	
1375-3			l i ʀ t	
760-3			w ə n d	
756-3			ʃ n ɛ ʀ	
726-3			m ʌ ð ə ʀ	
1351-3			r x oː t + f aː d ə r	
1353-3			r x oː t + m uː d ə r	
412-3			f ɑː ð ə ʀ + ə n + l ɔː	
406-3			s x n oː + m uː d ə r	
1005-3			ʀ ɛ t ɛ p + f ɑː ð ə ʀ	
1012-3			ʀ ɛ t ɛ p + m ʌ ð ə ʀ	
1016-3			w ə d əʊ ə ʀ	
1069-3			i ʀ	
509-3			f əʊ l	
693-3			m j ɔ l	
2179-3			n ɛ ʀ ɛ t	
1753-3			f ə ʃ	
1131-3			w ʊ l f	
1198-3			b ə ə d	
2032-3			h ɔː n	
2241-3			n øː s	
2244-3			l ə p	
610-3			iː n	
945-3			h ɑː t	
1534-3			l ə k	
384-3			ʀ ɛ ʌ k	
1650-3			n ʌ t	
1663-3			ʀ ɛ ɔː l t	
2279-3			l ə n ə n	
471-3			əʊ ʀ ɛ	
1385-3			ʀ ɛ iː d	
792-3			e k b l	
1111-3			m ɑː ʀ ɛ t	
197-3			ʀ ɛ aʊ θ	
2020-3			t ɑ ŋ	
867-3			h ʌ n d ʀ ə d	
1970-3			f ʊ l	
1230-3			θ ɜː d	
2017-3			ɔy n	
2183-3			s t a r	
1521-3			b ɔ k	
1755-3			h ɔ n t	
1760-3			ʀ æ t	
1196-3			n ɛ k	
575-3			ɔ k s ə t	
2014-3			ʀ ɔː ʀ ɛ t	
1321-3			k ʌ p	
1265-3			p iː l	
588-3			v t ɑ k	
1469-4				z a n t
2047-4				z ʊ n ə n
2054-4				d ʊ n d ə r
1375-4				l ɪ x t ə
760-4				v ɪ n t
756-4				ʃ n ai v
726-4				m ʊ t ə r
1351-4				ɡ r oː t + f aː d ə r
1353-4				k r ɔ t + m ʊ t ə r
412-4				ʃ oː n + f aː d ə r
406-4				ʃ oː n + m ʊ t ə r
1005-4				ʃ t iː + f aː d ə r
1012-4				ʃ t ai b ə + m ʊ t ə r
1016-4				v ai t ɔy ə v n + ə r
1069-4				ai
509-4				f a l
693-4				m ɔy l + ɛ z ə l
2179-4				n ɛ s t
1753-4				b ɪ ts ə
1131-4				v ɔ l f t
1198-4				b eː r t
2032-4				h ɔ r n
2241-4				n ʊ s
2244-4				l iː ə f ə n
610-4				k n iː
945-4				h a r t
1534-4				l ʊ k ə n
384-4				z ɔy ɡ ə n
1650-4				n oː t
1663-4				ʃ ɔ l ts
2279-4				l ʊ n ə n
471-4				z eː ə n
1385-4				z ai t ə n
792-4				j ʊ k ə n
1111-4				m a s t
197-4				z ɔy d ə n
2020-4				l a ŋ ə
867-4				ts
1970-4				b ə l
1230-4				d ɛ r d ə n
2017-4				n iː v
968-4				v ɛ r ə l t
1674-4				l a n t
1671-4				h iː ə l
829-4				k l ɪ f t
1025-4				v aː t ə r
1027-4				z ai
1832-4				r ɔ f
-1816-4				au s ɛ x ə n
-335-4				l aː ɡ ɔy ə n
1043-4				ʃ t r au m
423-4				ʃ t ai n
2049-4				m aː ɡ ə n
2062-4				ʃ t ɔ r m
2065-4				r iː ɡ ə n m + b oː ɡ ə n
1368-4				ʃ aː t ɔy ə v
1365-4				t au
754-4				r iː ɡ ə n
768-4				v ɛ r
1211-4				b ɔy ə r
106-4				m a n
-98-4				b ai b iː
719-4				f aː d ə r
1341-4				z oː n
-2027-4				t a n t ə n
-2026-4				n eː f t
409-4				ʃ oː n + z oː n
402-4				ʃ oː n + d ʊ x t ə r
1014-4				ʃ t iː f + d ʊ x t ə r
1059-4				v iː
120-4				ʃ t ɛ l
2183-4				ʃ t iː r
2194-4				ɔ s
2199-4				k a l b ə
2197-4				ʃ au f ə n
1523-4				z a
1521-4				b ʏ k ə n
512-4				m ɛ r iː
2141-4				h ɛ n + x ə n
2147-4				ɡ a n s
814-4				k r ai
810-4				t ɔy f t
1755-4				h ʊ n t
1758-4				m ɔy s
1620-4				f iː ə n
1282-4				v a l b ɪ ts ə
1136-4				f ɔ s
1309-4				l ɔy s
1307-4				n ai t
1305-4				f l au
711-4				v ɛ ʃ p
1442-4				f l iː ɡ ə n
62-4				m ʏ k ə n
-73-4				m ʏ s k iː t
1810-4				h ai t ə n
1805-4				f l ai ʃ
1813-4				h eː r
1811-4				b l oː t
690-4				r ɪ f
2177-4				h oː f t
246-4				v ɛ ŋ ɡ + b r au
249-4				oː ɡ + l ɪ ts
1506-4				n ʊ s + f l yː ɡ ə l
2242-4				m ʊ n t
2245-4				t ʊ ŋ
1196-4				n ɛ k ə n
2174-4				ʃ a l t ə n ə
575-4				ʊ k s ə l
603-4				ɛ l ə + b oː ɡ ə n
601-4				h a n t
615-4				b ɪ ŋ ə r
901-4				k l au
608-4				f oː t
596-4				t ai n
937-4				b r ʊ s t
936-4				n aː f ə l
646-4				l ʊ ŋ
947-4				l ai f ə r
1606-4				h aː f ə n
472-4				n iː z ə n
1535-4				ʃ v ai t ə n
1546-4				ʃ p ɔy ə ɡ ə n
1959-4				ʃ l aː f ə n
694-4				ʃ n ʏ r k ə n
1961-4				d r au m ə n
323-4				l ai b ə n
1885-4				ɡ r a f t
2156-4				k ə a l t ə n
1903-4				v ʊ n t
525-4				ʃ v ɛ l ɪ ŋ
276-4				l a m
274-4				t ɔ f
278-4				b l ɪ n t
258-4				d r ʊ ŋ k ə n
256-4				n ɛ x ə n aː t ə n
383-4				ɛ s ə n
207-4				r ai f ə n
376-4				d r ɪ ŋ k ə n
2014-4				r ɔː ai t
2009-4				oː f ə n
2003-4				k ɛ s ə l
2024-4				p a n
1976-4				t a ŋ ə
1243-4				m aː l + t ai t
1261-4				z iː f ə n
655-4				b r oː t
650-4				a t ə
1532-4				k n ai d ə n
-36-4				ʃ ʊ p
34-4				b oː ɡ ə n
-1647-4				f iː ɡ ə n
-1615-4				pf iː ə l
125-4				f ɛ t
1659-4				h oː n ʊ ŋ
1661-4				m ɛ l k ə n
1676-4				b au ə r
480-4				d r a ŋ k ə n
1466-4				k l ai d ʊ ŋ
2277-4				v ɔ l
2271-4				b ɪ l t
2293-4				l ai ə r
624-4				ʃ p ɪ n ə n
628-4				ʃ p ɪ n d ə l
626-4				v ɛ f ə n
633-4				n aː l t
1185-4				ʃ ʊ n + m a k ə r
1179-4				h ʊ t ə
2168-4				k a m
1952-4				t ʏ r
899-4				l a t ə r
922-4				b ɛ t
-934-4				l a m pf
916-4				t r ʊ k ə n
1726-4				f ai l t ə n
2108-4				p l oː ɡ ə n
1133-4				f oː r ə n
2114-4				ʃ p aː d ə n
1272-4				r ai
1979-4				ɡ r ai
1989-4				h ɛ
-2260-4				p l a n t ə n
70-4				b ʊ k ə n
-89-4				v ɪ ŋ ə r t
-12-4				f ə n ai f ə n
713-4				ʃ a p
747-4				n iː s ə l
308-4				t au ə n
289-4				b ɪ n d ə n
1930-4				b r ɛ x ə n
1928-4				ʃ p l ai t ə n
858-4				ɔy t + r ɛ x ə n
1577-4				ɔ pf + h a ŋ ə n
908-4				v ɛ s ə n
648-4				b oː r ə n
1855-4				ɔy t + h ɔ l ə n
657-4				h eː m ə r
2058-4				n ɛ k ə
949-4				ʃ m ɪ t
1642-4				ɡ a l t ə n
1640-4				z ɪ l f ə r
1633-4				ai z ə r
1630-4				ts ɪ n
993-4				ɡ r ai l ə n
-2121-4				r ɔ l ə n
1692-4				f ɛ l ə n
1694-4				d r ʊ p ə l ə n
1062-4				z ɪ ŋ k ə n
476-4				ʃ v ɛ m ə n
1051-4				f l iː ɡ ə n
1075-4				b ɔ l iː s ə n
135-4				k l ai d ə n
-134-4				d a n s ə n
1839-4				v ɛ k + ɡ eː ə n
1097-4				t ə r ʏ k + k au m ə n
1777-4				f ɔ l ɡ ə n
1434-4				b r ɛ ŋ ə n
1417-4				l ai d ə n
1424-4				r ai t ə n
778-4				p a t
790-4				b r ʏ k ə n
1223-4				f ɛ d ə l
1117-4				z iː l
1411-4				h ɛ b ə n
1407-4				h a l t ə n
1390-4				d ʊ ŋ
2086-4				ɡ a f ə n
2082-4				t ə r ʏ k + ɡ ai b ə n
576-4				z ʊ k ə n
579-4				b ɪ n d ə n
581-4				f ɛ r + l iː z ə n
-1791-4				r ai k ə n
-225-4				f r ai ʃ
-2284-4				f ə l ɛ ʃ
1479-4				au f ə n
847-4				h oː ɡ ə n
659-4				b au d ə m
860-4				m ɪ t ə n
213-4				r ɛ x ts ə
1286-4				f ɛ r
1293-4				v ɛ s t ə n
474-4				t ɪ k ə n
467-4				d ʊ n ə n
1177-4				t ə n au f ə n
588-4				f l a k ə n
584-4				h aː k ə n
-1153-4				r ʊ n t
700-4				ts v aː l f t
875-4				t ɔy z ə n
1559-4				a l ə n
1565-4				m ɛ r
1968-4				h r f
-350-4				pf eː r
1478-4				b au d ə m
