COGID	dutch	english	french	german
249-1	Ø Ø Ø Ø + l ʊ t			
1506-1	n ə ʃ t r ɛ l Ø Ø Ø Ø			
2242-1	m Ø Ø Ø			
2245-1	t Ø n Ø			
1196-1	n Ø x pf pf			
2174-1	Ø Ø l t ɛ r			
575-1	eː pf ʃ eː l pf pf pf pf pf			
603-1	ɛ l Ø Ø + b Ø Ø Ø Ø			
601-1	h Ø n t			
615-1	f ʊ n Ø ɛ r			
901-1	x l Ø Ø			
608-1	f Ø t			
596-1	t Ø Ø			
937-1	b r ɛ ʃ t			
936-1	n Ø v Ø Ø			
646-1	l Ø n Ø			
947-1	l ʊ v ɛ r			
1606-1	h ʊ pf Ø Ø			
472-1	ʃ n ai z Ø Ø			
1535-1	ʃ n ɛ t Ø Ø			
1546-1	ʃ pf ʊ t Ø Ø			
1959-1	ʃ l ai pf Ø Ø			
694-1	ʃ n Ø r Ø Ø Ø			
1961-1	t r ai m Ø Ø			
323-1	ɛ + l Ø v Ø Ø			
1885-1	Ø r Ø v			
2156-1	Ø Ø Ø x Ø l t Ø Ø Ø			
1903-1	n Ø n t Ø			
525-1	ʃ n ɛ l ʊ n			
276-1	l Ø m Ø			
274-1	t ɛ f			
278-1	b l Ø n t			
258-1	x Ø Ø t r Ø n x Ø Ø			
256-1	n Ø x ʊ t			
383-1	ai t Ø Ø			
207-1	r Ø pf			
376-1	t r ʊ n x Ø Ø			
2009-1	Ø v Ø Ø			
2003-1	x ɛ t Ø Ø			
2024-1	pf Ø n Ø			
1321-1	x Ø pf			
1976-1	t ə n z Ø			
1243-1	m ai l Ø Ø Ø			
1265-1	pf ai l Ø			
1261-1	ʃ ʊ v Ø Ø			
655-1	b r ɛ t			
650-1	t Ø Ø			
1532-1	Ø n ai t Ø Ø			
-36-1	ʃ ʊ pf Ø			
34-1	b ai n Ø			
-1647-1	f ʊ Ø Ø			
-1615-1	ə ʊ l			
125-1	f Ø t			
1659-1	h Ø n ʊ Ø			
1661-1	m ʊ l x			
1676-1	b Ø t ɛ r			
480-1	Ø Ø Ø t r ʊ n x			
1466-1	x l Ø Ø Ø z			
2277-1	n Ø l Ø			
2271-1	f ɛ l t			
2293-1	l ɛ Ø ɛ r			
624-1	ʃ pf ʊ Ø Ø n			
628-1	ʃ pf ʊ n t Ø Ø			
626-1	n ai v Ø Ø			
633-1	n ai t Ø Ø			
1185-1	Ø ʊ + m Ø x Ø ɛ r			
1179-1	h Ø t			
2168-1	x Ø m			
1952-1	t Ø r			
899-1	l Ø t ɛ r			
922-1	b ɛ t			
-934-1	l Ø m pf Ø			
916-1	t r ə f			
1726-1	f ai l t			
2108-1	pf l Ø Ø Ø Ø			
1133-1	f Ø r Ø Ø			
2114-1	ʃ pf Ø t Ø Ø			
1272-1	r Ø Ø Ø Ø			
1979-1	Ø r Ø ʃ			
1989-1	h Ø			
-2260-1	pf l Ø n t Ø Ø			
70-1	b ai Ø Ø			
-89-1	v Ø n Ø Ø Ø Ø Ø			
-12-1	pf Ø pf Ø			
713-1	ʃ Ø pf Ø			
747-1	n ɛ t Ø Ø			
308-1	t ʊ Ø			
289-1	b Ø n t Ø Ø			
1930-1	b r Ø x Ø Ø			
1928-1	ʃ pf Ø l ʊ t Ø Ø			
858-1	ʃ t r ɛ Ø Ø Ø			
1577-1	Ø Ø Ø h Ø Ø Ø n			
908-1	n ə Ø Ø Ø			
648-1	b Ø r Ø Ø			
1855-1	Ø Ø Ø h ə l Ø Ø			
657-1	h Ø m ɛ r			
2058-1	n Ø Ø Ø l			
949-1	b l Ø x + ʃ m ʊ Ø			
1642-1	Ø Ø l t			
1640-1	ʃ ʊ l v ɛ r			
1633-1	Ø r ɛ n			
1630-1	t ʊ n			
993-1	Ø l Ø ʃ			
-2121-1	r Ø l Ø Ø			
1692-1	f Ø l Ø Ø			
1694-1	t r ʊ pf Ø Ø			
1062-1	ʃ ʊ n x Ø Ø			
476-1	ʃ n ʊ m Ø Ø			
1051-1	f l Ø Ø Ø Ø			
1075-1	b l Ø Ø Ø Ø			
135-1	ʃ l Ø t Ø Ø			
-134-1	t Ø n ʃ Ø Ø			
1839-1	Ø Ø Ø Ø Ø Ø Ø + Ø t			
1097-1	Ø Ø Ø Ø Ø Ø x Ø m Ø Ø + b Ø x			
1777-1	f ə l Ø Ø Ø			
1434-1	b r ʊ Ø Ø n			
1417-1	l ai t Ø Ø			
1424-1	r Ø t Ø Ø			
778-1	pf Ø Ø			
790-1	b r ʊ Ø Ø			
1223-1	pf Ø t Ø Ø			
1117-1	ʃ Ø Ø Ø l			
1411-1	h Ø v Ø Ø			
1407-1	h Ø l t Ø Ø			
1390-1	Ø ʊ n			
2086-1	Ø ʊ v Ø Ø			
2082-1	Ø ʊ v Ø Ø + Ø Ø b Ø x			
576-1	ʃ ai x Ø Ø			
579-1	f Ø n t Ø Ø			
581-1	Ø Ø Ø Ø l ʊ z Ø Ø			
-1791-1	r ʊ Ø			
-225-1	pf r Ø ʃ			
-2284-1	pf l Ø ʃ			
1479-1	Ø pf Ø ɛ n			
847-1	h Ø Ø			
659-1	b ə t ɛ m			
860-1	m ʊ t Ø Ø			
213-1	r Ø Ø t			
1286-1	f Ø r Ø			
1293-1	n ɛ ʃ t Ø Ø			
474-1	Ø ʊ x			
467-1	Ø ʊ n			
1177-1	t ai pf			
588-1	pf l Ø pf			
584-1	h Ø x Ø Ø			
-1153-1	r Ø n t			
700-1	t n ɛ l v			
875-1	Ø Ø z Ø Ø t			
1559-1	Ø l Ø			
1565-1	m Ø r			
1968-1	h Ø Ø f Ø Ø			
-350-1	pf ɛ ɛ r			
1478-1	Ø Ø Ø Ø Ø			
1469-2		ʃ Ø t Ø		
2047-2		ʃ ʊ t t t		
2054-2		t ʊ n t t r		
1375-2		k ai t Ø t t		
760-2		Ø ai t Ø		
756-2		t n Ø Ø		
726-2		m Ø t t r		
1351-2		ʃ r ai t t f a t t r		
1353-2		ʃ r ai t t m Ø t t r		
412-2		t t t t ai t t f a t t r		
406-2		t t t t ai t t m Ø t t r		
1005-2		t Ø iː t t f a t t r		
1012-2		t Ø iː f t m Ø t t r		
1016-2		Ø ə t t f t t t a t		
1069-2		Ø ai k		
509-2		f Ø k iː t		
693-2		m iː k t t t ʃ t t		
2179-2		n iː ʃ Ø		
1753-2		t f ai ʃ Ø		
1131-2		t a k f t		
1198-2		b a r Ø		
2032-2		k ʊ Ø n		
2241-2		n Ø t t		
2244-2		k ai t t t		
610-2		k t n iː		
945-2		k a r t		
1534-2		k ai k t t		
384-2		ʃ iː ʃ t t		
1650-2		n t ai t		
1663-2		ʃ Ø k t		
2279-2		k ai t iː t		
471-2		ʃ Ø t t t		
1385-2		ʃ a t t Ø		
792-2		Ø Ø k		
1111-2		m Ø ʃ Ø		
197-2		ʃ iː t t t		
2020-2		k a t		
867-2		ʃ a t t t t Ø		
1970-2		f a k Ø		
1230-2		t iː r t t t t t t		
2017-2		n iː Ø t		
968-2		Ø ə Ø iː k Ø		
1674-2		k a n Ø		
1671-2		h Ø f iː k		
829-2		k k Ø Ø Ø		
1025-2		Ø Ø Ø iː Ø		
1027-2		Ø ə		
1832-2		Ø Ø Ø		
-1816-2		ʊ Ø ə Ø Ø n		
-335-2		k Ø Ø Ø n iː		
1043-2		Ø Ø Ø ʊ m		
423-2		Ø Ø ə n		
2049-2		m Ø n t		
2062-2		Ø Ø ɔ Ø m		
2065-2		Ø ə Ø iː m Ø b ʊ ʃ Ø Ø		
1368-2		Ø ʃ Ø t Ø Ø		
1365-2		t a Ø		
754-2		Ø ə Ø iː Ø		
768-2		Ø ə t Ø Ø		
1211-2		f Ø Ø Ø		
106-2		m a n		
-98-2		b ə b ə		
719-2		f Ø t iː Ø		
1341-2		Ø ʊ n		
-2027-2		Ø a n Ø iː		
-2026-2		n ə f Ø		
409-2		Ø Ø Ø ʃ ʊ n Ø Ø ʊ n		
402-2		Ø Ø Ø ʃ ʊ n Ø t ɔ ʃ Ø iː Ø		
1014-2		Ø Ø ə f Ø t ɔ ʃ Ø iː Ø		
1059-2		Ø a Ø		
120-2		Ø Ø a k		
2194-2		ɔ Ø ʃ Ø		
2199-2		k a k Ø		
2197-2		Ø ʃ Ø f		
1523-2		Ø Ø ʃ		
512-2		m a Ø iː		
2141-2		h a n		
2147-2		ʃ a n ʃ		
814-2		k Ø Ø Ø Ø		
810-2		t Ø Ø Ø		
1758-2		m Ø ʃ		
1760-2		Ø Ø t		
1620-2		f Ø n Ø		
1282-2		Ø a k f Ø Ø		
1136-2		f ɔ Ø ʃ		
1309-2		k Ø ʃ		
1307-2		n ə Ø Ø		
1305-2		f k ʊ		
711-2		Ø a ʃ f Ø		
1442-2		f k ə ʃ Ø		
62-2		m Ø ʃ Ø		
-73-2		m Ø ʃ k ə Ø Ø		
1810-2		h Ø Ø		
1805-2		f k ə Ø		
1813-2		h Ø Ø		
1811-2		b k Ø Ø		
690-2		Ø Ø f Ø		
2177-2		h ʊ Ø Ø		
246-2		Ø Ø iː ŋ Ø Ø b Ø a Ø Ø		
249-2		ʊ Ø Ø Ø Ø k Ø Ø		
1506-2		n Ø Ø Ø Ø Ø Ø k Ø Ø iː l		
2242-2		m ɔ n Ø		
2245-2		Ø ɔ ŋ Ø		
2174-2		Ø ʃ a k t iː Ø		
603-2		a k iː Ø Ø b ʊ ʃ Ø Ø		
601-2		h a n Ø		
615-2		f Ø ŋ iː Ø		
901-2		k k a Ø Ø		
608-2		f Ø Ø		
596-2		Ø ə n Ø		
937-2		b ɔ Ø Ø ʃ Ø		
936-2		n Ø f iː k		
646-2		k ɔ ŋ Ø		
947-2		k ə f iː Ø		
1606-2		h Ø f t Ø		
472-2		n ə Ø iː Ø		
1535-2		Ø Ø ə Ø iː Ø		
1546-2		Ø f Ø Ø iː Ø		
1959-2		Ø k Ø f iː Ø		
694-2		Ø n Ø Ø ɡ iː Ø		
1961-2		t Ø ʊ m iː Ø		
323-2		k ə f iː Ø		
1885-2		ʃ Ø a Ø		
2156-2		f t Ø Ø k a k Ø Ø h a Ø		
1903-2		Ø ɔ n Ø Ø		
525-2		Ø Ø a k Ø ŋ		
276-2		k a m		
274-2		t ʊ Ø		
278-2		b k Ø n Ø		
258-2		Ø Ø Ø t Ø ɔ ŋ k iː Ø		
256-2		n Ø k Ø		
383-2		ə Ø iː Ø		
207-2		Ø a f		
376-2		t Ø Ø ŋ k iː Ø		
2014-2		Ø ʊ Ø Ø Ø Ø		
2009-2		ʊ f iː Ø		
2003-2		k ə Ø iː k		
2024-2		f a n Ø		
1321-2		k Ø f		
1976-2		Ø a ŋ Ø		
1243-2		m Ø k Ø Ø t Ø Ø a Ø		
1265-2		f Ø k Ø		
1261-2		Ø ə f iː Ø		
655-2		b Ø ʊ Ø		
650-2		t ə ʃ		
1532-2		k n ə t iː Ø		
-36-2		Ø Ø f Ø		
34-2		b ʊ n Ø		
-1647-2		f a ʃ Ø		
-1615-2		ʊ k ə		
125-2		f a Ø		
1659-2		h ʊ n Ø ŋ		
1661-2		m a k ɡ		
1676-2		b ʊ Ø iː Ø		
480-2		Ø Ø Ø t Ø a ŋ k		
1466-2		k k ə Ø Ø ŋ		
2277-2		Ø ɔ k Ø		
2271-2		f Ø k Ø		
2293-2		k ə Ø Ø Ø		
624-2		Ø f Ø n iː Ø		
628-2		Ø f Ø n Ø iː k		
626-2		Ø ə f iː Ø		
633-2		n Ø l Ø Ø k		
1185-2		Ø ʃ Ø n Ø m Ø ɡ t iː Ø		
1179-2		h Ø Ø		
2168-2		k a m		
1952-2		t Ø Ø		
899-2		k a t iː Ø		
922-2		b a Ø		
-934-2		k a m f Ø		
916-2		Ø Ø ɔ ʃ		
1726-2		f a k Ø		
2108-2		f k Ø Ø iː Ø		
1133-2		f ʊ Ø Ø iː		
2114-2		Ø f Ø t iː Ø		
1272-2		Ø ɔ Ø iː Ø		
1979-2		ʃ Ø a ʃ		
1989-2		h ʊ Ø		
-2260-2		f k a n Ø iː Ø		
70-2		b Ø ɡ Ø		
-89-2		Ø Ø ŋ iː Ø Ø Ø Ø t Ø Ø		
-12-2		f a f Ø		
713-2		Ø a f t		
747-2		n ə Ø iː k		
308-2		t Ø n		
289-2		b Ø n Ø iː Ø		
1930-2		b Ø ə ɡ iː Ø		
1928-2		Ø f Ø k a Ø iː Ø		
858-2		Ø Ø Ø Ø t Ø a k iː Ø		
1577-2		ɔ f Ø h a ŋ iː Ø		
908-2		Ø a Ø iː Ø		
648-2		b ʊ Ø iː Ø		
1855-2		Ø Ø Ø h ɔ k iː Ø		
657-2		h Ø m iː Ø		
2058-2		n Ø Ø iː k		
949-2		Ø m Ø Ø		
1642-2		ʃ a k Ø		
1640-2		Ø Ø k f iː Ø		
1633-2		a Ø iː Ø		
1630-2		Ø Ø n		
993-2		ʃ k a ʃ		
-2121-2		Ø ɔ k iː Ø		
1692-2		f a k iː Ø		
1694-2		t Ø Ø f iː l iː		
1062-2		Ø Ø ŋ k iː Ø		
476-2		Ø Ø a m iː Ø		
1051-2		f k ə Ø iː Ø		
1075-2		b k Ø Ø iː Ø		
135-2		ʃ k a t iː Ø		
-134-2		t a n Ø iː Ø		
1839-2		Ø a Ø Ø Ø Ø Ø n		
1097-2		Ø iː Ø Ø ʃ Ø k ʊ m iː Ø		
1777-2		f ɔ k Ø iː Ø		
1434-2		b Ø a ŋ iː Ø		
1417-2		k a t iː Ø		
1424-2		Ø a t iː Ø		
778-2		f a Ø		
790-2		b Ø Ø ʃ Ø		
1223-2		f a Ø iː k		
1117-2		Ø a Ø Ø k		
1411-2		h a b iː Ø		
1407-2		f a Ø Ø Ø h a k t iː Ø		
1390-2		Ø Ø ŋ		
2086-2		ʃ ə f iː Ø		
2082-2		Ø iː Ø Ø Ø Ø Ø ə f iː Ø		
576-2		Ø Ø ɡ iː Ø		
579-2		f Ø n Ø iː Ø		
581-2		f t Ø Ø k ə Ø iː Ø		
-1791-2		Ø a ɡ		
-225-2		f Ø a ʃ		
-2284-2		f k Ø Ø		
1479-2		ʊ f Ø iː n iː		
847-2		h ʊ ʃ		
659-2		b ʊ Ø iː m		
860-2		m Ø t iː		
213-2		Ø a ʃ Ø		
1286-2		f a Ø Ø		
1293-2		Ø a ʃ Ø iː Ø		
474-2		Ø Ø k		
467-2		Ø Ø n		
1177-2		t ə f		
584-2		h Ø k Ø Ø		
-1153-2		Ø ɔ n Ø		
700-2		Ø Ø a k f		
875-2		t Ø Ø iː n Ø		
1559-2		a k iː		
1565-2		m ə Ø		
1968-2		h a k f Ø Ø		
-350-2		f Ø Ø		
1469-3			Ø Ø Ø t	
2047-3			Ø Ø Ø Ø	
2054-3			Ø Ø Ø t Ø Ø	
1375-3			Ø Ø Ø t	
760-3			Ø Ø Ø t	
756-3			Ø Ø Ø Ø	
726-3			m Ø Ø Ø Ø	
1351-3			Ø Ø Ø Ø t Ø Ø Ø Ø Ø Ø	
1353-3			Ø Ø Ø Ø Ø m Ø Ø Ø Ø	
412-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø	
406-3			Ø Ø Ø Ø Ø Ø Ø m Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø	
1005-3			Ø t m Ø Ø Ø Ø Ø Ø Ø	
1012-3			Ø t m Ø Ø m Ø Ø Ø Ø	
1016-3			Ø Ø t Ø Ø Ø Ø Ø Ø Ø	
1069-3			Ø Ø	
509-3			Ø Ø Ø Ø Ø	
693-3			m Ø Ø Ø Ø Ø Ø Ø Ø	
2179-3			Ø Ø ts t	
1753-3			Ø Ø Ø	
1131-3			Ø Ø Ø Ø	
1198-3			Ø Ø Ø Ø t	
2032-3			Ø Ø Ø Ø	
2241-3			Ø Ø Ø Ø	
2244-3			Ø Ø Ø Ø	
610-3			Ø Ø m	
945-3			Ø Ø Ø t	
1534-3			Ø Ø Ø Ø Ø	
384-3			Ø Ø Ø Ø Ø	
1650-3			Ø Ø t	
1663-3			Ø Ø Ø t	
2279-3			Ø Ø Ø Ø Ø	
471-3			Ø eː t Ø Ø	
1385-3			Ø Ø t	
792-3			t Ø Ø	
1111-3			m Ø ts t	
197-3			Ø Ø Ø Ø Ø	
2020-3			Ø Ø Ø	
867-3			Ø Ø Ø t Ø Ø Ø t	
1970-3			Ø Ø Ø	
1230-3			Ø Ø Ø Ø t Ø	
2017-3			Ø Ø m Ø	
2183-3			Ø Ø Ø Ø	
1521-3			Ø Ø Ø	
1755-3			Ø Ø Ø Ø	
1760-3			Ø Ø	
1196-3			Ø Ø Ø Ø Ø	
575-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø	
2014-3			Ø Ø ts t Ø Ø	
1321-3			Ø Ø Ø	
1265-3			Ø Ø Ø eː	
588-3			Ø Ø Ø Ø	
1469-4				ʃ a n t.ə
2047-4				ʃ ɔ n eː ɡ
2054-4				d ɔ n t ə r
1375-4				l Ø ɡ t eː ɡ
760-4				v Ø n t.ə
756-4				ʃ n eː v
726-4				m uː Ø ə r
1351-4				ɡ r a n t.ə f eː Ø ə r
1353-4				ɡ r a t m uː Ø ə r
412-4				t ɡ a + f eː Ø ə r Ø Ø n Ø l Ø
406-4				t ɡ a + m uː Ø ə r Ø Ø n Ø l Ø
1005-4				ʃ t Ø Ø f eː Ø ə r
1012-4				ʃ t Ø Ø m uː Ø ə r
1016-4				v eː t ə Ø + ə
1069-4				ɡ Ø ɡ
509-4				f a l ə
693-4				m Ø Ø l eː + a z ə
2179-4				n a ʃ t
1753-4				ɡ f Ø ʃ ɡ
1131-4				l f ɡ
1198-4				b aː ə t
2032-4				h a ts n
2241-4				n a s
2244-4				l Ø pf ɡ
610-4				ɡ ɡ n Ø
945-4				h Ø t
1534-4				l Ø k ə
384-4				ʃ au k ə
1650-4				n ɡ oː t
1663-4				ʃ a l t
2279-4				l Ø n a n
471-4				ʃ ə ə
1385-4				ʃ ai ɡ ɡ t.ə
792-4				Ø a k
1111-4				m a ʃ t
197-4				ʃ Ø t ə
2020-4				l Ø ŋ
867-4				h ɔ n t ə r ə t.ə
1970-4				f l ɡ
1230-4				d a ɡ Ø t ɡ ə ɡ
2017-4				n Ø v Ø
968-4				eː ts ə l t.ə
1674-4				l a n t.ə
1671-4				h Ø v Ø l
829-4				k l Ø f
1025-4				eː ts ə r
1027-4				ʃ ɪ
1832-4				r Ø f
-1816-4				ɔ ʃ eː Ø ə n
-335-4				l ə ɡ Ø n ə
1043-4				ʃ ts r au m
423-4				ʃ ts a n
2049-4				m eː n
2062-4				ʃ ts oː ts m
2065-4				r ɛ n ə Ø Ø b ɔ ɡ
1368-4				ʃ ɡ a t Ø v
1365-4				t eː Ø v
754-4				r ɛ n ə
768-4				eː ɡ ə r
1211-4				f Ø ə r
106-4				m a n
-98-4				b ɛ b ɪ.x
719-4				f ai t ə r
1341-4				ʃ ɔ n
-2027-4				ts Ø n ts ə
-2026-4				n eː Ø eː eː
409-4				ʃ ɡ ɔ n Ø Ø oː n eː l eː
402-4				Ø ɡ oː Ø + t oː ɡ ts ə r eː eː n eː l eː
1014-4				ʃ ts Ø v Ø t oː ɡ ts ə r
1059-4				ai
120-4				ʃ ts Ø l
2183-4				ʃ t ɪ.x r b
2194-4				ʊ eː ʃ
2199-4				k Ø Ø f
2197-4				ʃ ɡ ai pf
1523-4				ʃ Ø ɡ
1521-4				b ʊ k
512-4				m eː r Ø
2141-4				h eː n
2147-4				ɡ Ø Ø ʃ
814-4				k r ə Ø
810-4				t au Ø
1755-4				h b ʊ n t.ə
1758-4				m Ø s
1620-4				f Ø n
1282-4				ɛ l v ə Ø
1136-4				f ʊ eː ʃ
1309-4				l Ø ʃ
1307-4				n eː ts
1305-4				f l au
711-4				eː ʃ pf
1442-4				f l Ø ɡ
62-4				m Ø x
-73-4				m Ø ʃ k Ø ts ə
1810-4				h ai t.ə
1805-4				f l eː ʃ
1813-4				h eː ə r
1811-4				b l uː t.ə
690-4				r Ø Ø
2177-4				h oː Ø t.ə
246-4				v eː Ø Ø Ø b r Ø v
249-4				oː ɡ Ø l Ø t.ə
1506-4				Ø Ø Ø + Ø Ø ʊ eː r ə l
2242-4				m oː Ø t
2245-4				ts ɔ ŋ
1196-4				n ɛ k
2174-4				ʃ ɡ a l t ə r
575-4				ʊ k ʃ ɛ l
603-4				eː l ə Ø b ɔ ɡ
601-4				h a n t.ə
615-4				f Ø ŋ ɡ ə r
901-4				k l Ø v
608-4				f oː ts
596-4				ts a Ø
937-4				b ə r eː ʃ ts
936-4				n ɛ v ə l
646-4				l ɔ ŋ
947-4				l eː v ə r
1606-4				h Ø pf
472-4				eː n Ø Ø ə
1535-4				ʃ eː ts ə
1546-4				ʃ pf Ø Ø ə
1959-4				ʃ l ai pf ə
694-4				ʃ n Ø r ɡ ə
1961-4				t r au m ə
323-4				ə eː l ai v ə
1885-4				ɡ r Ø Ø
2156-4				v ə ts + k a l t.ə + Ø eː ts
1903-4				oː n t.ə
525-4				ʃ eː l Ø ŋ
276-4				l Ø m ɛ
274-4				t oː f
278-4				b l Ø n t.ə
258-4				t r ɔ ŋ k ə
256-4				n ɛ k eː t.ə
383-4				ɪ ts ə
207-4				r ai pf
376-4				t r Ø ŋ k ə
2014-4				r Ø ʃ Ø ə ə
2009-4				ɔ v n ə
2003-4				k eː ts ə l
2024-4				pf a n
1976-4				ts Ø ŋ s
1243-4				m ai l + ts eː ts
1261-4				ʃ eː v ə
655-4				b r oː t.ə
650-4				t a ɡ
1532-4				ɡ n ɪ t ə
-36-4				ʃ oː pf
34-4				b au n
-1647-4				f eː ɡ
-1615-4				ɔ eː l Ø
125-4				f a ts
1659-4				h ɔ n Ø Ø
1661-4				m eː l k
1676-4				b ɔ ts ə r
480-4				t r aː ŋ k
1466-4				k l a t ə Ø
2277-4				oː l
2271-4				f Ø l ts
2293-4				l eː ɡ ə r
624-4				ʃ pf Ø n ə
628-4				ʃ pf Ø n t ə l
626-4				ɪ v ə
633-4				n ai eː l ts
1185-4				ʃ ɡ oː Ø Ø m ɛ k ə r
1179-4				h oː ts
2168-4				k a m
1952-4				t Ø r
899-4				l a t ə r
922-4				b eː t.ə
-934-4				l a m pf
916-4				ts r ʊ f
1726-4				f eː l t.ə
2108-4				pf l oː ɡ ə
1133-4				f ɔ r ə
2114-4				ʃ pf ɛ t ə
1272-4				r oː ɡ ə
1979-4				ɡ r Ø ʃ
1989-4				h oː Ø
-2260-4				pf l Ø n ts ə
70-4				b Ø ts
-89-4				v Ø n ə ts ts
-12-4				pf ai pf
713-4				ʃ a pf
747-4				n eː ts ə l
308-4				t oː Ø
289-4				b Ø n t ə
1930-4				b r ɛ k ə
1928-4				ʃ pf l eː ts ə
858-4				Ø ts + eː eː r eː ts ə
1577-4				ə Ø + h a ŋ ə
908-4				Ø ʃ ə
648-4				b oː r ə
1855-4				Ø ts + h ʊ l ə
657-4				h a m ə r
2058-4				n ɛ ɡ ə l
949-4				b l eː eː eː ʃ m Ø ts
1642-4				ɡ a l t.ə
1640-4				ʃ Ø l v ə r
1633-4				ai Ø ə ts
1630-4				ts Ø n
993-4				ɡ l Ø ʃ
-2121-4				r ə l ə
1692-4				f Ø l ə
1694-4				t r Ø pf ə Ø ə
1062-4				ʃ Ø ŋ k ə
476-4				ʃ eː m ə
1051-4				f l Ø ɡ ə
1075-4				b l ə Ø ə
135-4				l ai t ə
-134-4				t Ø n ʃ ə
1839-4				v a Ø ɡ eː Ø
1097-4				ts ə ts Ø ɡ + k ɔ m ə eː b eː eː
1777-4				f ʊ l ɡ ə
1434-4				b r eː ŋ ə
1417-4				l ai t ə
1424-4				r ai t ə
778-4				pf Ø ts
790-4				b r Ø x
1223-4				pf a t ə l
1117-4				ʃ eː l
1411-4				h a Ø ə
1407-4				v Ø Ø ts + h a l t ə
1390-4				d Ø ŋ
2086-4				ɡ eː v ə
2082-4				ts ə ts Ø + ɡ eː v ə eː b eː eː
576-4				ʃ oː k ə
579-4				f Ø n t ə
581-4				v ə ts + l Ø Ø ə
