COGID	dutch	english	french	german
323-1	s l ɛɪ n			
1885-1	x r ɑ s			
2156-1	k aː n			
1903-1	w aː n t			
525-1	l ɛɪ n			
276-1	l l m m			
274-1	d aː n			
278-1	b l aː d ə			
258-1	d r aː ŋ			
256-1	k iː			
383-1	b iː n			
207-1	r ɛɪ p			
376-1	d r aː ŋ			
2009-1	h aː d ə			
2003-1	k iː			
2024-1	p aː n			
1321-1	k aː p			
1976-1	n ɔ s			
1243-1	b m iː			
1265-1	oː l iː			
1261-1	z eː v ə			
655-1	b r ɔ t			
650-1	d aː d ə			
1532-1	n aː d ə			
-36-1	s aː p			
34-1	b oː n			
-1647-1	v ɑ s			
1469-2		s æ n		
2047-2		s ɔ p		
2054-2		d aɪ n		
1375-2		b l aɪ		
760-2		b uː n		
756-2		s n aɪ n		
726-2		m aɪ d		
1351-2		b eɪ d ə r		
1353-2		k əʊ d l̩ ə r		
412-2		s n ɛ d		
406-2		m eɪ d ə r		
1005-2		p aɪ n d		
1012-2		l æ m ə r		
1016-2		h ʌ n ɪ		
1069-2		b iː k		
509-2		f aɪ l		
693-2		m ɔː l		
2179-2		n iː t		
1753-2		b aɪ		
1131-2		w iː l		
1198-2		b uː t		
2032-2		h aɪ n		
2241-2		n iː d		
2244-2		l l		
610-2		k n ɪ n		
945-2		h aɪ r		
1534-2		b l k		
384-2		s aɪ		
1650-2		n aɪ		
1663-2		s aɪ		
2279-2		əʊ l		
471-2		s aɪ		
1385-2		s aɪ		
792-2		s aɪ k		
1111-2		m l ɛ s		
197-2		s aɪ d		
2020-2		k l ɑː s		
867-2		h æ v		
1970-2		f aɪ l		
1230-2		d r aɪ d		
2017-2		n aɪ n		
968-2		w iː l d		
1674-2		l aɪ n		
1671-2		h aɪ l		
829-2		k l əʊ		
1025-2		w ɛ t ə r		
1027-2		s aɪ		
1832-2		r aɪ		
-1816-2		b aɪ n		
-335-2		l əʊ		
1043-2		s r eɪ m		
423-2		s t		
2049-2		m ɪ n		
2062-2		s p r aɪ m		
2065-2		r aɪ d		
1368-2		b aɪ n		
1365-2		θ aɪ		
754-2		r aɪ		
768-2		w iː r		
1211-2		f ɑː r		
106-2		m ɔː l		
-98-2		b iː r		
719-2		f æ t ə r		
1341-2		s aɪ n		
-2027-2		t əʊ l d		
-2026-2		n ɛ t		
409-2		s n aɪ n		
402-2		n uː t ə r		
1014-2		s t r ɛ d		
1059-2		j aɪ		
120-2		s t l		
2194-2		b aɪ		
2199-2		k əʊ l		
2197-2		b eɪ p		
1523-2		s aɪ		
512-2		m ɔː r		
2141-2		h iː		
2147-2		ɡ ɑː n		
814-2		k aɪ		
810-2		m aɪ		
1758-2		l æ m		
1760-2		r əʊ d		
1620-2		f ɪ n		
1282-2		w iː l		
1136-2		b aɪ		
1309-2		h l əʊ		
1307-2		n aɪ n		
1305-2		f l əʊ		
711-2		s w p		
1442-2		f l aɪ		
62-2		m ɪ k		
-73-2		k l əʊ		
1810-2		h aɪ		
1805-2		f l aɪ		
1813-2		h æ ŋ		
1811-2		b l əʊ		
690-2		r ɪ p		
2177-2		h æ t		
246-2		b r aɪ s		
249-2		p l aɪ		
1506-2		b l ɛ l̩		
2242-2		m ɪ n		
2245-2		t w aɪ		
2174-2		b aɪ n		
603-2		b iː l		
601-2		h æ n		
615-2		f iː r		
901-2		ɔ ɪ l		
608-2		f iː t		
596-2		h t		
937-2		b r aɪ s		
936-2		n aɪ l		
646-2		l l		
947-2		l ɛ ð ə r		
1606-2		h æ		
472-2		n aɪ n		
1535-2		s w iː d		
1546-2		s p aɪ n		
1959-2		s l əʊ		
694-2		s n ɪ k		
1961-2		d r ɪ m		
323-2		h l aɪ		
1885-2		ɡ r ɑː s		
2156-2		k iː l d		
1903-2		s w aɪ n		
525-2		s iː l		
276-2		l aɪ m		
274-2		d iː		
278-2		b l əʊ		
258-2		d r ɪ k		
256-2		n eɪ k		
383-2		b æ d		
207-2		r aɪ		
376-2		d r ɪ ŋ k		
2014-2		b r ɪ		
2009-2		b iː v		
2003-2		k l aʊ		
2024-2		p aɪ n		
1321-2		k aʊ p		
1976-2		t ɪ ŋ		
1243-2		m aɪ l		
1265-2		p iː l		
1261-2		s aɪ r		
655-2		b r aɪ d		
650-2		p aɪ n		
1532-2		k aɪ n d		
-36-2		s ɔ p		
34-2		b aɪ n		
-1647-2		b aɪ		
1469-3			p a	
2047-3			p a	
2054-3			p l a	
1375-3			p a	
760-3			p a	
756-3			p a	
726-3			p l a	
1351-3			e t a b	
1353-3			e t a a b	
412-3			e t a b	
406-3			e t a a b	
1005-3			e t a b	
1012-3			e t a b	
1016-3			e a a b l	
1069-3			p a	
509-3			p a	
693-3			e a a b l	
2179-3			p a	
1753-3			p a	
1131-3			p a	
1198-3			p l a	
2032-3			p a	
2241-3			p a	
2244-3			p a	
610-3			p a	
945-3			p l a	
1534-3			p a	
384-3			p l a	
1650-3			p a	
1663-3			p a	
2279-3			p l a	
471-3			p a	
1385-3			p l a	
792-3			p a	
1111-3			p a	
197-3			p l a	
2020-3			p a	
867-3			p l a	
1970-3			p a	
1230-3			p a	
2017-3			p a	
2183-3			p a	
1521-3			p a	
1755-3			p a	
1760-3			e t a b	
1196-3			p a	
575-3			e t a b	
2014-3			b ɔ t	
1321-3			e t a b	
1265-3			e t a b	
1469-4				b a n t
2047-4				z a n
2054-4				t oː r
1375-4				l ɪ f t
760-4				au ɪ n t
756-4				z ɪ n t
726-4				m eː d ə r
1351-4				aː r + ɛ eː ə r
1353-4				aː r + m eː t ə r
412-4				ʃ au d ə r
406-4				ʃ au d ə r
1005-4				ʃ p aː d ə r
1012-4				ʃ t iː r
1016-4				a n + ɛ eː ə r
1069-4				d ɪ x
509-4				f a l ə n
693-4				m a n ɪ x
2179-4				n ɛ t
1753-4				v ai
1131-4				v a l ə
1198-4				b aː r t
2032-4				h eː r n
2241-4				n aː x
2244-4				m l ai
610-4				f k
945-4				b ɛ r t
1534-4				l ɪ f ə n
384-4				au ɡ ə n
1650-4				n aː t
1663-4				z au
2279-4				ai l ɪ n ə n
471-4				au ə n
1385-4				b aː t
792-4				f ɛ k
1111-4				m a
197-4				d ɪ n ə n
2020-4				l a ŋ ə n
867-4				h eː n d ə r
1970-4				f a l
1230-4				d ɛ r + ʃ t ɛ r ə n
2017-4				f iː n
968-4				v eː r b ə l
1674-4				l a n t
1671-4				f ɛ k ə l
829-4				k l ai f
1025-4				v eː t ə r
1027-4				ai t
1832-4				ai r ai
-1816-4				au n + ʃ t aː n
-335-4				l a n ə n
1043-4				ʃ t a m
423-4				v eː n
2049-4				m au n
2062-4				ʃ t ai m
2065-4				r au s + b oː n
1368-4				ʃ au t
1365-4				d ɪ n
754-4				r ai b ə n
768-4				v eː ə r
1211-4				f ɛ r
106-4				m a
-98-4				b eː b ə n
719-4				b aː d ə r
1341-4				b oː n
-2027-4				t a n + ɛ n ə n
-2026-4				l eː f
409-4				ʃ au n + z ɪ n
402-4				ʃ au t ə r
1014-4				ʃ t iː r
1059-4				v a f
120-4				z ai l
2183-4				j t iː r
2194-4				ai
2199-4				k a l b ə
2197-4				ʃ au
1523-4				z ai n
1521-4				b au x
512-4				m eː r
2141-4				h ɛ n
2147-4				n a n
814-4				k r ai
810-4				d iː f
1755-4				b oː n t
1758-4				m iː t
1620-4				f ɪ n
1282-4				v a f t
1136-4				f iː
1309-4				ai l ai
1307-4				n ai t
1305-4				f l au
711-4				v ɛ
1442-4				f l iː s
62-4				m ʊ k ə n
-73-4				m a n iː f
1810-4				b eː t
1805-4				f l ai
1813-4				h aː r
1811-4				b l ai t
690-4				r au
2177-4				b oː d t
246-4				v ɛ f + b r au
249-4				a n + l ɪ n t
1506-4				a n + ɛ l ə n
2242-4				m a n t
2245-4				t oː n
1196-4				n a k ə n
2174-4				ʃ au d ə r
575-4				n ʊ k ə l
603-4				+ ɛ l ə n
601-4				b a n t
615-4				ai ɪ ŋ ə r
901-4				k l a
608-4				f iː
596-4				au n
937-4				b r ai t
936-4				n aː b ə l
646-4				l a ŋ ə n
947-4				l ai b ə r
1606-4				f a f t
472-4				n eː z ə n
1535-4				ʃ v eː t ə n
1546-4				ʃ p a ɡ ə n
1959-4				ʃ l aː b ə n
694-4				ʃ au r k ə n
1961-4				d r ɪ m ə n
323-4				ai l eː b ə n
1885-4				ɡ r aː s
2156-4				f ɛ r + h ai l
1903-4				v a n t
525-4				ʃ v ɛ l
276-4				l a m
274-4				d iː f
278-4				b l ai t
258-4				d r au n ə n
256-4				n aː d
383-4				ai t ə n
207-4				r ai f
376-4				d r a ŋ k ə n
2014-4				r ai s ə n
2009-4				ai
2003-4				k ai l ə l
2024-4				p a n ə n
1976-4				t a ŋ
1243-4				m a l t
1261-4				j eː b ə n
655-4				b r ai t
650-4				ai d ə n
1532-4				k n ai d ə n
-36-4				t iː f
34-4				h oː n
-1647-4				f ai
