COGID	dutch	english	french	german
2241-2		n iː d		
2244-2		l iː f		
610-2		θ ɪ n		
945-2		h ɑː f		
1534-2		l iː k		
384-2		s iː		
1650-2		n iː d		
1663-2		h iː l		
2279-2		l iː n		
471-2		s eɪ k		
1385-2		s eɪ		
792-2		h ʊ k		
1111-2		m iː l		
197-2		s aɪ d		
2020-2		l ɑː ŋ		
867-2		h aʊ n d		
1970-2		f iː l		
1230-2		d r iː d		
2017-2		n iː d		
968-2		w iː f		
1674-2		l æ n		
1671-2		h iː f		
829-2		k l aɪ		
1025-2		w ɛ s t		
1027-2		s aɪ		
1832-2		r aɪ		
-1816-2		b iː n		
-335-2		l uː z		
1043-2		b r æ m		
423-2		s t r ɛ tʃ		
2049-2		l aɪ n		
2062-2		b l ɔː k		
2065-2		r ɔ s t		
1368-2		s w ɔ t		
1365-2		d aɪ		
754-2		r aɪ		
768-2		w aɪ d		
1211-2		f uː		
106-2		h æ n		
-98-2		b eɪ		
719-2		f æ d		
1341-2		b iː n		
-2027-2		t ɔ n		
-2026-2		n iː d		
409-2		s iː l		
402-2		s w ɔ t ə r		
1014-2		s w ɔ t ə r		
1059-2		w aɪ		
120-2		h iː l		
2194-2		d ɔ ʃ		
2199-2		k l aɪ		
2197-2		h eɪ p		
1523-2		s aɪ		
512-2		m ɔː r		
2141-2		h aɪ n		
2147-2		k əʊ m		
814-2		k ɑː m		
810-2		d iː l		
1758-2		h aɪ n		
1760-2		r əʊ t		
1620-2		f aɪ n		
1282-2		w iː l		
1136-2		f ʊ k		
1309-2		l iː f		
1307-2		n iː d		
1305-2		f iː l		
711-2		w aʊ ʃ		
1442-2		f l aɪ		
62-2		h aɪ		
-73-2		l iː d		
1810-2		h aɪ		
1805-2		f l aɪ		
1813-2		h eɪ		
1811-2		b l æ k		
690-2		r aɪ p		
2177-2		h aɪ		
246-2		v aɪ n		
1469-3			n y k	
2047-3			b ʀ i k	
2054-3			p ə ʀ	
1375-3			n y k	
760-3			n y k	
756-3			p ə ʀ	
726-3			n y k	
1351-3			k ʀ i ʀ	
1353-3			k ʀ i ʀ	
412-3			l ə v e	
406-3			l ə v e	
1005-3			s ɑ̃ t ʀ	
1012-3			s ɑ̃ t ʀ	
1016-3			f ʀ i ʀ	
1069-3			n y k	
509-3			p l a	
693-3			p ə l e	
2179-3			n y k	
1753-3			p l a	
1131-3			p ə ʀ	
1198-3			p ə ʀ	
2032-3			p ə ʀ	
2241-3			n y k	
2244-3			p ə l e	
610-3			k y k	
945-3			p ə ʀ	
1534-3			n a ɡ	
384-3			b ʀ i k	
1650-3			k u p	
1663-3			n y k	
2279-3			n y k	
471-3			p ə ʀ	
1385-3			b u p	
792-3			b ʀ i k	
1111-3			p l a	
197-3			n y k	
2020-3			p e a	
867-3			ɛ s ɛ l	
1970-3			p l a	
1230-3			p i ʀ	
2017-3			n y k	
2183-3			p ɛ ʀ	
1521-3			k u p	
1755-3			n y k	
1760-3			ʀ u t	
1469-4				z a n t
2047-4				z ʊ n ə
2054-4				t a r ə r
1375-4				f l ɪ x t
760-4				v iː n
756-4				ʃ n ɛ x ə n
726-4				m ɪ t ə r
1351-4				ɡ r ai t ə r
1353-4				ɡ r a t ə r
412-4				ʃ au s + h eː ə r
406-4				ʃ uː s t ə r
1005-4				ʃ ʊ l t ə r
1012-4				ʃ ʊ l t ə r
1016-4				+ d ŋ n ə r
1069-4				d ɪ k
509-4				f a l ə n
693-4				m l ɛ s ə l
2179-4				n ɛ s t ə n
1753-4				f iː s
1131-4				v ɔ l
1198-4				b aː r t
2032-4				b eː r n
2241-4				n oː k
2244-4				l ai f ə
610-4				k n eː ə n
945-4				h a f t
1534-4				f l ɪ x
384-4				z eː b ə n
1650-4				n a k
1663-4				b au ə n
2279-4				l ɪ n
471-4				z eː b ə n
1385-4				z eː t ə n
792-4				b uː
1111-4				m aː s
197-4				z eː t ə n
2020-4				f l a ŋ
867-4				h ʊ n d ə r
1970-4				f iː l
1230-4				t + d ə n
2017-4				n iː
968-4				v ai + h ɔ l ts
1674-4				l a n t
1671-4				b ɛ ŋ ə l
829-4				k l ai f
1025-4				v eː t ə r
1027-4				z iː
1832-4				r ai
-1816-4				b eː n
-335-4				f l ɪ n t
1043-4				ʃ t r oː m
423-4				b iː n
2049-4				m a n
2062-4				ʃ ʊ m
2065-4				r ɛ x ə n
1368-4				ʃ ʊ l t ə n
1365-4				t au p
754-4				eː r ə n
768-4				v ai
1211-4				f iː r
106-4				m a n
-98-4				b ɔy ə n
719-4				f + d iː r
1341-4				ʃ ɔ n ə
-2027-4				ts a m ə n
-2026-4				n ɛ x ə n
409-4				ʃ uː s ə n
402-4				ʃ uː s t ə r
1014-4				ʃ ʊ l t ə r
1059-4				v ai
120-4				z ʊ l ə
2183-4				b ɔ r + ʃ t ai
2194-4				z ʊ s t
2199-4				k l au ə
2197-4				z ʊ p ə
1523-4				z oː x
1521-4				b au x
512-4				m eː r
2141-4				b ɛ n
2147-4				ɡ eː n
814-4				k r aː s
810-4				t au p
1755-4				h ʊ n
1758-4				l ʊ m
1620-4				f iː n
1282-4				v a l ə
1136-4				f uː s
1309-4				l aː s
1307-4				n ai t
1305-4				f a l ə
711-4				v eː b ə n
1442-4				f l iː
62-4				m ʊ ŋ ə
-73-4				m ʏ ts ə
1810-4				b ə + h a l t
1805-4				f l ɛ s ə l
1813-4				b iː l ə r
1811-4				b l a s
690-4				r iː
2177-4				b au f
246-4				ts ɛ ŋ ə r
