COGID	dutch	english	french	german
655-2		b n ɔ t		
650-2		d eː ɡ		
1532-2		k n eː d uː		
-36-2		ʃ yː f		
34-2		b ɔ n		
-1647-2		f a ɡ		
1469-3			Ø Ø Ø t	
2047-3			Ø Ø Ø Ø	
2054-3			Ø Ø Ø t Ø Ø	
1375-3			l Ø Ø t	
760-3			Ø Ø Ø t	
756-3			Ø Ø Ø Ø	
726-3			n Ø Ø Ø Ø	
1351-3			Ø Ø Ø Ø t Ø Ø Ø Ø Ø Ø	
1353-3			Ø Ø Ø Ø Ø n Ø Ø Ø Ø	
412-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø	
406-3			Ø Ø Ø Ø Ø Ø Ø n Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø	
1005-3			Ø t n Ø Ø Ø Ø Ø Ø Ø	
1012-3			Ø t n Ø Ø n Ø Ø Ø Ø	
1016-3			Ø Ø t Ø Ø Ø Ø Ø Ø Ø	
1069-3			Ø x	
509-3			Ø Ø l Ø Ø	
693-3			n Ø Ø l Ø Ø Ø Ø l	
2179-3			Ø Ø ts t	
1753-3			Ø Ø Ø	
1131-3			Ø Ø l Ø	
1198-3			Ø Ø Ø Ø t	
2032-3			Ø Ø Ø Ø	
2241-3			Ø Ø Ø Ø	
2244-3			l Ø Ø Ø	
610-3			x Ø n	
945-3			Ø Ø Ø t	
1534-3			l Ø x Ø Ø	
384-3			Ø Ø Ø Ø Ø	
1650-3			Ø Ø t	
1663-3			Ø Ø l t	
2279-3			l Ø Ø Ø Ø	
471-3			Ø eː t Ø Ø	
1385-3			Ø Ø t	
792-3			t Ø x	
1111-3			n Ø ts t	
197-3			Ø Ø Ø Ø Ø	
2020-3			l Ø Ø	
867-3			Ø Ø Ø t Ø Ø Ø t	
1970-3			Ø Ø l	
1230-3			Ø Ø Ø Ø t Ø	
2017-3			Ø Ø n Ø	
2183-3			Ø Ø Ø Ø	
1521-3			Ø Ø Ø	
1755-3			Ø Ø Ø Ø	
1760-3			Ø Ø	
1196-3			Ø Ø Ø Ø Ø	
575-3			Ø Ø Ø Ø l Ø Ø Ø Ø Ø	
2014-3			Ø Ø ts t Ø Ø	
1321-3			Ø Ø Ø	
1265-3			Ø Ø l eː	
1469-4				z a n t
2047-4				z ɔ n ə ə
2054-4				d ɔ n t ə r
1375-4				l ai x t ə ə
760-4				v ɪ n t
756-4				ʃ n ai Ø
726-4				m uː d ə r
1351-4				ɡ r a n t f eː d ə r
1353-4				ɡ r a t m uː d ə r
412-4				x a f eː d ə r n l
406-4				x m uː d ə r n l
1005-4				ʃ t f eː d ə r
1012-4				ʃ t eː Ø m uː d ə r
1016-4				v eː t ə ə
1069-4				ə ai ɡ
509-4				f oː l ə
693-4				m uː l ə eː z ə l
2179-4				n ɛ ʃ t
1753-4				ə f ɪ ə
1131-4				ɔ l f ə
1198-4				b aː ə t.ə
2032-4				h oː n
2241-4				n oː s
2244-4				l ɪ pf ə
610-4				ɡ ə n iː
945-4				h a t
1534-4				l ɪ k ə
384-4				z au k ə
1650-4				n ə oː t
1663-4				z eː l t
2279-4				l ɪ n n
471-4				z ə ə
1385-4				z aː ə ə t
792-4				Ø a x
1111-4				m a ʃ t
197-4				z au d ə
2020-4				l a ŋ
867-4				h ɔ n t ə r ə t
1970-4				f ɔ l ə
1230-4				d a ə t ə ə ə
2017-4				n v
968-4				v Ø ə l t
1674-4				l a n t
1671-4				h Ø Ø l
829-4				k l ɪ f
1025-4				v eː t ə r
1027-4				z eː
1832-4				r Ø f
-1816-4				ɔ Ø ə n
-335-4				l ə ɡ Ø n ə
1043-4				ʃ t r au m
423-4				ʃ t ai n
2049-4				m eː n
2062-4				ʃ t Ø m
2065-4				r ɛ n ə Ø b ɔ x
1368-4				x a t Ø Ø
1365-4				t eː Ø Ø
754-4				r ɛ n ə
768-4				v eː d ə r
1211-4				f Ø ə r
106-4				m a n
-98-4				b ɛ b ɪ.x
719-4				f ai d ə r
1341-4				z ɔ n
-2027-4				t.ə a n t ə
-2026-4				n eː f eː eː
409-4				ʃ x ɔ n z Ø n l eː
402-4				x Ø t Ø x t ə r n l eː
1014-4				ʃ t Ø v t Ø x t ə r
1059-4				v ai
120-4				ʃ t a l
2183-4				ʃ t iː r ə
2194-4				oː ʃ
2199-4				k a l f
2197-4				x aː pf
1523-4				z Ø x
1521-4				b oː x
512-4				m ɛ r Ø
2141-4				h ɛ n
2147-4				ɡ Ø ʃ
814-4				k r ə
810-4				t au f
1755-4				h ə ɔ n s
1758-4				m au s
1620-4				f ɪ n
1282-4				v ɛ l ə
1136-4				f oː ʃ
1309-4				l au ʃ
1307-4				n eː t
1305-4				f l au
711-4				v eː ʃ pf
1442-4				f l iː x
62-4				m ʏ Ø
-73-4				m Ø ʃ k iː t ə
1810-4				h ai t
1805-4				f l eː
1813-4				h aː ə r
1811-4				b l uː t
690-4				r ɪ Ø
2177-4				h Ø Ø t
246-4				Ø ɛ Ø Ø b r Ø Ø
249-4				oː ɡ l ɪ t
1506-4				Ø Ø Ø ʊ t r ə l
2242-4				m ʊ Ø
2245-4				t ɔ ŋ
1196-4				n a x
2174-4				x a l t ə r
575-4				oː x ts ə l
603-4				ɛ l ə b ɔ x
601-4				h a n t
615-4				f ɪ ŋ ɡ ə r
901-4				k l Ø Ø
608-4				f oː t
596-4				t ai
937-4				b ə r eː ʃ t
936-4				n a b ə l
646-4				l ɔ ŋ
947-4				l eː b ə r
1606-4				h Ø pf
472-4				ʃ n iː z ə
1535-4				z v eː t ə
1546-4				ʃ pf Ø Ø ə
1959-4				ʃ l aː pf ə
694-4				ʃ n Ø r ɡ ə
1961-4				t r au m ə
323-4				ə l ai b ə
1885-4				ɡ r a f
2156-4				ə k a l t Ø eː t.ə
1903-4				v ʊ n t
525-4				z v ɛ l ɪ ŋ
276-4				l a m ɛ
274-4				t Ø f
278-4				b l ai n t
258-4				t r ɔ ŋ k ə
256-4				n a k t
383-4				eː t ə
207-4				r ai pf
376-4				t r ɪ ŋ k ə
2014-4				r Ø ʃ d
2009-4				ɔ b n ə
2003-4				k eː t ə l
2024-4				pf a n
1976-4				t a ŋ s
1243-4				m aː l t.ə eː t.ə
1261-4				z eː b ə
655-4				b r Ø t
650-4				t ai x
1532-4				ɡ n eː t ə
-36-4				ʃ uː pf
34-4				b au n
-1647-4				f ɡ
