COGID	dutch	english	french	german
249-1	Ø Ø Ø Ø + l ɪ t			
1506-1	n ɔ ts ts r ə Ø Ø Ø Ø Ø			
2242-1	m Ø Ø Ø			
2245-1	ts Ø ŋ Ø			
1196-1	m Ø ts m m			
2174-1	Ø Ø l t ə r			
575-1	ɛ m ts ɛ l m m m l m			
603-1	a l Ø Ø + b Ø Ø Ø Ø			
601-1	h Ø n t			
615-1	f ɪ ŋ Ø ə r			
901-1	k l Ø Ø			
608-1	f Ø ts			
596-1	ts Ø Ø			
937-1	b r a ts ts			
936-1	n Ø b Ø Ø			
646-1	l Ø ŋ Ø			
947-1	l ɪ b ə r			
1606-1	h ɪ pf Ø Ø			
472-1	ts n iː z Ø Ø			
1535-1	ts v a ts Ø Ø			
1546-1	ts pf ɪ ts Ø Ø			
1959-1	ts l iː pf Ø Ø			
694-1	ts n Ø r Ø Ø Ø			
1961-1	t r iː m Ø Ø			
323-1	ə + l Ø b Ø Ø			
1885-1	Ø r Ø f			
2156-1	Ø Ø Ø k Ø l t Ø Ø Ø			
1903-1	v Ø n t Ø			
525-1	ts v a l ɪ ŋ			
276-1	l Ø m Ø			
274-1	t a f			
278-1	b l Ø n t			
258-1	Ø Ø t r Ø ŋ k Ø Ø			
256-1	n Ø k ɪ t			
383-1	iː ts Ø Ø			
207-1	r Ø pf			
376-1	t r ɪ ŋ k Ø Ø			
2009-1	Ø b Ø Ø			
2003-1	k a ts Ø Ø			
2024-1	pf Ø n Ø			
1321-1	k Ø p			
1976-1	ts ɔ ŋ z Ø			
1243-1	m iː l Ø Ø Ø			
1265-1	p iː l Ø			
1261-1	ts ɪ b Ø Ø			
655-1	b r a t			
650-1	t Ø Ø			
1532-1	Ø n iː t Ø Ø			
-36-1	ts yː pf Ø			
34-1	b iː n Ø			
-1647-1	f ɪ Ø Ø			
-1615-1	ɔ ɪ l			
125-1	f Ø ts			
1659-1	h Ø n ɪ Ø			
1661-1	m ɪ l k			
1676-1	b Ø ts ə r			
480-1	Ø Ø Ø t r ɪ ŋ k			
1466-1	k l Ø Ø Ø z			
2277-1	v Ø l Ø			
2271-1	f a l ts			
2293-1	l a Ø ə r			
624-1	ts pf ɪ Ø Ø n			
628-1	ts pf ɪ n t Ø Ø			
626-1	v iː b Ø Ø			
633-1	n iː t Ø Ø			
1185-1	Ø yː + m Ø k Ø ə r			
1179-1	h Ø ts			
2168-1	k Ø m			
1952-1	t Ø r			
899-1	l Ø t ə r			
922-1	b a t			
-934-1	l Ø m pf Ø			
916-1	ts r ɔ f			
1726-1	f iː l t			
2108-1	pf l Ø Ø Ø Ø			
1133-1	f Ø r Ø Ø			
2114-1	ts pf Ø t Ø Ø			
1272-1	r Ø Ø Ø Ø			
1979-1	Ø r Ø ts			
1989-1	h Ø			
-2260-1	pf l Ø n ts Ø Ø			
70-1	b iː Ø Ø			
-89-1	b Ø n Ø Ø Ø Ø Ø			
-12-1	pf Ø pf Ø			
713-1	ts Ø pf Ø			
747-1	n a ts Ø Ø			
308-1	t yː Ø			
289-1	b Ø n t Ø Ø			
1930-1	b r Ø k Ø Ø			
1928-1	ts pf Ø l ɪ ts Ø Ø			
858-1	ts ts r a Ø Ø Ø			
1577-1	Ø Ø Ø h Ø Ø Ø ŋ			
908-1	v ɔ Ø Ø Ø			
648-1	b Ø r Ø Ø			
1855-1	Ø Ø Ø h ɔ l Ø Ø			
657-1	h Ø m ə r			
2058-1	n Ø Ø Ø l			
949-1	b Ø Ø x + ts m ɪ Ø			
1642-1	Ø Ø l t			
1640-1	ts ɪ l b ə r			
1633-1	Ø r ə n			
1630-1	ts ɪ n			
1469-2		z a ts		
2047-2		z ɔ a ə ə		
2054-2		d ɔ n t uː r		
1375-2		l oː k ts ə ə		
760-2		oː a ts		
756-2		a n eː v		
726-2		m Ø t ə r		
1351-2		ɡ r oː t + f ə t ə r		
1353-2		ɡ r oː t + m Ø t ə r		
412-2		a ə ə k oː a + f ə t ə r		
406-2		a k ə ə oː a + m Ø t ə r		
1005-2		a ts iː ə + f ə t ə r		
1012-2		a ts iː f + m Ø t ə r		
1016-2		eː t a f ə a + ə r		
1069-2		Ø oː k		
509-2		f Ø l uː ə		
693-2		m a l ə + eː z ə n		
2179-2		n au a ts		
1753-2		ə f oː ts Ø		
1131-2		ɔ l f ə		
1198-2		b ə r ts		
2032-2		k oː Ø n		
2241-2		n Ø a ə		
2244-2		l oː a ə ə		
610-2		k ə n iː		
945-2		k r t		
1534-2		l oː k uː ə		
384-2		z a ɡ uː ə		
1650-2		n ə oː t		
1663-2		z a l ə		
2279-2		l oː a uː ə		
471-2		z Ø a uː ə		
1385-2		z ə ə ə ts		
792-2		Ø ʏ k		
1111-2		m a ts		
197-2		z a t ə ə		
2020-2		l aː a		
867-2		ɡ ɔ a t ə r ts		
1970-2		f ɔ l Ø		
1230-2		d au r ə ə t ə uː ə		
2017-2		n iː ə		
968-2		v eː Ø ə l ts		
1674-2		l aː n ts		
1671-2		h Ø f uː l		
829-2		k l Ø f Ø		
1025-2		v Ø Ø uː Ø		
1027-2		z ə		
1832-2		Ø Ø v		
-1816-2		oː Ø ə Ø Ø n		
-335-2		l Ø ɡ Ø n uː		
1043-2		Ø ts Ø oː m		
423-2		Ø ts ə n		
2049-2		m Ø n t		
2062-2		Ø ts ɔ Ø m		
2065-2		Ø ə ɡ uː m + b oː ɡ Ø Ø		
1368-2		Ø ɡ Ø t Ø v		
1365-2		t a v		
754-2		Ø ə ɡ uː Ø		
768-2		v eː t Ø Ø		
1211-2		f Ø Ø Ø		
106-2		m aː n		
-98-2		b ə b ai		
719-2		f Ø t uː Ø		
1341-2		z oː n		
-2027-2		ts aː n ts uː		
-2026-2		n eː f Ø		
409-2		Ø Ø Ø ɡ oː n + z oː n		
402-2		Ø Ø Ø ɡ oː n + t ɔ ɡ ts uː Ø		
1014-2		Ø ts ai f + t ɔ ɡ ts uː Ø		
1059-2		v ai Ø		
120-2		Ø ts aː l		
2194-2		ɔ n ts Ø		
2199-2		k aː l f		
2197-2		Ø ɡ Ø pf		
1523-2		z Ø ɡ		
512-2		m a Ø aː		
2141-2		h a n		
2147-2		ɡ aː n ts		
814-2		k Ø Ø Ø Ø		
810-2		t Ø f Ø		
1758-2		m Ø ts		
1760-2		Ø Ø t		
1620-2		f Ø n Ø		
1282-2		v aː l f Ø Ø		
1136-2		f ɔ n ts		
1309-2		l Ø ts		
1307-2		n ə Ø Ø		
1305-2		f l oː		
711-2		v au ts pf Ø		
1442-2		f l ai ɡ Ø		
62-2		m Ø ɡ Ø		
-73-2		m Ø ts k ai ts Ø		
1810-2		h Ø ts		
1805-2		f l ə Ø		
1813-2		h Ø Ø		
1811-2		b l Ø ts		
690-2		Ø Ø pf Ø		
2177-2		h oː f ts		
246-2		Ø v ɪ ŋ Ø + b Ø a v Ø		
249-2		oː ɡ Ø Ø + l Ø ts		
1506-2		n Ø Ø Ø Ø + f l Ø ɡ ə l		
2242-2		m ɔ n ts		
2245-2		Ø ɔ ŋ Ø		
2174-2		Ø ɡ a l t uː Ø		
603-2		au l uː Ø + b oː ɡ Ø Ø		
601-2		h aː n ts		
615-2		f Ø ŋ uː Ø		
901-2		k l a v Ø		
608-2		f Ø Ø		
596-2		Ø ə n Ø		
937-2		b ɔ Ø Ø ts ts		
936-2		n Ø b uː l		
646-2		l ɔ ŋ Ø		
947-2		l ə b uː Ø		
1606-2		h Ø pf t Ø		
472-2		n ai z uː Ø		
1535-2		z v ə Ø uː Ø		
1546-2		Ø pf Ø ɡ uː Ø		
1959-2		Ø l Ø pf uː Ø		
694-2		Ø n Ø Ø x uː Ø		
1961-2		t Ø oː m uː Ø		
323-2		l ə b uː Ø		
1885-2		ɡ Ø aː f		
2156-2		f ə Ø + k a l ts + h ai Ø		
1903-2		v ɔ n Ø Ø		
525-2		z v au l Ø ŋ		
276-2		l aː m		
274-2		t oː f		
278-2		b l Ø n ts		
258-2		Ø Ø Ø t Ø ɔ ŋ k uː Ø		
256-2		n Ø k ts		
383-2		eː Ø uː Ø		
207-2		Ø ai pf		
376-2		t Ø Ø ŋ k uː Ø		
2014-2		Ø oː Ø ts Ø Ø		
2009-2		oː f uː Ø		
2003-2		k eː Ø uː l		
2024-2		pf aː n Ø		
1321-2		k Ø pf		
1976-2		Ø aː ŋ Ø		
1243-2		m Ø l Ø Ø t + Ø ai Ø		
1265-2		pf Ø l Ø		
1261-2		z ə b uː Ø		
655-2		b Ø oː ts		
650-2		t ə ɡ		
1532-2		k n ə t uː Ø		
-36-2		Ø Ø pf Ø		
34-2		b oː n Ø		
-1647-2		f ai ɡ Ø		
-1615-2		oː l ai		
125-2		f au ts		
1659-2		h oː n Ø ŋ		
1661-2		m a l x		
1676-2		b oː ts uː Ø		
480-2		Ø Ø Ø t Ø ŋ k		
1466-2		k l ə t Ø ŋ		
2277-2		v ɔ l Ø		
2271-2		f Ø l Ø		
2293-2		l ə Ø Ø Ø		
624-2		Ø pf Ø n uː Ø		
628-2		Ø pf Ø n t uː l		
626-2		v ə b uː Ø		
633-2		n Ø l Ø Ø l		
1185-2		Ø ɡ Ø n + m Ø x t uː Ø		
1179-2		h Ø ts		
2168-2		k aː m		
1952-2		t Ø Ø		
899-2		l aː t uː Ø		
922-2		b au ts		
-934-2		l aː m pf Ø		
916-2		ts Ø ɔ ɡ		
1726-2		f au l ts		
2108-2		pf l Ø ɡ uː Ø		
1133-2		f oː Ø Ø uː		
2114-2		Ø pf Ø t uː Ø		
1272-2		Ø ɔ ɡ uː Ø		
1979-2		ɡ Ø aː ts		
1989-2		h oː Ø		
-2260-2		pf l aː n Ø uː Ø		
70-2		b Ø x Ø		
-89-2		v Ø ŋ ə Ø Ø Ø Ø t Ø n		
-12-2		pf ai pf Ø		
713-2		Ø aː pf t		
747-2		n eː Ø uː l		
308-2		t Ø n		
289-2		b Ø n t uː Ø		
1930-2		b Ø eː x uː Ø		
1928-2		Ø pf Ø l ai ts uː Ø		
858-2		Ø Ø + Ø t Ø au k uː Ø		
1577-2		ɔ pf + h ŋ uː Ø		
908-2		v aː Ø uː Ø		
648-2		b oː Ø uː Ø		
1855-2		Ø Ø + h ɔ l uː Ø		
657-2		h Ø m uː Ø		
2058-2		n Ø ɡ uː l		
949-2		Ø m Ø ts		
1642-2		ɡ a l ts		
1640-2		z Ø l b uː Ø		
1633-2		ai z uː Ø		
1630-2		Ø Ø n		
1469-3			Ø Ø Ø t	
2047-3			Ø Ø Ø Ø	
2054-3			Ø Ø Ø t Ø Ø	
1375-3			l Ø Ø t	
760-3			Ø Ø Ø t	
756-3			Ø Ø Ø Ø	
726-3			x Ø Ø Ø Ø	
1351-3			Ø Ø Ø Ø t Ø Ø Ø Ø Ø Ø	
1353-3			Ø Ø Ø Ø Ø x Ø Ø Ø Ø	
412-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø	
406-3			Ø Ø Ø Ø Ø Ø Ø x Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø	
1005-3			Ø t ʊ Ø Ø Ø Ø Ø Ø Ø	
1012-3			Ø t ʊ Ø Ø x Ø Ø Ø Ø	
1016-3			Ø Ø t Ø Ø Ø Ø Ø Ø Ø	
1069-3			Ø x	
509-3			Ø Ø l Ø Ø	
693-3			x Ø Ø l Ø Ø Ø Ø l	
2179-3			Ø Ø ts t	
1753-3			Ø Ø Ø	
1131-3			Ø Ø l Ø	
1198-3			Ø Ø Ø Ø t	
2032-3			Ø Ø Ø Ø	
2241-3			Ø Ø Ø Ø	
2244-3			l Ø Ø Ø	
610-3			x Ø ʊ	
945-3			Ø Ø Ø t	
1534-3			l Ø x Ø Ø	
384-3			Ø Ø Ø Ø Ø	
1650-3			Ø Ø t	
1663-3			Ø Ø l t	
2279-3			l Ø Ø Ø Ø	
471-3			Ø eː t Ø Ø	
1385-3			Ø Ø t	
792-3			t Ø x	
1111-3			x Ø ts t	
197-3			Ø Ø Ø Ø Ø	
2020-3			l Ø Ø	
867-3			Ø Ø Ø t Ø Ø Ø t	
1970-3			Ø Ø l	
1230-3			Ø Ø Ø Ø t Ø	
2017-3			Ø Ø ʊ Ø	
2183-3			Ø Ø Ø Ø	
1521-3			Ø Ø Ø	
1755-3			Ø Ø Ø Ø	
1760-3			r Ø Ø	
1196-3			Ø Ø Ø Ø Ø	
575-3			Ø Ø Ø Ø l Ø Ø Ø Ø Ø	
2014-3			Ø Ø ts t Ø Ø	
1321-3			Ø Ø Ø	
1265-3			Ø Ø l eː	
1469-4				z a n t
2047-4				z ɔ n eː ɡ
2054-4				t ɔ n t ə r
1375-4				l ɪ x ts eː ɡ
760-4				v ɪ n t
756-4				ʃ n eː Ø
726-4				m uː Ø ə r
1351-4				ɡ r a n t + f eː Ø ə r
1353-4				ɡ r a ts + m uː Ø ə r
412-4				x a + f eː Ø ə r n l
406-4				x oː l + m uː Ø ə r n l
1005-4				ʃ ts Ø + f eː Ø ə r
1012-4				ʃ ts Ø Ø + m uː Ø ə r
1016-4				v eː t ə + aː r
1069-4				ɡ ɪ ɡ
509-4				f a l ə
693-4				m Ø l eː + eː z ə l
2179-4				n ɛ ʃ ts
1753-4				ɡ f ɪ ʃ ɡ
1131-4				v l f ɡ
1198-4				b aː ts
2032-4				h oː r n
2241-4				n a s
2244-4				l ɪ pf ɡ
610-4				ɡ ɡ n iː
945-4				h a r ts
1534-4				l ɪ k ə
384-4				z au k ə
1650-4				n ɡ ɔ ts
1663-4				z eː l ts
2279-4				l ɪ n a n
471-4				z aː ə
1385-4				z ai ɡ ɡ t
792-4				Ø a x
1111-4				m a ʃ ts
197-4				z au t ə
2020-4				l Ø ŋ
867-4				h ɔ n t ə r t
1970-4				f l ɡ
1230-4				t a r ɡ t ɡ ə ɡ
2017-4				n z v
968-4				v Ø r ə l t
1674-4				l a n t
1671-4				h Ø f Ø l
829-4				k l ɪ f
1025-4				v eː ts ə r
1027-4				z ɪ
1832-4				r Ø f
-1816-4				ɔ ʃ Ø Ø aː n
-335-4				l ə ɡ Ø n ə
1043-4				ʃ ts r au m
423-4				ʃ ts a n
2049-4				m eː n
2062-4				ʃ ts oː r m
2065-4				r ɛ n ə Ø + b ɔ x
1368-4				ʃ x a t Ø Ø
1365-4				t eː Ø Ø
754-4				r ɛ n ə
768-4				v Ø ɡ r
1211-4				f Ø r
106-4				m a n
-98-4				b ɛ b ɪ.x
719-4				f ai t ə r
1341-4				z ɔ n
-2027-4				ts a n ts ə
-2026-4				n Ø f eː eː
409-4				ʃ x ɔ n + z Ø n l eː
402-4				x Ø Ø + t oː x ts ə r eː n l eː
1014-4				ʃ ts Ø v + t oː x ts ə r
1059-4				v ai
120-4				ʃ ts a l
2183-4				ʃ t iː r au
2194-4				ɔ ʃ
2199-4				k a l f
2197-4				ʃ x ai pf
1523-4				z Ø x
1521-4				b ɔ k.ə
512-4				m ɛ r Ø
2141-4				h ɛ n
2147-4				ɡ Ø Ø ʃ
814-4				k r ə Ø
810-4				t au f
1755-4				h au ɔ n t
1758-4				m au s
1620-4				f ɪ n
1282-4				v ɛ l f ə
1136-4				f ɔ ʃ
1309-4				l au ʃ
1307-4				n eː ts
1305-4				f l au
711-4				v eː ʃ pf
1442-4				f l iː x
62-4				m ʏ Ø
-73-4				m Ø ʃ k iː ts ə
1810-4				h ai t
1805-4				f l Ø ʃ
1813-4				h aː r
1811-4				b l uː t
690-4				r ɪ Ø
2177-4				h Ø Ø t
246-4				Ø ɛ Ø Ø + b r Ø Ø
249-4				oː ɡ + l ɪ t
1506-4				Ø Ø + Ø Ø ʊ eː r ə l
2242-4				m ʊ Ø t
2245-4				ts ɔ ŋ
1196-4				n ɛ k.ə
2174-4				ʃ x a l t ə r
575-4				ɔ x ts ə l
603-4				ɛ l ə + b ɔ x
601-4				h a n t
615-4				f ɪ ŋ ɡ ə r
901-4				k l Ø Ø
608-4				f oː ts
596-4				ts a Ø
937-4				b ə r eː ʃ ts
936-4				n a b ə l
646-4				l ɔ ŋ
947-4				l eː b ə r
1606-4				h Ø pf
472-4				eː n iː z ə
1535-4				z v Ø ts ə
1546-4				ʃ pf Ø Ø ə
1959-4				ʃ l ai pf ə
694-4				ʃ n Ø r ɡ ə
1961-4				t r au m ə
323-4				l ai b ə
1885-4				ɡ r a f
2156-4				f ə r + k a l t + Ø eː ts
1903-4				v ʊ n t
525-4				z v ɛ l ɪ ŋ
276-4				l a m ɛ
274-4				t Ø f
278-4				b l ɪ n t
258-4				t r ɔ ŋ k ə
256-4				n a k eː t
383-4				ɪ ts ə
207-4				r ai pf
376-4				t r ɪ ŋ k ə
2014-4				r Ø ʃ t ə ə
2009-4				ɔ b n ə
2003-4				k Ø ts ə l
2024-4				pf a n
1976-4				ts Ø ŋ s
1243-4				m ai l + ts eː ts
1261-4				z eː b ə
655-4				b r Ø t
650-4				t a x
1532-4				ɡ n ɪ t ə
-36-4				ʃ oː pf
34-4				b au n
-1647-4				f ai ɡ
-1615-4				oː eː l Ø
125-4				f a ts
1659-4				h ɔ n ɪ Ø
1661-4				m eː l k
1676-4				b ɔ ts ə r
480-4				t r aː ŋ k
1466-4				k l a t ə Ø
2277-4				v oː l
2271-4				f Ø l ts
2293-4				l Ø ɡ r
624-4				ʃ pf ɪ n ə
628-4				ʃ pf ɪ n t ə l
626-4				v ɪ b ə
633-4				n ai eː l ts
1185-4				ʃ x oː Ø + m a k ə r
1179-4				h oː ts
2168-4				k a m
1952-4				t Ø r
899-4				l a t ə r
922-4				b ɛ t
-934-4				l a m pf
916-4				ts r ɔ f
1726-4				f eː l t
2108-4				pf l oː ɡ ə
1133-4				f ɔ r ə
2114-4				ʃ pf a t ə
1272-4				r oː ɡ ə
1979-4				ɡ r a ʃ
1989-4				h Ø Ø
-2260-4				pf l a n ts ə
70-4				b Ø x
-89-4				Ø ɪ n ə r ts
-12-4				pf ai pf
713-4				ʃ a pf
747-4				n Ø ts ə l
308-4				t oː Ø
289-4				b ɪ n t ə
1930-4				b r ɛ k ə
1928-4				ʃ pf l ai ts ə
858-4				Ø ts + eː eː r ɛ x ə
1577-4				ə Ø + h a ŋ ə
908-4				v Ø ʃ ə
648-4				b Ø r ə
1855-4				Ø ts + h ɔ l ə
657-4				h a m ə r
2058-4				n a ɡ ə l
949-4				l ʃ m ɪ t
1642-4				ɡ a l t
1640-4				z ɪ l b ə r
1633-4				ai Ø ə ts
1630-4				ts ɪ n
