COGID	dutch	english	french	german
2241-3			k k	
2244-3			k u k	
610-3			y k	
945-3			y k	
1534-3			k u p	
384-3			k u k	
1650-3			y k	
1663-3			k p	
2279-3			n y k	
471-3			k u k	
1385-3			y k	
792-3			y k	
1111-3			n y k	
197-3			k p	
2020-3			k a l	
867-3			k u k	
1970-3			k u k	
1230-3			k a l	
2017-3			y k	
2183-3			k a l	
1521-3			y k	
1755-3			k p	
1760-3			k a l	
1469-4				z a n t
2047-4				z ʊ n ə
2054-4				d ə r
1375-4				l ɪ
760-4				v iː n
756-4				ʃ m iː n
726-4				m ʊ t ə r
1351-4				ɡ r ʊ d ə r n
1353-4				ɡ ə r + m uː d ə r n
412-4				ʃ a n d ə r
406-4				ʃ a n d ə r n
1005-4				ʃ t ai d ə r
1012-4				ʃ t uː r + ɛ s ə r
1016-4				v ɛ k + ɡ eː r
1069-4				+ ɪ x t
509-4				f iː l ə n
693-4				m ɔ l + ɡ ɪ n ə l
2179-4				n ɛ s t
1753-4				f iː l
1131-4				v oː l
1198-4				b aː r t
2032-4				h oː r n
2241-4				+ n ɔ l t
2244-4				+ l ɪ f t
610-4				k a n
945-4				+ h a r t
1534-4				l ɪ k ə n
384-4				z au ə n
1650-4				n iː
1663-4				au
2279-4				l ɪ n
471-4				z a ɡ ə n
1385-4				z ai t
792-4				j a k ə n
1111-4				m aː t
197-4				z iː d ə n
2020-4				l ai t
867-4				f ʊ n d ə r
1970-4				f oː l
1230-4				d r ɛ t ə n
2017-4				+ z iː n
968-4				v ɛ r f t
1674-4				l a n t
1671-4				h oː f ə l
829-4				k l ai f
1025-4				v ɛ s ə r
1027-4				au
1832-4				r au ə
-1816-4				ʃ s t
-335-4				l aː ɡ ə n
1043-4				t r au m
423-4				ʃ m ai n
2049-4				m aː r
2062-4				ʃ t au m
2065-4				r ai ɡ ə n
1368-4				ʃ d ʊ ŋ ə
1365-4				d ə r
754-4				r ai ɡ ə n
768-4				v ai n
1211-4				f iː r
106-4				m a n
-98-4				b r aː m
719-4				f a d ə r
1341-4				z iː n
-2027-4				ts a d ə n
-2026-4				n eː b ə
409-4				ʃ + ɛ n
402-4				ʃ a n + ɛ s ə r
1014-4				ʃ t iː r + ɛ s ə r
1059-4				au
120-4				ʃ au p
2183-4				t iː r
2194-4				au
2199-4				k a l
2197-4				ʃ ʊ p ə
1523-4				z uː ə r
1521-4				b au ə
512-4				m aː r
2141-4				h a n ə
2147-4				ɡ a n
814-4				k r ai t
810-4				t oː r
1755-4				f ʊ n t
1758-4				m aː d
1620-4				f ɪ n
1282-4				v a l b ə
1136-4				f au
1309-4				f l ai s
1307-4				m iː t
1305-4				f iː l
711-4				v a f t
1442-4				f l a x
62-4				m yː ɡ ə
-73-4				m a l t
1810-4				+ ʊ ŋ t
1805-4				f l ai s
1813-4				f aː r
1811-4				b l iː t
690-4				+ r ɪ f t
2177-4				d ʊ s t
246-4				v ɛ k + b r au
