COGID	dutch	english	french	german
610-4				k n iː
945-4				h ɛ r ts
1534-4				l ɛ k ə n
384-4				z au ɡ ə n
1650-4				n ʊ s
1663-4				z a l ts
2279-4				l ai n ə n
471-4				z æː ə n
1385-4				z aː t
792-4				j ɔ x
1111-4				m a s t
197-4				z yː d ə n
2020-4				l a ŋ
867-4				h ʊ n d ə r t
1970-4				f ɔ l
1230-4				d r ɪ t ə
2017-4				n ɔy
968-4				v ɛ l t
1674-4				l a n t
1671-4				h yː ɡ ə l
829-4				k l ɪ p ə
1025-4				v a s ə r
1027-4				z eː
1832-4				r au
-1816-4				oː ts eː aː n
-335-4				l a ɡ uː n ə
1043-4				ʃ t r oː m
