COGID	dutch	english	french	german
792-2		Ø ʏ x		
1111-2		m a ʃ t		
197-2		s au t ə ə		
2020-2		l a n		
867-2		ɔ ə t ə ə t		
1970-2		f ɶː l t		
1230-2		d au r t t t t uː t		
2017-2		n iː n t		
968-2		v eː n ə l t		
1674-2		l a n t		
1671-2		h Ø f uː l		
829-2		x l Ø f		
1025-2		v a Ø uː n		
1027-2		z eː		
1832-2		n Ø v		
-1816-2		ɔ s eː Ø a n		
-335-2		l a ɡ Ø n uː		
1043-2		s t n ɔ m		
1469-3			s a n t	
2047-3			s ɔ n Ø	
2054-3			Ø ɔ n d ə r	
1375-3			l Ø ə t	
760-3			Ø Ø n t	
756-3			s n ɔ ə	
726-3			ə ɔ Ø ə r	
1351-3			Ø r a ə t Ø Ø Ø Ø ə r	
1353-3			Ø r a t Ø ə ɔ Ø ə r	
412-3			s Ø Ø ə ə n ə Ø Ø Ø ə r ə ə ə ə ə ə	
406-3			s Ø Ø ə ə n ə ə ɔ Ø ə r ə ə ə ə ə ə	
1005-3			s t iː Ø Ø Ø Ø Ø ə r	
1012-3			s t iː Ø ə ɔ Ø ə r	
1016-3			Ø Ø d ɔ ə Ø n ə ə r	
1069-3			Ø k	
509-3			Ø ɔ l ə Ø	
693-3			ə ə iː l ə ə ə ə l	
2179-3			n Ø s t	
1753-3			Ø Ø s	
1131-3			Ø a l Ø	
1198-3			b Ø r ə t	
2032-3			Ø Ø r n	
2241-3			n ɔ s Ø	
2244-3			l Ø Ø	
610-3			k n iː	
945-3			Ø a r t	
1534-3			l Ø k ə Ø	
384-3			s ɔ k ə Ø	
1650-3			n ɔ t	
1663-3			s Ø l t	
2279-3			l Ø n ə Ø	
471-3			s ə d ə Ø	
1385-3			s Ø t	
792-3			d ɔ k	
1111-3			ə a s t	
197-3			s Ø Ø ə Ø	
2020-3			l a Ø	
867-3			Ø ɔ n d ə r ə t	
1970-3			Ø a l	
1230-3			Ø Ø r Ø d ə	
2017-3			n ə iː ə	
1469-4				z a n t
2047-4				z ɔ n ɡ ɡ
2054-4				t ɔ n t ə r
1375-4				l ai ɡ t ɡ n
760-4				v ʊ n t
756-4				ʃ n eː n
726-4				m uː d r
1351-4				ɡ.ə r a t f aː d r
1353-4				ɡ.ə r a s m uː d r
412-4				ʃ ɡ a n + f aː d r l
406-4				ʃ ɡ ə n + m uː d r l
1005-4				ʃ t iː s f aː d r
1012-4				ʃ t iː m uː d r
1016-4				v ɪ t oː n + aː r
1069-4				ɡ ai k
509-4				f ɔ l ə
693-4				m uː l ɡ + n z ə l
2179-4				n ɛ ʃ t
1753-4				ɡ f ʊ s ɡ
1131-4				ɔ l f ɡ
1198-4				b aː ə r t.ə
2032-4				h ɶː r n
2241-4				n ə s
2244-4				l ʊ pf n
610-4				k ɡ n iː
945-4				h a r t
1534-4				l ʊ k ə
384-4				z au k ə
1650-4				n ɡ oː t
1663-4				z au l t
2279-4				l ʊ n uː
471-4				z aː ə
1385-4				z ai ɡ ɡ t
792-4				Ø ɔ k
1111-4				m a ʃ t
197-4				z au t ə
2020-4				l a ŋ
867-4				h ɔ n t ə r ə t
1970-4				f ɔ l ɡ
1230-4				t n r ɡ oː t ɡ ə ɡ
2017-4				n v ə
968-4				v Ø r ə l t
1674-4				l a n t
1671-4				h Ø f Ø l
829-4				k l ʊ f
1025-4				v eː t ə r
1027-4				z eː
1832-4				r Ø f
-1816-4				oː ʃ Ø aː n
-335-4				l ə ɡ Ø n ə
1043-4				ʃ t r oː m
