COGID	dutch	english	french	german
1577-2		ɔ p + h æ ŋ		
908-2		w ɑː s		
648-2		b ɔ r l̩		
1855-2		+ aʊ t h əʊ l		
657-2		h æ m ə r		
2058-2		n ɪ ə ɡ l̩		
949-2		s m ɪ d		
1642-2		ɡ əʊ l d		
1640-2		s ɪ l v ə r		
1633-2		aɪ s ə r		
1630-2		t ɪ n		
1469-3			ʃ n t z	
2047-3			ʀ ɛ ʌ n	
2054-3			d ɔ n ə r	
1375-3			l i ʀ t	
760-3			w ə n d	
756-3			ʀ ɛ n əʊ	
726-3			m ʌ ð ə ʀ	
1351-3			x oː r t + f aː d ə r	
1353-3			x oː r t + m uː d ə r	
412-3			f ɑː ð ə ʀ + ə n + l ɔː	
406-3			s oː x n + m uː d ə r	
1005-3			ʀ ɛ t ɛ p + f ɑː ð ə ʀ	
1012-3			ʀ ɛ t ɛ p + m ʌ ð ə ʀ	
1016-3			w ə d əʊ ə ʀ	
1069-3			i ʀ	
509-3			f əʊ l	
693-3			m j ɔ l	
2179-3			n ɛ ʀ ɛ t	
1753-3			f ə ʃ	
1131-3			w ʊ l f	
1198-3			b ə ə d	
2032-3			h ɔː n	
2241-3			n øː s	
2244-3			l ə p	
610-3			iː n	
945-3			h ɑː t	
1534-3			l ə k	
384-3			ʀ ɛ ʌ k	
1650-3			n ʌ t	
1663-3			ʀ ɛ ɔː l t	
2279-3			l ə n ə n	
471-3			əʊ ʀ ɛ	
1385-3			ʀ ɛ iː d	
792-3			e t k	
1111-3			m ɑː ʀ ɛ t	
197-3			ʀ ɛ aʊ θ	
2020-3			l a ŋ	
867-3			h ʌ n d ʀ ə d	
1970-3			f ʊ l	
1230-3			θ ɜː d	
2017-3			ɔy n	
2183-3			s t b r	
1521-3			b ɔ k	
1755-3			h ɔ n t	
1760-3			ʀ æ t	
1196-3			n ɛ k	
575-3			ɔ k s ə l	
2014-3			ʀ ɔː ʀ ɛ t	
1321-3			k ʌ p	
1265-3			p iː l	
1469-4				z a n t
2047-4				z ʊ n ə n
2054-4				d ʏ n d ə r
1375-4				l ai t ə n
760-4				v ɪ n t
756-4				ʃ n ɡ ə n
726-4				m ʊ t ə r
1351-4				ɡ r oː t + f aː d ə r
1353-4				ɡ r ɶː t + m ʊ t ə r
412-4				ʃ oː n + f aː d ə r
406-4				ʃ oː n + m ʊ t ə r
1005-4				ʃ t iː + f aː d ə r
1012-4				ʃ t iː f + m ʊ t ə r
1016-4				v ɪ t a aː r
1069-4				ɪ k
509-4				f a l ə n
693-4				m ɔy l + ɛ z ə l
2179-4				n ɛ s t
1753-4				f ɪ ʃ
1131-4				v ɔ l f
1198-4				b eː r t
2032-4				h ɔ r n
2241-4				n a ə n
2244-4				l ɔ pf ə n
610-4				k n iː
945-4				h a r t
1534-4				l ʊ k ə n
384-4				z ɔy ɡ ə n
1650-4				n oː t
1663-4				z a l t
2279-4				l ɪ n ə n
471-4				z eː ə n
1385-4				z ai t ə n
792-4				j ʊ k ə n
1111-4				m a s t
197-4				z ɔy d ə n
2020-4				l a ŋ ə
867-4				ts ɛ
1970-4				f ɔ l
1230-4				d ɛ r d ə n
2017-4				n iː v
968-4				v ɛ r ə l t
1674-4				l a n t
1671-4				h ai l ə n
829-4				k l ɪ f t
1025-4				v aː t ə r
1027-4				z iː
1832-4				r ɔ f
-1816-4				au s ai j eː ə n
-335-4				l aː ɡ ɔy n ə n
1043-4				ʃ t r ɔ m
423-4				ʃ t ai n
2049-4				m aː ɡ ə n
2062-4				ʃ t ɔ r m
2065-4				r iː ɡ ə n m + b oː ɡ ə n
1368-4				ʃ a t ɡ ə n
1365-4				t au
754-4				r iː ɡ ə n
768-4				v ɛ r
1211-4				b ɔy ə r
106-4				m a n
-98-4				b eː b iː
719-4				f aː d ə r
1341-4				z oː n
-2027-4				t a n t ə n
-2026-4				n iː f
409-4				ʃ oː n + z oː n
402-4				ʃ oː n + d ʊ f t ə r
1014-4				ʃ t iː f + d ʊ f t ə r
1059-4				v iː
120-4				ʃ t a l
2183-4				ʃ t ai ə r
2194-4				ɔ s
2199-4				k a l f
2197-4				ʃ au p
1523-4				z ɡ ə n
1521-4				b ʊ k ə n
512-4				m ɛ r iː
2141-4				h ɛ n + x ə n
2147-4				ɡ a n ts ə
814-4				r ɔ x ə n
810-4				t au b ə n
1755-4				h ʊ n t
1758-4				m ʊ ə n
1620-4				f ɪ n
1282-4				v ɛ k ə
1136-4				f ɔ s
1309-4				l au s
1307-4				n t ə n
1305-4				f l iː
711-4				v ɛ s f
1442-4				f l iː ɡ ə n
62-4				m ʏ k ə n
-73-4				m ʏ s k iː t
1810-4				h ai t ə n
1805-4				f l ai ʃ
1813-4				h aː r
1811-4				b l ɔ t ə n
690-4				r ɪ b
2177-4				h oː f t ə
246-4				ai + b r ʊ
249-4				ai + l ai t ə n
1506-4				n ʊ s + f l yː ɡ ə l
2242-4				m ʊ n t
2245-4				t ʊ ŋ
1196-4				n ɪ x
2174-4				ʃ a l t ə r
575-4				ʊ k s ə l
603-4				ɛ l ə + b oː ɡ ə n
601-4				h a n t
615-4				f ɪ ŋ ə r
901-4				k l au
608-4				f aː t ə n
596-4				t ai n
937-4				b r ʊ s t
936-4				n aː f ə l
646-4				l ʊ ŋ
947-4				l ai f ə r
1606-4				h ɔ pf ə n
472-4				n iː r ə n
1535-4				ʃ v ai t ə n
1546-4				ʃ p ɔy ɡ ə n
1959-4				ʃ l aː f ə n
694-4				ʃ n ʏ r k ə n
1961-4				t r ɔ m ə n
323-4				l ai b ə n
1885-4				ɡ r aː b ə n
2156-4				k a l t ə n
1903-4				v ʊ n t
525-4				ts v œ l ɪ ŋ ə n
276-4				l a m
274-4				t ɔ f
278-4				b l ɪ n t
258-4				t r ɔ ŋ k ə n
256-4				n ɛ k ɪ t ə n
383-4				ai t ə n
207-4				r ai pf ə n
376-4				t r ɪ ŋ k ə n
2014-4				r a s t ə n
2009-4				au f ə n
2003-4				k ɛ s ə l
2024-4				p a n
1976-4				t a ŋ ə
1243-4				m ai l ə n
1261-4				z eː b ə n
655-4				b r oː t
650-4				t iː s ə n
1532-4				k n ai d ə n
-36-4				ʃ ʊ p
34-4				b oː ɡ ə n
-1647-4				f iː ɡ ə n
-1615-4				ɔ ɪ l ə n
125-4				f a t ə n
1659-4				h oː n ɪ ŋ
1661-4				m ɪ l k ə n
1676-4				b oː t ə r
480-4				t r ɪ ŋ k ə n
1466-4				k l ai d ʊ ŋ
2277-4				v ɔ l
2271-4				b ɪ l t
2293-4				l ai ə r
624-4				ʃ p ɪ n ə n
628-4				ʃ p ɪ n d ə l
626-4				v eː b ə n
633-4				n aː l t
1185-4				ʃ ʊ n + m aː k ə r
1179-4				h a t ə n
2168-4				k ɔ m ə n
1952-4				t a r
899-4				l a d ə r
922-4				b ɛ t
-934-4				l a m pf ə n
916-4				t r ɔ ɡ ə n
1726-4				f ɛ l t
2108-4				p l oː ɡ ə n
1133-4				f oː r ə n
2114-4				ʃ p a d ə n
1272-4				r ɔ ɡ ə n
1979-4				ɡ r aː s
1989-4				h ɛ
-2260-4				p l a n t ə n
70-4				b ʊ k ə n
-89-4				v ɪ ŋ ə r t
-12-4				p ai pf ə n
713-4				z a pf ə n
747-4				n iː s ə l
308-4				t au ə n
289-4				b ɪ n d ə n
1930-4				b r ɛ x ə n
1928-4				ʃ p l ai t ə n
858-4				au s + r ɛ x ə n
1577-4				h a ŋ ə n
908-4				v ɛ s ə n
648-4				b oː r ə n
1855-4				h ɔ l ɡ ə n
657-4				h aː m ə r
2058-4				n eː ɡ ə l
949-4				ʃ m ɪ t
1642-4				ɡ a l t ə n
1640-4				z ɛ l f ə r
1633-4				ai r n ə n
1630-4				ts ɪ n
