COGID	dutch	english	french	german
2020-4				l a ŋ ə
867-4				h oː n d ə r t
1970-4				f ɔ l ə
1230-4				d ɛ r d ə n
2017-4				n iː v
968-4				v ɛ r ə l t
1674-4				l a n t
1671-4				h ɪ l ə n
829-4				k l ɪ f t
1025-4				v aː t ə r
1027-4				z iː
1832-4				r ɔ f
-1816-4				au s ai j eː ə n
-335-4				l aː ɡ ɔy ə n
1043-4				ʃ t r oː m
423-4				ʃ t ai n
2049-4				m aː ɡ ə n
2062-4				ʃ t a m ə n
2065-4				r iː ɡ ə n m + b oː ɡ ə n
1368-4				ʃ uː t ɡ ə n
1365-4				t au
754-4				r iː ɡ ə n
768-4				v eː d ə r
1211-4				b ɔy ə r
106-4				m a n
-98-4				b eː b iː
719-4				f aː d ə r
1341-4				z ʊ n ə n
-2027-4				t a n ts ə n
-2026-4				n iː f
409-4				ʃ oː n + z ʊ n ə n
402-4				ʃ oː n + d ʊ x t ə r
1014-4				ʃ t iː f + d ʊ x t ə r
1059-4				v ai
120-4				ʃ t a l
2183-4				ʃ t ai ə r
2194-4				ɔ s
2199-4				k a l f t
2197-4				ʃ au f ə n
1523-4				ʃ ɡ ə n
1521-4				b oː k
512-4				m ɛ r iː
2141-4				h ɛ n
2147-4				ɡ a n ts ə
814-4				r ɔ x ə n
810-4				t au f
1755-4				h ʊ n t
1758-4				m ɔy s
1620-4				f ɪ n ə n
1282-4				v eː ɡ ə l
1136-4				f ɔ s
1309-4				l yː ɡ ə n ts ə n
1307-4				n t ə n
1305-4				f l iː
711-4				v ɛ s p ə
1442-4				f l iː ɡ ə n
62-4				m ʏ k ə n
-73-4				m ʏ s k iː t
1810-4				h ai t ə n
1805-4				f l ai ʃ
1813-4				h aː r
1811-4				b l uː t
690-4				r ʊ p ə
2177-4				h ɛ t
246-4				ai + b r yː ɡ ə n
249-4				oː ɡ + l ɪ ts
1506-4				n ɔ ʃ t r ə l
2242-4				m ʊ n t
2245-4				t ʊ ŋ
1196-4				n ɛ k
2174-4				ʃ a l t ə r
575-4				ɔ k s ə l
603-4				ɛ l ə + b oː ɡ ə n
601-4				h a n t
615-4				f ɪ ŋ ə r
901-4				k l au
608-4				b uː t
596-4				t ai n
937-4				b r ɛ s t ə n
936-4				n aː f ə l
646-4				l ʊ ŋ
947-4				l ai f ə r
1606-4				h ɔ pf ə n
472-4				n iː r ə n
1535-4				ʃ v ai t ə n
1546-4				ʃ p ɪ t ə n
1959-4				ʃ l aː f ə n
694-4				ʃ n oː r ə n
1961-4				t r ɔ m ə n
323-4				l ai b ə n
1885-4				ɡ r aː b ə n
2156-4				k a l t ə n
1903-4				v ʊ n t
525-4				ʃ v ɪ l ɪ ŋ
276-4				l a m
274-4				t oː f
278-4				b l ɪ n t
258-4				t r ɔ ŋ k ə n
256-4				n aː k ə n t
383-4				ai t ə n
207-4				r ai f ə
376-4				t r ɪ ŋ k ə n
2014-4				r oː s t ə n
2009-4				au f ə n
2003-4				k ɛ s ə l
2024-4				p a n
1976-4				t a ŋ ə
1243-4				m ɪ l ə n
1261-4				z eː b ə n
655-4				b r ɛ t
650-4				t ɡ ə n
1532-4				n aː t ə n
-36-4				ʃ ʊ p ə
34-4				b oː n
-1647-4				f iː ɡ ə n
