COGID	dutch	english	french	german
603-2		m æ n		
601-2		m æ n ə r		
615-2		r iː l		
901-2		ɡ r æ n		
608-2		r ɔ p		
596-2		p ɔ t		
937-2		s ɔ t		
936-2		ɡ r æ n		
646-2		r ɔ k		
947-2		k ɑː m		
1606-2		r ɔ p		
472-2		m æ n ɪ n		
1535-2		m ɛ ɛ n t		
1546-2		s ɔ p t		
1959-2		k eɪ p		
694-2		s ɪ k ə r		
1961-2		m æ n ə r		
323-2		k ɑː m		
1885-2		r iː l		
2156-2		ɡ r æ n		
1903-2		m ɛ n t		
525-2		w iː l		
276-2		l iː l		
274-2		s ɔ k		
278-2		s ɔ k		
258-2		r ɔ k		
256-2		m ɔ p		
383-2		p ɔ p		
207-2		r ɔ p		
376-2		r ɔ k		
2014-2		r r aɪ		
2009-2		m æ n		
2003-2		r ɔ p		
2024-2		p ɔ p		
1321-2		r ɔ p		
1976-2		r ɔ k		
1243-2		ɡ r æ n		
1265-2		p ɔ p		
1261-2		m æ n		
655-2		s ɔ k		
650-2		d ɔ k		
1532-2		r ɔ k		
-36-2		s ɔ t		
34-2		s ɔ k		
-1647-2		r æ n		
-1615-2		r ɔ k		
125-2		m æ n		
1659-2		m æ n		
1661-2		m æ n		
1676-2		s ɔ k		
480-2		r ɔː k		
1466-2		k ɔː k		
2277-2		w iː l		
2271-2		r iː l		
2293-2		r ɔː k		
624-2		s ɔ p t		
628-2		s ɔ k		
626-2		m æ n		
633-2		k eɪ m		
1185-2		m æ n ə r		
1179-2		r ɔ t		
2168-2		k ɑː m		
1952-2		r iː l		
899-2		r æ n ə r		
922-2		s ɔ p		
-934-2		r aɪ n		
916-2		p ɔ k		
1726-2		m æ n		
2108-2		r ɔ p		
1133-2		r ɔː k		
2114-2		s ɔ p ə r		
1272-2		r ɔ k		
1979-2		m æ n ə r		
1989-2		r iː l		
-2260-2		m ɛ ɛ n t		
70-2		s ɔ k		
-89-2		s ɔ k		
-12-2		p ɔ p		
713-2		m ɔ p		
747-2		m ɔ p		
308-2		r ɪ n ə r		
289-2		m æ n ɪ n		
1930-2		s ɔ k		
1928-2		s ɔ p t		
858-2		m ɛ ɛ n t		
1577-2		m ɛ n t		
908-2		m æ n ɪ n		
648-2		s ɔ k		
1855-2		m ɛ n t		
657-2		ɡ r æ n		
2058-2		ɡ r æ n		
949-2		m ɔ p		
1642-2		m ɛ n t		
1640-2		ɡ r æ n		
1633-2		m æ n		
1630-2		p ɔ t		
993-2		ɡ r æ n		
-2121-2		r iː l		
1692-2		ɡ r æ n		
1694-2		r ɔ p		
1062-2		s ɔ k		
476-2		m æ n t		
1051-2		ɡ r æ n		
1075-2		k eɪ m		
135-2		r æ n ɪ n		
-134-2		m æ n ə r		
1839-2		m æ n		
1097-2		m ɛ n t		
1777-2		ɡ r æ n		
1434-2		m æ n		
1417-2		r æ n ɪ n		
1424-2		m æ n ə r		
778-2		p ɔ t		
790-2		r ɔː k		
1223-2		p ɔ k		
1117-2		r æ l		
1411-2		m ɛ n t		
1407-2		m æ n ɪ n		
1390-2		r ɔ k		
2086-2		m æ n		
2082-2		r ɔ k		
576-2		s ɔ k		
579-2		m æ n ə r		
581-2		m æ n ə r		
-1791-2		r ɔ k		
-225-2		p ɔ t		
-2284-2		r ɔ p		
1479-2		m ɛ ɛ d t		
847-2		n ɔ k		
659-2		s ɔ k		
860-2		m æ n ə r		
213-2		r ɔ k		
1286-2		r iː l		
1293-2		m ɛ n t		
474-2		s ɔ k		
467-2		r æ n ə r		
1177-2		s ɔ t		
584-2		r ɔː k		
-1153-2		r ɔ t		
700-2		k ɔː l		
875-2		m æ n ə t		
1559-2		l iː l		
1565-2		r ɔ k		
1968-2		m æ n		
-350-2		r ɔː k		
1469-3			ʀ i ʀ	
2047-3			ʀ i ʀ	
2054-3			ʀ i ʀ	
1375-3			p ɛ ʀ	
760-3			ʀ i ʀ	
756-3			ʀ i ʀ	
726-3			ʀ i ʀ	
1351-3			b ʀ i k	
1353-3			ʀ i ʀ	
412-3			f ʀ i ʀ	
406-3			s ɑ̃ t ʀ	
1005-3			ʀ u t	
1012-3			ʀ u t	
1016-3			ʀ i ʀ	
1069-3			ʀ u t	
509-3			ʀ u t	
693-3			ʀ i ʀ	
2179-3			ʀ u t	
1753-3			ʀ i ʀ	
1131-3			ʀ i ʀ	
1198-3			ʀ i ʀ	
2032-3			ʀ i ʀ	
2241-3			ʀ i ʀ	
2244-3			p ɛ ʀ	
610-3			ʀ i ʀ	
945-3			ʀ u t	
1534-3			ʀ i ʀ	
384-3			ʀ i ʀ	
1650-3			ʀ u t	
1663-3			ʀ i ʀ	
2279-3			ʀ i ʀ	
471-3			ʀ u t	
1385-3			ʀ u t	
792-3			ʀ i ʀ	
1111-3			ʀ i ʀ	
197-3			ʀ i ʀ	
2020-3			ʀ i ʀ	
867-3			ʀ i ʀ	
1970-3			ʀ u t	
1230-3			ʀ i ʀ	
2017-3			ʀ i ʀ	
2183-3			e t l	
1521-3			p ɛ ʀ	
1755-3			t y	
1760-3			ʀ u t	
1196-3			p ɛ ʀ	
575-3			p ɛ ʀ	
2014-3			ʀ i ʀ	
1321-3			ʀ i ʀ	
1265-3			ʀ u t	
588-3			p ɛ ʀ	
1469-4				z a n t
2047-4				z ai t ə n
2054-4				t ə r
1375-4				l ɪ ts t
760-4				v ɪ n t
756-4				z ai t ə n
726-4				m a t ə r
1351-4				v ɛ r s t ə r
1353-4				f ɛ r s t ə r
412-4				b ə + ʃ ɛ t ə r
406-4				b ə + ʃ ai d ə r
1005-4				ʃ t ai d ə r
1012-4				b iː s t ə r
1016-4				v ɛ s t ə r
1069-4				m ɪ x
509-4				f l ai ɡ ə n
693-4				m ɪ f ə l
2179-4				v ɛ x s t
1753-4				f iː s t
1131-4				v ɔ l x
1198-4				b ɪ r t
2032-4				ɡ ə + h oː n
2241-4				f iː s t
2244-4				r ɔ l ts
610-4				k a n ə n
945-4				ts a r t
1534-4				l ɪ x t ə n
384-4				b a ɡ ə n
1650-4				f oː t
1663-4				z a l t
2279-4				l ɪ n t ə n
471-4				b ə + b aː ɡ ə n
1385-4				z a l t
792-4				pf ʊ k ə n
1111-4				m a s t
197-4				z ʊ s t ə n
2020-4				l ai ŋ
867-4				ɡ ə + h a n t
1970-4				f oː l
1230-4				t ɛ r t ə n
2017-4				f r t ə n
968-4				v ɛ r s t ə
1674-4				l a n t
1671-4				ɡ ə l
829-4				k l ɪ x t
1025-4				v aː t ə r
1027-4				v iː
1832-4				r ʏ k ə
-1816-4				b oː n aː n
-335-4				a n aː b ə n
1043-4				ʃ t oː m
423-4				ʃ t ai n
2049-4				m aː n ə n
2062-4				ʃ t ai r
2065-4				r r b ə n
1368-4				ʃ ɛː d ə
1365-4				t ai
754-4				r ɛ x ə n
768-4				v iː r ə
1211-4				f iː r t
106-4				m a n
-98-4				b ai
719-4				f ai d ə r
1341-4				b oː n
-2027-4				m a n t ə n
-2026-4				f r t ə n
409-4				ʃ ʊ ŋ ə n
402-4				ʃ ɛ s t ə r
1014-4				ʃ t a f ə r
1059-4				v ai ə
120-4				ʃ t ai l
2183-4				ʃ t iː r ə
2194-4				z ai t ə n
2199-4				k l ai ɡ ə
2197-4				ʃ v a ŋ ə
1523-4				z oː ɡ ə n
1521-4				b oː ɡ ə
512-4				m ɛ r ə
2141-4				ɡ ə + h eː ɡ ə n
2147-4				v a n t
814-4				k r aː ɡ ə n
810-4				f r t ə n
1755-4				f h a n t
1758-4				m a r s
1620-4				f iː n t
1282-4				v a l s t
1136-4				f oː t
1309-4				f r t ə n
1307-4				z t ə n
1305-4				f l ai
711-4				v ɛ s t
1442-4				f l ɛ s
62-4				m ʏ k ə n
-73-4				m ɛ t s t
1810-4				f r t ə n
1805-4				f l ai t
1813-4				ɡ ə + h aː r
1811-4				b l ai t
690-4				r ɔ pf
2177-4				ɡ ə + h oː f
246-4				v ɛ ŋ s t
249-4				ɡ ə + h oː t
1506-4				v a ɡ ə l
2242-4				m a n t
2245-4				ts ʊ ŋ ə
1196-4				ɡ ai k ə n
2174-4				ʃ t ai d ə r
575-4				f ɛ r t ə l
603-4				v a l t
601-4				ɡ ə + h a n t
615-4				f ɛ r ə r
901-4				k l ɔ n
608-4				f iː s t
596-4				au t ai n
937-4				b l r s t
936-4				m aː b ə l
646-4				l ai ŋ
947-4				l ai ə r
1606-4				f h ɔ l ts
472-4				f iː r ə n
1535-4				z ai t ə n
1546-4				ʃ p a ŋ ə n
1959-4				ʃ l aː f ə n
694-4				ʃ k r k ə n
1961-4				r r t ə n
323-4				l ai b ə n
1885-4				ɡ r r t ə n
2156-4				f ɛ r + h ɔ l ts
1903-4				v a n t
525-4				z ai t ə n
276-4				l ai m
274-4				f r t ə n
278-4				b l ɪ n t
258-4				f r t ə n
256-4				ɡ ə + h aː k t
383-4				l ai t ə n
207-4				r ɔ pf
376-4				a r ɪ ŋ k ə n
2014-4				f r t ə n
2009-4				v oː ɡ ə n
2003-4				k ə l
2024-4				l ʏ k ə n
1976-4				ts ai ŋ ə
1243-4				m aː b ə t
1261-4				v iː ŋ ə n
655-4				b r ai t
650-4				t ai n
1532-4				k ə t ə n
-36-4				ʃ t ai ŋ
34-4				b oː n
-1647-4				f iː n t
-1615-4				f oː l
125-4				f ɛ s t
1659-4				ɡ ə + h ɪ n t
1661-4				m ɛ r k ə
1676-4				b au ə r
480-4				f r t ə n
1466-4				k l ɪ ŋ ə
2277-4				v ɔ l
2271-4				f ɪ l t
2293-4				l ai ə r
624-4				ʃ p ɪ ŋ ə n
628-4				ʃ p ɪ n t ə l
626-4				v iː ŋ ə n
633-4				f eː l t
1185-4				b ə + ʃ a k ə r
1179-4				ɡ ə + h ai t
2168-4				k a m
1952-4				t ai r
899-4				a t ə r
922-4				b ɛ x t
-934-4				l ai t
916-4				l r ʊ s t
1726-4				f ɛ l t
2108-4				f l ɛ x ə n
1133-4				f oː r ə n
2114-4				ʃ p eː ə n
1272-4				r ʏ x ə n
1979-4				v r ʊ s t
1989-4				ts oː ɡ ə n
-2260-4				l a n t ə n
70-4				b oː ɡ ə n
-89-4				v ɪ ŋ s t
-12-4				f ɛ ŋ
713-4				ʃ l ʏ ŋ ə
747-4				a n t ə l
308-4				f r t ə n
289-4				b ɪ n t ə n
1930-4				b r ɛ b ə n
1928-4				ʃ p a t ə n
858-4				a r ɛ x ə n
1577-4				f ɛ r + h a ŋ ə n
908-4				v a s t ə n
648-4				b oː r ə n
1855-4				f a t ə n
657-4				ə h aː m ə r
2058-4				ɡ aː ɡ ə l
949-4				b ɪ f t
1642-4				v a l t
1640-4				z ɪ x t ə r
1633-4				v iː r ə r
1630-4				k ɪ n t
993-4				v a l s
-2121-4				au r s t ə n
1692-4				f ɛ l ə n
1694-4				t r ʏ t ə l n
1062-4				z ɪ ŋ k ə n
476-4				z a f ə n
1051-4				f l ɛ x ə n
1075-4				b l aː b ə n
135-4				v a t ə n
-134-4				f ɛ r t ə n
1839-4				v ɛ k + ɡ eː ə n
1097-4				ɡ ə + k oː m ə n
1777-4				f l ai ɡ ə n
1434-4				b r ɛ b ə n
1417-4				l ai t ə n
1424-4				l r t ə n
778-4				f ɛ r t
790-4				b r ʏ ts ə n
1223-4				f ɛ r t ə l
1117-4				z iː l
1411-4				ɡ ə + h eː b ə n
1407-4				f ɛ r s t ə n
1390-4				f r t ə n
2086-4				v iː ŋ ə n
2082-4				b ə + ɡ eː ə n
576-4				z a k ə n
579-4				f ɛ r ə n
581-4				f ɛ r s t ə n
-1791-4				r ai x
-225-4				l ʏ r s t
-2284-4				pf l aː t
1479-4				f oː ɡ ə n
847-4				ɡ ə + h oː n
659-4				b au t ə n
860-4				m ɪ f ə n
213-4				r ɛ x s t
1286-4				f ɛ r
1293-4				v ɛ s t ə n
474-4				f r t ə n
467-4				f r t ə n
1177-4				t iː ŋ
588-4				f l ɛ x
584-4				ɡ ə + h aː x
-1153-4				r ɪ n t
700-4				ʃ t aː l
875-4				a r ɪ x t
1559-4				l ai l ə n
1565-4				m iː r ə
1968-4				ɡ ə + h eː l t
-350-4				pf aː r ə r
1478-4				b au t ə n
