COGID	dutch	english	french	german
945-2		r t		
1534-2		l ʊ k uː n		
384-2		s ɪ ɡ uː n		
1650-2		n t oː t		
1663-2		s a l n		
2279-2		l ʊ n uː n		
471-2		s Ø n uː n		
1385-2		s ɛ t t t		
792-2		Ø ʏ k		
1111-2		m ɶː z t		
197-2		s ɪ t uː n		
2020-2		l aː x		
867-2		ɶː n t uː r t		
1970-2		f ɶː l n		
1230-2		d au r t t t t uː t		
2017-2		n iː t		
968-2		v eː n ə l t		
1674-2		l aː n t		
1671-2		h Ø f uː l		
829-2		k l Ø f n		
1025-2		v a Ø uː n		
1027-2		z ɪ		
1832-2		n Ø v		
-1816-2		oː ʃ ɪ Ø a n		
-335-2		l a ɡ Ø n uː		
1043-2		ʃ t n oː m		
423-2		ʃ t ɪ n		
2049-2		m a n t		
2062-2		ʃ t ɔ n m		
2065-2		n ɪ ɡ uː m b oː ɡ n n		
1368-2		ʃ ɡ a t ʊ v		
1365-2		t a v		
754-2		n ɪ ɡ uː n		
768-2		v eː t n n		
1211-2		f Ø n n		
106-2		m aː n		
-98-2		b ɪ b iː		
719-2		f a t uː n		
1341-2		z oː n		
-2027-2		t aː n t uː		
-2026-2		n eː p n		
409-2		ʃ n n ɡ oː n z oː n		
402-2		ʃ n n ɡ oː n t ɶː ɡ t uː n		
1014-2		ʃ t iː f t ɶː ɡ t uː n		
1059-2		v ai n		
120-2		ʃ t aː l		
2194-2		ɶː z n		
2199-2		k aː l f		
2197-2		ʃ ɡ a Ø		
1523-2		z Ø ɡ		
512-2		m aː n aː		
2141-2		h aː n		
2147-2		ɡ aː n z		
814-2		k n a Ø n		
810-2		t Ø f n		
1758-2		m Ø z		
1760-2		Ø Ø t		
1620-2		f Ø n n		
1282-2		v aː l f Ø s		
1136-2		f ɔ z		
1309-2		l Ø z		
1307-2		n ɪ Ø n		
1305-2		f l oː		
711-2		v au z f n		
1442-2		f l iː ɡ n		
62-2		m Ø ɡ n		
-73-2		m Ø z k iː t n		
1810-2		h Ø t		
1805-2		f l ɪ ʃ		
1813-2		h a n		
1811-2		b l yː t		
690-2		n Ø f n		
2177-2		h oː f t		
246-2		n v ɪ ŋ Ø b n a v n		
1469-3			s Ø Ø d	
2047-3			s a Ø Ø	
2054-3			Ø a Ø d ə Ø	
1375-3			l Ø a t	
760-3			Ø Ø Ø d	
756-3			s Ø Ø a	
726-3			ə Ø Ø ə Ø	
1351-3			Ø Ø Ø ə d Ø Ø Ø Ø ə Ø	
1353-3			Ø Ø Ø Ø Ø ə Ø Ø ə Ø	
412-3			s Ø Ø a a a a Ø Ø Ø ə Ø ə ə ə ə ə ə	
406-3			s Ø Ø a a a a ə Ø Ø ə Ø ə ə ə ə ə ə	
1005-3			s t s Ø Ø Ø Ø Ø ə Ø	
1012-3			s t s Ø ə Ø Ø ə Ø	
1016-3			Ø Ø d Ø a Ø Ø a a a	
1069-3			Ø k	
509-3			Ø Ø l ə Ø	
693-3			ə ə Ø l a a a ə l	
2179-3			Ø Ø s t	
1753-3			Ø Ø s	
1131-3			Ø a l Ø	
1198-3			Ø Ø a ə d	
2032-3			Ø Ø a Ø	
2241-3			Ø Ø s Ø	
2244-3			l Ø Ø	
610-3			k Ø s	
945-3			Ø Ø a t	
1534-3			l Ø k ə Ø	
384-3			s Ø k ə Ø	
1650-3			Ø Ø t	
1663-3			s Ø l t	
2279-3			l Ø Ø ə Ø	
471-3			s a t ə Ø	
1385-3			s Ø d	
792-3			t Ø k	
1111-3			ə Ø s t	
197-3			s Ø Ø ə Ø	
2020-3			l Ø Ø	
867-3			Ø a Ø d ə Ø ə d	
1970-3			Ø a l	
1230-3			Ø Ø a Ø d ə	
2017-3			Ø ə s a	
2183-3			Ø Ø Ø Ø	
1521-3			Ø Ø k	
1755-3			Ø Ø Ø Ø	
1760-3			r Ø Ø	
1469-4				z a n t
2047-4				z ʊ n ɡ ɡ
2054-4				d ʊ n t ə r
1375-4				l ɪ ɡ.ə.n t ɡ n
760-4				v ʊ n t
756-4				s n eː -.ə
726-4				m uː d ə r
1351-4				ɡ.ə r a n t f eː d ə r
1353-4				ɡ.ə r a s m uː d ə r
412-4				s ɡ.ə.n a n + f eː d ə r s s n s l s
406-4				s ɡ.ə.n ə n + m uː d ə r s s n s l s
1005-4				s t s f eː d ə r
1012-4				s t eː m uː d ə r
1016-4				v eː t ə ə n + aː
1069-4				ɡ ɪ k
509-4				f oː l ɛ
693-4				m s uː l ɡ + k z ɛ n
2179-4				n ɛ s t
1753-4				ɡ f ʊ ʃ ɡ
1131-4				v ɔ l f ɡ
1198-4				b aː ə r s
2032-4				h ɶː n
2241-4				n eː s
2244-4				l ʊ pf n
610-4				k ɡ n iː
945-4				h a t
1534-4				l ʊ x ɛ
384-4				z au k ɛ
1650-4				n ɡ oː t
1663-4				z au l t
2279-4				l ʊ n a n
471-4				z aː ə
1385-4				z ai ɡ ɡ t
792-4				Ø a x
1111-4				m a s t
197-4				z au d ɛ
2020-4				l a ŋ
867-4				h ʊ n t ɛ r ə t
1970-4				f ɔ l ɡ
1230-4				d k ɡ d t ɡ ə ɡ
2017-4				n v d
968-4				v Ø ɛ l t
1674-4				l a n t
1671-4				h Ø f Ø l
829-4				x l ʊ f
1025-4				v eː t ə r
1027-4				z eː
1832-4				r Ø f
-1816-4				oː ʃ Ø aː n
-335-4				l ə ɡ Ø n ɛ
1043-4				s t r oː m
423-4				s t eː n
2049-4				m eː n
2062-4				s t Ø m
2065-4				r ɛ n ɛ n b oː ɡ.ə.n
1368-4				ʃ ɡ.ə.n a t Ø -.ə
1365-4				t eː Ø -.ə
754-4				r ɛ n ɛ
768-4				v ɪ d ə r
1211-4				f Ø ə r
106-4				m a n
-98-4				b ɛ b ɪ.x
719-4				f ai d ə r
1341-4				z oː n
-2027-4				s a n t ɛ
-2026-4				n ɪ f eː eː
409-4				s ɡ.ə.n oː n z Ø n l eː
402-4				ɡ.ə.n Ø n + t Ø ɡ.ə.n t ə r n l eː
1014-4				s t Ø v t Ø ɡ.ə.n t ə r
1059-4				v ai
120-4				s t a l
2183-4				s t iː r ɡ
2194-4				oː s
2199-4				x a l f
2197-4				ʃ ɡ.ə.n ai pf
1523-4				z Ø ɡ.ə.n
1521-4				b ɔ k.ə.n
512-4				m ɛ r Ø
2141-4				h ɛ n
2147-4				ɡ Ø n s
814-4				x r ə
810-4				t au f
1755-4				h ɡ ɔ ŋ s
1758-4				m au s
1620-4				f ʊ n
1282-4				v ɛ l f ʊ
1136-4				f oː s
1309-4				l au s
1307-4				n eː t
1305-4				f l oː
711-4				v eː s pf
1442-4				f l iː ɡ.ə.n
62-4				m ʏ Ø
-73-4				m Ø s x iː t ə
1810-4				h ai t
1805-4				f l ɪ ʃ
1813-4				h aː ə r
1811-4				b l uː t
690-4				r ʊ Ø
2177-4				h oː t
246-4				-.ə ɛ n Ø b r Ø -.ə
