COGID	dutch	english	french	german
694-1	s n aː r			
1961-1	d iː m			
323-1	k l ɛɪ			
1885-1	x r ɑ s			
2156-1	k l ɛɪ d ə			
1903-1	w w t + h ɑ n t			
525-1	s l ɛɪ n			
276-1	l ɑ m			
274-1	d iː n			
278-1	b l ɛɪ n t			
258-1	d r aː k			
256-1	n aː n d ə			
383-1	h oː t			
207-1	r ɑ p			
376-1	d r aː k			
2009-1	t ə r ɔ + ɣ aː n			
2003-1	k aː l			
2024-1	p ɑ n			
1321-1	k aː p			
1976-1	t aː k ə			
1243-1	m aː l			
1265-1	p aː l			
1261-1	z ɛɪ v ə			
655-1	b r ɔ t			
650-1	d øː k			
1532-1	n aː j			
-36-1	s ɔ p			
34-1	b oː n			
-1647-1	v oː r			
1469-2		s aɪ n d		
2047-2		s aɪ n d		
2054-2		d uː		
1375-2		l aɪ n		
760-2		f aɪ n d		
756-2		s n eɪ l d		
726-2		m ɪ d l̩		
1351-2		ɡ r æ d + aʊ t		
1353-2		n aʊ d l̩		
412-2		s h n d ə r		
406-2		s h n d ə r		
1005-2		s p ɪ d l̩		
1012-2		s t r ɛ tʃ		
1016-2		h ʌ n ə r		
1069-2		s iː k		
509-2		f iː l d		
693-2		m ɪ l d + aʊ t		
2179-2		n æ t l̩		
1753-2		f aɪ n d		
1131-2		w iː l		
1198-2		b r eɪ k		
2032-2		h æ r əʊ		
2241-2		n iː d l̩		
2244-2		l iː f		
610-2		k aʊ		
945-2		h æ r əʊ		
1534-2		l eɪ z		
384-2		s iː k		
1650-2		n iː d l̩		
1663-2		s ɛ l t		
2279-2		l aɪ n		
471-2		s iː k		
1385-2		s iː d		
792-2		f ɔ k		
1111-2		m l æ d l̩		
197-2		s iː d		
2020-2		l iː d		
867-2		h ʌ n d		
1970-2		f iː l		
1230-2		d iː r		
2017-2		n iː d l̩		
968-2		w iː d		
1674-2		l aɪ n d		
1671-2		h iː l		
829-2		k l eɪ s		
1025-2		l eɪ d ə r		
1027-2		s eɪ k		
1832-2		r iː f		
-1816-2		h əʊ l d		
-335-2		l æ d		
1043-2		s p r ɛ d		
423-2		s p eɪ d		
2049-2		m ɛ d l̩		
2062-2		s n eɪ m		
2065-2		r aɪ d		
1368-2		s t p		
1365-2		d iː k		
754-2		r aɪ		
768-2		w iː d		
1211-2		f iː r		
106-2		k l aɪ n		
-98-2		b iː tʃ		
719-2		f æ r əʊ d		
1341-2		s iː n d		
-2027-2		t h n d		
-2026-2		n eɪ l		
409-2		s p ɪ n		
402-2		s p ɪ n d ə r		
1014-2		s p ɪ d l̩		
1059-2		w iː d		
120-2		s æ eɪ		
2194-2		aɪ ɔ ʃ		
2199-2		k ɑː m		
2197-2		s æ p		
1523-2		s eɪ k		
512-2		m eɪ r		
2141-2		h æ d		
2147-2		ɡ ɑː n s		
814-2		k ɑː m		
810-2		d iː p		
1758-2		m ɪ l		
1760-2		d r æ k		
1620-2		f aɪ n		
1282-2		w eɪ l		
1136-2		f ɔ l əʊ		
1309-2		l iː f		
1307-2		n iː d l̩		
1305-2		f iː l		
711-2		w iː h		
1442-2		f l aɪ		
62-2		m ɪ l		
-73-2		m ɪ d l̩		
1810-2		h iː d		
1805-2		f l aɪ		
1813-2		h æ r		
1811-2		b l d		
690-2		r aɪ s		
2177-2		h æ s		
246-2		v ɑː θ		
249-2		s p l ɪ t		
1506-2		n iː d l̩		
2242-2		m ɪ d l̩		
2245-2		t ɔ p		
2174-2		s t r ɛ tʃ		
603-2		h ɑː f		
601-2		h æ d		
615-2		f aɪ n		
901-2		k l æ m		
608-2		f iː l d		
596-2		d iː p		
937-2		b r eɪ k		
936-2		n eɪ l		
646-2		l iː d		
947-2		l eɪ ð ə r		
1606-2		h æ s		
472-2		n iː d l̩		
1535-2		s iː d		
1546-2		s p eɪ		
1959-2		s l aɪ		
694-2		s n eɪ l		
1961-2		d r ɪ dʒ		
323-2		l iː d		
1885-2		b r əʊ		
2156-2		ɡ uː + aʊ t		
1903-2		w aɪ n d		
525-2		s w ɔ l v		
276-2		l iː d		
274-2		d iː p		
278-2		b l aɪ n d		
258-2		d r ɪ dʒ		
256-2		n eɪ l d		
383-2		d iː l d		
207-2		r aɪ		
376-2		d r ɪ ŋ		
2014-2		b r aɪ		
2009-2		b ɔ ʃ		
2003-2		k əʊ l d		
2024-2		p æ d l̩		
1321-2		b eɪ p		
1976-2		t ŋ k		
1243-2		m ɛ d l̩		
1265-2		p æ l		
1261-2		s ɔ k		
655-2		b r eɪ d		
650-2		d iː		
1532-2		k ɑː n d		
-36-2		s p eɪ		
34-2		b iː tʃ		
-1647-2		f aɪ n		
1469-3			b ɔ t	
2047-3			b ɔ t	
2054-3			ɑ̃ t ʀ	
1375-3			f ʀ i ʀ	
760-3			f ʀ i ʀ	
756-3			f ʀ i ʀ	
726-3			b ɔ t	
1351-3			f ʀ i ʀ	
1353-3			f ʀ i ʀ	
412-3			f ʀ i ʀ	
406-3			f ʀ i ʀ	
1005-3			f ʀ i ʀ	
1012-3			f ʀ i ʀ	
1016-3			s ɑ̃ t ʀ	
1069-3			b ɔ t	
509-3			b ɔ t	
693-3			f ʀ i ʀ	
2179-3			f ʀ i ʀ	
1753-3			b ɔ t	
1131-3			f ʀ i ʀ	
1198-3			b ʀ i k	
2032-3			f ʀ i ʀ	
2241-3			f ʀ i ʀ	
2244-3			b ɔ t	
610-3			e t ɑ̃	
945-3			f ʀ i ʀ	
1534-3			b ɔ t	
384-3			b ɔ t	
1650-3			b ɔ t	
1663-3			f ʀ i ʀ	
2279-3			f ʀ i ʀ	
471-3			f ʀ i ʀ	
1385-3			b ɔ t	
792-3			b ɔ t	
1111-3			b ɔ t	
197-3			b ɔ t	
2020-3			b ɔ t	
867-3			f ʀ i ʀ	
1970-3			b ɔ t	
1230-3			v a ɡ	
2017-3			b ɔ t	
2183-3			b ɔ t	
1521-3			b ɔ t	
1755-3			b ɔ t	
1760-3			f ʀ i ʀ	
1196-3			b ɔ t	
575-3			f ʀ i ʀ	
2014-3			b ɔ t	
1321-3			b ɔ t	
1265-3			e t ɑ̃	
1469-4				b a n t
2047-4				z ɪ n t
2054-4				t oː r
1375-4				k l a x t
760-4				ts ɪ n t
756-4				ʃ n ɛ k ə
726-4				m ai d ə r
1351-4				b r ai t ə r
1353-4				b r ɪ t ə r
412-4				ʃ ai n + ʃ t oː r
406-4				ʃ n ai d ə r
1005-4				ʃ t ɛ r ə n
1012-4				ʃ m ɪ t ə r
1016-4				v eː b ə r
1069-4				d ɪ k
509-4				f a l ə
693-4				m + ɛ s ə l
2179-4				b ɪ n t
1753-4				f ɪ l ts
1131-4				v a l ə
1198-4				b aː r
2032-4				h aː n ə n
2241-4				n aː ə
2244-4				l ai f
610-4				k a n
945-4				h a r t
1534-4				f ɪ l x
384-4				z a x ə n
1650-4				n ɛ s
1663-4				z ɛ s t
2279-4				l ɪ n
471-4				z au f
1385-4				z a f t
792-4				h ɔ k
1111-4				m ɛ s t
197-4				z ai t ə n
2020-4				l a n
867-4				h oː n t ə r
1970-4				f au l
1230-4				t a r t ə n
2017-4				n ɛ x ə
968-4				v eː r s
1674-4				l ɛ n t
1671-4				h ɔ l ts
829-4				k l ai d
1025-4				v oː d ə r
1027-4				z iː f
1832-4				r a s
-1816-4				au s + ʃ ai n
-335-4				l ai n + ʃ t ɔ k
1043-4				ʃ t r au
423-4				ʃ t ɪ n
2049-4				m ai n
2062-4				ʃ t ɛ m
2065-4				r ɛ x ə n
1368-4				ʃ t ɛ t
1365-4				t au
754-4				r ai ə n
768-4				v eː r ə n
1211-4				f ɛ r
106-4				m ɪ n
-98-4				b ai f
719-4				f aː d ə r
1341-4				z ɪ n t
-2027-4				t a n ts ə n
-2026-4				n aː ə
409-4				ʃ p oː n ə n
402-4				b ʊ n d ə r
1014-4				ʃ t ɪ n d ə r
1059-4				v iː
120-4				p a l t
2183-4				ʃ m iː r ə
2194-4				au f
2199-4				k a l
2197-4				ʃ ai f ə
1523-4				z uː x ə n
1521-4				b au x
512-4				m eː r
2141-4				h a n
2147-4				ɡ ɪ n t
814-4				k r aː ɡ
810-4				t au
1755-4				h a n t
1758-4				m ai t ə
1620-4				f ɪ l ts
1282-4				v a l ə n
1136-4				f a f
1309-4				k l ai
1307-4				n ai d
1305-4				f l iː
711-4				v ɛ f
1442-4				f l iː
62-4				m ɪ x
-73-4				m aː t
1810-4				h oː t
1805-4				f l ai f
1813-4				h au ə r
1811-4				b l a t
690-4				r ai f
2177-4				h oː t
246-4				v ɛ k ə n
249-4				b ɔ l t
1506-4				k a l ə n
2242-4				m ɪ t
2245-4				t au
1196-4				n aː d ə n
2174-4				ʃ ai d ə r
575-4				b ɔ l ə
603-4				f ɛ l ə n
601-4				h a n ts ə n
615-4				f ɪ r ə n
901-4				k l ai
608-4				f ɛ t
596-4				n t
937-4				b r ɛ s t
936-4				n aː d ə l
646-4				k l aː ʃ
947-4				l eː b ə r
1606-4				h a f
472-4				n a n ə n
1535-4				z ɛ n t
1546-4				ʃ p ɪ n ə n
1959-4				ʃ l ai f ə n
694-4				b ɪ ŋ k ə n
1961-4				t r ai m
323-4				l ai b ə n
1885-4				ɡ r a f
2156-4				f ɛ r + h a s t
1903-4				v a n t
525-4				ʃ v ɪ k ə n
276-4				l a m
274-4				t oː f
278-4				b l ai t
258-4				t r ɛ ŋ k
256-4				n aː d ə n
383-4				b ai t ə n
207-4				r ai f
376-4				d r ɪ ŋ ə n
2014-4				r ɔ x
2009-4				f a f ə n
2003-4				k a m ə l
2024-4				p a n
1976-4				t a k
1243-4				m aː t
1261-4				z eː b ə n
655-4				b r ai t
650-4				d ai
1532-4				k n ai d ə n
-36-4				z a f t
34-4				b ai n
-1647-4				f ɛ k
