COGID	dutch	english	french	german
626-1	w iː r			
633-1	n ɛɪ d ə			
1185-1	t ə r ʉ + ɣ eː v ə			
1179-1	h ɛ b ə			
2168-1	k oː m ə			
1952-1	d eː r			
899-1	l ɛɪ d ə r			
922-1	b eː t			
-934-1	l ɛɪ m			
916-1	d r ʉ p			
1726-1	v ɑu t			
2108-1	p l aː ts			
1133-1	v ə r			
2114-1	s p ɔ t			
1272-1	r ɔ ɣ ə			
1979-1	x r ɑ s			
1989-1	h aː j			
-2260-1	p l aː ts			
70-1	b iː v			
-89-1	x eː n			
-12-1	p ɛɪ t			
713-1	z ɑ t			
747-1	n eː n			
308-1	d eː n			
289-1	b ɪ n d ə			
1930-1	b r ʉ x			
1928-1	z ɛ s t ə			
858-1	s x r ʉ x			
1577-1	h ɛ ŋ ə			
908-1	w ɔ t			
648-1	b oː r			
1855-1	h ɔ l f			
657-1	h ɛ b ə			
2058-1	n aː l			
949-1	s m eː t			
1642-1	x ɔ l t			
1640-1	z uː r			
1633-1	x r aː n			
1630-1	t ɛ n t			
1469-2		s eɪ l		
2047-2		s eɪ l		
2054-2		t aɪ m		
1375-2		l eɪ z ɪ		
760-2		w ɛ s t		
756-2		s n eɪ l		
726-2		m ʌ d		
1351-2		ɡ r ɑː s p		
1353-2		ɡ ɪ v ə r		
412-2		s n eɪ l		
406-2		s n eɪ l		
1005-2		s n eɪ l		
1012-2		s n eɪ l		
1016-2		w ɛ s t		
1069-2		f r aɪ		
509-2		f ɔː l		
693-2		m ɛ d s		
2179-2		n ɪ ə r		
1753-2		f aɪ n d		
1131-2		t w ɛ l v		
1198-2		b r ɪ k		
2032-2		h ɑː f		
2241-2		n ɪ ə r		
2244-2		l iː d		
610-2		r əʊ d		
945-2		h ɑː f		
1534-2		l ɪ f t		
384-2		s iː k		
1650-2		n ɪ ə r		
1663-2		s eɪ l		
2279-2		l iː d		
471-2		s eɪ l		
1385-2		s eɪ l		
792-2		θ ɪ k		
1111-2		b uː t		
197-2		s iː k		
2020-2		l əʊ		
867-2		h ɛ n d		
1970-2		f ɔ l əʊ		
1230-2		d ɪ n ə r		
2017-2		n ɪ ə r		
968-2		w ɛ s t		
1674-2		l əʊ		
1671-2		h æ v		
829-2		k l aɪ m		
1025-2		t ɛ ə r		
1027-2		s eɪ l		
1832-2		r ɪ tʃ		
-1816-2		s n eɪ l		
-335-2		l əʊ		
1043-2		s p r		
423-2		s n eɪ l		
2049-2		m ɪ d l̩		
2062-2		s p r		
2065-2		r ɛ n d		
1368-2		s n eɪ l		
1365-2		θ aɪ		
754-2		r əʊ k		
768-2		w ɛ s t		
1211-2		f ɔː k		
106-2		m ɔː r		
-98-2		b ɔː k		
719-2		f ɔ l əʊ		
1341-2		s aɪ d		
-2027-2		d ɑː s p		
-2026-2		n ɪ ə r		
409-2		s n eɪ l		
402-2		s n eɪ l		
1014-2		s n ɔ t		
1059-2		t ɛ ə r		
120-2		s n eɪ l		
2194-2		ʌ ŋ k l̩		
2199-2		k l eɪ		
2197-2		s p r		
1523-2		s eɪ l		
512-2		m ɔː r		
2141-2		h æ v		
2147-2		ɡ əʊ		
814-2		k r aɪ s		
810-2		θ ɪ n		
1758-2		m ɔː r		
1760-2		r əʊ d		
1620-2		f aɪ n d		
1282-2		w ɛ l v		
1136-2		f ɔ l əʊ		
1309-2		l iː d		
1307-2		n ɪ ə r		
1305-2		f ɔː l		
711-2		w ɛ s t		
1442-2		f l aɪ		
62-2		m ʌ d		
-73-2		m ʌ d		
1810-2		h aɪ		
1805-2		f l aɪ		
1813-2		h ʊ k		
1811-2		b l əʊ		
690-2		r aɪ d		
2177-2		h aɪ		
246-2		w ɛ ə r		
249-2		ɡ əʊ + aʊ t		
1506-2		s n eɪ l		
2242-2		m ɪ d l̩		
2245-2		n ɪ ə r		
2174-2		s n eɪ l		
603-2		ɡ ɑː d n̩		
601-2		h əʊ		
615-2		f ɪ n ə r		
901-2		k l eɪ		
608-2		f ɔ l əʊ		
596-2		ɡ ɪ v		
937-2		b r ɪ dʒ		
936-2		p ɛ ə r		
646-2		l eɪ z ɪ		
947-2		l uː z		
1606-2		h aɪ		
472-2		n ɪ ə r		
1535-2		s w ɪ m		
1546-2		s n eɪ l		
1959-2		s l aɪ d		
694-2		s n eɪ l		
1961-2		d r ɪ p		
323-2		ɡ l ɑː s		
1885-2		ɡ r ɑː s		
2156-2		ɡ r ɑː s p		
1903-2		w ɛ s t		
525-2		s w ɔ m p		
276-2		l iː d		
274-2		d iː p		
278-2		b r əʊ k ə n		
258-2		d r ɪ dʒ		
256-2		n ɪ ə r		
383-2		ɡ ɪ v		
207-2		r aɪ d		
376-2		d ɪ n ə r		
2014-2		r əʊ d		
2009-2		əʊ p ə n		
2003-2		k l aɪ m		
2024-2		s eɪ l		
1321-2		f r aɪ		
1976-2		t ʌ z n̩		
1243-2		m ɛ d s		
1265-2		l ɪ f t		
1261-2		s ɪ ŋ k		
655-2		b r ɪ dʒ		
650-2		d ɪ p		
1532-2		k ʌ z n̩		
-36-2		s p r		
34-2		b r ɪ p		
-1647-2		f aɪ n d		
-1615-2		p l aɪ s		
125-2		f ɔ l əʊ		
1659-2		h æ m		
1661-2		m ɔː r		
1676-2		b ɔ t ə m		
480-2		d r ɪ p		
1466-2		k l aɪ d		
2277-2		w ɛ s t		
2271-2		f ɔ l əʊ		
2293-2		ɡ r ɑː s		
624-2		s n eɪ l		
628-2		s n eɪ l		
626-2		ɡ ɪ v		
633-2		p ɛ ə r		
1185-2		s n eɪ l		
1179-2		h aɪ		
2168-2		k ɑː m		
1952-2		d aɪ		
899-2		l iː d		
922-2		b r ɪ dʒ		
-934-2		l əʊ		
916-2		d r ɪ p		
1726-2		f ɔ l əʊ		
2108-2		p l eɪ s		
1133-2		f ɔː k		
2114-2		s p r		
1272-2		r əʊ k		
1979-2		ɡ r ɑː s		
1989-2		h aɪ		
-2260-2		p l eɪ s		
70-2		b ɔː k		
-89-2		w ɛ s t		
-12-2		p aɪ s		
713-2		s eɪ l		
747-2		p ɛ ə r		
308-2		θ ɪ n		
289-2		b r ɪ n		
1930-2		b r ɪ dʒ		
1928-2		s p l aɪ d		
858-2		s ɪ ŋ k		
1577-2		r ɛ d + aʊ t		
908-2		əʊ p ə n		
648-2		b r ɪ dʒ		
1855-2		ɡ əʊ + aʊ t		
657-2		h æ v		
2058-2		p ɛ ə r		
949-2		s n eɪ l		
1642-2		ɡ əʊ		
1640-2		s eɪ l		
1633-2		s iː k		
1630-2		t ɛ n t		
1469-3			ʃ o z	
2047-3			b ʀ i k	
2054-3			f ʀ i ʀ	
1375-3			l ə v e	
760-3			s ɑ̃ t ʀ	
756-3			s ɑ̃ t ʀ	
726-3			f ʀ i ʀ	
1351-3			f ʀ i ʀ	
1353-3			f ʀ i ʀ	
412-3			s ɑ̃ t ʀ	
406-3			s ɑ̃ t ʀ	
1005-3			s ɑ̃ t ʀ	
1012-3			s ɑ̃ t ʀ	
1016-3			p ɛ ʀ	
1069-3			f ʀ i ʀ	
509-3			p l a	
693-3			p ɛ ʀ	
2179-3			s ɑ̃ t ʀ	
1753-3			p ɛ ʀ	
1131-3			v a ɡ	
1198-3			f ʀ i ʀ	
2032-3			p ɛ ʀ	
2241-3			p ɛ ʀ	
2244-3			p ɛ ʀ	
610-3			p ɛ ʀ	
945-3			p ɛ ʀ	
1534-3			l ə v e	
384-3			b ʀ i k	
1650-3			v a ɡ	
1663-3			ʃ o z	
2279-3			p ɛ ʀ	
471-3			ʃ o z	
1385-3			ʃ o z	
792-3			b ɔ t	
1111-3			s ɑ̃ t ʀ	
197-3			ʃ o z	
2020-3			p l a	
867-3			s ɑ̃ t ʀ	
1970-3			p l a	
1230-3			f ʀ i ʀ	
2017-3			p ɛ ʀ	
2183-3			v a ɡ	
1521-3			t y	
1755-3			s ɑ̃ t ʀ	
1760-3			ʀ u t	
1196-3			p ɛ ʀ	
575-3			p ɛ ʀ	
2014-3			ʀ u t	
1321-3			f ʀ i ʀ	
1265-3			p ɛ ʀ	
1469-4				z a n t
2047-4				z eː ɡ ə l
2054-4				d uː
1375-4				l ai s
760-4				v ɪ n t ə n
756-4				eː ə
726-4				m eː r
1351-4				eː ə
1353-4				eː ə
412-4				eː ə
406-4				m ɪ t ə
1005-4				eː ə
1012-4				z ɛ ŋ k ə n
1016-4				d uː
1069-4				h oː x
509-4				f a l ə n
693-4				d uː
2179-4				eː ə
1753-4				f l a x
1131-4				v ɛ l f
1198-4				f l a x
2032-4				h oː r t
2241-4				eː ə
2244-4				l ai t ə
610-4				n aː ə
945-4				h ɛ l f t ə
1534-4				d l a
384-4				z uː x ə n
1650-4				f l a x
1663-4				f l a x
2279-4				l ai n ə n
471-4				z eː ɡ ə l n
1385-4				z eː ɡ ə l
792-4				z ɛ r t
1111-4				f l a x
197-4				z eː ɡ ə l
2020-4				d uː
867-4				ts l ʊ m t
1970-4				f a l ə n
1230-4				z ɛ x t
2017-4				d uː
968-4				v ɛ r s t ə
1674-4				l ai t ə n
1671-4				h a l b ə n
829-4				k l ɪ f
1025-4				v ɛ s t ə r
1027-4				z eː ɡ ə l
1832-4				r au f
-1816-4				œ f n ə n
-335-4				l ai n ə n
1043-4				z uː x ə n
423-4				ʃ t ai n
2049-4				m iː n
2062-4				ʃ t ɔ r k
2065-4				r ʊ n ə n
1368-4				ʃ au f ə l
1365-4				t au
754-4				r ɛ x ə n
768-4				p aː r
1211-4				f iː r
106-4				m a n
-98-4				b ai n
719-4				f ɛ r n
1341-4				z eː ɡ ə l
-2027-4				ts ɛ n d ə n
-2026-4				n aː ə
409-4				ʃ n ɛ k ə
402-4				t a n ts ə n
1014-4				z ɛ ŋ k ə n
1059-4				v ai t ə
120-4				ʃ t aː l
2183-4				d uː
2194-4				t au z ə n t
2199-4				f ɛ r + k au f ə n
2197-4				ɡ iː f
1523-4				z eː ɡ ə l
1521-4				d a x
512-4				m eː r
2141-4				h oː x
2147-4				ɡ eː b ə n
814-4				k au f ə n
810-4				t aː r ə n
1755-4				z a x
1758-4				m ɪ t ə
1620-4				f ɪ n d ə n
1282-4				v a l t
1136-4				f ɪ r f
1309-4				l ai s
1307-4				n ɛ ŋ k ə
1305-4				f l iː r ə n
711-4				t oː t ə n
1442-4				f l iː ɡ ə n
62-4				m ɪ t ə
-73-4				m ɛ ŋ ə
1810-4				h ɔ l ts
1805-4				f l ai ʃ
1813-4				h aː r ə n
1811-4				b l ai t ə n
690-4				r ai x
2177-4				h oː f
246-4				v ɛ k + ɡ eː ə
249-4				f a l t ə n
1506-4				n ɛ k ə
2242-4				m ɪ t ə
2245-4				ts ai t
1196-4				d uː
2174-4				ʃ p au ə r
575-4				f l a x
603-4				ɡ l aː s
601-4				h a l t ə n
615-4				f ɪ n d ə r
901-4				k ɔ l ɡ ə n
608-4				f ɛ r n
596-4				ts ai n
937-4				b r ɪ ŋ ə n
936-4				n aː ə
646-4				l ai ŋ ə n
947-4				l ai r
1606-4				h oː f
472-4				ʃ n ɛ k ə
1535-4				z ɛ ŋ k ə n
1546-4				z ɛ ŋ k ə n
1959-4				ɡ l ai t ə n
694-4				ʃ n ɛ k ə
1961-4				t r ʏ k ə n
323-4				ɡ l aː b ə n
1885-4				ɡ r aː f
2156-4				k a l t ə n
1903-4				v a n t
525-4				z ɛ ŋ k ə n
276-4				l ɛ s ɪ x
274-4				t oː t
278-4				b l ai t ə n
258-4				t r ɔ k ə n
256-4				n ɛ k ə
383-4				r ɛ s t
207-4				r ai f ə n
376-4				t r ɪ k ə n
2014-4				r ɛ x t
2009-4				b aː r ə n
2003-4				k ɛ r f ə
2024-4				p a d ə l
1976-4				ɛ ŋ k ə l
1243-4				m iː l iː ə
1261-4				z eː ɡ ə l
655-4				b r ʊ s t
650-4				t a k ə
1532-4				k n ɪ t ə
-36-4				z eː ɡ ə l
34-4				b ai n
-1647-4				f iː r
-1615-4				t ai l ə n
125-4				f ɛ r n
1659-4				h oː ŋ ə n
1661-4				ts ɪ m ə l
1676-4				b au ə r
480-4				t r ɪ ŋ ə n
1466-4				k l ɪ ŋ ə
2277-4				v a l t ə
2271-4				f ɛ l t
2293-4				ʃ l ai k ə r
624-4				ʃ p ɪ n ə n
628-4				ʃ p a d ə l
626-4				v iː ɡ ə n
633-4				n ɪ m ə l
1185-4				t au ə r
1179-4				h ɛ l f t ə
2168-4				k uː z iː n ə
1952-4				t iː r
899-4				l ai t ə n
922-4				b oː d ə n
-934-4				l ai t ə
916-4				t r ɔ pf
1726-4				f iː l ə n
2108-4				p l a ts
1133-4				f iː r + x ə n
2114-4				ʃ p a d ə n
1272-4				r ai x
1979-4				ɡ r ai s
1989-4				h oː x
-2260-4				p l a t
70-4				b au ə
-89-4				f ɛ r n
-12-4				pf oː t
713-4				z eː ɡ ə l
747-4				n ɛ k ə
308-4				d ʏ n
289-4				b oː d ə n
1930-4				b r ɪ k ə n
1928-4				z ɛ ŋ k ə n
858-4				z ɛ r k ə
1577-4				h a k ə
908-4				v a ŋ k ə
648-4				b au ə r
1855-4				h ai l ə n
657-4				h aː k ə n
2058-4				n eː k ə l
949-4				ɡ l ai t ə
1642-4				ɡ a l t ə n
1640-4				z ʊ m ə r
1633-4				z eː ɡ ə l
1630-4				ts ɪ n t
