COGID	dutch	english	french	german
2114-1	s p aː d ə			
1272-1	r ɔ ɣ ə			
1979-1	x r ɑ s			
1989-1	h oː j			
-2260-1	p l ɑ n t ə			
70-1	b øː k			
-89-1	w ɪ ŋ ə r t			
-12-1	p ɛɪ p			
713-1	s ɑ p			
747-1	n eː t ə l			
308-1	d uː n			
289-1	b ɪ n d ə			
1930-1	b r eː k ə			
1928-1	s p l ɛɪ t ə			
858-1	œy t + r ɛ k ə			
1577-1	ɔ p + h ɑ ŋ ə			
908-1	w ɑ s ə			
648-1	b oː r ə			
1855-1	œy t + h ɔ l ə			
657-1	h aː m ə r			
2058-1	n aː ɣ ə l			
949-1	s m ɪ t			
1642-1	x ɑu t			
1640-1	z ɪ l v ə r			
1633-1	ɛɪ z ə r			
1630-1	t ɪ n			
993-1	x l ɑ s			
-2121-1	r ɔ l ə			
1692-1	v ɑ l ə			
1694-1	d r ʉ p ə l ə			
1062-1	z ɪ ŋ k ə			
476-1	z w ɛ m ə			
1051-1	v l iː ɣ ə			
1075-1	b l aː z ə			
135-1	x l ɛɪ d ə			
-134-1	d ɑ n s ə			
1839-1	w ɛ + ɣ aː n			
1097-1	t ə r ʉ x + k oː m ə			
1777-1	v ɔ l ɣ ə			
1434-1	b r ɛ ŋ ə			
1417-1	l ɛɪ d ə			
1424-1	r ɛɪ d ə			
778-1	p ɑ t			
790-1	b r ʉ x			
1223-1	p ɛ d ə l			
1117-1	z ɛɪ l			
1411-1	h ɛ b ə			
1407-1	v ɑ s t + h ɑu d ə			
1390-1	d ɪ ŋ			
2086-1	x eː v ə			
2082-1	t ə r ʉ + ɣ eː v ə			
576-1	z uː k ə			
579-1	v ɪ n d ə			
581-1	v ə r + l iː z ə			
-1791-1	r ɛɪ k			
-225-1	p r ɛɪ s			
-2284-1	p l aː ts			
1479-1	oː p ə n ə			
847-1	h oː x			
659-1	b oː d ə m			
860-1	m ɪ d ə			
213-1	r ɛ x ts			
1286-1	v ɛ r			
1293-1	w ɛ s t ə			
474-1	d ɪ k			
467-1	d ʉ n			
1177-1	d iː p			
588-1	v l ɑ k			
584-1	h aː k			
-1153-1	r ɔ n t			
700-1	t w aː l f			
875-1	d œy z ə n t			
1559-1	ɑ l ə			
1565-1	m eː r			
1968-1	h ɛ l f t			
-350-1	p aː r			
1478-1	b oː d ə m			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		θ ʌ n d ə r		
1375-2		l aɪ t		
760-2		w ɪ n d		
756-2		s n əʊ		
726-2		m ʌ ð ə r		
1351-2		ɡ r æ n d + f ɑː ð ə r		
1353-2		ɡ r æ n + m ʌ ð ə r		
412-2		f ɑː ð ə r + ɪ n + l ɔː		
406-2		m ʌ ð ə r + ɪ n + l ɔː		
1005-2		s t ɛ p + f ɑː ð ə r		
1012-2		s t ɛ p + m ʌ ð ə r		
1016-2		w ɪ d əʊ ə r		
1069-2		aɪ		
509-2		f əʊ l		
693-2		m j uː l		
2179-2		n ɛ s t		
1753-2		f ɪ ʃ		
1131-2		w ʊ l f		
1198-2		b ɪ ə d		
2032-2		h ɔː n		
2241-2		n əʊ z		
2244-2		l ɪ p		
610-2		n iː		
945-2		h ɑː t		
1534-2		l ɪ k		
384-2		s ʌ k		
1650-2		n ʌ t		
1663-2		s ɔː l t		
2279-2		l ɪ n ɪ n		
471-2		s əʊ		
1385-2		s iː d		
792-2		j əʊ k		
1111-2		m ɑː s t		
197-2		s aʊ θ		
2020-2		l ɔ ŋ		
867-2		h ʌ n d r ə d		
1970-2		f ʊ l		
1230-2		θ ɜː d		
2017-2		n j uː		
968-2		w ɜː l d		
1674-2		l æ n d		
1671-2		h ɪ l		
829-2		k l ɪ f		
1025-2		w ɔː t ə r		
1027-2		s iː		
1832-2		r ʌ f		
-1816-2		əʊ ʃ n̩		
-335-2		l ə ɡ uː n		
1043-2		s t r iː m		
423-2		s t əʊ n		
2049-2		m uː n		
2062-2		s t ɔː m		
2065-2		r eɪ n + b əʊ		
1368-2		ʃ æ d əʊ		
1365-2		d j uː		
754-2		r eɪ n		
768-2		w ɛ ð ə r		
1211-2		f aɪ ə r		
106-2		m æ n		
-98-2		b eɪ b ɪ		
719-2		f ɑː ð ə r		
1341-2		s ʌ n		
-2027-2		ɑː n t		
-2026-2		n ɛ v j uː		
409-2		s ʌ n + ɪ n + l ɔː		
402-2		d ɔː t ə r + ɪ n + l ɔː		
1014-2		s t ɛ p + d ɔː t ə r		
1059-2		w iː		
120-2		s t ɔː l		
2194-2		ɔ k s		
2199-2		k ɑː f		
2197-2		ʃ iː p		
1523-2		s əʊ		
512-2		m ɑː r eɪ		
2141-2		h ɛ n		
2147-2		ɡ uː s		
814-2		k r əʊ		
810-2		d ʌ v		
1758-2		m aʊ z		
1760-2		r æ t		
1620-2		f ɪ n		
1282-2		w eɪ l		
1136-2		f ɔ k s		
1309-2		l aʊ s		
1307-2		n ɪ t		
1305-2		f l iː		
711-2		w ɔ s p		
1442-2		f l aɪ		
62-2		m ɪ dʒ		
-73-2		m ə s k iː t əʊ		
1810-2		h aɪ d		
1805-2		f l ɛ ʃ		
1813-2		h ɛ ə r		
1811-2		b l ʌ d		
690-2		r ɪ b		
2177-2		h ɛ d		
246-2		aɪ + b r aʊ		
249-2		aɪ + l ɪ d		
1506-2		n ɔ s t r ə l		
2242-2		m aʊ ð		
2245-2		t ʌ ŋ		
2174-2		ʃ əʊ l d ə r		
603-2		ɛ l + b əʊ		
601-2		h æ n d		
615-2		f ɪ ŋ ɡ ə r		
901-2		k l ɔː		
608-2		f ʊ t		
596-2		t əʊ		
937-2		b r ɛ s t		
936-2		n eɪ v l̩		
646-2		l ʌ ŋ		
947-2		l ɪ v ə r		
1606-2		h ɪ p		
472-2		s n iː z		
1535-2		s w ɛ t		
1546-2		s p ɪ t		
1959-2		s l iː p		
694-2		s n ɔː r		
1961-2		d r iː m		
323-2		ə + l aɪ v		
1885-2		ɡ r ɑː v		
2156-2		k əʊ l d		
1903-2		w aʊ n d		
525-2		s w ɛ l ɪ ŋ		
276-2		l ɑː m eɪ		
274-2		d ɛ f		
278-2		b l aɪ n d		
258-2		d r ʌ ŋ k		
256-2		n eɪ k ɪ d		
383-2		iː t		
207-2		r aɪ p		
376-2		d r ɪ ŋ k		
2014-2		r ɔː s t		
2009-2		ʌ v n̩		
2003-2		k ɛ t l̩		
2024-2		p æ n		
1321-2		k ʌ p		
1976-2		t ɔ ŋ z		
1243-2		m iː l		
1265-2		p iː l		
1261-2		s ɪ v		
655-2		b r ɛ d		
650-2		d əʊ		
1532-2		n iː d		
-36-2		s uː p		
34-2		b iː n		
-1647-2		f ɪ ɡ		
-1615-2		ɔ ɪ l		
125-2		f æ t		
1659-2		h ʌ n ɪ		
1661-2		m ɪ l k		
1676-2		b ʌ t ə r		
480-2		d r ɪ ŋ k		
1466-2		k l əʊ ð z		
2277-2		w ʊ l		
2271-2		f ɛ l t		
2293-2		l ɛ ð ə r		
624-2		s p ɪ n		
628-2		s p ɪ n d l̩		
626-2		w iː v		
633-2		n iː d l̩		
1185-2		ʃ uː + m eɪ k ə r		
1179-2		h æ t		
2168-2		k əʊ m		
1952-2		d ɔː r		
899-2		l æ d ə r		
922-2		b ɛ d		
-934-2		l æ m p		
916-2		t r ɔ f		
1726-2		f iː l d		
2108-2		p l aʊ		
1133-2		f ʌ r əʊ		
2114-2		s p eɪ d		
1272-2		r aɪ		
1979-2		ɡ r ɑː s		
1989-2		h eɪ		
-2260-2		p l ɑː n t		
70-2		b iː tʃ		
-89-2		v aɪ n		
-12-2		p aɪ p		
713-2		s æ p		
747-2		n ɛ t l̩		
308-2		d uː		
289-2		b aɪ n d		
1930-2		b r eɪ k		
1928-2		s p l ɪ t		
858-2		s t r ɛ tʃ		
1577-2		h æ ŋ		
908-2		w ɔ ʃ		
648-2		b ɔː r		
1855-2		h ɔ l əʊ		
657-2		h æ m ə r		
2058-2		n eɪ l		
949-2		b l æ k + s m ɪ θ		
1642-2		ɡ əʊ l d		
1640-2		s ɪ l v ə r		
1633-2		aɪ r ə n		
1630-2		t ɪ n		
993-2		ɡ l ɑː s		
-2121-2		r əʊ l		
1692-2		f ɔː l		
1694-2		d r ɪ p		
1062-2		s ɪ ŋ k		
476-2		s w ɪ m		
1051-2		f l aɪ		
1075-2		b l əʊ		
135-2		s l aɪ d		
-134-2		d ɑː n s		
1839-2		ɡ əʊ + aʊ t		
1097-2		k ʌ m + b æ k		
1777-2		f ɔ l əʊ		
1434-2		b r ɪ ŋ		
1417-2		l iː d		
1424-2		r aɪ d		
778-2		p ɑː θ		
790-2		b r ɪ dʒ		
1223-2		p æ d l̩		
1117-2		s eɪ l		
1411-2		h æ v		
1407-2		h əʊ l d		
1390-2		θ ɪ ŋ		
2086-2		ɡ ɪ v		
2082-2		ɡ ɪ v + b æ k		
576-2		s iː k		
579-2		f aɪ n d		
581-2		l uː z		
-1791-2		r ɪ tʃ		
-225-2		p r aɪ s		
-2284-2		p l eɪ s		
1479-2		əʊ p ə n		
847-2		h aɪ		
659-2		b ɔ t ə m		
860-2		m ɪ d l̩		
213-2		r aɪ t		
1286-2		f ɑː r		
1293-2		w ɛ s t		
474-2		θ ɪ k		
467-2		θ ɪ n		
1177-2		d iː p		
584-2		h ʊ k		
-1153-2		r aʊ n d		
700-2		t w ɛ l v		
875-2		θ aʊ z n̩ d		
1559-2		ɔː l		
1565-2		m ɔː r		
1968-2		h ɑː f		
-350-2		p ɛ ə r		
1469-3			s ɑ b l	
2047-3			s ɔ l ɛ j	
2054-3			t ɔ n ɛ ʀ	
1375-3			l y m j ɛ ʀ	
760-3			v ɑ̃	
756-3			n ɛ ʒ	
726-3			m ɛ ʀ	
1351-3			ɡ ʀ ɑ̃ + p ɛ ʀ	
1353-3			ɡ ʀ ɑ̃ + m ɛ ʀ	
412-3			b o + p ɛ ʀ	
406-3			b ɛ l + m ɛ ʀ	
1005-3			b o + p ɛ ʀ	
1012-3			b ɛ l + m ɛ ʀ	
1016-3			v œ f	
1069-3			ʒ ə	
509-3			p u l ɛ̃	
693-3			m y l ɛ	
2179-3			n i	
1753-3			p w a s ɔ̃	
1131-3			l u	
1198-3			b a ʀ b	
2032-3			k ɔ ʁ n	
2241-3			n ɛ	
2244-3			l ɛ v ʀ	
610-3			ʒ ə n u	
945-3			k œ ʀ	
1534-3			l e ʃ e	
384-3			s y s e	
1650-3			n w a	
1663-3			s ɛ l	
2279-3			l ɛ̃	
471-3			s ə m e	
1385-3			s ə m ɑ̃ s	
792-3			ʒ u	
1111-3			m ɑ	
197-3			s y d	
2020-3			l ɔ̃	
867-3			s ɑ̃	
1970-3			p l ɛ̃	
1230-3			t ʀ w a z j ɛ m	
2017-3			n u v o	
2183-3			t ɔ ʀ o	
1521-3			b u k	
1755-3			ʃ j ɛ̃	
1760-3			ʀ a	
1196-3			n y k	
575-3			ɛ s ɛ l	
2014-3			ʀ ɔ t i ʀ	
1321-3			k u p	
1265-3			p ə l e	
588-3			p l a	
1469-4				z a n t
2047-4				z ɔ n ə
2054-4				d ɔ n ə r
1375-4				l ɪ x t
760-4				v ɪ n t
756-4				ʃ n eː
726-4				m ʊ t ə r
1351-4				ɡ r oː s + f aː t ə r
1353-4				ɡ r oː s + m ʊ t ə r
412-4				ʃ v iː ɡ ə r + f aː t ə r
406-4				ʃ v iː ɡ ə r + m ʊ t ə r
1005-4				ʃ t iː f + f aː t ə r
1012-4				ʃ t iː f + m ʊ t ə r
1016-4				v ɪ t v ə r
1069-4				ɪ x
509-4				f ʏ l ə n
693-4				m au l + t iː r
2179-4				n ɛ s t
1753-4				f ɪ ʃ
1131-4				v ɔ l f
1198-4				b aː r t
2032-4				h ɔ r n
2241-4				n aː z ə
2244-4				l ɪ p ə
610-4				k n iː
945-4				h ɛ r ts
1534-4				l ɛ k ə n
384-4				z au ɡ ə n
1650-4				n ʊ s
1663-4				z a l ts
2279-4				l ai n ə n
471-4				z æː ə n
1385-4				z aː t
792-4				j ɔ x
1111-4				m a s t
197-4				z yː d ə n
2020-4				l a ŋ
867-4				h ʊ n d ə r t
1970-4				f ɔ l
1230-4				d r ɪ t ə
2017-4				n ɔy
968-4				v ɛ l t
1674-4				l a n t
1671-4				h yː ɡ ə l
829-4				k l ɪ p ə
1025-4				v a s ə r
1027-4				z eː
1832-4				r au
-1816-4				oː ts eː aː n
-335-4				l a ɡ uː n ə
1043-4				ʃ t r oː m
423-4				ʃ t ai n
2049-4				m oː n t
2062-4				ʃ t ʊ r m
2065-4				r eː ɡ ə n + b oː ɡ ə n
1368-4				ʃ a t ə n
1365-4				t au
754-4				r eː ɡ ə n
768-4				v ɛ t ə r
1211-4				f ɔy ə r
106-4				m a n
-98-4				b eː b iː
719-4				f aː t ə r
1341-4				z oː n
-2027-4				t a n t ə
-2026-4				n ɛ f ə
409-4				ʃ v iː ɡ ə r + z oː n
402-4				ʃ v iː ɡ ə r + t ɔ x t ə r
1014-4				ʃ t iː f + t ɔ x t ə r
1059-4				v iː r
120-4				ʃ t a l
2183-4				ʃ t iː r
2194-4				ɔ k s ə
2199-4				k a l p
2197-4				ʃ aː f
1523-4				z au
1521-4				b ɔ k
512-4				m ɛː r ə
2141-4				h uː n
2147-4				ɡ a n s
814-4				k r ɛː ə
810-4				t au b ə
1755-4				h ʊ n t
1758-4				m au s
1620-4				f ɪ n ə
1282-4				v aː l
1136-4				f ʊ k s
1309-4				l au s
1307-4				n ɪ s ə
1305-4				f l oː
711-4				v ɛ s p ə
1442-4				f l iː ɡ ə
62-4				m ʏ k ə
-73-4				m ɔ s k iː t oː
1810-4				h au t
1805-4				f l ai ʃ
1813-4				h aː r
1811-4				b l uː t
690-4				r ɪ p ə
2177-4				h au p t
246-4				au ɡ ə n + b r au ə
249-4				au ɡ ə n + l iː t
1506-4				n aː z ə n + l ɔ x
2242-4				m ʊ n t
2245-4				ts ʊ ŋ ə
1196-4				n a k ə n
2174-4				ʃ ʊ l t ə r
575-4				a k s ə l + h ɶː l ə
603-4				ɛ l ə n + b oː ɡ ə n
601-4				h a n t
615-4				f ɪ ŋ ə r
901-4				k l au ə
608-4				f uː s
596-4				ts eː ə
937-4				b r ʊ s t
936-4				n aː b ə l
646-4				l ʊ ŋ ə
947-4				l eː b ə r
1606-4				h ʏ f t ə
472-4				n iː z ə n
1535-4				ʃ v ɪ ts ə n
1546-4				ʃ p ʊ k ə n
1959-4				ʃ l aː f ə n
694-4				ʃ n a r x ə n
1961-4				t r ɔy m ə n
323-4				l eː b ə n
1885-4				ɡ r aː p
2156-4				ɛ r + k ɛ l t + ʊ ŋ
1903-4				v ʊ n d ə
525-4				ʃ v ɛ l ʊ ŋ
276-4				l aː m
274-4				t au p
278-4				b l ɪ n t
258-4				b ə + t r ʊ ŋ k ə n
256-4				n a k t
383-4				ɛ s ə n
207-4				r ai f
376-4				t r ɪ ŋ k ə n
2014-4				r ɶː s t ə n
2009-4				oː f ə n
2003-4				k ɛ s ə l
2024-4				pf a n ə
1976-4				ts a ŋ ə
1243-4				m aː l ts ai t
1261-4				z iː b ə n
655-4				b r oː t
650-4				t ai k
1532-4				k n eː t ə n
-36-4				z ʊ p ə
34-4				b oː n ə
-1647-4				f ai ɡ ə
-1615-4				ɶː l
125-4				f ɛ t
1659-4				h oː n ɪ x
1661-4				m ɪ l x
1676-4				b ʊ t ə r
480-4				ɡ ə + t r ɛ ŋ k
1466-4				k l ai d ʊ ŋ
2277-4				v ɔ l ə
2271-4				f ɪ l ts
2293-4				l eː d ə r
624-4				ʃ p ɪ n ə n
628-4				ʃ p ɪ n d ə l
626-4				v eː b ə n
633-4				n aː d ə l
1185-4				ʃ uː s t ə r
1179-4				h uː t
2168-4				k a m
1952-4				t oː r
899-4				l ai t ə r
922-4				b ɛ t
-934-4				l a m p ə
916-4				t r oː k
1726-4				f ɛ l t
2108-4				pf l yː ɡ ə n
1133-4				f ʊ r x ə
2114-4				ʃ p aː t ə n
1272-4				r ɔ ɡ ə n
1979-4				ɡ r aː s
1989-4				h ɔy
-2260-4				pf l a n ts ə n
70-4				b uː x ə
-89-4				v ai n + ʃ t ɔ k
-12-4				pf ai f ə
713-4				z a f t
747-4				n ɛ s ə l
308-4				t uː n
289-4				b ɪ n d ə n
1930-4				b r ɛ x ə n
1928-4				ʃ p a l t ə n
858-4				ʃ t r ɛ k ə n
1577-4				au f + h ɛ ŋ ə n
908-4				v a ʃ ə n
648-4				b oː r ə n
1855-4				au s + h ɶː l ə n
657-4				h a m ə r
2058-4				n aː ɡ ə l
949-4				ʃ m iː t
1642-4				ɡ ɔ l t
1640-4				z ɪ l b ə r
1633-4				ai z ə n
1630-4				ts ɪ n
993-4				ɡ l aː s
-2121-4				r ɔ l ə n
1692-4				f a l ə n
1694-4				t r ɔ pf ə n
1062-4				z ɛ ŋ k ə n
476-4				ʃ v ɪ m ə n
1051-4				f l iː ɡ ə n
1075-4				b l aː z ə n
135-4				ɡ l ai t ə n
-134-4				t a n ts ə n
1839-4				au s + ɡ eː ə n
1097-4				ts uː r ʏ k + k ɔ m ə n
1777-4				f ɔ l ɡ ə n
1434-4				b r ɪ ŋ ə n
1417-4				l ai t ə n
1424-4				r ai t ə n
778-4				pf aː t
790-4				b r ʏ k ə
1223-4				p a d ə l
1117-4				z eː ɡ ə l
1411-4				h aː b ə n
1407-4				h a l t ə n
1390-4				d ɪ ŋ
2086-4				ɡ eː b ə n
2082-4				ts uː r ʏ k + ɡ eː b ə n
576-4				z uː x ə n
579-4				f ɪ n d ə n
581-4				f ɛ r + l iː r ə n
-1791-4				r ai x
-225-4				p r ai s
-2284-4				p l a ts
1479-4				œ f n ə n
847-4				h oː x
659-4				b oː d ə n
860-4				m ɪ t ə
213-4				r ɛ x t
1286-4				f ɛ r n
1293-4				v ɛ s t ə n
474-4				d ɪ k
467-4				d ʏ n
1177-4				t iː f
588-4				f l a x
584-4				h aː k ə n
-1153-4				r ʊ n t
700-4				ts v œ l f
875-4				t au z ə n t
1559-4				a l ə
1565-4				m eː r
1968-4				h ɛ l f t ə
-350-4				p aː r
1478-4				b oː d ə n
