COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
1263-4				b ɜ p ɜ k z̪ ɜ			
286-4				ʊ ɾ g u			
717-4				s̪ o ŋ			
269-4				kʰ ɜ p			
1512-4				tɕ i n̪			
555-4				gʲ ɜ t̪			
751-4				n̪ ɑ ŋ			
439-4				z̪ ɛ ɾ			
601-4				ɕ i			
320-4				gʲ ɜ x m ɜ			
1106-4				p l̥ u			
693-4				h ɜ p dʑ o			
221-4				s̪ t̪ r̪ ɜ ŋ			
1199-4				t̪ʰ ɜ q p o			
1424-4				s̪ u r̪ ʊ p			
904-4				l o n̪			
1273-4				n̪ ɑ m			
1323-4				s̪ k ɜ m b ɑ			
1127-4				tɕʰ ɜ q p o			
1529-4				l̥ u			
1175-4				ɾ ɜ x m o			
383-4				s̪ o ŋ			
820-4				l̪ o q			
1636-4				p l̥ u ŋ			
1331-4				ʊ ɾ g ɑ			
1097-4				l dð ɑ			
1223-4				ɣ ɑ			
592-4				m i			
1290-4				t̪ r̪ ɜ k z̪ ɜ			
669-4				s̪ u m			
1472-4				s̪ ɜ r̪ ɸ ɑ			
788-4				l o			
1191-4				ɾ ɜ x m ɜ			
626-4				m i n̪			
844-4				j ɑ m			
879-4				kʰʲ ɑ			
1151-4				β t̪ ɜ̃ s̪			
1119-4				dʑʲ ɑ r̪ u			
365-4				s̪ ȵ i ŋ m ɜ			
1480-4				d̪ʲ u ŋ			
653-4				z̪ ɛ r̪ ɸ ɑ			
1081-4				ts̪ o ŋ			
1448-4				p ɑ ɣ ɜ n̪			
1029-4				m e β̞ ɑ			
863-4				ɕ e			
539-4				tθʰ o			
610-4				j ɑ			
350-4				gʲ ɜ q			
871-4				l o			
734-4				ɾ ɑ l			
431-4				kʰ i			
1298-4				z̪ ɛ r̪			
929-4				ts̪ ɜ q p o			
1315-4				t̪ ɜ n̪ u s̪			
964-4				m i n̪			
836-4				m i			
1644-4				pʰ u r̪ i ŋ			
547-4				ɣ ɑ			
1048-4				k ɜ p ɜ			
1692-4				b o ŋ o			
1306-4				p l̥ u			
405-4				b o ŋ o			
709-5					g o		
522-5					ɾ d o ŋ		
514-5					m ɪ n̪ s̪		
464-5					s̪ ɑ		
1020-5					s̪ ɛ n̪ m o		
1355-5					s̪ õ s̪		
1464-5					l̪ tɕʰ o		
302-5					b ɜ ŋ		
237-5					l̪ t̪ ɜ n̪		
205-5					p ɑ q p ɜ		
1089-5					l ɑ r̪ ɸ ɜ		
804-5					k ɑ		
1263-5					b ɜ q p ɜ		
286-5					ɾ d ɜ p		
717-5					s̪ ɛ n̪		
269-5					kʰ ɜ p ʈ		
1512-5					tɕ i t̪		
555-5					β gʲ ɛ t̪		
751-5					n̪ ɑ ŋ		
439-5					z̪ ʊ ɾ		
601-5					ɕ ɪ		
320-5					ɾ ɜ x m ɜ		
1106-5					p l̥ u		
693-5					h ɜ x p ɜ		
221-5					s̪ t̪ r̪ ɜ b ɜ		
1199-5					t̪ʰ ɑ ɣ		
1424-5					s̪ k ɜ t̪		
904-5					l o q s̪		
1273-5					x ɛ n̪		
1323-5					s̪ k ɜ m		
1127-5					tɕʰ ɜ q p ɜ		
1529-5					p l̥ u		
1175-5					ɾ i ŋ m o		
383-5					s̪ ɛ r̪ ɸ ɜ		
820-5					l̪ tɕʰ o		
1636-5					p l̥ u		
1331-5					β gʲ ɛ t̪		
1097-5					l ɑ m		
1223-5					b ɜ ŋ		
592-5					m ɑ		
1290-5					t̪ r̪ ʊ t̪		
669-5					s̪ u		
1472-5					s̪ t̪ r̪ ɜ ŋ		
788-5					l o ŋ		
1191-5					ɾ ɜ x m ɜ		
626-5					m ɪ n̪ d o		
844-5					j ɑ m		
879-5					tɕʰ ɜ		
1151-5					b ɛ r̪ ɜ s̪		
1119-5					j ɑ ɾ		
365-5					s̪ ɛ r̪ m ɜ		
1480-5					d̪ʲ u		
653-5					z̪ ɛ r̪ ɸ ɜ		
1081-5					ts̪ o ŋ		
1448-5					p ɑ j ɑ		
1029-5					m ɑ		
863-5					ɕ ɛ		
539-5					tθʰ o t̪		
610-5					β ɑ		
350-5					ɾ ɜ ŋ m o		
871-5					l o ŋ		
734-5					ɾ ɑ l		
431-5					kʰ i		
1298-5					z̪ ɛ r̪ ɸ ɜ		
929-5					ts̪ ɜ t̪		
1315-5					t̪ r̪ ʊ l		
964-5					m ɪ n̪ d o		
836-5					m i		
1644-5					b ɛ r̪ i ŋ		
547-5					ɜ t̪ ɜ q		
1048-5					k ɜ t̪		
1692-5					pʰ ɪ n̪ o		
1306-5					p l̥ u		
405-5					b o ŋ o		
709-6						g o	
522-6						ɾ d o ŋ	
514-6						m ɪ n̪	
464-6						s̪ ɑ	
1020-6						s̪ ɛ n̪ m e	
1355-6						s̪ o	
1464-6						l̪ tɕʰ o	
302-6						b r̪ ɜ ŋ	
237-6						l̪ t̪ ɜ l	
205-6						pʰ ɜ x p ɜ	
1089-6						l ɜ ɽ ɜ l	
804-6						k ɑ ŋ m ɜ	
1263-6						b ɜ s̪	
286-6						ɾ g u s̪	
717-6						s̪ ȵ i ŋ	
269-6						kʰ ɜ p	
1512-6						tɕ i	
555-6						b ɜ s̪	
751-6						n̪ ɑ ŋ	
439-6						ɾ g o	
601-6						i ɕ i	
320-6						ɾ ɜ x m o	
1106-6						p l̥ u	
693-6						h ɜ x p o	
221-6						s̪ t̪ r̪ ɜ q	
1199-6						t̪ʰ ɜ q	
1424-6						s̪ k ɜ	
904-6						l o q	
1273-6						n̪ ɑ m	
1323-6						s̪ k ɜ m	
1127-6						tɕʰ ɜ q p ɜ	
1529-6						p l̥ u	
1175-6						ɾ i ŋ m o	
383-6						s̪ o ŋ s̪	
820-6						l̪ tɕʰ o	
1636-6						p l̥ u	
1331-6						ɾ g ɑ	
1097-6						l ɑ m	
1223-6						ɣ ɑ	
592-6						m e	
1290-6						t̪ r̪ o b ɜ	
669-6						s̪ u m	
1472-6						s̪ ɜ r̪ i	
788-6						l o	
1191-6						ɾ ɜ x m ɜ	
626-6						m ɛ r̪ ɸ o	
844-6						j ɑ m	
879-6						kʰʲ ɑ	
1151-6						b ɜ s̪	
1119-6						j ɑ j u	
365-6						s̪ u m	
1480-6						d̪ʲ u ŋ	
653-6						z̪ ɛ r̪ ɸ ɜ	
1081-6						ts̪ o ŋ	
1448-6						p ɑ b ɜ n̪	
1029-6						m ɑ	
863-6						ɕ ɜ	
539-6						tθʰ ɪ n̪	
610-6						j ɑ	
350-6						b ɜ ŋ o	
871-6						l o ŋ	
734-6						ɾ ɑ	
431-6						kʰ i	
1298-6						ɾ d o	
929-6						ts̪ ɑ ŋ	
1315-6						t̪ ɜ l u s̪	
964-6						m ɪ n̪ s̪	
836-6						m i	
1644-6						pʰ u ɾ s̪	
547-6						ɜ t̪ ɜ	
1048-6						k ɜ ɽ ɜ	
1692-6						pʰ o ŋ o	
1306-6						p l̥ u	
405-6						b o ŋ o	
709-7							g o
522-7							ʊ ɾ d o ŋ
514-7							m r̪ o
464-7							s̪ u m
1020-7							s̪ u m
1355-7							s̪ o
1464-7							tɕ o k
302-7							b ɑ ŋ
237-7							l̪ t̪ ɜ n̪ u
205-7							ʈ ɑ q p ɑ
1089-7							ʈ ɑ ŋ
804-7							k ɑ m ɑ
1263-7							b ɜ n̪ d o
286-7							ɾ d u
717-7							s̪ ŋ i ŋ
269-7							b ɜ n̪ d
1512-7							tɕ i n̪
555-7							ɾ ɑ k p o
751-7							n̪ ɑ ŋ
439-7							z̪ ɛ ɾ s̪
601-7							ɕ i ŋ
320-7							ɾ ɑ q p ɑ
1106-7							d̪ʲ u
693-7							h ɜ n̪ ɜ q
221-7							s̪ u
1199-7							t̪ʰ ɑ q p ɑ
1424-7							s̪ k u m
904-7							l oˑ
1273-7							m ɑ r̪ p ɑ
1323-7							s̪ k ɜ m
1127-7							tɕʰ ɜ q p o
1529-7							d̪ʲ u
1175-7							ɾ ɑ q p o
383-7							s̪ ɛ r̪ m õ
820-7							l̪ t̪ o k
1636-7							ʈ u k
1331-7							ɾ g u
1097-7							l dð ɑ
1223-7							ɾ ɑ ŋ
592-7							m ɑ
1290-7							ʈ u k
669-7							s̪ u m
1472-7							s̪ ɛ r̪ i
788-7							l dð ɑ
1191-7							ɾ ɑ m ɑ
626-7							m ɑ r̪ p o
844-7							j ɑ m
879-7							tɕ ɑ
1151-7							b ɜ n̪ d
1119-7							g ɑ ɾ
365-7							s̪ ŋ i m ɑ
1480-7							d̪ʲ u
653-7							z̪ ɛ ɾ s̪
1081-7							ts̪ o ŋ
1448-7							ts̪ ɑ q p ɑ
1029-7							j ɑ m
863-7							ɕ ɑ ŋ
539-7							tθʰ i
610-7							dð ɑ
350-7							ɾ gʲ ɛ t̪
871-7							kʰ o ŋ
734-7							ɾ g u
431-7							kʰ i
1298-7							ʊ ɾ d u n̪
929-7							ts̪ ɜ q i
1315-7							ʈ u k
964-7							m ɑ r̪ p o
836-7							m õ
1644-7							pʰ u l pʰ u b s̪
547-7							ʑ ɜ q
1048-7							k ɜ n̪
1692-7							pʰ o q s̪ o
1306-7							d̪ʲ u
405-7							b o ŋ o
