COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
1223-5					ŋ ɜ ŋ		
592-5					m o		
1290-5					t̪ r̪ u k		
669-5					tɕ ɪ ɾ s̪		
1472-5					x s̪ u m		
788-5					j ɑ ŋ		
1191-5					ɾ ɜ p ɜ p		
626-5					m ɪ n̪		
844-5					ts̪ ɑ m		
879-5					d̪ʲ ɑ		
1151-5					d̪ r̪ u s̪		
1119-5					ɑ ɑ		
365-5					s̪ r̪ i m ɜ		
1480-5					j ɑ ŋ		
653-5					z̪ ʊ s̪		
1081-5					kʰ o ŋ		
1448-5					p ɑ		
1029-5					m ɑ		
863-5					ɕ ɛ		
539-5					tθʰ ɪ n̪		
610-5					ŋ ɑ		
350-5					ŋ ɜ t̪ o		
871-5					m o ŋ		
734-5					ɾ ɑ		
431-5					kʰ i		
1298-5					ʊ ɾ g o		
929-5					t̪ r̪ ɜ ŋ		
1315-5					t̪ ɑ ŋ		
964-5					m ɪ n̪		
836-5					m i		
1644-5					b i ŋ		
547-5					ɑ ɑ		
1048-5					k ɜ p ɜ		
1692-5					d̪ o		
1306-5					d̪ u		
405-5					kʰ o ŋ		
294-5					p l̥ u		
661-5					kʰ o ŋ		
413-5					tɕʰ ɜ q		
996-5					tɕ i ŋ		
1012-5					t̪ r̪ o ŋ		
181-5					ȵ i m o		
1660-5					g ɛ d o		
1440-5					d̪ i ŋ		
1652-5					m o		
1037-5					s̪ r̪ i ŋ m ɜ		
677-5					g ɜ x m o		
1561-5					ɜ ɕ ɪ l		
447-5					s̪ ɜ m o		
828-5					ʊ ɾ g o		
1247-5					tɕ ɜ t̪		
391-5					ɖʐ ɜ x m o		
972-5					ȵ i m o		
531-5					t̪ʰ ɜ ŋ		
253-5					tɕ o		
1282-5					p u m o		
812-5					j ɑ ŋ m o		
245-5					t̪ʰ r̪ u		
1609-5					k ɑ j o		
261-5					h ɜ n̪ d o q		
1143-5					m ɑ		
709-6						g o	
522-6						b o ŋ	
514-6						m ɪ n̪	
464-6						ŋ ɑ	
1020-6						l̪ tɕʰ ɜ n̪ s̪	
1355-6						s̪ o	
1464-6						l̪ tɕ ɜ	
302-6						b ɜ ŋ	
237-6						l̪ t̪ ɑ	
205-6						p ɜ b ɜ q	
1089-6						t̪ ɜ n̪ d ɜ l	
804-6						s̪ ɑ ŋ	
1263-6						z̪ ɜ p s̪	
286-6						ɾ g u s̪	
717-6						s̪ i ŋ	
269-6						b ɜ q	
1512-6						tɕ i	
555-6						t̪ ɜ k s̪	
751-6						n̪ ɜ ŋ	
439-6						z̪ ʊ	
601-6						ɕ i ŋ	
320-6						l̪ t̪ ɜ n̪ ɜ	
1106-6						b gʲ u	
693-6						h ɜ t̪ ɜ p	
221-6						s̪ t̪ ɜ k	
1199-6						t̪ʰ ɑ q z̪ ɜ	
1424-6						s̪ u k s̪	
904-6						l o	
1273-6						ŋ ɜ m	
1323-6						s̪ t̪ ɜ m	
1127-6						pʰ ɜ k z̪ ɜ	
1529-6						d̪ʲ u	
1175-6						ɾ g o	
383-6						s̪ u	
820-6						l̪ tɕʰ o	
1636-6						d̪ʲ u ŋ	
1331-6						ɾ g ɑ	
1097-6						l ɜ m	
1223-6						t̪ ɜ ŋ ɜ	
592-6						m o	
1290-6						l̪ t̪ ɜ n̪ ɜ	
669-6						s̪ u ɾ	
1472-6						s̪ ɑ j i	
788-6						j ɑ ŋ	
1191-6						ɾ ɜ p ɜ	
626-6						m ɪ n̪ d o	
844-6						m ɑ	
879-6						j ɑ	
1151-6						b gʲ ɜ s̪	
1119-6						j ɑ ŋ	
365-6						s̪ t̪ r̪ i m ɜ	
1480-6						j u ŋ	
653-6						z̪ ʊ k s̪	
1081-6						ts̪ o ŋ	
1448-6						p ɑ j ɑ	
1029-6						m ɑ ɾ	
863-6						ɕ ɛ n̪	
539-6						tθʰ ɪ n̪	
610-6						ŋ ɜ	
350-6						t̪ ɜ ŋ	
871-6						d̪ o ŋ s̪	
734-6						ɾ ɑ ɾ	
431-6						kʰ i	
1298-6						b gʲ ɜ	
929-6						t̪ r̪ ɜ ŋ	
1315-6						t̪ ɜ t̪ ɜ n̪	
964-6						m ɪ n̪ q	
836-6						m i	
1644-6						d̪ u ŋ s̪	
547-6						t̪ ɜ n̪ ɜ	
1048-6						k ɜ s̪	
1692-6						d̪ o	
1306-6						b gʲ u	
405-6						d̪ o ŋ	
294-6						b u	
661-6						d̪ o ŋ	
413-6						h ɜ q d o q	
996-6						kʰ ɜ n̪	
1012-6						tɕ i ɜ	
181-6						ȵ i	
1660-6						ɾ g o	
1440-6						d̪ i ŋ	
1652-6						l o	
1037-6						s̪ o ŋ ɜ	
677-6						t̪ ɜ n̪ m o	
1561-6						ɕ ɛ d e	
447-6						s̪ t̪ ɜ m o	
828-6						ɾ g o	
1247-6						tɕ ɜ n̪	
391-6						l̪ tɕʰ ɜ n̪ m o	
972-6						ȵ i m o	
531-6						t̪ʰ ɑ ŋ	
253-6						tɕ o	
1282-6						p l̥ u	
812-6						j ɑ ŋ m o	
245-6						d̪ʲ u ŋ	
1609-6						s̪ ɑ	
261-6						n̪ ɑ q	
1143-6						m ɑ m	
709-7							g o
522-7							kʰ o ŋ
514-7							d̪ʲ u
464-7							s̪ ɑ m
1020-7							s̪ u m
1355-7							s̪ o
1464-7							tɕ i
302-7							ʈ ɑ ŋ
237-7							ts̪ ɑ m
205-7							d̪ʲ u
1089-7							n̪ ɑ m
804-7							s̪ o ŋ
1263-7							d̪ ɑ m
286-7							ɾ u s̪
717-7							s̪ o ŋ
269-7							kʰ o
1512-7							tɕ i
555-7							ŋ ɜ s̪
751-7							n̪ ɜ ŋ
439-7							z̪ o
601-7							ȵ i
320-7							ŋ ɜ s̪
1106-7							d̪ u
693-7							kʰ ɑ ŋ
221-7							s̪ u m
1199-7							j ɑ ŋ
1424-7							s̪ u m
904-7							ȵ i
1273-7							s̪ u m
1323-7							s̪ u m
1127-7							ɾ ɜ m
1529-7							d̪ʲ u
1175-7							ɾ gʲ ɛ t̪
383-7							tɕ i s̪
820-7							ȵ i s̪
1636-7							d̪ ɑ ŋ
1331-7							ɾ g ɑ
1097-7							d̪ʲ u
1223-7							ŋ ɑ ŋ
592-7							d̪ʲ u
1290-7							d̪ʲ u
669-7							tɕ i s̪
1472-7							s̪ ɑ
788-7							j ɑ ŋ
1191-7							ɾ ɜ m
626-7							ts̪ ɑ n̪ d o q
844-7							j ɑ m
879-7							ɾ ɜ
1151-7							kʰ o ŋ s̪
1119-7							d̪ʲ u
365-7							s̪ u m
1480-7							d̪ʲ u
653-7							z̪ o s̪
1081-7							kʰ o ŋ
1448-7							ts̪ ɑ m
1029-7							g ɑ ɾ
863-7							ɾ gʲ ɜ
539-7							ŋ i
610-7							ŋ ɑ
350-7							kʰ o ŋ
871-7							kʰ o ŋ
734-7							ɾ g ɑ
431-7							kʰ o
1298-7							ɾ gʲ ɛ t̪
929-7							ʈ ɑ ŋ
1315-7							ts̪ ɑ m ɑ
964-7							ȵ i s̪
836-7							ȵ i
1644-7							d̪ u k
547-7							ŋ ɑ m
1048-7							s̪ u
1692-7							d̪ e o
1306-7							d̪ u
405-7							kʰ o ŋ
294-7							pʰ r̪ u
661-7							kʰ o ŋ
413-7							n̪ ɜ
996-7							ŋ ɜ
1012-7							ʈ u s̪
181-7							pʰ r̪ o
1660-7							d̪ʲ u
1440-7							d̪ ɑ ŋ
1652-7							kʰ o
1037-7							ŋ ɑ m
677-7							ŋ ɑ m
1561-7							ɾ gʲ ɜ
447-7							s̪ u
828-7							ɾ g o
1247-7							tɕ ɜ s̪
391-7							g o m o
972-7							ȵ i k
531-7							j ɑ ŋ
253-7							tɕ o
1282-7							d̪ʲ u
812-7							j ɑ ŋ
245-7							d̪ʲ u
1609-7							k r̪ o
261-7							n̪ ɑ
1143-7							ts̪ ɑ m
