COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
1089-4				l ɜ q s̪			
804-4				k ɜ ŋ m ɜ			
1263-4				b ɑ r̪ ɸ ɑ			
286-4				ɾ ʊ s̪			
717-4				s̪ o ŋ			
269-4				kʰ ɜ q			
1512-4				ʐ i n̪			
555-4				l̪ tɕʰ ɜ x p ɜ			
751-4				ts̪ ɜ ŋ			
439-4				tɕ o			
601-4				ɕ i ŋ			
320-4				t̪ʰ ɜ q m ɜ			
1106-4				b u			
693-4				h ɜ x p ɜ			
221-4				s̪ t̪ r̪ i ŋ			
1199-4				t̪ʰ ɜ q p ɜ			
1424-4				s̪ u k p ɜ			
904-4				l o ŋ			
1273-4				m ɑ m			
1323-4				s̪ k ɜ m			
1127-4				ts̪ ɜ r̪ ɸ ɑ			
1529-4				j u			
1175-4				ɾ ɜ m o			
383-4				d̪ o ɾ			
820-4				l̪ tɕʰ o			
1636-4				j u ŋ			
1331-4				ɾ β̞ ɑ			
1097-4				l ɜ m			
1223-4				g ɑ ŋ			
592-4				m i			
1290-4				t̪ r̪ u n̪ p ɜ			
669-4				s̪ u ɾ			
1472-4				t̪ r̪ ɑ q			
788-4				b o ŋ ɑ			
1191-4				ɾ ɜ m ɜ			
626-4				m i n̪ d o q			
844-4				m ɑ m			
879-4				ts̪ ɑ			
1151-4				t̪ ɜ x s̪			
1119-4				p ɑ l			
709-5					g o		
522-5					k o		
514-5					ȵ i		
464-5					s̪ ʑ ɑ		
1020-5					k ɜ s̪		
1355-5					s̪		
1464-5					b u		
302-5					b ɜ ŋ		
237-5					t̪ r̪ u		
205-5					p ɑ q p ɜ		
1089-5					t̪ ɜ q s̪		
804-5					k ɑ ŋ m ɜ		
1263-5					k ɜ x s̪		
286-5					x s̪ u		
717-5					s̪ i		
269-5					ɖʐ ɜ q		
1512-5					tɕ i n̪		
555-5					tɕ ɜ k p ɜ		
751-5					n̪ ɜ ŋ		
439-5					g o		
601-5					b i ŋ		
320-5					lʲ ɜ x m ɜ		
1106-5					p l̥ u		
693-5					r̪ o q		
221-5					k ɜ s̪		
1199-5					ts̪ ɑ q p ɜ		
1424-5					s̪ k ɜ s̪		
904-5					g o q		
1273-5					ɛ ɜ n̪		
1323-5					s̪ k ɜ m		
1127-5					t̪ʰ ɜ r̪ ɸ ɜ		
1529-5					d̪ʲ u		
1175-5					ʊ ɾ g o		
383-5					k ɜ s̪		
820-5					l̪ tɕʰ o		
1636-5					d̪ʲ u		
1331-5					ɾ β̞ ɑ		
1097-5					l ɜ m		
1223-5					g ɜ ŋ		
592-5					m i		
1290-5					d u s̪		
669-5					k ɜ s̪		
1472-5					s̪ u		
788-5					o ŋ ɑ		
1191-5					gʲ ɜ		
626-5					m ɜ n̪ d o q		
844-5					g ɑ		
879-5					g ɑ		
1151-5					p ɜ s̪		
1119-5					g ɑ		
709-6						m o	
522-6						m o ŋ	
514-6						m i	
464-6						t̪ ɜ	
1020-6						k ɜ s̪ k e	
1355-6						s̪ o	
1464-6						tɕ i	
302-6						t̪ r̪ ɜ ŋ	
237-6						t̪ ɜ	
205-6						b ɜ x p ɜ p ɜ	
1089-6						l ɜ q	
804-6						t̪ ɜ ŋ	
1263-6						m ɜ p p ɜ	
286-6						ɾ u s̪	
717-6						s̪ ȵ i ŋ	
269-6						p ɜ q	
1512-6						m i k ɜ n̪	
555-6						tɕ ɜ k s̪	
751-6						j ɜ ŋ	
439-6						m o	
601-6						m i ŋ	
320-6						m ɜ x m ɜ	
1106-6						b u	
693-6						h ɜ x	
221-6						s̪ t̪ ɜ r̪ i	
1199-6						t̪ʰ ɜ q p ɜ	
1424-6						s̪ u k s̪	
904-6						s̪ o ŋ	
1273-6						b ɜ x p ɜ m	
1323-6						k ɜ s̪ k ɜ	
1127-6						tɕʰ ɜ r̪ ɸ ɜ	
1529-6						b u	
1175-6						ɾ g o	
383-6						s̪ k ɜ m	
820-6						l̪ k o k	
1636-6						b u ŋ	
1331-6						ɾ g ɑ	
1097-6						l ɜ m	
1223-6						g ɑ ŋ	
592-6						m ɑ	
1290-6						t̪ r̪ u k	
669-6						s̪ o ŋ s̪	
1472-6						s̪ t̪ ɜ p	
788-6						o ŋ ɑ	
1191-6						ɾ ɜ x m ɜ	
626-6						m o q s̪ o	
844-6						m ɑ	
879-6						g ɑ	
1151-6						b gʲ ɜ s̪	
1119-6						b ɑ	
709-7							m o
522-7							b o ŋ o
514-7							m i k
464-7							m ɑ
1020-7							s̪ u m
1355-7							m o
1464-7							tɕ i
302-7							b ɜ ŋ
237-7							ɜ t̪ ɑ
205-7							b s̪ ŋ ɜ
1089-7							b ɜ m o
804-7							b ɑ ŋ m ɑ
1263-7							b t̪ ɜ x s̪
286-7							pʰ u ɾ s̪
717-7							t̪ʰ i ŋ
269-7							t̪ ɑ n̪
1512-7							tɕ i k
555-7							b s̪ t̪ ɜ n̪
751-7							b ɜ ŋ
439-7							g o
601-7							j i ŋ
320-7							t̪ ɑ x m ɜ
1106-7							pʰ r̪ u
693-7							b ɜ m ɑ
221-7							s̪ t̪ ɑ
1199-7							m ɑ ɣ ɑ
1424-7							ɾ d u
904-7							l oˑ
1273-7							m ɜ n̪
1323-7							s̪ k ɜ
1127-7							b r̪ ɜ
1529-7							pʰ r̪ u
1175-7							ɾ g o
383-7							l e
820-7							b o ŋ
1636-7							j u ŋ
1331-7							s̪ ɑ
1097-7							d ɜ m
1223-7							m ɑ
592-7							m ɑ
1290-7							b u m ɑ
669-7							s̪ ɑ
1472-7							k ɑ ɾ
788-7							m ɑ
1191-7							ɾ ɜ
626-7							b o q s̪
844-7							m ɑ
879-7							m ɑ
1151-7							b i s̪
1119-7							m ɑ
