COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
879-4				ɑ̃ tɕʰ			
1151-4							
1119-4				l u ɑ			
365-4							
1480-4				ŋ u j			
653-4							
1081-4							
1448-4							
1029-4				m ɑ ɾ			
863-4				ɑ ɕ			
539-4							
610-4				ɑ̃ ȵʲ			
350-4							
871-4				o ŋ ɑ			
734-4				ɾ β̞ ɑ			
431-4				ɪ kʰ			
1298-4							
929-4							
1315-4							
964-4							
836-4				ɪ m			
1644-4							
547-4				ɑ t̪ ɑ			
1048-4							
1692-4							
1306-4				u b			
405-4							
294-4				u b			
661-4							
413-4				dʑ ɑ q			
996-4							
1012-4							
181-4							
1660-4							
1440-4							
1652-4				o l			
1037-4							
677-4							
1561-4							
447-4							
828-4							
1247-4							
391-4							
972-4							
531-4							
253-4							
1282-4							
812-4							
245-4							
1609-4							
261-4							
1143-4							
709-5					o o g		
522-5							
514-5					i k m		
464-5					n̪ ɑ ɕ		
1020-5							
1355-5					o s̪		
1464-5							
302-5							
237-5							
205-5							
1089-5							
804-5							
1263-5							
286-5							
717-5							
269-5					q ʈʂ ɜ		
1512-5							
555-5							
751-5					n̪ ɜ ŋ		
439-5					g o z̪		
601-5					ŋ ɕ i		
320-5							
1106-5					o b		
693-5							
221-5							
1199-5							
1424-5							
904-5							
1273-5							
1323-5							
1127-5							
1529-5					o tɕʰ		
1175-5							
383-5					l ɪ s̪		
820-5					k l̪ o		
1636-5					l̪ o ŋ		
1331-5							
1097-5					l ɜ m		
1223-5							
592-5					ɛ m		
1290-5							
669-5					s̪ ɛ ɾ		
1472-5							
788-5							
1191-5							
626-5							
844-5					m ɜ		
879-5					ɜ tɕʰ		
1151-5							
1119-5					l u ɑ		
365-5							
1480-5					j u ŋ		
653-5							
1081-5							
1448-5							
1029-5					m ɑ ɾ		
863-5					ɑ ɕ		
539-5							
610-5					ɜ ȵʲ		
350-5							
871-5					o ŋ ɑ		
734-5					ɾ β̞ ɑ		
431-5					ɪ kʰ		
1298-5							
929-5							
1315-5							
964-5							
836-5					i m		
1644-5							
547-5					ɑ t̪ ɜ		
1048-5							
1692-5							
1306-5					o b		
405-5							
294-5					o b		
661-5							
413-5					ʑ ɜ q		
996-5							
1012-5							
181-5							
1660-5							
1440-5							
1652-5					ʊ l		
1037-5							
677-5							
1561-5							
447-5							
828-5							
1247-5							
391-5							
972-5							
531-5							
253-5							
1282-5							
812-5							
245-5							
1609-5							
261-5							
1143-5							
709-6						g o o	
522-6							
514-6						i k m	
464-6						ɜ n̥	
1020-6							
1355-6						o s̪	
1464-6							
302-6							
237-6							
205-6							
1089-6							
804-6							
1263-6							
286-6							
717-6						i n̥ ŋ s̪	
269-6						q ɜ ʈʂ	
1512-6							
555-6							
751-6						n̪ ɜ ŋ	
439-6						g o z̪	
601-6						ŋ ɕ i	
320-6							
1106-6						u b	
693-6							
221-6							
1199-6							
1424-6							
904-6							
1273-6						m ɜ n̥	
1323-6							
1127-6							
1529-6						u tɕʰ	
1175-6							
383-6						l s̪ ɪ	
820-6						k l̪ o	
1636-6						l̪ u ŋ	
1331-6							
1097-6						m ɜ l	
1223-6							
592-6						ɛ m	
1290-6							
669-6						s̪ ɛ b	
1472-6							
788-6							
1191-6							
626-6							
844-6						m ɜ	
879-6						ɜ tɕʰ	
1151-6							
1119-6						l u ɑ	
365-6							
1480-6						j u ŋ	
653-6							
1081-6							
1448-6							
1029-6						m ɑ ɾ	
863-6						ɑ ɕ	
539-6							
610-6						ɜ ȵʲ	
350-6							
871-6						o ŋ ɑ	
734-6						ɾ ɜ β̞	
431-6						ɪ kʰ	
1298-6							
929-6							
1315-6							
964-6							
836-6						i m	
1644-6							
547-6						ɜ t̪ ɑ	
1048-6							
1692-6							
1306-6						ʊ b	
405-6							
294-6						u b	
661-6							
413-6						q ɜ ʑ	
996-6							
1012-6							
181-6							
1660-6							
1440-6							
1652-6						oˑ l	
1037-6							
677-6							
1561-6							
447-6							
828-6							
1247-6							
391-6							
972-6							
531-6							
253-6							
1282-6							
812-6							
245-6							
1609-6							
261-6							
1143-6							
709-7							o o g
522-7							
514-7							k i m
464-7							ɑ n̥
1020-7							
1355-7							o s̪
1464-7							
302-7							
237-7							
205-7							
1089-7							
804-7							
1263-7							
286-7							
717-7							ŋ i n̥
269-7							ɑ ʈʂ q
1512-7							
555-7							
751-7							n̪ ɑ ŋ
439-7							z̪ g o
601-7							i ŋ ɕ
320-7							
1106-7							u b
693-7							
221-7							
1199-7							
1424-7							
904-7							
1273-7							m n̥ ɑ
1323-7							
1127-7							
1529-7							u tɕʰ
1175-7							
383-7							
820-7							k l̪ o
1636-7							ŋ u l̪
1331-7							
1097-7							l m ɑ
1223-7							
592-7							e m
1290-7							
669-7							s̪ ɑ ɾ
1472-7							
788-7							
1191-7							
626-7							
844-7							m ɑ
879-7							ɑ tɕʰ
1151-7							
1119-7							u l ɑ
365-7							
1480-7							ŋ u j
653-7							
1081-7							
1448-7							
1029-7							ɑ m ɾ
863-7							ɜ ɕ
539-7							
610-7							ɑ ȵʲ
350-7							
871-7							o ŋ ɑ
734-7							ɑ β̞ ɾ
431-7							i kʰ
1298-7							
929-7							
1315-7							
964-7							
836-7							i m
1644-7							
547-7							ɑ t̪ ɑ
1048-7							
1692-7							
1306-7							u β
405-7							
294-7							u b
661-7							
413-7							ɜ q ʑ
996-7							
1012-7							
181-7							
1660-7							
1440-7							
1652-7							o l
1037-7							
677-7							
1561-7							
447-7							
828-7							
1247-7							
391-7							
972-7							
531-7							
253-7							
1282-7							
812-7							
245-7							
1609-7							
261-7							
1143-7							
