COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
294-4				d̪ʲ u			
661-4				kʰ o ŋ			
413-4				tɕʰ ɜ q p o			
996-4				kʰ ɜ p			
1012-4				t̪ r̪ ɜ k			
181-4				d̪ o ŋ			
1660-4				g ɑ̃ ŋ m ɜ			
1440-4				d̪ o ŋ			
1652-4				l o			
1037-4				l dð ɑ			
677-4				s̪ ɛ n̪ m o			
1561-4				ɜ ɕ i p ɜ			
447-4				s̪ u m			
828-4				ɾ ɑ l			
1247-4				tɕʲ ɜ p			
391-4				g ɑ̃ ŋ m ɜ			
972-4				ȵ i m ɑ			
531-4				t̪ʰ ɜ l tɕ ɪ t̪			
253-4				tɕ o			
1282-4				t̪ r̪ u k			
812-4				j ɑ ŋ			
245-4				j ɑ l			
1609-4				k ɑ j ɜ			
261-4				tɕʰ ɜ q p o			
1143-4				m e β̞ ɑ			
709-5					g o		
522-5					ɾ d o ŋ		
514-5					m ɪ n̪		
464-5					s̪ ɜ r̪ ʊ		
1020-5					k ɜ ɽ ɜ m		
1355-5					s̪		
1464-5					l̪ tɕʰ o		
302-5					b ɜ		
237-5					l̪ t̪ ɑ m		
205-5					p ɜ ɽ ɜ m		
1089-5					l ɜ q p o		
804-5					k ɜ ɽ ɜ m		
1263-5					b ɜ k t̪ ɜ ŋ		
286-5					ɾ d ɜ p		
717-5					s̪ t̪ r̪ ɜ ŋ		
269-5					kʰ ɜ p		
1512-5					tɕ i k		
555-5					k ɜ ɽ ɜ m		
751-5					n̪ ɑ k		
439-5					g o ŋ		
601-5					ɕ ɪ s̪		
320-5					k ɜ ɽ ɜ m		
1106-5					b ʑ u		
693-5					h ɜ n̪ d o q		
221-5					s̪ ɜ r̪ ɸ ɜ		
1199-5					t̪ʰ ɜ l p o		
1424-5					s̪ t̪ r̪ i k		
904-5					l o x s̪ o		
1273-5					x ɛ n̪ m o		
1323-5					s̪ t̪ r̪ ɜ k		
1127-5					tɕʰ ɜ p		
1529-5					d̪ʲ u		
1175-5					β gʲ ɛ t̪		
383-5					x s̪ u m		
820-5					l̪ tɕʰ o		
1636-5					l̪ t̪ o ŋ		
1331-5					ʊ ɾ g o		
1097-5					l ɜ q m o		
1223-5					ŋ ɑ j ɑ		
592-5					m o		
1290-5					pʰ u ɾ s̪		
669-5					z̪ ɛ ɾ s̪		
1472-5					s̪ ɛ n̪ m o		
788-5					l o ŋ		
1191-5					ɾ ɜ b ɜ		
626-5					m o q		
844-5					kʰʲ ɑ m		
879-5					ɜ ɣ ɑ		
1151-5					β gʲ ɛ t̪ s̪		
1119-5					ɜ ɣ ɑ		
365-5					s̪ ɜ r̪ ɸ ɜ		
1480-5					d̪ ɑ ŋ		
653-5					z̪ ɛ ɾ s̪		
1081-5					d̪ o ŋ		
1448-5					p ɑ j ɜ		
1029-5					m ɑ l		
863-5					ɜ ɕ ɛ		
539-5					tθʰ o q		
610-5					tθʰ ɑ		
350-5					ŋ ɑ ŋ ɑ		
871-5					j ɑ ŋ		
734-5					ɾ ɑ l		
431-5					b i		
1298-5					ɾ d i l		
929-5					t̪ʰ ɜ q p o		
1315-5					t̪ r̪ ɜ k		
964-5					m ɪ n̪ s̪		
836-5					m i		
1644-5					pʰ l u k s̪		
547-5					ɜ ɕ ɛ		
1048-5					k ɜ ɽ ɜ m		
1692-5					d̪ o ŋ		
1306-5					d̪ʲ u		
405-5					kʰ o ŋ		
294-5					d̪ʲ u		
661-5					kʰ o ŋ		
413-5					b ɜ q		
996-5					kʰ ɜ p		
1012-5					t̪ r̪ i ŋ ɑ		
181-5					pʰ u ɾ s̪		
1660-5					g ɑ b ɜ		
1440-5					d̪ i ŋ ɑ		
1652-5					m o		
1037-5					t̪ r̪ ɜ ŋ		
677-5					h ɜ n̪ ʊ s̪		
1561-5					ɕ ɛ d i		
447-5					s̪ k o m ɜ		
828-5					ɾ d ɜ q		
1247-5					tɕ ɜ t̪ s̪		
391-5					h ɜ n̪ d o m		
972-5					ȵ i k		
531-5					t̪ʰ ɜ p		
253-5					tɕ o ŋ		
1282-5					p ɑ j u		
812-5					j ɑ ŋ		
245-5					t̪ʰ o ŋ		
1609-5					ts̪ ɑ m		
261-5					tɕʰ ɜ q p o		
1143-5					n̪ ɑ m		
709-6						t̪ʰ o ŋ	
522-6						ɾ ɑ ŋ	
514-6						m i k	
464-6						s̪ o	
1020-6						s̪ k ɜ m	
1355-6						s̪ o	
1464-6						l̪ tɕʰ o	
302-6						b ɜ ŋ	
237-6						l̪ t̪ ɜ n̪ u	
205-6						tɕʰ ɜ q p o	
1089-6						tɕʰ ɜ q p o	
804-6						k ɜ ɽ ɜ m	
1263-6						b ɜ k z̪ ɜ	
286-6						ɾ d u p	
717-6						s̪ ɕ i ŋ	
269-6						kʰ ɜ p	
1512-6						tɕ i k	
555-6						s̪ ɜ r̪ f ɜ	
751-6						n̪ ɜ ŋ	
439-6						z̪ ɛ ɾ	
601-6						ɕ i ŋ	
320-6						k ɜ ɽ ɜ m	
1106-6						b ʑ i	
693-6						h ɜ k t̪ ɜ	
221-6						s̪ ɜ r̪ f ɜ	
1199-6						t̪ʰ ɜ q p ɜ	
1424-6						s̪ u r̪ ʊ p	
904-6						l̪ t̪ o k	
1273-6						s̪ ɜ m	
1323-6						s̪ ɜ r̪ f ɜ	
1127-6						tɕʰ ɜ p	
1529-6						p l̥ u	
1175-6						ɾ d ɜ p	
383-6						s̪ u m	
820-6						l̪ tɕʰ o	
1636-6						d̪ ɜ x p o	
1331-6						ɾ i l	
1097-6						l ɜ m	
1223-6						ŋ ɜ	
592-6						m o	
1290-6						p l̥ u k	
669-6						s̪ u m	
1472-6						s̪ ɜ r̪ i	
788-6						l o ŋ s̪	
1191-6						ɾ ɜ m	
626-6						m e β̞ o	
844-6						m ɑ	
879-6						ɣ ɑ	
1151-6						b i ɜ p s̪	
1119-6						ɾ ɑ l	
365-6						s̪ ɜ r̪ f ɜ	
1480-6						j u ŋ	
653-6						z̪ ɛ t̪	
1081-6						tθʰ o ŋ	
1448-6						p ɑ b ɜ	
1029-6						m e	
863-6						ɕ e	
539-6						n̪ ɑ m	
610-6						kʰʲ ɑ ŋ	
350-6						ŋ ɜ	
871-6						k o ŋ	
734-6						ɾ d ɜ	
431-6						kʰ i	
1298-6						ɾ d ɜ p	
929-6						b i ɜ	
1315-6						t̪ r̪ ɜ k	
964-6						m ɪ n̪ d o	
836-6						m e	
1644-6						pʰ ɜ k z̪ ɜ	
547-6						ɜ ɕ e	
1048-6						k ɜ ɽ ɜ k	
1692-6						p l̥ o	
1306-6						b u	
405-6						b o ŋ o	
294-6						p l̥ u	
661-6						b o ŋ o	
413-6						b ɜ q p o	
996-6						s̪ ɜ m	
1012-6						tɕ o ŋ ɜ s̪	
181-6						b ʑ i	
1660-6						z̪ ɛ r̪ m õ	
1440-6						d̪ i ŋ	
1652-6						d̪ʲ o	
1037-6						s̪ o ŋ m ɜ	
677-6						s̪ ɜ m	
1561-6						ɕ ɛ t̪ ɜ	
447-6						s̪ ɜ r̪	
828-6						ɾ ɪ m o	
1247-6						tɕ ɜ k	
391-6						tɕʰ ɜ q p o	
972-6						ȵ i m o	
531-6						t̪ʰ ɜ l tɕ i ŋ	
253-6						tɕ o k	
1282-6						p l̥ u	
812-6						j ɑ ŋ	
245-6						t̪ʰ r̪ u	
1609-6						k ɜ ɽ ɜ m	
261-6						n̪ ɜ q p o	
1143-6						m e β̞ o	
709-7							g o
522-7							ʈʰ o ŋ
514-7							l̪ t̪ i k
464-7							s̪ ɑ m
1020-7							s̪ ɛ r̪ m õ
1355-7							s̪
1464-7							l̪ t̪ i
302-7							ɾ gʲ ɜ
237-7							l̪ t̪ ɜ n̪ u
205-7							tɕʰ ɜ q p o
1089-7							ŋ ĩ t̪ ɑ̃ s̪
804-7							ʈ ɑ ŋ
1263-7							ɾ gʲ ɛ t̪
286-7							ɾ ɜ s̪
717-7							s̪ ɛ r̪ m õ
269-7							b ɜ n̪ d
1512-7							tɕ i k
555-7							ŋ ɜ t̪ ɜ n̪
751-7							n̪ ɑ ŋ
439-7							z̪ o s̪
601-7							ɕ i s̪
320-7							t̪ʰ ɜ m p s̪
1106-7							pʰ r̪ u
693-7							tɕʰ ɜ q p o
221-7							s̪ ɛ r̪ m õ
1199-7							t̪ʰ ɜ l b ɜ
1424-7							s̪ u m
904-7							l dð o
1273-7							s̪ u m
1323-7							s̪ ɛ r̪ m õ
1127-7							tɕʰ ɜ q p o
1529-7							d̪ʲ u
1175-7							ɾ gʲ ɛ t̪
383-7							s̪ u m
820-7							l̪ t̪ o k
1636-7							d̪ ɑ k p o
1331-7							ʊ ɾ g ɑ
1097-7							l dð ɑ
1223-7							ŋ ɜ t̪ ɜ ŋ
592-7							d̪ʲ u
1290-7							ʈ u k
669-7							t̪ʰ ɜ l s̪
1472-7							s̪ o m ɑ
788-7							l dð ɑ
1191-7							ɾ gʲ ɛ t̪
626-7							n̪ ɑ m
844-7							j ɑ m
879-7							d̪ʲ ɑ
1151-7							ɾ gʲ ɜ
1119-7							g ɑ ɾ
365-7							s̪ ɛ r̪ m õ
1480-7							pʰ r̪ ɑ
653-7							z̪ ɛ ɾ g o
1081-7							d̪ e
1448-7							p ɑ r̪ ɑ
1029-7							l dð ɑ
863-7							ɕ ɑ
539-7							ts̪ ɑ m
610-7							ŋ ɑ
350-7							kʰ ɑ ŋ
871-7							ts̪ ɑ m
734-7							ɾ gʲ ɛ t̪
431-7							d̪ʲ u
1298-7							ʊ ɾ g u
929-7							ʈ ɑ ŋ
1315-7							ʈ ɑ ŋ
964-7							n̪ ɑ m
836-7							d̪ʲ u
1644-7							ŋ i ɕ u
547-7							ɜ m ɑ
1048-7							ɾ ɜ s̪
1692-7							pʰ r̪ u
1306-7							d̪ʲ u
405-7							kʰ o ŋ
294-7							d̪ʲ u
661-7							kʰ o ŋ
413-7							b ɜ n̪ d
996-7							n̪ ɑ m
1012-7							ʈ u k
181-7							pʰ r̪ u
1660-7							g ɑ ɾ
1440-7							d̪ e
1652-7							kʰ o
1037-7							t̪ʰ ɜ l b ɜ
677-7							n̪ ɑ m
1561-7							ŋ i ɕ u
447-7							s̪ u m
828-7							ɾ gʲ ɜ
1247-7							ɾ d ɜ p s̪
391-7							h ɑ n̪ d o q
972-7							ŋ i ɕ u
531-7							t̪ʰ ɜ l b ɜ
253-7							tɕ i k
1282-7							ts̪ u n̪
812-7							g ɑ ŋ m ɑ
245-7							g r̪ i
1609-7							ts̪ ɑ m
261-7							tɕʰ ɜ q p o
1143-7							n̪ ɑ m
