COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-3			g o o				
522-3			ʊ Ø ɾ d o ŋ				
514-3			m ɪ k				
464-3			s̪ n̪ ɑ				
1020-3			s̪ n̪ ɜ m s̪ u l				
1355-3			s̪ o				
1464-3			l̪ tɕ e				
302-3			b l ɜ ŋ				
237-3			l̪ t̪ β̞ ɑ				
205-3			p r̪ ɜ q Ø ɜ				
1089-3			l ɜ q Ø ɪ l				
804-3			k ɜ ŋ m ɜ				
1263-3			b ɜ g s̪ p ɑ				
286-3			ɾ u s̪ p ɜ				
717-3			s̪ n̪ i ŋ				
269-3			kʰ r̪ ɜ q				
1512-3			k tɕ i n̪				
555-3			r̪ Ø ɜ k p ɜ				
751-3			n̪ ɜ ŋ				
439-3			z̪ g o				
601-3			ɕ i ŋ				
320-3			Ø Ø ɜ k m ɜ				
1106-3			b u				
693-3			h ɜ Ø o Ø ɑ				
221-3			s̪ t̪ ɜ r̪ e				
1199-3			t̪ʰ ɑ q p ɜ				
1424-3			s̪ k u t̪ p ɜ				
904-3			l z̪ o t̪				
1273-3			k n̪ ɜ m				
1323-3			s̪ k ɜ r̪ m ɜ				
1127-3			tɕʰ ɜ r̪ Ø ɜ				
1529-3			tɕʰ u				
1175-3			ɾ gʲ ɛ m Ø o				
383-3			p s̪ ɪ l				
820-3			l̪ o k				
1636-3			β l̪ u ŋ				
1331-3			u ɾ d̪ β̞ ɑ				
1097-3			l ɜ m				
1223-3			Ø ɜ ŋ ɑ				
592-3			m e				
1290-3			t̪ u t̪ p ɜ				
669-3			k s̪ ɛ ɾ				
1472-3			s̪ t̪ ɑ Ø Ø i				
788-3			l o ŋ ɑ				
1191-3			ɾ ɜ m p ɜ				
626-3			m Ø n̪ d o q				
844-3			ɑ m				
879-3			tɕʰ ɑ				
1151-3			b r̪ ɜ s̪				
1119-3			ɑ l u				
709-4				g o o			
522-4				o Ø ɾ d o ŋ			
514-4				m ɪ ɣ			
464-4				s̪ n̪ ɑ			
1020-4				s̪ n̪ ɑ m s̪ u l			
1355-4				s̪ o			
1464-4				l̪ tɕ e			
302-4				b r̪ ɑ ŋ			
237-4				l̪ ʈ β̞ ɑ			
205-4				p l ɑ q Ø ɑ			
1089-4				l ɜ q Ø ɪ l			
804-4				ɣ ɜ ŋ m ɑ			
1263-4				b ɜ g s̪ p ɑ			
286-4				ɾ u s̪ p ɑ			
717-4				s̪ n̪ i ŋ			
269-4				Ø ɑ q			
1512-4				k tɕ Ø n̪			
555-4				ŋ Ø ɜ ɣ p ɑ			
751-4				n̪ ɑ ŋ			
439-4				z̪ g o			
601-4				ɕ i ŋ			
320-4				Ø ɑ k m ɑ			
1106-4				b u s̪ s̪			
693-4				h ɑ Ø o Ø ɑ			
221-4				s̪ ʈ ɑ r̪ e			
1199-4				t̪ʰ ɑ q p ɑ			
1424-4				s̪ ɣ u ʈ p ɑ			
904-4				l z̪ o ʈ			
1273-4				s̪ n̪ ɑ m			
1323-4				s̪ ɣ ɑ r̪ m ɑ			
1127-4				tɕʰ ɑ r̪ p ɜ			
1529-4				tɕʰ u			
1175-4				ɾ gʲ ɛ m Ø o			
383-4				p s̪ ɪ l			
820-4				l̪ o ɣ			
1636-4				k l̪ u ŋ			
1331-4				u ɾ d̪ β̞ ɑ			
1097-4				l ɑ m			
1223-4				Ø ɑ ɑ			
592-4				m e			
1290-4				ʈ u ʈ p ɜ			
669-4				k s̪ ɛ ɾ			
1472-4				s̪ ʈ ɑ Ø Ø i			
788-4				l Ø ɑ			
1191-4				ɾ ɑ m p ɑ			
626-4				m e n̪ d o q			
844-4				ɑ m			
879-4				tɕʰ ɑ			
1151-4				b r̪ ɑ s̪			
1119-4				ɑ l u			
709-5					g o o		
522-5					β̞ Ø ɾ d o ŋ		
514-5					m ɪ ɣ		
464-5					s̪ n̪ ɑ		
1020-5					s̪ n̪ ɜ m s̪ u l		
1355-5					s̪ o		
1464-5					l̪ tɕ e		
302-5					pʰ Ø ɜ ŋ		
237-5					l̪ t̪ Ø ɑ		
205-5					p l ɜ q Ø ɜ		
1089-5					l ɜ q Ø ɪ l		
804-5					ɣ ɜ ŋ m ɜ		
1263-5					pʰ ɜ Ø s̪ p ɑ		
286-5					ɾ u s̪ p ɜ		
717-5					s̪ n̪ i ŋ		
269-5					Ø ɜ q		
1512-5					k tɕ i n̪		
555-5					Ø ɜ ɣ p ɜ		
751-5					n̪ ɜ ŋ		
439-5					z̪ g o		
601-5					ɕ i ŋ		
320-5					Ø Ø ɜ k m ɜ		
1106-5					pʰ u β̞ β̞		
693-5					h ɜ Ø o Ø ɑ		
221-5					s̪ t̪ ɜ r̪ e		
1199-5					t̪ʰ ɑ q p ɑ		
1424-5					s̪ ɣ u t̪ p ɑ		
904-5					l Ø o t̪		
1273-5					Ø n̪ ɜ m		
1323-5					s̪ ɣ ɜ r̪ m ɜ		
1127-5					tɕʰ ɜ r̪ p Ø		
1529-5					tɕʰ u		
1175-5					ɾ gʲ ɛ m Ø o		
383-5					p s̪ ɪ l		
820-5					l̪ o ɣ		
1636-5					β̞ l̪ u ŋ		
1331-5					u ɾ d̪ Ø ɑ		
1097-5					l ɜ m		
1223-5					Ø ɜ ɑ		
592-5					m ɛ		
1290-5					t̪ u t̪ p ɑ		
669-5					k s̪ ɛ ɾ		
1472-5					s̪ t̪ ɑ Ø Ø i		
788-5					l Ø ɑ		
1191-5					ɾ ɜ m p ɑ		
626-5					m ɪ n̪ d o q		
844-5					ɑ m		
879-5					tɕʰ ɑ		
1151-5					pʰ r̪ ɜ s̪		
1119-5					ɑ l u		
709-6						g o o	
522-6						m o ɾ d o ŋ	
514-6						m Ø ɣ	
464-6						n̪ ɑ	
1020-6						n̪ ɜ m s̪ u l	
1355-6						s̪ o	
1464-6						l̪ tɕ e	
302-6						pʰ r̪ ɜ ŋ	
237-6						l̪ ʈ β̞ ɑ	
205-6						p l ɜ q Ø ɜ	
1089-6						l ɑ q Ø ɪ l	
804-6						ɣ ɜ ŋ m ɜ	
1263-6						pʰ ɑ k s̪ p ɜ	
286-6						ɾ u s̪ p ɜ	
717-6						n̪ i ŋ	
269-6						Ø ɜ q	
1512-6						k tɕ i n̪	
555-6						m Ø ɑ ɣ p ɜ	
751-6						n̪ ɜ ŋ	
439-6						z̪ g o	
601-6						ɕ i ŋ	
320-6						Ø m ɜ k m ɜ	
1106-6						pʰ u m m	
693-6						h ɜ Ø o Ø ɑ	
221-6						s̪ ʈ ɜ r̪ e	
1199-6						t̪ʰ ɑ q p ɑ	
1424-6						s̪ ɣ u ʈ p ɑ	
904-6						l z̪ o ʈ	
1273-6						s̪ n̪ ɜ m	
1323-6						s̪ ɣ ɜ r̪ m ɜ	
1127-6						tɕʰ ɜ r̪ p Ø	
1529-6						tɕʰ u	
1175-6						ɾ gʲ ɛ m Ø o	
383-6						p s̪ ɪ l	
820-6						l̪ o ɣ	
1636-6						m l̪ u ŋ	
1331-6						u ɾ d̪ β̞ ɑ	
1097-6						l ɜ m	
1223-6						Ø ɜ ɑ	
592-6						m ɛ	
1290-6						ʈ u ʈ p ɑ	
669-6						m s̪ ɛ ɾ	
1472-6						s̪ ʈ ɑ ɣ Ø i	
788-6						l o ɑ	
1191-6						ɾ ɜ m p ɑ	
626-6						m ɪ n̪ d o q	
844-6						ɑ m	
879-6						tɕʰ ɑ	
1151-6						pʰ r̪ ɜ s̪	
1119-6						ɑ l u	
709-7							g o o
522-7							l z̪ m d o ŋ
514-7							m i k
464-7							n̪ ɑ
1020-7							s̪ n̪ ɜ m s̪ u l
1355-7							s̪ o
1464-7							l̪ tɕ Ø
302-7							b r̪ ɜ ŋ
237-7							l̪ ʈ Ø ɑ
205-7							p r̪ ɜ q p ɜ
1089-7							l ɑ q Ø Ø l
804-7							k ɜ ŋ m ɜ
1263-7							b ɑ s̪ p ɑ
286-7							ɾ u s̪ p ɑ
717-7							n̪ i ŋ
269-7							kʰ r̪ ɜ q
1512-7							l̪ tɕ i n̪
555-7							Ø ɑ k p ɜ
751-7							n̪ ɜ ŋ
439-7							s̪ g o
601-7							ɕ i ŋ
320-7							Ø ɜ Ø m ɜ
1106-7							b u m m
693-7							Ø ɜ Ø o r̪ ɑ
221-7							s̪ ʈ ɜ r̪ Ø
1199-7							t̪ʰ ɑ q p ɑ
1424-7							s̪ k u ʈ p ɑ
904-7							l s̪ o ʈ
1273-7							s̪ n̪ ɜ m
1323-7							s̪ k ɜ r̪ m ɜ
1127-7							Ø ɜ r̪ p ɜ
1529-7							Ø u
1175-7							ɾ gʲ ɛ m Ø o
383-7							p s̪ Ø l
820-7							l̪ o k
1636-7							l l̪ u ŋ
1331-7							o ɾ d̪ Ø ɑ
1097-7							l ɜ m
1223-7							Ø ɜ ŋ ɑ
592-7							m ɛ
1290-7							ʈ u ʈ p ɑ
669-7							l s̪ ɛ ɾ
1472-7							s̪ ʈ ɑ z̪ i
788-7							l o ŋ ɑ
1191-7							ɾ ɜ m p ɑ
626-7							m ɛ n̪ d o q
844-7							ɑ m
879-7							Ø ɑ
1151-7							b r̪ ɜ s̪
1119-7							ɑ l u
