COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
820-3			l̪ tɕʰ o				
1636-3			b u				
1331-3			ɾ ĩ m e				
1097-3			l dð ɑ				
1223-3			bʲ ɜ ŋ				
592-3			m e				
1290-3			t̪ r̪ u kʰ				
669-3			s̪ ɛ n̪				
1472-3			s̪ t̪ r̪ i ŋ				
788-3			l o				
1191-3			ɾ ɜ p ɜ m				
626-3			m ɪ n̪ s̪				
844-3			ɣ ɑ				
879-3			tɕʰ ɑ				
1151-3			b ʑ ɜ p s̪				
1119-3			ɜ m e				
709-4				g o			
522-4				o ɾ b o ŋ			
514-4				m i n̪			
464-4				s̪ u n̪			
1020-4				s̪ t̪ r̪ i ŋ m			
1355-4				s̪			
1464-4				tɕ ɪ t̪			
302-4				b o ŋ ɑ			
237-4				t̪ r̪ ɜ ŋ			
205-4				s̪ ɜ r̪ ɸ ɑ			
1089-4				n̪ ɑ q p o			
804-4				k ɑ r̪ ɸ ɑ			
1263-4				p ɑ ɣ ɜ n̪			
286-4				ɾ u l s̪			
717-4				s̪ u r̪ i ŋ			
269-4				kʰ ɜ q			
1512-4				tɕ ɪ t̪			
555-4				h ɜ k ɜ			
751-4				n̪ ɑ ŋ			
439-4				z̪ g o			
601-4				ɕ i			
320-4				lʲ ɜ x m o			
1106-4				b u			
693-4				h ɜ n̪ d o			
221-4				s̪ t̪ r̪ ɜ k			
1199-4				t̪ʰ ɜ q r̪ i ŋ			
1424-4				s̪ t̪ r̪ ɜ k			
904-4				l o n̪			
1273-4				ɕ i n̪			
1323-4				s̪ k ɜ m b ɑ			
1127-4				tɕʰ ɜ q p o			
1529-4				b u			
1175-4				ʊ ɾ g u m			
383-4				s̪ o ŋ			
820-4				d̪ o k			
1636-4				b u ŋ			
1331-4				ʊ ɾ g u			
1097-4				n̪ ɑ m			
1223-4				bʲ ɜ ŋ o			
592-4				m e			
1290-4				t̪ r̪ u k			
669-4				s̪ u m			
1472-4				s̪ t̪ r̪ ɜ k			
788-4				l o ŋ			
1191-4				ɾ ɜ x m ɑ			
626-4				m i n̪ t̪ ɜ n̪			
844-4				m ɑ ɾ			
879-4				ŋ ɑ			
1151-4				b o ŋ ɜ s̪			
1119-4				g ɑ ɾ			
709-5					g oˑ		
522-5					gʲ ʊ x p o		
514-5					m i k		
464-5					s̪ ɑ m		
1020-5					s̪ ɛ n̪ m o		
1355-5					s̪ õ s̪		
1464-5					b ʑ i		
302-5					b ɜ ŋ ɜ ŋ		
237-5					l̪ t̪ ɜ n̪		
205-5					p ɜ x ɸ ɜ		
1089-5					l ɜ n̪ d o q		
804-5					k ɜ t̪ ɜ		
1263-5					b ɜ b ɜ p ɑ		
286-5					gʲ ʊ x s̪		
717-5					s̪ k ɜ m		
269-5					ʈʂ ɜ q		
1512-5					ȵ i s̪		
555-5					h ɜ k ɜ		
751-5					ŋ ɑ ɣ ɜ		
439-5					z̪ g o		
601-5					ɕ ɪ s̪		
320-5					lʲ ɜ x m ɜ		
1106-5					b u		
693-5					h ɜ n̪ d o q		
221-5					s̪ t̪ r̪ ɜ m		
1199-5					t̪ʰ ɑ x m ɜ		
1424-5					s̪ k ɜ m b ɜ		
904-5					l o x		
1273-5					x ɕ ɜ n̪		
1323-5					s̪ k ɜ m		
1127-5					tɕʰ ɜ x m ɜ		
1529-5					b u		
1175-5					gʲ ʊ x p o		
383-5					s̪ ɛ n̪ m o		
820-5					l̪ tɕʰ o		
1636-5					b u s̪		
1331-5					ʊ ɾ g o		
1097-5					l ɜ m		
1223-5					bʲ ɜ ŋ ɑ		
592-5					m i		
1290-5					t̪ r̪ u k		
669-5					x s̪ ɑ m		
1472-5					x s̪ t̪ r̪ i ŋ		
788-5					l o ŋ		
1191-5					ɾ ɑ ŋ m ɜ		
626-5					m ɪ n̪ d o q		
844-5					ɜ ɣ ɑ		
879-5					ɜ ɣ ɑ		
1151-5					b ɜ s̪		
1119-5					b u l		
709-6						g o	
522-6						ɾ g o ŋ	
514-6						m i k	
464-6						s̪ t̪ r̪ ɜ	
1020-6						s̪ t̪ r̪ o b o	
1355-6						s̪ o	
1464-6						ȵ ɪ s̪	
302-6						b ɜ ŋ	
237-6						l̪ t̪ ɜ	
205-6						p ɑ ɣ ɜ n̪	
1089-6						l ɜ q p o	
804-6						k ɜ k ɜ	
1263-6						b ɜ s̪	
286-6						ɾ u s̪	
717-6						s̪ o ŋ s̪	
269-6						kʰ ɜ x p o	
1512-6						t̪ʰ ũ ŋ s̪	
555-6						k ɜ k ɜ	
751-6						n̪ ɜ ŋ	
439-6						z̪ g o	
601-6						ɕ i	
320-6						lʲ ɜ x m o	
1106-6						b u	
693-6						h ɜ n̪ d o	
221-6						s̪ t̪ r̪ ɜ	
1199-6						t̪ʰ ɜ q r̪ o	
1424-6						s̪ t̪ r̪ i ŋ	
904-6						l o n̪ o	
1273-6						h ɜ n̪ d o	
1323-6						s̪ k ɜ m	
1127-6						l̪ t̪ ɜ n̪ u	
1529-6						b u	
1175-6						ɾ g o	
383-6						s̪ o ŋ s̪	
820-6						l̪ tɕʰ o	
1636-6						b u	
1331-6						ɾ d ɑ	
1097-6						l ɜ n̪	
1223-6						bʲ ɑ ŋ ɜ	
592-6						m e	
1290-6						t̪ r̪ u	
669-6						s̪ ȵ ɛ ɾ	
1472-6						s̪ t̪ r̪ i ŋ	
788-6						l o	
1191-6						ɾ ɑ l	
626-6						m ɛ n̪ m o	
844-6						m ɑ ɾ	
879-6						g ɑ	
1151-6						b ɜ s̪	
1119-6						g ɑ ɾ	
709-7							bʲ o n̪ o
522-7							n̪ o ŋ o
514-7							m i k
464-7							s̪ u m ɑ
1020-7							s̪ u m ɑ
1355-7							s̪ o ŋ
1464-7							ȵ i s̪
302-7							b ɜ ŋ g i
237-7							ʈ ɑ ŋ
205-7							h ɑ n̪ d ɜ
1089-7							l dð ɑ
804-7							k ɑ ɣ ɑ
1263-7							b ɜ n̪ d
286-7							ɾ gʲ ɛ t̪
717-7							s̪ u ŋ
269-7							lʲ ɜ x m o
1512-7							tɕ i k
555-7							k ɑ ɣ ɑ
751-7							n̪ ɑ ŋ
439-7							z̪ ɛ ɾ
601-7							ɕ i
320-7							lʲ ɜ x m ɑ
1106-7							pʰ r̪ u
693-7							h ɑ n̪ d o n̪
221-7							s̪ ɛ r̪ m ɜ
1199-7							t̪ʰ ɑ q d i n̪
1424-7							s̪ k ɜ m
904-7							l oˑ
1273-7							p ɑ ɣ ɜ n̪
1323-7							s̪ k ɜ m
1127-7							tɕʰ ɜ q p ɑ
1529-7							pʰ r̪ u
1175-7							ɾ gʲ ɛ n̪
383-7							t̪ʰ ũ s̪
820-7							l̪ t̪ o k s̪
1636-7							ʈ u ŋ
1331-7							ɾ g u
1097-7							l dð ɑ
1223-7							bʲ ɜ ŋ ɑ
592-7							m i
1290-7							ɾ gʲ ɛ n̪
669-7							s̪ ɛ r̪ m
1472-7							s̪ ɛ r̪ m ɜ
788-7							l dð ɑ
1191-7							ɾ ɜ s̪
626-7							m ɑ r̪ p o
844-7							m ɑ ɾ
879-7							g ɑ ɾ
1151-7							b ɜ n̪ d
1119-7							ɾ g u
