COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
1089-3			l ɜ l				
804-3			k ɜ m ɜ				
1263-3			b ɑ n̪ p ɜ				
286-3			ɾ g u s̪				
717-3			s̪ ȵ i ŋ				
269-3			kʰ ɜ q				
1512-3			x ɕ i n̪				
555-3			b ɜ k ɜ				
751-3			n̪ ɜ ŋ				
439-3			z̪ r̪ o				
601-3			ɕ i ŋ				
320-3			g ɜ x m ɜ				
1106-3			b u				
693-3			h ɜ n̪ d o q				
221-3			s̪ t̪ ɜ m				
709-4				g o			
522-4				kʰ o ŋ			
514-4				m i k			
464-4				ɕ ɑ			
1020-4				s̪ n̪ ɜ m s̪			
1355-4				s̪ o			
1464-4				l̪ tɕʰ			
302-4				b l ɜ ŋ			
237-4				l̪ t̪ ɑ			
205-4				b ɜ q p ɜ			
1089-4				l ɜ q			
804-4				k ɑ ŋ m ɜ			
1263-4				b ɜ s̪ k ɜ			
286-4				ɾ u s̪ ɜ			
717-4				s̪ ȵ i ŋ			
269-4				kʰ ɜ q			
1512-4				b i n̪			
555-4				tɕʰ ɜ k p ɜ			
751-4				n̪ ɜ ŋ			
439-4				z̪ g o			
601-4				ɕ i ŋ			
320-4				tɕʰ ɜ x m ɜ			
1106-4				b u			
693-4				h ɜ n̪ d o			
221-4				s̪ t̪ ɜ r̪ ɸ ɑ			
709-5					ts̪ o		
522-5					ɾ d o ŋ		
514-5					m i k		
464-5					s̪ ɑ		
1020-5					s̪ k ɜ l s̪		
1355-5					s̪ o		
1464-5					ts̪ ɜ		
302-5					b l ɜ ŋ		
237-5					l̪ t̪ ɜ		
205-5					p ɜ q p ɜ		
1089-5					l ɑ l		
804-5					k ɜ ŋ m ɜ		
1263-5					b ɜ k s̪		
286-5					ɾ u s̪		
717-5					ȵ̊ i ŋ		
269-5					ʈʂ ɜ q		
1512-5					tɕ i n̪		
555-5					bʲ ɜ k ɜ		
751-5					n̪ ɑ ŋ		
439-5					z̪ g o		
601-5					ɕ i ŋ		
320-5					bʲ ɜ x m ɜ		
1106-5					b u		
693-5					h ɜ n̪ d o		
221-5					s̪ t̪ ɜ r̪ ɸ e		
709-6						g o	
522-6						ɾ d o ŋ	
514-6						m ɛ k	
464-6						s̪ n̪ ɑ	
1020-6						s̪ k u l	
1355-6						s̪ o	
1464-6						l̪ t̪ ɜ	
302-6						b l ɜ ŋ	
237-6						l̪ t̪ ɜ	
205-6						p ɜ q p ɜ	
1089-6						l ɜ q	
804-6						k ɜ ŋ m ɜ	
1263-6						b ɜ x s̪ p ɜ	
286-6						ɾ u s̪ p ɜ	
717-6						s̪ n̪ i ŋ	
269-6						kʰ ɜ q	
1512-6						b i n̪	
555-6						t̪ʰ ɜ k p ɜ	
751-6						n̪ ɜ ŋ	
439-6						z̪ g o	
601-6						ɕ i ŋ	
320-6						ts̪ ɜ x m ɜ	
1106-6						b u	
693-6						h ɜ r̪ ɸ o	
221-6						s̪ t̪ ɜ r̪ f ɜ	
709-7							g o
522-7							g o ŋ
514-7							m i k
464-7							s̪ k ɑ
1020-7							s̪ k ɜ m s̪
1355-7							s̪ o ŋ
1464-7							tɕʰ ɑ
302-7							b r̪ ɑ ŋ
237-7							l̪ t̪ ɑ
205-7							g ɑ q p ɜ
1089-7							l ɜ q
804-7							k ɑ ŋ m ɑ
1263-7							b ɑ x s̪
286-7							ɾ g u s̪
717-7							s̪ n̪ i ŋ
269-7							x r̪ ɑ
1512-7							tɕ i k
555-7							bʲ ɜ k p ɜ
751-7							n̪ ɑ ŋ
439-7							z̪ o k
601-7							ɕ i ŋ
320-7							bʲ ɜ ŋ m ɜ
1106-7							pʰ r̪ u
693-7							h ɑ n̪ d o
221-7							s̪ t̪ ɜ ŋ
