COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
8023-1	q u m ¹															
9053-1	u t ¹															
10091-1	s ə k ¹															
10002-1	pʰ j aːu ¹															
7765-1	t aːu ¹															
8800-1	ˀm e ¹															
9934-1	k a ¹															
9985-1	ʔ aːu ¹															
7850-1	t aː p ¹															
7816-1	ʔ a m ¹															
8663-1	ʔ u m ¹															
8697-1	ȶ i t ¹															
9615-1	j a n ¹															
8362-1	t ə t ¹															
8091-1	t ai ¹															
8748-1	h a ¹															
22-1	t aːu ¹															
11084-1	s aːu ¹															
7365-1	n aːi ¹															
4201-1	s i ¹															
5841-1	f a ¹															
4640-1	t a ¹															
662-1	l ə n ¹															
384-1	n̥ aːu ¹															
5151-1	m e ¹															
1399-1	t o ¹															
5259-1	ʔ j ə t ¹															
10353-1	ʁ a ¹															
10370-1	n̥ i ¹															
7401-1	h aː m ¹															
2958-1	ɕ i ¹															
2770-1	ŋ o ¹															
6434-1	l j o k ¹															
6192-1	ɕ ə t ¹															
2231-1	p aː t ¹															
5116-1	ȶ u ¹															
7297-1	s u p ¹															
3731-1	p e k ¹															
748-1	n a m ¹															
2180-1	h a m ¹															
4107-1	Ø a m ¹															
2688-1	k o n ¹															
616-1	k i ŋ ¹															
1898-1	ˀd a k ¹															
203-1	ˀm ai ¹															
897-1	m j a ¹															
10189-1	ɕ e n ¹															
1592-1	s o k ¹															
6088-1	t j a ŋ ¹															
2975-1	ⁿd aː ŋ ¹															
6714-1	h u m ¹															
731-1	q a m ¹															
2722-1	j u ¹															
5637-1	h aː t ¹															
765-1	j i k ¹															
1695-1	kʰ i m ¹															
2112-1	s j u ¹															
6634-1	ˀm a ¹															
7331-1	ˀn a ¹															
7348-1	m aː ŋ ¹															
6527-1	t i ¹															
3568-1	Ø a n ¹															
4378-1	ʁ aːi ¹															
6292-1	ⁿd j ə n ¹															
3585-1	v aː ŋ ¹															
4428-1	ⁿd a m ¹															
7046-1	ɕ a ŋ ¹															
1915-1	ʔ j a m ¹															
4518-1	k u ŋ ¹															
2516-1	s j u ¹															
4480-1	pʰ aː n ¹															
2499-1	m j aː k ¹															
5584-1	h o ¹															
2429-1	h ui ¹															
5224-1	q aːu ¹															
3464-1	kʰ a k ¹															
10142-1	t o ŋ ¹															
7159-1	v a n ¹															
6599-1	ˀn ui ¹															
10207-1	ˀm u ¹															
6837-1	s ə n ¹															
2654-1	v i ¹															
367-1	v u k ¹															
5858-1	n j a ¹															
451-1	f a n ¹															
5944-1	h aː ŋ ¹															
512-1	l j aː k ¹															
7138-1	ʔ ui ¹															
4845-1	j a ¹															
4915-1	q aː t ¹															
10570-1	k ui ¹															
5300-1	m j aː n ¹															
5418-1	ȶ i ¹															
1748-1	f i k ¹															
3532-1	t u ¹															
310-1	t e ¹															
5368-1	f aː n ¹															
4321-1	t a p ¹															
5065-1	kʰ e ¹															
5961-1	l aː k ¹															
1450-1	t a ¹															
10430-1	s ə ¹															
6210-1	t au ¹															
5468-1	s ə n ¹															
6685-1	h aːu ¹															
89-1	k a ¹															
153-1	s ui ¹															
120-1	m j u ¹															
50-1	ʔ j aːi ¹															
4947-1	ˀd aː n ¹															
8866-1	l j aː k ¹															
9165-1	ˀd aː k ¹															
7919-1	t a ŋ ¹															
9765-1	s o t ¹															
7520-1	ʁ aːu ¹															
8883-1	p o ¹															
8565-1	h u ŋ ¹															
8646-1	ts a m ¹															
9686-1	t j ə t ¹															
10108-1	m j ə t ¹															
10073-1	t a m ¹															
1536-1	l j u ¹															
9131-1	h aː k ¹															
8799-1	ʁ o ¹															
9721-1	t ai ¹															
8124-1	pʰ j aː m ¹															
8448-1	l aː m ¹															
8714-1	ȶ i t ¹															
5317-1	ˀn u k ¹															
1138-1	ts j e n ¹															
1502-1	ʔ i t ¹															
3109-1	ˀd j a m ¹															
3334-1	pʰ a ¹															
3840-1	ŋ aː n ¹															
3748-1	ʔ j aː k ¹															
3015-1	t i k ¹															
7262-1	h a n ¹															
10635-1	ʁ a k ¹															
697-1	l aːu ¹															
5031-1	pʰ j ai ¹															
1553-1	q o m ¹															
224-1	t i ¹															
186-1	t j a ŋ ¹															
5185-1	n a m ¹															
1484-1	f a ¹															
1933-1	n̥ i ¹															
2939-1	ˀd o ŋ ¹															
1000-1	p u p ¹															
2551-1	k a ŋ ¹															
1646-1	s ui ¹															
565-1	t o ¹															
5552-1	f a k ¹															
3159-1	f a ¹															
5876-1	kʰ ui ¹															
1299-1	s i m ¹															
4862-1	p aː k ¹															
1180-1	t e ¹															
4008-1	q u ¹															
6774-1	l aːi ¹															
3875-1	h aːi ¹															
6036-1	ˀd w a ¹															
6398-1	l j e m ¹															
7063-1	m i n ¹															
492-1	t j e m ¹															
1627-1	kʰ u ŋ ¹															
5927-1	h u m ¹															
3951-1	m ai ¹															
3049-1	m aː ŋ ¹															
6684-1	l aː k ¹															
1850-1	l aː k ¹															
3262-1	l aː k ¹															
8260-1	ts e ¹															
7551-1	tʰ au ¹															
9564-1	h ui ¹															
9443-1	tʰ aːu ¹															
9545-1	ɕ i p ¹															
7650-1	ȶ e t ¹															
7833-1	tʰ j a k ¹															
9148-1	ʔ j au ¹															
9036-1	ȶ a ¹															
8904-1	m a ŋ ¹															
7683-1	ts a m ¹															
8227-1	s a ¹															
8616-1	ˀn a ŋ ¹															
11112-1	n̥ a ¹															
11163-1	m a n ¹															
11130-1	m a n ¹															
10652-1	n i ¹															
10653-1	m aː ŋ ¹															
5241-1	t i ¹															
3398-1	ȶ o t ¹															
2357-1	f i ŋ ¹															
3696-1	ⁿd u ¹															
10716-1	p aː k ¹															
5722-1	h aː n ¹															
3317-1	ɕ u ¹															
4142-1	h ə t ¹															
5705-1	ˀd j u p ¹															
5980-1	q o ¹															
6242-1	ˀd j ai ¹															
1344-1	k aː ŋ ¹															
3194-1	ˀd aːi ¹															
4411-1	ts u p ¹															
7419-1	ŋ a ¹															
6070-1	ⁿd e ¹															
6139-1	v a n ¹															
6158-1	ˀd j a ¹															
10295-1	n̥ aː ŋ ¹															
6882-2		ŋ ə t ¹														
6485-2		v ə n ¹														
4690-2		m o n ¹														
5671-2		f w ə n ¹														
4272-2		l w aː p ¹														
10935-2		ˀb e ¹														
4760-2		n j e n ¹														
1881-2		v a n ¹														
4777-2		ɕ ə t ¹														
10969-2		v a n ¹														
10970-2		Ø u ¹														
10206-2		v a n ¹														
6565-2		k Ø a n ¹														
1281-2		ʔ j e n ¹														
10569-2		n a m ¹														
6899-2		Ø j u ŋ ¹														
7081-2		k ui ¹														
4090-2		ⁿd a m ¹														
2197-2		h u m ¹														
3352-2		t i ¹														
3892-2		ɕ ə t ¹														
1071-2		q aː m ¹														
10313-2		m ai ¹														
2671-2		ⁿd j ə t ¹														
5502-2		f aː k ¹														
7382-2		ⁿd u n ¹														
932-2		ts i ŋ ¹														
533-2		m ai ¹														
4159-2		v a ¹														
2804-2		n u k ¹														
5451-2		ɣ ai ¹														
5773-2		ʔ au ¹														
6933-2		ʔ au ¹														
4657-2		ʔ au ¹														
4658-2		f j aː ŋ ¹														
6966-2		h i ¹														
5351-2		ˀɣ a ¹														
4073-2		ⁿd aːi ¹														
2163-2		m j aː ŋ ¹														
1121-2		f a ¹														
5790-2		v aː ŋ ¹														
10413-2		ˀm a ¹														
6731-2		ˀm a ¹														
1645-2		ˀm a ¹														
4914-2		ˀm a ¹														
6175-2		ŋ a ¹														
3092-2		s i ŋ ¹														
1247-2		l j aː n ¹														
5620-2		ɕ j u ¹														
4897-2		Ø a ¹														
4811-2		Ø aː ŋ ¹														
1213-2		q aːi ¹														
11019-2		Ø aː ŋ ¹														
11020-2		q aːi ¹														
2129-2		ʔ e p ¹														
3211-2		ŋ aː n ¹														
714-2		n o k ¹														
1729-2		q a ¹														
3679-2		m a ¹														
1054-2		m aːu ¹														
7448-2		m u m ¹														
582-2		ˀm w i ¹														
4743-2		m o n ¹														
5419-2		l j ə n ¹														
5601-2		ˀb i n ¹														
2705-2		m o m ¹														
6381-2		Ø o ŋ ¹														
1017-2		ˀb a ¹														
645-2		l u k ¹														
273-2		m ə t ¹														
4338-2		ⁿd j a k ¹														
2533-2		k i ¹														
1089-2		kʰ u p ¹														
843-2		n a n ¹														
2787-2		Ø w a t ¹														
4462-2		ˀn u n ¹														
10918-2		h a n ¹														
6582-2		h ui ¹														
2070-2		k a ¹														
3075-2		Ø aː k ¹														
10848-2		v a ¹														
2480-2		ts ə n ¹														
2214-2		k ai ¹														
7225-2		h ə t ¹														
3515-2		p j a m ¹														
2588-2		ts ə n ¹														
2908-2		p j aː k ¹														
2393-2		ˀn a ¹														
1156-2		ŋ ai ¹														
2374-2		ⁿd a ¹														
2146-2		Ø a ¹														
5133-2		ˀn a ŋ ¹														
4981-2		m u k ¹														
10239-2		m a ¹														
599-2		n j u t ¹														
5048-2		q o ¹														
6331-2		h a ¹														
290-2		Ø i n ¹														
311-2		h aː k ¹														
3430-2		m j a ¹														
5369-2		m j a ¹														
2749-2		Ø o n ¹														
2621-2		l j a p ¹														
1181-2		t a k ¹														
949-2		t j u ¹														
2839-2		t i n ¹														
861-2		l aː k ¹														
6773-2		l aː k ¹														
5739-2		l aː k ¹														
5740-2		kʰ ə t ¹														
3550-2		ɕ u m ¹														
4445-2		p u t ¹														
680-2		l o ŋ ¹														
817-2		t ə n ¹														
782-2		Ø j aː t ¹														
10396-2		ˀn j u ¹														
4606-2		n aː n ¹														
5207-2		m a n ¹														
7280-2		ts j a ¹														
6983-2		ʔ j u t ¹														
5168-2		p u ŋ ¹														
1264-2		ts u ¹														
915-2		t ui ¹														
1767-2		ts u ŋ ¹														
10901-2		k w e ŋ ¹														
10867-2		Ø o ŋ ¹														
417-2		k w aː n ¹														
2285-2		Ø e ¹														
11002-2		ʔ i t ¹														
6348-2		m ai ¹														
6349-2		Ø aː n ¹														
10602-2		v ə n ¹														
5654-2		m j e n ¹														
880-2		l e ¹														
983-2		ȵ aː n ¹														
2033-2		t o ¹														
1433-2		ʔ j a ¹														
1467-2		Ø u k ¹														
469-2		t j u m ¹														
3127-2		m j a ¹														
4623-2		h a ¹														
7099-2		l j ə k ¹														
4726-2		ɕ e n ¹														
10465-2		ˀb aː n ¹														
5519-2		h ə n ¹														
5893-2		kʰ ŋ ə n ¹														
2857-2		t i n ¹														
3645-2		ɣ aː n ¹														
3032-2		f j aː n ¹														
2088-2		v j a n ¹														
2463-2		p u ¹														
4794-2		n i ¹														
4569-2		l u ŋ ¹														
4586-2		ts w u ¹														
4552-2		p a ¹														
3228-2		q o ŋ ¹														
3245-2		j a ¹														
6651-2		l aː k ¹														
6652-2		ˀb aː n ¹														
1817-2		l aː k ¹														
1818-2		v j aː k ¹														
11052-2		n u ¹														
1230-2		l aː k ¹														
3380-2		h e k ¹														
8174-2		ɣ u m ¹														
8599-2		p j a m ¹														
7782-2		ⁿd j ai ¹														
8294-2		l i k ¹														
8514-2		h aːi ¹														
9669-2		l j a k ¹														
8531-2		p aːi ¹														
7954-2		ʔ u k ¹														
9968-2		s aː m ¹														
8040-2		t a ¹														
9304-2		Ø i ¹														
8345-2		t o k ¹														
8765-2		Ø o k ¹														
8849-2		s e ŋ ¹														
9286-2		k w aː ŋ ¹														
9581-2		n u n ¹														
9267-2		l w a ¹														
8497-2		ts ə n ¹														
7602-2		ʔ aː p ¹														
8431-2		v j ə n ¹														
10036-2		s u k ¹														
10019-2		l a k ¹														
9216-2		n e ¹														
8074-2		q a t ¹														
9511-2		p a n ¹														
8243-2		ʔ j a m ¹														
9250-2		t j e m ¹														
7568-2		s aːi ¹														
8832-2		k u ¹														
8057-2		ŋ e ¹														
7716-2		h u p ¹														
9899-2		ts i ¹														
7585-2		kʰ au ¹														
8582-2		m j a ¹														
9097-2		l a m ¹														
10125-2		v a ¹														
9460-2		l aːi ¹														
9649-2		Ø u t ¹														
9870-2		ŋ a p ¹														
8680-2		ŋ a m ¹														
7699-2		Ø i t ¹														
9001-2		ŋ Ø a t ¹														
9494-2		t i p ¹														
7666-2		ɕ ŋ ə n ¹														
9598-2		t j a k ¹														
8023-2		q u m ¹														
9053-2		ɣ u t ¹														
10091-2		s ə k ¹														
10002-2		Ø j aːu ¹														
7765-2		t aːu ¹														
8800-2		ˀm e ¹														
9934-2		k a ¹														
9985-2		ʔ aːu ¹														
7850-2		t aː p ¹														
7816-2		ʔ a m ¹														
8663-2		ʔ u m ¹														
8697-2		Ø i t ¹														
9615-2		w j a n ¹														
8362-2		t ə t ¹														
8091-2		t ai ¹														
8748-2		h a ¹														
22-2		Ø aːu ¹														
11084-2		s aːu ¹														
7365-2		n aːi ¹														
4201-2		s w i ¹														
5841-2		f a ¹														
4640-2		t a ¹														
662-2		l ə n ¹														
384-2		ȵ aːu ¹														
5151-2		m e ¹														
1399-2		t o ¹														
5259-2		ʔ j ə t ¹														
10353-2		ɣ a ¹														
10370-2		ȵ i ¹														
7401-2		h aː m ¹														
2958-2		h i ¹														
2770-2		ŋ o ¹														
6434-2		l j o k ¹														
6192-2		ɕ ə t ¹														
2231-2		p aː t ¹														
5116-2		Ø u ¹														
7297-2		s u p ¹														
3731-2		p e k ¹														
748-2		ˀn a m ¹														
2180-2		h a m ¹														
4107-2		Ø a m ¹														
2688-2		k o n ¹														
616-2		k i ŋ ¹														
1898-2		Ø a k ¹														
203-2		ˀm ai ¹														
897-2		v j a ¹														
10189-2		ɕ e n ¹														
1592-2		s o k ¹														
6088-2		t j a ŋ ¹														
2975-2		ⁿd aː ŋ ¹														
6714-2		h u m ¹														
731-2		q a m ¹														
2722-2		j u ¹														
5637-2		Ø aː t ¹														
765-2		j i k ¹														
1695-2		kʰ i m ¹														
2112-2		s j u ¹														
6634-2		ˀm a ¹														
7331-2		ˀn a ¹														
7348-2		v aː ŋ ¹														
6527-2		t i ¹														
3568-2		Ø a n ¹														
4378-2		ˀɣ aːi ¹														
6292-2		ⁿd j ə n ¹														
3585-2		v aː ŋ ¹														
4428-2		ⁿd a m ¹														
7046-2		ɕ a ŋ ¹														
1915-2		ʔ j a m ¹														
4518-2		k u ŋ ¹														
2516-2		s j au ¹														
4480-2		ˀb aː n ¹														
2499-2		v j aː k ¹														
5584-2		h o ¹														
2429-2		h Ø ¹														
5224-2		q aːu ¹														
3464-2		kʰ a k ¹														
10142-2		t o ŋ ¹														
7159-2		v a n ¹														
6599-2		ˀn ui ¹														
10207-2		ˀm u ¹														
6837-2		s ə n ¹														
367-2		v w u k ¹														
5858-2		ˀn j a ¹														
451-2		f a n ¹														
5944-2		h aː ŋ ¹														
512-2		l j aː k ¹														
7138-2		ʔ ui ¹														
4915-2		q aː t ¹														
10570-2		k ui ¹														
5300-2		ˀb j aː n ¹														
5418-2		Ø i ¹														
1748-2		f i k ¹														
310-2		t e ¹														
5368-2		f a n ¹														
4321-2		t a p ¹														
5065-2		kʰ e ¹														
5961-2		l aː k ¹														
1450-2		t a ¹														
10430-2		Ø ə ¹														
6210-2		t au ¹														
5468-2		Ø ə n ¹														
6685-2		h aːu ¹														
89-2		k a ¹														
153-2		s ui ¹														
120-2		m j u ¹														
50-2		ʔ j aːi ¹														
8866-2		l j aː k ¹														
9165-2		k aː k ¹														
7919-2		t a ŋ ¹														
9765-2		s o t ¹														
7520-2		ˀɣ aːu ¹														
8883-2		p o ¹														
8565-2		h u ŋ ¹														
9686-2		t j ə t ¹														
10108-2		ˀb j ə t ¹														
10073-2		t a m ¹														
1536-2		l j u ¹														
9131-2		h aː k ¹														
8799-2		ɣ o ¹														
8124-2		Ø j aː m ¹														
8448-2		l aː m ¹														
8714-2		Ø i t ¹														
5317-2		ˀn u k ¹														
1138-2		ts j e n ¹														
1502-2		Ø i t ¹														
3109-2		Ø j a m ¹														
3334-2		Ø a ¹														
3840-2		ŋ aː n ¹														
3748-2		ʔ j aː k ¹														
3015-2		t i k ¹														
7262-2		Ø a n ¹														
10635-2		ˀɣ a k ¹														
697-2		l aːu ¹														
5031-2		Ø j ai ¹														
1553-2		q o m ¹														
224-2		t i ¹														
186-2		t j a ŋ ¹														
5185-2		ˀn a m ¹														
1484-2		f a ¹														
1000-2		p u p ¹														
1646-2		Ø ui ¹														
565-2		t o ¹														
1299-2		s i m ¹														
1180-2		t e ¹														
4008-2		q u ¹														
6774-2		l aːi ¹														
7063-2		v i n ¹														
492-2		t j e m ¹														
1627-2		kʰ u ŋ ¹														
3951-2		m ai ¹														
6684-2		l aː k ¹														
1850-2		l aː k ¹														
3262-2		l aː k ¹														
7551-2		tʰ au ¹														
9443-2		tʰ aːu ¹														
9545-2		h i p ¹														
7650-2		Ø e t ¹														
7833-2		tʰ j a k ¹														
9148-2		ʔ j au ¹														
9036-2		Ø a ¹														
8904-2		m a ŋ ¹														
7683-2		Ø a m ¹														
8227-2		s a ¹														
8616-2		ˀn a ŋ ¹														
11112-2		ȵ a ¹														
7315-2		ts a ¹														
10652-2		n i ¹														
10653-2		m aː ŋ ¹														
5241-2		t i ¹														
3398-2		Ø o t ¹														
2357-2		ˀb i ŋ ¹														
1610-2		ɣ aː ŋ ¹														
10716-2		p aː k ¹														
5980-2		q u w ¹														
1344-2		ɣ aː ŋ ¹														
4411-2		Ø u p ¹														
6070-2		ⁿd e ¹														
6139-2		v a n ¹														
6882-3			ə t ¹													
6485-3			ⁿb ə n ¹													
4690-3			m o n ¹													
5671-3			j f j ə n ¹													
4272-3			l aː p ¹													
10935-3			ⁿb e ¹													
4760-3			n j aː n ¹													
1881-3			v a n ¹													
4777-3			ɕ j ə t ¹													
10969-3			v a n ¹													
10970-3			Ø u ¹													
10206-3			v a n ¹													
6565-3			k w a n ¹													
1281-3			ʔ j e n ¹													
10569-3			n a m ¹													
6899-3			pʰ j u ŋ ¹													
7081-3			k ui ¹													
4090-3			ⁿd a m ¹													
2197-3			h u m ¹													
3352-3			t i ¹													
3892-3			ɕ ə t ¹													
1071-3			q aː m ¹													
10313-3			m ai ¹													
2671-3			ⁿd j ə t ¹													
5502-3			j f aː k ¹													
7382-3			ⁿd u n ¹													
932-3			ts i ŋ ¹													
533-3			m ai ¹													
4159-3			v a ¹													
2804-3			n u k ¹													
5451-3			ɣ ai ¹													
5773-3			ʔ au ¹													
6933-3			ʔ au ¹													
4657-3			ʔ au ¹													
4658-3			f j aː ŋ ¹													
6966-3			h i ¹													
5351-3			ˀɣ a ¹													
4073-3			ⁿd aːi ¹													
2163-3			ⁿb j aː ŋ ¹													
1121-3			f a ¹													
5790-3			v aː ŋ ¹													
10413-3			m a ¹													
6731-3			m a ¹													
1645-3			m a ¹													
4914-3			m a ¹													
6175-3			ŋ a ¹													
3092-3			s i ŋ ¹													
1247-3			l j aː n ¹													
5620-3			ɕ j u ¹													
4897-3			ʁ a ¹													
4811-3			pʰ aː ŋ ¹													
1213-3			q aːi ¹													
11019-3			ʁ aː ŋ ¹													
11020-3			q aːi ¹													
2129-3			ʔ e p ¹													
3211-3			ŋ aː n ¹													
714-3			n o k ¹													
1729-3			q a ¹													
3679-3			m a ¹													
1054-3			m j aːu ¹													
7448-3			m u m ¹													
582-3			m j i ¹													
4743-3			m j o n ¹													
5419-3			l j ə n ¹													
5601-3			ⁿb i n ¹													
2705-3			m o m ¹													
6381-3			Ø o ŋ ¹													
1017-3			ⁿb a ¹													
645-3			l u k ¹													
273-3			m ə t ¹													
4338-3			ⁿd j a k ¹													
2533-3			k i ¹													
1089-3			kʰ u p ¹													
843-3			n a n ¹													
2787-3			pʰ a t ¹													
4462-3			ˀn u n ¹													
10918-3			h a n ¹													
6582-3			h ui ¹													
2070-3			k a ¹													
3075-3			Ø j aː k ¹													
10848-3			v a ¹													
2480-3			ts ə n ¹													
2214-3			k ai ¹													
7225-3			h ə t ¹													
3515-3			p j a m ¹													
2588-3			ts ə n ¹													
2908-3			p j aː k ¹													
2393-3			ˀn a ¹													
1156-3			ŋ ai ¹													
2374-3			ⁿd a ¹													
2146-3			kʰ a ¹													
5133-3			ˀn a ŋ ¹													
4981-3			m u k ¹													
10239-3			m a ¹													
599-3			n j u t ¹													
5048-3			q o ¹													
6331-3			h a ¹													
290-3			ȶʰ i n ¹													
311-3			h aː k ¹													
3430-3			m j a ¹													
5369-3			m j a ¹													
2749-3			ȶ o n ¹													
2621-3			l j a p ¹													
1181-3			t a k ¹													
949-3			t j u ¹													
2839-3			t i n ¹													
861-3			l aː k ¹													
6773-3			l aː k ¹													
5739-3			l aː k ¹													
5740-3			kʰ ə t ¹													
3550-3			ɕ u m ¹													
4445-3			p j u t ¹													
680-3			l o ŋ ¹													
817-3			t ə n ¹													
782-3			pʰ j aː t ¹													
10396-3			ˀn j u ¹													
4606-3			n aː n ¹													
5207-3			m a n ¹													
7280-3			ts j a ¹													
6983-3			ʔ j j u t ¹													
5168-3			p u ŋ ¹													
1264-3			ts u ¹													
915-3			t ui ¹													
1767-3			ts u ŋ ¹													
10901-3			k w e ŋ ¹													
10867-3			ˀd o ŋ ¹													
417-3			k w aː n ¹													
2285-3			pʰ j e ¹													
11002-3			ʔ j i t ¹													
6348-3			m ai ¹													
6349-3			ʁ aː n ¹													
10602-3			ⁿb ə n ¹													
5654-3			m j e n ¹													
