COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
1017-1	m a ¹															
645-1	l o k ¹															
273-1	m a t ¹															
4338-1	ˀd j a k ¹															
2533-1	k i ¹															
1089-1	kʰ u p ¹															
843-1	n a n ¹															
2787-1	pʰ a t ¹															
4462-1	n u n ¹															
10918-1	h a n ¹															
6582-1	h aːi ¹															
2070-1	k a ¹															
3075-1	ȵ aː k ¹															
10848-1	f a ¹															
2480-1	ts ə n ¹															
2214-1	k ai ¹															
7225-1	h ə t ¹															
3515-1	p j a m ¹															
2588-1	ts ə n ¹															
2908-1	p j a k ¹															
2393-1	n a ¹															
1156-1	ŋ ai ¹															
2374-1	ˀd a ¹															
2146-1	qʰ a ¹															
5133-1	n a ŋ ¹															
4981-1	m u k ¹															
10239-1	m a ¹															
599-1	n u t ¹															
5048-1	k o ¹															
6331-1	h a ¹															
290-1	ȶʰ i n ¹															
311-1	h aː k ¹															
3430-1	m j a ¹															
5369-1	m j a ¹															
2749-1	ts o n ¹															
2621-1	l j a p ¹															
1181-1	t a k ¹															
949-1	t j u ¹															
6882-2		z ə t ¹														
6485-2		m ə n ¹														
4690-2		m u n ¹														
5671-2		p a n ¹														
4272-2		l a p ¹														
10935-2		m e ¹														
4760-2		n j a n ¹														
1881-2		f a n ¹														
4777-2		f ə t ¹														
10969-2		f a n ¹														
10970-2		n̥ u ¹														
10206-2		f a n ¹														
6565-2		k w aː n ¹														
1281-2		j ə n ¹														
10569-2		n a m ¹														
6899-2		pʰ j u ŋ ¹														
7081-2		k oi ¹														
4090-2		kʷ a m ¹														
2197-2		h u m ¹														
3352-2		t ai ¹														
3892-2		h ə t ¹														
1071-2		q a m ¹														
10313-2		m ai ¹														
2671-2		t j ə t ¹														
5502-2		p a k ¹														
7382-2		tʰ u n ¹														
932-2		k i ŋ ¹														
533-2		m ai ¹														
4159-2		p a ¹														
2804-2		n u k ¹														
5451-2		ɣ ai ¹														
5773-2		ʔ ai ¹														
6933-2		ʔ ai ¹														
4657-2		ʔ ai ¹														
4658-2		p j aː ŋ ¹														
6966-2		f i ¹														
5351-2		ɣ a ¹														
4073-2		t aːi ¹														
2163-2		m j aː ŋ ¹														
1121-2		f a ¹														
5790-2		p aː ŋ ¹														
10413-2		m a ¹														
6731-2		m a ¹														
1645-2		m a ¹														
4914-2		m a ¹														
6175-2		n a ¹														
3092-2		s i ŋ ¹														
1247-2		l i n ¹														
5620-2		ɕ u ¹														
4897-2		k a ¹														
4811-2		pʰ a ŋ ¹														
1213-2		q aːi ¹														
11019-2		k aː ŋ ¹														
11020-2		q aːi ¹														
2129-2		ʔ e p ¹														
3211-2		aː aː n ¹														
714-2		n o k ¹														
1729-2		q a ¹														
3679-2		m a ¹														
1054-2		m i ¹														
7448-2		m u m ¹														
582-2		m i ¹														
4743-2		m u n ¹														
5419-2		l j a n ¹														
5601-2		p i n ¹														
2705-2		m u m ¹														
6381-2		ȵ o ŋ ¹														
1017-2		m a ¹														
645-2		l u k ¹														
273-2		m eː t ¹														
4338-2		t j a k ¹														
2533-2		k i ¹														
1089-2		kʰ u p ¹														
843-2		n a n ¹														
2787-2		m a t ¹														
4462-2		n u n ¹														
10918-2		h a n ¹														
6582-2		h e ¹														
2070-2		k a ¹														
3075-2		ȵ a k ¹														
10848-2		p a ¹														
2480-2		ts ə n ¹														
2214-2		k ai ¹														
7225-2		h ə t ¹														
3515-2		p j a m ¹														
2588-2		ts ə n ¹														
2908-2		p j aː k ¹														
2393-2		n a ¹														
1156-2		ŋ ai ¹														
2374-2		t a ¹														
2146-2		kʰ a ¹														
5133-2		n a ŋ ¹														
4981-2		m u k ¹														
10239-2		m a ¹														
599-2		n j u t ¹														
5048-2		q o ¹														
6331-2		h a ¹														
290-2		h i n ¹														
311-2		h aː k ¹														
3430-2		m j a ¹														
5369-2		m j a ¹														
2749-2		ȶ o n ¹														
2621-2		h j a p ¹														
1181-2		t a k ¹														
949-2		t j u ¹														
6882-3			z ə t ¹													
6485-3			ⁿb ə n ¹													
4690-3			m o n ¹													
5671-3			f aː n ¹													
4272-3			l aː p ¹													
10935-3			ⁿb e ¹													
4760-3			n i n ¹													
1881-3			f a n ¹													
4777-3			h j ə t ¹													
10969-3			f a n ¹													
10970-3			ȵ a ¹													
10206-3			f a n ¹													
6565-3			k aː n ¹													
1281-3			ʔ j e n ¹													
10569-3			n a m ¹													
6899-3			pʰ j u ŋ ¹													
7081-3			k ui ¹													
4090-3			d a m ¹													
2197-3			h u m ¹													
3352-3			t i p ¹													
3892-3			h i t ¹													
1071-3			q aː m ¹													
10313-3			m ai ¹													
2671-3			t j ə t ¹													
5502-3			f aː k ¹													
7382-3			ⁿd u n ¹													
932-3			ȶ i ŋ ¹													
533-3			m ai ¹													
4159-3			f a ¹													
2804-3			n u k ¹													
5451-3			ɣ ai ¹													
5773-3			ʔ ai ¹													
6933-3			ʔ ai ¹													
4657-3			ʔ ai ¹													
4658-3			f j aː ŋ ¹													
6966-3			h i ¹													
5351-3			ɣ a ¹													
4073-3			ⁿd aːi ¹													
2163-3			ⁿb j aː ŋ ¹													
1121-3			f a ¹													
5790-3			f aː ŋ ¹													
10413-3			m a ¹													
6731-3			m a ¹													
1645-3			m a ¹													
4914-3			m a ¹													
6175-3			ˀŋ a ¹													
3092-3			s i ŋ ¹													
1247-3			l j aː n ¹													
5620-3			h j eu ¹													
4897-3			ʁ a ¹													
4811-3			pʰ aː ŋ ¹													
1213-3			q aːi ¹													
11019-3			ɣ aː ŋ ¹													
11020-3			q aːi ¹													
2129-3			ʔ e p ¹													
3211-3			ŋ aː n ¹													
714-3			n o k ¹													
1729-3			q a ¹													
3679-3			m a ¹													
1054-3			m j u ¹													
7448-3			m u m ¹													
582-3			ˀm i ¹													
4743-3			m o n ¹													
5419-3			l j ə n ¹													
5601-3			ⁿb i n ¹													
2705-3			m o m ¹													
6381-3			ˀȵ o ŋ ¹													
1017-3			m a ¹													
645-3			l u k ¹													
273-3			m a t ¹													
4338-3			ⁿd j a k ¹													
2533-3			k i ¹													
1089-3			kʰ u p ¹													
843-3			n a n ¹													
2787-3			pʰ a t ¹													
4462-3			ˀn a n ¹													
10918-3			h a n ¹													
6582-3			h aː k ¹													
2070-3			k a ¹													
3075-3			ȵ aː k ¹													
10848-3			f a ¹													
2480-3			ts ə n ¹													
2214-3			k ai ¹													
7225-3			h a t ¹													
3515-3			p j a m ¹													
2588-3			ts ə n ¹													
2908-3			p j aː k ¹													
2393-3			ˀn a ¹													
1156-3			ŋ ai ¹													
2374-3			ⁿd a ¹													
2146-3			qʰ a ¹													
5133-3			ˀn a n ¹													
4981-3			m u k ¹													
10239-3			m a ¹													
599-3			n j uː t ¹													
5048-3			q o ¹													
6331-3			h a ¹													
290-3			ɕ ə n ¹													
311-3			h aː k ¹													
3430-3			m j a ¹													
5369-3			m j a ¹													
2749-3			ȶ a n ¹													
2621-3			l j a p ¹													
1181-3			t a k ¹													
949-3			t j a ¹													
6882-4				z a t ¹												
6485-4				ⁿb a n ¹												
4690-4				m u n ¹												
5671-4				f a n ¹												
4272-4				l a p ¹												
10935-4				m e ¹												
4760-4				n j a n ¹												
1881-4				f a n ¹												
4777-4				h j a t ¹												
10969-4				f a n ¹												
10970-4				ȵ u ¹												
10206-4				f a n ¹												
6565-4				k o n ¹												
1281-4				j a n ¹												
10569-4				n a m ¹												
6899-4				pʰ j u ŋ ¹												
7081-4				kʰ ui ¹												
4090-4				ⁿd a m ¹												
2197-4				h u m ¹												
3352-4				t a ¹												
3892-4				h j a t ¹												
1071-4				q aː m ¹												
10313-4				m ai ¹												
2671-4				ⁿd j a t ¹												
5502-4				f a ¹												
7382-4				ⁿd u n ¹												
932-4				ts a ŋ ¹												
533-4				m ai ¹												
4159-4				f a ¹												
2804-4				n o k ¹												
5451-4				ɣ a ¹												
5773-4				j au ¹												
6933-4				j au ¹												
4657-4				j au ¹												
4658-4				v j aː ŋ ¹												
6966-4				h i ¹												
5351-4				ɣ a ¹												
4073-4				t aːi ¹												
2163-4				ⁿb j a ŋ ¹												
1121-4				f a ¹												
5790-4				v aː ŋ ¹												
10413-4				m a ¹												
6731-4				m a ¹												
1645-4				m a ¹												
4914-4				m a ¹												
6175-4				n a ¹												
3092-4				s i ŋ ¹												
1247-4				l j a n ¹												
5620-4				h j u ¹												
4897-4				ʁ a ¹												
4811-4				pʰ w ə ŋ ¹												
1213-4				q aːi ¹												
11019-4				ɣ aː ŋ ¹												
11020-4				q aːi ¹												
2129-4				ʔ a p ¹												
3211-4				ŋ aː n ¹												
714-4				n o k ¹												
1729-4				q a ¹												
3679-4				m a ¹												
1054-4				m j u ¹												
7448-4				m o m ¹												
582-4				m ai ¹												
4743-4				m u n ¹												
5419-4				l j a n ¹												
5601-4				ⁿb j e n ¹												
2705-4				m o m ¹												
6381-4				ȵ u ŋ ¹												
1017-4				ⁿb a ¹												
645-4				l aː k ¹												
273-4				m a t ¹												
4338-4				ⁿd j a k ¹												
2533-4				k a ¹												
1089-4				kʰ u p ¹												
843-4				n a n ¹												
2787-4				pʰ a t ¹												
4462-4				n o n ¹												
10918-4				h a n ¹												
6582-4				h oi ¹												
2070-4				k a ¹												
3075-4				ȵ aː k ¹												
10848-4				f a ¹												
2480-4				ts a n ¹												
2214-4				k ai ¹												
7225-4				h a t ¹												
3515-4				f j a m ¹												
2588-4				ts a n ¹												
2908-4				p j a k ¹												
2393-4				n a ¹												
1156-4				ŋ ai ¹												
2374-4				ⁿd a ¹												
2146-4				kʰ a ¹												
5133-4				n a ŋ ¹												
4981-4				m o k ¹												
10239-4				m a ¹												
599-4				n j a t ¹												
5048-4				q o ¹												
6331-4				h a ¹												
290-4				ɕ j a n ¹												
311-4				h a ¹												
3430-4				h̃ j e ¹												
5369-4				h̃ j e ¹												
2749-4				ȶ w ə n ¹												
2621-4				l j a p ¹												
1181-4				t a k ¹												
949-4				t j aːu ¹												
6882-5					ts i t ¹											
6485-5					ˀb ə n ¹											
4690-5					m u n ¹											
5671-5					f i n ¹											
4272-5					l aː p ¹											
10935-5					ˀb e ¹											
4760-5					n i n ¹											
1881-5					f a n ¹											
4777-5					ɕ i t ¹											
10969-5					f a n ¹											
10970-5					ˀȵ u ¹											
10206-5					f a n ¹											
6565-5					k w aː n ¹											
1281-5					ʔ j a n ¹											
10569-5					n a m ¹											
6899-5					pʰ j o ŋ ¹											
7081-5					k ui ¹											
4090-5					t a m ¹											
2197-5					kʰ u m ¹											
3352-5					t e ¹											
3892-5					ɕ i t ¹											
1071-5					k aː m ¹											
10313-5					m ai ¹											
2671-5					t j i t ¹											
5502-5					f aː k ¹											
7382-5					t u n ¹											
932-5					ts i ŋ ¹											
533-5					m ai ¹											
4159-5					f a ¹											
2804-5					q u k ¹											
5451-5					ˀɣ ai ¹											
5773-5					ʔ au ¹											
6933-5					ʔ au ¹											
4657-5					ʔ au ¹											
4658-5					f j aː ŋ ¹											
6966-5					ɕ e ¹											
5351-5					ɣ a ¹											
4073-5					t aːi ¹											
2163-5					ˀb j aː ŋ ¹											
1121-5					f a ¹											
5790-5					f aː ŋ ¹											
10413-5					m a ¹											
6731-5					m a ¹											
1645-5					m a ¹											
4914-5					m a ¹											
6175-5					ˀŋ a ¹											
3092-5					s i ŋ ¹											
1247-5					l j aː n ¹											
5620-5					ɕ u ¹											
4897-5					ʁ a ¹											
4811-5					pʰ aː ŋ ¹											
1213-5					k aːi ¹											
11019-5					ʁ aː ŋ ¹											
11020-5					k aːi ¹											
2129-5					ʔ a p ¹											
3211-5					aː aː n ¹											
714-5					ˀn o k ¹											
1729-5					q a ¹											
3679-5					m a ¹											
1054-5					m ə ¹											
7448-5					m u m ¹											
582-5					ˀm i ¹											
4743-5					m u n ¹											
5419-5					l i n ¹											
5601-5					ȶʰ i n ¹											
2705-5					m u m ¹											
6381-5					ȵ o ŋ ¹											
1017-5					ˀb a ¹											
645-5					l u k ¹											
273-5					m i t ¹											
4338-5					ˀd j a k ¹											
2533-5					k i ¹											
1089-5					x u p ¹											
843-5					n a n ¹											
2787-5					m̥ a t ¹											
4462-5					n u n ¹											
10918-5					f a n ¹											
6582-5					h i ¹											
2070-5					k a ¹											
3075-5					ˀȵ aː k ¹											
10848-5					f a ¹											
2480-5					ts i n ¹											
2214-5					k ai ¹											
7225-5					x ə t ¹											
3515-5					p j a m ¹											
2588-5					ts i n ¹											
2908-5					p j aː k ¹											
2393-5					ˀn a ¹											
1156-5					ŋ ai ¹											
2374-5					t a ¹											
2146-5					kʰ a ¹											
5133-5					q a ŋ ¹											
4981-5					m u k ¹											
10239-5					m a ¹											
599-5					n j u t ¹											
5048-5					q o n ¹											
6331-5					f a ¹											
290-5					ȶʰ i n ¹											
311-5					f aː k ¹											
3430-5					m j a ¹											
5369-5					m j a ¹											
2749-5					ȶ o n ¹											
2621-5					ˀd j a p ¹											
1181-5					t a k ¹											
949-5					t j o ¹											
6882-6						z ə t ¹										
6485-6						ˀb ə n ¹										
4690-6						m o n ¹										
5671-6						v j ə n ¹										
4272-6						l aː p ¹										
10935-6						ˀb e ¹										
4760-6						n i n ¹										
1881-6						v a n ¹										
4777-6						ɕ ə t ¹										
10969-6						v a n ¹										
10970-6						ȵ u ¹										
10206-6						v a n ¹										
6565-6						k w aː n ¹										
1281-6						ʔ j a n ¹										
10569-6						ˀn a m ¹										
6899-6						pʰ u ŋ ¹										
7081-6						k ui ¹										
4090-6						t a m ¹										
2197-6						h u m ¹										
3352-6						t i ¹										
3892-6						x ə t ¹										
1071-6						q aː m ¹										
10313-6						m ai ¹										
2671-6						t j ə t ¹										
5502-6						f aː k ¹										
7382-6						t o n ¹										
932-6						ts j aː ŋ ¹										
533-6						m ai ¹										
4159-6						f a ¹										
2804-6						n u k ¹										
5451-6						ˀɣ ai ¹										
5773-6						ʔ ai ¹										
6933-6						ʔ ai ¹										
4657-6						ʔ ai ¹										
4658-6						v j aː ŋ ¹										
6966-6						ɕ i ¹										
5351-6						ˀɣ a ¹										
4073-6						t aːi ¹										
2163-6						ˀb j aː ŋ ¹										
1121-6						f j a ¹										
5790-6						v aː ŋ ¹										
10413-6						m a ¹										
6731-6						m a ¹										
1645-6						m a ¹										
4914-6						m a ¹										
6175-6						ˀŋ a ¹										
3092-6						s e ŋ ¹										
1247-6						ˀd j aː n ¹										
5620-6						ɕ u ¹										
4897-6						ʁ a ¹										
4811-6						pʰ aː ŋ ¹										
1213-6						q au ¹										
11019-6						ʁ aː ŋ ¹										
11020-6						q au ¹										
2129-6						ʔ a p ¹										
3211-6						ŋ aː n ¹										
714-6						ˀn aː k ¹										
1729-6						q a ¹										
3679-6						m a ¹										
1054-6						m j u ¹										
7448-6						m j u m ¹										
582-6						ˀm i ¹										
4743-6						m o n ¹										
5419-6						l j ə n ¹										
5601-6						ˀb i n ¹										
2705-6						m o m ¹										
6381-6						ȵ o ŋ ¹										
1017-6						ⁿb a ¹										
645-6						l u k ¹										
273-6						m i t ¹										
4338-6						ˀd j a k ¹										
2533-6						k i ¹										
1089-6						kʰ j u p ¹										
843-6						n a n ¹										
2787-6						m̥ a t ¹										
4462-6						n u n ¹										
10918-6						h a n ¹										
6582-6						h i ¹										
2070-6						k a ¹										
3075-6						ȵ aː k ¹										
10848-6						f a ¹										
2480-6						ts j e n ¹										
2214-6						k ai ¹										
7225-6						h ə t ¹										
3515-6						p j a m ¹										
2588-6						ts j e n ¹										
2908-6						p j aː k ¹										
2393-6						ˀn a ¹										
1156-6						ŋ ai ¹										
2374-6						t a ¹										
2146-6						qʰ a ¹										
5133-6						ˀn a ŋ ¹										
4981-6						m u k ¹										
10239-6						m a ¹										
599-6						n j u t ¹										
5048-6						k o ¹										
6331-6						h a ¹										
290-6						s i n ¹										
311-6						h aː k ¹										
3430-6						m j a ¹										
5369-6						m j a ¹										
2749-6						ȶ o n ¹										
2621-6						l j a p ¹										
1181-6						t a k ¹										
949-6						t j u ¹										
6882-7							h j a t ¹									
6485-7							ⁿb a n ¹									
4690-7							m w ə n ¹									
5671-7							h j a n ¹									
4272-7							l aː p ¹									
10935-7							n e ¹									
4760-7							n j e n ¹									
1881-7							h w ə n ¹									
4777-7							h j a t ¹									
10969-7							h w ə n ¹									
10970-7							n u ¹									
10206-7							h w ə n ¹									
6565-7							k w ə n ¹									
1281-7							j a n ¹									
10569-7							n a m ¹									
6899-7							pʰ j u ŋ ¹									
7081-7							k ui ¹									
4090-7							d a m ¹									
2197-7							h j u m ¹									
3352-7							t ai ¹									
3892-7							h j a t ¹									
1071-7							kʰ aː m ¹									
10313-7							m ai ¹									
2671-7							d j a t ¹									
5502-7							h w a k ¹									
7382-7							ⁿd w ə n ¹									
932-7							ȶ i ŋ ¹									
533-7							m ai ¹									
4159-7							p a ¹									
2804-7							n au ¹									
5451-7							ɣ ai ¹									
5773-7							ʔ au ¹									
6933-7							ʔ au ¹									
4657-7							ʔ au ¹									
4658-7							h j a ŋ ¹									
6966-7							h i ¹									
5351-7							ɣ a ¹									
4073-7							d ai ¹									
2163-7							m j a ŋ ¹									
1121-7							h w a ¹									
5790-7							v a ŋ ¹									
10413-7							m a ¹									
6731-7							m a ¹									
1645-7							m a ¹									
4914-7							m a ¹									
6175-7							k a ¹									
3092-7							s i ŋ ¹									
1247-7							l j a n ¹									
5620-7							h j u ¹									
4897-7							ɣ a ¹									
4811-7							pʰ aː ŋ ¹									
1213-7							kʰ aːi ¹									
11019-7							ɣ aː ŋ ¹									
11020-7							kʰ aːi ¹									
2129-7							ʔ e p ¹									
3211-7							n aː n ¹									
714-7							n o k ¹									
1729-7							k a ¹									
3679-7							m a ¹									
1054-7							m i ¹									
7448-7							m u m ¹									
582-7							m i ¹									
4743-7							m w ə n ¹									
5419-7							l j a n ¹									
5601-7							ⁿb i n ¹									
2705-7							m u m ¹									
6381-7							ȵ w ə ŋ ¹									
1017-7							m a ¹									
645-7							l aː k ¹									
273-7							m a t ¹									
4338-7							d j a k ¹									
2533-7							k ai ¹									
1089-7							kʰ u p ¹									
843-7							n aː n ¹									
2787-7							pʰ a t ¹									
4462-7							n a n ¹									
10918-7							h a n ¹									
6582-7							h e ¹									
2070-7							k a ¹									
3075-7							ȵ aː k ¹									
10848-7							p a ¹									
2480-7							ȶ ə n ¹									
2214-7							k ai ¹									
7225-7							h aː t ¹									
3515-7							p a m ¹									
2588-7							ȶ ə n ¹									
2908-7							p e k ¹									
2393-7							n a ¹									
1156-7							ŋ ai ¹									
2374-7							ⁿd a ¹									
2146-7							k a ¹									
5133-7							n a ŋ ¹									
4981-7							m u k ¹									
10239-7							m a ¹									
599-7							n j a t ¹									
5048-7							k o ¹									
6331-7							h a ¹									
290-7							h i n ¹									
311-7							h aː k ¹									
3430-7							l j a ¹									
5369-7							l j a ¹									
2749-7							ȶ w ə n ¹									
2621-7							l j a p ¹									
1181-7							t a k ¹									
949-7							t j u ¹									
6882-8								z a t ¹								
6485-8								ⁿb ə n ¹								
4690-8								m o n ¹								
5671-8								f ə n ¹								
4272-8								l aː p ¹								
10935-8								n e ¹								
4760-8								n i n ¹								
1881-8								f a n ¹								
4777-8								h j ə t ¹								
10969-8								f a n ¹								
10970-8								n u ¹								
10206-8								f a n ¹								
6565-8								k w aː n ¹								
1281-8								j e n ¹								
10569-8								n a m ¹								
6899-8								pʰ j u ŋ ¹								
7081-8								k ui ¹								
4090-8								l a m ¹								
2197-8								h u m ¹								
3352-8								t i ¹								
3892-8								h ə t ¹								
1071-8								q aː m ¹								
10313-8								m ai ¹								
2671-8								ⁿd j a t ¹								
5502-8								f aː k ¹								
7382-8								ⁿd u n ¹								
932-8								ts i ŋ ¹								
533-8								m ai ¹								
4159-8								f a ¹								
2804-8								n u k ¹								
5451-8								ɣ ai ¹								
5773-8								ʔ au ¹								
6933-8								ʔ au ¹								
4657-8								ʔ au ¹								
4658-8								f j aː ŋ ¹								
6966-8								h i ¹								
5351-8								ɣ a ¹								
4073-8								ⁿd aːi ¹								
2163-8								m j aː ŋ ¹								
1121-8								f a ¹								
5790-8								f aː ŋ ¹								
10413-8								m a ¹								
6731-8								m a ¹								
1645-8								m a ¹								
4914-8								m a ¹								
6175-8								ŋ a ¹								
3092-8								s i ŋ ¹								
1247-8								l i n ¹								
5620-8								h j u ¹								
4897-8								ɣ a ¹								
4811-8								pʰ aː ŋ ¹								
1213-8								q aːi ¹								
11019-8								s aː ŋ ¹								
11020-8								q aːi ¹								
2129-8								ʔ aː p ¹								
3211-8								ŋ aː n ¹								
714-8								n o k ¹								
1729-8								q a ¹								
3679-8								m a ¹								
1054-8								m aːu ¹								
7448-8								m a m ¹								
582-8								m i ¹								
4743-8								m o n ¹								
5419-8								l j aː n ¹								
5601-8								ⁿb i n ¹								
2705-8								m a m ¹								
6381-8								ȵ o ŋ ¹								
1017-8								j a ¹								
645-8								l o k ¹								
273-8								m j ə t ¹								
4338-8								l j a k ¹								
2533-8								k i ¹								
1089-8								h u p ¹								
843-8								n aː n ¹								
2787-8								h̃ a t ¹								
4462-8								n o n ¹								
10918-8								h a n ¹								
6582-8								h ui ¹								
2070-8								k a ¹								
3075-8								ȵ aː k ¹								
10848-8								f a ¹								
2480-8								ts a n ¹								
2214-8								k ai ¹								
7225-8								h ə t ¹								
3515-8								p j a m ¹								
2588-8								ts a n ¹								
2908-8								p i k ¹								
2393-8								n a ¹								
1156-8								ŋ ai ¹								
2374-8								ⁿd a ¹								
2146-8								kʰ a ¹								
5133-8								n a ŋ ¹								
4981-8								m u k ¹								
10239-8								m a ¹								
599-8								n i t ¹								
5048-8								q o ¹								
6331-8								h a ¹								
290-8								ɕ i n ¹								
311-8								h aː k ¹								
3430-8								m j a ¹								
5369-8								m j a ¹								
2749-8								ȶ o n ¹								
2621-8								l j a p ¹								
1181-8								t a k ¹								
949-8								t j u ¹								
6882-9									z ə t ¹							
6485-9									ⁿb ə n ¹							
4690-9									m u n ¹							
5671-9									h j ə n ¹							
4272-9									l aː p ¹							
10935-9									n e ¹							
4760-9									n i n ¹							
1881-9									f a n ¹							
4777-9									h a t ¹							
10969-9									f a n ¹							
10970-9									ȵ u ¹							
10206-9									f a n ¹							
6565-9									k o n ¹							
1281-9									ʔ j e n ¹							
10569-9									n a m ¹							
6899-9									pʰ a ŋ ¹							
7081-9									k ui ¹							
4090-9									q a m ¹							
2197-9									h u m ¹							
3352-9									t i p ¹							
3892-9									h j ə t ¹							
1071-9									q aː m ¹							
10313-9									m ai ¹							
2671-9									ⁿd i t ¹							
5502-9									f aː k ¹							
7382-9									ⁿd u n ¹							
932-9									ȶ i ŋ ¹							
533-9									m ai ¹							
4159-9									f a ¹							
2804-9									n a k ¹							
5451-9									ɣ ai ¹							
5773-9									ʔ ai ¹							
6933-9									ʔ ai ¹							
4657-9									ʔ ai ¹							
4658-9									f j aː ŋ ¹							
6966-9									h i ¹							
5351-9									ɣ a ¹							
4073-9									ⁿd aːi ¹							
2163-9									ⁿb j aː ŋ ¹							
1121-9									f a ¹							
5790-9									h aː ŋ ¹							
10413-9									m a ¹							
6731-9									m a ¹							
1645-9									m a ¹							
4914-9									m a ¹							
6175-9									ŋ a ¹							
3092-9									s i ŋ ¹							
1247-9									l i n ¹							
5620-9									h j aːu ¹							
4897-9									ʁ a ¹							
4811-9									pʰ aː ŋ ¹							
1213-9									q aːi ¹							
11019-9									s aː ŋ ¹							
11020-9									q aːi ¹							
2129-9									ʔ a p ¹							
3211-9									ŋ aː n ¹							
714-9									n aː k ¹							
1729-9									q a ¹							
3679-9									m a ¹							
1054-9									m ai ¹							
7448-9									m a m ¹							
582-9									m i ¹							
4743-9									m u n ¹							
5419-9									l i n ¹							
5601-9									ⁿb i n ¹							
2705-9									m u m ¹							
6381-9									ȵ o ŋ ¹							
1017-9									ⁿb a ¹							
645-9									l u k ¹							
273-9									m ə t ¹							
4338-9									ⁿd j a k ¹							
2533-9									k i ¹							
1089-9									kʰ o p ¹							
843-9									n aː n ¹							
2787-9									h a t ¹							
4462-9									n aː n ¹							
10918-9									h a n ¹							
6582-9									h aː t ¹							
2070-9									k a ¹							
3075-9									ȵ aː k ¹							
10848-9									f a ¹							
2480-9									ts a n ¹							
2214-9									k ai ¹							
7225-9									h j ə t ¹							
3515-9									p a m ¹							
2588-9									ts a n ¹							
2908-9									p j aː k ¹							
2393-9									n a ¹							
1156-9									ŋ ai ¹							
2374-9									d a ¹							
2146-9									qʰ a ¹							
5133-9									n a ŋ ¹							
4981-9									m u k ¹							
10239-9									m a ¹							
599-9									n i t ¹							
5048-9									q o ¹							
6331-9									h a ¹							
290-9									ɕ i n ¹							
311-9									h aː k ¹							
3430-9									m a ¹							
5369-9									m a ¹							
2749-9									ȶ a n ¹							
2621-9									l j a p ¹							
1181-9									t a k ¹							
949-9									t j u ¹							
6882-10										z ə t ¹						
6485-10										ˀb ə n ¹						
4690-10										m a n ¹						
5671-10										ɕ ə n ¹						
4272-10										l aː p ¹						
10935-10										ˀm e ¹						
4760-10										n i n ¹						
1881-10										f a n ¹						
4777-10										ȶʰ ə t ¹						
10969-10										f a n ¹						
10970-10										ȵ u ¹						
10206-10										f a n ¹						
6565-10										k aː n ¹						
1281-10										ʔ j e n ¹						
10569-10										n a m ¹						
