COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
1017-1	ˀb a ¹															
645-1	l u k ¹															
273-1	m ə t ¹															
4338-1	ⁿd j a k ¹															
2533-1	k i ¹															
1089-1	kʰ u p ¹															
843-1	n a n ¹															
2787-1	m̥ a t ¹															
4462-1	ˀn u n ¹															
10918-1	h a n ¹															
6582-1	h ui ¹															
2070-1	k a ¹															
3075-1	ˀȵ aː k ¹															
10848-1	v a ¹															
2480-1	ts ə n ¹															
2214-1	k ai ¹															
7225-1	h ə t ¹															
3515-1	p j a m ¹															
2588-1	ts ə n ¹															
2908-1	p j aː k ¹															
2393-1	ˀn a ¹															
1156-1	ŋ ai ¹															
2374-1	ⁿd a ¹															
2146-1	qʰ a ¹															
5133-1	ˀn a ŋ ¹															
4981-1	m u k ¹															
10239-1	m a ¹															
599-1	n j u t ¹															
5048-1	q o ¹															
6331-1	h a ¹															
290-1	ȶʰ i n ¹															
311-1	h aː k ¹															
3430-1	m j e ¹															
5369-1	m j e ¹															
2749-1	ȶ o n ¹															
2621-1	l j a p ¹															
1181-1	t a k ¹															
949-1	t j u ¹															
2839-1	t i n ¹															
861-1	l aː k ¹															
6773-1	l aː k ¹															
5739-1	l aː k ¹															
5740-1	h ə t ¹															
3550-1	ɕ u m ¹															
4445-1	p o t ¹															
680-1	l o ŋ ¹															
817-1	ⁿd ə n ¹															
782-1	pʰ j aː t ¹															
10396-1	ˀn j u ¹															
4606-1	n aː n ¹															
5207-1	m a n ¹															
7280-1	ts j e ¹															
6983-1	ʔ j ə t ¹															
5168-1	p u ŋ ¹															
1264-1	ts u ¹															
915-1	t ui ¹															
1767-1	ts u ŋ ¹															
10901-1	k a ŋ ¹															
10867-1	ˀd o ŋ ¹															
417-1	k aː n ¹															
2285-1	pʰ j e ¹															
11002-1	ʔ i t ¹															
6348-1	m ai ¹															
6349-1	ʁ aː n ¹															
10602-1	ˀb ə n ¹															
5654-1	m j e n ¹															
880-1	l e ¹															
983-1	ȵ aː n ¹															
2033-1	t o ¹															
1433-1	ʔ j e ¹															
1467-1	ˀd u k ¹															
469-1	t j u m ¹															
3127-1	m j e ¹															
4623-1	h a ¹															
7099-1	l j ə k ¹															
4726-1	h j e n ¹															
10465-1	ˀb aː n ¹															
5519-1	h ə n ¹															
5893-1	h u n ¹															
2857-1	t i n ¹															
3645-1	ɣ aː n ¹															
3032-1	f j e n ¹															
2088-1	v j ə n ¹															
2463-1	p u ¹															
4794-1	n i ¹															
4569-1	l u ŋ ¹															
4586-1	ts u ¹															
4552-1	p a ¹															
3228-1	q o ŋ ¹															
3245-1	j a ¹															
6651-1	l aː k ¹															
6652-1	p aː n ¹															
1817-1	l aː k ¹															
1818-1	ˀb j e k ¹															
11052-1	n u ¹															
1230-1	l aː k ¹															
3380-1	h aː k ¹															
8174-1	ɣ u m ¹															
8599-1	p j a m ¹															
7782-1	ⁿd j ai ¹															
8294-1	l i k ¹															
8514-1	h aːi ¹															
9669-1	l j e k ¹															
8531-1	p aːi ¹															
7954-1	ʔ u k ¹															
9968-1	s aː m ¹															
8040-1	t a ¹															
9304-1	ts i ¹															
8345-1	t o k ¹															
8765-1	ȶ o k ¹															
8849-1	s e ŋ ¹															
9286-1	k a ŋ ¹															
9581-1	n u n ¹															
9267-1	l w ə ¹															
8497-1	ts ə n ¹															
7602-1	ʔ aː p ¹															
8431-1	v j ə n ¹															
10036-1	s u k ¹															
10019-1	l a k ¹															
9216-1	n e ¹															
8074-1	q a t ¹															
9511-1	p a n ¹															
8243-1	ʔ j a m ¹															
9250-1	t j e m ¹															
7568-1	s aːi ¹															
8832-1	k o ¹															
8057-1	ˀȵ e ¹															
7716-1	h u p ¹															
9899-1	ts i ¹															
7585-1	kʰ au ¹															
8582-1	m j e ¹															
9097-1	l a m ¹															
10125-1	v a ¹															
9460-1	l aːi ¹															
9649-1	pʰ o t ¹															
9870-1	ŋ a p ¹															
8680-1	v a m ¹															
7699-1	ȶ i t ¹															
9001-1	ˀŋ a t ¹															
9494-1	t i p ¹															
7666-1	ɕ ə n ¹															
9598-1	t a k ¹															
8023-1	q u m ¹															
9053-1	ɣ u t ¹															
10091-1	s o k ¹															
10002-1	pʰ j aːu ¹															
7765-1	t aːu ¹															
8800-1	m e ¹															
9934-1	k a ¹															
9985-1	ʔ aːu ¹															
7850-1	t aː p ¹															
7816-1	ʔ a m ¹															
8663-1	ʔ u m ¹															
8697-1	ȶ i t ¹															
9615-1	j ə n ¹															
8362-1	t ə t ¹															
8091-1	t ai ¹															
8748-1	h a ¹															
22-1	t aːu ¹															
11084-1	s aːu ¹															
7365-1	n aːi ¹															
4201-1	s i ¹															
5841-1	f a ¹															
4640-1	t a ¹															
662-1	l ə n ¹															
384-1	ȵ aːu ¹															
5151-1	m e ¹															
1399-1	t o ¹															
5259-1	ʔ j ə t ¹															
10353-1	ɣ a ¹															
10370-1	ȵ i ¹															
7401-1	h aː m ¹															
2958-1	h i ¹															
2770-1	ŋ o ¹															
6434-1	l j e k ¹															
6192-1	ɕ ə t ¹															
2231-1	p aː t ¹															
5116-1	ȶ u ¹															
7297-1	s u p ¹															
3731-1	p e k ¹															
748-1	ˀn a m ¹															
2180-1	h a m ¹															
4107-1	ˀȵ a m ¹															
2688-1	k o n ¹															
616-1	k i ŋ ¹															
1898-1	ˀd a k ¹															
203-1	m ai ¹															
897-1	ˀb j e ¹															
10189-1	h j e n ¹															
1592-1	s o k ¹															
6088-1	t j a ŋ ¹															
2975-1	ⁿd aː ŋ ¹															
6714-1	h u m ¹															
731-1	q a m ¹															
2722-1	j u ¹															
5637-1	qʰ aː t ¹															
765-1	j i k ¹															
1695-1	h i m ¹															
2112-1	s j u ¹															
6634-1	m a ¹															
7331-1	ˀn a ¹															
7348-1	ˀb aː ŋ ¹															
6527-1	t i ¹															
3568-1	z a n ¹															
4378-1	ˀɣ aːi ¹															
6292-1	ⁿd j ə n ¹															
3585-1	v aː ŋ ¹															
4428-1	ⁿd a m ¹															
7046-1	ɕ a ŋ ¹															
1915-1	ʔ j a m ¹															
4518-1	k u ŋ ¹															
2516-1	s j e ¹															
4480-1	p aː n ¹															
2499-1	ˀb j e k ¹															
5584-1	h o ¹															
2429-1	h aːu ¹															
5224-1	q aːu ¹															
3464-1	kʰ a k ¹															
10142-1	t o ŋ ¹															
7159-1	v a n ¹															
6599-1	ˀn ui ¹															
10207-1	m u ¹															
6837-1	s ə n ¹															
2654-1	v i ¹															
367-1	v u k ¹															
5858-1	ˀn j e ¹															
451-1	f a n ¹															
5944-1	h aː ŋ ¹															
512-1	l j e k ¹															
7138-1	ʔ aːu ¹															
4845-1	j a ¹															
4915-1	q aː t ¹															
10570-1	k ui ¹															
5300-1	ˀb j e n ¹															
5418-1	ȶ i ¹															
1748-1	f i k ¹															
3532-1	t u ¹															
310-1	t e ¹															
5368-1	f aː n ¹															
4321-1	t a p ¹															
5065-1	kʰ e ¹															
5961-1	l aː k ¹															
1450-1	t a ¹															
10430-1	s a ¹															
6210-1	t au ¹															
5468-1	z ə n ¹															
6685-1	h aːu ¹															
6882-2		v ə t ¹														
6485-2		m ə n ¹														
4690-2		m o n ¹														
5671-2		f o n ¹														
4272-2		l aː p ¹														
10935-2		f e ¹														
4760-2		n o n ¹														
1881-2		p a n ¹														
4777-2		h ə t ¹														
10969-2		p a n ¹														
10970-2		ȵ u ¹														
10206-2		p a n ¹														
6565-2		k a n ¹														
1281-2		j i n ¹														
10569-2		n a m ¹														
6899-2		pʰ j u ŋ ¹														
7081-2		k ui ¹														
4090-2		t a m ¹														
2197-2		h u m ¹														
3352-2		t i ¹														
3892-2		h ə t ¹														
1071-2		q aː m ¹														
10313-2		m ai ¹														
2671-2		l j ə t ¹														
5502-2		f a k ¹														
7382-2		t u n ¹														
932-2		ȶ i ŋ ¹														
533-2		m ai ¹														
4159-2		p a ¹														
2804-2		n u k ¹														
5451-2		ɣ ai ¹														
5773-2		ʔ au ¹														
6933-2		ʔ au ¹														
4657-2		ʔ au ¹														
4658-2		f j aː ŋ ¹														
6966-2		h i ¹														
5351-2		ɣ a ¹														
4073-2		t aːi ¹														
2163-2		m j aː ŋ ¹														
1121-2		f o ¹														
5790-2		p aː ŋ ¹														
10413-2		m a ¹														
6731-2		m a ¹														
1645-2		m a ¹														
4914-2		m a ¹														
6175-2		n a ¹														
3092-2		ȶ i ŋ ¹														
1247-2		l j aː n ¹														
5620-2		h u ¹														
4897-2		k a ¹														
4811-2		pʰ aː ŋ ¹														
1213-2		q aːi ¹														
11019-2		ŋ aː ŋ ¹														
11020-2		q aːi ¹														
2129-2		ʔ e p ¹														
3211-2		ŋ aː n ¹														
714-2		n o k ¹														
1729-2		q a ¹														
3679-2		m a ¹														
1054-2		m i ¹														
7448-2		m u m ¹														
582-2		m i ¹														
4743-2		m o n ¹														
5419-2		l j ə n ¹														
5601-2		m i n ¹														
2705-2		m o m ¹														
6381-2		ȵ o ŋ ¹														
1017-2		f a ¹														
645-2		l u k ¹														
273-2		m ə t ¹														
4338-2		l j a k ¹														
2533-2		k i ¹														
1089-2		kʰ u p ¹														
843-2		n a n ¹														
2787-2		h a t ¹														
4462-2		n u n ¹														
10918-2		h a n ¹														
6582-2		h ui ¹														
2070-2		k a ¹														
3075-2		ȵ aː k ¹														
10848-2		p a ¹														
2480-2		ȶ ə n ¹														
2214-2		k ai ¹														
7225-2		h ə t ¹														
3515-2		p j a m ¹														
2588-2		ȶ ə n ¹														
2908-2		p j a k ¹														
2393-2		n a ¹														
1156-2		ŋ ai ¹														
2374-2		t a ¹														
2146-2		qʰ a ¹														
5133-2		n a ŋ ¹														
4981-2		m u k ¹														
10239-2		m a ¹														
599-2		n o t ¹														
5048-2		q o ¹														
6331-2		h a ¹														
290-2		h i n ¹														
311-2		h aː k ¹														
3430-2		m j a ¹														
5369-2		m j a ¹														
2749-2		ȶ o n ¹														
2621-2		l j a p ¹														
1181-2		t a k ¹														
949-2		t j u ¹														
2839-2		t i n ¹														
861-2		l aː k ¹														
6773-2		l aː k ¹														
5739-2		l a k ¹														
5740-2		h ə t ¹														
3550-2		h u m ¹														
4445-2		p u t ¹														
680-2		l o ŋ ¹														
817-2		t ə n ¹														
782-2		pʰ j aː t ¹														
10396-2		n j u ¹														
4606-2		n aː n ¹														
5207-2		m a n ¹														
7280-2		ȶ a ¹														
6983-2		j u t ¹														
5168-2		p u ŋ ¹														
1264-2		ȶ u ¹														
915-2		t i ¹														
1767-2		ȶ u ŋ ¹														
10901-2		k i ŋ ¹														
10867-2		t o ŋ ¹														
417-2		k a n ¹														
2285-2		pʰ e ¹														
11002-2		h i t ¹														
6348-2		m ai ¹														
6349-2		k aː n ¹														
10602-2		m ə n ¹														
5654-2		m i n ¹														
880-2		l e ¹														
983-2		ȵ aː n ¹														
2033-2		t o ¹														
1433-2		j a ¹														
1467-2		l u k ¹														
469-2		t j u m ¹														
3127-2		m j a ¹														
4623-2		h a ¹														
7099-2		l j a k ¹														
4726-2		h i n ¹														
10465-2		m aː n ¹														
5519-2		h ə n ¹														
5893-2		kʰ u n ¹														
2857-2		t i n ¹														
3645-2		k aː n ¹														
3032-2		f j aː n ¹														
2088-2		p j a n ¹														
2463-2		p u ¹														
4794-2		n ə ¹														
4569-2		l u ŋ ¹														
4586-2		ȶ u ¹														
4552-2		p a ¹														
3228-2		q o ŋ ¹														
3245-2		j a ¹														
6651-2		l a k ¹														
6652-2		h aː n ¹														
1817-2		l a k ¹														
1818-2		m j aː k ¹														
11052-2		n u ¹														
1230-2		l aː k ¹														
3380-2		h i k ¹														
8174-2		ɣ u m ¹														
8599-2		p j a m ¹														
7782-2		t j ai ¹														
8294-2		l i k ¹														
8514-2		h aːi ¹														
9669-2		l j a k ¹														
8531-2		p ai ¹														
7954-2		ʔ u k ¹														
9968-2		s aː m ¹														
8040-2		t a ¹														
9304-2		ȶ i ¹														
8345-2		t o k ¹														
8765-2		ȶ o k ¹														
8849-2		s i ŋ ¹														
9286-2		k aː ŋ ¹														
9581-2		n u n ¹														
9267-2		l aːu ¹														
8497-2		ȶ ə n ¹														
7602-2		ʔ aː p ¹														
8431-2		p j a n ¹														
10036-2		s u k ¹														
10019-2		l a k ¹														
9216-2		n e ¹														
8074-2		q a t ¹														
9511-2		p a n ¹														
8243-2		j a m ¹														
9250-2		t i m ¹														
7568-2		s aːi ¹														
8832-2		k u ¹														
8057-2		p e ¹														
7716-2		h u p ¹														
9899-2		ȶ ai ¹														
7585-2		kʰ au ¹														
8582-2		m j a ¹														
9097-2		l a m ¹														
10125-2		p a ¹														
9460-2		l aːi ¹														
9649-2		pʰ u t ¹														
9870-2		ŋ a p ¹														
8680-2		n a m ¹														
7699-2		k i t ¹														
9001-2		n a t ¹														
9494-2		t i p ¹														
7666-2		h ə n ¹														
9598-2		t a k ¹														
8023-2		q u m ¹														
9053-2		ɣ u t ¹														
10091-2		s a k ¹														
10002-2		pʰ j aːu ¹														
7765-2		t aːu ¹														
8800-2		m e ¹														
9934-2		k a ¹														
9985-2		ʔ aːu ¹														
7850-2		t aː p ¹														
7816-2		ʔ a m ¹														
8663-2		ʔ u m ¹														
8697-2		k i t ¹														
9615-2		j a n ¹														
8362-2		t ə t ¹														
8091-2		t ai ¹														
8748-2		h a ¹														
22-2		t aːu ¹														
11084-2		s aːu ¹														
7365-2		n ə ¹														
4201-2		s i ¹														
5841-2		f a ¹														
4640-2		t a ¹														
662-2		l a n ¹														
384-2		ȵ aːu ¹														
5151-2		m e ¹														
1399-2		t o ¹														
5259-2		j ə t ¹														
10353-2		k a ¹														
10370-2		h i ¹														
7401-2		h aː m ¹														
2958-2		h i ¹														
2770-2		ŋ o ¹														
6434-2		l j a k ¹														
6192-2		h ə t ¹														
2231-2		p a t ¹														
5116-2		ȶ u ¹														
7297-2		s u p ¹														
3731-2		p e k ¹														
748-2		n a m ¹														
2180-2		h a m ¹														
4107-2		ȵ a m ¹														
2688-2		k o n ¹														
616-2		k i ŋ ¹														
1898-2		l a k ¹														
203-2		m ai ¹														
897-2		m j a ¹														
10189-2		h i n ¹														
1592-2		s o k ¹														
6088-2		t j a ŋ ¹														
2975-2		t aː ŋ ¹														
6714-2		h u m ¹														
731-2		q a m ¹														
2722-2		j u ¹														
5637-2		qʰ aː t ¹														
765-2		m i k ¹														
1695-2		h i m ¹														
2112-2		kʰ j u ¹														
6634-2		m a ¹														
7331-2		n a ¹														
7348-2		m aː ŋ ¹														
6527-2		t i ¹														
3568-2		n̥ a n ¹														
4378-2		ɣ aːi ¹														
6292-2		t j a n ¹														
3585-2		p aː ŋ ¹														
4428-2		t a m ¹														
7046-2		h a ŋ ¹														
1915-2		j a m ¹														
4518-2		k u ŋ ¹														
2516-2		s j eu ¹														
4480-2		h aː n ¹														
2499-2		m j aː k ¹														
5584-2		h o ¹														
2429-2		h i ¹														
5224-2		q aːu ¹														
3464-2		h a k ¹														
10142-2		t o ŋ ¹														
7159-2		p a n ¹														
6599-2		n ui ¹														
10207-2		m u ¹														
6837-2		s ə n ¹														
367-2		p u k ¹														
5858-2		n j a ¹														
451-2		f a n ¹														
5944-2		h aː ŋ ¹														
512-2		l j a k ¹														
7138-2		ʔ aːu ¹														
4915-2		l aː t ¹														
10570-2		k ui ¹														
5300-2		m j aː n ¹														
5418-2		ȶ i ¹														
1748-2		f i k ¹														
310-2		t e ¹														
5368-2		f a ¹														
4321-2		t a p ¹														
5065-2		kʰ e ¹														
5961-2		l a k ¹														
1450-2		t a ¹														
10430-2		h ə n ¹														
6210-2		t au ¹														
5468-2		z ə n ¹														
6685-2		h aːu ¹														
6882-3			z ə t ¹													
6485-3			ⁿb ə n ¹													
4690-3			m u n ¹													
5671-3			f ə n ¹													
4272-3			l aː p ¹													
10935-3			ⁿb e ¹													
4760-3			n j aː n ¹													
1881-3			v a n ¹													
4777-3			h j ə t ¹													
10969-3			v a n ¹													
10970-3			ˀȵ u ¹													
10206-3			v a n ¹													
6565-3			k a n ¹													
1281-3			ʔ j e n ¹													
10569-3			n a m ¹													
6899-3			pʰ j u ŋ ¹													
7081-3			k ui ¹													
4090-3			ⁿd a m ¹													
2197-3			h u m ¹													
3352-3			t i ¹													
3892-3			h j ə t ¹													
1071-3			q aː m ¹													
10313-3			m ai ¹													
2671-3			ⁿd j ə t ¹													
5502-3			f aː k ¹													
7382-3			ⁿd u n ¹													
932-3			ȶ i ŋ ¹													
533-3			m ai ¹													
4159-3			v a ¹													
2804-3			n u k ¹													
5451-3			ɣ ai ¹													
5773-3			ʔ au ¹													
6933-3			ʔ au ¹													
4657-3			ʔ au ¹													
4658-3			f j aː ŋ ¹													
6966-3			h i ¹													
5351-3			ɣ a ¹													
4073-3			ⁿd aːi ¹													
2163-3			ⁿb j aː ŋ ¹													
1121-3			f a ¹													
5790-3			v aː ŋ ¹													
10413-3			m a ¹													
6731-3			m a ¹													
1645-3			m a ¹													
4914-3			m a ¹													
6175-3			v a ¹													
3092-3			ɕ i ŋ ¹													
1247-3			l j aː n ¹													
5620-3			h j eu ¹													
4897-3			q a ¹													
4811-3			pʰ aː ŋ ¹													
1213-3			q aːi ¹													
11019-3			ʁ aː ŋ ¹													
11020-3			q aːi ¹													
2129-3			ʔ e p ¹													
3211-3			ŋ aː n ¹													
714-3			n o k ¹													
1729-3			q a ¹													
3679-3			m a ¹													
1054-3			m ai ¹													
7448-3			m u m ¹													
582-3			m i ¹													
4743-3			m o n ¹													
5419-3			l j ə n ¹													
5601-3			ⁿb i n ¹													
2705-3			m o m ¹													
6381-3			ˀȵ o ŋ ¹													
1017-3			ⁿb a ¹													
645-3			l u k ¹													
273-3			m ə t ¹													
4338-3			ⁿd j a k ¹													
2533-3			k i ¹													
1089-3			kʰ u p ¹													
843-3			n a n ¹													
2787-3			m̥ a t ¹													
4462-3			ˀn u n ¹													
10918-3			h a n ¹													
6582-3			h ui ¹													
2070-3			k a ¹													
3075-3			ˀȵ aː k ¹													
10848-3			v a ¹													
2480-3			ts ə n ¹													
2214-3			k ai ¹													
7225-3			h ə t ¹													
3515-3			p j a m ¹													
2588-3			ts ə n ¹													
2908-3			p j aː k ¹													
2393-3			ˀn a ¹													
1156-3			ŋ ai ¹													
2374-3			ⁿd a ¹													
2146-3			qʰ a ¹													
5133-3			ˀn a ŋ ¹													
4981-3			m u k ¹													
10239-3			m a ¹													
599-3			n j u t ¹													
5048-3			q o ¹													
6331-3			h a ¹													
290-3			ɕ i n ¹													
311-3			h aː k ¹													
3430-3			m j a ¹													
5369-3			m j a ¹													
2749-3			ȶ u n ¹													
2621-3			l j a p ¹													
1181-3			t a k ¹													
949-3			t j u ¹													
2839-3			t i n ¹													
861-3			l aː k ¹													
6773-3			l aː k ¹													
5739-3			l aː k ¹													
5740-3			h ə t ¹													
3550-3			h j u m ¹													
4445-3			p a t ¹													
680-3			l o ŋ ¹													
817-3			ⁿd ə n ¹													
782-3			pʰ j aː t ¹													
10396-3			ˀn j u ¹													
4606-3			n aː n ¹													
5207-3			m a n ¹													
7280-3			ȶ a ¹													
6983-3			ʔ j ə t ¹													
5168-3			p u ŋ ¹													
1264-3			ts u ¹													
915-3			t ui ¹													
1767-3			ts u ŋ ¹													
10901-3			k a ŋ ¹													
10867-3			ⁿd o ŋ ¹													
417-3			k a n ¹													
2285-3			pʰ j e ¹													
11002-3			ʔ i t ¹													
6348-3			m ai ¹													
6349-3			ʁ aː n ¹													
10602-3			ⁿb ə n ¹													
5654-3			m j e n ¹													
880-3			l e ¹													
983-3			ȵ aː n ¹													
2033-3			t o ¹													
1433-3			ʔ j a ¹													
1467-3			ⁿd u k ¹													
469-3			t j u m ¹													
3127-3			m j a ¹													
4623-3			h a ¹													
7099-3			l j aː k ¹													
4726-3			h j e n ¹													
10465-3			ⁿb aː n ¹													
5519-3			h ə n ¹													
5893-3			kʰ u n ¹													
2857-3			t i n ¹													
3645-3			ɣ aː n ¹													
3032-3			f j aː n ¹													
2088-3			v j a n ¹													
2463-3			p u ¹													
4794-3			n i ¹													
4569-3			l u ŋ ¹													
4586-3			ts u ¹													
4552-3			p a ¹													
3228-3			q o ŋ ¹													
3245-3			j a ¹													
6651-3			l aː k ¹													
6652-3			ⁿb aː n ¹													
1817-3			l aː k ¹													
1818-3			ⁿb j aː k ¹													
11052-3			n u ¹													
1230-3			l aː k ¹													
3380-3			h aː k ¹													
8174-3			ɣ u m ¹													
8599-3			p j a m ¹													
7782-3			ⁿd j ai ¹													
8294-3			l i k ¹													
8514-3			h aːi ¹													
9669-3			l j a k ¹													
8531-3			p aːi ¹													
7954-3			ʔ u k ¹													
9968-3			s aː m ¹													
8040-3			t a ¹													
9304-3			ȶ i ¹													
8345-3			t o k ¹													
8765-3			ȶ o k ¹													
8849-3			s e ŋ ¹													
9286-3			k aː ŋ ¹													
9581-3			n u n ¹													
9267-3			l a ¹													
8497-3			ts ə n ¹													
7602-3			ʔ aː p ¹													
8431-3			v j ə n ¹													
10036-3			s u k ¹													
10019-3			l a k ¹													
9216-3			n e ¹													
8074-3			q a t ¹													
9511-3			p a n ¹													
8243-3			ʔ j a m ¹													
9250-3			t j e m ¹													
7568-3			s aːi ¹													
8832-3			k u ¹													
8057-3			f e ¹													
7716-3			h u p ¹													
9899-3			ȶ i ¹													
7585-3			kʰ au ¹													
8582-3			ⁿb j a ¹													
9097-3			l a m ¹													
10125-3			v a ¹													
9460-3			l aːi ¹													
9649-3			pʰ a t ¹													
9870-3			ŋ a p ¹													
8680-3			v a m ¹													
7699-3			ȶ i t ¹													
9001-3			ˀŋ w a t ¹													
9494-3			t i p ¹													
7666-3			h j ə n ¹													
9598-3			t a k ¹													
8023-3			q u m ¹													
9053-3			ɣ u t ¹													
10091-3			s a k ¹													
10002-3			pʰ j aːu ¹													
7765-3			t aːu ¹													
8800-3			ȶ e ¹													
9934-3			k a ¹													
9985-3			ʔ aːu ¹													
7850-3			t aː p ¹													
7816-3			ʔ a m ¹													
8663-3			ʔ u m ¹													
8697-3			ȶ i t ¹													
9615-3			j a n ¹													
8362-3			t ə t ¹													
8091-3			t ai ¹													
8748-3			h a ¹													
22-3			t aːu ¹													
11084-3			s aːu ¹													
7365-3			n aːi ¹													
4201-3			s i ¹													
5841-3			f a ¹													
4640-3			t a ¹													
662-3			l ə n ¹													
384-3			ȵ aːu ¹													
5151-3			m e ¹													
1399-3			t o ¹													
5259-3			ʔ j ə t ¹													
10353-3			ɣ a ¹													
10370-3			ȵ i ¹													
7401-3			h aː m ¹													
2958-3			h i ¹													
2770-3			ŋ o ¹													
6434-3			l j a k ¹													
6192-3			h j ə t ¹													
2231-3			p aː t ¹													
5116-3			ȶ u ¹													
7297-3			s u p ¹													
3731-3			p e k ¹													
748-3			ˀn a m ¹													
2180-3			h a m ¹													
4107-3			ˀȵ a m ¹													
2688-3			k o n ¹													
616-3			k i ŋ ¹													
1898-3			ⁿd a k ¹													
203-3			m ai ¹													
897-3			ⁿb j a ¹													
10189-3			h j e n ¹													
1592-3			s o k ¹													
6088-3			t j a ŋ ¹													
2975-3			ⁿd aː ŋ ¹													
6714-3			h u m ¹													
731-3			q a m ¹													
2722-3			j u ¹													
5637-3			qʰ aː t ¹													
765-3			j i k ¹													
1695-3			h i m ¹													
2112-3			ɕ j u ¹													
6634-3			m a ¹													
7331-3			ˀn a ¹													
7348-3			ⁿb aː ŋ ¹													
6527-3			t i ¹													
3568-3			z a n ¹													
4378-3			ɣ aːi ¹													
6292-3			ⁿd j ə n ¹													
3585-3			v aː ŋ ¹													
4428-3			ⁿd a m ¹													
7046-3			h j a ŋ ¹													
1915-3			ʔ j a m ¹													
4518-3			k u ŋ ¹													
2516-3			s j aːu ¹													
4480-3			ⁿb aː n ¹													
2499-3			ⁿb j aː k ¹													
5584-3			h o ¹													
2429-3			h ui ¹													
5224-3			q aːu ¹													
3464-3			j a k ¹													
10142-3			t o ŋ ¹													
7159-3			v a n ¹													
6599-3			n ui ¹													
10207-3			m u ¹													
6837-3			s ə n ¹													
2654-3			v i ¹													
367-3			v u k ¹													
5858-3			ˀn j a ¹													
451-3			f a n ¹													
5944-3			h aː ŋ ¹													
512-3			l j aː k ¹													
7138-3			ʔ ui ¹													
4845-3			j a ¹													
4915-3			q aː t ¹													
10570-3			k ui ¹													
5300-3			ⁿb j aː n ¹													
5418-3			ȶ i ¹													
1748-3			f i k ¹													
3532-3			t u ¹													
310-3			t e ¹													
5368-3			f aː n ¹													
4321-3			t a p ¹													
5065-3			kʰ e ¹													
5961-3			l aː k ¹													
1450-3			t a ¹													
10430-3			ⁿd i ¹													
6210-3			t au ¹													
5468-3			z ə n ¹													
6685-3			h aːu ¹													
6882-4				f a t ¹												
6485-4				f a n ¹												
4690-4				m o n ¹												
5671-4				f a n ¹												
4272-4				l aː ¹												
10935-4				f e ¹												
4760-4				n j a n ¹												
1881-4				v a n ¹												
4777-4				ɕ a t ¹												
10969-4				v a n ¹												
10970-4				ɣ u ¹												
10206-4				v a n ¹												
6565-4				k a n ¹												
1281-4				j i n ¹												
10569-4				n a m ¹												
6899-4				pʰ j u ŋ ¹												
7081-4				k ui ¹												
4090-4				ⁿd a m ¹												
2197-4				h u m ¹												
3352-4				t i ¹												
