COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
5893-2		kʰ w u n ¹														
2857-2		t i n ¹														
3645-2		ɣ aː n ¹														
3032-2		Ø j aː n ¹														
2088-2		v j a n ¹														
2463-2		p u ¹														
4794-2		n i ¹														
4569-2		l u ŋ ¹														
4586-2		Ø w u ¹														
4552-2		p a ¹														
3228-2		q o ŋ ¹														
3245-2		j a ¹														
6651-2		l aː k ¹														
6652-2		Ø aː n ¹														
1817-2		l aː k ¹														
1818-2		v j aː k ¹														
11052-2		n u ¹														
1230-2		l aː k ¹														
3380-2		h e k ¹														
8174-2		ɣ u m ¹														
8599-2		p j a m ¹														
7782-2		ⁿd j ai ¹														
8294-2		l i k ¹														
8514-2		h Ø ¹														
9669-2		l j a k ¹														
8531-2		p Ø ¹														
7954-2		ʔ u k ¹														
9968-2		s aː m ¹														
8040-2		t a ¹														
9304-2		Ø i ¹														
8345-2		t o k ¹														
8765-2		Ø w o k ¹														
8849-2		s e ŋ ¹														
9286-2		k Ø aː ŋ ¹														
9581-2		n w u n ¹														
9267-2		l Ø a ¹														
8497-2		Ø Ø n ¹														
7602-2		ʔ aː p ¹														
8431-2		v j Ø n ¹														
10036-2		s u k ¹														
10019-2		l a k ¹														
9216-2		n e ¹														
8074-2		q a t ¹														
9511-2		p a n ¹														
8243-2		ʔ j a m ¹														
9250-2		t j e m ¹														
7568-2		s Ø ¹														
8832-2		k u ¹														
8057-2		ŋ e ¹														
7716-2		h u p ¹														
9899-2		Ø i ¹														
7585-2		kʰ au ¹														
8582-2		m j a ¹														
9097-2		l a m ¹														
10125-2		v a ¹														
9460-2		l Ø ¹														
9649-2		Ø w u t ¹														
9870-2		ŋ a p ¹														
8680-2		ŋ a m ¹														
7699-2		Ø i t ¹														
9001-2		ŋ Ø a t ¹														
9494-2		t i p ¹														
7666-2		ɕ w Ø n ¹														
9598-2		t a k ¹														
8023-2		q u m ¹														
9053-2		ɣ u t ¹														
10091-2		s Ø k ¹														
10002-2		Ø j aːu ¹														
7765-2		t aːu ¹														
8800-2		ˀm e ¹														
9934-2		k a ¹														
9985-2		ʔ aːu ¹														
7850-2		t aː p ¹														
7816-2		ʔ a m ¹														
8663-2		ʔ u m ¹														
8697-2		Ø i t ¹														
9615-2		w j a n ¹														
8362-2		t Ø t ¹														
8091-2		t ai ¹														
8748-2		h a ¹														
22-2		Ø aːu ¹														
11084-2		s aːu ¹														
7365-2		n Ø ¹														
4201-2		s w i ¹														
5841-2		Ø a ¹														
4640-2		t a ¹														
662-2		l Ø n ¹														
384-2		Ø aːu ¹														
5151-2		m e ¹														
1399-2		t o ¹														
5259-2		ʔ j Ø t ¹														
10353-2		ɣ a ¹														
10370-2		Ø i ¹														
7401-2		h aː m ¹														
2958-2		h i ¹														
2770-2		ŋ o ¹														
6434-2		l j o k ¹														
6192-2		ɕ Ø t ¹														
2231-2		p aː t ¹														
5116-2		Ø u ¹														
7297-2		s w u p ¹														
3731-2		p e k ¹														
748-2		ˀn a m ¹														
2180-2		h a m ¹														
4107-2		Ø a m ¹														
2688-2		k w o n ¹														
616-2		k Ø ŋ ¹														
1898-2		Ø a k ¹														
203-2		ˀm ai ¹														
897-2		v j a ¹														
10189-2		ɕ ŋ e n ¹														
1592-2		s o k ¹														
6088-2		t j a ŋ ¹														
2975-2		ⁿd aː ŋ ¹														
6714-2		h u m ¹														
731-2		q a m ¹														
2722-2		j u ¹														
5637-2		Ø aː t ¹														
765-2		j i k ¹														
1695-2		kʰ i m ¹														
2112-2		Ø j u ¹														
6634-2		ˀm a ¹														
7331-2		ˀn a ¹														
7348-2		v aː ŋ ¹														
6527-2		t i ¹														
3568-2		Ø a n ¹														
4378-2		ɣ Ø ¹														
6292-2		ⁿd j Ø n ¹														
3585-2		v w aː ŋ ¹														
4428-2		ⁿd a m ¹														
7046-2		ɕ a ŋ ¹														
1915-2		ʔ j a m ¹														
4518-2		k u ŋ ¹														
2516-2		s j au ¹														
4480-2		Ø aː n ¹														
2499-2		v j aː k ¹														
5584-2		h o ¹														
2429-2		h Ø ¹														
5224-2		q aːu ¹														
3464-2		kʰ a k ¹														
10142-2		t o ŋ ¹														
7159-2		v a n ¹														
6599-2		ˀn Ø ¹														
10207-2		ˀm u ¹														
6837-2		s Ø n ¹														
367-2		v w u k ¹														
5858-2		ˀn j a ¹														
451-2		Ø a n ¹														
5944-2		h aː ŋ ¹														
512-2		l j aː k ¹														
7138-2		ʔ a ¹														
4915-2		q aː t ¹														
10570-2		k a ¹														
5300-2		v j aː n ¹														
5418-2		Ø i w ¹														
1748-2		Ø i k ¹														
310-2		t e ¹														
5368-2		Ø a n ¹														
4321-2		t a p ¹														
5065-2		kʰ e ¹														
5961-2		l aː k ¹														
1450-2		t a ¹														
10430-2		Ø Ø ¹														
6210-2		t w au ¹														
5468-2		Ø Ø n ¹														
6685-2		h aːu ¹														
89-2		k a ¹														
153-2		s a ¹														
120-2		m j u ¹														
50-2		ʔ j Ø ¹														
8866-2		l j aː k ¹														
9165-2		k aː k ¹														
7919-2		t a ŋ ¹														
9765-2		s w o t ¹														
7520-2		ɣ aːu ¹														
8883-2		p o ¹														
8565-2		h u ŋ ¹														
9686-2		t j Ø t ¹														
10108-2		v j Ø t ¹														
10073-2		t a m ¹														
1536-2		l j u ¹														
9131-2		h aː k ¹														
8799-2		ɣ o ¹														
8124-2		Ø j aː m ¹														
8448-2		l aː m ¹														
8714-2		Ø i t ¹														
5317-2		ŋ u k ¹														
1138-2		Ø j e n ¹														
1502-2		Ø i t ¹														
3109-2		Ø j a m ¹														
3334-2		Ø a ¹														
3840-2		ŋ aː n ¹														
3748-2		ʔ j aː k ¹														
3015-2		t i k ¹														
7262-2		Ø a n ¹														
10635-2		ɣ a k ¹														
697-2		l aːu ¹														
5031-2		Ø j ai ¹														
1553-2		q o m ¹														
224-2		t w Ø ¹														
186-2		t j a ŋ ¹														
5185-2		ˀn a m ¹														
1484-2		Ø a ¹														
1000-2		p u p ¹														
1646-2		Ø a ¹														
565-2		t o ¹														
1299-2		Ø i m ¹														
1180-2		t e ¹														
4008-2		q u ¹														
6774-2		l Ø ¹														
7063-2		v i n ¹														
492-2		t j e m ¹														
1627-2		kʰ u ŋ ¹														
3951-2		m ai ¹														
6684-2		l aː k ¹														
1850-2		l aː k ¹														
3262-2		l aː k ¹														
7551-2		tʰ au ¹														
9443-2		tʰ aːu ¹														
9545-2		h i p ¹														
7650-2		Ø w e t ¹														
7833-2		tʰ j a k ¹														
9148-2		ʔ j au ¹														
9036-2		Ø a ¹														
8904-2		m a ŋ ¹														
7683-2		Ø a m ¹														
8227-2		s a ¹														
8616-2		ˀn a ŋ ¹														
11112-2		Ø a ¹														
7315-2		Ø a ¹														
10652-2		n i ¹														
10653-2		m aː ŋ ¹														
5241-2		t i ¹														
3398-2		Ø o t ¹														
2357-2		Ø i ŋ ¹														
1610-2		ɣ aː ŋ ¹														
10716-2		p aː k ¹														
5980-2		q u w ¹														
1344-2		ɣ aː ŋ ¹														
4411-2		Ø u p ¹														
6070-2		ⁿd e ¹														
6139-2		v a n ¹														
3293-2		ŋ Ø aː ŋ ¹														
4039-2		m i t ¹														
10273-2		v u ¹														
4056-2		h Ø n ¹														
10503-2		w Ø aː ŋ ¹														
10765-2		v j aː k ¹														
3713-2		ʔ u ŋ ¹														
9782-2		v Ø t ¹														
8922-2		q au ¹														
7936-2		ⁿd a m ¹														
9751-2		p j aː k ¹														
5520-2		ⁿd j o ŋ ¹														
1367-2		l i ŋ ¹														
4124-2		Ø e ¹														
6053-2		ˀn a ŋ ¹														
6469-2		ɣ u m ¹														
6510-2		Ø w aː n ¹														
3414-2		Ø j aː n ¹														
2889-2		l j Ø ¹														
4707-2		Ø j a k ¹														
401-2		n̥ o ¹														
3351-2		t a ¹														
532-2		p i ¹														
1416-2		l a m ¹														
5334-2		p o ¹														
10797-2		l Ø ¹														
5688-2		n̥ o ¹														
3858-2		n a ¹														
4497-2		ʔ e ¹														
3662-2		p aːu ¹														
10256-2		Ø j a n ¹														
2622-2		m j a ¹														
6451-2		p i ¹														
5401-2		n̥ j a w ¹														
2341-2		q e ¹														
5807-2		ʔ au ¹														
