COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
145-4				m o + t e k a h + tɬ i					
176-4				t a k a + tɬ					
179-4				n a k a + tɬ					
180-4				m e ts + tɬ i					
186-4				k e tʃ + tɬ i					
190-4				j a k					
194-4				s e					
220-4				o h + tɬ i					
231-4				i tɬ a					
240-4				k o tʃ i					
283-4				t e + tɬ					
293-4				i n					
314-4				k w a w i + tɬ					
315-4				o h m e					
322-4				t e h w a					
1-5					m o tʃ i				
2-5					t e g o + n iː x + t i				
8-5					w eː j				
16-5					e s + t i				
24-5					i s t i				
32-5					m i k				
51-5					o n + i				
52-5					w aː k				
53-5					n a k a s				
54-5					t aː h l i				
55-5					b a				
60-5					iː x				
83-5					t i k + t i				
87-5					p a t a n i				
92-5					m a g a				
103-5					m a				
106-5					g a k				
138-5					n e h a				
139-5					m i k + t i				
142-5					m a t i				
145-5					m o + t e g a				
176-5					t aː k a + t				
179-5					n a k a + t				
180-5					m iː ts + t i				
186-5					g e tʃ				
190-5					j a k				
194-5					s eː				
220-5					o h + t i				
231-5					i t a				
240-5					g o tʃ i				
283-5					t e + t				
293-5					i n				
314-5					b a w i + t				
315-5					o m e				
322-5					t e h a n				
1-6						m u tʃ i h			
2-6						t e k u m a + t + n i x + t i			
8-6						w e j			
16-6						e s + t i			
24-6						i s t i			
32-6						m i k i			
51-6						u n + i			
52-6						w aː k + t u k			
53-6						n a k a s			
54-6						t aː l			
55-6						k w a			
60-6						iː x			
83-6						t i + t			
87-6						p a t a n i			
92-6						m a k a			
103-6						m a + n			
106-6						k a k			
138-6						n e n			
139-6						m i k + t i a			
142-6						m a t i			
145-6						m u + t e k a			
176-6						t a k a + t			
179-6						n a k a + t			
180-6						m e ts + t i			
186-6						k e tʃ			
190-6						j a k + t			
194-6						s e			
220-6						u h + t i			
231-6						i t a			
240-6						k u m a + t tʃ i n			
283-6						t uː m i + t			
293-6						i n			
314-6						k w a w i + t			
315-6						uː m e			
322-6						t a n			
1-7							n o tʃ o m		
2-7							n e x + t i		
8-7							eː w		
16-7							e s + t i		
24-7							i s t o + t		
32-7							m i k		
51-7							x n + i		
52-7							w a k		
53-7							n e k e s + t		
54-7							t e l		
55-7							k w a i		
60-7							w x + t e l o l o		
83-7							t o + t		
87-7							p a t e n i		
92-7							x + m a k		
103-7							a x + m		
106-7							k a k		
138-7							a n		
139-7							o + m o + k a t i		
142-7							m a t i		
145-7							o + t e x + m k		
176-7							t a k a + t		
179-7							n e k e + t		
180-7							m e ts + t i		
186-7							k e tʃ + t		
190-7							j a k + t		
194-7							s e		
220-7							o h + t		
231-7							a t i		
240-7							k o tʃ o m		
283-7							t e + t		
293-7							i n i		
314-7							k w a w + t		
315-7							o m e		
322-7							t e h e m t		
1-8								m o + tʃ ɨ	
2-8								n ɨ x + tɬ ɨ	
8-8								w e h e j	
16-8								ɨ s + tɬ ɨ	
24-8								i s t ɨ + tɬ	
32-8								m ɨ + k ɨ	
51-8								oː n + ɨ	
52-8								w a h ɨ + k	
53-8								n a k a s + tɬ ɨ	
54-8								tɬ a l + l ɨ	
55-8								k w a	
60-8								x i	
83-8								t ɨ + tɬ	
87-8								p a + tɬ a n ɨ	
92-8								m a k a	
103-8								m aː h ɨ + tɬ	
106-8								k a + k	
138-8								n ɨ + h a	
139-8								m ɨ + k + t ɨ + h a	
142-8								m a + tɬ ɨ	
145-8								m o + t ɨ + k aː h ɨ + tɬ	
176-8								t aː + k a + tɬ	
179-8								n a k a + tɬ	
180-8								m ɨ ts + tɬ ɨ	
186-8								k ɨ tʃ + tɬ ɨ	
190-8								j a k + tɬ	
194-8								s e	
220-8								o h + tɬ ɨ	
231-8								i tɬ a	
240-8								k o tʃ ɨ	
283-8								t ɨ + tɬ	
293-8								ɨ n ɨ	
314-8								k w a w ɨ + tɬ	
315-8								oː m ɨ	
322-8								t ə h a n	
1-9									m o tʃ iː
2-9									n e x + tɬ iː
8-9									b e j
16-9									j e s + tɬ iː
24-9									iː s t iː
32-9									m iː k iː
51-9									o n + iː
52-9									w a h + k iː
53-9									n a k a s
54-9									tɬ ø l iː
55-9									k w a
60-9									i x
83-9									tɬ i + tɬ
87-9									p a tɬ a n iː
92-9									m a k a
103-9									m a
106-9									k a k iː
138-9									n e h a
139-9									m iː k + t iː a
142-9									m a t iː
145-9									m o + t e k a
176-9									t ø k a + j u + tɬ
179-9									n a k a + j u + tɬ
180-9									m e ts + tɬ iː
186-9									k e tʃ + tɬ iː
190-9									j a k
194-9									s i e
220-9									o h + tɬ iː
231-9									iː tɬ a
240-9									k o tʃ iː
283-9									t e + tɬ
293-9									iː n iː
314-9									k w a b iː + tɬ
315-9									u m e
322-9									t e h w a n + k
