COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
51-3			o n + i + a						
52-3			w aː k + t o ʔ						
53-3			n a k a s						
54-3			t aː h l i						
55-3			k w a						
60-3			iː x						
83-3			t i ʔ + t i						
87-3			p a t aː n i						
92-3			m a k a						
103-3			m a j i ʔ						
106-3			k a k i						
138-3			n e h						
139-3			m i k + t i a						
142-3			m a t i						
145-3			m o + t eː c a						
176-3			t aː g a + ʔ						
179-3			n a k a + ʔ						
180-3			m eː ts + t i						
186-3			k e tʃ						
190-3			j a k + t i						
194-3			s eː						
220-3			o h + t i						
231-3			i t a						
240-3			k o tʃ i						
283-3			t e ʔ + t i						
293-3			i n + iː n						
314-3			k w a w i + ʔ						
315-3			oː m e						
322-3			t e h a m e h						
323-3			t eː						
9-3			t oː t oː + ʔ						
17-3			o m i + ʔ						
22-3			t a t i a						
30-3			w iː ʔ						
88-3			i kx i						
158-3			w eː j a k t i ʔ						
159-3			a t i m i ʔ						
177-3			m i a ʔ						
184-3			t oː k aː + ʔ						
187-3			j a m k w i + ʔ						
227-3			x aː h l i						
1-4				n o tʃ i + n					
2-4				tɬ e k o + n e x + tɬ i					
8-4				w e j i					
16-4				j e s + tɬ i					
24-4				i s t + n					
32-4				m i k i					
51-4				o n + i					
52-4				w a h + k i					
53-4				n a k a s					
54-4				tɬ a l i					
55-4				k w a					
60-4				i x + t e l o l o					
83-4				tɬ e + tɬ					
87-4				p a tɬ a n i					
92-4				m a k a					
103-4				m a + n					
106-4				k a k i					
138-4				n e h w a + tɬ					
139-4				m i k + t i a					
142-4				m a t i					
145-4				m o + t e k a					
176-4				tɬ a k a tɬ					
179-4				n a k a + tɬ					
180-4				m e ts + tɬ i					
186-4				k e tʃ					
190-4				j e k a + k					
194-4				s e j a					
220-4				o h + tɬ i					
231-4				i t a					
240-4				k o tʃ i					
283-4				t e + tɬ					
293-4				i n + i n					
314-4				k o w i + tɬ					
315-4				o m e					
322-4				t e h w a n					
323-4				tɬ e n					
9-4				t o t o + tɬ					
17-4				o h m i + tɬ					
30-4				w i ts					
88-4				i kx i					
158-4				w e j a k					
177-4				m i a k					
184-4				t o k a h + tɬ i					
187-4				j a n k w i + k					
227-4				x a l i					
1-5					n o tʃ i				
2-5					b a + n eː x				
8-5					w eː j				
16-5					e s + t i				
24-5					i s t i				
32-5					m i g i				
51-5					o n + i				
52-5					w aː k + t o k				
53-5					n a g a s				
54-5					t aː h l i				
55-5					b aː				
60-5					iː x + t o l o l o				
83-5					t i + t				
87-5					p a t aː n i				
92-5					m a g a				
103-5					m aː				
106-5					g a g i				
138-5					n e h a				
139-5					m i k + t i a				
142-5					m a t i				
145-5					m o + t e g a				
176-5					t aː g a + t				
179-5					n a g a + t				
180-5					m eː s + t i				
186-5					g eː tʃ				
190-5					j a g a + t				
194-5					s e				
220-5					o h + t i				
231-5					i t a				
240-5					g o tʃ i				
283-5					t e + t				
293-5					h iː n				
314-5					b a w i + t				
315-5					oː m e				
322-5					t e h a m e h				
323-5					t eː				
9-5					t oː t o + t				
17-5					o m i + t				
22-5					t a t a				
30-5					w iː ts				
88-5					i kx i				
158-5					w eː j a k				
159-5					aː t i n				
177-5					m i a k				
184-5					t o g a				
187-5					j a m b i + k				
227-5					x aː h l i				
1-6						m u tʃ i			
2-6						n e x + t i			
8-6						w eː j			
16-6						e s + t i			
24-6						i s t i + t			
32-6						m i k i			
51-6						u n + i			
52-6						w aː k + t u k			
53-6						n a k a s			
54-6						t aː l			
55-6						k w a			
60-6						iː x			
83-6						t iː + t			
87-6						p a t aː n i			
92-6						m a k a			
103-6						m e j			
106-6						k aː k i			
138-6						n a			
139-6						m i k + t i a			
142-6						m a t i			
145-6						m u + t eː k a			
176-6						t aː k a + t			
179-6						n a k a + t			
180-6						m eː ts + t i			
186-6						k e tʃ + k uː j u			
190-6						j a k			
194-6						s eː			
220-6						u h + t i			
231-6						i t a			
240-6						k u tʃ i			
283-6						t e + t			
293-6						i n i			
314-6						k w a w i + t			
315-6						uː m e			
322-6						t e h e m e t			
323-6						t aː			
9-6						t uː t u + t			
17-6						uː m i + t			
22-6						t a t i a			
30-6						w iː ts			
88-6						kx i			
158-6						w e j a k			
159-6						a t i m e + t			
177-6						m i j a k			
184-6						t uː k e j			
187-6						j a n k w i + k			
227-6						aː + x aː l			
1-7							n o tʃ o		
2-7							n o x + t		
8-7							h u h i o m		
16-7							e s + t		
24-7							o x + t		
32-7							m o k		
51-7							t e m + i		
52-7							w a k		
53-7							n e k e s + t		
54-7							t a l		
55-7							k w a		
60-7							i x + t o t o l u + t		
83-7							t e + t		
87-7							p a t a n k		
92-7							m e k a		
103-7							m a i		
106-7							k e k i		
138-7							n e n		
139-7							m o k t i		
142-7							m e t i		
145-7							t e k e		
176-7							o k o x + t		
179-7							n e k e + t		
180-7							m e s + t		
186-7							k o x + t		
190-7							j e k e + t		
194-7							s e		
220-7							o tʼ k a n		
231-7							i t a		
240-7							k o tʃ i		
283-7							t o + t		
293-7							i n a		
314-7							k w a g u + t		
315-7							o m e m		
322-7							t w e n		
323-7							t e		
17-7							o + t		
22-7							t a t i		
30-7							w i ts		
159-7							a t o m + t		
1-8								m o tʃ ɨ + m	
2-8								n ɨ x + tɬ ɨ	
8-8								w e h e j	
16-8								ɨ s + tɬ ɨ	
24-8								ɨ s t ɨ	
32-8								m ɨ k i	
51-8								i h i	
52-8								w aː k	
53-8								n a k a s + tɬ ɨ	
54-8								tɬ aː l + l ɨ	
55-8								k w a + h aː	
60-8								iː x	
83-8								tɬ a h i + tɬ	
87-8								p a tɬ aː n i	
92-8								m a k a	
103-8								m a h	
106-8								k a k i	
138-8								n a h a	
139-8								m ɨ k + t ɨ + h a	
142-8								m a t i	
145-8								m o + t eː k a	
176-8								tɬ aː k a + tɬ	
179-8								n a k a + tɬ	
180-8								m eː ts + tɬ ɨ	
186-8								k ə tʃ + tɬ ɨ	
190-8								j a k a + tɬ	
194-8								s eː	
220-8								o h + tɬ ɨ	
231-8								ɨ h t a	
240-8								k o tʃ ɨ	
283-8								t ə + tɬ	
293-8								i n	
314-8								k w a + w ɨ + tɬ	
315-8								oː m ə	
322-8								t ə h a + m ɨ + t	
323-8								tɬ a	
9-8								t oː t oː + tɬ	
17-8								oː m ɨ + tɬ	
22-8								tɬ a + t ɨ + h a	
30-8								w iː ts	
88-8								ɨ kx ɨ	
158-8								w e h e j a + k	
159-8								a t ɨ m ɨ + tɬ	
177-8								m ɨ j a k	
184-8								t oː k aː h ɨ + tɬ	
187-8								j a n k w i + k	
227-8								x aː l + l ɨ	
1-9									n o tʃ iː
2-9									tɬ a k o + n e x + tɬ iː
8-9									b i e j iː
16-9									j e s + tɬ iː
24-9									i s t e
32-9									m iː k iː
51-9									o n + i
52-9									w a h + k iː
53-9									n a k a s
54-9									tɬ ø l iː
55-9									k w a
60-9									i x + t e l o l o
83-9									tɬ e + ts i n + tɬ iː
87-9									p a tɬ ø n i
92-9									m a k a
103-9									m ø
106-9									k a k iː
138-9									n a h a
139-9									m iː k + t iː a
142-9									m a t iː
145-9									m o + t i e k a
176-9									u m b r e
179-9									n a k a + tɬ
180-9									m i e ts + tɬ iː
186-9									k e tʃ + k o tʃ tɬ a
190-9									j e k a + ts o l
194-9									s i e
220-9									o h + tɬ iː
231-9									ʰt a
240-9									k o tʃ iː
283-9									t i e + t e + t u
293-9									i n + i
314-9									k w a b iː + tɬ
315-9									u m e
322-9									t e h w a
323-9									tɬ i n iː n u
9-9									t u t u + tɬ
22-9									tɬ a t i a
30-9									i b i ts
88-9									i kx iː
158-9									b e j a k
159-9									a t iː m iː + tɬ
177-9									m e j a k
184-9									t u k ø
187-9									j a n k w iː + k
227-9									x ø l iː
