COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
249-3			p iː k + tɬ iː						
251-3			a iː m iː + a a a k e ts a						
289-3			k w iː tɬ a p iː l e a						
294-3			t e a						
313-3			tɬ a n Ø						
316-3			n e + n e m iː						
318-3			t iː t iː n iː k j						
320-3			a + tɬ						
324-3			iː s t a k a a a						
326-3			a u k						
1-4				n o tʃ iː u					
2-4				t x n e x + tɬ					
8-4				w e u t j x +					
16-4				t e s + tɬ iː					
24-4				iː s t iː					
32-4				m iː k iː					
51-4				u a o n + + iː + +					
52-4				w a k + t k					
53-4				n a k a s					
54-4				tɬ a l iː					
55-4				k w a u u u					
60-4				i x t e o o + + +					
83-4				t t + t e t u + tɬ t					
87-4				tʃ a tɬ a n + iː					
92-4				m a k a					
103-4				m a + u a					
106-4				k a k iː					
138-4				n e t					
139-4				m iː k + + t iː a u u u					
142-4				m a t iː					
145-4				m o + t e t k a a +					
176-4				t a t t k a + + tɬ					
179-4				n a k a + tɬ					
180-4				m e t ts + tɬ iː					
186-4				k e tʃ + + t					
190-4				j a k t + t t					
194-4				s e t					
220-4				o + + tɬ + iː +					
231-4				iː t a					
240-4				k o tʃ iː					
283-4				+ t t e + t t					
293-4				+ iː n x +					
314-4				k w a b iː + u u u tɬ					
315-4				u m e +					
322-4				t e a w e n u u u u u					
323-4				tɬ e t t t a					
9-4				t u t u + tɬ					
17-4				o m iː + tɬ					
30-4				w i ts					
88-4				x Ø i					
158-4				w e u j a k + + u u					
177-4				m i u a k + i					
184-4				t u k a u					
187-4				j a n k w iː + k					
227-4				+ + x x l iː					
235-4				m o + tɬ a l i a + a a a +					
249-4				Ø u k + tɬ i					
251-4				x x m o + k e ts a					
289-4				k w iː tɬ a iː i l u					
294-4				t e t a					
296-4				n e n e iː iː l u					
313-4				tɬ a n t					
316-4				n e + n e m iː					
318-4				t u t x n iː k					
320-4				a + tɬ					
324-4				t iː s t t a k u u u					
326-4				a + k + + +					
1-5					Ø o Ø iː +				
2-5					a n e x Ø Ø iː				
8-5					w e a Ø				
16-5					e s + tɬ iː				
24-5					iː s t iː + Ø				
32-5					m iː k				
51-5					a o n + a iː a				
52-5					w a k + tɬ				
53-5					n a k a s e				
54-5					tɬ a a l e e				
55-5					k w a a a a				
60-5					iː x Ø l o				
83-5					tɬ e Ø a + tɬ				
87-5					p a tɬ a n				
92-5					m a k a				
103-5					m a a Ø a				
106-5					k a k				
138-5					n e h Ø				
139-5					m iː k + t iː a a a a				
142-5					m a t				
145-5					m o + t e k a a a				
176-5					ʰt Ø k a + tɬ				
179-5					n a k a + tɬ				
180-5					m i ts + tɬ iː				
186-5					k e x Ø				
190-5					Ø a k + tɬ				
194-5					s e				
220-5					o + tɬ iː				
231-5					iː t a				
240-5					k o Ø				
283-5					a a a t e + tɬ				
293-5					a iː n				
314-5					k w a w + a a a tɬ				
315-5					u m e				
322-5					t e a w a n a a a a a				
323-5					tɬ e a				
9-5					t Ø t Ø + tɬ				
17-5					o m iː + tɬ				
22-5					tɬ a t iː a a a a a a a				
30-5					a w i ts				
88-5					Ø iː Ø Ø				
158-5					w Ø a e Ø a k a a				
159-5					a t e m Ø				
177-5					m iː a k				
184-5					t Ø k a a a + tɬ				
187-5					Ø a n k w iː + k				
227-5					x a a l e				
235-5					m o + tɬ a l iː a a a a a a				
249-5					p Ø k + tɬ iː				
251-5					m o + a a a k e ts a				
289-5					k w iː tɬ a p i l e a				
294-5					t e h Ø a Ø Ø				
296-5					n e n e p l e e e Ø				
313-5					tɬ a n Ø				
316-5					n e h + n e m iː				
318-5					Ø t o t Ø n iː k Ø				
320-5					a a a Ø + tɬ				
324-5					iː s t a k a a a				
326-5					a a k				
1-6						n iː tʃ i +			
2-6						u u h a n e x + tɬ			
8-6						w e u u j h			
16-6						u e s + tɬ i			
24-6						i s t iː +			
32-6						m i k iː			
51-6						h iː n + u l iː			
52-6						w a k Ø iː h			
53-6						n a k a s +			
54-6						tɬ a l iː +			
55-6						k w a u u u			
60-6						e x + t e iː iː h h			
83-6						u u tɬ e u u + tɬ h			
87-6						Ø a tɬ a n h iː			
92-6						m a k a			
103-6						m a h u +			
106-6						k a k iː			
138-6						n e Ø +			
139-6						m i Ø h + t i a u u u			
142-6						m a t iː			
145-6						m iː + t e u k a l l			
176-6						t a u u k a + tɬ			
179-6						n a k a + tɬ			
180-6						m e u Ø + tɬ i			
186-6						k e tʃ u u u			
190-6						j e k a + tɬ u u			
194-6						s e j u			
220-6						iː + + h tɬ h iː h			
231-6						iː u t a			
240-6						k iː tʃ iː			
283-6						u u l u t e h + tɬ h			
293-6						e n			
314-6						k w e w iː + u u u tɬ			
315-6						u m e h			
322-6						t e + u w Ø n u u u u u			
323-6						tɬ e u u u			
9-6						t u t u + tɬ			
17-6						iː u m i + tɬ			
22-6						tɬ a t e u u u u u u			
30-6						u w e ts			
88-6						iː Ø i			
158-6						w e u j a Ø h h h u u			
159-6						e t e m h + tɬ			
177-6						m i u a k l i h			
184-6						t u k e u u + tɬ			
187-6						j a n k w iː + k			
227-6						x a l iː +			
235-6						m iː + tɬ a l i a a l l l l			
249-6						Ø u Ø + tɬ i			
251-6						l l m iː + l l l k e ts a			
289-6						k w iː tɬ a i l + u			
294-6						t e a			
296-6						n e n e iː l + u u h			
313-6						tɬ a n u			
316-6						n e + n e m iː			
318-6						+ t iː t n iː Ø u			
320-6						u u a h + tɬ			
324-6						u iː s t u u a k u u u			
1-7							n o tʃ iː		
2-7							n a x + tɬ iː		
8-7							w a j		
16-7							a Ø + tɬ iː		
24-7							iː Ø t iː tɬ		
32-7							Ø iː Ø iː		
51-7							o n iː iː iː iː		
52-7							w a Ø + Ø iː iː		
53-7							n a Ø a Ø		
54-7							tɬ a iː iː		
55-7							Ø w a		
60-7							iː x b b b		
83-7							tɬ iː + tɬ		
87-7							Ø a tɬ a n iː		
92-7							Ø a a		
103-7							Ø a iː		
106-7							Ø a iː		
138-7							n a + b a tɬ		
139-7							Ø iː Ø + t iː a		
142-7							Ø a t		
145-7							Ø o + t a Ø a iː iː		
176-7							a Ø a + tɬ		
179-7							n a Ø a + b		
180-7							Ø Ø + tɬ iː		
186-7							Ø a tʃ + b		
190-7							j a Ø + tɬ		
194-7							Ø a		
220-7							o Ø + tɬ iː		
231-7							iː t a		
240-7							Ø o tʃ iː		
283-7							iː t a + tɬ		
293-7							iː iː n iː		
314-7							Ø w a w iː + b		
315-7							o Ø a		
322-7							t a Ø iː w a n		
323-7							tɬ a		
17-7							o Ø iː + tɬ		
22-7							tɬ a tɬ iː a		
30-7							w		
159-7							a tɬ iː + b		
251-7							b o Ø a a		
296-7							n a n a iː iː iː		
320-7							a + tɬ		
326-7							a iː Ø		
1-8								n o tʃ i + e	
2-8								h h k h x + n Ø Ø + tɬ i	
8-8								a a w a e j	
16-8								j e s + tɬ i	
24-8								i s t iː + e	
32-8								m i k iː	
51-8								a o n + + iː h h	
52-8								w a Ø + Ø Ø x	
53-8								n a k a s + e e	
54-8								tɬ a x l Ø e e	
55-8								k w e	
60-8								i Ø + t e e o l o e a a	
83-8								h h tɬ Ø h + tɬ h	
87-8								Ø a tɬ a n a iː	
92-8								m a k a	
103-8								m a h h h a +	
106-8								k a k iː	
138-8								n e l e + + e	
139-8								m i Ø a e + t i a	
142-8								m a t iː	
145-8								m o + t e h k a a +	
176-8								tɬ iː h h k a a + tɬ	
179-8								n a k a + tɬ	
180-8								m e h s + tɬ i	
186-8								k Ø tʃ + h h h tɬ e	
190-8								j e k + + tɬ h h	
194-8								s e j h	
220-8								o x + a tɬ a i a	
231-8								iː t a	
240-8								k o tʃ iː	
283-8								+ + + h a t e h + tɬ h	
293-8								+ iː n h	
314-8								k w e w iː + tɬ	
315-8								o m e a	
322-8								t Ø x x m Ø n	
323-8								tɬ Ø h h h a	
9-8								t o t o + tɬ	
17-8								o h m i + tɬ	
22-8								tɬ e t iː h	
30-8								+ w iː k	
88-8								Ø Ø iː + e	
158-8								w e e j a Ø h h h	
159-8								e t i m iː h + tɬ	
177-8								m iː h a k a e h	
184-8								t x k a h + tɬ	
187-8								j a n k w iː + k	
227-8								h h Ø a x l Ø + e e	
235-8								m o + tɬ a l iː a a a a a a	
249-8								Ø o Ø + tɬ iː	
251-8								a a m o + + + + + k Ø Ø a	
289-8								k w iː tɬ a Ø iː l + e e	
294-8								t e u e a + e	
296-8								n Ø n Ø x iː l h e h h e	
313-8								tɬ a n Ø e h	
316-8								n e l + n e m iː	
318-8								e e + t o t x n x k Ø e	
320-8								+ + a h + tɬ h	
324-8								h iː s t h h a k	
326-8								a a k h h	
1-9									n o tʃ i
2-9									+ + + n e x + tɬ i
8-9									w e j
16-9									e s + tɬ iː
24-9									i s t e
32-9									m i k iː
51-9									o n + + iː + +
52-9									w a k + t o +
53-9									n a k a s + tɬ
54-9									tɬ a + l iː
55-9									k w a
60-9									i x + u u
83-9									tɬ e + tɬ +
87-9									tʃ a tɬ a n iː
92-9									m a k a
103-9									m a + +
106-9									k a k iː
138-9									n e +
139-9									m i k + t iː a
142-9									m a t iː
145-9									m o + t e k a + +
176-9									tɬ a k a + tɬ
179-9									n a k a + tɬ
180-9									m e ts + tɬ iː
186-9									k e tʃ + tɬ iː + +
190-9									j a k a + tɬ +
194-9									s e
220-9									o + tɬ i
231-9									iː t a
240-9									k o tʃ iː
283-9									+ + + + t e + + tɬ +
293-9									+ iː n +
314-9									k w a w iː + tɬ
315-9									u m e
322-9									t e + w e n
323-9									tɬ e +
9-9									t u t u + tɬ
22-9									tɬ a t iː
30-9									w i ts
88-9									iː Ø i
158-9									w e j a k + + +
159-9									a t e m iː + tɬ
177-9									m i a k + i
184-9									t u k a +
187-9									j a n k w i + k
227-9									+ + x a + l iː
235-9									m o + a l i a + +
249-9									tʃ u k + tɬ i
251-9									m o + k e ts a
289-9									k w i a tʃ i l
294-9									t e i
296-9									n e n e iː l
313-9									tɬ a n + tɬ
316-9									n e + n e m i
318-9									t o t u n iː k
320-9									a + tɬ +
324-9									i s t a k
326-9									a + k
