COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
16-7							m i tʃ o m		
24-7							t u n e l		
32-7							a x + t		
51-7							m i tʃ o m		
52-7							ts o n		
53-7							m i tʃ o m		
54-7							t u n e l		
55-7							a + t		
60-7							t u n e l		
83-7							t u n e l		
87-7							ts o n		
92-7							ts o n		
103-7							a + t		
106-7							a + t		
138-7							t u n e l		
139-7							m i tʃ o m		
142-7							m i tʃ o m		
145-7							m i tʃ o m		
176-7							t u n e l		
179-7							t u n e l		
180-7							m i tʃ o m		
186-7							m i tʃ o m		
190-7							ts o n		
194-7							a + t		
220-7							a + t		
231-7							t u n e l		
240-7							a + t		
283-7							t u n e l		
293-7							t e n		
314-7							ts o n		
315-7							m i tʃ o m		
322-7							t u n e l		
323-7							t u n e l		
17-7							m i tʃ o m		
22-7							t u n e l		
30-7							m i tʃ o m		
159-7							t u n e l		
1-8								j oː l	
2-8								p oː k + tɬ ɨ	
8-8								n ɨ h	
16-8								m i x + tɬ ɨ	
24-8								ɨ h t ɨ	
32-8								m i x + tɬ ɨ	
51-8								t eː n + tɬ ɨ	
52-8								k ɨ ts a	
53-8								j o w a l	
54-8								t eː n + tɬ ɨ	
55-8								s i	
60-8								k ɨ ts a	
83-8								t eː n + tɬ ɨ	
87-8								k ɨ ts a	
92-8								k ɨ ts a	
103-8								oː n	
106-8								k ɨ ts a	
138-8								n ɨ h	
139-8								m i x + tɬ ɨ	
142-8								ts o m	
145-8								k ɨ ts a	
176-8								ts o m	
179-8								j o w a l	
180-8								m i x + tɬ ɨ	
186-8								k ɨ ts a	
190-8								k ɨ ts a	
194-8								s i	
220-8								k ɨ ts a	
231-8								s i	
240-8								k ɨ ts a	
283-8								t eː n + tɬ ɨ	
293-8								oː n	
314-8								k ɨ ts a	
315-8								oː n	
322-8								t eː n + tɬ ɨ	
323-8								t ə h a	
9-8								t eː n + tɬ ɨ	
17-8								k ɨ ts a	
22-8								t ə h a	
30-8								k ɨ ts a	
88-8								oː n	
158-8								k ɨ ts a	
159-8								ts o m	
177-8								ɨ s w a + tɬ	
184-8								t ə h a	
187-8								j o w a l	
227-8								k ɨ ts a	
1-9									m e x + tɬ iː
2-9									tɬ a n + k o tʃ
8-9									tɬ a n + tɬ iː
16-9									m e x + tɬ iː
24-9									i h t e
32-9									m o + tɬ iː
51-9									tɬ a n + tɬ iː
52-9									ts o n + tɬ iː
53-9									j u l o h + tɬ iː
54-9									tɬ a n + k o tʃ
55-9									p u k + tɬ iː
60-9									ts o n + tɬ iː
83-9									tɬ a n + tɬ iː
87-9									p u k + tɬ iː
92-9									p u k + tɬ iː
103-9									m o + tɬ iː
106-9									p u k + tɬ iː
138-9									n e n e p iː l
139-9									m o + k e ts a
142-9									m o + k e ts a
145-9									m o + k e ts a
176-9									tɬ a n + k o tʃ
179-9									j u l o h + tɬ iː
180-9									m e x + tɬ iː
186-9									m o + k e ts a
190-9									j u l o h + tɬ iː
194-9									i h t e
220-9									ts o n + tɬ i
231-9									tɬ a n + k iː
240-9									m o + k e ts a
283-9									t a h a
293-9									i h t e
314-9									p u k + tɬ iː
315-9									j e w a + tɬ
322-9									t a h a
323-9									t a h a
9-9									t a h a
22-9									tɬ a n + k o tʃ
30-9									m o + k e ts a
88-9									ts o n + tɬ iː
158-9									tɬ a n + tɬ iː
159-9									tɬ a n + k o tʃ
177-9									m o + k e ts a
184-9									t a h a
187-9									j e w a j o
227-9									ts o n + tɬ iː
