COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
184-3			t o k a j u + u						
187-3			j a n k w iː + k						
227-3			u u x a l e e						
1-4				n o tʃ iː					
2-4				+ + i n e x + tɬ u					
8-4				w e + j + +					
16-4				+ e s + tɬ iː					
24-4				iː s t iː					
32-4				m iː k iː					
51-4				+ i o n + + iː + +					
52-4				w i k + t iː k					
53-4				n a k a s					
54-4				tɬ i + l i					
55-4				k w a + + +					
60-4				i x iː iː iː + + +					
83-4				+ + t iː + + + tɬ +					
87-4				p a tɬ i n + iː					
92-4				m a k a					
103-4				m a + + + +					
106-4				k a k iː					
138-4				n e h i					
139-4				m iː k + + + t iː a + + +					
142-4				m a t iː					
145-4				m o + t e + k a + +					
176-4				t i + + k a + + tɬ					
179-4				n a k a + tɬ					
180-4				m e + ts + tɬ iː					
186-4				k e tʃ + +					
190-4				j a k + + +					
194-4				s e +					
220-4				o h + + tɬ + iː +					
231-4				iː t a					
240-4				k o tʃ iː					
283-4				+ + + + t e + + t +					
293-4				+ iː n x					
314-4				k w a b iː + + + + tɬ					
315-4				u m e +					
322-4				t e h a w e n + + + + +					
323-4				tɬ e + + + +					
9-4				t u t u + tɬ					
17-4				o m iː + tɬ					
30-4				+ w i ts					
88-4				iː Ø iː					
158-4				w e + j a k + + + + +					
177-4				m iː + a k					
184-4				t u k a + i					
187-4				j a n k w iː + k					
227-4				+ + x i l i					
1-5					m o Ø iː +				
2-5					ø n e x Ø Ø iː				
8-5					w e u u Ø u				
16-5					e s + tɬ iː				
24-5					iː s t iː + n				
32-5					m iː k				
51-5					ø o n + + iː ø ø				
52-5					w a k + tɬ n				
53-5					n a k a s e				
54-5					tɬ a + l i e				
55-5					k w a ø ø				
60-5					iː x o ø u u				
83-5					tɬ e n ø + tɬ i				
87-5					p a tɬ a n u				
92-5					m a k a				
103-5					m a ø u n				
106-5					k a k				
138-5					n e h Ø				
139-5					m iː k u u + t iː a ø ø				
142-5					m a t iː				
145-5					m o + t e k a + +				
176-5					ʰt Ø k a + tɬ				
179-5					n a k a + tɬ				
180-5					m e ts + tɬ iː				
186-5					k e x Ø				
190-5					Ø a k + Ø				
194-5					s e				
220-5					o h + u tɬ u iː u				
231-5					t a				
240-5					k o Ø				
283-5					+ + + t e n + tɬ i				
293-5					+ iː n				
314-5					k w a w + a ø tɬ				
315-5					u m e u				
322-5					t e h n w a n ø ø tʃ				
323-5					tɬ e +				
9-5					t u t Ø + tɬ				
17-5					o m iː + tɬ				
22-5					tɬ a t iː a tʃ				
30-5					+ w iː ts				
88-5					Ø iː Ø				
158-5					w Ø u e Ø a k u i n u				
159-5					a t e m o + Ø				
177-5					m iː u a k + + n				
184-5					t Ø k a u + tɬ iː				
187-5					Ø a n k w iː + k				
227-5					u u x i + l e				
1-6						n o tʃ iː + iː			
2-6						+ + n e x + tɬ			
8-6						w e + + j +			
16-6						e s + tɬ iː			
24-6						i s t +			
32-6						m iː k iː			
51-6						+ iː n + u u i + +			
52-6						w e k Ø iː n			
53-6						n a k a s iː iː			
54-6						tɬ a l iː iː iː			
55-6						k w a u u u			
60-6						iː x + t e iː iː + +			
83-6						u u tɬ e + u + tɬ u			
87-6						p a tɬ a n + iː			
92-6						m a k a			
103-6						m a + + +			
106-6						k a k iː			
138-6						n e h Ø +			
139-6						m iː k + + t iː a u u u			
142-6						m a t iː			
145-6						m o + t e u k a + +			
176-6						t a u u k a + tɬ			
179-6						n a k a + tɬ			
180-6						m e u ts + tɬ iː			
186-6						k e tʃ + u iː			
190-6						j e k + + Ø + u			
194-6						s e			
220-6						o h + + tɬ + iː +			
231-6						iː iː t a			
240-6						k o tʃ iː			
283-6						u u + u t e o + tɬ u			
293-6						i n +			
314-6						k w e w iː + + u u tɬ			
315-6						o m e +			
322-6						t e h w e n u u u u u			
323-6						tɬ e u u u			
9-6						t o t u + tɬ			
17-6						o m iː + tɬ			
22-6						tɬ e t i u u u u u u			
30-6						u w i ts			
88-6						i Ø iː			
158-6						w e u iː j a k + + o u u			
159-6						a t e m iː + tɬ			
177-6						m iː + a k + o			
184-6						t u k a u + tɬ			
187-6						j a n k w iː + k			
227-6						x a l iː iː iː			
1-7							n o tʃ iː		
2-7							iː iː n e x + tɬ iː		
8-7							w e j		
16-7							e Ø + tɬ iː		
24-7							iː Ø t iː iː		
32-7							Ø iː k iː		
51-7							o n + + iː iː iː		
52-7							w a k + k iː iː		
53-7							n a k a Ø		
54-7							tɬ a iː iː		
55-7							Ø w a		
60-7							iː x b b b		
83-7							tɬ e + tɬ		
87-7							Ø a tɬ a n iː		
92-7							Ø a k a		
103-7							Ø a iː i n		
106-7							k a k iː		
138-7							n e + b a tɬ		
139-7							Ø iː k + t iː a		
142-7							Ø a t		
145-7							Ø o + t e k a + +		
176-7							a k a + tɬ		
179-7							n a k a + tɬ		
180-7							Ø e ts + tɬ iː		
186-7							k e tʃ + b		
190-7							j a k + tɬ		
194-7							Ø e		
220-7							o Ø + tɬ iː		
231-7							iː t a		
240-7							k o tʃ iː		
283-7							+ t e n + tɬ		
293-7							+ iː n iː		
314-7							k w a w iː + tɬ		
315-7							o Ø e		
322-7							t e Ø iː w a n		
323-7							tɬ e		
17-7							o Ø iː + tɬ		
22-7							tɬ a tɬ iː a		
30-7							w ts		
159-7							a tɬ iː + b		
1-8								n o tʃ iː +	
2-8								u u k u iː + n Ø + tɬ iː	
8-8								u u w u e j	
16-8								u e s + tɬ iː	
24-8								iː s t iː + e	
32-8								m iː k iː	
51-8								a o n + u iː u u	
52-8								w a k + Ø Ø +	
53-8								n a k a s e	
54-8								tɬ a iː l Ø	
55-8								k w a	
60-8								i + e o e u u	
83-8								u u u tɬ Ø n + tɬ u	
87-8								p a tɬ a n u iː	
92-8								m a k a	
103-8								m a u u n + u	
106-8								k a k iː	
138-8								n e h + +	
139-8								m iː k u e + t iː a	
142-8								m a t iː	
145-8								m o + t e u k a + u	
176-8								tɬ a u u k a u + tɬ	
179-8								n a k a + tɬ	
180-8								m e u ts + tɬ iː	
186-8								k e tʃ + u u u tɬ	
190-8								j e k j + tɬ u u	
194-8								s e u u	
220-8								o h + u tɬ u iː u	
231-8								iː t a	
240-8								k o tʃ iː	
283-8								u u u u + t e n + tɬ u	
293-8								u iː n	
314-8								k w e w iː + tɬ	
315-8								o m e u	
322-8								t e h iː n e n	
323-8								tɬ Ø u u u +	
9-8								t o t o + tɬ	
17-8								o u m iː + tɬ	
22-8								tɬ e t iː	
30-8								u w iː ts	
88-8								iː Ø iː e	
158-8								w e e j a k u u n	
159-8								a t iː m + tɬ	
177-8								m iː u a k u e n	
184-8								t o k a iː + tɬ	
187-8								j a n k w iː + k	
227-8								u u Ø a l iː e	
1-9									n o tʃ i
2-9									+ ø iː + n e x + tɬ i
8-9									w e j ø iː
16-9									e s + tɬ iː
24-9									i s t e
32-9									m i k iː
51-9									ø + o n + + iː ø ø
52-9									w ø k + t iː n
53-9									n a k a s + tɬ
54-9									tɬ ø l iː
55-9									k w a ø ø
60-9									i x + + l o l u ø ø
83-9									tɬ e n ø + tɬ ø
87-9									tʃ a tɬ ø n ø iː
92-9									m a k a
103-9									m ø ø ø n +
106-9									k a k iː
138-9									n e ø +
139-9									m i k ø iː + t iː a ø ø
142-9									m a t iː
145-9									m o + t e k a + +
176-9									tɬ ø k a + tɬ
179-9									n a k a + tɬ
180-9									m e ts + tɬ iː
186-9									k e tʃ + tɬ iː ø ø
190-9									j a k a + tɬ ø
194-9									s e
220-9									o h + ø tɬ ø i ø
231-9									iː t a
240-9									k o tʃ iː
283-9									+ + + + t e n + tɬ ø
293-9									+ iː n +
314-9									k w a w iː + n ø tɬ
315-9									u m e ø
322-9									t e h + m e n ø ø ø
323-9									tɬ e +
9-9									t u t u + tɬ
22-9									tɬ a t iː
30-9									w i ts
88-9									iː Ø iː ø
158-9									w e j a k ø ø n
159-9									a t e m iː n + tɬ
177-9									m iː a k + +
184-9									t u k ø iː +
187-9									j a n k w iː + k
227-9									ø ø x ø l iː
