COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
181	t e p eː + tɬ		t e p eː + ʔ	t e p e + tɬ	t e p eː + t	t e p eː + t		t ɨ p eː + tɬ	t e p i e + tɬ
182	k a m + tɬ			k a m a + k					k a m a + k
183		t eː n	t eː n		t eː n	t eː n	t e n	t eː n + tɬ ɨ	
184	t oː k aː + tɬ	t u w a + n	t oː k aː + ʔ	t o k a h + tɬ i	t o g a	t uː k e j		t oː k aː h ɨ + tɬ	t u k ø
186	k e tʃ + tɬ i	k e tʃ	k e tʃ	k e tʃ	g eː tʃ	k e tʃ + k uː j u	k o x + t	k ə tʃ + tɬ ɨ	k e tʃ + k o tʃ tɬ a
187	j a n k w i + k	j a m b w i + k	j a m k w i + ʔ	j a n k w i + k	j a m b i + k	j a n k w i + k		j a n k w i + k	j a n k w iː + k
188	j o w a l + l i		j o w a l	j o w a l i			o w e l	j o w a l + l ɨ	j o w a l iː
189		t a + j u w a + k			t a + j o a	t a + j u w a			
190	j a k + tɬ	j a k	j a k + t i	j e k a + k	j a g a + t	j a k	j e k e + t	j a k a + tɬ	j e k a + ts o l
191	a ʔ m oː		a j aː ʔ	a h m o					a m o
192		t e			a m o	t eː + t e s u			
194	s eː	s e	s eː	s e j a	s e	s eː	s e	s eː	s i e
213	k i j a w + tɬ		k i a h u aː + ʔ	k i j a w i + tɬ					k iː j a b iː + tɬ
218	tʃ iː + tʃ iː l + t i k		tʃ iː l + t i ʔ	tʃ i + tʃ i l + t i k		tʃ iː l + t i k		tʃ iː l + t ɨ + k	tʃ i + tʃ i + l t iː k
219		t r a i k			t a + t a w i + k				
220	o ʔ + tɬ i	u h + t i	o h + t i	o h + tɬ i	o h + t i	u h + t i	o tʼ k a n	o h + tɬ ɨ	o h + tɬ iː
221	n e l w a + tɬ		n e l w a + ʔ	n e l w a + tɬ		n e l w a + t		n e l w a + tɬ	n e l w a + j u + tɬ
224	j a w a l + t i k		j a w a l + t i ʔ	j e w a l + t i k		j a w a l + n a h		j a w a l + t ɨ + k	j e w a l + t iː k
227	x aː l + l i	x aː h l i	x aː h l i	x a l i	x aː h l i	aː + x aː l		x aː l + l ɨ	x ø l iː
228	ʔ t o aː		k + i h t o a	i h t o a	i h t o a				ʰt o a
229		i h l i				i l w i a			
231	t t a	i r a	i t a	i t a	i t a	i t a	i t a	ɨ h t a	ʰt a
232	a tʃ + tɬ i			a tʃ tɬ i			a x + t	aː tʃ + tɬ ɨ	x iː n + ø tʃ + tɬ iː
233		j u h l u	j oː l		j oː l				
235	m o + tɬ aː l i aː	m u + r a l i h + t u k	m o + t aː l i a	m o + tɬ a l i a	m o + t aː l i	m u + t aː l i a		m o + tɬ a l ɨ + h a	m o + tɬ ø l iː a
237	eː w a + tɬ			j e w a j o		eː w a j u		eː w a + tɬ	j e w a j o
239		b w e r a x t i			b e t a x		k w e t e x + t		
240	k o tʃ	k u tʃ i	k o tʃ i	k o tʃ i	g o tʃ i	k u tʃ i	k o tʃ i	k o tʃ ɨ	k o tʃ iː
249	p oː k + tɬ i	p uː k + t i	p oː k + t i	p o k + tɬ i	p oː k + t i	p u k + t i		p oː k + tɬ ɨ	p u k + tɬ iː
251	m o + k e ts a		m o + k e ts a	m o + t e l + k e ts a	m o + g e ts a	m u + k e ts a	x + m o + k ts e	k ɨ ts a	m o + k e ts a
268	s iː tɬ a l + i n	s iː t a l	s iː t a l i n	s i tɬ a l i		s iː t a l		s i tɬ a l ɨ + m	s i tɬ a l iː
283	t e + tɬ	x aː l + t e + t	t e ʔ + t i	t e + tɬ	t e + t	t e + t	t o + t	t ə + tɬ	t i e + t e + t u
284	t oː n a + t i w	r o n t i n		t o n a l + ts i n + tɬ i	t oː n a t i	t uː n a l	t u n e l		t u n a l iː
286	aː + w i l aː n								m + ø + b iː l ø n a
288			aː + p a t aː n i		aː h k i a				
289	k w i tɬ a p i l + l i	b w i r a p i l	k w i t a p iː l	k w i tɬ a p i l	b i t a p i l	k w i tɬ a p i l		k w i tɬ a + p ɨ l	k w iː tɬ a p iː l
290	i n + oː n	h uː n i		i n + o n	h oː n	u n i		oː n	iː n + u
293	i n + iː n	h iː n i	i n + iː n	i n + i n	h iː n	i n i	i n a	i n	i n + i
294	t e ʔ w aː + tɬ	t e h e	t e h	t e h w a	t e h a	t a		t ə h a	t a h a
296	n e n e + p i l + l i	n eː n e p i l		n e n e p i l	n e n e p i l	n e n e p i l	n e n e p i l	n ɨ n ɨ + p ɨ l	n e n e p iː l
313	tɬ a n + tɬ i	t aː n	t a n + t i	tɬ a n	t a n	t a n		tɬ a n	tɬ a n + k o tʃ
314	k w a w + tɬ	k o i + t	k w a w i + ʔ	k o w i + tɬ	b a w i + t	k w a w i + t	k w a g u + t	k w a + w ɨ + tɬ	k w a b iː + tɬ
315	oː m e	uː m e	oː m e	o m e	oː m e	uː m e	o m e m	oː m ə	u m e
316	n e ʔ + n e m i	n e h + n e m i	n e h + n e m i	n e h + n e m i	n e h + n e m i	n e h + n e m i		n ɨ h + n ɨ m i	n e h + n e m iː
318	t o + t oː n + k i	t r uː n i k	t o t oː n i ʔ	t o t o n k i	t o t oː n i k	t u t uː n i k		t o + t oː n ɨ + k	t o t u n + k iː
320	aː + tɬ		aː ʔ + t i	a + tɬ	aː + t	aː + t	a + t	aː + tɬ	ø + ts i n + tɬ i
322	t e ʔ w aː n	t o h o m e n	t e h a m e h	t e h w a n	t e h a m e h	t e h e m e t	t w e n	t ə h a + m ɨ + t	t e h w a
323	tɬ e	t a i	t eː	tɬ e n	t eː	t aː	t e	tɬ a	tɬ i n iː n u
324	i s t aː k	i s t aː k	i s t aː ʔ	i s t a k	i s t aː k	i s t a k		i s t aː + k ɨ	tʃ i pː p ø w a k
326	aː k	a i k	aː ʔ	a k i n	aː k		a k	aː k	ø k iː n u
328	s i w aː + tɬ	s u w a + t	s i w aː + ʔ	s i w a + tɬ	s o aː + t	s i w aː + t		s i	s o w a + tɬ
330	k o s + t i k		k o s t i ʔ	k o s t i k	g o s t i k			k o s + t ɨ + k	k o s t iː k
