COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
220-3			o m i + ʔ						
231-3			t eː						
240-3			p oː k + t i						
283-3			t a t i a						
293-3			i kx i						
314-3			k w aː k w a						
315-3			o m i + ʔ						
322-3			t eː n						
1-4				tʃ i tʃ i					
2-4				k o s t i k					
8-4				w e ts a					
16-4				t o t o + tɬ					
24-4				i h t e					
32-4				m i a k					
51-4				ts o n + tɬ i					
52-4				w e j a k					
53-4				ts o n + tɬ i					
54-4				tɬ e n					
55-4				k w a k o w					
60-4				j o w a l i					
83-4				tɬ e n					
87-4				tɬ a n					
92-4				i h t e					
103-4				a + tɬ					
106-4				k o s t i k					
138-4				n e h w a					
139-4				m e x + tɬ i					
142-4				i h t e					
145-4				m e x + tɬ i					
176-4				k w a k o w					
179-4				n e h w a					
180-4				m e x + tɬ i					
186-4				tɬ e n					
190-4				j e w a + tɬ					
194-4				tɬ e n					
220-4				o h m i + tɬ					
231-4				i h t e					
240-4				ts o n + tɬ i					
283-4				t e h w a					
293-4				i h t e					
314-4				k w a + tɬ					
315-4				i h t e					
322-4				t e h w a					
1-5					m i + t				
2-5					n e n e p i l				
8-5					w eː j a k				
16-5					b e t a x				
24-5					i h t i				
32-5					m i a k				
51-5					h oː n				
52-5					w eː j a k				
53-5					j e k + t i				
54-5					t eː				
55-5					b aː b aː				
60-5					h oː n				
83-5					t eː				
87-5					t eː				
92-5					m i a k				
103-5					m i a k				
106-5					t o g a				
138-5					n e m + t				
139-5					m i a k				
142-5					m i a k				
145-5					m i a k				
176-5					t a + t a				
179-5					j a m + b a				
180-5					m i a k				
186-5					t oː n a t i				
190-5					w eː j a k				
194-5					s e s eː k				
220-5					i kx i				
231-5					i s t aː k				
240-5					p oː k + t i				
283-5					t e h a				
293-5					h oː n				
314-5					b aː b aː				
315-5					h oː n				
322-5					t e h a				
1-6						p eː l u			
2-6						t uː k e j			
8-6						w e j a k			
16-6						t uː k e j			
24-6						i s t a k			
32-6						m i j a k			
51-6						t aː			
52-6						s i w aː + t			
53-6						t uː k e j			
54-6						t aː			
55-6						t uː k e j			
60-6						m u + k e ts a			
83-6						t uː k e j			
87-6						t uː k e j			
92-6						m u + k e ts a			
103-6						aː + t			
106-6						t uː k e j			
138-6						n e n e p i l			
139-6						m i j a k			
142-6						t uː k e j			
145-6						m u + k e ts a			
176-6						t a t i a			
179-6						t uː k e j			
180-6						m i j a k			
186-6						t uː k e j			
190-6						j a k w i + k			
194-6						s e s e k			
220-6						p eː + t			
231-6						i s t a k			
240-6						p u k + t i			
283-6						t uː k e j			
293-6						i h t i			
314-6						t uː k e j			
315-6						uː m i + t			
322-6						t uː k e j			
1-7							x u t		
2-7							o w e l		
8-7							o w e l		
16-7							o w e l		
24-7							k w e l		
32-7							x u t		
51-7							x u t		
52-7							o + t		
53-7							o w e l		
54-7							t u n		
55-7							t a t i		
60-7							w i ts		
83-7							t a t i		
87-7							t a t i		
92-7							x + t		
103-7							x u t		
106-7							t a t i		
138-7							t u n e l		
139-7							o + t		
142-7							t u n		
145-7							x u t		
176-7							t a t i		
179-7							o w e l		
180-7							x u t		
186-7							t a t i		
190-7							o + t		
194-7							t a t i		
220-7							o + t		
231-7							t a t i		
240-7							o w e l		
283-7							t a t i		
293-7							x u t		
314-7							o w e l		
315-7							t e		
322-7							t a t i		
1-8								m o + tɬ	
2-8								n ɨ h + n ɨ m i	
8-8								w iː ts	
16-8								p oː k + tɬ ɨ	
24-8								i s t aː + k ɨ	
32-8								m ɨ j a k	
51-8								n ɨ n ɨ + m	
52-8								w e h e j a + k	
53-8								k w a h	
54-8								tɬ a	
55-8								s i	
60-8								k ɨ ts a	
83-8								t eː n + tɬ ɨ	
87-8								t eː n + tɬ ɨ	
92-8								m ɨ j a k	
103-8								oː m ɨ + tɬ	
106-8								tɬ a + t ɨ + k	
138-8								n e l w a + tɬ	
139-8								m ɨ j a k	
142-8								m ɨ j a k	
145-8								k ɨ ts a	
176-8								t oː k aː h ɨ + tɬ	
179-8								k w a h	
180-8								m ɨ j a k	
186-8								tɬ a n	
190-8								j eː k + tɬ ɨ	
194-8								s i	
220-8								oː m ɨ + tɬ	
231-8								ɨ h t ɨ	
240-8								k ɨ ts a	
283-8								t eː n + t o k	
293-8								oː n	
314-8								k w a h	
315-8								p oː k + tɬ ɨ	
322-8								t eː n + t o k	
1-9									m iː tʃ iː
2-9									tɬ a n + k o tʃ
8-9									b e j a k
16-9									tɬ a n + k o tʃ
24-9									i h t e
32-9									m e x + tɬ iː
51-9									ts o n + tɬ iː
52-9									b e j a k
53-9									ts o n + t e k o
54-9									tɬ i l iː
55-9									s o w a + tɬ
60-9									i b i ts
83-9									tɬ i n iː n u
87-9									tɬ a n + k o tʃ
92-9									m e j a k
103-9									m e j a k
106-9									k o s t iː k
138-9									n e n e p iː l
139-9									m e j a k
142-9									p u k + tɬ iː
145-9									m e j a k
176-9									tɬ a t i a
179-9									tɬ a n + k o tʃ
180-9									m e j a k
186-9									t u k ø
190-9									s o w a + tɬ
194-9									s o w a k
220-9									m e x + tɬ iː
231-9									ʰt o a
240-9									p u k + tɬ iː
283-9									t u k ø
293-9									i b i ts
314-9									s o w a + tɬ
315-9									p u k + tɬ iː
322-9									t u n a l iː
