COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
324	i s t aː k	i s t aː k	i s t aː ʔ	i s t a k	i s t aː k	i s t a k		i s t aː + k ɨ	tʃ i pː p ø w a k
326	aː k	a i k	aː ʔ	a k i n	aː k		a k	aː k	ø k iː n u
328	s i w aː + tɬ	s u w a + t	s i w aː + ʔ	s i w a + tɬ	s o aː + t	s i w aː + t		s i	s o w a + tɬ
6	i ʔ t e	i h t i		i h t e	i h t i	i h t i		ɨ h t ɨ	i h t e
25	m i x + tɬ i		m i x + t i	m e x + tɬ i	m iː x + t i	m i x + t i		m i x + tɬ ɨ	m e x + tɬ iː
90	t eː n + t o k		t eː n + t o ʔ	t e n + t o k	t eː n + t o k	t eː n + t u k		t eː n + t o k	t i e n + t iː k a
104		ts u n + t e k o n	ts o n + t e k o n	ts o n + t e k o	ts o n + t e g o n	ts u n + t e k u m a + t		k w a h	ts o n + t e k o
107	j oː l + l i	j u h + l u		j o l + o		j u l	n	j oː l	j u l o h + tɬ iː
140	tɬ a n + k w a i	t a m + b w a + n	t a n + k w aː + ʔ	tɬ a n + k w a	t a m + b a			tɬ a n + k w a h	tɬ a n + k w a t e
181	t e p eː + tɬ		t e p eː + ʔ	t e p e + tɬ	t e p eː + t	t e p eː + t		t ɨ p eː + tɬ	t e p i e + tɬ
268	s iː tɬ a l + i n	s iː t a l	s iː t a l i n	s i tɬ a l i		s iː t a l		s i tɬ a l ɨ + m	s i tɬ a l iː
284	t oː n a + t i w	r o n t i n		t o n a l + ts i n + tɬ i	t oː n a t i	t uː n a l	t u n e l		t u n a l iː
290	i n + oː n	h uː n i		i n + o n	h oː n	u n i		oː n	iː n + u
19	tʃ iː tʃ iː w a l		tʃ iː tʃ i w a l	tʃ i tʃ i w a l	tʃ i tʃ i w a l			tʃ iː tʃ iː w a l	tʃ i tʃ iː w a l
28	iː ts + t i k	s e s e k	s e s eː ʔ		s e s eː k	s e s e k		s e s e + k	
84	m i tʃ + i n			m i tʃ i		m i tʃ i n	m i tʃ o m	m ɨ + tʃ ɨ + m	m iː tʃ iː
101	ts o n + tɬ i	ts u n + t i		ts o n + tɬ i			ts o n	ts o m	ts o n + tɬ iː
143	i s w a + tɬ	i s w a + t	i s w a ʔ		i s w a + t	i s w a + t		ɨ s w a + tɬ	
183		t eː n	t eː n		t eː n	t eː n	t e n	t eː n + tɬ ɨ	
188	j o w a l + l i		j o w a l	j o w a l i			o w e l	j o w a l + l ɨ	j o w a l iː
218	tʃ iː + tʃ iː l + t i k		tʃ iː l + t i ʔ	tʃ i + tʃ i l + t i k		tʃ iː l + t i k		tʃ iː l + t ɨ + k	tʃ i + tʃ i + l t iː k
221	n e l w a + tɬ		n e l w a + ʔ	n e l w a + tɬ		n e l w a + t		n e l w a + tɬ	n e l w a + j u + tɬ
224	j a w a l + t i k		j a w a l + t i ʔ	j e w a l + t i k		j a w a l + n a h		j a w a l + t ɨ + k	j e w a l + t iː k
330	k o s + t i k		k o s t i ʔ	k o s t i k	g o s t i k			k o s + t ɨ + k	k o s t iː k
3	eː w a + tɬ			j e w a + j o		eː w a + j u		ɨ w aː + j oː + tɬ	j e w a + j u + tɬ
13	tɬ iː l + t i k			tɬ i l + t i k		t iː l + t i k		tɬ iː l + t ɨ + k	tɬ i l + t iː k
33	tʃ i tʃ i	tʃ u tʃ u		tʃ i tʃ i		p eː l u			tʃ iː tʃ iː + t u
94		j e k + t i	j eː k + t i		j e k + t i	j eː k		j eː k + tɬ ɨ	
98	x o x o k + t i k		x o x o k + t i ʔ	x o x o k + t i k	x o x o k + t i k				x o x o k + t iː k
125	k w aː k w a w + tɬ	k o k o i t	k w aː k w a	k w a k o w	b aː b aː				
228	ʔ t o aː		k + i h t o a	i h t o a	i h t o a				ʰt o a
232	a tʃ + tɬ i			a tʃ tɬ i			a x + t	aː tʃ + tɬ ɨ	x iː n + ø tʃ + tɬ iː
237	eː w a + tɬ			j e w a j o		eː w a j u		eː w a + tɬ	j e w a j o
12			t a n + k w a		t a m + b a	t a n + k w a		k ɨ h + ts o m a	
79	i h w i + tɬ	i j + u h w i + j u		i h w i + tɬ				ɨ w ɨ	
191	a ʔ m oː		a j aː ʔ	a h m o					a m o
213	k i j a w + tɬ		k i a h u aː + ʔ	k i j a w i + tɬ					k iː j a b iː + tɬ
56	t oː t o l + t e + tɬ			t o t o l + t e + tɬ					t u t o l + t e tɬ
57			t e k s i s		t e k s i s	t e k s i s + t i			
93	k w a l + l i			k w a l i					k w a l iː
102			ts o n + k a l		ts o n + g a l	ts u n + k a l			
144				x i w i + tɬ			x u t		x iː b iː tɬ
182	k a m + tɬ			k a m a + k					k a m a + k
189		t a + j u w a + k			t a + j o a	t a + j u w a			
192		t e			a m o	t eː + t e s u			
233		j u h l u	j oː l		j oː l				
239		b w e r a x t i			b e t a x		k w e t e x + t		
4			k w a + k a h l oː + ʔ		b a + g a h l o				
10	k e ʔ ts o m								k e ts o m a
14			p iː s + t i ʔ		p i s + t i k				
20		tʃ i tʃ i				tʃ iː tʃ i h			
27				i ts + t i k					i ts + t iː k
81			ts o h m i + ʔ		ts o h m i + t				
85			t oː p o h		t oː p o h				
97	j e k + tɬ i							j eː k + tɬ ɨ	
99		x u x u i + k				x u x u w i + k			
105	k w aː + tɬ						k w a i + t		
219		t r a i k			t a + t a w i + k				
229		i h l i				i l w i a			
286	aː + w i l aː n								m + ø + b iː l ø n a
288			aː + p a t aː n i		aː h k i a				
