COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
32-3			k a + t i						
51-3			k a + t i						
52-3			k a + t i						
53-3			k w a + ʔ						
54-3			k a + t i						
55-3			k a + t i						
60-3			k a + t i						
83-3			k a + t i						
87-3			k w a + ʔ						
92-3			k w a + ʔ						
103-3			k a + t i						
106-3			k w a + ʔ						
138-3			k a + t i						
139-3			k a + t i						
142-3			k w a + ʔ						
145-3			k a + t i ʔ						
176-3			k w a + ʔ						
179-3			k w a + ʔ						
180-3			k a + t i						
186-3			k a + t i						
190-3			k w a + ʔ						
194-3			k a + t i						
220-3			k a + t i						
231-3			k a + t i						
240-3			k a + t i						
283-3			k a + t i						
293-3			k a + t i						
314-3			k a + t i						
315-3			k a + t						
322-3			k w a + ʔ						
323-3			k a + t i						
9-3			t a + t i						
17-3			k a + t i						
22-3			t a n + t i						
30-3			k a + t i						
88-3			k a + t i						
158-3			k a + t i						
159-3			t eː n						
177-3			k a + t i						
184-3			k a + t i						
187-3			k w a + ʔ						
227-3			k a + t i						
235-3			k a + t i						
249-3			k a + t i						
251-3			k a + t i ʔ						
289-3			k w a + ʔ						
294-3			k a + t i						
313-3			k a + t i						
316-3			t eː n + t i						
318-3			k a + t i						
320-3			t a + t i						
324-3			k a + t i						
326-3			k a + t i						
1-4				j e w a + tɬ					
2-4				i n + tɬ i					
8-4				i h t e					
16-4				i h w a + tɬ					
24-4				s i w a + tɬ					
32-4				ts o n + tɬ i					
51-4				i n + tɬ					
52-4				j e w a + tɬ					
53-4				j e w a + tɬ					
54-4				j e w a l i					
55-4				j e w a + tɬ					
60-4				s i w a l i					
83-4				j e w a + tɬ					
87-4				j e w a + tɬ					
92-4				j e w a + j o					
103-4				ts o n + tɬ i					
106-4				j e w a + tɬ					
138-4				i h n + tɬ i					
139-4				j e w a + tɬ					
142-4				j e w a + tɬ					
145-4				j e w a + tɬ					
176-4				j e w a + tɬ					
179-4				j e w a + tɬ					
180-4				ts o n + tɬ i					
186-4				j e w a + tɬ					
190-4				j e w a + j o					
194-4				s i w a l i					
220-4				ts o n + tɬ i					
231-4				s i w a + tɬ					
240-4				j e w a + tɬ					
283-4				ts o n + tɬ i					
293-4				i n + o					
314-4				j e w a + tɬ					
315-4				j e w a + tɬ					
322-4				t e w a + tɬ					
323-4				i h t e					
9-4				j e w a + tɬ					
17-4				j e w a + tɬ					
30-4				s i w a + tɬ					
88-4				s i w a + tɬ					
158-4				j e w a + tɬ					
177-4				j e w a + tɬ					
184-4				j e w a + tɬ					
187-4				j e w a + tɬ					
227-4				j e w a + tɬ					
235-4				j e w a + tɬ					
249-4				j e w a + tɬ					
251-4				j e w a + tɬ					
289-4				j o w a l i					
294-4				m e w a + tɬ					
296-4				i n + tɬ i					
313-4				j e w a + tɬ					
316-4				ts o n + tɬ i					
318-4				t e n + tɬ					
320-4				j e w a + tɬ					
324-4				i h w a + tɬ					
326-4				ts o n + tɬ					
1-5					t o n + t				
2-5					t o n + t i				
8-5					t o n + t				
16-5					t o n + t				
24-5					t o n + t				
32-5					t o n + t				
51-5					t o n + t				
52-5					t o + t i				
53-5					t a + t				
54-5					t o n + t				
55-5					t o + t i				
60-5					t o n + t				
83-5					t eː n				
87-5					t a + t i				
92-5					t a + t				
103-5					t eː n				
106-5					t o + t i				
138-5					t o + t				
139-5					t o n + t				
142-5					t o + t i				
145-5					t o n + t				
176-5					t a + t i				
179-5					t a + t				
180-5					t o n + t				
186-5					t eː n				
190-5					t o + t i				
194-5					t o n + t				
220-5					t o n + t				
231-5					t o n + t				
240-5					t o n + t				
283-5					t o n + t				
293-5					t eː n				
314-5					t a + t				
315-5					t eː n				
322-5					t o n + t				
323-5					t eː n				
9-5					t o n + t				
17-5					t eː n				
22-5					t a + t i				
30-5					t o n + t				
88-5					t o n + t				
158-5					t a + t i				
159-5					ts o n + t				
177-5					t o n + t i				
184-5					t o n + t				
187-5					t o n + t i				
227-5					t o n + t				
235-5					t o n + t				
249-5					t o + t i				
251-5					t o + t i				
289-5					t a + t				
294-5					t eː n				
296-5					t eː n				
313-5					t a + t				
316-5					t eː n				
318-5					t o n + t				
320-5					t o + t i				
324-5					t o n + t				
326-5					t o + t i				
1-6						t n + t			
2-6						t n + t			
8-6						t a + t			
16-6						t n + t			
24-6						t a + t			
32-6						t a + t			
51-6						t n + t			
52-6						t n + t			
53-6						t a + t			
54-6						t a + t			
55-6						t n + t			
60-6						t a + t			
83-6						t a + t			
87-6						t n + t			
92-6						t a + t			
103-6						t n + t			
106-6						t a + t			
138-6						t n + t			
139-6						t n + t			
142-6						t n + t			
145-6						t n + t			
176-6						t a + t			
179-6						t a + t			
180-6						t a + t			
186-6						t a + t			
190-6						t a + t			
194-6						t n + t			
220-6						t n + t			
231-6						t a + t			
240-6						t n + t			
283-6						t n + t			
293-6						t a + t			
314-6						t a + t			
315-6						t a + t			
322-6						t n + t			
323-6						t a + t			
9-6						t a + t			
17-6						t n + t			
22-6						t n + t			
30-6						t n + t			
88-6						t n + t			
158-6						t n + t			
159-6						t n + t			
177-6						t n + t			
184-6						t a + t			
187-6						t a + t			
227-6						t n + t			
235-6						t n + t			
249-6						t a + t			
251-6						t n + t			
289-6						t a + t			
294-6						t n + t			
296-6						t n + t			
313-6						t n + t			
316-6						t n + t			
318-6						t n + t			
320-6						t n + t			
324-6						t n + t			
1-7							ts o n		
2-7							t e n		
8-7							t e n		
16-7							ts o n		
24-7							ts o n		
32-7							t e n		
51-7							t e n		
52-7							t e n		
53-7							t e n		
54-7							t e n		
55-7							t e n		
60-7							t e n		
83-7							t e n		
87-7							t e n		
92-7							t e n		
103-7							t e n		
106-7							t e n		
138-7							t e n		
139-7							t e n		
142-7							t e n		
145-7							ts o n		
176-7							t e n		
179-7							t e n		
180-7							ts o n		
186-7							o w e l		
190-7							t e n		
194-7							t e n		
220-7							ts o n		
231-7							t e n		
240-7							ts o n		
283-7							t e n		
293-7							t e n		
314-7							o w e l		
315-7							t e n		
322-7							ts o n		
323-7							t e n		
17-7							t e n		
22-7							a x + t		
30-7							ts o n		
159-7							t e n		
251-7							t e n		
296-7							t e n		
320-7							o w e l		
326-7							t e n		
1-8								k a + tɬ	
2-8								k a + tɬ	
8-8								k a + tɬ	
16-8								k w a + tɬ	
24-8								k w a + tɬ	
32-8								k a + tɬ	
51-8								k w a + tɬ	
52-8								k a + tɬ	
53-8								ɨ w a + tɬ	
54-8								j oː l + tɬ ɨ	
55-8								k a + tɬ	
60-8								k a + tɬ	
83-8								k w a + tɬ	
87-8								s w a + tɬ	
92-8								k a + tɬ	
103-8								k a + tɬ	
106-8								k a + tɬ ɨ	
138-8								k a + tɬ	
139-8								k a + tɬ ɨ	
142-8								k a + tɬ	
145-8								k w a + tɬ	
176-8								k a + tɬ	
179-8								ɨ w a + tɬ	
180-8								k a + tɬ	
186-8								k a + tɬ	
190-8								k a + tɬ	
194-8								s i tɬ ɨ	
220-8								k a + tɬ	
231-8								k a + tɬ ɨ	
240-8								k w a + tɬ	
283-8								k w a + tɬ	
293-8								k a + tɬ	
314-8								k a + tɬ	
315-8								k w a + tɬ	
322-8								k a + tɬ	
323-8								k w a + tɬ	
9-8								k w a + tɬ	
17-8								k a + tɬ	
22-8								k a + tɬ	
30-8								eː w a + tɬ	
88-8								k a + tɬ	
158-8								k a + tɬ	
159-8								k a + tɬ	
177-8								tɬ a n + tɬ ɨ	
184-8								k w a + tɬ	
187-8								tɬ a n + tɬ ɨ	
227-8								k a + tɬ	
235-8								k a + tɬ	
249-8								k a + tɬ	
251-8								k a + tɬ	
289-8								k a + tɬ	
294-8								k a + tɬ	
296-8								tɬ a l + t ɨ + k	
313-8								tɬ a n + tɬ ɨ	
316-8								k a + tɬ	
318-8								k w a + tɬ	
320-8								k w a + tɬ	
324-8								k a + tɬ	
326-8								k w a + tɬ	
1-9									ts o n + tɬ iː
2-9									j e w a l iː
8-9									ts o n + tɬ iː
16-9									j e w a l iː
24-9									ts o n + tɬ iː
32-9									j e w a l iː
51-9									ts o n + tɬ iː
52-9									j e w a l iː
53-9									j e w a l + tɬ
54-9									j e w a l iː
55-9									j e w a + tɬ
60-9									x iː b + tɬ iː
83-9									j e w a + tɬ
87-9									j e w a + tɬ
92-9									j e w a + tɬ
103-9									k a m a
106-9									j e w a + tɬ
138-9									ts o n + tɬ iː
139-9									j e w a l iː
142-9									j e w a + tɬ
145-9									ts o n + tɬ iː
176-9									j e w a + tɬ
179-9									j e w a + tɬ
180-9									ts o n + tɬ iː
186-9									ts o n + tɬ iː
190-9									j e w a + tɬ
194-9									s o o a
220-9									ts o n + tɬ iː
231-9									j e w a + tɬ
240-9									ts o n + tɬ iː
283-9									ts o n + tɬ iː
293-9									j e l + tɬ
314-9									j e w a l + tɬ
315-9									ts o n + tɬ
322-9									j e w a l iː
323-9									ts o n + tɬ
9-9									j e w a l + tɬ
22-9									j e w a + tɬ
30-9									j e w a + tɬ
88-9									tʃ i + tɬ iː
158-9									j e w a + tɬ
159-9									ts o n + tɬ
177-9									j e w a l iː
184-9									j e w a + tɬ
187-9									j e w a l + tɬ
227-9									j e w a l iː
235-9									ts o n + tɬ iː
249-9									j e w a + tɬ
251-9									s o o a
289-9									j e w a l + tɬ
294-9									j e w a l iː
296-9									j e w a l + tɬ
313-9									j e w a + tɬ
316-9									ts o n + tɬ
318-9									j e w a l iː
320-9									k a m a + k
324-9									s o w a l iː
326-9									k a m + tɬ
