COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
322-7									
323-7							e t		
17-7									
22-7									
30-7							ʔ iː w		
159-7									
1-8									
2-8									
8-8								ɨ w	
16-8									
24-8									
32-8								m k j o	
51-8									
52-8								aː k w a	
53-8									
54-8								tɬ aː l	
55-8								k w a	
60-8								x i	
83-8									
87-8									
92-8								a m	
103-8								a m	
106-8								+ k a + k	
138-8								n + tɬ ɨ ə h a	
139-8									
142-8								a m	
145-8									
176-8									
179-8									
180-8									
186-8								k e tʃ	
190-8								j a + k	
194-8								ɨ s	
220-8									
231-8								aː t t	
240-8								+ k o tʃ	
283-8									
293-8								h i h	
314-8									
315-8								oː m ɨ	
322-8									
323-8								eː tɬ	
9-8									
17-8								+ j o + tɬ	
22-8									
30-8								ts w i	
88-8								i kx	
158-8									
159-8									
177-8									
184-8									
187-8									
227-8									
1-9									
2-9									
8-9									j i e w
16-9									
24-9									
32-9									m o k
51-9									iː iː ts
52-9									w ø k
53-9									
54-9									tɬ ø l
55-9									w k aː
60-9									x i
83-9									
87-9									
92-9									a m
103-9									e m j
106-9									k a a k
138-9									n a h a
139-9									
142-9									m a t
145-9									
176-9									
179-9									
180-9									
186-9									k a tʃ
190-9									j a k
194-9									i e s
220-9									
231-9									iː t a
240-9									k a o n + ø tʃ
283-9									
293-9									iː n e
314-9									
315-9									e m u
322-9									
323-9									i e k o
9-9									
22-9									
30-9									ts iː w
88-9									i kx iː
158-9									
159-9									
177-9									
184-9									
187-9									
227-9									
