COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
194-7							Ø e iː		
220-7							o Ø + tɬ iː		
231-7							iː t a		
240-7							k o tʃ iː		
283-7							iː iː iː iː t e iː + tɬ iː		
293-7							iː iː n iː iː		
314-7							k w a b iː + iː iː iː Ø		
315-7							o m e		
322-7							t e Ø x w a n iː iː iː iː iː		
1-8								n o tʃ iː + n	
2-8								iː iː k iː x + n Ø x + tɬ iː	
8-8								iː iː w iː e j	
16-8								iː e s + tɬ iː	
24-8								iː s t iː + tɬ	
32-8								m iː k iː	
51-8								e o n + iː iː iː iː	
52-8								w a k + Ø Ø x	
53-8								n a k a s + e	
54-8								tɬ a l iː	
55-8								k w a	
60-8								i x + k o l k iː iː iː	
83-8								iː iː iː tɬ Ø n + tɬ iː	
87-8								p a tɬ a n iː iː	
92-8								m a k a	
103-8								m a iː iː n + n	
106-8								k a k iː	
138-8								n e h iː + + iː	
139-8								m iː k iː e + t iː a	
142-8								m a t iː	
145-8								m o + t e iː k a + iː	
176-8								t a iː iː k a iː + tɬ	
179-8								n a k a + tɬ	
180-8								m e iː ts + tɬ iː	
186-8								k e tʃ + iː iː iː tɬ	
190-8								j e k + tɬ iː iː	
194-8								s e iː iː	
220-8								o h + iː tɬ iː iː iː	
231-8								iː t a	
240-8								k o tʃ iː	
283-8								iː iː iː iː + t e n + tɬ iː	
293-8								iː n n	
314-8								k w a w iː + tɬ	
315-8								u m e iː	
322-8								t e h x n e	
1-9									n o tʃ i
2-9									ø + iː + n e x + tɬ i
8-9									b e j ø iː
16-9									ø e s + tɬ iː
24-9									i s t iː + tɬ
32-9									m i k iː
51-9									ø o n + + iː
52-9									b ø k + t iː n
53-9									n a k a s + tɬ
54-9									tɬ ø l iː
55-9									k w a ø
60-9									i x + t + o u ø
83-9									tɬ e ø + tɬ
87-9									tʃ a tɬ ø n ø iː
92-9									m a k a
103-9									m a +
106-9									k a k iː
138-9									n e ø +
139-9									m i k ø iː + t iː a
142-9									m a t iː
145-9									m o + t e k a + +
176-9									tɬ ø k a + tɬ
179-9									n a k a + tɬ
180-9									m e ts + tɬ iː
186-9									k e tʃ + tɬ ø ø
190-9									j a k + tɬ
194-9									s e ø ø
220-9									o h + ø tɬ ø i ø
231-9									iː t a
240-9									k o tʃ iː
283-9									+ + + + t e + tɬ
293-9									iː n +
314-9									k w a b iː + tɬ
315-9									u m e ø
322-9									t e h + m e n ø
