COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
187-3			m i w aː + ʔ						
227-3			j oː l						
235-3			m i x + t i						
249-3			j eː k + t i						
251-3			k + i h t o a						
289-3			j eː k + t i						
294-3			t a n + k w a						
313-3			t a n + k w a						
316-3			k + i h t o a						
318-3			t e p eː + ʔ						
320-3			m i w aː + ʔ						
324-3			s i w aː + ʔ						
326-3			m i w aː + ʔ						
1-4				m e x + tɬ i					
2-4				m e x + tɬ i					
8-4				i h t e					
16-4				s i w a + tɬ					
24-4				i h t e					
32-4				j e w a + tɬ					
51-4				i h t e					
52-4				j e w a + tɬ					
53-4				tɬ a n + k w a					
54-4				k w a l i					
55-4				j e w a + tɬ					
60-4				i h t o a					
83-4				k i w a + tɬ					
87-4				k i w a + tɬ					
92-4				k w a k o w					
103-4				k w a k o w					
106-4				k w a k o w					
138-4				i h t e					
139-4				m e x + tɬ i					
142-4				m e x + tɬ i					
145-4				k o s t i k					
176-4				k w a k o w					
179-4				k w a k o w					
180-4				j e w a + tɬ					
186-4				s i w a + tɬ					
190-4				j o w a l i					
194-4				s i tʃ i					
220-4				ts o n + tɬ i					
231-4				i h t e					
240-4				k o s t i k					
283-4				t e n + t o k					
293-4				i h t e					
314-4				k i w a + tɬ					
315-4				ts o n + tɬ i					
322-4				t e n + t o k					
323-4				i h t e					
9-4				t e n + t o k					
17-4				m e x + tɬ i					
30-4				j e w a + tɬ					
88-4				i h t e					
158-4				j e w a + tɬ					
177-4				m e x + tɬ i					
184-4				t e p e + tɬ					
187-4				j e w a + tɬ					
227-4				a h m o					
235-4				j e w a + tɬ					
249-4				j e w a + tɬ					
251-4				k w a k o w					
289-4				j e w a + tɬ					
294-4				t e n + t o k					
296-4				i h t e					
313-4				tɬ a n + k w a					
316-4				i h t e					
318-4				t e n + t o k					
320-4				j e w a + tɬ					
324-4				s i tɬ a l i					
326-4				a h m o					
1-5					g o s t i k				
2-5					m iː x + t i				
8-5					j e k + t i				
16-5					i s w a + t				
24-5					i h t i				
32-5					i h t i				
51-5					t e p eː + t				
52-5					i h t i				
53-5					t a + j o a				
54-5					t a m + b a				
55-5					b aː b aː				
60-5					i h t i				
83-5					t a m + b a				
87-5					t a m + b a				
92-5					b aː b aː				
103-5					j e k + t i				
106-5					b aː b aː				
138-5					h oː n				
139-5					i h t i				
142-5					m iː x + t i				
145-5					g o s t i k				
176-5					t a + j o a				
179-5					t a + j o a				
180-5					j e k + t i				
186-5					g o s t i k				
190-5					j e k + t i				
194-5					s o aː + t				
220-5					j e k + t i				
231-5					i h t i				
240-5					j e k + t i				
283-5					t e p eː + t				
293-5					h oː n				
314-5					b aː b aː				
315-5					j e k + t i				
322-5					t a m + b a				
323-5					t a m + b a				
9-5					t a m + b a				
17-5					m iː x + t i				
22-5					t a + g a l				
30-5					i h t i				
88-5					h oː n				
158-5					j e k + t i				
159-5					t a m + b a				
177-5					m iː x + t i				
184-5					t a m + b a				
187-5					t a m + b a				
227-5					j e k + t i				
235-5					m iː x + t i				
249-5					i h t i				
251-5					m iː x + t i				
289-5					j e k + t i				
294-5					t e p eː + t				
296-5					t oː n				
313-5					t a m + b a				
316-5					i h t i				
318-5					t e p eː + t				
320-5					i h t i				
324-5					s o aː + t				
326-5					i h t i				
1-6						m i tʃ i n			
2-6						m i x + t i			
8-6						j eː k			
16-6						i s w a + t			
24-6						i s w a + t			
32-6						m i tʃ i n			
51-6						t eː n + t u k			
52-6						ts u n + k a l			
53-6						eː w a + j u			
54-6						t iː l + t i k			
55-6						j eː k			
60-6						m i x + t i			
83-6						t iː l + t i k			
87-6						n e l w a + t			
92-6						ts u n + k a l			
103-6						m i x + t i			
106-6						ts u n + k a l			
138-6						j eː k			
139-6						m i tʃ i n			
142-6						m i x + t i			
145-6						m i x + t i			
176-6						t a n + k w a			
179-6						eː w a + j u			
180-6						m i x + t i			
186-6						m i x + t i			
190-6						j eː k			
194-6						s e s e k			
220-6						ts u n i			
231-6						i h t i			
240-6						p eː l u			
283-6						t e p eː + t			
293-6						i h t i			
314-6						ts u n + k a l			
315-6						j eː k			
322-6						t e p eː + t			
323-6						m i x + t i			
9-6						t e p eː + t			
17-6						m i x + t i			
22-6						t uː n a l			
30-6						i h t i			
88-6						i h t i			
158-6						eː w a + j u			
159-6						t uː n a l			
177-6						m i x + t i			
184-6						t eː n + t u k			
187-6						j eː k			
227-6						m i x + t i			
235-6						m i x + t i			
249-6						j eː k			
251-6						m i x + t i			
289-6						m i x + t i			
294-6						t e p eː + t			
296-6						t uː n a l			
313-6						t uː n a l			
316-6						u n i			
318-6						t eː n			
320-6						eː w a + j u			
324-6						s i w aː + t			
1-7							a x + t		
2-7							a x + t		
8-7							ts o n		
16-7							ts o n		
24-7							a x + t		
32-7							a x + t		
51-7							ts o n		
52-7							a x + t		
53-7							a x + t		
54-7							a x + t		
55-7							a x + t		
60-7							a x + t		
83-7							ts o n		
87-7							ts o n		
92-7							a x + t		
103-7							a x + t		
106-7							ts o n		
138-7							a x + t		
139-7							a x + t		
142-7							a x + t		
145-7							a x + t		
176-7							a x + t		
179-7							a x + t		
180-7							a x + t		
186-7							a x + t		
190-7							a x + t		
194-7							a x + t		
220-7							a x + t		
231-7							ts o n		
240-7							ts o n		
283-7							k w e l		
293-7							ts o n		
314-7							ts o n		
315-7							a x + t		
322-7							k w e l		
323-7							ts o n		
17-7							a x + t		
22-7							k w e l		
30-7							a x + t		
159-7							a x + t		
251-7							a x + t		
296-7							ts o n		
320-7							a x + t		
326-7							a x + t		
1-8								ts o m	
2-8								ts o m	
8-8								j oː l	
16-8								m i x + tɬ ɨ	
24-8								ɨ h t ɨ	
32-8								ts o m	
51-8								t ɨ p eː + tɬ	
52-8								k w a h	
53-8								k w a h	
54-8								j oː l	
55-8								j oː l	
60-8								ts o m	
83-8								t ɨ p eː + tɬ	
87-8								t ɨ p eː + tɬ	
92-8								ts o m	
103-8								j oː l	
106-8								j eː k + tɬ ɨ	
138-8								eː w a + tɬ	
139-8								ts o m	
142-8								ts o m	
145-8								k w a h	
176-8								ts o m	
179-8								k w a h	
180-8								ts o m	
186-8								m i x + tɬ ɨ	
190-8								j eː k + tɬ ɨ	
194-8								s i	
220-8								ts o m	
231-8								ɨ h t ɨ	
240-8								ts o m	
283-8								t eː n + tɬ ɨ	
293-8								oː n	
314-8								ɨ s w a + tɬ	
315-8								ts o m	
322-8								t eː n + tɬ ɨ	
323-8								j oː l	
9-8								t eː n + tɬ ɨ	
17-8								ts o m	
22-8								t ɨ p eː + tɬ	
30-8								ts o m	
88-8								ɨ h t ɨ	
158-8								eː w a + tɬ	
159-8								ts o m	
177-8								ts o m	
184-8								t ɨ p eː + tɬ	
187-8								j eː k + tɬ ɨ	
227-8								aː tʃ + tɬ ɨ	
235-8								j eː k + tɬ ɨ	
249-8								j eː k + tɬ ɨ	
251-8								k w a h	
289-8								ts o m	
294-8								t ɨ p eː + tɬ	
296-8								j oː l	
313-8								j eː k + tɬ ɨ	
316-8								eː w a + tɬ	
318-8								t eː n + t o k	
320-8								ɨ w ɨ	
324-8								ɨ h t ɨ	
326-8								ɨ w aː + tɬ	
1-9									i h t e
2-9									i e n + t iː k
8-9									ʰt o a
16-9									ts o n + tɬ iː
24-9									i h t e
32-9									m e x + tɬ iː
51-9									i h t e
52-9									ʰt o a
53-9									ts o n + tɬ iː
54-9									t u n a l iː
55-9									j e w a j o
60-9									m iː tʃ iː
83-9									t u n a l iː
87-9									s i tɬ a l iː
92-9									ʰt o a
103-9									ʰt o a
106-9									ʰt o a
138-9									ts o n + tɬ iː
139-9									m e x + tɬ iː
142-9									ʰt o a
145-9									k o s t iː k
176-9									t e p i e + tɬ
179-9									s o w a + tɬ
180-9									m e x + tɬ iː
186-9									ts o n + tɬ iː
190-9									j e w a j o
194-9									s o s t iː
220-9									ʰt o a
231-9									s i tɬ a l iː
240-9									ts o n + tɬ iː
283-9									t e p i e + tɬ
293-9									i h t e
314-9									ʰt o a
315-9									ʰt o a
322-9									t e p i e + tɬ
323-9									i h t e
9-9									t e p i e + tɬ
22-9									t u n a l iː
30-9									ts o n + tɬ iː
88-9									i h t e
158-9									ʰt o a
159-9									ts o n + t iː k a
177-9									m e x + tɬ iː
184-9									t e p i e + tɬ
187-9									j e w a j o
227-9									m e x + tɬ iː
235-9									m e x + tɬ iː
249-9									m e x + tɬ iː
251-9									k o s t iː k
289-9									j e w a l iː
294-9									t e p i e + tɬ
296-9									i h t e
313-9									t u n a l iː
316-9									i h t e
318-9									t e p i e + tɬ
320-9									m e x + tɬ iː
324-9									s o w a + tɬ
326-9									ʰt o a
