COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
240-8								k w a + k	
283-8								k w a + k	
293-8								k w a + k	
314-8								k w a + k	
315-8								k w a + k	
322-8								k w a + k	
323-8								k w a + k	
9-8								k w a + k	
17-8								k w a + k	
22-8								k w a + k	
30-8								k w a + k	
88-8								k w a + k	
158-8								k w a + k	
159-8								k w a + k	
177-8								k w a + k	
184-8								k w a + k	
187-8								k w a + k	
227-8								k w a + k	
1-9									t e a + tɬ
2-9									m e + tɬ iː
8-9									t e a + tɬ
16-9									t e a + tɬ
24-9									t e a + tɬ
32-9									t e a + tɬ
51-9									t e a + tɬ
52-9									t e a + tɬ
53-9									m e + tɬ iː
54-9									t e a + tɬ
55-9									t e a + tɬ
60-9									t e a + tɬ
83-9									t e a + tɬ
87-9									t e a + tɬ
92-9									m e + tɬ iː
103-9									t e a + tɬ
106-9									t e a + tɬ
138-9									t e a + tɬ
139-9									t e a + tɬ
142-9									m e + tɬ iː
145-9									t e a + tɬ
176-9									t e a + tɬ
179-9									t e a + tɬ
180-9									m e + tɬ iː
186-9									t e a + tɬ
190-9									t e a + tɬ
194-9									t e a + tɬ
220-9									t e a + tɬ
231-9									t e a + tɬ
240-9									t e a + tɬ
283-9									t e a + tɬ
293-9									tɬ a iː
314-9									t e a + tɬ
315-9									t e a + tɬ
322-9									t e a + tɬ
323-9									t e a + tɬ
9-9									t e a + tɬ
22-9									t e a + tɬ
30-9									t e a + tɬ
88-9									t e a + tɬ
158-9									t e a + tɬ
159-9									t e a + tɬ
177-9									t e a + tɬ
184-9									t e a + tɬ
187-9									t e a + tɬ
227-9									t e a + tɬ
