COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
346-2		k u r a kʲ a								
347-2		k i r u								
348-2		h i r o kʲ a								
351-2		t oː kʲ a								
361-2		o m o kʲ a								
379-2		k u s a r u a								
394-2		h i d a r i								
395-2		n i g i r i								
400-2		h i pː a r u								
412-2		s a k e r u								
413-2		ts u tɕː a s u								
414-2		h o r u								
422-2		h u k u r e r u								
423-2		k a ɴ g i a r u								
430-2		h a k u								
435-2		h u k u								
446-2		s i t a								
447-2		w e								
458-2		t o s i								
56-2		h i t o								
65-2		k u a								
70-2		t a n e								
75-2		k u a b e								
14-3			k o iː							
18-3			d a iː							
35-3			h i t o i							
36-3			h u t a i							
48-3			n a g e							
60-3			t o iː							
63-3			s i t a m e							
64-3			k i							
67-3			h a i							
68-3			n e							
71-3			tɕ iː							
76-3			h o n e							
83-3			ts u n o							
87-3			h a i n e							
95-3			m i ɴ							
98-3			h a i n a							
99-3			k ui							
-102-3			s i t a							
103-3			ts ui m e							
110-3			t e							
116-3			m ui n e							
120-3			n o ɴ							
132-3			k iː							
139-3			u kː o r o s							
140-3			o j o							
156-3			t a tɕː o							
168-3			o ts u sː aː							
169-3			h o i ɕ							
170-3			m iː							
173-3			iː ɕ							
180-3			k u m o							
185-3			h e i							
186-3			m o i j u							
187-3			m iː							
190-3			a i k e							
193-3			k iː							
194-3			s i r e							
195-3			k u r e							
216-3			m a ɴ m a i r i							
221-3			n a i							
239-3			iː							
252-3			m i							
253-3			j o i							
254-3			i ts u							
266-3			k a i z e							
267-3			n a g a r u							
268-3			u ɴ							
272-3			a m e							
276-3			a i r u							
281-3			m ui ɕ							
304-3			ts u b a							
305-3			tɕ i tɕ i							
308-3			h a n a							
309-3			k u s a							
310-3			t o							
311-3			i							
342-3			j ui							
346-3			k ui r e							
347-3			k i t							
348-3			h i r e							
351-3			t o j e							
361-3			o i m i							
379-3			k e sː a r e t a							
394-3			h i d a i							
395-3			m iː							
400-3			h i pː a							
412-3			s a k u							
413-3			ts u iː s a							
414-3			h o							
422-3			h u k u r u							
423-3			k a ɴ g u							
430-3			h a							
435-3			h u							
446-3			s i t e							
447-3			u eː							
458-3			t o ɕ							
56-3			h iː t o							
62-3			i ɴ							
65-3			k a w a							
70-3			t a n e							
75-3			k a w a							
96-3			m e							
101-3			h a							
14-4				k o r e						
18-4				d a r e						
35-4				h i t o t u						
36-4				h u t aː t u						
48-4				n a g a i						
60-4				t o r i						
63-4				s i r a m i						
64-4				k i						
67-4				h a						
68-4				n e						
71-4				t i						
76-4				h o n e						
83-4				t u n o						
87-4				h a n e						
95-4				m i m i						
98-4				h a n a						
99-4				k u t i						
-102-4				s i t a						
103-4				t u m e						
110-4				t e						
116-4				m u n e						
120-4				n o m u						
132-4				k i k u						
139-4				k o r o s u						
140-4				o j o g u						
156-4				t a t e tː j uː						
168-4				t u k i						
169-4				h o s i						
170-4				m i d u						
173-4				i s i						
180-4				k u m o						
185-4				h a i						
186-4				m o e r u						
187-4				m i t i						
190-4				a k a i						
193-4				k iː r o i						
194-4				s i r o i						
195-4				k u r o i						
216-4				m a r ui						
221-4				n a						
239-4				i t u						
252-4				m i tː u						
253-4				j o tː u						
254-4				i t u t u						
266-4				k a z e						
267-4				n a g a r e r u						
268-4				u m i						
272-4				a m e						
276-4				a r a u						
281-4				m u s i						
304-4				t u b a						
305-4				t i t i						
308-4				h a n a						
309-4				k u s a						
310-4				t o						
311-4				n i						
342-4				j u k i						
346-4				k u r a i						
347-4				k i r u						
348-4				h i r o i						
351-4				t oː i						
361-4				o m o t a i						
379-4				k u s a tː a						
394-4				h i d a r i						
395-4				m i g i						
400-4				h i pː a r u						
412-4				ɕ a k e r u						
413-4				t u k i s a s u						
414-4				h o r u						
422-4				h u k u r e r u						
423-4				k a ɴ g a e r u						
430-4				h a k u						
435-4				h u k u						
446-4				s i t a						
447-4				u e						
458-4				t o s i						
56-4				h i t o						
62-4				i n u						
65-4				k a w a						
70-4				t a n e						
75-4				k a w a						
96-4				m e						
101-4				h a						
14-5					k o r e					
18-5					d a r e					
35-5					h i t o ts u					
36-5					h u t a ts u					
48-5					n a ŋ a i					
60-5					t o r i					
63-5					s i r a m i					
64-5					k iː					
67-5					h aː					
68-5					n eː					
71-5					tɕ iː					
76-5					h o n e					
83-5					ts u n o					
87-5					h a n e					
95-5					m i m i					
98-5					h a n a					
99-5					k u tɕ i					
-102-5					s i t a					
103-5					ts u m e					
110-5					t eː					
116-5					m u n e					
120-5					n o m u					
132-5					k i k u					
139-5					k o r o s u					
140-5					o j o ŋ u					
156-5					t a tː e r u					
168-5					ts u k i					
169-5					h o s i					
170-5					m i z u					
173-5					i s i					
180-5					k u m o					
185-5					h a i					
186-5					m o e r u					
187-5					m i tɕ i					
190-5					a k a i					
193-5					k iː r o i					
194-5					s i r o i					
195-5					k u r o i					
216-5					m a r ui					
221-5					n aː					
239-5					i ts u					
252-5					m i tsː u					
253-5					j o tsː u					
254-5					i ts u ts u					
266-5					k a z e					
267-5					n a ŋ a r e r u					
268-5					u m i					
272-5					a m e ŋ a					
276-5					a r a u					
281-5					m u s i					
304-5					ts u b a					
305-5					tɕ i tɕ i					
308-5					h a n a					
309-5					k u s a					
310-5					t o					
311-5					n i					
342-5					j u k i					
346-5					k u r a i					
347-5					k i r u					
348-5					h i r o i					
351-5					t o i					
361-5					o m o t a i					
379-5					k u s a tː a					
394-5					h i d a r i					
395-5					m i ŋ i					
400-5					h i pː a r u					
412-5					s a k e r u					
413-5					ts u k i s a s u					
414-5					h o r u					
422-5					h u k u r e r u					
423-5					k a ɴ ŋ a e r u					
430-5					h a k u					
435-5					h u k u					
446-5					s i t a e					
447-5					u eː					
458-5					t o s i					
56-5					h i t o					
62-5					i n u					
65-5					k a w a					
70-5					t a n e					
75-5					k a w a					
96-5					m eː					
101-5					h aː					
14-6						k u r i				
18-6						t a r u				
35-6						p ɨ t iː s ɨ				
36-6						f u t aː ts ɨ				
48-6						n a g a				
60-6						t ui				
63-6						sː a m				
64-6						k iː				
67-6						p aː				
68-6						n iː				
71-6						a k a ts ɨ				
76-6						p u n i				
83-6						ts ɨ n u				
87-6						p a n i				
95-6						m i m				
98-6						p a n a				
99-6						f u ts ɨ				
-102-6						s ɨ t a				
103-6						ts ɨ m i				
110-6						t iː				
116-6						mː i f u ts ɨ				
120-6						n u m				
132-6						ts ɨ f u				
139-6						k u r u s ɨ				
140-6						uː dz ɨ				
156-6						t a k iː				
168-6						ts ɨ ts ɨ				
169-6						p u s ɨ				
170-6						m i dz ɨ				
173-6						i s ɨ				
180-6						f u m u				
185-6						p a z ɨ				
186-6						m ui ɭ				
187-6						m ts ɨ				
190-6						a k a				
193-6						ts ɨː r u				
194-6						sː u				
195-6						f u				
216-6						m aː k oː m aː k o				
221-6						n aː				
239-6						i ts ɨ				
252-6						m iː ts ɨ				
253-6						j uː ts ɨ				
254-6						i ts ɨ ts ɨ				
266-6						k a dʒ i				
267-6						n a g a r i ɭ				
268-6						i m				
272-6						a m i				
276-6						a r a u				
281-6						m u s ɨ				
304-6						ts ɨ ts ɨ				
305-6						ts ɨː				
308-6						p a n a				
309-6						f u s a				
310-6						t u				
311-6						n				
342-6						j u ts ɨ				
346-6						fː a				
347-6						ts ɨː ts ɨː				
348-6						pˢ ɨ s u				
351-6						t uː				
361-6						i v u				
379-6						f u s a r i t a m				
394-6						p ɨ d a ɭ				
395-6						n ts ɨ				
400-6						p i k a u				
412-6						s a k i ɭ				
413-6						ts ɨ f u				
414-6						p u ɭ				
422-6						f u k u r i ɭ				
423-6						k a ŋ g a i ɭ				
430-6						p a f u				
435-6						fː u				
446-6						s ɨ t aː r a				
447-6						w aː r a				
458-6						t u s ɨ				
56-6						p ɨ t u				
62-6						i n				
65-6						k aː				
70-6						t a n i				
75-6						k aː				
96-6						m iː				
101-6						p aː				
14-7							k o r e			
18-7							d a r e			
35-7							ɸ u t o ts u			
36-7							ɸ u t aː ts u			
48-7							n a ŋ eː			
60-7							t o r i			
63-7							s i r a m e			
64-7							k i			
67-7							ɸ a			
68-7							n e			
71-7							tɕ i			
76-7							ɸ o n e			
83-7							ts u n o			
87-7							h a n e			
95-7							m i m i			
98-7							h a n a			
99-7							k u tɕ i			
-102-7							b e r o			
103-7							ts u m e			
110-7							t e			
116-7							ɴ n e			
120-7							n o m u			
132-7							k i k u			
139-7							k o r o s u			
140-7							o j o ŋ u			
156-7							t a tɕː o r u			
168-7							ts u k i			
169-7							ɸ o s i			
170-7							m e z u			
173-7							e s i			
180-7							k u m o			
185-7							ɸ eː			
186-7							m o e r u			
187-7							m e tɕ i			
190-7							a k eː			
193-7							k iː r o			
194-7							s i r eː			
195-7							k u r eː			
216-7							m a r iː			
221-7							n a			
239-7							e ts u			
252-7							m i tsː u			
253-7							j o tsː u			
254-7							e ts u ts u			
266-7							k a z e			
267-7							n a g a r e r u			
268-7							o m i			
272-7							a m e			
276-7							a r a o			
281-7							m o s i			
304-7							ts u b a k e			
305-7							tɕ i			
308-7							h a n a			
309-7							k u s a			
310-7							t o			
311-7							n i			
342-7							e k i			
346-7							k u r eː			
347-7							k i r u			
348-7							ɸ u r eː			
351-7							t o w eː			
361-7							o m eː			
379-7							k u s a tː a			
394-7							ɸ u d a r i			
395-7							m i ŋ i			
400-7							ɕ a b a r u			
412-7							s a k e r u			
413-7							s a s u			
414-7							h o r u			
422-7							ɸ u k u r e r u			
423-7							k a ɴ ŋ a e r u			
430-7							h a k u			
435-7							ɸ u k u			
446-7							s i t a			
447-7							e w e			
458-7							t o s i			
56-7							ɸ u t o			
62-7							e n o			
65-7							k a w a			
70-7							t a n e			
75-7							k a w a			
96-7							m e			
101-7							ɸ a			
14-8								k o r e		
18-8								d a r e		
35-8								h i t o ts u		
36-8								h u t a ts u		
48-8								n a g a i		
60-8								t o r i		
63-8								s i r a m i		
64-8								k i		
67-8								h a		
68-8								n e		
71-8								tɕ i		
76-8								h o n e		
83-8								ts u n o		
87-8								h a n e		
95-8								m i m i		
98-8								h a n a		
99-8								k u tɕ i		
-102-8								s i t a b e r a		
103-8								ts u m e		
110-8								t e		
116-8								m u n e		
120-8								n o m u		
132-8								k i k u		
139-8								k o r o s u		
140-8								o j o g u		
156-8								t a tː o r u		
168-8								ts u k i		
169-8								h o s i		
170-8								m i z u		
173-8								i s i		
180-8								k u m o		
185-8								h a i		
186-8								m o e r u		
187-8								m i tɕ i		
190-8								a k a i		
193-8								k iː r o i		
194-8								s i r o i		
195-8								k u r o i		
216-8								m a r ui		
221-8								n a m a		
239-8								i ts u		
252-8								m i tsː u		
253-8								j o tsː u		
254-8								i ts u ts u		
266-8								k a z e		
267-8								n a g a r e r u		
268-8								u m i		
272-8								a m e g a		
276-8								a r a u		
281-8								m u s i		
304-8								ts u b a k i		
305-8								tɕ i tɕ i		
308-8								h a n a		
309-8								k u s a		
310-8								t o		
311-8								n i		
342-8								j u k i		
346-8								k u r a i		
347-8								k i r u		
348-8								h i r o i		
351-8								t oː k ui		
361-8								o m o i		
379-8								k u s a tː a		
394-8								h i d a r i		
395-8								m i g i		
400-8								h i pː a r u		
412-8								s a k e r u		
413-8								ts u k i s a s u		
414-8								h o r u		
422-8								h u k u r e r u		
423-8								k a ɴ g a e r u		
430-8								h a k u		
435-8								h u k u		
446-8								s i t a		
447-8								u e		
458-8								t o s i		
62-8								i n u		
65-8								k a w a		
70-8								t a n e		
75-8								k a w a		
96-8								m e		
101-8								h a		
14-9									k u r i	
18-9									t aː	
35-9									t iː ɕ i	
36-9									t aː ɕ i	
48-9									n a g a s a ɴ	
60-9									t ui	
63-9									s i r a ɴ	
64-9									k iː	
67-9									h w aː	
68-9									n iː	
71-9									tɕ iː	
76-9									h u n i	
83-9									ɕ i n u	
87-9									h a n i g iː	
95-9									m i m i	
98-9									h a n a	
99-9									k u tɕ i	
-102-9									ʃ i b a	
103-9									ɕ i m i	
110-9									t iː	
116-9									ɴ n i	
120-9									n u n u ɴ	
132-9									tɕ i ts u ɴ	
139-9									k u r u ɕ u ɴ	
140-9									ʔ w iː z u ɴ	
156-9									t a tsː oː n	
168-9									ɕ i tɕ i	
169-9									h u s i	
170-9									m i dʒ i	
173-9									ʔ i s i	
180-9									k u m u	
185-9									h w eː	
186-9									m eː j u ɴ	
187-9									m i tɕ i	
190-9									ʔ a k a s a ɴ	
193-9									tɕ iː r u	
194-9									s i r u s a ɴ	
195-9									k u r u s a ɴ	
216-9									m a r u s a ɴ	
221-9									n aː	
239-9									ʔ i ɕ i	
252-9									m iː ɕ i	
253-9									j uː ɕ i	
254-9									ʔ i ɕ i ɕ i	
266-9									k a dʒ i	
267-9									n a g a r i j u ɴ	
268-9									ʔ u m i	
272-9									ʔ a m i n u	
276-9									ʔ a r a j u ɴ	
281-9									m u s i	
304-9									ɕ i ɴ p eː	
305-9									tɕ iː	
308-9									h a n a	
309-9									k u s a	
310-9									t u	
311-9									n a k a i	
342-9									j u tɕ i	
346-9									k u r a s a ɴ	
347-9									tɕ i j u ɴ	
348-9									h w i r u s a ɴ	
351-9									t uː s a ɴ	
361-9									ʔ ɴ b u s a ɴ	
379-9									k u tsː oː r u	
394-9									h w i z a i	
395-9									n i dʑ i r i	
400-9									h w i ts u ɴ	
412-9									s a k i j u ɴ	
413-9									ɕ i tɕ i k u dʑ i j u ɴ	
414-9									h u j u ɴ	
422-9									h u kː w i j u ɴ	
423-9									k a ɴ g eː j u ɴ	
430-9									h a ts u ɴ	
435-9									h u ts u ɴ	
446-9									s i ts a ɴ k a i	
447-9									ʔ w iː ɴ k a i	
458-9									t u s i	
56-9									tsː u	
62-9									ʔ i ɴ	
65-9									k aː	
75-9									k aː	
96-9									m iː	
101-9									h aː	
14-10										k o r e
18-10										d a r e
35-10										h i t o ts u
36-10										h u t a tsː u
48-10										n a ŋ a i
60-10										t o r i
63-10										s i r a m i
64-10										k i
67-10										h a pː a
68-10										n e kː o
71-10										tɕ i
76-10										h o n e
83-10										ts u n o
87-10										h a n e
95-10										m i m i
98-10										h a n a
99-10										k u tɕ i
-102-10										s i t a
103-10										ts u m e
110-10										t e
116-10										m u n e
120-10										n o m u
132-10										k i k u
139-10										k o r o s u
140-10										o j o ŋ u
156-10										t a tː e r u
168-10										ts u k i
169-10										h o s i
170-10										m i z u
173-10										i s i
180-10										k u m o
185-10										h a i
186-10										m o e r u
187-10										m i tɕ i
190-10										a k a i
193-10										k iː r o i
194-10										s i r o i
195-10										k u r o i
216-10										m a r ui
221-10										n a m a e
239-10										i ts u
252-10										m i tsː u
253-10										j o tsː u
254-10										i ts u ts u
266-10										k a z e
267-10										n a ŋ a r e r u
268-10										u m i
272-10										a m e ŋ a
276-10										a r a u
281-10										m u s i
304-10										ts u b a
305-10										o tɕ i tɕ i
308-10										h a n a
309-10										k u s a
310-10										t o
311-10										n i
342-10										j u k i
346-10										k u r a i
347-10										k i r u
348-10										h i r o i
351-10										t oː i
361-10										o m o i
379-10										k u s a tː a
394-10										h i d a r i
395-10										m i ŋ i
400-10										h i pː a r u
412-10										s a k e r u
413-10										ts u k i s a s u
414-10										h o r u
422-10										h u k u r e r u
423-10										k a ɴ ŋ a e r u
430-10										h a k u
435-10										h u k u
446-10										s i t a e
447-10										u eː
458-10										t o s i
56-10										h i t o
62-10										i n u
65-10										k a w a
70-10										t a n e
75-10										k a w a
96-10										m e
101-10										h a
