COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
170-8								m i		
173-8								i n u		
180-8								k u b i		
185-8								h a		
186-8								m o r u		
187-8								m i g i		
190-8								a k o		
193-8								k e r u		
194-8								s i tː o		
195-8								k u r e		
216-8								m a i		
221-8								n a i		
239-8								i n u		
252-8								m i		
253-8								j o r u		
254-8								i n u		
266-8								k a g e		
267-8								n a g e r u		
268-8								u ɴ d a		
272-8								a b e		
276-8								a r e		
281-8								m o s i		
304-8								ts u r a i		
305-8								m i		
308-8								h a r a ɴ		
309-8								k u s a ui		
310-8								t o s i		
311-8								n a i		
14-9									k u	
18-9									w a ɴ	
35-9									tsː u	
36-9									h u ts u ɴ	
48-9									n eː ɴ	
60-9									t u dʑ i	
63-9									s i n a ɴ	
64-9									k iː	
67-9									h aː	
68-9									n uː	
71-9									tɕ i r i	
76-9									h u ts u ɴ	
83-9									ɕ i b u	
87-9									h a n i	
95-9									ɴ n a	
98-9									h a n i	
99-9									k u b i	
-102-9									s i n a	
103-9									ɕ i b u	
110-9									t iː	
116-9									m u s i	
120-9									n i ɴ	
132-9									tɕ i j u ɴ	
139-9									k u b i	
140-9									ʔ u ɕ u ɴ	
156-9									t a tː aː	
168-9									tɕ i b u s i	
169-9									h u	
170-9									m iː	
173-9									ʔ i ɴ	
180-9									k u b i	
185-9									h w iː	
186-9									m u	
187-9									tɕ i r i	
190-9									ʔ a tsː u ɴ	
193-9									k u r a	
194-9									s i n u ɴ	
195-9									k u j u ɴ	
216-9									m aː ɕ u	
221-9									n a	
239-9									ʔ i ɴ	
252-9									m iː	
253-9									j u tɕ i	
254-9									ʔ i ɴ	
266-9									k a tː aː	
267-9									n eː ɴ	
268-9									ʔ u ɕ u ɴ	
272-9									ʔ a tsː u ɴ	
276-9									ʔ a r i	
281-9									m u s i	
304-9									ɕ i tɕ i k u	
305-9									tɕ i r i	
308-9									h a n i	
309-9									k u b i	
310-9									t u s i	
311-9									n eː ɴ	
14-10										k oː r u
18-10										t a i
35-10										h i r o i
36-10										h u k u
48-10										n a i
60-10										t oː i
63-10										s i t a e
64-10										k i
67-10										h a
68-10										n uː
71-10										m i
76-10										h o r u
83-10										ts u n a
87-10										h a
95-10										m i ŋ i
98-10										h a
99-10										k u b i
-102-10										s i t a e
103-10										ts u k i
110-10										t oː
116-10										m e s u
120-10										n u k u
132-10										k i r u
139-10										k o tɕ i r u
140-10										o m o i
156-10										t a n e
168-10										ts u k i
169-10										h o b i
170-10										m i ŋ i
173-10										i k i
180-10										k u b i
185-10										h a
186-10										m e s u
187-10										m i ŋ i
190-10										a s u k o
193-10										k e r u
194-10										s i ɴ z oː
195-10										k u b i
216-10										m a ŋ u
221-10										n a i
239-10										i n u
252-10										m i r u
253-10										j o r u
254-10										i n u
266-10										k a w a
267-10										n a n e
268-10										u d e
272-10										a s u k o
276-10										a r u k u
281-10										m u s i
304-10										ts u k i s a ɴ
305-10										s i
308-10										h a
309-10										k u s a tː a
310-10										t o tɕ i
311-10										n a i
