COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
103-5					ts u k u					
110-5					t e					
116-5					m u n e					
120-5					n o s u					
132-5					k i					
139-5					k o s u					
140-5					o k o					
156-5					t a r u					
168-5					ts u k i					
169-5					h o s i					
170-5					m i					
173-5					i n i					
180-5					k u m o					
185-5					h a					
186-5					m o r u					
187-5					m i r i					
190-5					a k a i					
193-5					k e r i					
194-5					s i					
195-5					k u r a i					
216-5					m a r ui					
221-5					n a					
239-5					i pː u					
252-5					m i					
253-5					j o					
254-5					i b u					
266-5					k a w a					
267-5					n a ŋ e r u					
268-5					u m i					
272-5					a m e					
276-5					a r u					
281-5					m u s i					
304-5					ts u b a					
305-5					k i					
308-5					h a n a					
309-5					k u s a i					
310-5					t o					
311-5					n i					
14-6						j u ɭ				
18-6						t a				
35-6						j u s ɨ				
36-6						p a f u				
48-6						a n a				
60-6						t u				
63-6						s ɨ n a				
64-6						ts ɨ				
67-6						p a				
68-6						n u				
71-6						ts ɨ				
76-6						p u				
83-6						ts ɨ				
87-6						p a				
95-6						m iː				
98-6						p a f u				
99-6						k u ts ɨ				
-102-6						s ɨ				
103-6						ts ɨ				
110-6						t i				
116-6						m iː				
120-6						i n				
132-6						ts ɨː				
139-6						fː u				
140-6						u s ɨ				
156-6						t a u				
168-6						ts ɨ				
169-6						p u s ɨ				
170-6						m iː				
173-6						s ɨ				
180-6						fː u				
185-6						p a				
186-6						m i ɭ				
187-6						ts ɨ				
190-6						a ts ɨ				
193-6						k i ɭ				
194-6						ts ɨː				
195-6						k i ɭ				
216-6						a n a				
221-6						n a				
239-6						ts ɨ				
252-6						m iː				
253-6						j u				
254-6						ts ɨ				
266-6						k aː				
267-6						n a ts ɨ				
268-6						ts ɨ				
272-6						a u				
276-6						a i ɭ				
281-6						m u s ɨ				
304-6						ts ɨ f u				
305-6						u s ɨ				
308-6						p a f u				
309-6						k aː				
310-6						t u				
311-6						n				
14-7							k o r u			
18-7							t a r e			
35-7							ɸ u t o r u			
36-7							ɸ u t a r u			
48-7							n a			
60-7							t o			
63-7							s i r a			
64-7							k i			
67-7							h a			
68-7							n e			
71-7							tɕ i			
76-7							h o			
83-7							s u n o			
87-7							h a n e			
95-7							m i			
98-7							h a n a			
99-7							k i			
-102-7							s i t a			
103-7							s i			
110-7							t e			
116-7							ɴː n e			
120-7							n o			
132-7							k i r u			
139-7							k o s u			
140-7							o k o			
156-7							t a r u			
168-7							e k i			
169-7							h o s i			
170-7							m i			
173-7							e m i			
180-7							k u m o			
185-7							ɸ i			
186-7							m o r u			
187-7							m i			
190-7							a s i			
193-7							k u r eː			
194-7							s i r i			
195-7							k u r eː			
216-7							m a r iː			
221-7							n a			
239-7							e n o			
252-7							m i			
253-7							j o			
254-7							e n o			
266-7							k a ɴ			
267-7							n a r u			
268-7							o m i			
272-7							a m a			
276-7							a r u			
281-7							m o s i			
304-7							ts u			
305-7							tɕ i			
308-7							h a n a			
309-7							k u s a			
310-7							t o			
311-7							n oː			
14-8								k o r u		
18-8								t a r e		
35-8								h i t o r u		
36-8								h u t a w a		
48-8								n a i		
60-8								t o r i		
63-8								s i r a m i		
64-8								k i		
67-8								h a		
68-8								n e		
71-8								tɕ i		
76-8								h o r u		
83-8								ts u n e		
87-8								h a n a		
95-8								m i		
98-8								h a n a		
99-8								k u b i		
-102-8								s i		
103-8								ts u m e		
110-8								t e		
116-8								m u s e		
120-8								n o s u		
132-8								k i k u		
139-8								k o r u		
140-8								o k u		
156-8								t a r u		
168-8								ts u k i		
169-8								h o s i		
170-8								m i		
173-8								i s i		
180-8								k u m o		
185-8								h i		
186-8								m o r u		
187-8								m i		
190-8								a k a i		
193-8								k oː r o i		
194-8								s i r o i		
195-8								k u r a i		
216-8								m a r ui		
221-8								n a i		
239-8								i n u		
252-8								m i		
253-8								j o		
254-8								i n u		
266-8								k a		
267-8								n a r u		
268-8								u s i		
272-8								a m a		
276-8								a r u		
281-8								m u s i		
304-8								ts u		
305-8								tɕ i		
308-8								h a n a		
309-8								k u s a		
310-8								t o		
311-8								n i		
14-9									k u	
18-9									ʔ a s a ɴ	
35-9									h u j u ɴ	
36-9									h u ts u ɴ	
48-9									n a s a ɴ	
60-9									t u s i	
63-9									s i n a s a ɴ	
64-9									k iː	
67-9									h aː	
68-9									n u ɴ	
71-9									tɕ i	
76-9									h u ɴ	
83-9									ɕ i n a	
87-9									h a n i	
95-9									m i	
98-9									h a n a	
99-9									k u	
-102-9									s i n a	
103-9									ɕ i n a	
110-9									t i	
116-9									m u s i	
120-9									n u ɴ	
132-9									tɕ i j u ɴ	
139-9									k u ɴ	
140-9									ʔ u ɴ	
156-9									ʔ a ɴ	
168-9									ɕ i tɕ i	
169-9									h u ɴ	
170-9									m iː	
173-9									ʔ i ɴ	
180-9									k u r u	
185-9									h aː	
186-9									m u ɴ	
187-9									n i	
190-9									ʔ a ɕ i	
193-9									k aː	
194-9									s i ts a ɴ	
195-9									k u ɴ	
216-9									tɕ i ts a ɴ	
221-9									n a ɴ	
239-9									ʔ i ɴ	
252-9									m u s i	
253-9									j u ɴ	
254-9									ʔ i ts u ɴ	
266-9									k aː	
267-9									n a ɴ	
268-9									ʔ u s i	
272-9									ʔ a n a	
276-9									ʔ a ɕ i ɴ	
281-9									m u s i	
304-9									ɕ i n a	
305-9									tɕ i tɕ i	
308-9									h a n a	
309-9									k u ɴ	
310-9									t u	
311-9									n i	
14-10										k o
18-10										t a r e
35-10										h i t o ts u
36-10										h u t a u
48-10										n a i
60-10										t o
63-10										s i n a e
64-10										k i
67-10										h a
68-10										n e
71-10										tɕ i
76-10										h o n e
83-10										ts u n o
87-10										h a n e
95-10										m i
98-10										h a n a
99-10										k u b i
-102-10										s i
103-10										ts u k e
110-10										t e
116-10										m u n e
120-10										n e m u
132-10										k i r u
139-10										k e r u
140-10										o s u
156-10										t a r u
168-10										ts u k i
169-10										h o s i
170-10										m i
173-10										i n i
180-10										k u m o
185-10										h i
186-10										m o r u
187-10										m i
190-10										a m a i
193-10										k oː r o i
194-10										s i r o i
195-10										k u r u
216-10										m a r ui
221-10										n a
239-10										i n u
252-10										m i
253-10										j o s u
254-10										i n u
266-10										k a
267-10										n a r u
268-10										u k i
272-10										a m e
276-10										a r u
281-10										m u s i
304-10										ts u k i
305-10										tɕ i
308-10										h a n a
309-10										k u s a
310-10										t o
311-10										n i
