COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
216-3			m a r ui							
221-3			n a							
239-3			i ts uː							
252-3			m i ts uː							
253-3			j o ts uː							
254-3			i ts uː ts uː							
266-3			k a z e							
267-3			n a ŋ a r e r u							
268-3			u m i							
272-3			a m a							
276-3			a r a u							
281-3			m u s i							
304-3			ts uː k i							
305-3			tɕ i o o							
308-3			h a n a							
309-3			k u s a							
310-3			t o							
311-3			n i							
342-3			j u k i							
346-3			k u r a a							
347-3			k i r uː							
348-3			h i r u							
351-3			t oː i							
361-3			o m a o i							
379-3			k u s a r t a							
394-3			h i d a r i							
395-3			n i ŋ i							
400-3			h i pː i a r u							
412-3			s a k e r uː							
413-3			ts u k i s a s u							
414-3			h o r uː							
422-3			h u k u r e r u uː							
423-3			k a ɴ ŋ a i r uː							
430-3			h a k u							
435-3			h u k u							
446-3			s i t a a							
447-3			uː r a							
458-3			t o s i							
56-3			h i t o							
62-3			i n uː							
65-3			k a							
70-3			t a n e							
75-3			k a w							
96-3			m i							
101-3			h a							
14-4				k o r e						
18-4				d a r e						
35-4				h t o s u						
36-4				h u t a ts u						
48-4				n a ŋ a i						
60-4				t o i						
63-4				s i r a m i						
64-4				k i						
67-4				h tː a						
68-4				n e						
71-4				tɕ i						
76-4				h o n e						
83-4				ts u n o						
87-4				h a n e						
95-4				m i m i						
98-4				h a n a						
99-4				k u tɕ i						
-102-4				s i t a						
103-4				ts u m e						
110-4				t e						
116-4				m u n e						
120-4				n o m						
132-4				k i k						
139-4				k o r o s u						
140-4				o j o u						
156-4				t a t r u						
168-4				ts u k i						
169-4				h o s i						
170-4				m i s u						
173-4				i s i						
180-4				k u m o						
185-4				h a i						
186-4				m o a r						
187-4				m i tɕ i						
190-4				a k a i						
193-4				k e i						
194-4				s i r o i						
195-4				k u r o i						
216-4				m a r a						
221-4				n a						
239-4				i ts u						
252-4				m i t u						
253-4				j o t u						
254-4				i ts u ts u						
266-4				k a s e						
267-4				n a ŋ a r e r u						
268-4				u m i						
272-4				a m a						
276-4				a r a u						
281-4				m u s i						
304-4				ts u k u						
305-4				tɕ i						
308-4				h a n a						
309-4				k u s a						
310-4				t o						
311-4				n i						
342-4				j u k i						
346-4				k u r a i						
347-4				k i r u						
348-4				h i r o i						
351-4				t o						
361-4				m o a						
379-4				k u s a r a a						
394-4				h i d a r i						
395-4				m i r i						
400-4				h i k a						
412-4				s a k e r						
413-4				t u k i a s u						
414-4				h o r						
422-4				h u k u r r						
423-4				k a ɴ ŋ a a r						
430-4				h a k u						
435-4				h u k u						
446-4				s i t a a						
447-4				u						
458-4				t o s i						
56-4				h i t o						
62-4				i n						
65-4				k a						
70-4				t a n e						
75-4				k a a						
96-4				m e						
101-4				h a						
14-5					k o r e					
18-5					d a r e					
35-5					h i t Ø ts u					
36-5					h u t a ts u					
48-5					n a ŋ a i					
60-5					t o tɕ tɕ i					
63-5					s i r a m i					
64-5					k i					
67-5					h w a					
68-5					n e					
71-5					tɕ i					
76-5					h o n e					
83-5					ts u n o					
87-5					h a n e					
95-5					m i m i					
98-5					h a n a					
99-5					k u tɕ i					
-102-5					s i t a					
103-5					ts u m e					
110-5					t e					
116-5					m u n e					
120-5					n o m					
132-5					k i k u					
139-5					k o tɕ Ø s u					
140-5					Ø j o u					
156-5					t a t u					
168-5					ts u k i					
169-5					h o s i					
170-5					m i z u					
173-5					i s i					
180-5					k u m o					
185-5					h a					
186-5					m Ø r					
187-5					m i tɕ i					
190-5					a k i a i					
193-5					k e i					
194-5					s i r u					
195-5					k u r u					
216-5					m a r a					
221-5					n a					
239-5					i ts u					
252-5					m i Ø u					
253-5					j Ø Ø u					
254-5					i ts u ts u					
266-5					k a z e					
267-5					n a ŋ a tɕ r u					
268-5					u m i					
272-5					a m e					
276-5					a tɕ a u					
281-5					m u s tɕ tɕ i					
304-5					ts u tɕ i k					
305-5					tɕ i					
308-5					h a n a					
309-5					k u s a					
310-5					t o					
311-5					n i					
342-5					j u k i					
346-5					k u tɕ a i					
347-5					k i r u					
348-5					h i r u i					
351-5					t oː					
361-5					m o a i					
379-5					k u s a tɕ i					
394-5					h i d a i					
395-5					m i ŋ i					
400-5					h i Ø a					
412-5					s a k r					
413-5					Ø u k i a s u					
414-5					h o r					
422-5					h u k u r r					
423-5					k a ɴ ŋ a a r					
430-5					h a k u					
435-5					h u k u					
446-5					s i t a					
447-5					w u e					
458-5					t o s i					
56-5					h i t u					
62-5					i n i					
65-5					k a					
70-5					t a n e					
75-5					k a i a a					
96-5					m e					
101-5					h a					
14-6						k o Ø e				
18-6						d a Ø Ø				
35-6						h i Ø Ø ts u				
36-6						h u Ø a ts u				
48-6						n a Ø a i				
60-6						Ø o Ø i				
63-6						s i Ø a m i				
64-6						k i				
67-6						h a				
68-6						n e				
71-6						tɕ i				
76-6						h o n e				
83-6						ts u n o				
87-6						h a n e				
95-6						m i m i				
98-6						h a n a				
99-6						k u tɕ i				
-102-6						s i Ø a				
103-6						ts u m e				
110-6						Ø e				
116-6						m u n e				
120-6						n o m u				
132-6						k i k u				
139-6						k o Ø o s u				
140-6						o j o Ø u				
156-6						Ø a Ø Ø u				
168-6						ts u k i				
169-6						h o s i				
170-6						m i Ø u				
173-6						i s i				
180-6						k u m o				
185-6						h a i				
186-6						m Ø Ø Ø u				
187-6						m i tɕ i				
190-6						a k a i				
193-6						k iː r o i				
194-6						s i Ø o i				
195-6						k u Ø o i				
216-6						m a a Ø				
221-6						n a				
239-6						i ts u				
252-6						m i Ø u				
253-6						j o Ø u				
254-6						i ts u ts u				
266-6						k a Ø e				
267-6						n a Ø a Ø e Ø u				
268-6						u m i				
272-6						a m e				
276-6						a Ø a u				
281-6						m u s i				
304-6						ts u Ø a				
305-6						tɕ i Ø Ø				
308-6						h a n a				
309-6						k u s a				
310-6						Ø o				
311-6						n i				
342-6						j u k i				
346-6						k u Ø a i				
347-6						k i Ø u				
348-6						h i Ø o i				
351-6						Ø Ø i				
361-6						o m o o a i				
379-6						k u s a r i				
394-6						h i d a Ø i				
395-6						m i Ø r i				
400-6						h i Ø a Ø u				
412-6						s a k e Ø u				
413-6						ts u k i s a s u				
414-6						h o Ø u				
422-6						h u k u Ø Ø Ø u				
423-6						k a ɴ Ø a Ø Ø u				
430-6						h a k u				
435-6						h u k u				
446-6						s i Ø a				
447-6						u e				
458-6						Ø o s i				
56-6						h i Ø o				
62-6						i n u				
65-6						k a w a				
70-6						Ø a n e				
75-6						k a a				
96-6						m e				
101-6						h a				
14-7							k o r e			
18-7							d a r e			
35-7							h i t o ts u			
36-7							h u t a ts u			
48-7							n a ŋ a i			
60-7							t o r i			
63-7							s i r a m i			
64-7							k i			
67-7							h a			
68-7							n e			
71-7							tɕ i			
76-7							h o n e			
83-7							ts u n o			
87-7							h a n e			
95-7							m i m i			
98-7							h a n a			
99-7							k u tɕ i			
-102-7							s i t a			
103-7							ts u m e			
110-7							t e			
116-7							m u n e			
120-7							n o m u			
132-7							k i k u			
139-7							k o r o s u			
140-7							o j o u			
156-7							t a ts r o u			
168-7							ts u k i			
169-7							h o s i			
170-7							m i u u			
173-7							i s i			
180-7							k u m o			
185-7							h a i			
186-7							m o e r u			
187-7							m i tɕ i			
190-7							a k a i			
193-7							k ui r o i			
194-7							s i r o i			
195-7							k u r o i			
216-7							m a r a			
221-7							n a			
239-7							i ts u			
252-7							m i ts u			
253-7							j o ts u			
254-7							i ts u ts u			
266-7							k a z e			
267-7							n a ŋ a r e r u			
268-7							u m i			
272-7							a m e			
276-7							a r a u			
281-7							m u s i			
304-7							ts u b i a			
305-7							tɕ i tɕ i			
308-7							h a n a			
309-7							k u s a			
310-7							t o			
311-7							n i			
342-7							j u k i			
346-7							k u r a i			
347-7							k i r u			
348-7							h i r o i			
351-7							t oː i			
361-7							o a i			
379-7							k u s a r a			
394-7							h i d a r i			
395-7							m i ŋ r i			
400-7							h i w a r u			
412-7							s a k e r u			
413-7							ts u k i s a s u			
414-7							h o r u			
422-7							h u k u r e r u			
423-7							k a n ŋ a e r u			
430-7							h a k u			
435-7							h u k u			
446-7							s i t a			
447-7							u e			
458-7							t o s i			
56-7							h i t o			
62-7							i n u			
65-7							k a w a			
70-7							t a n e			
75-7							k a w a			
96-7							m e			
101-7							h a			
14-8								k o r e		
18-8								d a r e		
35-8								h u t o ts u		
36-8								h u t a ts u		
48-8								n a ŋ a i		
60-8								t o r i		
63-8								s i r a m i		
64-8								k i		
67-8								h a		
68-8								n e		
71-8								tɕ i		
76-8								h o n e		
83-8								ts u n o		
87-8								h a n e		
95-8								m i m i		
98-8								h a n a		
99-8								k u tɕ i		
-102-8								s i t a		
103-8								ts u m e		
110-8								t e		
116-8								m u n e		
120-8								n o m u		
132-8								k i k u		
139-8								k o r o s u		
140-8								o j o ŋ u		
156-8								t a k u r u		
168-8								ts u k i		
169-8								h o s i		
170-8								m i a u		
173-8								i s i		
180-8								k u m o		
185-8								h a i		
186-8								m i u r u		
187-8								m i tɕ i		
190-8								a k a i		
193-8								k iː r o i		
194-8								s i r o a		
195-8								k u r o a		
216-8								m a r a ui		
221-8								n a		
239-8								i ts u		
252-8								m i ts u		
253-8								j o ts u		
254-8								i ts u ts u		
266-8								k a r e		
267-8								n a ŋ a r e r u		
268-8								u m i		
272-8								a m tː tː e		
276-8								a r a u		
281-8								m u s i		
304-8								ts u b a		
305-8								tɕ i		
308-8								h a n a		
309-8								k u s a		
310-8								t o		
311-8								n i		
342-8								j u k i		
346-8								k u r a i		
347-8								k i r u		
348-8								h i r o i		
351-8								t e a		
361-8								o m o a i		
379-8								k u s a r a		
394-8								h h i d a r i		
395-8								m i ŋ i		
400-8								h i k a r u		
412-8								s a k e r u		
413-8								ts u k i a s u		
414-8								h o r u		
422-8								h u k u r e r u		
423-8								k a ŋ a a r u		
430-8								h a k u		
435-8								h u k u		
446-8								s i t a		
447-8								u i		
458-8								t o s i		
62-8								i n u		
65-8								k a w a		
70-8								t a n e		
75-8								k a w a		
96-8								m e		
101-8								h h a		
14-9									k o r e	
18-9									d a r o	
35-9									i t o ts u	
36-9									u t a ts u	
48-9									n a ŋ a i	
60-9									t o r i	
63-9									s i r a m i	
64-9									k i	
67-9									a	
68-9									n e	
71-9									ts i	
76-9									o n e	
83-9									ts u n o	
87-9									h a n e	
95-9									m i m i	
98-9									h a n a	
99-9									k u tɕ i	
-102-9									s i t a	
103-9									ts u m e	
110-9									t e	
116-9									m u n e	
120-9									n o m u	
132-9									k i k u	
139-9									k o r o s u	
140-9									o j o Ø u	
156-9									t a t e r u	
168-9									ts u k i	
169-9									o s i	
170-9									m i Ø u	
173-9									i s i	
180-9									k u m o	
185-9									a i	
186-9									m o o r u	
187-9									m i tɕ i	
190-9									a k a i	
193-9									k i r o i	
194-9									s i r o i	
195-9									k u r o i	
216-9									m a r ui	
221-9									n a Ø	
239-9									i ts u	
252-9									m i Ø u	
253-9									j o Ø u	
254-9									i ts u ts u	
266-9									k a Ø e	
267-9									n a a r e r u	
268-9									u m i	
272-9									a m e	
276-9									a r a u	
281-9									m u s i	
304-9									ts u b Ø Ø i	
305-9									ts i tɕ	
308-9									h a n a	
309-9									k u s a	
310-9									t o	
311-9									n i	
342-9									j u k i	
346-9									k u r a i	
347-9									k i r u	
348-9									h i r o i	
351-9									t o i	
361-9									o m o a i	
379-9									k u s a Ø a	
394-9									i d a r i	
395-9									m i Ø i	
400-9									i k a r u	
412-9									s a k e r u	
413-9									ts u k i s a s u	
414-9									h o r u	
422-9									u k u r e r u	
423-9									k a ɴ ŋ a e r u	
430-9									h a k u	
435-9									u k u	
446-9									s i t a	
447-9									u e	
458-9									t o s i	
56-9									i t o	
62-9									i n u	
65-9									k a w a	
75-9									k a w a	
96-9									m e	
101-9									a	
14-10										k o r e
18-10										d a r e
35-10										h i t o ts u
36-10										h u t a ts u
48-10										n a ŋ a i
60-10										t o r i
63-10										s i r a m i
64-10										k i
67-10										h a
68-10										n e
71-10										tɕ i
76-10										h o n e
83-10										ts u n o
87-10										h a n e
95-10										m i m i
98-10										h a n a
99-10										k u tɕ i
-102-10										s i t a
103-10										ts u m e
110-10										t e
116-10										m u n e
120-10										n o m u
132-10										k i k u
139-10										k o r o s u
140-10										o j o ŋ u
156-10										t a t e r u
168-10										ts u k i
169-10										h o s i
170-10										m i z u
173-10										i s i
180-10										k u m o
185-10										h a i
186-10										m o e r u
187-10										m i tɕ i
190-10										a k a i
193-10										k i r o i
194-10										s i r o i
195-10										k u r o i
216-10										m a r ui
221-10										n a
239-10										i ts u
252-10										m i w u
253-10										j o w u
254-10										i ts u ts u
266-10										k a z e
267-10										n a ŋ a r e r u
268-10										u m i
272-10										a m e e
276-10										a r a u
281-10										m u s i
304-10										ts u k i
305-10										tɕ i
308-10										h a n a
309-10										k u s a
310-10										t o
311-10										n i
342-10										j u k i
346-10										k u r a i
347-10										k i r u
348-10										h i r o i
351-10										t o
361-10										o m o a i
379-10										k u s a r a
394-10										h i d a r i
395-10										m i ŋ i
400-10										h i k a r u
412-10										s a k e r u
413-10										ts u k i s a s u
414-10										h o r u
422-10										h u k u r e r u
423-10										k a ɴ ŋ a e r u
430-10										h a k u
435-10										h u k u
446-10										s i t a
447-10										u i
458-10										t o s i
56-10										h i t o
62-10										i n u
65-10										k a w a
70-10										t a n e
75-10										k a w a
96-10										m e
101-10										h a
