COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
98-6						p a n a				
99-6						f u ts ɨ				
-102-6						s ɨ t aː r a				
103-6						ts ɨ m i				
110-6						t i				
116-6						m u n i				
120-6						n u m u				
132-6						ts ɨ f u				
139-6						k u r u s ɨ				
140-6						u j u				
156-6						t a ɭ ɨ f ɨ n				
168-6						ts ɨ ts ɨ				
169-6						p u s ɨ				
14-7							k o r e			
18-7							d a r e			
35-7							ɸ u t o ts u			
36-7							ɸ u t a ts u			
48-7							n a ŋ eː			
60-7							t o r i			
63-7							s i r a m i			
64-7							k i			
67-7							ɸ a			
68-7							n e			
71-7							tɕ i			
76-7							h o n e			
83-7							ts u n o			
87-7							h a n e			
95-7							m i m e			
98-7							h a n a			
99-7							k u tɕ i			
-102-7							s i t a			
103-7							ts u m e			
110-7							t e			
116-7							m o n e			
120-7							n o m o			
132-7							k i k u			
139-7							k o r o s u			
140-7							o r o			
156-7							t a tɕː o r u			
168-7							ts u k i			
169-7							h o s i			
14-8								k o r e		
18-8								d a r e		
35-8								h i t o ts u		
36-8								h u t a ts u		
48-8								n a g a i		
60-8								t o r i		
63-8								s i r a m i		
64-8								k i		
67-8								h a		
68-8								n e		
71-8								tɕ i		
76-8								h o n e		
83-8								ts u n o		
87-8								h a n e		
95-8								m i m i		
98-8								h a n a		
99-8								k u tɕ i		
-102-8								s i t a		
103-8								ts u m e		
110-8								t e		
116-8								m u n e		
120-8								n o m u		
132-8								k i k u		
139-8								k o r o s u		
140-8								o j o g u		
156-8								t a tː o r u		
168-8								ts u k i		
169-8								h o s i		
14-9									k u r i	
18-9									z a i	
35-9									h w i t u ts u ɴ	
36-9									h u t a ɕ i	
48-9									n a g a s a ɴ	
60-9									t u r i	
63-9									s i r a m i	
64-9									tɕ i	
67-9									h aː	
68-9									n i	
71-9									tɕ i	
76-9									h u n i	
83-9									ɕ i n u	
87-9									h a n i	
95-9									m i m i	
98-9									h a n a	
99-9									k u tɕ i	
-102-9									s i ts a	
103-9									ɕ i m i	
110-9									t i	
116-9									m u n i	
120-9									n u m u ɴ	
132-9									tɕ i ts u ɴ	
139-9									k u r u s i	
140-9									ʔ w iː g i j u ɴ	
156-9									t a tsː oː ɴ	
168-9									ɕ i tɕ i	
169-9									h u s i	
14-10										k o r e
18-10										d a r e
35-10										h i t o ts u
36-10										h u t a ts u
48-10										n a ŋ a i
60-10										t o r i
63-10										s i r a m i
64-10										k i
67-10										h a
68-10										n e
71-10										tɕ i
76-10										h o n e
83-10										ts u n o
87-10										h a n e
95-10										m i m i
98-10										h a n a
99-10										k u tɕ i
-102-10										s i t a
103-10										ts u m e
110-10										t e
116-10										m u n e
120-10										n o m u
132-10										k i k u
139-10										k o r o s u
140-10										o j o ŋ u
156-10										t a tː e r u
168-10										ts u k i
169-10										h o s i
