COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
394-5					h i r u m a					
395-5					n i k u					
400-5					h i r u m a					
412-5					s i tː e r u					
413-5					ts u tɕ i					
414-5					h o r u					
422-5					h u r u					
423-5					k a w a i					
430-5					h a r u k u					
435-5					h u r u					
446-5					s i ɴ z oː					
447-5					u s ui					
458-5					t o s i					
56-5					h i r u					
62-5					i r u					
65-5					k a w a					
70-5					t a b e r u					
75-5					k a w a					
96-5					m iː					
101-5					h a r a					
14-6						j u ɭ				
18-6						j a m a				
35-6						p i ʃ i				
36-6						p i ʃ i				
48-6						j a m a				
60-6						t u dz ɨ				
63-6						s ɨ n				
64-6						ts ɨ m u				
67-6						k aː				
68-6						n u z ɨ				
71-6						t i n				
76-6						p u k i				
83-6						ts ɨ n a				
87-6						k aː				
95-6						m iː ɭ				
98-6						k aː				
99-6						k i β u s ɨ				
-102-6						s ɨ n				
103-6						mː n a				
110-6						t i n				
116-6						m iː ɭ				
120-6						n u z ɨ				
132-6						ts ɨ m u				
139-6						j u ɭ				
140-6						u t i ɭ				
156-6						a vː a				
168-6						ts ɨ m u				
169-6						p u k i				
170-6						m iː ɭ				
173-6						s ɨ n				
180-6						ts ɨ m u				
185-6						p i ʃ i				
186-6						m u ts ɨ				
187-6						m iː ɭ				
190-6						a u				
193-6						ts ɨː				
194-6						s ɨː				
195-6						tʃː i				
216-6						mː n a				
221-6						j a m a				
239-6						i z o				
252-6						m iː ɭ				
253-6						j u ɭ				
254-6						i z o				
266-6						k aː				
267-6						n a ɭ				
268-6						mː				
272-6						a vː a				
276-6						a vː a				
281-6						m u s ɨ				
304-6						ts ɨ n a				
305-6						t i n				
308-6						j a m a				
309-6						k aː				
310-6						b u t u				
311-6						n a ɭ				
342-6						j u ɭ				
346-6						k aː				
347-6						tʃː i				
348-6						p i ʃ i				
351-6						t i n				
361-6						u t u				
379-6						k aː				
394-6						p i ʃ i				
395-6						m iː ɭ				
400-6						p i ʃ i				
412-6						s u b a				
413-6						ts ɨ n a				
414-6						p u k i				
422-6						f iː ɭ				
423-6						k aː				
430-6						p u k a n u				
435-6						p u k i				
446-6						s ɨ n				
447-6						i z o				
458-6						s ɨ n				
56-6						p i ʃ i				
62-6						n i v				
65-6						k aː				
70-6						a vː a				
75-6						k aː				
96-6						m iː ɭ				
101-6						j a m a				
14-7							k o r u			
18-7							d a r e			
35-7							ɸ i r u			
36-7							ɸ u r iː			
48-7							n a n i			
60-7							t o b u			
63-7							s i ɴ z oː			
64-7							k i			
67-7							ɸ a r a			
68-7							n oː			
71-7							tɕ i k o			
76-7							h o k e			
83-7							ts u n a			
87-7							h a n e			
95-7							m i			
98-7							h a n e			
99-7							k u b i			
-102-7							s i ɴ z oː			
103-7							tɕ i tɕ i			
110-7							t e ɴ			
116-7							m o ts u			
120-7							n o r u			
132-7							k i r u			
139-7							k o s u r u			
140-7							o t o k o			
156-7							t a m eː			
168-7							tɕ i tɕ i			
169-7							ɸ e s o			
170-7							m i r u			
173-7							e pː eː			
180-7							k o s u			
185-7							ɸ i			
186-7							m o ts u			
187-7							m i			
190-7							a s i			
193-7							k oː r i			
194-7							s i tɕː o r u			
195-7							k u r u			
216-7							m a r e			
221-7							n a n i			
239-7							e o			
252-7							m i r u			
253-7							j o r u			
254-7							e o			
266-7							k a w a			
267-7							n a ŋ e r u			
268-7							o tɕ i			
272-7							a tɕ iː			
276-7							a r u k u			
281-7							m o s i			
304-7							ts u n a			
305-7							tɕ i tɕ i			
308-7							h a n e			
309-7							k u b i			
310-7							t o b u			
311-7							n oː			
342-7							j o r u			
346-7							k u b i			
347-7							j oː			
348-7							ɸ i r u			
351-7							t e ɴ			
361-7							o s i			
379-7							k e m o r i			
394-7							ɸ i r u			
395-7							m i			
400-7							ɸ i r u			
412-7							s i tɕː o r u			
413-7							ts u n a			
414-7							ɸ u r u			
422-7							ɸ u r u			
423-7							k a m u			
430-7							h a r e			
435-7							ɸ u r u			
446-7							s i ɴ z oː			
447-7							o d e			
458-7							t o b u			
56-7							ɸ i			
62-7							n i k u			
65-7							k a w a			
70-7							t a ŋ e			
75-7							k a w a			
96-7							m i			
101-7							ɸ a r a			
14-8								k o r u		
18-8								d a r ui		
35-8								h i r u m a		
36-8								h u r u s iː		
48-8								n a i		
60-8								m o ts u		
63-8								s i ɴ z oː		
64-8								k e		
67-8								h a r a		
68-8								n oː		
71-8								ts u tɕ i		
76-8								h o k a n o ɴ		
83-8								m i ɴ n a		
87-8								h a r a		
95-8								m i ɴ n a		
98-8								h a r a		
99-8								k u b i		
-102-8								s i ɴ z oː		
103-8								ts u tɕ i		
110-8								d e		
116-8								m u b i		
120-8								n oː		
132-8								k i m o		
139-8								k o s i		
140-8								o tː o		
156-8								w a r ui		
168-8								k e m u r i		
169-8								h o k o		
170-8								m i r u		
173-8								i k e		
180-8								k o m o		
185-8								h a r a		
186-8								m o ts u		
187-8								m i		
190-8								a k o		
193-8								k e m u r i		
194-8								s i tː o r u		
195-8								k u b i		
216-8								m a sː u g u		
221-8								n a i		
239-8								i k e		
252-8								m i r u		
253-8								j o r u		
254-8								i k e		
266-8								k a w a		
267-8								n a g e r u		
268-8								u ɴ d a		
272-8								a r e		
276-8								a r u k u		
281-8								m u s i		
304-8								ts u tɕ i		
305-8								ts u tɕ i		
308-8								h a r a		
309-8								k u b i		
310-8								o tː o		
311-8								n a i		
342-8								k u b i		
346-8								k u b i		
347-8								k i r u		
348-8								h i r u m a		
351-8								t a m a g o		
361-8								o t o k o		
379-8								k u s a w a		
394-8								h i z a		
395-8								m i		
400-8								h i r u m a		
412-8								s i tː o r u		
413-8								m i ɴ n a		
414-8								h o k o r i		
422-8								h u r u s iː		
423-8								k a w a r u		
430-8								h a r a		
435-8								h u r u s iː		
446-8								s i ɴ z oː		
447-8								u d e		
458-8								t o s i		
62-8								i k e		
65-8								k a w a		
70-8								w a r ui		
75-8								k a w a		
96-8								m e		
101-8								h a r a		
14-9									k u b i	
18-9									u t i	
35-9									h w i r u	
36-9									h u s u	
48-9									n eː ɴ	
60-9									t u b u ɴ	
63-9									s i n u ɴ	
64-9									k iː	
67-9									h a n i	
68-9									n uː ɴ	
71-9									h w iː	
76-9									h u k ui	
83-9									ɕ i n u	
87-9									h a n i	
95-9									m iː s a ɴ	
98-9									h a n i	
99-9									k u b i	
-102-9									s i n u ɴ	
103-9									ɕ i b u ɴ	
110-9									t iː	
116-9									m u ts u ɴ	
120-9									m u ts u ɴ	
132-9									tɕ i r i	
139-9									k u b i	
140-9									ʔ u ɕ u ɴ	
156-9									ʔ a tsː u ɴ	
168-9									s i n u ɴ	
169-9									h u k ui	
170-9									m iː s a ɴ	
173-9									ʔ i tɕ i ts oː ɴ	
180-9									k u m u	
185-9									h w iː	
186-9									m u ts u ɴ	
187-9									m iː s a ɴ	
190-9									ʔ a tː aː	
193-9									tɕ i r i	
194-9									s i n u ɴ	
195-9									k u b i	
216-9									ɴ n a	
221-9									n eː ɴ	
239-9									ʔ i j u	
252-9									m iː s a ɴ	
253-9									j u r u	
254-9									ʔ ɴ d oː r u	
266-9									k aː r a	
267-9									n a g i j u ɴ	
268-9									ʔ i j u	
272-9									ʔ a r i	
276-9									ʔ a tsː u ɴ	
281-9									m u s i	
304-9									ɕ i n a	
305-9									tɕ i ts oː n	
308-9									h a n i	
309-9									k u b i	
310-9									t u b u ɴ	
311-9									n uː	
342-9									j u r u	
346-9									k u b i	
347-9									tɕ i r i	
348-9									h w i r u	
351-9									t iː d a	
361-9									ʔ u ɕ u ɴ	
379-9									k u b i	
394-9									h w iː	
395-9									m iː s a ɴ	
400-9									h w i r u	
412-9									h w i r u	
413-9									s i n u ɴ	
414-9									h u k ui	
422-9									h u k ui	
423-9									k aː r a	
430-9									h u k ui	
435-9									h u k ui	
446-9									s i n u ɴ	
447-9									ʔʲ u ɴ	
458-9									t u b u ɴ	
56-9									h w iː	
62-9									t i ɴ	
65-9									k aː r a	
75-9									k aː r a	
96-9									m iː s a ɴ	
101-9									h a n i	
14-10										k oː r i
18-10										w a r ui
35-10										h i r u m a
36-10										h u r ui
48-10										n a i
60-10										t o b u
63-10										s i ɴ z oː
64-10										k e
67-10										h a n e
68-10										n uː
71-10										k e
76-10										h u r ui
83-10										ts u n a
87-10										h a n e
95-10										m i
98-10										h a n e
99-10										k u b i
-102-10										s i ɴ z oː
103-10										ts u tɕ i
110-10										d e
116-10										m u dʑ i
120-10										n uː
132-10										k i r e r u
139-10										k o s u r u
140-10										o t oː r u
156-10										t a ŋ e r u
168-10										k u b i
169-10										h o s i
170-10										m i r u
173-10										i pː a i
180-10										k u s i
185-10										h a n e
186-10										m i r u
187-10										m i
190-10										a s i
193-10										k e m u
194-10										s i ɴ z oː
195-10										k u b i
216-10										m a ŋ e r u
221-10										n a i
239-10										i pː a i
252-10										m i r u
253-10										j o r u
254-10										i pː a i
266-10										k a w a
267-10										n a ŋ e r u
268-10										u d e
272-10										a r e
276-10										a r u k u
281-10										m u s i
304-10										ts u n a
305-10										ts u tɕ i
308-10										h a n e
309-10										k u b i
310-10										t o b u
311-10										n uː
342-10										j uː
346-10										k u b i
347-10										k i r e r u
348-10										h i r u m a
351-10										ts u n a
361-10										o t o s i
379-10										k u b i
394-10										h i r u m a
395-10										m i
400-10										h i r u m a
412-10										s i tː e r u
413-10										m i r u
414-10										h o r u r u
422-10										h u r ui
423-10										k a ŋ e r u
430-10										h a n e
435-10										h u r ui
446-10										s i ɴ z oː
447-10										u d e
458-10										t o b u
56-10										o h e s o
62-10										i pː a i
65-10										k a w a
70-10										t a n a i
75-10										k a w a
96-10										k e
101-10										h a n e
