COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
64-3			k i							
67-3			h a							
68-3			n i							
71-3			n i							
76-3			h o							
83-3			k o							
87-3			h a							
95-3			k i							
98-3			n a g u							
99-3			k i							
-102-3			k a							
103-3			h i							
110-3			n i							
116-3			n a							
120-3			h o							
132-3			k e i							
139-3			k o k o							
140-3			o o							
156-3			n a g u							
168-3			k i							
169-3			k e i							
170-3			m i							
173-3			k i							
180-3			k o							
185-3			h a							
186-3			k e i							
187-3			k i							
190-3			a i							
193-3			k o k o							
194-3			k i							
195-3			k i							
216-3			n a i							
221-3			n a							
239-3			k i							
252-3			k i							
253-3			k o							
254-3			k e i							
266-3			k a							
267-3			n a r i							
268-3			h i							
272-3			n a g u							
276-3			a iː							
281-3			k i							
304-3			n e i							
305-3			k i							
308-3			n a g u							
309-3			k a							
310-3			t o							
311-3			h i							
342-3			k i							
346-3			k i							
347-3			k e i							
348-3			h i							
351-3			k e i							
361-3			k e i							
379-3			k u r a							
394-3			h a i							
395-3			h i							
400-3			k e i							
412-3			k e i							
413-3			k i r e							
414-3			h o							
422-3			n a g u							
423-3			k a g u							
430-3			h a							
435-3			k e i							
446-3			k e							
447-3			h i							
458-3			k i							
56-3			n i							
62-3			h i							
65-3			k a							
70-3			n a							
75-3			k a							
96-3			k i							
101-3			h a							
114-3			k i							
119-3			k i							
134-3			k e i							
138-3			k e i							
146-3			a iː							
161-3			h i							
171-3			k a							
182-3			k e ɴ							
188-3			h a							
262-3			n e i							
300-3			h i							
313-3			k i							
350-3			n a i							
352-3			a iː i							
396-3			h i							
401-3			o k o							
420-3			o k o							
424-3			a iː i							
442-3			k e i							
455-3			k e i							
15-3			a iː							
22-3			n a							
49-3			n a g u							
78-3			a iː							
89-3			k i							
130-3			m i							
14-4				k o k o						
18-4				a t o						
35-4				h i r u						
36-4				h a w a						
48-4				n a n a						
60-4				t o i						
63-4				k i						
64-4				k i						
67-4				h a t a						
68-4				n u						
71-4				h i						
76-4				h o						
83-4				k u r u						
87-4				h a w a						
95-4				h i						
98-4				h a r a						
99-4				k u r i						
-102-4				a t o						
103-4				k i						
110-4				h i						
116-4				m u						
120-4				n o k u						
132-4				k i r i						
139-4				k o k o						
140-4				o k o						
156-4				a t o						
168-4				k i						
169-4				h i						
170-4				m i						
173-4				k i						
180-4				k o k o						
185-4				h i						
186-4				k oː r u						
187-4				k i						
190-4				a t ui						
193-4				k i r i						
194-4				k i r i						
195-4				k u r u						
216-4				a t ui						
221-4				a t o						
239-4				k i						
252-4				m i						
253-4				k i						
254-4				k u r u						
266-4				k a n i						
267-4				h a r a						
268-4				h i						
272-4				a t ui						
276-4				a t ui						
281-4				k i						
304-4				k i						
305-4				h i						
308-4				h a r a						
309-4				a t o						
310-4				o k o						
311-4				t ui						
342-4				k i						
346-4				k u r u						
347-4				k i r i						
348-4				h i						
351-4				o k o						
361-4				o k o						
379-4				u s u w a						
394-4				h i t o						
395-4				m i						
400-4				k i r i						
412-4				k a n a						
413-4				k i r i						
414-4				h o r u						
422-4				h u r u						
423-4				k a n a						
430-4				a t o						
435-4				h e r u						
446-4				s i						
447-4				k u r u						
458-4				o k o						
56-4				h i						
62-4				k i						
65-4				k a n a						
70-4				a t a						
75-4				k a n a						
96-4				k i						
101-4				h a t a						
114-4				k u r u						
119-4				k i						
134-4				k i r u						
138-4				k i						
146-4				a t o						
161-4				h i						
171-4				k a n a						
182-4				k u r u						
188-4				t a						
196-4				k o r u						
262-4				h i						
300-4				h i						
313-4				k oː						
350-4				s i						
352-4				a t ui						
396-4				k u r u						
424-4				a t o						
442-4				k oː r u						
455-4				k i r u						
15-4				a t ui						
22-4				n a n i						
24-4				h i						
49-4				a t o						
78-4				a t ui						
89-4				k i						
130-4				m i						
14-5					k o k o					
18-5					h a n a					
35-5					h i r u					
36-5					h e r u					
48-5					n a n a					
60-5					t o t o					
63-5					s i r a					
64-5					k i					
67-5					h a n a					
68-5					n e r u					
71-5					h i					
76-5					h o					
83-5					k u r u					
87-5					h a n a					
95-5					m i					
98-5					h a n a					
99-5					k u r i					
-102-5					s i					
103-5					ts u					
110-5					h i					
116-5					m u r u					
120-5					n o r u					
132-5					k oː					
139-5					k o k o					
140-5					k o k o					
156-5					h a n a					
168-5					ts u tɕ i					
169-5					h o					
170-5					m iː					
173-5					s i					
180-5					k u r u					
185-5					h i					
186-5					k u r u					
187-5					m iː					
190-5					a s i					
193-5					k oː					
194-5					s uː					
195-5					k u r u					
216-5					m a r ui					
221-5					n a					
239-5					s i					
252-5					m iː					
253-5					n o s u					
254-5					m i r u					
266-5					k a					
267-5					h a r u					
268-5					m u s i					
272-5					a n a					
276-5					a n a					
281-5					m u s i					
304-5					k i					
305-5					h i					
308-5					h a n a					
309-5					k u r u					
310-5					t o					
311-5					n i					
342-5					k u r u					
346-5					k u r u					
347-5					k i r u					
348-5					h i					
351-5					k i r i					
361-5					o o k o					
379-5					k a n a					
394-5					h iː					
395-5					m i					
400-5					h i r u					
412-5					s a r u					
413-5					k u r u					
414-5					h o					
422-5					h u r u					
423-5					k a r u					
430-5					h a					
435-5					h u r u					
446-5					s i t a					
447-5					n e					
458-5					t o					
56-5					h o					
62-5					k i r i					
65-5					k a n a					
70-5					t a n a					
75-5					k a n a					
96-5					eː					
101-5					h a r a					
114-5					k u r u					
119-5					k i					
134-5					s u r u					
138-5					s e r u					
146-5					a n a					
161-5					m i					
171-5					k a n a					
182-5					k u r u					
188-5					h a n a					
196-5					k u r u					
262-5					h i r u					
300-5					s u r u					
313-5					oː					
350-5					s ui					
352-5					m i					
396-5					h e r u					
401-5					k u r u					
420-5					k u r u					
424-5					n u r u					
455-5					i k i					
15-5					a n o					
22-5					n a n a					
24-5					m iː					
49-5					o k o					
78-5					h a r a					
89-5					k i					
130-5					k i r i					
14-6						u i				
18-6						a u				
35-6						m u i				
36-6						p u i				
48-6						p u				
60-6						p u				
63-6						p u i				
64-6						m u				
67-6						a u				
68-6						a u				
71-6						m u				
76-6						m u				
83-6						p u				
87-6						a u				
95-6						m u				
98-6						a u				
99-6						a u				
-102-6						m u				
103-6						p u				
110-6						a u				
116-6						a u				
120-6						m u				
132-6						m u				
139-6						p u i				
140-6						m u				
156-6						b a n				
168-6						m u				
169-6						m u				
170-6						a u				
173-6						m u				
180-6						m u				
185-6						m u				
186-6						u i				
187-6						m u				
190-6						p u				
193-6						p u i				
194-6						p u				
195-6						p u				
216-6						p u				
221-6						a u				
239-6						m u				
252-6						m u				
253-6						m u				
254-6						ts ɨ				
266-6						a u				
267-6						p u i				
268-6						m u				
272-6						a u				
276-6						a u				
281-6						p u				
304-6						ts ɨ				
305-6						m u				
308-6						a u				
309-6						a u				
310-6						m u				
311-6						m u				
342-6						m u				
346-6						p u				
347-6						a u				
348-6						p u				
351-6						p u				
361-6						p u i				
379-6						p u i				
394-6						u k i				
395-6						p u				
400-6						p u i				
412-6						p u i				
413-6						p u i				
414-6						m u				
422-6						p u i				
423-6						p u i				
430-6						a u				
435-6						a u				
446-6						m u				
447-6						u i				
458-6						m u				
56-6						a u				
62-6						p u				
65-6						a u				
70-6						a u				
75-6						a u				
96-6						p u				
101-6						p u				
119-6						u i				
134-6						m ɨː				
138-6						a u				
146-6						p u				
171-6						a u				
182-6						m u s ɨ				
188-6						a u				
196-6						m u				
401-6						m u				
420-6						m u ts ɨ				
442-6						p u i				
24-6						a u				
78-6						a u				
130-6						p u				
14-7							k o			
18-7							k a r e			
35-7							t e r u			
36-7							n e r e			
48-7							n a n i			
60-7							t o			
63-7							s e ɴ			
64-7							k i			
67-7							ɸ a n a			
68-7							n i			
71-7							tɕ i			
76-7							h o k e			
83-7							n o			
87-7							h a n e			
95-7							m i			
98-7							h a n a			
99-7							k oː			
-102-7							s u n a			
103-7							m o			
110-7							t e			
116-7							m o			
120-7							n o r u			
132-7							k oː			
139-7							k o s u r u			
140-7							o d o			
156-7							t a r u			
168-7							k oː			
169-7							h o s i			
170-7							m i			
173-7							m i			
180-7							k o s u			
185-7							ɸ i			
186-7							m o s u			
187-7							m i			
190-7							a s i			
193-7							k oː			
194-7							s i ɴ			
195-7							k o s u			
216-7							n a r iː			
221-7							n a			
239-7							m i			
252-7							m i			
253-7							n o			
254-7							k oː			
266-7							k a m a			
267-7							n a ŋ e r u			
268-7							m i			
272-7							a e r a			
276-7							a tɕ iː			
281-7							m o s i			
304-7							ts u n a			
305-7							tɕ i			
308-7							h a n a			
309-7							k e r a			
310-7							t o			
311-7							n i			
342-7							m o s i			
346-7							k e r e ɴ			
347-7							k oː r u			
348-7							ɸ i k eː			
351-7							eː			
361-7							n o r u			
379-7							k a m a			
394-7							h e r a			
395-7							m i			
400-7							k e r u			
412-7							n o r u			
413-7							k e r u			
414-7							n o r u			
422-7							n o r u			
423-7							k a m a			
430-7							h a s u			
435-7							n o r u			
446-7							s i k a			
447-7							n o			
458-7							o s i			
56-7							ɸ i			
62-7							k e r u			
65-7							k a m a			
70-7							t a n e			
75-7							k a m a			
96-7							m i			
101-7							h a r a			
114-7							k oː			
134-7							s u r u			
138-7							s u r u			
146-7							a s u			
161-7							n oː			
171-7							k a m a			
182-7							k oː r u			
188-7							h a m a			
196-7							n o r u			
262-7							h e r a			
300-7							n o r u			
313-7							o d e			
350-7							s i ɴ			
352-7							tɕ i			
396-7							n e r u			
401-7							o s u			
420-7							n o r u			
424-7							n e r u			
442-7							k oː r u			
455-7							k e r u			
15-7							a r e			
22-7							n a n i			
24-7							m e tɕ i			
78-7							a r iː			
89-7							k e			
130-7							m o r u			
14-8								k o k o		
18-8								a ts ui		
35-8								k e r u		
36-8								h a r a		
48-8								n a r ui		
60-8								k o k o		
63-8								s a m i		
64-8								k o		
67-8								h a		
68-8								n o		
71-8								m i		
76-8								h o		
83-8								k u r u		
87-8								h a r ui		
95-8								m i		
98-8								h a r a		
99-8								k u		
-102-8								s i		
103-8								k u r u		
110-8								i		
116-8								m u r u		
120-8								n o r u		
132-8								k o		
139-8								k o k o s u		
140-8								d o k o		
156-8								a ts ui		
168-8								k u		
169-8								h o		
170-8								m i		
173-8								i k e		
180-8								k u d o		
185-8								h i		
186-8								m u s u		
187-8								m i		
190-8								a ts ui		
193-8								k o s i		
194-8								s i k o		
195-8								k o s i		
216-8								m a r u		
221-8								n a r u		
239-8								eː		
252-8								m i		
253-8								u o		
254-8								k u r u		
266-8								k oː r a		
267-8								n a r u		
268-8								u o		
272-8								a ts ui		
276-8								a ts ui		
281-8								m u s u		
304-8								s u r a		
305-8								m i		
308-8								h a r a		
309-8								k u r a		
310-8								u o		
311-8								m i		
342-8								u o		
346-8								k u r e		
347-8								k oː r u		
348-8								h i		
351-8								a o i		
361-8								o k o		
379-8								k oː r a		
394-8								h a r i		
395-8								m i ɴ		
400-8								h a r u		
412-8								k oː r u		
413-8								k oː r u		
414-8								n o r u		
422-8								m u r u		
423-8								n a r u		
430-8								h a r u		
435-8								m u r u		
446-8								s i		
447-8								u r u		
458-8								u o		
62-8								n e		
65-8								k e r a		
70-8								a ts ui		
75-8								k e r a		
96-8								m i		
101-8								h a r a		
114-8								k u r u		
119-8								k o		
134-8								m u r u		
138-8								s u r u		
146-8								n a r u		
161-8								k u r u		
171-8								k e r a		
182-8								k u r u		
188-8								h a r a		
196-8								n o		
262-8								h e r a		
300-8								u o		
313-8								d o		
350-8								s i		
352-8								a ts ui		
396-8								m u r u		
401-8								d o		
420-8								a ts ui		
424-8								u r u		
442-8								k e r u		
455-8								i k e		
15-8								a ts ui		
22-8								n a i		
24-8								m i		
49-8								k o r a		
78-8								h a r a		
89-8								k e		
130-8								m u r u		
14-9									m u ɴ	
18-9									ʔ a a a ɴ	
35-9									m u i	
36-9									ʔ a a ɴ	
48-9									ʔ a a a ɴ	
60-9									t u ɴ	
63-9									ʔ a a ɴ	
64-9									m i	
67-9									ʔ a a ɴ	
68-9									n i ɴ	
71-9									m u i	
76-9									n i ɴ	
83-9									m u i	
87-9									ʔ a a a ɴ	
95-9									m u i	
98-9									ʔ a a a ɴ	
99-9									t u ɴ	
-102-9									m i	
103-9									m u s u ɴ	
110-9									m i	
116-9									m u	
120-9									m u i	
132-9									m i	
139-9									m u s u ɴ	
140-9									m u i	
156-9									ʔ a a ɴ	
168-9									m u i	
169-9									m u i	
170-9									m u i	
173-9									t i	
180-9									m u u ɴ	
185-9									ʔ a a ɴ	
186-9									m u i	
187-9									m u i	
190-9									ʔ a a a ɴ	
193-9									ʔ i j u ɴ	
194-9									m i	
195-9									m u i	
216-9									ʔ a a ɴ	
221-9									ʔ a a ɴ	
239-9									m i	
252-9									m u i	
253-9									m i	
254-9									m u u ɴ	
266-9									ʔ a a ɴ	
267-9									ʔ a a a ɴ	
268-9									m u u ɴ	
272-9									ʔ a n i	
276-9									ʔ a a a ɴ	
281-9									m u s i	
304-9									ʔ a a ɴ	
305-9									m u i	
308-9									ʔ a a a ɴ	
309-9									ʔ a a ɴ	
310-9									t u ɴ	
311-9									m u i	
342-9									m u i	
346-9									ʔ a a ɴ	
347-9									m u i	
348-9									ʔ a n i	
351-9									t u ɴ	
361-9									m u i	
379-9									ʔ a a ɴ	
394-9									ʔ a a ɴ	
395-9									m u i	
400-9									ʔ a a ɴ	
412-9									ʔ a a ɴ	
413-9									m u i	
414-9									m u	
422-9									ʔ a a ɴ	
423-9									ʔ a a ɴ	
430-9									ʔ a a ɴ	
435-9									m u	
446-9									ʔ a a ɴ	
447-9									ʔ a ɴ	
458-9									t u	
56-9									t u ɴ	
62-9									ʔ a a ɴ	
65-9									ʔ a a a ɴ	
75-9									ʔ a a a ɴ	
96-9									t u ɴ	
101-9									ʔ a a ɴ	
114-9									t u ɴ	
119-9									m i	
134-9									m u i	
138-9									m u i	
146-9									ʔ a a ɴ	
161-9									m u i	
171-9									ʔ a a a ɴ	
182-9									h u s i	
196-9									m u	
262-9									ʔ a ɕ i	
300-9									h u s i	
313-9									m u ɴ	
350-9									ʔ a a ɴ	
352-9									ʔ a a ɴ	
396-9									ʔ a ɕ i	
401-9									m i	
420-9									m u i	
424-9									ʔ a a ɴ	
442-9									m i s i	
455-9									m u ɴ	
15-9									ʔ a a ɴ	
22-9									ʔ a a a ɴ	
24-9									m u i	
49-9									m u ɴ	
89-9									m u i	
14-10										k o k o
18-10										a ts ui
35-10										h i
36-10										a ts ui
48-10										n a m i
60-10										h o k o
63-10										a ts u
64-10										s i
67-10										a ts ui
68-10										n uː
71-10										h i
76-10										h u r u
83-10										k u r u
87-10										h a
95-10										m i
98-10										n a n a
99-10										k u r i
-102-10										s i
103-10										ts u
110-10										a i
116-10										ts u
120-10										n o k u
132-10										k i r u
139-10										k o k o
140-10										k o r u
156-10										a n a
168-10										k i r u
169-10										h o s i
170-10										m i
173-10										m i
180-10										k u s u
185-10										h i
186-10										m o s u
187-10										m i
190-10										a ts ui
193-10										k o b i
194-10										s i
195-10										k u r i
216-10										m a s ui
221-10										n a
239-10										m i
252-10										m i
253-10										n o
254-10										a ts ui
266-10										k a m i
267-10										n a n a
268-10										ts u
272-10										a ts ui
276-10										a n a
281-10										m u r i
304-10										ts u r u
305-10										h i
308-10										n a n a
309-10										k u r a
310-10										o k o
311-10										n i
342-10										a ts u
346-10										k u r i
347-10										k i r u
348-10										h i
351-10										a ts ui
361-10										a ts ui
379-10										k e r a
394-10										h i t a
395-10										m i
400-10										h i t a
412-10										k i r u
413-10										ts u r u
414-10										h i r u
422-10										k u r u
423-10										k a r u
430-10										a n a
435-10										s u r u
446-10										s i
447-10										a ts ui
458-10										h o s i
56-10										h i
62-10										h i
65-10										k a n a
70-10										t a n a
75-10										k a n a
96-10										m i
101-10										a ts ui
114-10										k u r u
119-10										k i r i
134-10										k i r e
138-10										s u r u
146-10										a ts ui
161-10										m i
171-10										k a n a
182-10										k i r i
188-10										n a n a
196-10										a ts u
262-10										h i r a
300-10										h i k o
313-10										u d e
350-10										s i
352-10										h i k a i
396-10										a ts ui
401-10										o k u
420-10										a ts u
424-10										a n a
442-10										k u r u
455-10										k i r e
15-10										a n a
22-10										n a m i
24-10										m i
49-10										o k a n o
78-10										n a n a
89-10										k e r u
130-10										m i
