COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
255		tɕ iː t o					tɕ iː t o			
265							m o j a	m o j a		
280	n a g a m u ɴ								n a g a m u ɴ	
286								m u k oː z u n e	h w i ɕ a	
355					g o ts ui	u d a				
360	ʔ i kː j a s a r i								ʔ i ɴ ts a s a ɴ	
383	n a b i r o s a r i					n a b ɭ ɨː				
386						m a tː oː β u			m a tː oː b a	
399	s ɨ r u r i								ʃ i j u ɴ	
426		k a m a r u		k a m u						
433	s i b u r u r i								ʃ i p u j u ɴ	
431		n o m u		n o m u						
437					k o w a ŋ a r u					k o w a ŋ a r u
443		s a g e r u		s a g e r u						
449					dʑ u k u s i t a					dʑ u k u s i t a
457					n a w a			n a w a		
