COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
60-6						i t				
63-6										
64-6						k i				
67-6						aː f				
68-6						iː n				
71-6						t i				
76-6										
83-6										
87-6										
95-6						m i n				
98-6										
99-6						f iː				
-102-6										
103-6										
110-6						iː t				
116-6						n n i				
120-6						m n u				
132-6						f ts ɨ				
139-6										
140-6						j u u				
156-6										
168-6										
169-6										
170-6						ɨ n				
173-6						s ɨ ɨ				
180-6										
185-6						u f				
186-6										
187-6						ɨ n				
190-6						a f u				
193-6						f ts ɨ				
194-6										
195-6										
216-6										
221-6						aː n				
239-6						ɨ				
252-6						m i				
253-6						j u i				
254-6						i t i ɭ				
266-6										
267-6										
268-6						u m i				
272-6						a m i				
276-6										
281-6						m iː s				
304-6										
305-6						t i				
308-6										
309-6										
310-6						i t				
311-6						i n				
14-7							k a o r e			
18-7							d a e			
35-7										
36-7										
48-7										
60-7							ui t			
63-7							a m sː			
64-7							e k			
67-7							a h			
68-7							e m			
71-7							i tɕ			
76-7										
83-7										
87-7										
95-7							m e ɴ			
98-7										
99-7							k i k			
-102-7										
103-7										
110-7							e t			
116-7							n e r u			
120-7							n a r a			
132-7							e k			
139-7										
140-7							o e o			
156-7										
168-7										
169-7										
170-7							b i			
173-7							e s i			
180-7										
185-7							ɸ a e			
186-7							m r i ui			
187-7							b i			
190-7							a k a			
193-7							e k			
194-7							eː sː			
195-7							k eː			
216-7										
221-7							aː m			
239-7							e ts u			
252-7							b iː			
253-7							e o			
254-7							e ts u r u			
266-7										
267-7										
268-7							o m e			
272-7							a m e			
276-7										
281-7							m o r i s i			
304-7										
305-7							e tɕ			
308-7										
309-7										
310-7							t o			
311-7							n o r			
14-8								k o i		
18-8								d a i		
35-8										
36-8										
48-8										
60-8								ui tɕ		
63-8								a i m sː		
64-8								e k		
67-8								a h		
68-8								e n		
71-8								i tɕ		
76-8										
83-8										
87-8										
95-8								m i ɴ		
98-8										
99-8								k u		
-102-8										
103-8										
110-8								e t		
116-8								ɴ n e		
120-8								n o i n u		
132-8								k i		
139-8										
140-8								o j o		
156-8										
168-8										
169-8										
170-8								i g i m		
173-8								i s i		
180-8										
185-8								h a i		
186-8								m r i ui		
187-8								i g i m		
190-8								a k a i		
193-8								k i		
194-8								iː sː		
195-8								h iː		
216-8										
221-8								a n		
239-8								e ts u		
252-8								i k u		
253-8								j o		
254-8								i i ts u k u		
266-8										
267-8										
268-8								u m i		
272-8								a m e		
276-8										
281-8								m u b i dʑ i		
304-8										
305-8								i tɕ		
308-8										
309-8										
310-8								o t		
311-8								ɴ dʑ		
14-9									k j u i dʑ i r i	
18-9									u t a i dʑ i r i	
35-9										
36-9										
48-9										
60-9									ui t	
63-9									a m sː	
64-9									i k	
67-9									aː h	
68-9									n i	
71-9									w iː t	
76-9										
83-9										
87-9										
95-9									m i ɴ	
98-9										
99-9									k iː j	
-102-9										
103-9										
110-9									t i	
116-9									n i ɴ	
120-9									m u ɴ	
132-9									k i dʑ i r i	
139-9										
140-9									u r u	
156-9										
168-9										
169-9										
170-9									b i dʑ i r i	
173-9									i s i	
180-9										
185-9									h a s a ɴ	
186-9									j u m ui	
187-9									m i dʑ i r i	
190-9									a k a	
193-9									k i dʑ i r i	
194-9									u ɴ sː	
195-9									h i	
216-9										
221-9									aː u	
239-9									i n u	
252-9									b a ɴ	
253-9									r j u ɴ	
254-9									i t i j u ɴ	
266-9										
267-9										
268-9									u m i	
272-9									a m i	
276-9										
281-9									b u s	
304-9										
305-9									i t	
308-9										
309-9										
310-9									t u	
311-9									ɴ	
14-10										k o i
18-10										a t
35-10										
36-10										
48-10										
60-10										ui t
63-10										a i m sː
64-10										i k
67-10										h a
68-10										eː n
71-10										i tɕ
76-10										
83-10										
87-10										
95-10										m i n
98-10										
99-10										k u
-102-10										
103-10										
110-10										e t
116-10										ɴ n e
120-10										n o m
132-10										k i
139-10										
140-10										o j o
156-10										
168-10										
169-10										
170-10										m i
173-10										i i s
180-10										
185-10										h a i
186-10										m r i ui
187-10										m i
190-10										a k a i
193-10										k i
194-10										iː sː
195-10										h iː
216-10										
221-10										a n
239-10										u ts i
252-10										m
253-10										j o
254-10										i k ts u k u
266-10										
267-10										
268-10										i m u
272-10										a m e
276-10										
281-10										m o u s i
304-10										
305-10										e tɕ
308-10										
309-10										
310-10										a t
311-10										i n
