COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
70	θ a n ɨ	t a n e	t a n e	t a n e	t a n e	t a n i	t a n e	t a n e		t a n e
71	tɕ i	tɕ i	tɕ iː	t i	tɕ iː	a k a ts ɨ	tɕ i	tɕ i	tɕ iː	tɕ i
73	s i s i					s ɨː s ɨ			s i s i	
72		n i k u	n i	n i k u	n i k u		n i k u	n i k u		n i k u
75		k u a b e	k a w a	k a w a	k a w a	k aː	k a w a	k a w a	k aː	k a w a
76	h u n ɨ	h o n e	h o n e	h o n e	h o n e	p u n i	ɸ o n e	h o n e	h u n i	h o n e
78		a b u r a n i k u	a b u r a m i	a b u r a	a b u r a	a vː a	a b u r a	a b u r a n i k u		a b u r a m i
80		t a m a g o	t a m a g o	t a m a g o	t a m a ŋ o		t a m a ŋ o	t a m a g o		t a m a ŋ o
81	x o g a								k uː g a	
83	ts ɨ n o	ts u n o	ts u n o	t u n o	ts u n o	ts ɨ n u	ts u n o	ts u n o	ɕ i n u	ts u n o
85	z u b u					dz uː			z uː	
86			s iː b o							s i pː o
84		o b a		o	oː		o	o		
87	h a ɴ g e	h a n e	h a i n e	h a n e	h a n e	p a n i	h a n e	h a n e	h a n i g iː	h a n e
88	h i g i					pˢ ɨ g i				
89		k iː	k e i	k e	k eː		k e	k e	k iː	k e
91				a t a m a	a t a m a		a t a m a	a t a m a		a t a m a
90		ts u b u r i							ɕ i b u r u	
95	m i ɴ	m i m i	m i ɴ	m i m i	m i m i	m i m	m i m i	m i m i	m i m i	m i m i
96	m ɨː		m e	m e	m eː	m iː	m e	m e	m iː	m e
98	h a n a	h a n a	h a i n a	h a n a	h a n a	p a n a	h a n a	h a n a	h a n a	h a n a
99	k u tɕ i	k u tɕ i	k ui	k u t i	k u tɕ i	f u ts ɨ	k u tɕ i	k u tɕ i	k u tɕ i	k u tɕ i
101	h w a		h a	h a	h aː	p aː	ɸ a	h a	h aː	h a
-102	s ɨ b a	s i t a	s i t a	s i t a	s i t a	s ɨ t a	b e r o	s i t a b e r a	ʃ i b a	s i t a
103	ts ɨ m ɨ	ts u m e	ts ui m e	t u m e	ts u m e	ts ɨ m i	ts u m e	ts u m e	ɕ i m i	ts u m e
106						p ɨ s a			h w i ɕ a	
104		a s i	a ɕ	a s i	a s i		a s i	a s i		a s i
109	ts ɨ b u s i					ts ɨ g u s ɨ			tɕ i ɴ s i	
107		h i dʑ a k a b u r a			h i z a			h i z a		h i z a
-107			h iː z a				ɸ u z a			
110	θ ɨ	t e	t e	t e	t eː	t iː	t e	t e	t iː	t e
113	w a θ a					b a t a			w a t a	
111		h a r a	h a r a	h a r a	h a r a		ɸ a r a	h a r a		
114	k u b i	k u b i	k ui	k u b i	k u b i		k u b i	k u b i	k u b i	k u b i
116	m u n ɨ	m u n e	m ui n e	m u n e	m u n e	mː i f u ts ɨ	ɴ n e	m u n e	ɴ n i	m u n e
118	s i ɴ d o	s i ɴ z oː	s i ɴ i z oː		s i ɴ z oː		s i ɴ z oː	s i ɴ z oː		s i ɴ z oː
117				k i m o					tɕ i m u	
119	k i m o	k i m o	k i m o	k i m o	k i m o	ts ɨ m u		k i m o	tɕ i m u	k i m o
120	n u m u r i	n o m u	n o ɴ	n o m u	n o m u	n u m	n o m u	n o m u	n u n u ɴ	n o m u
122				t a b e r u	t a b e r u					t a b e r u
124	x a m u r i								k a n u ɴ	
123			k uː				k uː	k uː		
128			k a ɴ ts u		k a m i ts u k u		k a m u	k a m i ts u k u		k a m i ts u k u
126	k ui ts ɨ k ɨ r u r i	k ui ts u k u		k ui t u k u					k uː j u ɴ	
130	mʲ uː r i		m i	m i r u	m i r u	m iː ɭ	m i r u	m i r u		m i r u
132	k i kʲ u r i	k i k u	k iː	k i k u	k i k u	ts ɨ f u	k i k u	k i k u	tɕ i ts u ɴ	k i k u
134	s i tɕ u r i		s i j i tɕ o	s i tː j uː	s i tː e r u	s ɨː	s i tɕː o r u	s i tː o r u	s i tsː oː ɴ	s i tː e r u
136	n ɨ b u r u r i		n e i m u tɕː o i			n i v			n i ɴ z u ɴ	n e m u r u
-136				n e r u	n e r u		n e r u	n e b u r u		
138	s i mʲ u r i		s iː ɴ	s i n u r u	s i n u	s ɨ n	s i n o r u	s i n u	s i n u ɴ	s i n u
139	x u sː u r i	k o r o s u	u kː o r o s	k o r o s u	k o r o s u	k u r u s ɨ	k o r o s u	k o r o s u	k u r u ɕ u ɴ	k o r o s u
140	ʔ w ɨː g u r i	o j o g u	o j o	o j o g u	o j o ŋ u	uː dz ɨ	o j o ŋ u	o j o g u	ʔ w iː z u ɴ	o j o ŋ u
142	θ u b u r i		t o i	t o b u	t o b u		t o b u		t u b u ɴ	t o b u
146	ʔ a kː u r i		a j u ɴ	a r u k u	a r u k u	a ɭ ɨ f u	a r u k u	a r u k u	ʔ a tsː u ɴ	a r u k u
149	x u r i	k u r u	k u	k u r u	k u r u		k u r u	k u r u		k u r u
150		n e t e	n e i tɕ o	n e j uː	n e t e r u		n e tɕ oː r u	n e t o r u		n e t e r u
151	n ɨ h u θ u r i								n i ɴ t oː ɴ	
153			s u w a iː tɕ o	s u w a r u	s u w a tː e r u		s u w a r u	s u w a r u		s u w a tː e r u
155	i r u r i	i t e							i ts oː n	
156	θ a tɕː u r i	t a tː e	t a tɕː o	t a t e tː j uː	t a tː e r u	t a k iː	t a tɕː o r u	t a tː o r u	t a tsː oː n	t a tː e r u
160	k u r ɨ r u r i		k ui r u			f iː ɭ			k w iː j u ɴ	
158					a ŋ e r u					a ŋ e r u
159				j a r u			j a r u	j a r u		
161	ʔʲ u r i	j u	j u i u	j uː	j uː		e o	j uː	ʔʲ u ɴ	j uː
167	θ e d a					t i d a			t iː d a	
164				o h i s a m a	o h i s a ɴ		o ɸ i s a ɴ			o h i s a m a
168	ts ɨ k i	ts u k i	o ts u sː aː	t u k i	ts u k i	ts ɨ ts ɨ	ts u k i	ts u k i	ɕ i tɕ i	ts u k i
169	h u s i	h o s i	h o i ɕ	h o s i	h o s i	p u s ɨ	ɸ o s i	h o s i	h u s i	h o s i
170	m ɨ z ɨ	m i z u	m iː	m i d u	m i z u	m i dz ɨ	m e z u	m i z u	m i dʒ i	m i z u
171		k u a	k a i w a	k a w a	k a w a	k aː	k a w a	k a w a	k aː r a	k a w a
173	ʔ i s i	i s i	iː ɕ	i s i	i s i	i s ɨ	e s i	i s i	ʔ i s i	i s i
175	s ɨ n a		z ui n a	s u n a	s u n a		s u n a	s u n a	ʃ i n a	s u n a
178	m i tɕ a					m t a			ɴ ts a	
179		tɕ i tɕ i		t u t i	ts u tɕ i		tɕ i tɕ i	ts u tɕ i		ts u tɕ i
180	k u m o	k u m o	k u m o	k u m o	k u m o	f u m u	k u m o	k u m o	k u m u	k u m o
182	x ɨ b u s i		k e i m ui	k e m u r i	k e m u r i	k i β u s ɨ	k e m o r i	k e m u r i	k i b u s i	k e m u
184	u a ts ɨ					u m a ts ɨ				
183		h i	h i	h i	h iː		ɸ i	h i	h w iː	h i
185	h w e	h i a	h e i	h a i	h a i	p a z ɨ	ɸ eː	h a i	h w eː	h a i
186	m eː r u r i	m i e r u	m o i j u	m o e r u	m o e r u	m ui ɭ	m o e r u	m o e r u	m eː j u ɴ	m o e r u
187	m i tɕ i	m i tɕ i	m iː	m i t i	m i tɕ i	m ts ɨ	m e tɕ i	m i tɕ i	m i tɕ i	m i tɕ i
188	j a m a	j a m a	j a m a	j a m a	j a m a	j a m a	j a m a	j a m a		j a m a
190	h aː s a r i	a k a kʲ a	a i k e	a k a i	a k a i	a k a	a k eː	a k a i	ʔ a k a s a ɴ	a k a i
192		a o kʲ a	a o	a o i	a o i	a u	a w eː	a o i		a o i
191	ʔ oː s a r i								ʔ oː s a ɴ	
193	k iː s a r i	k iː r o kʲ a	k iː	k iː r o i	k iː r o i	ts ɨː r u	k iː r o	k iː r o i	tɕ iː r u	k iː r o i
194	s i r u s a r i	s i r o kʲ a	s i r e	s i r o i	s i r o i	sː u	s i r eː	s i r o i	s i r u s a ɴ	s i r o i
195	k u r u s a r i	k u r o kʲ a	k u r e	k u r o i	k u r o i	f u	k u r eː	k u r o i	k u r u s a ɴ	k u r o i
196	j u r u	j o r u		j o r u	j o r u	j u ɭ	j o r u	j o r u	j u r u	j o r u
199	ʔ a ts ɨ s a r i		a tɕ i	a t ui	a ts ui	a ts ɨ		a ts ui	ʔ a ɕ i s a ɴ	a ts ui
201	h i g u r u s a r i			h i j a i		p i ʃ i			h w iː s a ɴ	
203			s a m i		s a b ui		s a b iː	s a m ui		s a m ui
206						m t i			m iː	
204		i pː i a	pː e	i pː a i	i pː a i		e pː eː	i pː a i		i pː a i
210	m iː s a r i		n i k e			m ɨː			m iː s a ɴ	
207		a t a r a s i kʲ a					a t a r a s i	a t a r a s iː		a t a r a s iː
211				eː	eː		eː	eː		iː
215		j o kː j a	j o k a							
216	m a r u s a r i	m a r u kʲ a	m a ɴ m a i r i	m a r ui	m a r ui	m aː k oː m aː k o	m a r iː	m a r ui	m a r u s a ɴ	m a r ui
217	x o r a tɕ a ɴ					k aː r a ts ɨ			k aː r a ts oː r u	
218		k u a tː e	k a e t a	k a w a i t a	k a w a i t a					k a w a i t a
221	n aː	n a m i a	n a i	n a	n aː	n aː	n a	n a m a	n aː	n a m a e
222	ʔʲ a x j a					vː a d u			ʔ i tː aː	
224					a ɴ t a r a					a ɴ t a t a tɕ i
230	ʔ a ɴ tɕ u		a iː	a n o h i t o	a n o h i t o		a r e	a n o h i t o	ʔ a n u tsː u	a n o h i t o
233	ʔ a ɴ tɕ u ɴ x j a		a iː d o ɴ	a n o h i t o t a t i	a n o h i t o j a r a		a e r a	a n o h i t o t a tɕ i	ʔ a tː aː	a n o h i t o t a tɕ i
238				d oː	d oː		d o ŋ e	d o g a i n i		d oː
235	x j a s i		i k e ɴ						ts aː	
239	ʔ i ts ɨ	i ts u	iː	i t u	i ts u	i ts ɨ	e ts u	i ts u	ʔ i ɕ i	i ts u
240		d o k o	d o k o	d o k o	d o k o		d o k o	d o k o		d o k o
244	x u m a					k o m a n			k u m a	
245		k o k o	k o k o	k o k o	k o k o		k o k o	k o k o		k o k o
247			a s i k o	a k o	a k o		a s u k o	a k o		a s u k o
248	ʔ a m a								ʔ a m a	
250		h o k u a	h o k a ɴ	h o k a n o	h o k a n o	p u k a n u	h o k a n o	h o k a n o ɴ		h o k a n o
251	b i tɕ i n a								b i ɕ i n u	
252	m iː ts ɨ	m i tsː u	m i	m i tː u	m i tsː u	m iː ts ɨ	m i tsː u	m i tsː u	m iː ɕ i	m i tsː u
253	j uː ts ɨ	j o tsː u	j o i	j o tː u	j o tsː u	j uː ts ɨ	j o tsː u	j o tsː u	j uː ɕ i	j o tsː u
254	ʔ i ts ɨ ts ɨ	i ts u ts u	i ts u	i t u t u	i ts u ts u	i ts ɨ ts ɨ	e ts u ts u	i ts u ts u	ʔ i ɕ i ɕ i	i ts u ts u
256			s u nː e		s u k e n a i			s u k u n a i		s u k u n a i
258	ʔ i k i r a s a r i								ʔ i k i r a s a ɴ	
255		tɕ iː t o					tɕ iː t o			
-260	θ ɨ ɴ		t e i ɴ		t e ɴ	t i n	t e ɴ	t e ɴ dʑ i k u	t i ɴ	
261		s o r a		s o r a						s o r a
262	h i r u h i ɴ m a	h i r u m a	h i j i	h i r u m a	h i r u m a		ɸ i r u	h i r u m a	h w i r u	h i r u m a
264	k i r i	k i r i	k i j i	k i r i	k i r i	ts ɨː			tɕ i r i	k i r i
265							m o j a	m o j a		
266	x a z e	k a z e	k a i z e	k a z e	k a z e	k a dʒ i	k a z e	k a z e	k a dʒ i	k a z e
267	n a g a r e r u r i	n a g a r e r u	n a g a r u	n a g a r e r u	n a ŋ a r e r u	n a g a r i ɭ	n a g a r e r u	n a g a r e r u	n a g a r i j u ɴ	n a ŋ a r e r u
268	ʔ u m i	u m i	u ɴ	u m i	u m i	i m	o m i	u m i	ʔ u m i	u m i
270			m i z u i u ɴ		m i z uː m i					m i z uː m i
269	ʔ i x i	i k e		i k e			e k e	i k e		
272	ʔ a m ɨ	a m e	a m e	a m e	a m e ŋ a	a m i	a m e	a m e g a	ʔ a m i n u	a m e ŋ a
274	n eː θ a		n u r e i t a	n u r e t a	n u r e t a		n o r e t a	n u r e t a	ɴ d i t oː r u	n u r e t a
276	ʔ a r a u r i	a r a u	a i r u	a r a u	a r a u	a r a u	a r a o	a r a u	ʔ a r a j u ɴ	a r a u
278		h e b u m e	h e	h e b i	h e b i			h e b i		h e b i
280	n a g a m u ɴ								n a g a m u ɴ	
281	m u s i	m u s i m e	m ui ɕ	m u s i	m u s i	m u s ɨ	m o s i	m u s i	m u s i	m u s i
283			s e n a k a	s e n a k a	s e n a k a		s e n a	s e n a k a		s e n a k a
287	h a g i	h a g i				k a r a p a dz ɨ				
288			a ɕ	a s i	a s i		a s i			a s i
286								m u k oː z u n e	h w i ɕ a	
289		u d e		u d e		u d i	o d e	u d e		u d e
290			t e		t eː				t iː	
294	h a ɴ g e	h a n e	h a i n e		h a n e		h a n e		h a n i	h a n e
297	ʔ w ɨː s ɨ b a		s u b a			s u b a			ʃ i b a	
296		k u tɕ i b i r u		k u t i b i r o	k u tɕ i b i r u		k u tɕ i b e r o	k u tɕ i b e r a		k u tɕ i b i r u
298	x ɨ ɴ x o	k e g u a	k e g a i w a	k e g a w a	k e ŋ a w a		k e ŋ a w a	k e g a w a		k e ŋ a w a
300	h u s u	h e tsː o g o	h e i s o	h e s o	h e s o		ɸ e s o	h e s o	h u s u	o h e s o
303	w a θ a	h a r u t a	z u z u w a t a	h a r a w a t a	h a r a w a t a		h a r a w a t a	h a r a w a t a		h a r a w a t a
304	ts ɨ z ɨ	ts u d a k i	ts u b a	t u b a	ts u b a	ts ɨ ts ɨ	ts u b a k e	ts u b a k i	ɕ i ɴ p eː	ts u b a
305	tɕ i	tɕ i	tɕ i tɕ i	t i t i	tɕ i tɕ i	ts ɨː	tɕ i	tɕ i tɕ i	tɕ iː	o tɕ i tɕ i
306	n a r i					n a ɭ			n a i	
307		m i	m iː	m i	m iː		m i	m i		m i
308	h a n a	h a n a	h a n a	h a n a	h a n a	p a n a	h a n a	h a n a	h a n a	h a n a
309	k u s a	k u s a	k u s a	k u s a	k u s a	f u s a	k u s a	k u s a	k u s a	k u s a
310	θ u	t o	t o	t o	t o	t u	t o	t o	t u	t o
311	n a ɴ	n i	i	n i	n i	n	n i	n i	n a k a i	n i
313	n a ɴ θ ɨ	d e	d e	d e	d e		d e	d e	u t i	d e
314		m o s i	m o ɕ i k a		m o s i	m u s ɨ	m o s i	m o s i	m u s i	m o s i
318		k a k a	o k aː h a ɴ	o k aː s a ɴ	o k aː tɕ a ɴ		k a k a			o k aː s a ɴ
323			o t o tsː a ɴ	o t oː s a ɴ	o t o tɕː a ɴ					o t oː s a ɴ
331	u θ u					b u t u		o tː o	u t u	
330				ɕ u dʑ i ɴ	ɕ u dʑ i ɴ					ɕ u dʑ i ɴ
336	θ u dʑ i					t u dz ɨ			t u dʑ i	
338				k a n a i	k a k a			k aː s a ɴ		k a n a i
340	m a ɕ u					m aː s o			m aː ɕ u	
339		ɕ o	s i o	s i j o	s i o		s i o	s i o		s i o
341		k oː r i	k oː i	k oː r i	k oː r i		k oː r i	k oː r i		k oː r i
342	j u k i	j u k i	j ui	j u k i	j u k i	j u ts ɨ	e k i	j u k i	j u tɕ i	j u k i
343		k oː r u	k oː	k oː r u	k oː r u		k oː r u	k oː r u		k oː r u
345	w a r a b ɨ					j a r a b i			w a r a b i	
344		k o d o m o	k o i d o ɴ	k o d o m o	k o d o m o		k o d o m o	k o d o m o		k o d o m o
346	k u r a s a r i	k u r a kʲ a	k ui r e	k u r a i	k u r a i	fː a	k u r eː	k u r a i	k u r a s a ɴ	k u r a i
347	k i r u r i	k i r u	k i t	k i r u	k i r u	ts ɨː ts ɨː	k i r u	k i r u	tɕ i j u ɴ	k i r u
348	h i r u s a r i	h i r o kʲ a	h i r e	h i r o i	h i r o i	pˢ ɨ s u	ɸ u r eː	h i r o i	h w i r u s a ɴ	h i r o i
350	s e b a s a r i	s e b a kʲ a	s e m e	s e b a i	s e b a i		s e m eː	s e m a i	ʃ i b a s a ɴ	s e m a i
351	θ uː s a r i	t oː kʲ a	t o j e	t oː i	t o i	t uː	t o w eː	t oː k ui	t uː s a ɴ	t oː i
352	tɕ i kʲ a s a r i	tɕ i k a kʲ a	tɕ i k e	t i k a i	tɕ i k a i		tɕ i k eː	tɕ i k a i	tɕ i ts a s a ɴ	tɕ i k a i
355					g o ts ui	u d a				
354	ʔ a tɕ i ɕ a r i	a ts u kʲ a	a i tɕ i	a t ui			a tɕ iː	a ts ui	ʔ a ɕ i s a ɴ	a ts ui
357	h i sː a r i					pˢ ɨ s ɨ			h w i sː a ɴ	
356		u s u kʲ a	ui s i	u s ui	u s ui		o s iː	u s ui		u s ui
359		m i dʑ i k a kʲ a	m i ɕ k e	m i z o i	m i dʑ i k a i		m e tɕ i k eː	m i dʑ i k a i		m i dʑ i k a i
360	ʔ i kː j a s a r i								ʔ i ɴ ts a s a ɴ	
361	ʔ u b u s a r i	o m o kʲ a	o i m i	o m o t a i	o m o t a i	i v u	o m eː	o m o i	ʔ ɴ b u s a ɴ	o m o i
362	k i r i r a ɴ	k i r e ɴ n u a	k i r e ɴ		k i r e h e ɴ		k i r e ɴ			k i r e n a i
369	k i r i r u ɴ	k i r e r o	k i r u	k i r e r u	k i r e r u	tʃː i	j oː			k i r e r u
370		k i t a n a kʲ a	k i sː a n e		k i t a n a i		k i t a n eː			k i t a n a i
376	w a r u s a r i	w a r u kʲ a	w a r i		w a r ui		w a r iː	w a r ui	w a sː a ɴ	w a r ui
379	k u s a r e θ a	k u s a r u a	k e sː a r e t a	k u s a tː a	k u s a tː a	f u s a r i t a m	k u s a tː a	k u s a tː a	k u tsː oː r u	k u s a tː a
383	n a b i r o s a r i					n a b ɭ ɨː				
381		z u b e r u a		s u b e s u b e s i tʲ uː						s u b e kː o i
382			ts u r u ɴ		ts u r u ts u r u		ts u r u ts u r u	ts u r a ts u r a		
386						m a tː oː β u			m a tː oː b a	
384	m a sː ɨ g u	m a sː u g u d u a	m a sː u g u	m a sː u g u	m a sː u ŋ u n a			m a sː u g u		m a sː u ŋ u n a
387				eː	eː		eː			iː
394	h i dʑ a r i	h i d a r i	h i d a i	h i d a r i	h i d a r i	p ɨ d a ɭ	ɸ u d a r i	h i d a r i	h w i z a i	h i d a r i
395	n i g i r i	n i g i r i	m iː	m i g i	m i ŋ i	n ts ɨ	m i ŋ i	m i g i	n i dʑ i r i	m i ŋ i
396	h u r u s a r i	h u r u s i kʲ a	ɸ u r i	h u r ui	h u r ui		ɸ u r iː	h u r u s iː	h u r u s a ɴ	h u r ui
398		k o s u r u	k o s u	k o s u r u	k o s u r u		k o s u r u	k o s u r u		k o s u r u
399	s ɨ r u r i								ʃ i j u ɴ	
400	h i pː a r u r i	h i pː a r u	h i pː a	h i pː a r u	h i pː a r u	p i k a u	ɕ a b a r u	h i pː a r u	h w i ts u ɴ	h i pː a r u
401	ʔ u s u r i	o s u	o i s		o s u	u s ɨ	o s u	o s u	ʔ u ɕ u ɴ	o s u
404	n a g ɨ r u r i		n a g u				n a ŋ e r u	n a g e r u	n a g i j u ɴ	n a ŋ e r u
403		h oː r u		h oː r u	h o r u					
406		n a g u r u						n a g u r u		n a ŋ u r u
410	ʔ u θ u r i		u tː a k u						ʔ u ts u ɴ	
412	s e h e r u r i	s a k e r u	s a k u	ɕ a k e r u	s a k e r u	s a k i ɭ	s a k e r u	s a k e r u	s a k i j u ɴ	s a k e r u
413	ts ɨ k i s a s u r i	ts u tɕː a s u	ts u iː s a	t u k i s a s u	ts u k i s a s u	ts ɨ f u	s a s u	ts u k i s a s u	ɕ i tɕ i k u dʑ i j u ɴ	ts u k i s a s u
414	h u r u r i	h o r u	h o	h o r u	h o r u	p u ɭ	h o r u	h o r u	h u j u ɴ	h o r u
415	m u s u b u r i	m u s u b u		m u s u b u	m u s u b u		m o s u b u	m u s u b u	m u s u b u ɴ	m u s u b u
418	n o u r i		n uː	n uː	n uː	n u z ɨ	n oː	n oː		n uː
420	ʔ u θ ɨ r u r i	o t e r u	o ts u		o tɕ i r u	u t i ɭ	o tɕ i r u	o tɕ i r u	ʔ u t i j u ɴ	o kː o tɕ i r u
422	h u k u r ɨ r u r i	h u k u r e r u	h u k u r u	h u k u r e r u	h u k u r e r u	f u k u r i ɭ	ɸ u k u r e r u	h u k u r e r u	h u kː w i j u ɴ	h u k u r e r u
423	x a ɴ g e r u r i	k a ɴ g i a r u	k a ɴ g u	k a ɴ g a e r u	k a ɴ ŋ a e r u	k a ŋ g a i ɭ	k a ɴ ŋ a e r u	k a ɴ g a e r u	k a ɴ g eː j u ɴ	k a ɴ ŋ a e r u
424	o θ a u r i	u t o u	ui t o	u t a u	u t a u		o t a o	u t a u	ʔ u t a j u ɴ	u t a u
427							k a ŋ u	k a g u		k a ŋ u
429	x a z a m u r i		k a i z u ɴ						k a dʒ a ɕ u ɴ	
426		k a m a r u		k a m u						
430	h a x u r i	h a k u	h a	h a k u	h a k u	p a f u	h a k u	h a k u	h a ts u ɴ	h a k u
432			s u i u		s uː		s uː	s uː		s uː
433	s i b u r u r i								ʃ i p u j u ɴ	
431		n o m u		n o m u						
435	h u k u r i	h u k u	h u	h u k u	h u k u	fː u	ɸ u k u	h u k u	h u ts u ɴ	h u k u
437					k o w a ŋ a r u					k o w a ŋ a r u
440	ʔ u θ u r u ɕ a		o t o r o sː e s ui				o s o r e r u		ʔ u t u r u s a	
442	s e m e ts ɨ k ɨ r u r i	s i m e ts u k e r u	s i m e ts u k u	s i m e r u		ʃ i m i ɭ	s i m e r u	s i m e ts u k e r u	s i m i j u ɴ	s i m e ts u k e r u
444	m u θ u r i				m o ts u	m u ts ɨ	m o ts u	m o ts u	m u ts u ɴ	m o ts u
443		s a g e r u		s a g e r u						
446	ɕ aː tɕ i	s i t a	s i t e	s i t a	s i t a e	s ɨ t aː r a	s i t a	s i t a	s i ts a ɴ k a i	s i t a e
447	ʔ w ɨː tɕ i	w e	u eː	u e	u eː	w aː r a	e w e	u e	ʔ w iː ɴ k a i	u eː
448	ʔ u d u ɴ	u m u				mː		u ɴ d a	ʔ ɴ d oː r u	
449					dʑ u k u s i t a					dʑ u k u s i t a
450			u r e i t a	u r e t a			o r e t a			
451		h o k o r i		h o k o r i	h o k o r i	p u k i	h o k e	h o k o r i	h u k ui	h o k o r i
455	ʔ i k i tɕ u r i	i k i t e	i k iː tɕː o	i k i tʲ uː	i k i t e r u		e k e tɕ o r u	i k i t o r u	ʔ i tɕ i ts oː ɴ	i k i t e r u
456	ts ɨ n a	ts u n a	ts u n a	t u n a		ts ɨ n a	ts u n a		ɕ i n a	ts u n a
457					n a w a			n a w a		
458	θ u s i	t o s i	t o ɕ	t o s i	t o s i	t u s ɨ	t o s i	t o s i	t u s i	t o s i
