COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
2140					dʒ a kʰ ə n		dʒ a kʰ ə n	
2149					n u p kʰ ə n		n u p kʰ ə n	
2158					p i r kʰ ə n		p i r kʰ ə n	
2166					g r a n dʒ a m e kʰ e n		g r a ŋ g i m e kʰ e n	
2173		b i n tʃ u		b i n tʃʰ a m				
2203					a kʰ ə n		n a kʰ ə n	
2201		n a ʃ u				n a ʃ u		
2222					ʃ e kʰ e n		ʃ e kʰ e n	
2219		ʃ e ʃ u				ʃ e ʃ u		
2268				s e m pʰ e k a				s e m pʰ e l a n
2277			ŋ j e w o			ŋ j e w o		
2296				tʰ o g tʃʰ a m				t o k p a n
2312		g o tʃ u				g o tʃ u		
2323						kʰ o d̪ i l o		kʰ o l o
2350					tʃ o kʰ ə n			tʃʰ o l a n
2358			ʔ i w o			ʔ i w o		
2397			ɾ i g a ɲ j e w o			ɾ i g a ŋ j a p ʃ o		
2407					pʰ a kʰ e n		pʰ a kʰ e n	
2416						z i k a n		z i g p a n
2422	j a k p o		j a k p o					
2445		t̪ a m tʃ u				t̪ a m tʃ u		
2463			d̪ a ŋ b a	d̪ a ŋ tʃʰ a m				
2491					pʰ a kʰ e n		pʰ aː kʰ e n	
2489		pʰ a k p o	pʰ a k p o					
2492		ʃ e ʃ u				ʃ e ʃ u		
2554		d̪ u ɾ i				d̪ u ɾ i		
2605	ɾ e d̪ a ŋ			pʰ a i ɾ e d̪ a ŋ				
2608					j a m l o k		j a m l o k	
2624	d̪ u n ts i				d u n tʃ i			
2638		p e t̪ a r				b e t̪ a r		
2646		h a ŋ j a				h a ŋ j a		
