COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
282-3			l u					
292-3			kʰ a ŋ					
301-3			l i					
354-3			m a n					
363-3			n a m b u					
397-3			g a m					
406-3			kʰ a u					
426-3			m i p a					
473-3			pʰ i n a ŋ					
499-3			z a m					
526-3			g a ɾ a					
544-3			kʰ u					
553-3			k o t a ŋ					
599-3			g o i m					
608-3			b a n					
617-3			s e n					
645-3			ŋ a n					
663-3			s o ŋ					
672-3			t o ŋ p a					
681-3			n i					
690-3			m i n					
708-3			tʰ a r b u					
717-3			dʒ o k p u					
726-3			s i					
744-3			a m a					
782-3			m i					
791-3			ŋ a					
800-3			ŋ a					
809-3			m o m n a ŋ					
836-3			p i					
881-3			l a m					
10-4				z a ŋ				
37-4				n a n				
46-4				n a n				
98-4				kʰ a ŋ				
125-4				b i				
162-4				l e				
171-4				tʃʰ a m				
219-4				t a ŋ p u				
247-4				tʃʰ a l o ŋ				
282-4				l u				
292-4				kʰ a ŋ				
301-4				l i				
354-4				m u m				
363-4				n a m				
397-4				g a m				
406-4				kʰ a m				
426-4				m a				
473-4				pʰ i n a ŋ				
499-4				z a m				
526-4				g ă z a				
544-4				kʰ u				
553-4				k o ŋ				
599-4				g o a ŋ				
608-4				b a n				
617-4				s e n				
645-4				a a n a				
663-4				s o ŋ p u				
672-4				t o ŋ p a				
681-4				ɲ i t i				
690-4				m i n				
708-4				l a ŋ b u				
717-4				g o k p u				
726-4				s i				
744-4				a m a				
782-4				m i				
791-4				ŋ a				
800-4				ŋ a				
809-4				m o n a ŋ				
836-4				s i				
881-4				l a m				
10-5					dʒ a ŋ			
37-5					n a n			
46-5					n a n			
98-5					kʰ a ŋ p a			
125-5					b i l a ŋ			
162-5					l e i			
171-5					m o w a			
219-5					t a ŋ p u			
247-5					tʃ a ŋ l u			
282-5					l u			
292-5					kʰ a ŋ			
301-5					l i			
354-5					m u m b i			
363-5					n a m b u			
397-5					g a m			
406-5					kʰ a m			
426-5					m a n			
473-5					pʰ i n a ŋ			
499-5					z a m			
526-5					g a ʃ a			
544-5					kʰ u			
553-5					k o t t a ŋ			
599-5					g o i d a m			
608-5					b a n u			
617-5					s e n			
645-5					a n a			
663-5					s o ŋ p u			
672-5					t o ŋ p a			
681-5					ɲ i ɾ i			
690-5					m i ŋ			
708-5					ɲ i ŋ b u			
717-5					dʒ o k p u			
726-5					s i			
744-5					a m a			
782-5					m i			
791-5					ŋ a			
800-5					ŋ a			
809-5					m o ŋ n a ŋ			
836-5					ʃ i			
881-5					l a m			
10-6						dʒ a ŋ		
37-6						n a n		
46-6						n a n		
98-6						kʰ a ŋ i		
125-6						b e ŋ ɾ a		
162-6						l e		
171-6						m o g a		
219-6						t a ŋ p u		
247-6						tʃʰ a ŋ l u ŋ		
282-6						l u		
292-6						kʰ a ŋ		
301-6						l i		
354-6						m u ʃ i		
363-6						n a m b u		
397-6						g a m		
406-6						kʰ a m		
426-6						m a n		
473-6						pʰ i n a ŋ		
499-6						z a m		
526-6						g a ɾ a		
544-6						kʰ u		
553-6						k o t a ŋ		
599-6						g o i tʰ a m		
608-6						b a n		
617-6						j e n		
645-6						a n a		
663-6						s o ŋ tʰ u r		
672-6						t o ŋ p a		
681-6						ɲ e ɾ i		
690-6						m i ŋ		
708-6						tʰ a ŋ b u		
717-6						dʒ o k p u		
726-6						s i		
744-6						a w a		
782-6						m i		
791-6						ŋ a		
800-6						ŋ a		
809-6						m o ŋ n a ŋ		
836-6						s i		
881-6						l a m		
10-7							dʒ a ŋ	
37-7							n a n	
46-7							n a n	
98-7							kʰ a ŋ tʃ i l a	
125-7							b i n a ŋ	
162-7							l e i	
171-7							t o m a	
219-7							t a ŋ p u	
247-7							tʃ a ŋ l u ŋ	
282-7							l u	
292-7							kʰ a ŋ	
301-7							l i	
354-7							m u m b i	
363-7							n a m b u	
397-7							g a m pʰ i	
406-7							kʰ a u	
426-7							m i k p a	
473-7							pʰ i n a ŋ	
499-7							z a m	
526-7							g a ʃ a	
544-7							kʰ u	
553-7							k o t a ŋ	
599-7							g o i d a m	
608-7							b a n u	
617-7							j e n	
645-7							a n a	
663-7							s o ŋ tʃ u r	
672-7							t o ŋ p a	
681-7							ɾ i	
690-7							m i ŋ	
708-7							ɾ i ŋ b u	
717-7							dʒ o k p u	
726-7							s i	
744-7							a p a	
782-7							m i	
791-7							ŋ a	
800-7							ŋ a	
809-7							m o ŋ n a m	
836-7							ʃ i	
881-7							l a m	
10-8								dʒ a ŋ
37-8								n a n
46-8								n a n
98-8								kʰ a ŋ
125-8								b e n a
162-8								l e n i
171-8								ʃ o w a
219-8								t a ŋ p u
247-8								tʃ a ŋ l u ŋ
282-8								l u l u
292-8								kʰ a ŋ
301-8								l i
354-8								m u m
363-8								n a m b u
397-8								g a m p i
406-8								kʰ a m u
426-8								m a n
473-8								pʰ i n a ŋ
499-8								z a m
526-8								g a ɾ a
544-8								kʰ u
553-8								k o tʃ a ŋ
599-8								g o k p a
608-8								b a n b u
617-8								j e n
645-8								a n a n
663-8								s o ŋ tʰ u r
672-8								t o ŋ p a
681-8								n i n i
690-8								m i ŋ
708-8								tʰ a ŋ b u
717-8								dʒ o k p u
726-8								s i
744-8								a m a
782-8								m i
791-8								ŋ a
800-8								ŋ a
809-8								m o n a ŋ
836-8								s i
881-8								l a m
