ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_SUBGROUP
3413	1_1stpl	1st pl.	SartangDarbuA	Sartang Darbu 1	gyɾy	gyɾy	g y ɾ y	sart1249	27.329171	92.358727	Khobwa
3414	1_1stpl	1st pl.	LishLish	Lish Lish	galu ganga	galu ganga	g a l u + g a n g a	lish1235	27.368692	92.249809	Khobwa
3415	1_1stpl	1st pl.	SherdukpenRupa	Sherdukpen Rupa	ga	ga	g a	sher1256	27.203981	92.398629	Khobwa
3416	1_1stpl	1st pl.	SartangDarbuB	Sartang Darbu 2	gu	gu	g u	sart1249	27.329171	92.358727	Khobwa
3417	1_1stpl	1st pl.	SartangKhoina	Sartang Khoina	gu	gu	g u	khoi1253	27.337381	92.529683	Khobwa
3418	1_1stpl	1st pl.	BugunSingchung	Bugun Singchung	kəthəa	kəthəa	k ə tʰ ə a	sing1271	27.195773	92.473437	Khobwa
3419	1_1stpl	1st pl.	BugunWangho	Bugun Wangho	kəthəa	kəthəa	k ə tʰ ə a	wang1301	27.231398	92.436886	Khobwa
3420	1_1stpl	1st pl.	BugunBichom	Bugun Bichom	khət̪he	khət̪he	kʰ ə t̪ʰ e	bich1234	27.272159	92.574219	Khobwa
3421	1_1stpl	1st pl.	BugunKaspi	Bugun Kaspi	khət̪he	khət̪he	kʰ ə t̪ʰ e	kasp1234	27.204143	92.549541	Khobwa
3422	1_1stpl	1st pl.	BugunNamphri	Bugun Namphri	gəthəe	gəthəe	g ə tʰ ə e	namp1239	27.196633	92.504931	Khobwa
3423	1_1stpl	1st pl.	SherdukpenShergaon	Sherdukpen Shergaon	ga	ga	g a	sher1256	27.104558	92.27076	Khobwa
8190	1_1stpl	1st pl.	MijiNafra	Miji Nafra	ani	ani	a n i	miji1239	27.373776	92.546071	Khobwa
8191	1_1stpl	1st pl.	HrusoAkaJamiri	Hruso Aka Jamiri	ɲi	ɲi	ɲ i	hrus1242	27.184929	92.599114	Khobwa
8192	1_1stpl	1st pl.	NamreiNabolang	Namrei Nabolang	ani	ani	a n i	miji1239	27.546333	92.797975	Khobwa
8193	1_1stpl	1st pl.	NamreiBisai	Namrei Bisai	animihõŋ	animihõŋ	a n i m i h õ ŋ	miji1239	27.682796	92.700031	Khobwa
8194	1_1stpl	1st pl.	DammaiRurang	Dammai Rurang	ani	ani	a n i	miji1239	27.368455	92.500637	Khobwa
8195	1_1stpl	1st pl.	DammaiDibin	Dammai Dibin	aɲijaahuŋ	aɲijaahuŋ	a ɲ i j aː h u ŋ	miji1239	27.437363	92.531354	Khobwa
12	2_1stsgi	1st sg. (I)	MonpaKalaktang	Monpa Kalaktang	dʒaŋ	dʒaŋ	dʒ a ŋ	kala1376	27.104162	92.113017	Tshanglic	1 7 4	AXN	TAN	4	4.T.C 4.A.V 4.N.c	2.0 1.5 0.8	dʒaŋ	0	10
13	2_1stsgi	1st sg. (I)	MonpaBalemu	Monpa Balemu	dʒaŋ	dʒaŋ	dʒ a ŋ	kala1376	26.964717	92.164581	Tshanglic	1 7 4	AXN	TAN	1	1.T.C 1.A.V 1.N.c	2.0 1.5 0.8	dʒaŋ	0	10
14	2_1stsgi	1st sg. (I)	MonpaTomko	Monpa Tomko	dʒaŋ	dʒaŋ	dʒ a ŋ	kala1376	27.16536	92.23077	Tshanglic	1 7 4	AXN	TAN	8	8.T.C 8.A.V 8.N.c	2.0 1.5 0.8	dʒaŋ	1	10
15	2_1stsgi	1st sg. (I)	MonpaNamsu	Monpa Namsu	dʒaŋ	dʒaŋ	dʒ a ŋ	kala1376	27.359505	92.34921	Tshanglic	1 7 4	AXN	TAN	5	5.T.C 5.A.V 5.N.c	2.0 1.5 0.8	dʒaŋ	0	10
16	2_1stsgi	1st sg. (I)	MonpaTembang	Monpa Tembang	dʒaŋ	dʒaŋ	dʒ a ŋ	tsha1245	27.333876	92.40513	Tshanglic	1 7 4	AXN	TAN	7	7.T.C 7.A.V 7.N.c	2.0 1.5 0.8	dʒaŋ	0	10
17	2_1stsgi	1st sg. (I)	MonpaDirangDum	Monpa Dirang Dum	dʒaŋ	dʒaŋ	dʒ a ŋ	tsha1245	27.334341	92.293734	Tshanglic	1 7 4	AXN	TAN	3	3.T.C 3.A.V 3.N.c	2.0 1.5 0.8	dʒaŋ	0	10
18	2_1stsgi	1st sg. (I)	MonpaSangti	Monpa Sangti	dʒaŋ	dʒaŋ	dʒ a ŋ	tsha1245	27.402266	92.314934	Tshanglic	1 7 4	AXN	TAN	6	6.T.C 6.A.V 6.N.c	2.0 1.5 0.8	dʒaŋ	1	10
19	2_1stsgi	1st sg. (I)	MonpaDirang	Monpa Dirang	dʒaŋ	dʒaŋ	dʒ a ŋ	tsha1245	27.34959	92.27914	Tshanglic	1 7 4	AXN	TAN	2	2.T.C 2.A.V 2.N.c	2.0 1.5 0.8	dʒaŋ	0	10
20	2_1stsgi	1st sg. (I)	MonpaTawangMonastery	Monpa Tawang Monastery	ŋei	ŋei	ŋ e i	dakp1242	27.586829	91.85796	Takpa
21	2_1stsgi	1st sg. (I)	MonpaZimithang	Monpa Zimithang	ŋei	ŋei	ŋ e i	dakp1242	27.335901	92.306528	Takpa
22	2_1stsgi	1st sg. (I)	MonpaChangprong	Monpa Changprong	ɲeh	ɲeh	ɲ e h	dakp1242	27.578928	91.876393	Takpa
3424	2_1stsgi	1st sg. (I)	SartangKhoitam	Sartang Khoitam	gu	gu	g u	khoi1252	27.358518	92.438415	Khobwa
3425	2_1stsgi	1st sg. (I)	ChugParchu	Chug Parchu	ga	ga	g a	chug1252	27.420054	92.234173	Khobwa
3426	2_1stsgi	1st sg. (I)	SartangDarbuA	Sartang Darbu 1	gũ	gũ	g ũ	sart1249	27.329171	92.358727	Khobwa
3427	2_1stsgi	1st sg. (I)	LishLish	Lish Lish	ga	ga	g a	lish1235	27.368692	92.249809	Khobwa
3428	2_1stsgi	1st sg. (I)	SherdukpenRupa	Sherdukpen Rupa	gu	gu	g u	sher1256	27.203981	92.398629	Khobwa
3429	2_1stsgi	1st sg. (I)	SartangDarbuB	Sartang Darbu 2	gu	gu	g u	sart1249	27.329171	92.358727	Khobwa
3430	2_1stsgi	1st sg. (I)	SartangKhoina	Sartang Khoina	gu	gu	g u	khoi1253	27.337381	92.529683	Khobwa
3431	2_1stsgi	1st sg. (I)	BugunSingchung	Bugun Singchung	go	go	g o	sing1271	27.195773	92.473437	Khobwa
3432	2_1stsgi	1st sg. (I)	BugunWangho	Bugun Wangho	ko	ko	k o	wang1301	27.231398	92.436886	Khobwa
3433	2_1stsgi	1st sg. (I)	BugunBichom	Bugun Bichom	go; gu	go	g o	bich1234	27.272159	92.574219	Khobwa
3434	2_1stsgi	1st sg. (I)	BugunBichom	Bugun Bichom	go; gu	gu	g u	bich1234	27.272159	92.574219	Khobwa
3435	2_1stsgi	1st sg. (I)	BugunKaspi	Bugun Kaspi	gu	gu	g u	kasp1234	27.204143	92.549541	Khobwa
3436	2_1stsgi	1st sg. (I)	BugunNamphri	Bugun Namphri	go	go	g o	namp1239	27.196633	92.504931	Khobwa
3437	2_1stsgi	1st sg. (I)	SherdukpenShergaon	Sherdukpen Shergaon	gu	gu	g u	sher1256	27.104558	92.27076	Khobwa
8166	2_1stsgi	1st sg. (I)	MijiNafra	Miji Nafra	ɲijan	ɲijan	ɲ i j a n	miji1239	27.373776	92.546071	Khobwa
8167	2_1stsgi	1st sg. (I)	HrusoAkaJamiri	Hruso Aka Jamiri	no	no	n o	hrus1242	27.184929	92.599114	Khobwa
8168	2_1stsgi	1st sg. (I)	NamreiNabolang	Namrei Nabolang	ɲijan	ɲijan	ɲ i j a n	miji1239	27.546333	92.797975	Khobwa
8169	2_1stsgi	1st sg. (I)	NamreiBisai	Namrei Bisai	ɲijan	ɲijan	ɲ i j a n	miji1239	27.682796	92.700031	Khobwa
8170	2_1stsgi	1st sg. (I)	DammaiRurang	Dammai Rurang	nijaŋ	nijaŋ	n i j a ŋ	miji1239	27.368455	92.500637	Khobwa
8171	2_1stsgi	1st sg. (I)	DammaiDibin	Dammai Dibin	nijaŋ	nijaŋ	n i j a ŋ	miji1239	27.437363	92.531354	Khobwa
23	3_2ndplfamiliar	2nd pl. (familiar)	MonpaKalaktang	Monpa Kalaktang	naiba	naiba	n a i b a	kala1376	27.104162	92.113017	Tshanglic	4 7 7 1 7	AXYBZ	NAIPA	4	4.N.C 4.A.V 4.I.V 4.P.C 4.A.V	2.0 1.5 1.3 1.75 0.8	naiba	0	19
24	3_2ndplfamiliar	2nd pl. (familiar)	MonpaBalemu	Monpa Balemu	naiba	naiba	n a i b a	kala1376	26.964717	92.164581	Tshanglic	4 7 7 1 7	AXYBZ	NAIPA	1	1.N.C 1.A.V 1.I.V 1.P.C 1.A.V	2.0 1.5 1.3 1.75 0.8	naiba	0	19
25	3_2ndplfamiliar	2nd pl. (familiar)	MonpaTomko	Monpa Tomko	naʃibak	naʃibak	n a ʃ i b a k	kala1376	27.16536	92.23077	Tshanglic	4 7 3 7 1 7 1	AXBYBYN	NASIPAK	8	8.N.C 8.A.V 8.S.C 8.I.V 8.P.C 8.A.V 8.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	naʃibak	0	19
26	3_2ndplfamiliar	2nd pl. (familiar)	MonpaNamsu	Monpa Namsu	naʃi	naʃi	n a ʃ i	kala1376	27.359505	92.34921	Tshanglic	4 7 3 7	AXBZ	NASI	5	5.N.C 5.A.V 5.S.C 5.I.V	2.0 1.5 1.75 0.8	naʃi	0	19
27	3_2ndplfamiliar	2nd pl. (familiar)	MonpaTembang	Monpa Tembang	naʃtiba	naʃtiba	n a ʃ t i b a	tsha1245	27.333876	92.40513	Tshanglic	4 7 3 1 7 1 7	AXMBYBZ	NASTIPA	7	7.N.C 7.A.V 7.S.c 7.T.C 7.I.V 7.P.C 7.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	naʃtiba	0	19
28	3_2ndplfamiliar	2nd pl. (familiar)	MonpaDirangDum	Monpa Dirang Dum	nangam	nangam	n a n g a m	tsha1245	27.334341	92.293734	Tshanglic	4 7 4 1 7 4	AXMBYN	NANKAM	3	3.N.C 3.A.V 3.N.c 3.K.C 3.A.V 3.M.c	2.0 1.5 1.1 1.75 1.3 0.8	nangam	0	20
29	3_2ndplfamiliar	2nd pl. (familiar)	MonpaSangti	Monpa Sangti	naʃi	naʃi	n a ʃ i	tsha1245	27.402266	92.314934	Tshanglic	4 7 3 7	AXBZ	NASI	6	6.N.C 6.A.V 6.S.C 6.I.V	2.0 1.5 1.75 0.8	naʃi	0	19
30	3_2ndplfamiliar	2nd pl. (familiar)	MonpaDirang	Monpa Dirang	naʃibak	naʃibak	n a ʃ i b a k	tsha1245	27.34959	92.27914	Tshanglic	4 7 3 7 1 7 1	AXBYBYN	NASIPAK	2	2.N.C 2.A.V 2.S.C 2.I.V 2.P.C 2.A.V 2.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	naʃibak	0	19
31	3_2ndplfamiliar	2nd pl. (familiar)	MonpaTawangMonastery	Monpa Tawang Monastery	itaŋbanaŋ	itaŋbanaŋ	i t a ŋ b a n a ŋ	dakp1242	27.586829	91.85796	Takpa
32	3_2ndplfamiliar	2nd pl. (familiar)	MonpaZimithang	Monpa Zimithang	jira	jira	j i r a	dakp1242	27.335901	92.306528	Takpa
33	3_2ndplfamiliar	2nd pl. (familiar)	MonpaChangprong	Monpa Changprong	irbanaŋ	irbanaŋ	i r b a n a ŋ	dakp1242	27.578928	91.876393	Takpa
3438	3_2ndplfamiliar	2nd pl. (familiar)	SartangKhoitam	Sartang Khoitam	nat̪hek	nat̪hek	n a t̪ʰ e k	khoi1252	27.358518	92.438415	Khobwa
3439	3_2ndplfamiliar	2nd pl. (familiar)	ChugParchu	Chug Parchu	naɾgaŋpu	naɾgaŋpu	n a ɾ g a ŋ p u	chug1252	27.420054	92.234173	Khobwa
3440	3_2ndplfamiliar	2nd pl. (familiar)	SartangDarbuA	Sartang Darbu 1	năthek	năthek	n ă tʰ e k	sart1249	27.329171	92.358727	Khobwa
3441	3_2ndplfamiliar	2nd pl. (familiar)	LishLish	Lish Lish	naɾugaŋga	naɾugaŋga	n a ɾ u g a ŋ g a	lish1235	27.368692	92.249809	Khobwa
3442	3_2ndplfamiliar	2nd pl. (familiar)	SherdukpenRupa	Sherdukpen Rupa	nabluŋ	nabluŋ	n a b l u ŋ	sher1256	27.203981	92.398629	Khobwa
3443	3_2ndplfamiliar	2nd pl. (familiar)	SartangDarbuB	Sartang Darbu 2	năŋthek	năŋthek	n ă ŋ tʰ e k	sart1249	27.329171	92.358727	Khobwa
3444	3_2ndplfamiliar	2nd pl. (familiar)	SartangKhoina	Sartang Khoina	năthek	năthek	n ă tʰ e k	khoi1253	27.337381	92.529683	Khobwa
3445	3_2ndplfamiliar	2nd pl. (familiar)	BugunSingchung	Bugun Singchung	nathəa	nathəa	n a tʰ ə a	sing1271	27.195773	92.473437	Khobwa
3446	3_2ndplfamiliar	2nd pl. (familiar)	BugunWangho	Bugun Wangho	nathəa	nathəa	n a tʰ ə a	wang1301	27.231398	92.436886	Khobwa
3447	3_2ndplfamiliar	2nd pl. (familiar)	BugunBichom	Bugun Bichom	nat̪hek	nat̪hek	n a t̪ʰ e k	bich1234	27.272159	92.574219	Khobwa
3448	3_2ndplfamiliar	2nd pl. (familiar)	BugunKaspi	Bugun Kaspi	nathe	nathe	n a tʰ e	kasp1234	27.204143	92.549541	Khobwa
3449	3_2ndplfamiliar	2nd pl. (familiar)	BugunNamphri	Bugun Namphri	nathəa	nathəa	n a tʰ ə a	namp1239	27.196633	92.504931	Khobwa
3450	3_2ndplfamiliar	2nd pl. (familiar)	SherdukpenShergaon	Sherdukpen Shergaon	nai	nai	n a i	sher1256	27.104558	92.27076	Khobwa
8196	3_2ndplfamiliar	2nd pl. (familiar)	MijiNafra	Miji Nafra	dʒiməʃuŋ	dʒiməʃuŋ	dʒ i m ə ʃ u ŋ	miji1239	27.373776	92.546071	Khobwa
8197	3_2ndplfamiliar	2nd pl. (familiar)	HrusoAkaJamiri	Hruso Aka Jamiri	dʒo	dʒo	dʒ o	hrus1242	27.184929	92.599114	Khobwa
8198	3_2ndplfamiliar	2nd pl. (familiar)	NamreiNabolang	Namrei Nabolang	dʒei	dʒei	dʒ e i	miji1239	27.546333	92.797975	Khobwa
8199	3_2ndplfamiliar	2nd pl. (familiar)	NamreiBisai	Namrei Bisai	dʒmihõŋ	dʒmihõŋ	dʒ m i h õ ŋ	miji1239	27.682796	92.700031	Khobwa
8200	3_2ndplfamiliar	2nd pl. (familiar)	DammaiRurang	Dammai Rurang	ina	ina	i n a	miji1239	27.368455	92.500637	Khobwa
8201	3_2ndplfamiliar	2nd pl. (familiar)	DammaiDibin	Dammai Dibin	dʒi	dʒi	dʒ i	miji1239	27.437363	92.531354	Khobwa
34	4_2ndplhonorific	2nd pl. (honorific)	MonpaKalaktang	Monpa Kalaktang	naiba	naiba	n a i b a	kala1376	27.104162	92.113017	Tshanglic	4 7 7 1 7	AXYBZ	NAIPA	4	4.N.C 4.A.V 4.I.V 4.P.C 4.A.V	2.0 1.5 1.3 1.75 0.8	naiba	1	28
35	4_2ndplhonorific	2nd pl. (honorific)	MonpaBalemu	Monpa Balemu	naiba	naiba	n a i b a	kala1376	26.964717	92.164581	Tshanglic	4 7 7 1 7	AXYBZ	NAIPA	1	1.N.C 1.A.V 1.I.V 1.P.C 1.A.V	2.0 1.5 1.3 1.75 0.8	naiba	1	28
36	4_2ndplhonorific	2nd pl. (honorific)	MonpaTomko	Monpa Tomko	naʃibak	naʃibak	n a ʃ i b a k	kala1376	27.16536	92.23077	Tshanglic	4 7 3 7 1 7 1	AXBYBYN	NASIPAK	8	8.N.C 8.A.V 8.S.C 8.I.V 8.P.C 8.A.V 8.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	naʃibak	1	28
37	4_2ndplhonorific	2nd pl. (honorific)	MonpaNamsu	Monpa Namsu	naʃi	naʃi	n a ʃ i	kala1376	27.359505	92.34921	Tshanglic	4 7 3 7	AXBZ	NASI	5	5.N.C 5.A.V 5.S.C 5.I.V	2.0 1.5 1.75 0.8	naʃi	1	28
38	4_2ndplhonorific	2nd pl. (honorific)	MonpaTembang	Monpa Tembang	naʃtiba	naʃtiba	n a ʃ t i b a	tsha1245	27.333876	92.40513	Tshanglic	4 7 3 1 7 1 7	AXMBYBZ	NASTIPA	7	7.N.C 7.A.V 7.S.c 7.T.C 7.I.V 7.P.C 7.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	naʃtiba	1	28
39	4_2ndplhonorific	2nd pl. (honorific)	MonpaDirangDum	Monpa Dirang Dum	nangam	nangam	n a n g a m	tsha1245	27.334341	92.293734	Tshanglic	4 7 4 1 7 4	AXMBYN	NANKAM	3	3.N.C 3.A.V 3.N.c 3.K.C 3.A.V 3.M.c	2.0 1.5 1.1 1.75 1.3 0.8	nangam	1	29
40	4_2ndplhonorific	2nd pl. (honorific)	MonpaSangti	Monpa Sangti	naʃibak	naʃibak	n a ʃ i b a k	tsha1245	27.402266	92.314934	Tshanglic	4 7 3 7 1 7 1	AXBYBYN	NASIPAK	6	6.N.C 6.A.V 6.S.C 6.I.V 6.P.C 6.A.V 6.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	naʃibak	0	28
41	4_2ndplhonorific	2nd pl. (honorific)	MonpaDirang	Monpa Dirang	naʃibak	naʃibak	n a ʃ i b a k	tsha1245	27.34959	92.27914	Tshanglic	4 7 3 7 1 7 1	AXBYBYN	NASIPAK	2	2.N.C 2.A.V 2.S.C 2.I.V 2.P.C 2.A.V 2.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	naʃibak	1	28
42	4_2ndplhonorific	2nd pl. (honorific)	MonpaTawangMonastery	Monpa Tawang Monastery	itaŋbanaŋ	itaŋbanaŋ	i t a ŋ b a n a ŋ	dakp1242	27.586829	91.85796	Takpa
43	4_2ndplhonorific	2nd pl. (honorific)	MonpaZimithang	Monpa Zimithang	jiɾa	jiɾa	j i ɾ a	dakp1242	27.335901	92.306528	Takpa
44	4_2ndplhonorific	2nd pl. (honorific)	MonpaChangprong	Monpa Changprong	irbanaŋ	irbanaŋ	i r b a n a ŋ	dakp1242	27.578928	91.876393	Takpa
3451	4_2ndplhonorific	2nd pl. (honorific)	SartangKhoitam	Sartang Khoitam	khiraŋ	khiraŋ	kʰ i r a ŋ	khoi1252	27.358518	92.438415	Khobwa
3452	4_2ndplhonorific	2nd pl. (honorific)	ChugParchu	Chug Parchu	nargaŋpu	nargaŋpu	n a r g a ŋ p u	chug1252	27.420054	92.234173	Khobwa
3453	4_2ndplhonorific	2nd pl. (honorific)	SartangDarbuA	Sartang Darbu 1	nathek	nathek	n a tʰ e k	sart1249	27.329171	92.358727	Khobwa
3454	4_2ndplhonorific	2nd pl. (honorific)	LishLish	Lish Lish	naɾugaŋga	naɾugaŋga	n a ɾ u g a ŋ g a	lish1235	27.368692	92.249809	Khobwa
3455	4_2ndplhonorific	2nd pl. (honorific)	SherdukpenRupa	Sherdukpen Rupa	nabluŋ	nabluŋ	n a b l u ŋ	sher1256	27.203981	92.398629	Khobwa
3456	4_2ndplhonorific	2nd pl. (honorific)	SartangDarbuB	Sartang Darbu 2	naŋthekdʒi	naŋthekdʒi	n a ŋ tʰ e k dʒ i	sart1249	27.329171	92.358727	Khobwa
3457	4_2ndplhonorific	2nd pl. (honorific)	SartangKhoina	Sartang Khoina	nathek	nathek	n a tʰ e k	khoi1253	27.337381	92.529683	Khobwa
3458	4_2ndplhonorific	2nd pl. (honorific)	BugunSingchung	Bugun Singchung	nathəa	nathəa	n a tʰ ə a	sing1271	27.195773	92.473437	Khobwa
3459	4_2ndplhonorific	2nd pl. (honorific)	BugunWangho	Bugun Wangho	nathəa	nathəa	n a tʰ ə a	wang1301	27.231398	92.436886	Khobwa
3460	4_2ndplhonorific	2nd pl. (honorific)	BugunBichom	Bugun Bichom	nathek	nathek	n a tʰ e k	bich1234	27.272159	92.574219	Khobwa
3461	4_2ndplhonorific	2nd pl. (honorific)	BugunKaspi	Bugun Kaspi	nathe	nathe	n a tʰ e	kasp1234	27.204143	92.549541	Khobwa
3462	4_2ndplhonorific	2nd pl. (honorific)	BugunNamphri	Bugun Namphri	nathəa	nathəa	n a tʰ ə a	namp1239	27.196633	92.504931	Khobwa
3463	4_2ndplhonorific	2nd pl. (honorific)	SherdukpenShergaon	Sherdukpen Shergaon	nai	nai	n a i	sher1256	27.104558	92.27076	Khobwa
8202	4_2ndplhonorific	2nd pl. (honorific)	MijiNafra	Miji Nafra	dʒiməʃuŋ	dʒiməʃuŋ	dʒ i m ə ʃ u ŋ	miji1239	27.373776	92.546071	Khobwa
8203	4_2ndplhonorific	2nd pl. (honorific)	HrusoAkaJamiri	Hruso Aka Jamiri	dʒo	dʒo	dʒ o	hrus1242	27.184929	92.599114	Khobwa
8204	4_2ndplhonorific	2nd pl. (honorific)	NamreiNabolang	Namrei Nabolang	dʒei	dʒei	dʒ e i	miji1239	27.546333	92.797975	Khobwa
8205	4_2ndplhonorific	2nd pl. (honorific)	NamreiBisai	Namrei Bisai	dʒihõŋ	dʒihõŋ	dʒ i h õ ŋ	miji1239	27.682796	92.700031	Khobwa
8206	4_2ndplhonorific	2nd pl. (honorific)	DammaiRurang	Dammai Rurang	ina	ina	i n a	miji1239	27.368455	92.500637	Khobwa
8207	4_2ndplhonorific	2nd pl. (honorific)	DammaiDibin	Dammai Dibin	dʒi	dʒi	dʒ i	miji1239	27.437363	92.531354	Khobwa
45	5_2ndsgfamiliar	2nd sg. (familiar)	MonpaKalaktang	Monpa Kalaktang	nan	nan	n a n	kala1376	27.104162	92.113017	Tshanglic	4 7 4	AXN	NAN	4	4.N.C 4.A.V 4.N.c	2.0 1.5 0.8	nan	0	37
46	5_2ndsgfamiliar	2nd sg. (familiar)	MonpaBalemu	Monpa Balemu	nan	nan	n a n	kala1376	26.964717	92.164581	Tshanglic	4 7 4	AXN	NAN	1	1.N.C 1.A.V 1.N.c	2.0 1.5 0.8	nan	0	37
47	5_2ndsgfamiliar	2nd sg. (familiar)	MonpaTomko	Monpa Tomko	nan	nan	n a n	kala1376	27.16536	92.23077	Tshanglic	4 7 4	AXN	NAN	8	8.N.C 8.A.V 8.N.c	2.0 1.5 0.8	nan	0	37
48	5_2ndsgfamiliar	2nd sg. (familiar)	MonpaNamsu	Monpa Namsu	nan	nan	n a n	kala1376	27.359505	92.34921	Tshanglic	4 7 4	AXN	NAN	5	5.N.C 5.A.V 5.N.c	2.0 1.5 0.8	nan	0	37
49	5_2ndsgfamiliar	2nd sg. (familiar)	MonpaTembang	Monpa Tembang	nan	nan	n a n	tsha1245	27.333876	92.40513	Tshanglic	4 7 4	AXN	NAN	7	7.N.C 7.A.V 7.N.c	2.0 1.5 0.8	nan	0	37
50	5_2ndsgfamiliar	2nd sg. (familiar)	MonpaDirangDum	Monpa Dirang Dum	nan	nan	n a n	tsha1245	27.334341	92.293734	Tshanglic	4 7 4	AXN	NAN	3	3.N.C 3.A.V 3.N.c	2.0 1.5 0.8	nan	0	37
51	5_2ndsgfamiliar	2nd sg. (familiar)	MonpaSangti	Monpa Sangti	nan	nan	n a n	tsha1245	27.402266	92.314934	Tshanglic	4 7 4	AXN	NAN	6	6.N.C 6.A.V 6.N.c	2.0 1.5 0.8	nan	0	37
52	5_2ndsgfamiliar	2nd sg. (familiar)	MonpaDirang	Monpa Dirang	nan	nan	n a n	tsha1245	27.34959	92.27914	Tshanglic	4 7 4	AXN	NAN	2	2.N.C 2.A.V 2.N.c	2.0 1.5 0.8	nan	0	37
53	5_2ndsgfamiliar	2nd sg. (familiar)	MonpaTawangMonastery	Monpa Tawang Monastery	inaŋ	inaŋ	i n a ŋ	dakp1242	27.586829	91.85796	Takpa
54	5_2ndsgfamiliar	2nd sg. (familiar)	MonpaZimithang	Monpa Zimithang	ih	ih	i h	dakp1242	27.335901	92.306528	Takpa
55	5_2ndsgfamiliar	2nd sg. (familiar)	MonpaChangprong	Monpa Changprong	ih	ih	i h	dakp1242	27.578928	91.876393	Takpa
3464	5_2ndsgfamiliar	2nd sg. (familiar)	SartangKhoitam	Sartang Khoitam	naŋ	naŋ	n a ŋ	khoi1252	27.358518	92.438415	Khobwa
