COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
125-2		b e ŋ						
162-2		s e						
171-2		k o m ʃ a						
219-2		t a ŋ p u						
247-2		tʃʰ a ŋ l u						
282-2		l u						
292-2		kʰ a ŋ						
301-2		l i						
354-2		m u ɾ i						
363-2		n a m ʃ u						
397-2		g a m						
406-2		kʰ a						
426-2		m a ŋ						
473-2		pʰ i n a ŋ						
499-2		z a m						
526-2		g a ɾ a						
544-2		kʰ u						
553-2		k o t p a ŋ						
599-2		g o g a ŋ						
608-2		b a n d o						
617-2		l e h̥						
645-2		a n a						
663-2		s o ŋ p u						
672-2		t o ŋ p a						
681-2		ɲ i						
690-2		m i ŋ						
708-2		g a g i ŋ						
717-2		b o k p u						
726-2		s i						
744-2		a p a						
782-2		m i						
791-2		ŋ a m						
800-2		ŋ a m						
809-2		m o ŋ n a ŋ						
836-2		s i						
881-2		l a m						
890-2		tʃʰ a						
899-2		s e						
926-2		a m						
944-2		g a ɾ a ŋ						
953-2		ʃ a ŋ						
980-2		z a ŋ						
998-2		pʰ e						
1022-2		d̪ a tʰ u ɾ						
1031-2		b i n a ŋ						
1069-2		t o tʃ a ŋ						
1079-2		ʃ a						
1098-2		j a ŋ b u						
1117-2		tʃʰ u ŋ						
1141-2		ɾ i ŋ						
1189-2		m a n						
1198-2		l u						
1208-2		z a						
1217-2		l a m						
1253-2		a m						
1271-2		n o g a ŋ						
1289-2		m i ŋ						
1316-2		ŋ a ŋ						
1325-2		kʰ a m						
1334-2		s i ŋ						
1343-2		b i n a ŋ						
1361-2		j a ŋ						
1370-2		n a						
1388-2		ŋ a r ʃ u						
1397-2		tʰ u ŋ						
1406-2		tʃ o ŋ						
1424-2		g a ɾ a ŋ p a						
1433-2		ʃ u						
1442-2		l a m						
1451-2		b a						
1468-2		pʰ a k p a						
1477-2		ŋ a m						
1502-2		ŋ a m						
1511-2		m u ŋ						
1529-2		tʃʰ a l u						
1538-2		s u						
1557-2		tʃ o tʃ u ŋ						
10-3			dʒ a ŋ					
37-3			n a n					
46-3			n a n					
98-3			kʰ a ŋ					
125-3			b o ŋ					
162-3			l e					
171-3			tʃ o ŋ a					
219-3			tʃ a ŋ p u					
247-3			tʰ u ŋ					
282-3			l u					
292-3			kʰ a ŋ					
301-3			l i					
354-3			m a m tʃʰ i					
363-3			n a m b u					
397-3			g a m					
406-3			kʰ a					
426-3			m a					
473-3			n i n a ŋ					
499-3			z a m					
526-3			g a					
544-3			kʰ u					
553-3			k o tʃ a ŋ					
599-3			g o g a					
608-3			b a l o					
617-3			s e					
645-3			a m					
663-3			s o ŋ					
672-3			t o ŋ p a					
681-3			n i					
690-3			m i ŋ					
708-3			ʃ i ŋ b u					
717-3			d̪ o k p u					
726-3			s i					
744-3			g a					
782-3			m i					
791-3			ŋ a					
800-3			ŋ a					
809-3			m o ŋ n a ŋ					
836-3			ʃ i					
881-3			l a					
890-3			z a					
899-3			s e					
926-3			a m					
944-3			g a ɾ a ŋ					
953-3			ɕ j a ŋ					
980-3			w a ŋ					
998-3			s i					
1022-3			g o g a					
1031-3			b i ŋ					
1069-3			tʰ u ŋ					
1079-3			kʰ a					
1098-3			j a ŋ b u					
1117-3			tʰ u ɾ					
1141-3			ɾ i ŋ b u					
1189-3			m a m					
1198-3			l u					
1208-3			z a					
1217-3			l a					
1253-3			a m					
1271-3			n o n a ŋ					
1289-3			m i ŋ					
1316-3			ŋ a					
1325-3			kʰ a m					
1334-3			s i					
1343-3			b u ŋ					
1361-3			kʰ a ŋ					
1370-3			n a m tʰ u ŋ					
1388-3			m a m					
1397-3			tʃʰ u m					
1406-3			tʃ o ŋ					
1424-3			g a ŋ p a					
1433-3			kʰ u					
1442-3			l a					
1451-3			b e tʃ a					
1468-3			pʰ a					
1477-3			ŋ a					
1502-3			ŋ a					
1511-3			m u ŋ b a					
1529-3			tʃʰ a					
1538-3			s u					
1557-3			tʃ o i					
10-4				t a ŋ				
37-4				k a m				
46-4				k a m				
98-4				ɕ a m				
125-4				b i ŋ				
162-4				l e				
171-4				ŋ a m				
219-4				tʃʰ a ŋ p u				
247-4				tʃʰ a m				
282-4				l u				
292-4				kʰ a ŋ				
301-4				l i				
354-4				m u ŋ				
363-4				kʰ a m				
397-4				g a ŋ				
406-4				kʰ a				
426-4				m a m				
473-4				z i ŋ				
499-4				z a m				
526-4				g a g a				
544-4				g u				
553-4				b o ŋ				
599-4				g o i				
608-4				kʰ a m				
617-4				s e				
645-4				a a				
663-4				s o ŋ				
672-4				b o ŋ				
681-4				z i				
690-4				m i ŋ				
708-4				g i ŋ				
717-4				z a m u				
726-4				s i				
744-4				a a				
782-4				g i				
791-4				ŋ a				
800-4				ŋ a				
809-4				ŋ a m				
836-4				ɕ a				
881-4				l a m				
890-4				kʰ a				
899-4				s e				
926-4				kʰ a m				
944-4				g ă z a ŋ				
953-4				ɕ a m				
980-4				b o ŋ				
998-4				ɾ i				
1022-4				kʰ a				
1031-4				b o ŋ a				
1069-4				t o ŋ				
1079-4				ɕ a				
1098-4				kʰ a m				
1117-4				tʃʰ u m				
1141-4				ɾ i				
1189-4				k a m				
1198-4				z u				
1208-4				z a				
1217-4				l a m				
1253-4				a a				
1271-4				b o ŋ				
1289-4				m i ŋ				
1316-4				ŋ a m				
1325-4				kʰ a m				
1334-4				s i				
1343-4				b i ŋ				
1361-4				l e m				
1370-4				n a i				
1388-4				k a m a				
1397-4				g u				
1406-4				t o ŋ				
1424-4				g ă z a ŋ				
1433-4				g u				
1442-4				l a m				
1451-4				ɕ a m				
1468-4				ɕ a m				
1477-4				ŋ a				
1502-4				ŋ a m				
1511-4				m u ŋ				
1529-4				ɕ a				
1538-4				s u				
1557-4				b o ŋ				
10-5					dʒ a ŋ			
37-5					n a ŋ			
46-5					n a ŋ			
98-5					kʰ a ŋ			
125-5					b i t i ŋ			
162-5					l e			
171-5					g o k a n			
219-5					t a ŋ p u			
247-5					tʃ a ŋ			
282-5					l u			
292-5					kʰ a ŋ			
301-5					l i			
354-5					m u ŋ b i			
363-5					n a m			
397-5					g a m i			
406-5					kʰ a			
426-5					m a m			
473-5					n i ŋ			
499-5					z a m			
526-5					g a			
544-5					kʰ u			
553-5					k o tʃ a ŋ			
599-5					g o i			
608-5					n a ʃ i			
617-5					s e n			
645-5					a m			
663-5					s o ŋ t u			
672-5					t o ŋ t a			
681-5					ɾ i			
690-5					m i ŋ			
708-5					tʰ i ŋ b u			
717-5					dʒ o k p u			
726-5					s i			
744-5					a a			
782-5					m i			
791-5					ŋ a			
800-5					ŋ a			
809-5					m o ŋ n a ŋ			
836-5					l i			
881-5					l a m			
890-5					z u			
899-5					s e			
926-5					tʃ a m			
944-5					g a ɾ i ŋ			
953-5					ʃ a ŋ			
980-5					g a ɾ i ŋ			
998-5					n i			
1022-5					b u l a			
1031-5					b i n a ŋ			
1069-5					tʃ o ŋ a			
1079-5					ʃ a			
1098-5					j a ŋ b u			
1117-5					tʃ u ŋ			
1141-5					ɾ i ŋ			
1189-5					m a m			
1198-5					n u			
1208-5					z a			
1217-5					l a ɲ i			
1253-5					a m			
1271-5					n u ŋ			
1289-5					ɲ i ŋ			
1316-5					ŋ a			
1325-5					kʰ a m			
1334-5					s i ŋ			
1343-5					b u tʃ i ŋ			
1361-5					j e n a ŋ			
1370-5					n a			
1388-5					m a m b a			
1397-5					d u ŋ			
1406-5					tʃ o ŋ			
1424-5					g a ɾ a ŋ			
1433-5					kʰ u			
1442-5					l a m			
1451-5					b a			
1468-5					pʰ e t a			
1477-5					ŋ a			
1502-5					ŋ a m			
1511-5					m u g a ŋ			
1529-5					tʃ a			
1538-5					s u			
1557-5					tʃ o tʃ u ŋ			
10-6						kʰ a ŋ		
37-6						n a m		
46-6						n a m		
98-6						kʰ a ŋ		
125-6						b e ŋ b a		
162-6						l e		
171-6						k a n		
219-6						k a ŋ p u		
247-6						tʃ a ŋ l u ŋ		
282-6						l u		
292-6						kʰ a ŋ		
301-6						l i		
354-6						m u g i		
363-6						n a m b a		
397-6						g a m i		
406-6						kʰ a m		
426-6						m a m		
473-6						pʰ i n a ŋ		
499-6						z a m		
526-6						g a		
544-6						kʰ u		
553-6						k o tʃ a ŋ		
599-6						g o g a m		
608-6						s a m		
617-6						d e n		
645-6						a m		
663-6						s o ŋ p u		
672-6						t o ŋ p a		
681-6						ɾ i		
690-6						m i ŋ		
708-6						g i ŋ b u		
717-6						dʒ o k p u		
726-6						s i		
744-6						a w a		
782-6						m i		
791-6						ŋ a		
800-6						ŋ a		
809-6						m o ŋ n a ŋ		
836-6						ʃ i		
881-6						l a m		
890-6						w a		
899-6						s e		
926-6						tʃ a m		
944-6						g a ɾ a ŋ		
953-6						ʃ a ŋ		
980-6						tʃ a ŋ		
998-6						pʰ e		
1022-6						g a g i		
1031-6						b i n a ŋ kʰ u		
1069-6						tʃ o tʃ a ŋ		
1079-6						kʰ a		
1098-6						j a ŋ b u		
1117-6						tʃʰ u		
1141-6						ɾ i ŋ b u		
1189-6						m a n		
1198-6						l u		
1208-6						z a		
1217-6						l a ŋ i		
1253-6						a m		
1271-6						n o tʃ a ŋ		
1289-6						m i ŋ		
1316-6						ŋ a m		
1325-6						kʰ a m		
1334-6						s i ŋ		
1343-6						b i ŋ		
1361-6						b e n a ŋ		
1370-6						n a ʃ i		
1388-6						m a m		
1397-6						kʰ u		
1406-6						tʃ o ŋ		
1424-6						g a ŋ p a		
1433-6						kʰ u		
1442-6						l a m		
1451-6						b a		
1468-6						pʰ a k a		
1477-6						ŋ a		
1502-6						ŋ a m		
1511-6						m u k b a		
1529-6						tʃ a l u		
1538-6						s u		
1557-6						tʃ o tʃ u ŋ		
10-7							d a ŋ	
37-7							n a m	
46-7							n a m	
98-7							k a ŋ p a	
125-7							b i kʰ e n	
162-7							l e	
171-7							m o ŋ ʃ u	
219-7							t a ŋ p u	
247-7							tʃ a ŋ	
282-7							l u	
292-7							kʰ a ŋ	
301-7							l i	
354-7							m u m b a	
363-7							n a m b u	
397-7							g a g a	
406-7							kʰ a u	
426-7							m o k p a	
473-7							ɾ i n a ŋ	
499-7							z a m	
526-7							g a g a	
544-7							kʰ u	
553-7							k o t kʰ e n	
599-7							g o g a	
608-7							b a kʰ e n	
617-7							l e	
645-7							a m	
663-7							s o ŋ a	
672-7							t o ŋ p a	
681-7							ɾ i	
690-7							m i ŋ	
708-7							dʒ a ŋ b u	
717-7							d o k p u	
726-7							s i	
744-7							a a	
782-7							m i	
791-7							ŋ a	
800-7							ŋ a	
809-7							m o ŋ n a m	
836-7							ʃ i	
881-7							l a m	
890-7							l a	
899-7							s e	
926-7							tʃ a m	
944-7							g a g a ŋ	
953-7							ʃ a m	
980-7							l a m	
998-7							pʰ e	
1022-7							dʒ a	
1031-7							b i n a ŋ	
1069-7							tʃ o ŋ p a	
1079-7							ʃ a	
1098-7							j a ŋ b u	
1117-7							tʃ u ŋ	
1141-7							ɾ i ŋ b u	
1189-7							m a m	
1198-7							n u	
1208-7							z a	
1217-7							l a ɲ i	
1253-7							a m	
1271-7							n o dʒ a ŋ	
1289-7							m i ŋ	
1316-7							ŋ a	
1325-7							kʰ a m	
1334-7							s i ŋ	
1343-7							b i n a ŋ	
1361-7							j e n a ŋ	
1370-7							n a m	
1388-7							m a m	
1397-7							d u	
1406-7							tʃ o ŋ	
1424-7							g a g a	
1433-7							ʃ u	
1442-7							l a m	
1451-7							b a	
1468-7							pʰ a kʰ e n	
1477-7							ŋ a	
1502-7							ŋ a m	
1511-7							m u ŋ	
1529-7							tʃ a l a	
1538-7							s u	
1557-7							tʃ o tʃ u ŋ	
10-8								dʒ a ŋ
37-8								n a
46-8								n a
98-8								kʰ a ŋ
125-8								b o n i ŋ
162-8								s e
171-8								m o ŋ n a
219-8								tʃ a ŋ p u
247-8								tʃ a ŋ p u
282-8								l u ŋ
292-8								kʰ a ŋ
301-8								l i
354-8								m u ŋ
363-8								n a m b u
397-8								g a m i
406-8								kʰ a
426-8								ŋ a m
473-8								d i ŋ
499-8								ŋ a m
526-8								kʰ a
544-8								kʰ u
553-8								k o tʃ a ŋ
599-8								g o g a n
608-8								b a ʃ a n
617-8								s e
645-8								a m
663-8								s o s i
672-8								t o ŋ t a
681-8								ɾ i
690-8								m i ŋ
708-8								tʰ a k p u
717-8								dʒ o k p u
726-8								s i
744-8								k a
782-8								m i
791-8								ŋ a
800-8								ŋ a
809-8								m o ŋ n a ŋ
836-8								s i
881-8								l a m
890-8								tʃ a
899-8								s e
926-8								a m
944-8								g a ɾ a ŋ
953-8								ʃ a n
980-8								kʰ u ŋ
998-8								s i
1022-8								kʰ a
1031-8								b i n a ŋ
1069-8								tʃ o
1079-8								w a
1098-8								j a ŋ p u
1117-8								tʃʰ u
1141-8								ɾ i ŋ
1189-8								m a
1198-8								l u
1208-8								s a
1217-8								l a
1253-8								a m
1271-8								n i l a n
1289-8								m i ŋ
1316-8								ŋ a
1325-8								kʰ a m
1334-8								s i
1343-8								b u ŋ
1361-8								s e ŋ
1370-8								n a n u ŋ
1388-8								m a
1397-8								kʰ u
1406-8								tʃ o ŋ
1424-8								g a k p a n
1433-8								kʰ u
1442-8								l a m
1451-8								b a
1468-8								j a k p a
1477-8								ŋ a
1502-8								ŋ a m
1511-8								m u ŋ
1529-8								tʃ a
1538-8								s u
1557-8								tʃ o
