COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
944-2		g a ɾ a ŋ						
953-2		ʃ n a ɾ a ŋ						
980-2		Ø a r u ŋ						
998-2		p Ø l i						
1022-2		l dʒ a tʰ u r						
1031-2		b i n a ŋ u Ø a l						
1069-2		tʃ o ŋ a ŋ l u l						
1079-2		ʃ a u u Ø a						
1098-2		j a ŋ b u a u						
1117-2		tʃ u n						
1141-2		r i ŋ b u						
1189-2		m a n						
1198-2		n u						
1208-2		z a l n a						
1217-2		l a n i u u u						
1253-2		a m a						
1271-2		n o l a ŋ						
1289-2		m i ŋ						
1316-2		ŋ a ŋ						
1325-2		a m						
1334-2		s i ŋ b a						
1343-2		b i a n a ŋ						
1361-2		j e n a ŋ						
1370-2		n a d u						
1388-2		m a n b a						
1397-2		tʰ u r						
1406-2		tʃ o ŋ						
1424-2		g a ɾ a ŋ p a r						
1433-2		ʃ u g u						
1442-2		l a m						
1451-2		b a Ø a m						
1468-2		p a k p a						
1477-2		ŋ a s						
1502-2		ŋ a m s u						
1511-2		m u tʰ l j a ŋ b a						
1529-2		tʰ a l u						
1538-2		s u l u						
1557-2		tʃ o i Ø u ŋ						
1618-2		i ŋ tʰ a						
1663-2		z u m						
1689-2		ŋ o i						
1698-2		u ŋ						
1707-2		m o ŋ n a ŋ						
1716-2		ŋ a m u u u						
1742-2		m u g i						
1751-2		b u ʃ i l a						
1778-2		z a						
1787-2		tʃʰ u r p u n						
1823-2		l e m						
1832-2		k a r m a						
1842-2		l u ŋ						
1860-2		ŋ a m n n n						
1869-2		ʃ u p d a ŋ						
1888-2		ʃ a m p i						
1897-2		s a e						
1932-2		ɾ i n a ŋ s o p l a l						
1950-2		z u						
1968-2		t o ŋ t a l u u						
1978-2		k u t p a						
1987-2		s a m						
2015-2		ŋ a m a n a						
2118-2		m o ŋ ʃ o o ŋ a l						
2238-2		ŋ a r a n						
2507-2		tʰ i n u ŋ						
2526-2		l e						
2535-2		ʃ a a						
2544-2		ʃ i ŋ						
2560-2		s o ŋ n i tʃ i ŋ						
2569-2		e tʰ u Ø						
2578-2		n i tʃ i ŋ						
2596-2		Ø u ŋ						
2615-2		ɾ i						
2663-2		g i t n n i						
2690-2		s i l l						
2719-2		ɾ i Ø i						
2728-2		k o tʃ u ŋ						
2747-2		l i ŋ u l						
2756-2		s e r b u						
2774-2		b o ɲ i ŋ						
19-2		n a ʃ u i b a Ø						
28-2		n a ʃ u i b a n						
89-2		g a ŋ p u						
107-2		u u Ø i m i n						
145-2		Ø u k p u n u						
190-2		p u tʃ i						
229-2		a						
257-2		tʰ a ŋ a						
338-2		b r u ŋ						
436-2		z u l u						
483-2		Ø a						
571-2		g e l e n Ø i						
699-2		Ø o ŋ p a						
845-2		ɾ o k n						
971-2		tʃ i t̪ p u						
1161-2		a m						
1180-2		ʃ l a						
1235-2		n a m n i ŋ						
1280-2		dʒ i ŋ z a ŋ						
1307-2		k e p k a						
1352-2		g u						
1379-2		s i						
1415-2		ɾ a						
1636-2		b e tʃ a						
1654-2		l i						
1680-2		a n Ø i u						
1725-2		tʃ a p tʃ e						
2127-2		dʒ a m a n						
2181-2		tʰ i l n						
2366-2		u u j a k Ø n						
2672-2		pʰ a g a						
2681-2		b a l u ŋ b o						
55-2		tʰ a ʃ i b a n						
80-2		tʰ u ŋ g a						
116-2		tʰ u l i						
154-2		ʃ i						
10-3			Ø a ŋ					
37-3			n a n					
46-3			n a n					
98-3			kʰ a ŋ tʃ i l a					
125-3			b Ø u u ŋ ɾ a					
162-3			l Ø i s i					
171-3			u o m Ø a					
219-3			Ø a ŋ p u					
247-3			tʃʰ a ŋ l u ŋ					
282-3			l u s p u					
292-3			kʰ a ŋ					
301-3			l i					
354-3			m u m b a Ø i					
363-3			n a m b u					
397-3			g a m tʰ i					
406-3			kʰ a Ø u					
426-3			m Ø k p a					
473-3			pʰ i n u a ŋ					
499-3			z a m Ø n					
526-3			g a Ø a					
544-3			kʰ u					
553-3			k o Ø a ŋ					
599-3			g o tʰ a m					
608-3			b a n tʰ o					
617-3			j Ø n					
645-3			a n a					
663-3			s o ŋ tʰ u r					
672-3			Ø o ŋ p a					
681-3			ŋ i ɾ i					
690-3			m i ŋ					
708-3			tʰ a i Ø i ŋ b u					
717-3			Ø o k p u					
726-3			s i					
744-3			a p a					
782-3			m i					
791-3			ŋ a					
800-3			ŋ a					
809-3			m o m n a ŋ					
836-3			p Ø i					
881-3			l a m					
890-3			r a b a					
899-3			s Ø r					
926-3			Ø a m					
944-3			g a ɾ a ŋ					
953-3			Ø a ɾ a ŋ					
980-3			l a ɾ o ŋ					
998-3			pʰ a u i					
1022-3			u j a tʰ u r					
1031-3			b i n a ŋ m u k a n					
1069-3			tʃ o n n ŋ u u u u					
1079-3			Ø a u u u l a					
1098-3			j a ŋ b u					
1117-3			tʃ u n					
1141-3			ɾ i ŋ b u					
1189-3			m a n					
1198-3			n u m n					
1208-3			z a l n n a					
1217-3			l a n i u Ø u					
1253-3			a m a					
1271-3			n o ŋ a ŋ					
1289-3			m i ŋ					
1316-3			ŋ a ŋ					
1325-3			kʰ a m					
1334-3			s i ŋ b a					
1343-3			b i u n a ŋ					
1361-3			j Ø n a ŋ a m					
1370-3			n a g u ŋ					
1388-3			m a n b a					
1397-3			tʰ u r					
1406-3			tʃ o ŋ					
1424-3			g a ɾ a ŋ p u u a r u u					
1433-3			Ø u g u					
1442-3			l a m					
1451-3			b a Ø a m					
1468-3			pʰ a k p a					
1477-3			ŋ a s					
1502-3			ŋ a m s u					
1511-3			m u t u j a ŋ b a					
1529-3			tʃʰ a l u					
1538-3			s o l u					
1557-3			tʃ o i Ø u ŋ					
1618-3			i n tʃ a					
1663-3			z u m					
1689-3			ŋ o i					
1698-3			kʰ u ŋ					
1707-3			m o ŋ n a ŋ					
1716-3			ŋ a m u Ø u					
1742-3			m u g i					
1751-3			b u Ø i l a					
1778-3			z a					
1787-3			tʃʰ u r p u n					
1823-3			l Ø m					
1832-3			k a r m a					
1842-3			l u ŋ					
1860-3			ŋ a m n n n					
1869-3			Ø u p Ø a ŋ					
1888-3			Ø a m p i					
1897-3			s Ø					
1932-3			ɾ i n a ŋ s o p Ø a n					
1950-3			z u					
1968-3			Ø o ŋ Ø a u u u u					
1978-3			k u Ø p a					
1987-3			s a m					
2015-3			ŋ a m l u n					
2118-3			m o ŋ Ø n o ŋ n a n					
2238-3			ŋ a r l u n					
2507-3			tʰ Ø n u ŋ					
2526-3			l Ø u					
2535-3			Ø a u					
2544-3			Ø i ŋ					
2560-3			s o ŋ n i tʃ i ŋ					
2569-3			kʰ a i tʰ u ɾ					
2578-3			n i tʃ i ŋ					
2596-3			Ø u ŋ					
2615-3			ɾ i					
2663-3			g i Ø u u i					
2690-3			s i u u					
2719-3			ɾ i Ø i					
2728-3			k o tʃ u ŋ					
2747-3			ɲ i ŋ u u u					
2756-3			s Ø r b u					
2774-3			b o ɲ i ŋ					
89-3			g a ŋ p u					
107-3			Ø i m i n tʃ tʃ					
145-3			Ø u k p u					
190-3			p u tʃ i					
229-3			kʰ a					
257-3			tʰ a ŋ a					
436-3			z u l u					
483-3			l a					
535-3			s o s a					
699-3			Ø o ŋ p a					
845-3			ɾ o k i					
971-3			tʃ i t̪ p u					
1049-3			b u					
1161-3			a m					
1180-3			Ø a					
1226-3			l a ŋ i					
1235-3			n a m n i ŋ					
1280-3			z i ŋ s a n					
1307-3			k Ø p k a					
1352-3			g u					
1379-3			s i					
1415-3			ɾ a					
1636-3			b Ø tʃ a					
1654-3			l i					
1725-3			tʃ a p tʃ Ø i					
2127-3			Ø a m l Ø n					
2181-3			t i tʃ l a n					
2366-3			j a k Ø a n					
2672-3			l a g a					
2681-3			b a l u ŋ b o					
116-3			tʰ u l i					
154-3			Ø i					
10-4				p a ŋ				
37-4				n a n				
46-4				n a n				
98-4				kʰ a ŋ p i a				
125-4				b i j ŋ ɾ a				
162-4				e i s i				
171-4				o m Ø a				
219-4				t a ŋ p u				
247-4				p a ŋ u ŋ				
282-4				u s p u				
292-4				kʰ a ŋ				
301-4				i				
354-4				m u m b a t i				
363-4				n a m b u				
397-4				g a m t i				
406-4				kʰ n u				
426-4				m Ø k p a				
473-4				pʰ i n n a ŋ				
499-4				z a m Ø n				
526-4				g a Ø n a				
544-4				kʰ u				
553-4				k o t a ŋ				
599-4				g o i tʰ a m				
608-4				b a n tʰ o				
617-4				j e n				
645-4				a n a				
663-4				s o ŋ tʰ u r				
672-4				t o ŋ p a				
681-4				ɲ i ɾ i				
690-4				m i ŋ				
708-4				tʰ a n r i ŋ b u				
717-4				p o k p u				
726-4				s i				
744-4				a p a				
782-4				m i				
791-4				ŋ a				
800-4				ŋ a				
809-4				m o m n a ŋ				
836-4				p n Ø i				
881-4				a m				
890-4				r a a				
899-4				s e r				
926-4				tʃ a m				
944-4				g a ɾ a ŋ				
953-4				Ø a ɾ a ŋ				
980-4				n a ɾ u ŋ				
998-4				pʰ e i				
1022-4				n j a tʰ u r				
1031-4				b i n a ŋ Ø u h a n				
1069-4				tʃ o n a ŋ h h				
1079-4				Ø a n n n n a				
1098-4				j a ŋ b n n u				
1117-4				tʃ u n				
1141-4				ɾ i ŋ b u				
1189-4				m a n				
1198-4				n u n				
1208-4				z a n n a				
1217-4				a ɲ i n n n				
1253-4				a m a				
1271-4				n o a ŋ				
1289-4				m i ŋ				
1316-4				ŋ a ŋ				
1325-4				kʰ a m				
1334-4				s i ŋ b a				
1343-4				b a i n a ŋ				
1361-4				j e n a ŋ				
1370-4				n a k u ŋ				
1388-4				m a n b a				
1397-4				tʰ u r				
1406-4				tʃ o ŋ				
1424-4				g a ɾ a ŋ p a r				
1433-4				Ø u g u				
1442-4				a m				
1451-4				b a Ø a m				
1468-4				pʰ a k p a				
1477-4				ŋ a s				
1502-4				ŋ a m s u				
1511-4				m u d j a ŋ b a				
1529-4				tʃ a u				
1538-4				s u u				
1557-4				tʃ o i Ø u ŋ				
1618-4				i n tʃ a				
1663-4				z u m				
1689-4				ŋ o i				
1698-4				kʰ u ŋ				
1707-4				m o ŋ n a ŋ				
1716-4				ŋ a m n n n				
1742-4				m u g i				
1751-4				b u Ø i a				
1778-4				z a				
1787-4				tʰ u r p u n				
1823-4				e m				
1832-4				k a r m a				
1842-4				u ŋ				
1860-4				ŋ a m n n n				
1869-4				Ø u p n a ŋ				
1888-4				Ø a m pʰ i				
1897-4				s n e				
1932-4				ɾ i n a ŋ s o p a n				
1950-4				z u				
1968-4				t o ŋ t a h n h				
1978-4				k u t p a				
1987-4				s a m				
2015-4				ŋ a m n u n n				
2118-4				m o ŋ Ø a n o n n a n				
2238-4				ŋ a r n u n				
2507-4				tʰ n u ŋ				
2526-4				e				
2535-4				Ø n a				
2544-4				Ø i ŋ				
2560-4				s o ŋ n i tʃ i ŋ				
2569-4				kʰ e a tʰ u ɾ				
2578-4				n i tʃ i ŋ				
2596-4				Ø u ŋ				
2615-4				ɾ i				
2663-4				g i t i				
2690-4				s i n n				
2719-4				ɾ i Ø i				
2728-4				k o tʃ u ŋ				
2747-4				ɲ i ŋ h h n				
2756-4				s e r b u				
2774-4				b o ɲ i ŋ				
19-4				n a Ø n a b a h				
28-4				n a Ø n a b a h				
89-4				g a ŋ p u				
145-4				Ø u k p u				
229-4				kʰ				
257-4				tʰ ŋ				
338-4				b r u ŋ				
436-4				z u u				
535-4				s o s o				
571-4				g e e n Ø i				
699-4				Ø o ŋ p a				
971-4				tʃ i p u				
1049-4				b u				
1180-4				Ø n a				
1226-4				a ɲ i				
1307-4				t e p k a				
1352-4				g u				
1379-4				s i				
1636-4				b e tʃ a				
1654-4				i				
1680-4				kʰ a n Ø n				
1725-4				tʃ a p tʃ e				
2672-4				m a g a				
55-4				d a pʰ i b pʰ				
80-4				tʰ u ŋ g a				
116-4				tʰ u				
10-5					dʒ a ŋ			
37-5					n a n			
46-5					n a n			
98-5					kʰ a ŋ tʃ i l a			
125-5					b i Ø ŋ ɾ a			
162-5					l e s i			
171-5					n o m ʃ a			
219-5					t a ŋ p u			
247-5					tʃʰ a ŋ l u ŋ			
282-5					l u s p u			
292-5					kʰ a ŋ			
301-5					l i			
354-5					m u m b a t i			
363-5					n a m b u			
397-5					g a m tʰ i			
406-5					kʰ a n u n			
426-5					m Ø k p a			
473-5					p i n Ø a ŋ			
499-5					z a m Ø n			
526-5					g a ʃ a			
544-5					kʰ u			
553-5					k o t a ŋ			
599-5					g o tʰ a m			
608-5					b a n tʰ o			
617-5					j e n			
645-5					a n a			
663-5					s o ŋ tʰ u r			
672-5					t o ŋ p a			
681-5					ɲ e ɾ i			
690-5					m i ŋ			
708-5					tʰ a ŋ r i ŋ b u			
717-5					dʒ o k p u			
726-5					s i			
744-5					a p a			
782-5					m i			
791-5					ŋ a			
800-5					ŋ a			
809-5					m o m n a ŋ			
836-5					p ʃ i			
881-5					l a m			
890-5					r a b a			
899-5					s e r			
926-5					tʃ a m			
944-5					g a ɾ a ŋ			
953-5					ʃ a ɾ a ŋ			
980-5					Ø a ɾ o ŋ			
998-5					p a n i			
1022-5					ŋ dʒ a tʰ u r			
1031-5					b i n a ŋ l u a ŋ			
1069-5					tʃ o a ŋ n n z			
1079-5					ʃ a n p Ø a			
1098-5					j a ŋ Ø Ø u			
1117-5					p u n			
1141-5					r i ŋ b u			
1189-5					m a n			
1198-5					n u m Ø			
1208-5					z a l n n a			
1217-5					l a Ø i			
1253-5					a m a			
1271-5					n o a ŋ			
1289-5					m i ŋ			
1316-5					ŋ a ŋ			
1325-5					kʰ a m			
1334-5					s i ŋ b a			
1343-5					b e n a ŋ			
1361-5					j e n a ŋ n m			
1370-5					n a k u			
1388-5					m a n Ø a			
1397-5					tʰ u r			
1406-5					tʃ o ŋ			
1424-5					g a ɾ a ŋ p n n a r n n			
1433-5					ʃ u g u			
1442-5					l a m			
1451-5					b a Ø a m			
1468-5					p a k p a			
1477-5					ŋ a s			
1502-5					ŋ a m s u			
1511-5					m u Ø n Ø a ŋ b a			
1529-5					tʃ a l u			
1538-5					s u l u			
1557-5					tʃ o i Ø u ŋ			
1618-5					i ŋ tʃ a			
1663-5					z u m			
1689-5					ŋ o i			
1698-5					kʰ u ŋ			
1707-5					m o ŋ n a ŋ			
1716-5					ŋ a m n			
1742-5					m u g i			
1751-5					b u ʃ i l a			
1778-5					z a			
1787-5					tʃ u r p u ŋ			
1823-5					l e m			
1832-5					k a r m a			
1842-5					l u ŋ			
1860-5					ŋ a m n n n			
1869-5					ʃ u p d a ŋ			
1888-5					ʃ a m p i			
1897-5					s e			
1932-5					ɾ i n a ŋ s o p Ø a ŋ			
1950-5					z u			
1968-5					t o ŋ t a Ø Ø p n			
1978-5					k u t p a n			
1987-5					s a m			
2015-5					ŋ a m p a n			
2118-5					m o ŋ ʃ o ŋ a ŋ			
2238-5					ŋ a r l a n			
2507-5					tʰ e n u ŋ			
2526-5					l e			
2535-5					ʃ a			
2544-5					ʃ i ŋ			
2560-5					s o ŋ n i tʃ i ŋ			
2569-5					kʰ a tʰ u r			
2578-5					n i tʃ i ŋ			
2596-5					Ø u ŋ			
2615-5					ɾ i			
2663-5					g i t n n i			
2690-5					s i			
2719-5					ɾ i Ø i			
2728-5					k o tʃ u ŋ			
2747-5					ɲ e ŋ ŋ n			
2756-5					s e r b u			
2774-5					b o ɲ i ŋ			
19-5					n a ʃ ŋ i b a Ø			
28-5					n a ʃ ŋ i b a k			
89-5					k a ŋ p u			
107-5					p Ø i m i n p p			
145-5					Ø u k p u			
190-5					p u tʃ i			
229-5					kʰ a			
257-5					tʰ a ŋ a			
338-5					b r u ŋ			
436-5					z u l u			
483-5					Ø a			
535-5					s o s o			
571-5					g e l e n Ø i			
699-5					Ø o ŋ p a			
845-5					ɾ o k p			
971-5					tʃʰ i p p u			
1049-5					b u			
1161-5					a m			
1180-5					ʃ ŋ a			
1226-5					l a i			
1235-5					n a m n e ŋ			
1280-5					dʒ i ŋ s a ŋ			
1307-5					g e p k a			
1352-5					g u			
1379-5					s i			
1415-5					ɾ a			
1654-5					l i			
1680-5					kʰ a n d e ŋ			
2127-5					dʒ a m p a n			
2181-5					Ø i p l Ø n			
2366-5					j a k p a n			
2672-5					t a g a			
2681-5					b a l a ŋ b o			
80-5					tʰ u ŋ d a			
154-5					ʃ i			
10-6						dʒ a ŋ		
37-6						n a n		
46-6						n a n		
98-6						kʰ a ŋ dʒ i l a		
125-6						b i j p ŋ ɾ a		
162-6						l e i s i		
171-6						n o m Ø a		
219-6						t a ŋ p u		
247-6						tʃʰ a ŋ l u ŋ		
282-6						l u s p u		
292-6						kʰ a ŋ		
301-6						l i		
354-6						m u m b a t i		
363-6						n m b u		
397-6						g a m tʰ i		
406-6						kʰ a n u		
426-6						m Ø g p a		
473-6						p i n g a ŋ		
499-6						z a m ĭ n		
526-6						g a Ø g a		
544-6						kʰ u		
553-6						g o t a ŋ		
599-6						g o i tʰ a m		
608-6						b a n tʰ o		
617-6						j e n		
645-6						a n a		
663-6						s o ŋ tʰ u r		
672-6						t o ŋ p a		
681-6						Ø i ɾ i		
690-6						m i ŋ		
708-6						tʰ a i ɾ i ŋ b u		
717-6						dʒ o g p u		
726-6						s i		
744-6						a p a		
782-6						m i		
791-6						ŋ a		
800-6						ŋ a		
809-6						m o m n a ŋ		
836-6						p g s i		
881-6						l a m		
890-6						r a Ø a		
899-6						s e r		
926-6						tʃʰ a m		
944-6						g a ɾ a ŋ		
953-6						Ø j a ɾ a ŋ		
980-6						Ø a Ø o ŋ		
998-6						p e n i		
1022-6						i dʒ a tʰ u r		
1031-6						b i n a ŋ kʰ g kʰ a i		
1069-6						tʃ o Ø a ŋ n n g		
1079-6						Ø a p Ø a		
1098-6						j a ŋ Ø g g u		
1117-6						tʃ u n		
1141-6						ɾ i n b u		
1189-6						m a n		
1198-6						n u p p		
1208-6						z a l g a		
1217-6						l a n i		
1253-6						a m a		
1271-6						n o Ø a ŋ		
1289-6						m i n		
1316-6						ŋ a ŋ		
1325-6						kʰ a m		
1334-6						s i ŋ b a		
1343-6						b i n a ŋ		
1361-6						j e n a ŋ p n		
1370-6						n a m u ŋ		
1388-6						m a n b a		
1397-6						tʰ u r		
1406-6						tʃ o ŋ		
1424-6						g a ɾ a ŋ p n n a r n n		
1433-6						Ø u g u		
1442-6						l a m		
1451-6						b a Ø a m		
1468-6						p a g p a		
1477-6						ŋ a s		
1502-6						ŋ a m s u		
1511-6						m u tʰ n j a ŋ a		
1529-6						tʃʰ a l u		
1538-6						s u l u		
1557-6						tʃ o i Ø u ŋ		
1618-6						i ŋ tʃ a		
1663-6						z u m		
1689-6						ŋ o i		
1698-6						kʰ u ŋ		
1707-6						m o ŋ n a ŋ		
1716-6						ŋ a m		
1742-6						m u g i		
1751-6						b u tʃ i l a		
1778-6						z a		
1787-6						tʃʰ u r p u i		
1823-6						l e m		
1832-6						g a r m a		
1842-6						l u ŋ		
1860-6						ŋ a m i		
1869-6						Ø u p Ø a ŋ		
1888-6						Ø a m p i		
1897-6						s g e		
1932-6						ɾ i n a ŋ s o p g a i		
1950-6						z u		
1968-6						t o ŋ t a g g n		
1978-6						g u t p a		
1987-6						s a m		
2015-6						ŋ a m g g n g		
2118-6						m o ŋ Ø p o ŋ a i		
2238-6						ŋ a r b g n		
2507-6						tʰ ĭ n u ŋ		
2526-6						l e i		
2535-6						Ø g a i		
2544-6						Ø i ŋ		
2560-6						s o ŋ n i tʃ i ŋ		
2569-6						kʰ e p tʰ u ɾ		
2578-6						n i tʃ i ŋ		
2596-6						Ø u ŋ		
2615-6						ɾ i		
2663-6						g i t p p i		
2690-6						s i i i		
2719-6						ɾ i Ø i		
2728-6						g o tʃ u ŋ		
2747-6						Ø i ŋ g		
2756-6						s e r b u		
2774-6						b o Ø i ŋ		
19-6						n a Ø i b a		
28-6						n a Ø i b a		
89-6						g a ŋ p u		
107-6						Ø i m i n p p		
145-6						Ø u p p u		
190-6						p u tʃ i		
229-6						m a		
257-6						tʰ a ŋ a		
338-6						b r u ŋ		
483-6						Ø a		
535-6						s o s o		
571-6						g e l e n Ø i		
699-6						Ø o ŋ p a		
845-6						ɾ o g p		
971-6						tʃʰ i kʰ p u		
1049-6						b u		
1161-6						a m		
1226-6						l a Ø i		
1235-6						n a m n i ŋ		
1280-6						dʒ i g tʃ a g		
1307-6						t e p p a		
1352-6						g u		
1379-6						s i		
1415-6						ɾ a		
1636-6						b e tʃ a		
1654-6						l i		
1680-6						m a n Ø		
1725-6						tʃ a p tʃ e p		
2127-6						dʒ a m g a n		
2181-6						tʰ i p l p n		
2366-6						j a g g g n		
2672-6						b a g a		
2681-6						a l i ŋ u		
55-6						Ø a Ø i b a g		
80-6						tʰ u ŋ g a		
116-6						tʰ u l g		
154-6						Ø i		
10-7							dʒ a ŋ	
37-7							n a n	
46-7							n a n	
98-7							kʰ a ŋ tʃ i l a	
125-7							b Ø a ŋ ɾ a	
162-7							l e i s i	
171-7							Ø o m ʃ a	
219-7							t a ŋ p u	
247-7							tʃ a ŋ l u ŋ	
282-7							l u s p u	
292-7							kʰ a ŋ	
301-7							l i	
354-7							m u m b a t i	
363-7							n Ø m b u	
397-7							g a m Ø i	
406-7							kʰ a m u	
426-7							m Ø k p a	
473-7							p i n Ø a ŋ	
499-7							z a m i n	
526-7							g a ʃ a	
544-7							kʰ u	
553-7							k o t a ŋ	
599-7							g o tʰ a m	
608-7							b a n tʰ o	
617-7							j e n	
645-7							a n a	
663-7							s o ŋ tʰ u r	
672-7							t o ŋ p a	
681-7							ɲ i ɾ i	
690-7							m i ŋ	
708-7							tʰ a Ø i ŋ b u	
717-7							dʒ o k p u	
726-7							s i	
744-7							a p a	
782-7							m i	
791-7							ŋ a	
800-7							ŋ a	
809-7							m o m n a ŋ	
836-7							p ʃ i	
881-7							l a m	
890-7							r a b a	
899-7							s e r	
926-7							Ø a m	
944-7							g a ɾ a ŋ	
953-7							ʃ a ɾ a ŋ	
980-7							a Ø o ŋ	
998-7							p a Ø i	
1022-7							dʒ a tʰ u r	
