COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
708-5					tʰ a r a ŋ b u			
717-5					dʒ o k p u			
726-5					s i			
744-5					a kʰ a			
782-5					m i			
791-5					ŋ a			
800-5					ŋ a			
809-5					m o ŋ n a ŋ			
836-5					b i t i			
881-5					l a m			
10-6						dʒ a ŋ		
37-6						n a ŋ		
46-6						n a ŋ		
98-6						kʰ a ŋ tʃ a		
125-6						b e ŋ ɾ a		
162-6						l e n d i		
171-6						o ŋ m a n		
219-6						t a ŋ p u		
247-6						tʃʰ a ŋ l u ŋ		
282-6						l u k p u		
292-6						kʰ a ŋ		
301-6						l i		
354-6						m u g i		
363-6						n a m b u		
397-6						g a m i n		
406-6						kʰ a m		
426-6						m u k p a		
473-6						pʰ i n a ŋ		
499-6						z a m p i		
526-6						g a ʃ a		
544-6						kʰ u		
553-6						k o t a ŋ		
599-6						g o i n a m		
608-6						b a n u		
617-6						j e n		
645-6						a m a n		
663-6						s o ŋ tʰ u r		
672-6						t o ŋ p a		
681-6						ɲ e ŋ i		
690-6						m i ŋ		
708-6						tʰ a ɾ i ŋ b u		
717-6						dʒ o k p u		
726-6						s i j a		
744-6						a w a		
782-6						m i		
791-6						ŋ a		
800-6						ŋ a		
809-6						m o ŋ n a ŋ		
836-6						p i		
881-6						l a m		
10-7							dʒ a ŋ	
37-7							n a m	
46-7							n a m	
98-7							kʰ a ŋ tʃ i l a	
125-7							b i n a ŋ	
162-7							l e i	
171-7							m o ŋ ʃ a	
219-7							t a ŋ p u	
247-7							tʃ a ŋ l u ŋ	
282-7							l u s p u	
292-7							kʰ a ŋ	
301-7							l i	
354-7							m u g a ŋ	
363-7							n a m b u	
397-7							g a m kʰ e n	
406-7							kʰ a u	
426-7							m u k p a	
473-7							pʰ i n a ŋ	
499-7							z a m kʰ ə n	
526-7							g a ʃ a	
544-7							kʰ u	
553-7							k o t a ŋ	
599-7							g o i d a m	
608-7							b a n u ŋ	
617-7							j e n	
645-7							a n a	
663-7							s o ŋ tʰ u r	
672-7							t o ŋ p a	
681-7							ɲ i ɾ a	
690-7							m i ŋ	
708-7							tʰ a ɾ i ŋ	
717-7							dʒ o k p u	
726-7							s i	
744-7							a p a	
782-7							m i	
791-7							ŋ a	
800-7							ŋ a	
809-7							m o ŋ n a m	
836-7							s i	
881-7							l a m	
10-8								dʒ a ŋ
37-8								n a n
46-8								n a n
98-8								kʰ a n d a
125-8								b e n a ŋ
162-8								l e i
171-8								o a m a
219-8								w a ŋ p u
247-8								tʃ a ŋ l u ŋ
282-8								l u
292-8								kʰ a ŋ
301-8								l i
354-8								m u m b i
363-8								n a m a n
397-8								g a m p i
406-8								kʰ a m u
426-8								m u d̪ j a
473-8								pʰ i n a ŋ
499-8								z a m p i
526-8								g a ɾ a ŋ
544-8								kʰ u
553-8								k o t a ŋ
599-8								g o i l a m
608-8								b a n d a
617-8								j e n
645-8								a n a
663-8								s o ŋ tʰ u r
672-8								t o ŋ p a
681-8								n i n i
690-8								m i ŋ
708-8								tʰ a r ŋ b u
717-8								dʒ o k p u
726-8								s i
744-8								a w a
782-8								m i
791-8								ŋ a
800-8								ŋ a
809-8								m o m n a ŋ
836-8								p i l a
881-8								l a m
