COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
3933-1	s ɤ ²¹								
5763-1									
2134-1	ɕ i ⁵⁵								
5724-1	t ɯ ²¹								
5704-1	t a ⁴²								
5705-1									
5037-1									
5038-1	t a ³⁵								
4332-1									
5447-1									
3702-1	s e ²¹								
1549-1	s ɿ ³¹								
2394-1	k ɤ ³³								
1-1	w e ⁴²								
2947-1	t ɯ ²¹								
4653-1	kʲ ɛ ⁴²								
4989-1	kʲ ɛ ⁴²								
3749-1	j i ⁴⁴								
3452-1									
598-1	ŋ a ⁴⁴								
638-1									
2819-1	p u ⁴⁴								
4477-1									
4487-1									
4666-1									
5661-1	t a ⁴²								
4923-1	k a ⁵⁵								
4913-1	k ɯ ²¹								
1143-1	m ɛ ⁴⁴								
4864-1	s ɔ ³⁵								
3184-1	ʂ ɯ ³³								
4591-1									
1431-1	s e ⁴⁴								
3323-1	k a ³⁵								
6709-1	t ɔ ⁴⁴								
903-1	m ɛ ²¹								
5098-1	k ɯ ²¹								
5994-1	k a ³⁵								
6971-1									
763-1									
691-1									
1083-1	t ɔ ²¹								
1421-1	k a ⁴²								
6699-1	t ɔ ⁴²								
2628-1	s ɔ ³⁵								
1696-1	x ɔ ³¹								
6179-1	kʲ ɛ ³⁵								
6180-1									
6658-1	s e ³³								
1231-1	s ɤ ²¹								
4265-1									
2787-1									
3247-1									
252-1	t a ⁴²								
6004-1	k a ³¹								
4728-1	s a ³⁵								
3843-1	ŋ w a ⁴⁴								
4965-1									
5641-1	t a ²¹								
3280-1	s ɔ ²¹								
1390-1									
2156-1	ŋ w a ⁴⁴								
3433-1	s ɔ ³¹								
552-1	s ɔ ³¹								
4845-1	t o ⁴⁴								
4846-1	t ɔ ⁴⁴								
2292-1	m ɛ ²¹								
6635-1	ɲ e ⁴⁴								
3994-1	t u ⁴⁴								
3031-1	t e ³³								
6078-1	s e ²¹								
1644-1									
2435-1	ɲ i ⁴⁴								
1676-1									
6281-1	kʲ e ³⁵								
5915-1									
1560-1	ɕ i ³³								
575-1	t u ³¹								
5319-1	s e ²¹								
2797-1	k a ³⁵								
6991-1									
3513-1	t ɔ ²¹								
5205-1									
6109-1									
2056-1	m u ²¹								
6099-1	k u ³³								
6119-1	p ɔ ³¹								
1978-1	t ɔ ³³								
3973-1	t a ⁴⁴								
2046-1	s ɔ ³³								
5622-1	s ɿ ⁵⁵								
648-1									
6789-1	p ɛ ⁴²								
618-1	x u ⁴⁴								
2384-1	m a ²¹								
1124-1	k a ³⁵								
1125-1									
4178-1	k u ²¹								
1686-1	k a ³⁵								
1495-1									
4090-1	ɕ i ⁵⁵								
4802-1	x a ⁵⁵								
1764-1	k u ³³								
3270-1	m e ³³								
1884-1	k ɛ ⁴²								
1203-1	k ɯ ³⁵								
6645-1	w e ³⁵								
608-1									
2889-1									
5350-1									
6158-1									
4306-1	s ɔ ³¹								
4891-1	k u ²¹								
6436-1	k u ³³								
6213-1	s a ³⁵								
2320-1	ɕ i ⁴⁴								
5253-1	f ɤ ⁴⁴								
5108-1									
4100-1									
6018-1									
1352-1	ŋ ɯ ²¹								
4228-1	p ɛ ⁴⁴								
4247-1									
75-1									
118-1									
2866-1	m ɛ ³³								
64-1	k a ²¹								
43-1									
128-1	ŋ ɔ ²¹								
7023-1	n ɔ ³¹								
7012-1	n a ³⁵								
4497-1	t e ⁴²								
2928-1	t a ⁴⁴								
148-1	ɣ ɯ ³³								
1623-1									
2648-1									
2649-1	l ɔ ⁴⁴								
6242-1	l u ²¹								
3943-1	s ɤ ³³								
1026-1	kʲ e ³⁵								
6404-1	k u ³⁵								
585-1									
1731-1	u ³¹								
5510-1	l ɔ ⁵⁵								
5360-1									
879-1	k u ³⁵								
880-1	l e ⁴⁴								
271-1	p i ²¹								
3565-1	ɕ i ⁴⁴								
3896-1	m i ⁴⁴								
3897-1									
1816-1									
3343-1									
1864-1	s e ²¹								
2026-1	m a ²¹								
6223-1	x e ⁴⁴								
6224-1	m a ²¹								
337-1									
4295-1	k u ²¹								
384-1	m i ³⁵								
385-1	s ɔ ³¹								
869-1	k u ²¹								
2745-1	s e ³³								
4690-1									
4423-1	s ɔ ³⁵								
5380-1									
4436-1									
2519-1									
4975-1	m i ⁴⁴								
4548-1	u ³¹								
4397-1	p e ²¹								
6203-1									
2689-1	t ɔ ²¹								
2599-1	t ɔ ²¹								
2600-1	m a ³⁵								
1913-1									
1914-1	u ³³								
1903-1	u ³¹								
6336-1									
473-1	u ²¹								
4065-1	k ɔ ²¹								
6554-1	j i ⁵⁵								
3114-1	t e ⁴²								
4942-1	k ɤ ³⁵								
3615-1									
4197-1	k u ²¹								
4198-1	ɲ i ²¹								
1474-1	n ɤ ³³								
6531-1	j u ⁴⁴								
4954-1									
4517-1	ʈʂ e ³³								
1173-1	j i ³⁵								
6365-1									
6730-1									
6380-1									
924-1	m ɯ ⁴⁴								
752-1									
4316-1	p i ²¹								
5181-1	pʰ ɛ ²¹								
5785-1									
4770-1	p ɔ ²¹								
2755-1	p ɔ ³¹								
1298-1	x a ⁵⁵								
784-1									
3596-1	t ɯ ²¹								
1799-1									
5007-1	p i ³⁵								
5465-1	x a ⁵⁵								
170-1									
3150-1	t a ³⁵								
3780-1	u ³¹								
1706-1									
403-1	p a ³¹								
5329-1	kʲ e ⁴²								
1103-1									
1113-1	s ɿ ³¹								
232-1									
5925-1	t o ⁴⁴								
5926-1									
5723-1	p a ⁴²								
5263-2		x e ³³							
452-2		t ɯ ²¹							
4342-2		t ɯ ²¹							
4344-2									
5487-2		t ɯ ²¹							
1401-2									
6496-2									
1064-2		l a ⁴⁴							
1065-2		k u ²¹							
6617-2		t w ɔ ²¹							
4367-2		t a ²¹							
4378-2		ɕ õu ⁵⁵							
4379-2		l ɛ ³⁵							
3984-2		s e ³³							
5086-2									
3333-2		s e ³³							
2226-2		x w ɔ ⁵⁵							
2373-2									
2363-2		s ou ⁵⁵							
672-2									
673-2		k ɯ ²¹							
2690-2		p ɔu ²¹							
6337-2		p a ⁴⁴							
6319-2									
2617-2		sʰ ɯ ³³							
2066-2		sʰ ɯ ³³							
2094-2		sʰ ɯ ³³							
2096-2		k w ɔ ⁴⁴							
798-2		p a ⁴²							
6668-2		s u ³³							
4028-2		t ɛ ⁴⁴							
6555-2									
2281-2		k ou ⁴⁴							
701-2									
628-2									
3096-2									
3021-2		t ou ⁴²							
2708-2		s e ⁵⁵							
3462-2		k ã ⁵⁵							
1932-2		s e ³³							
6469-2		sʰ ɔu ³³							
4454-2		j i ²¹							
4455-2		k ɛ̃ ⁵⁵							
6926-2		j f ³³							
6927-2		j i ²¹							
3916-2		m i ³³							
6822-2		j i ²¹							
5417-2									
1959-2		xʰ a ³¹							
1960-2		t ɯ ³⁵							
2899-2		x w ɔ ²¹							
3651-2		ts ɿ ³³							
811-2		k u ²¹							
1633-2		m e ²¹							
1775-2		k w ɔ ²¹							
5801-2		k ɔ̃ ⁴²							
4769-2		l ɔu ³¹							
3720-2		k ã ⁵⁵							
6446-2		m ɛ ³³							
1255-2									
3595-2		j ĩ ⁴⁴							
1600-2		k e ³³							
242-2									
3739-2		k w ɔ ²¹							
5984-2		l a ²¹							
838-2		s ou ⁵⁵							
839-2		t ɔ̃ ²¹							
3149-2		j ĩ ⁴⁴							
2829-2									
4602-2									
5225-2		l u ²¹							
3933-2		s w ɔ ⁴²							
5763-2									
2134-2		s e ⁵⁵							
5724-2		t ɯ ³³							
5704-2		t ou ²¹							
5705-2									
5037-2									
5038-2		t a ⁴⁴							
4332-2									
5447-2									
3702-2		s e ³³							
1549-2		z ɿ ²¹							
2394-2		k u ³³							
1-2		v ɤ ⁴²							
2947-2		t ɯ ²¹							
4653-2		k ɛ ⁴²							
4989-2		k ɛ ⁴²							
3749-2		j õ ⁴⁴							
3452-2									
598-2		ŋ a ⁴⁴							
638-2									
2819-2		k ɯ ⁴⁴							
4477-2									
4487-2									
4666-2									
5661-2		t a ⁴²							
4923-2		k w ã ⁴⁴							
4913-2		k ɯ ²¹							
1143-2		m ɛ ²¹							
4864-2		s ou ⁵⁵							
3184-2		s ɯ ³³							
4591-2									
1431-2		s ɛ ⁴⁴							
3323-2									
6709-2		t ou ⁴⁴							
903-2		m ɛ ²¹							
5098-2		k ɯ ²¹							
5994-2		k ã ⁵⁵							
6971-2									
763-2									
691-2									
1083-2		t w a ⁴²							
1421-2		k ɛ ⁴²							
6699-2		t ɯ ²¹							
2628-2		s ou ⁵⁵							
1696-2		x w a ³¹							
6179-2		k ɛ ⁵⁵							
6180-2									
6658-2		s e ³³							
1231-2		s u ³¹							
4265-2									
2787-2									
3247-2									
252-2		t a ⁴⁴							
6004-2		k ã ⁴²							
4728-2		sʰ a ⁵⁵							
3843-2		w a ⁴⁴							
4965-2									
5641-2		t a ³¹							
3280-2		s u ³¹							
1390-2									
2156-2		w a ⁴⁴							
3433-2		s ɿ ³³							
552-2		s ɿ ³¹							
4845-2		t ou ⁴⁴							
4846-2		t ɯ ⁴²							
2292-2		m ɛ ²¹							
6635-2		j ou ⁴⁴							
3994-2		t ɯ ⁴²							
3031-2		t w a ³³							
6078-2		k u ³³							
1644-2									
2435-2		j ĩ ⁴⁴							
1676-2									
6281-2		k e ⁵⁵							
5915-2									
1560-2		ɕ i ³³							
575-2		t ɔu ⁴²							
5319-2		s e ³³							
2797-2		k ã ⁵⁵							
6991-2									
3513-2		t w ɔ ²¹							
5205-2									
6109-2									
2056-2		m ɔu ³³							
6099-2		k ɯ ³³							
6119-2		p ɔu ⁴²							
1978-2		t ɔu ³³							
3973-2		t a ⁴⁴							
2046-2		s u ³³							
5622-2		ɕʰ ɛ ⁵⁵							
648-2									
6789-2		p ɛ ⁴²							
618-2		x ɯ ⁴⁴							
2384-2		m a ³³							
1124-2		k ã ⁵⁵							
1125-2									
4178-2		k u ³³							
1686-2		k ã ⁵⁵							
1495-2									
4090-2		s e ⁵⁵							
4802-2		xʰ ã ⁵⁵							
1764-2		k u ³³							
3270-2		m ɛ ³³							
1884-2		k ɛ ⁴²							
1203-2		k ɯ ⁵⁵							
6645-2		w e ³³							
608-2									
2889-2									
5350-2									
6158-2									
4306-2		s w ɔ ²¹							
4891-2		k ɯ ²¹							
6436-2		k u ³³							
6213-2		sʰ a ⁵⁵							
2320-2		s ɿ ⁵⁵							
5253-2		f ɤ ⁴⁴							
5108-2									
4100-2									
6018-2									
1352-2		p ɯ ²¹							
4228-2		p ɛ ⁴²							
4247-2									
75-2									
118-2									
2866-2		m ɛ ³³							
64-2		k u ³³							
43-2									
128-2		ŋ ɔu ³¹							
7023-2		n u ³¹							
7012-2		n a ⁵⁵							
4497-2		t e ⁴²							
2928-2		t e ³³							
148-2		ɣ ɯ ³³							
1623-2									
2648-2									
2649-2		l w ɔ ⁴⁴							
6242-2		l u ²¹							
3943-2		s u ³³							
1026-2		k e ⁵⁵							
6404-2		k ɯ ⁵⁵							
585-2									
1731-2		w ẽ ⁴²							
5510-2		l a ³⁵							
5360-2									
879-2		k ɔu ⁵⁵							
880-2		l a ⁴⁴							
271-2		p i ²¹							
3565-2		s ɿ ⁵⁵							
3896-2		m ɔu ³³							
3897-2									
1816-2									
3343-2									
1864-2		s ẽ ⁴²							
2026-2		m a ²¹							
6223-2		x e ³³							
6224-2		m ɛ ²¹							
337-2									
4295-2		k u ²¹							
384-2		m e ³⁵							
385-2		t ɔu ⁴²							
869-2		k w ɔ ²¹							
2745-2		sʰ ɯ ³³							
4690-2									
4423-2		s u ⁵⁵							
5380-2									
4436-2									
2519-2									
4975-2		m ɛ ⁴²							
4548-2		w e ⁴²							
4397-2		p e ²¹							
6203-2									
2689-2		t ɯ ²¹							
1913-2									
1914-2		w e ³³							
1903-2		w e ³³							
6336-2									
473-2		u ²¹							
6554-2		j ĩ ⁴⁴							
3114-2		t e ³³							
4942-2		k w ɔ ³⁵							
3615-2									
4197-2		k u ³³							
4198-2		j i ²¹							
1474-2		j f ³³							
6531-2		j ɯ ⁴⁴							
4954-2									
4517-2		ts u ³³							
1173-2		j ĩ ⁴⁴							
6365-2									
6730-2									
6380-2									
924-2		m ɔu ³³							
752-2									
4316-2		p i ³¹							
5181-2		ŋ ɛ ²¹							
5785-2									
4770-2		p ɔu ³¹							
2755-2		p ɔu ⁴²							
1298-2		xʰ ã ⁵⁵							
784-2									
3596-2		t ɯ ²¹							
1799-2									
5007-2		p ĩ ⁵⁵							
5465-2		xʰ ã ⁵⁵							
170-2									
3150-2		t a ⁴⁴							
3780-2		w e ⁴²							
403-2		k a ²¹							
5329-2		k ɔ̃ ⁴²							
1103-2									
1113-2		z ɿ ²¹							
232-2									
5925-2		t ou ⁴⁴							
5926-2									
5723-2		p a ⁴²							
5263-3			x e ⁵⁵						
452-3			t ɯ ⁴²						
4342-3			t ɯ ⁴²						
4344-3									
5487-3			t ɯ ⁴²						
1401-3									
6496-3									
1064-3			l a ⁵⁵						
1065-3			k u ²¹						
6617-3			t o ²¹						
4367-3			t a ²¹						
4378-3			ɕ u ⁵⁵						
4379-3			l i ⁵⁵						
3984-3			s ẽ ³³						
5086-3									
3333-3			s e ⁴⁴						
2226-3			x w e ⁵⁵						
2373-3									
2363-3			s o ⁵⁵						
672-3									
673-3			k u ³¹						
2690-3			p o ²¹						
6337-3			p a ⁴⁴						
6319-3									
2617-3			s ɯ ⁴⁴						
2066-3			s ɯ ⁴⁴						
2094-3			s ɯ ⁴⁴						
2096-3			k ɛ ⁴⁴						
798-3			p a ⁴²						
6668-3			s o ⁵⁵						
4028-3			t ɛ ⁴⁴						
6555-3									
2281-3			k ou ⁴⁴						
701-3									
628-3									
3096-3									
3021-3			t a ⁴²						
2708-3			s ɿ ⁵⁵						
3462-3			k ã ⁵⁵						
1932-3			s ɿ ³³						
6469-3			s ɛ̃ ⁵⁵						
4454-3			j i ³¹						
4455-3			k ɛ ⁵⁵						
6926-3			j ĩ ³³						
6927-3			j i ³¹						
3916-3			m o ³³						
6822-3			j ĩ ³³						
5417-3									
1959-3			x u ³¹						
1960-3			t o ⁵⁵						
2899-3			x u ³¹						
3651-3			s u ³³						
811-3			k ou ²¹						
1633-3			m e ²¹						
1775-3			k ɤ ³¹						
5801-3			k ɛ ⁴²						
4769-3			f u ³¹						
3720-3			k ã ⁵⁵						
6446-3			m e ³³						
1255-3									
3595-3			j ĩ ⁴⁴						
1600-3			p e ³³						
242-3									
3739-3			k ɛ ²¹						
5984-3			a ²¹						
838-3			s ou ⁵⁵						
839-3			t o ²¹						
3149-3			j i ⁵⁵						
2829-3									
4602-3									
5225-3			l ou ²¹						
3933-3			s ɤ ³¹						
5763-3									
2134-3			s ɿ ⁵⁵						
5724-3			t ɯ ⁴⁴						
5704-3			t o ⁴²						
5705-3									
5037-3									
5038-3			t a ⁵⁵						
4332-3									
5447-3									
3702-3			s ɛ̃ ²¹						
1549-3			s ɛ̃ ²¹						
2394-3			k ɤ ³³						
1-3			w ẽ ⁴²						
2947-3			t ɛ ²¹						
4653-3			k ɛ ⁴²						
4989-3			k ɛ ⁴²						
3749-3			j o ⁴⁴						
3452-3									
598-3			j a ⁴⁴						
638-3									
2819-3			p o ⁴⁴						
4477-3									
4487-3									
4666-3									
5661-3			t a ⁴²						
4923-3			s a ⁴⁴						
4913-3			k ɯ ²¹						
1143-3			m ɛ ⁴⁴						
4864-3			ɕ õ ⁵⁵						
3184-3			s ɯ ⁴⁴						
4591-3									
1431-3			s ɛ ⁴⁴						
3323-3			k e ²¹						
6709-3			t o ³³						
903-3			m a ⁴²						
5098-3			k ɯ ³¹						
5994-3			k ã ⁵⁵						
6971-3									
763-3									
691-3									
1083-3			t o ⁴²						
1421-3			k ɛ ⁴²						
6699-3			t a ⁴²						
2628-3			s o ⁵⁵						
1696-3			x u ³¹						
6179-3			k ɛ ⁵⁵						
6180-3									
6658-3			s e ⁴⁴						
1231-3			s ɤ ³¹						
4265-3									
2787-3									
3247-3									
252-3			t a ⁴²						
6004-3			k a ³¹						
4728-3			s a ⁴⁴						
3843-3			v ã ⁴⁴						
4965-3									
5641-3			t a ³¹						
3280-3			s u ³¹						
1390-3									
2156-3			v ã ⁴⁴						
3433-3			s ɿ ³¹						
552-3			s ɿ ³¹						
4845-3			t i ⁴²						
4846-3			t ɛ ⁴⁴						
2292-3			m ɛ ³¹						
6635-3			j y ⁴⁴						
3994-3			t ɛ ⁴⁴						
3031-3			t u ³³						
6078-3			s ɤ ³³						
1644-3									
2435-3			j i ⁴⁴						
1676-3									
6281-3			k e ⁵⁵						
5915-3									
1560-3			s ɿ ⁵⁵						
575-3			t o ³¹						
5319-3			s ẽ ³¹						
2797-3			k ã ⁵⁵						
6991-3									
3513-3			ts o						
5205-3									
6109-3									
2056-3			m o ⁴²						
6099-3			k ɯ ³³						
6119-3			p o ⁴²						
1978-3			ts ou ⁴⁴						
3973-3			t a ⁴⁴						
2046-3			ɕ u ³³						
5622-3			s ɛ̃ ⁵⁵						
648-3									
6789-3			p ɛ ⁴²						
618-3			x ɛ ⁴⁴						
2384-3			m a ³¹						
1124-3			k ã ⁵⁵						
1125-3									
4178-3			k u ³³						
1686-3			k ã ⁵⁵						
1495-3									
4090-3			s ɿ ⁵⁵						
4802-3			x ɛ ⁴⁴						
1764-3			kʰ u ³³						
3270-3			m e ³³						
1884-3			k ɛ ⁴²						
1203-3			k ɯ ⁵⁵						
6645-3			w ẽ ⁴²						
608-3									
2889-3									
5350-3									
6158-3									
4306-3			s ẽ ³¹						
4891-3			k o ²¹						
6436-3			k o ³³						
6213-3			s a ⁴⁴						
2320-3			s ɿ ⁵⁵						
5253-3			f ɤ ⁴⁴						
5108-3									
4100-3									
6018-3									
1352-3			ŋ ɯ ²¹						
4228-3			p ɛ ⁴⁴						
4247-3									
75-3									
118-3									
2866-3			m ɛ ²¹						
64-3			kʰ o ³³						
43-3									
128-3			ŋ u ³¹						
7023-3			n o ²¹						
7012-3			n a ⁴⁴						
4497-3			t a ⁴²						
2928-3			t i ⁵⁵						
148-3			ɣ ɯ ³³						
1623-3									
2648-3									
2649-3			l ou ⁴⁴						
6242-3			l ou ²¹						
3943-3			s ɤ ³³						
1026-3			k e ⁵⁵						
6404-3			k ɯ ⁵⁵						
585-3									
1731-3			v ɛ ⁴²						
5510-3			l ou ⁵⁵						
5360-3									
879-3			k o ⁵⁵						
880-3			f ɛ ⁴⁴						
271-3			p i ²¹						
3565-3			s ɿ ⁵⁵						
3896-3			m o ⁴⁴						
3897-3									
1816-3									
3343-3									
1864-3			s e ⁴²						
2026-3			m a ²¹						
6223-3			x e ⁵⁵						
6224-3			m a ²¹						
337-3									
4295-3			k ou ²¹						
384-3			m e ⁵⁵						
385-3			s u ³¹						
869-3			k ɤ ³¹						
2745-3			s ɯ ⁴⁴						
4690-3									
4423-3			s ou ⁵⁵						
5380-3									
4436-3									
2519-3									
4975-3			m i ⁴²						
4548-3			v a ⁴²						
4397-3			p e ²¹						
6203-3									
2689-3			t ɛ ²¹						
2599-3			t ɛ ²¹						
2600-3			m e ⁵⁵						
1913-3									
1914-3			w e ³³						
1903-3			w e ³³						
6336-3									
473-3			u ³¹						
4065-3			k ou ²¹						
6554-3			j i ⁵⁵						
3114-3			t a ⁴⁴						
4942-3			k ɯ ⁵⁵						
3615-3									
4197-3			k u ³³						
4198-3			j i ³¹						
1474-3			j ĩ ³³						
6531-3			j y ⁴⁴						
4954-3									
4517-3			ts t ³³						
1173-3			j i ⁵⁵						
6365-3									
6730-3									
6380-3									
924-3			m o ⁵⁵						
752-3									
4316-3			p i ³¹						
5181-3			ɤ̃ ²¹						
5785-3									
4770-3			p o ²¹						
2755-3			p o ⁴²						
1298-3			x e ⁵⁵						
784-3									
3596-3			t ɛ ²¹						
1799-3									
5007-3			p i ⁵⁵						
5465-3			x ɛ ⁴⁴						
170-3									
3150-3			t a ⁵⁵						
3780-3			w ẽ ⁴²						
1706-3									
403-3			p a ³¹						
5329-3			k ɛ ⁴²						
1103-3									
1113-3			s ɿ ²¹						
232-3									
5925-3			t i ⁴²						
5926-3									
5723-3			p a ⁴²						
5263-4				x e ⁵⁵					
452-4				t j ɯ ²¹					
4342-4				t j ɯ ²¹					
4344-4									
5487-4				t j ɯ ²¹					
1401-4									
6496-4									
1064-4				l e ⁵⁵					
1065-4				k ɛ ³¹					
6617-4				t j ɯ ²¹					
4367-4				t a ⁴²					
4378-4				ɕ j ɛ̃ ⁵⁵					
4379-4				l e ⁵⁵					
3984-4				s w ɛ̃ ⁵⁵					
5086-4									
3333-4				s e ³³					
2226-4				x o ⁵⁵					
2373-4									
2363-4				s o ⁵⁵					
672-4									
673-4				k ɯ ⁴²					
2690-4				p o ²¹					
6337-4				p a ⁴⁴					
6319-4									
2617-4				s ɛ ⁴⁴					
2066-4				s ɛ ⁴⁴					
2094-4				s ɛ ⁴⁴					
2096-4				k ɛ ⁴⁴					
798-4				p a ⁴²					
6668-4				ɕ y ³³					
4028-4				t i ⁴⁴					
6555-4									
2281-4				k a ⁴⁴					
701-4									
628-4									
3096-4									
3021-4				t a ⁴²					
2708-4				ɕ i ⁵⁵					
3462-4				k e ⁵⁵					
1932-4				s ɯ ⁴⁴					
6469-4				s ɿ ³³					
4454-4				j ĩ ²¹					
4455-4				k e ⁵⁵					
6926-4				j ɛ̃ ³³					
6927-4				j ĩ ²¹					
3916-4				m ɛ ³³					
6822-4				j ĩ ²¹					
5417-4									
1959-4				x a ⁴²					
1960-4				t j ɯ ⁵⁵					
2899-4				x ɔ ²¹					
3651-4				ts u ³³					
811-4				k a ⁴²					
1633-4				m i ³³					
1775-4				k a ⁴²					
5801-4				k a ⁴²					
4769-4				l a ⁴²					
3720-4				k e ⁵⁵					
6446-4				m ẽ ³³					
1255-4									
3595-4				j ĩ					
1600-4				p ẽ ⁴⁴					
242-4									
3739-4				k a ⁴²					
5984-4				k a ⁴²					
838-4				s o ⁵⁵					
839-4				t j ɯ ²¹					
3149-4				j i ³¹					
2829-4									
4602-4									
5225-4				l a ⁴²					
3933-4				s ɔ̃ ⁴²					
5763-4									
2134-4				ɕ i ⁵⁵					
5724-4				t i ⁵⁵					
5704-4				t a ⁴²					
5705-4									
5037-4									
5038-4				t a ⁴⁴					
4332-4									
5447-4									
3702-4				s ɛ ⁴²					
1549-4				ʐ					
2394-4				k o ⁵⁵					
1-4				v ɛ ⁴²					
2947-4				t i ⁵⁵					
4653-4				k a ⁴²					
4989-4				k a ⁴²					
3749-4				j ɯ ⁴⁴					
3452-4									
598-4				ŋ a ⁴⁴					
638-4									
2819-4				p u ⁴⁴					
4477-4									
4487-4									
4666-4									
5661-4				t a ⁴²					
4923-4				k a ⁴⁴					
4913-4				k u ²¹					
1143-4				m a ³³					
4864-4				ɕ o ⁵⁵					
3184-4				s ɛ ⁴⁴					
4591-4									
1431-4				s e ⁴⁴					
3323-4				k e ³³					
6709-4				t i ⁵⁵					
903-4				m a ³³					
5098-4				k i ²¹					
5994-4				k e ⁵⁵					
6971-4									
763-4									
691-4									
1083-4				t j ɛ ⁴²					
1421-4				k a ⁴²					
6699-4				t j ɯ ²¹					
2628-4				s o ⁵⁵					
1696-4				x ɔ ³³					
6179-4				k e ⁵⁵					
6180-4									
6658-4				s ẽ ⁴⁴					
1231-4				s u ³¹					
4265-4									
2787-4									
3247-4									
252-4				t a ⁴⁴					
6004-4				k a ⁴²					
4728-4				s a ⁵⁵					
3843-4				v ã ⁴⁴					
4965-4									
5641-4				t a ⁴²					
3280-4				s u ³³					
1390-4									
2156-4				v ã ⁴⁴					
3433-4				ʐ ɯ ³³					
552-4				ɕ ĩ ³¹					
4845-4				t i ⁴⁴					
4846-4				t i ⁵⁵					
2292-4				m a ³³					
6635-4				j u ⁴⁴					
3994-4				t i ⁵⁵					
3031-4				ts a ³³					
6078-4				s o ⁴⁴					
1644-4									
2435-4				j ĩ ⁴⁴					
1676-4									
6281-4				k e ⁵⁵					
5915-4									
1560-4				s ɿ ³³					
575-4				t a ⁴²					
5319-4				s e ³³					
2797-4				k e ⁵⁵					
6991-4									
3513-4				t o ³¹					
5205-4									
6109-4									
2056-4				m ɯ ²¹					
6099-4				k u ³³					
6119-4				p o ³³					
1978-4				ts o ³³					
3973-4				t a ⁴²					
2046-4				ɕ o ⁴⁴					
5622-4				ɕ ĩ ⁵⁵					
648-4									
6789-4				p a ⁴²					
618-4				x u ³³					
2384-4				m a ³³					
1124-4				k ã ⁵⁵					
1125-4									
4178-4				k a ⁴⁴					
1686-4				k e ⁵⁵					
1495-4									
4090-4				ɕ i ⁵⁵					
4802-4				x w e ⁴⁴					
1764-4				k u ³³					
3270-4				m ẽ ³³					
1884-4				k a ⁴²					
1203-4				k ɯ ⁵⁵					
6645-4				w e ⁴²					
608-4									
2889-4									
5350-4									
6158-4									
4306-4				s ɔ̃ ⁴²					
4891-4				k a ⁴²					
6436-4				k o ⁴⁴					
6213-4				s ã ⁴⁴					
2320-4				ɕ i ⁴⁴					
5253-4				f ɛ ⁴⁴					
5108-4									
4100-4									
6018-4									
1352-4				ŋ ɯ ²¹					
4228-4				p a ⁴⁴					
4247-4									
75-4									
118-4									
2866-4				m a ³³					
64-4				kʰ o ⁴⁴					
43-4									
128-4				ŋ ɔ ²¹					
7023-4				n ɔ ²¹					
7012-4				n a ⁵⁵					
4497-4				t a ⁴²					
2928-4				t i ⁵⁵					
148-4				ɣ ɯ ⁴⁴					
1623-4									
2648-4									
2649-4				l ã ⁵⁵					
6242-4				l ã ²¹					
3943-4				s u ⁴⁴					
1026-4				k e ⁴⁴					
6404-4				k ɯ ⁵⁵					
585-4									
1731-4				w a ⁴²					
5510-4				l ã ⁵⁵					
5360-4									
879-4				k o ⁵⁵					
880-4				l ao ⁴⁴					
271-4				p i ²¹					
