COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
3702-1	s ɿ ³¹								
1549-1	z ɿ ³¹								
2394-1	k ɤ ³³								
1-1	ŋ w e ⁴²								
2947-1	t ɯ ²¹								
4653-1	kʲ ɛ ⁴²								
4989-1	kʲ ɛ ⁴²								
3749-1	j ɔ ⁴⁴								
3452-1	tɕʰ ɛ ⁵⁵								
598-1	ŋ a ⁴⁴								
638-1	pʰ ɯ ⁵⁵								
2819-1	p ɔ ⁴⁴								
4477-1	kʰ w a ⁴⁴								
4487-1	ts ɿ ⁴²								
4666-1	tɕ i ³³								
5661-1	t a ⁴²								
5263-2		xʰ ẽ ⁵⁵							
452-2		t ɯ ²¹							
4342-2		t ɯ ²¹							
4344-2		ts ɿ ³³							
5487-2		t ɯ ²¹							
1401-2		pʰ ou ⁴⁴							
6496-2		tsʰ ɯ ³¹							
1064-2		l a ⁵⁵							
1065-2		ts ɿ ³³							
6617-2		t w ɔ ²¹							
4367-2		t a ²¹							
4378-2		ɕ õu ⁵⁵							
4379-2		l i ⁵⁵							
3984-2		sʰ ɛ ³³							
5086-2		ts w ɔ̃ ³³							
3333-2		sʰ e ⁴⁴							
2226-2		x w ɔ ⁵⁵							
2373-2		kʰ w ɔ ³³							
2363-2		sʰ ɔ̃u ⁵⁵							
672-2		tsʰ ɿ ⁵⁵							
673-2		k ɯ ³¹							
2690-2		p ɔu ²¹							
6337-2		p a ⁴⁴							
6319-2		ts e ⁴²							
2617-2		sʰ ɯ ³³							
2066-2		sʰ ɯ ³³							
2094-2		sʰ ɯ ³³							
2096-2		k ɛ ⁴⁴							
798-2		p ã ⁴²							
6668-2		ɕ y ³³							
4028-2		t e ⁴⁴							
6555-2		k w a ⁴⁴							
2281-2		k w ɔ ⁴⁴							
701-2		k w a ⁴⁴							
628-2		sʰ w a ⁴⁴							
3096-2		ts ɿ ³³							
3021-2		ts ɔ̃u ²¹							
2708-2		ɕ i ⁵⁵							
3462-2		k ã ⁵⁵							
1932-2		s ɿ ³³							
6469-2		s ɿ ³³							
4454-2		j ĩ ²¹							
4455-2		k ɛ̃ ⁵⁵							
6926-2		j ɔ̃ ³³							
6927-2		j ĩ ²¹							
3916-2		m ɔu ³³							
6822-2		j ĩ ²¹							
5417-2		ts ɿ ³³							
1959-2		xʰ a ³¹							
1960-2		t w ɔ ⁵⁵							
2899-2		xʰ ɔu ³¹							
3651-2		ts ɿ ³³							
811-2		k u ²¹							
1633-2		m ɛ ²¹							
1775-2		k w ɔ ³¹							
5801-2		k ɛ ⁴²							
4769-2		l ɔ ³¹							
3720-2		k ã ⁵⁵							
6446-2		m e ³³							
1255-2		pʰ ɛ̃ ⁵⁵							
3595-2		j ĩ ⁴⁴							
1600-2		p e ³³							
242-2		ts ɿ ⁵⁵							
3739-2		k ɛ ²¹							
5984-2		ts w ɔ ²¹							
838-2		s w ɔ ⁵⁵							
839-2		t ɯ ²¹							
3149-2		j i ⁵⁵							
2829-2		ts w ɔ ²¹							
4602-2		tɕ i ⁵⁵							
5225-2		l ɔ ²¹							
3933-2		s w ɔ ⁴²							
5763-2		ts ɔu ⁴²							
2134-2		ɕ i ⁵⁵							
5724-2		t ɯ ⁵⁵							
5704-2		ts ɔu ⁴²							
5705-2		kʰ w e ⁵⁵							
5037-2		tɕʰ i ³¹							
5038-2		t a ⁵⁵							
4332-2		ts ɿ ³³							
5447-2		tsʰ ɛ̃ ⁵⁵							
3702-2		s ɿ ³¹							
1549-2		z ɿ ³¹							
2394-2		k w ɔ ³³							
1-2		w ẽ ⁴²							
2947-2		t ɯ ²¹							
4653-2		k ɛ ⁴²							
4989-2		k ɛ ⁴²							
3749-2		j ĩ ⁴⁴							
3452-2		tɕʰ ɛ̃ ⁵⁵							
598-2		ŋ a ⁴⁴							
638-2		pʰ ɯ ⁵⁵							
2819-2		p ɔu ⁴⁴							
4477-2		kʰ w a ⁴⁴							
4487-2		ts ɿ ⁴²							
4666-2		tɕ i ³³							
5661-2		t a ⁴²							
5263-3			x ẽ ⁵⁵						
452-3			t ɯ ²¹						
4342-3			t ɯ ²¹						
4344-3			tsʰ ɯ ³¹						
5487-3			t ɯ ²¹						
1401-3			pʰ o ⁴⁴						
6496-3			tsʰ ɯ ³¹						
1064-3			l a ⁵⁵						
1065-3			ts ɿ ³³						
6617-3			t o ²¹						
4367-3			t a ²¹						
4378-3			s o ⁵⁵						
4379-3			l i ⁵⁵						
3984-3			s ɿ ³³						
5086-3			ts ɤ̃ ³³						
3333-3			s e ⁴⁴						
2226-3			x ou ⁵⁵						
2373-3			kʰ ou ³³						
2363-3			s õ ⁵⁵						
672-3			tsʰ ɿ ⁵⁵						
673-3			k ɯ ²¹						
2690-3			p o ²¹						
6337-3			p a ⁴⁴						
6319-3			ts e ⁴²						
2617-3			s ɯ ³³						
2066-3			s ɯ ³³						
2094-3			s ɯ ³³						
2096-3			k ɛ ⁴⁴						
798-3			p a ⁴²						
6668-3			ɕ i ³³						
4028-3			t e ⁴⁴						
6555-3			k w a ⁴⁴						
2281-3			k ou ⁴⁴						
701-3			k w a ⁴⁴						
628-3			s w a ⁴⁴						
3096-3			ts ɿ ³³						
3021-3			ts õ ²¹						
2708-3			ɕ i ⁵⁵						
3462-3			k ã ⁵⁵						
1932-3			s ɿ ³³						
6469-3			s ɿ ³³						
4454-3			j ĩ ²¹						
4455-3			k ɛ ⁵⁵						
6926-3			j ɤ̃ ³³						
6927-3			j ĩ ²¹						
3916-3			m o ³³						
6822-3			j ĩ ²¹						
5417-3			ts ɿ ³³						
1959-3			x ou ³¹						
1960-3			t ɤ̃ ⁵⁵						
2899-3			x ou ³¹						
3651-3			ts ɿ ³³						
811-3			k u ²¹						
1633-3			m e ²¹						
1775-3			k ɤ ³¹						
5801-3			k ɛ ⁴²						
4769-3			l ou ³¹						
3720-3			k ã ⁵⁵						
6446-3			m e ³³						
1255-3			pʰ ɛ ⁵⁵						
3595-3			j ĩ ⁴⁴						
1600-3			p e ³³						
242-3			ts ɿ ⁵⁵						
3739-3			k ɛ ²¹						
5984-3			ts ou ²¹						
838-3			s ɿ ⁵⁵						
839-3			t ou ²¹						
3149-3			j i ⁵⁵						
2829-3			ts ɤ ²¹						
4602-3			tɕ i ⁵⁵						
5225-3			l ou ²¹						
3933-3			s ɤ ⁴²						
5763-3			ts ou ⁴²						
2134-3			ɕ i ⁵⁵						
5724-3			t ɯ ⁵⁵						
5704-3			ts ou ⁴²						
5705-3			kʰ w e ⁵⁵						
5037-3			tɕʰ i ³¹						
5038-3			t a ⁵⁵						
4332-3			ts ɿ ³³						
5447-3			tsʰ ɛ̃ ⁵⁵						
3702-3			s ɿ ³¹						
1549-3			s ɿ ²¹						
2394-3			k ɤ ³³						
1-3			w ẽ ⁴²						
2947-3			t ɯ ²¹						
4653-3			k ɛ ⁴²						
4989-3			k ɛ ⁴²						
3749-3			j õ ⁴⁴						
3452-3			tɕʰ ɛ̃ ⁵⁵						
598-3			ŋ a ⁴⁴						
638-3			pʰ ɯ ⁵⁵						
2819-3			p o ⁴⁴						
4477-3			kʰ w a ⁴⁴						
4487-3			ts ɛ ⁴²						
4666-3			tɕ i ³³						
5661-3			t a ⁴²						
5263-4				x ẽ ⁵⁵					
452-4				t j ɯ ²¹					
4342-4				t j ɯ ²¹					
4344-4				tsʰ ɯ ³¹					
5487-4				t j ɯ ²¹					
1401-4				pʰ u ⁴⁴					
6496-4				tsʰ ɯ ³¹					
1064-4				l a ⁵⁵					
1065-4				ts ɿ ³³					
6617-4				t ɔ̃ ²¹					
4367-4				t a ²¹					
4378-4				ɕ y ⁵⁵					
4379-4				l i ⁵⁵					
3984-4				s ɛ ⁴⁴					
5086-4				ts õ ³³					
3333-4				s e ⁴⁴					
2226-4				x u ⁵⁵					
2373-4				kʰ u ³³					
2363-4				s u ⁵⁵					
672-4				tsʰ ɛ̃ ⁵⁵					
673-4				k ɯ ³¹					
2690-4				p ao ²¹					
6337-4				p a ⁴⁴					
6319-4				ts e ⁴²					
2617-4				s ɯ ⁴⁴					
2066-4				s ɯ ⁴⁴					
2094-4				s ɯ ⁴⁴					
2096-4				k ɛ ⁴⁴					
798-4				p a ⁴²					
6668-4				ɕ y ³³					
4028-4				t e ⁴⁴					
6555-4				k w a ⁴⁴					
2281-4				k u ⁴⁴					
701-4				k w a ⁴⁴					
628-4				s w a ⁴⁴					
3096-4				ts ɿ ⁴⁴					
3021-4				ts ɔ̃ ²¹					
2708-4				ɕ ĩ ⁵⁵					
3462-4				k ã ⁵⁵					
1932-4				s ɿ ⁴⁴					
6469-4				s ɿ ⁴⁴					
4454-4				j ĩ ²¹					
4455-4				k ɛ̃ ⁵⁵					
6926-4				j ɛ ⁴⁴					
6927-4				j ĩ ²¹					
3916-4				m ão ⁴⁴					
6822-4				t j ɯ ²¹					
5417-4				ts ɿ ⁴⁴					
1959-4				x ɔ ³¹					
1960-4				t u ⁵⁵					
2899-4				x ɔ ³¹					
3651-4				ts ɿ ⁴⁴					
811-4				k u ²¹					
1633-4				m e ²¹					
1775-4				k u ²¹					
5801-4				k ɛ ⁴²					
4769-4				l ɔ ³¹					
3720-4				k ã ⁵⁵					
6446-4				m e ⁴⁴					
1255-4				pʰ ɛ ⁵⁵					
3595-4				j ĩ ⁴⁴					
1600-4				p ẽ ⁴⁴					
242-4				ts ɿ ⁵⁵					
3739-4				k ɛ ²¹					
5984-4				ts u ²¹					
838-4				s u ⁵⁵					
839-4				t ɔ̃ ²¹					
3149-4				j i ⁵⁵					
2829-4				ts u ²¹					
4602-4				tɕ i ⁵⁵					
5225-4				l ao ²¹					
3933-4				s u ³³					
5763-4				ts u ³¹					
2134-4				ɕ ĩ ⁵⁵					
5724-4				t j ɯ ⁵⁵					
5704-4				ts u ³¹					
5705-4				kʰ w ẽ ⁵⁵					
5037-4				tɕ i ²¹					
5038-4				t ã ⁵⁵					
4332-4				ts ɿ ⁴⁴					
5447-4				tsʰ ɛ̃ ⁵⁵					
3702-4				s ɛ ³¹					
1549-4				ʐ ɯ ²¹					
2394-4				k u ³³					
1-4				w ẽ ⁴²					
2947-4				t j ɯ ²¹					
4653-4				k ɛ ⁴²					
4989-4				k ɛ ⁴²					
3749-4				j ɔ̃ ⁴⁴					
3452-4				tɕʰ ɛ̃ ⁵⁵					
598-4				ŋ a ⁴⁴					
638-4				pʰ ɯ ⁵⁵					
2819-4				p u ⁴⁴					
4477-4				kʰ w ã ⁴⁴					
4487-4				ts ɛ ⁴²					
4666-4				tɕ i ⁴⁴					
5661-4				t a ⁴²					
5263-5					x ẽ ⁵⁵				
452-5					t ɯ ³¹				
4342-5					t ɯ ³¹				
4344-5					tsʰ ɯ ³¹				
5487-5					t ɯ ³¹				
1401-5					pʰ o ⁵⁵				
6496-5					tsʰ ɯ ³¹				
1064-5					l a ⁵⁵				
1065-5					tɕ i ³³				
6617-5					t ɔ ³¹				
4367-5					t a ³¹				
4378-5					ɕ y ³³				
4379-5					l i ⁵⁵				
3984-5					ɕ ã ³³				
5086-5					tɕ ʊ ³³				
3333-5					s æ̃ ⁵⁵				
2226-5					x ɔ ⁵⁵				
2373-5					qʰ ɔ ³¹				
2363-5					ɕ o ⁵⁵				
672-5					ʈʂʰ ɛ̃ ⁵⁵				
673-5					q ɯ ³¹				
2690-5					p ao ³¹				
6337-5					p a ⁵⁵				
6319-5					ts ɛ ⁴⁴				
2617-5					ɕ i ³³				
2066-5					ɕ i ³³				
2094-5					ɕ i ³³				
2096-5					q a ⁵⁵				
798-5					p a ⁴²				
6668-5					ɕ y ³³				
4028-5					t ɛ ⁵⁵				
6555-5					q w a ⁴⁴				
2281-5					q o ⁵⁵				
701-5					q w a ⁴⁴				
628-5					s w a ⁴⁴				
3096-5					tɕ i ³³				
3021-5					ts ɔ̃ ³¹				
2708-5					s ẽ ⁵⁵				
3462-5					q ɔ̃ ⁵⁵				
1932-5					s ɿ ³³				
6469-5					s ɿ ³³				
4454-5					ɲ i ³¹				
4455-5					q ã ⁵⁵				
6926-5					ɲ ʊ̃ ³³				
6927-5					ɲ i ³¹				
3916-5					m ɔ ³³				
6822-5					ɲ i ³¹				
5417-5					tɕ i ³³				
1959-5					x ao ⁴²				
1960-5					t u ⁵⁵				
2899-5					x ao ³¹				
3651-5					tɕ i ³³				
811-5					k ɤ ³¹				
1633-5					m ã ³¹				
1775-5					k ɤ ³¹				
5801-5					q a ⁴⁴				
4769-5					l ao ³¹				
3720-5					q ɔ̃ ⁵⁵				
6446-5					m ẽ ³³				
1255-5					pʰ a ⁵⁵				
3595-5					ɲ i ⁵⁵				
1600-5					p ẽ ³³				
242-5					tɕ i ⁵⁵				
3739-5					q ao ³¹				
5984-5					ʈ ao ³¹				
838-5					s ao ⁵⁵				
839-5					t ao ³¹				
3149-5					ɲ i ⁵⁵				
2829-5					tɕ ɤ ³¹				
4602-5					tɕ i ⁵⁵				
5225-5					l ao ³¹				
3933-5					s u ⁴⁴				
5763-5					ts o ⁴⁴				
2134-5					s ẽ ⁵⁵				
5724-5					t ɯ ⁵⁵				
5704-5					ts o ⁴⁴				
5705-5					qʰ w ɛ ⁵⁵				
5037-5					tɕ i ³¹				
5038-5					t a ⁵⁵				
4332-5					tɕ i ³³				
5447-5					tɕ i ⁵⁵				
3702-5					s õ ³¹				
1549-5					s ẽ ⁵⁵				
2394-5					k ɤ ³³				
1-5					w a ⁴⁴				
2947-5					t ɯ ³¹				
4653-5					q a ⁴⁴				
4989-5					q a ⁴⁴				
3749-5					ɲ o ⁵⁵				
3452-5					tɕʰ ã ⁴⁴				
598-5					ɴ a ⁵⁵				
638-5					pʰ u ⁵⁵				
2819-5					p ɔ ⁵⁵				
4477-5					qʰ w a ⁴⁴				
4487-5					ʈʂ æ ⁴²				
4666-5					tɕ i ³³				
5661-5					t a ⁴⁴				
5263-6						x e ⁵⁵			
452-6						t ɯ ²¹			
4342-6						t ɯ ²¹			
4344-6						ts ɿ ³³			
5487-6						t ɯ ²¹			
1401-6						pʰ ɔ ⁴⁴			
6496-6						tsʰ ɯ ³¹			
1064-6						l a ³⁵			
1065-6						ts ɿ ³³			
6617-6						t ɔ ²¹			
4367-6						t a ²¹			
4378-6						ɕ y ⁵⁵			
4379-6						l i ⁵⁵			
3984-6						s ɿ ³³			
5086-6						ts ɤ ³³			
3333-6						s e ⁴⁴			
2226-6						x w ɔ ³⁵			
2373-6						kʰ w ɔ ³³			
2363-6						s o ⁵⁵			
672-6						tsʰ ɿ ⁵⁵			
673-6						k ɯ ³¹			
2690-6						p ɔ ²¹			
6337-6						p a ⁴⁴			
6319-6						ts e ⁴²			
2617-6						s ɯ ³³			
2066-6						s ɯ ³³			
2094-6						s ɯ ³³			
2096-6						k j ɛ ⁴⁴			
798-6						p a ³²			
6668-6						ɕ y ³³			
4028-6						t e ⁴⁴			
6555-6						k w a ⁴⁴			
2281-6						k o ⁴⁴			
701-6						k w a ⁴⁴			
628-6						ʃ w a ⁴⁴			
3096-6						ts ɿ ³³			
3021-6						ts o ²¹			
2708-6						ɕ i ³⁵			
3462-6						k a ³⁵			
1932-6						s ɿ ³³			
6469-6						s ɿ ³¹			
4454-6						ɲ i ²¹			
4455-6						k ɛ ³⁵			
6926-6						n ɤ ³³			
6927-6						ɲ i ²¹			
3916-6						m ɔ ³³			
6822-6						ɲ i ²¹			
5417-6						ts ɿ ³³			
1959-6						x a ³¹			
1960-6						t ɔ ³⁵			
2899-6						x ɔ ²¹			
3651-6						ts ɿ ³³			
811-6						k u ²¹			
1633-6						m e ²¹			
1775-6						k ɤ ³¹			
5801-6						k j ɛ ³²			
4769-6						l ɔ ³¹			
3720-6						k a ³⁵			
6446-6						m e ³³			
1255-6						pʰ ɛ ⁵⁵			
3595-6						ɲ i ⁴⁴			
1600-6						p e ³³			
242-6						ts ɿ ⁵⁵			
3739-6						k j ɛ ²¹			
5984-6						ts o ²¹			
838-6						s ɔ ³⁵			
839-6						t ɔ ²¹			
3149-6						j i ³⁵			
2829-6						ts ɤ ²¹			
4602-6						tɕ i ³⁵			
5225-6						l ɔ ²¹			
3933-6						s ɤ ⁴²			
5763-6						ts o ⁴²			
2134-6						ɕ i ⁵⁵			
5724-6						t ɯ ³⁵			
5704-6						ts o ⁴²			
5705-6						kʰ w e ³⁵			
5037-6						tɕ i ²¹			
5038-6						t a ³⁵			
4332-6						ts ɿ ³³			
5447-6						tsʰ ɛ ⁵⁵			
3702-6						s ɿ ³¹			
1549-6						s ɿ ³¹			
2394-6						k ɤ ³³			
1-6						w e ³²			
2947-6						t ɯ ²¹			
4653-6						k j ɛ ³²			
4989-6						k j ɛ ³²			
3749-6						j ɔ ⁴⁴			
3452-6						tsʰ ɛ ⁵⁵			
598-6						ŋ a ⁴⁴			
638-6						pʰ ɯ ⁵⁵			
2819-6						p o ⁴⁴			
4477-6						kʰ w a ⁴⁴			
4487-6						ts ɿ ⁴²			
4666-6						tɕ i ³³			
5661-6						t a ³²			
5263-7							x ẽ ⁵⁵		
452-7							t ou ²¹		
4342-7							t ou ²¹		
4344-7							ts ɿ ³³		
5487-7							t ou ²¹		
1401-7							pʰ j ɔ ⁴⁴		
6496-7							tsʰ ou ³¹		
1064-7							l a ³⁵		
1065-7							ts ɿ ³³		
6617-7							t ɔu ²¹		
4367-7							t a ²¹		
4378-7							ɕ y ⁵⁵		
4379-7							l i ³⁵		
3984-7							s ɿ ³³		
5086-7							ts ɛ̃ ³³		
3333-7							s e ⁴⁴		
2226-7							x w ɔ ³⁵		
2373-7							kʰ w ɔ ³³		
2363-7							s ã ⁵⁵		
672-7							tsʰ ɿ ⁵⁵		
673-7							k ou ³¹		
2690-7							p ɔ ³¹		
6337-7							p a ⁴⁴		
6319-7							ts e ⁴²		
2617-7							s ou ³³		
2066-7							s ou ³³		
2094-7							s ou ³³		
2096-7							kʲ ɛ ⁴⁴		
798-7							p ã ⁴²		
6668-7							ɕ y ³³		
4028-7							t e ⁴⁴		
6555-7							k w a ⁴⁴		
2281-7							k u ³³		
701-7							k w a ⁴⁴		
628-7							s w a ⁴⁴		
3096-7							ts ɿ ³³		
3021-7							ts ã ²¹		
2708-7							ɕ ĩ ⁵⁵		
3462-7							k ã ³⁵		
1932-7							s ɿ ³³		
6469-7							s ɔu ²¹		
4454-7							n i ²¹		
4455-7							kʲ ɛ ³⁵		
6926-7							n ɛ̃ ³³		
6927-7							n i ²¹		
3916-7							m ɔ ³³		
6822-7							n i ²¹		
5417-7							ts ɿ ³³		
1959-7							x ɔ ³¹		
1960-7							t ɯ ³⁵		
2899-7							x ɔ ⁴²		
3651-7							ts ɿ ³³		
811-7							k u ²¹		
1633-7							m e ²¹		
1775-7							k ɯ ²¹		
5801-7							kʲ ɛ ⁴²		
4769-7							l ɔ ³¹		
3720-7							k ã ³⁵		
6446-7							m e ³³		
1255-7							pʰ j ɛ ⁵⁵		
3595-7							n i ⁴⁴		
1600-7							p e ³³		
242-7							ts ɿ ⁵⁵		
3739-7							kʲ ɛ ²¹		
5984-7							ts o ²¹		
838-7							s ɔ ³⁵		
839-7							t ou ²¹		
3149-7							j i ³⁵		
2829-7							ts ɛ ²¹		
4602-7							tɕ i ³⁵		
5225-7							l o ²¹		
3933-7							ɕ ɛ ⁴²		
5763-7							ts ɔ ⁴²		
2134-7							ɕ ĩ ⁵⁵		
5724-7							t ɯ ³⁵		
5704-7							ts ɔ ⁴²		
5705-7							kʰ w e ⁵⁵		
5037-7							tɕ i ²¹		
5038-7							t ã ³⁵		
4332-7							ts ɿ ³³		
5447-7							tsʰ ɛ̃ ⁵⁵		
3702-7							s ɿ ³¹		
1549-7							z ɛ̃ ²¹		
2394-7							k ɯ ³³		
1-7							w ẽ ⁴²		
2947-7							t ou ²¹		
4653-7							kʲ ɛ ⁴²		
4989-7							kʲ ɛ ⁴²		
3749-7							j ɔ ⁴⁴		
3452-7							tɕʰ ɛ̃ ⁵⁵		
598-7							ŋ a ⁴⁴		
638-7							pʰ ou ⁵⁵		
2819-7							p ɔ ⁴⁴		
4477-7							kʰ w a ⁴⁴		
4487-7							ts ɿ ⁴²		
4666-7							tɕ i ³³		
5661-7							t a ⁴²		
5263-8								x e ⁵⁵	
452-8								t ɯ ³¹	
4342-8								t ɯ ³¹	
4344-8								ts ɿ ³³	
5487-8								t ɯ ³¹	
1401-8								pʰ u ⁴⁴	
6496-8								tsʰ ɯ ³¹	
1064-8								n a ³⁵	
1065-8								ts ɿ ³³	
6617-8								t ɔ ²¹	
4367-8								t a ²¹	
4378-8								ɕ y ⁵⁵	
4379-8								l i ⁵⁵	
3984-8								s ɛ ³³	
5086-8								ts ɿ ³³	
3333-8								s ɛ ⁴⁴	
2226-8								x ɔ ³⁵	
2373-8								kʰ ɔ ³³	
2363-8								s ɔ ⁵⁵	
672-8								tsʰ ɿ ⁵⁵	
673-8								k ɯ ³¹	
2690-8								p ao ²¹	
6337-8								p a ⁴⁴	
6319-8								ts ɛ ⁴²	
2617-8								s ɯ ³³	
2066-8								s ɯ ³³	
2094-8								s ɯ ³³	
2096-8								k ɛ ⁴⁴	
798-8								p a ⁴²	
6668-8								ɕ y ³³	
4028-8								t ɛ ⁴⁴	
6555-8								k w a ⁴⁴	
2281-8								k u ⁴⁴	
701-8								k w a ⁴⁴	
628-8								s w a ⁴⁴	
3096-8								ts ɿ ³³	
3021-8								ts ɔ ²¹	
2708-8								ɕ i ⁵⁵	
3462-8								k a ³⁵	
1932-8								s ɿ ³³	
6469-8								s ɿ ³³	
4454-8								ɲ i ²¹	
4455-8								k ɛ ³⁵	
6926-8								ɲ ɤ ³³	
6927-8								ɲ i ²¹	
3916-8								m o ³³	
6822-8								ɲ i ²¹	
5417-8								ts ɿ ³³	
1959-8								x ɔ ³¹	
1960-8								t ɤ ³⁵	
2899-8								x ɔ ³¹	
3651-8								ts ɿ ³³	
811-8								k u ²¹	
1633-8								m ɛ ²¹	
1775-8								k ɤ ²¹	
5801-8								k ɛ ⁴²	
4769-8								l ɔ ³¹	
3720-8								k a ³⁵	
6446-8								m e ³³	
1255-8								pʰ ɛ ⁵⁵	
3595-8								ɲ i ⁴⁴	
1600-8								p e ³³	
242-8								ts ɿ ⁵⁵	
3739-8								k ɛ ²¹	
5984-8								ts ɔ ²¹	
838-8								s ɔ ⁵⁵	
839-8								t ɔ ²¹	
3149-8								j i ³⁵	
2829-8								ts ɔ ²¹	
4602-8								tɕ i ³⁵	
5225-8								l ao ²¹	
3933-8								s ɤ ⁴²	
5763-8								ts ɔ ⁴²	
2134-8								ɕ i ⁵⁵	
5724-8								t ɯ ³⁵	
5704-8								ts ɔ ⁴²	
5705-8								kʰ w ɛ ⁵⁵	
5037-8								tɕʰ i ³¹	
5038-8								t a ³⁵	
4332-8								ts ɿ ³³	
5447-8								tsʰ ɛ ⁵⁵	
3702-8								s ɿ ³¹	
1549-8								z ɿ ³¹	
2394-8								k ɤ ³³	
1-8								w ɛ ⁴²	
2947-8								t ɯ ²¹	
4653-8								k ɛ ⁴²	
4989-8								k ɛ ⁴²	
3749-8								j ɔ ⁴⁴	
3452-8								tɕʰ ɛ ⁵⁵	
598-8								ŋ w a ⁴⁴	
638-8								pʰ ɯ ⁵⁵	
2819-8								p ao ⁴⁴	
4477-8								kʰ w a ⁴⁴	
4487-8								ts ɿ ⁴²	
4666-8								tɕ i ³³	
5661-8								t a ⁴²	
5263-9									x e ⁵⁵
452-9									t ɯ ³¹
4342-9									t ɯ ³¹
4344-9									ts ɿ ³³
5487-9									t ɯ ³¹
1401-9									pʰ o ⁴⁴
6496-9									tsʰ ɯ ³¹
1064-9									l a ³⁵
1065-9									ts ɿ ³³
6617-9									t ɔ ²¹
4367-9									t a ²¹
4378-9									ɕ y ⁵⁵
4379-9									l i ⁵⁵
3984-9									s ɿ ³³
5086-9									ts ɤ ³³
3333-9									s e ⁴⁴
2226-9									x ɔ ³⁵
2373-9									kʰ w ɔ ³³
2363-9									s o ⁵⁵
672-9									tsʰ ɿ ⁵⁵
673-9									k ɯ ³¹
2690-9									p ɔ ²¹
6337-9									p a ⁴⁴
6319-9									ts e ⁴²
2617-9									s ɯ ³³
2066-9									s ɯ ³³
2094-9									s ɯ ³³
2096-9									k ɛ ⁴⁴
798-9									p a ⁴²
6668-9									ɕ y ³³
4028-9									t e ⁴⁴
6555-9									k w a ⁴⁴
2281-9									k o ⁴⁴
701-9									k w a ⁴⁴
628-9									s w a ⁴⁴
3096-9									ts ɿ ³³
3021-9									ts o ²¹
2708-9									ɕ i ³⁵
3462-9									k a ³⁵
1932-9									s ɿ ³³
6469-9									s ɔ ³¹
4454-9									ɲ i ²¹
4455-9									k ɛ ⁵⁵
6926-9									ɲ ɤ ³³
6927-9									ɲ i ²¹
3916-9									m ɔ ³³
6822-9									ɲ i ²¹
5417-9									ts ɿ ³³
1959-9									x a ³¹
1960-9									t ɤ ³⁵
2899-9									x ɔ ³¹
3651-9									ts ɿ ³³
