COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
242-1	ts ɿ ³⁵								
3739-1	k ɛ ²¹								
5984-1	ts ɔ ²¹								
838-1	s ɔ ³⁵								
839-1	t ɔ ²¹								
3149-1	j i ⁵⁵								
2829-1	ʈʂ ɤ ²¹								
4602-1	kʲ i ³⁵								
5225-1	l ɔ ²¹								
3933-1	ʂ ɤ ⁴²								
5763-1	ts ɔ ⁴²								
2134-1	ɕ i ⁵⁵								
5724-1	t ɯ ³⁵								
5704-1	ts ɔ ⁴²								
5705-1	kʰ ɔ ⁵⁵								
5037-1	kʲ i ³¹								
5038-1	t a ³⁵								
4332-1	ts ɯ ³³								
5447-1	tsʰ ɛ ⁵⁵								
3702-1	s ɯ ³¹								
1549-1	z ɿ ²¹								
2394-1	k ɤ ³³								
1-1	w e ⁴²								
2947-1	t ɯ ²¹								
4653-1	kʲ ɛ ⁴²								
4989-1	kʲ ɛ ⁴²								
3749-1	j ɔ ⁴⁴								
3452-1	tɕʰ ɛ ⁵⁵								
598-1	ŋ a ⁴⁴								
638-1	pʰ ɛ ⁵⁵								
2819-1	p ɔ ⁴⁴								
4477-1	kʰ ɔ ⁴⁴								
4487-1	ts ɿ ⁴²								
4666-1	kʲ i ³³								
5661-1	t a ⁴²								
4923-1	ts e ⁴²								
4913-1	k ɯ ²¹								
1143-1	m ɛ ⁴⁴								
4864-1	ɕ a ³⁵								
3184-1	s ɯ ³³								
4591-1	ts ɔ ⁵⁵								
1431-1	s ɛ ⁴⁴								
3323-1	kʰ e ⁵⁵								
6709-1	ts ɯ ⁵⁵								
903-1	m e ⁴²								
5098-1	k ɯ ²¹								
5994-1	k a ³⁵								
6971-1	s w a ⁴⁴								
763-1	ts ɯ ³⁵								
691-1	x w a ⁴⁴								
1083-1	t ɔ ⁴²								
1421-1	k ɛ ⁴²								
6699-1	t ɯ ⁴²								
2628-1	s ɔ ⁵⁵								
1696-1	x ɔ ²¹								
6179-1	kʲ ɛ ⁵⁵								
6180-1	ts ɿ ⁵⁵								
6658-1	s e ³³								
1231-1	ʂ ɤ ³¹								
4265-1	kʰ ɯ ⁵⁵								
2787-1	ʈʂ ɔ ²¹								
3247-1	ts ɿ ⁵⁵								
252-1	t a ³⁵								
6004-1	k a ³¹								
4728-1	s w a ⁵⁵								
3843-1	ŋ w a ⁴⁴								
4965-1	tɕʰ a ³¹								
5641-1	t a ²¹								
3280-1	s ɔ ²¹								
1390-1	kʰ ɔ ⁴⁴								
2156-1	ŋ w a ⁴⁴								
3433-1	ɕ i ³¹								
552-1	kʲʰ i ³¹								
4845-1	kʲ i ⁴⁴								
4846-1	t ɯ ⁴⁴								
2292-1	m i ³¹								
6635-1	ɲ ɔ ⁴⁴								
3994-1	t ɯ ⁴⁴								
3031-1	ʈʂ ɔ ³³								
6078-1	ts ɯ ³³								
1644-1	tʰ ɯ ⁵⁵								
2435-1	ɲ i ⁴⁴								
1676-1	t a ⁴²								
6281-1	k e ⁵⁵								
5915-1	tsʰ ɯ ⁵⁵								
1560-1	ɕ i ³³								
575-1	t ɔ ²¹								
5319-1	s e ³¹								
2797-1	k a ³⁵								
6991-1	kʲ i ²¹								
3513-1	ts ɔ ²¹								
5205-1	tsʰ ɯ ⁵⁵								
6109-1	tsʰ u ⁵⁵								
2056-1	m ɔ ⁴²								
6099-1	k ɯ ³³								
6119-1	p ɔ ³¹								
1978-1	t e ³³								
3973-1	kʲ i ³⁵								
2046-1	ɕ ɔ ³³								
5622-1	ɕ ɛ ⁵⁵								
648-1	tɕʰ ɛ ⁵⁵								
6789-1	p ɛ ⁴²								
618-1	x ɯ ⁴⁴								
2384-1	m a ³³								
1124-1	k a ³⁵								
1125-1	tɕ ɔ ⁴²								
4178-1	k ɔ ³³								
1686-1	k a ³⁵								
1495-1	ts ɯ ³³								
4090-1	ɕ i ⁵⁵								
4802-1	x ɛ ⁵⁵								
1764-1	ts u ³³								
3270-1	m e ³³								
1884-1	kʲ ɛ ⁴²								
1203-1	k ɯ ³⁵								
6645-1	w e ³⁵								
608-1	kʰ ɔ ³³								
2889-1	kʲʰ i ⁵⁵								
5350-1	tsʰ u ³¹								
6158-1	kʰ a ⁴⁴								
4306-1	ʂ ɤ ³¹								
4891-1	k ɔ ²¹								
6436-1	k ɔ ³³								
6213-1	s a ⁵⁵								
2320-1	ɕ i ⁴⁴								
5253-1	f ɤ ⁴⁴								
5108-1	kʲ i ⁴⁴								
4100-1	tɕ ɯ ³³								
6018-1	ts ɿ ⁴²								
1352-1	ŋ ɯ ²¹								
4228-1	p ɛ ⁴⁴								
4247-1	kʲʰ i ⁵⁵								
5263-2		xʰ ẽ ⁵⁵							
452-2		t ɯ ²¹							
4342-2		t ɯ ²¹							
4344-2		tsʰ ɯ ³¹							
5487-2		t ɯ ²¹							
1401-2		pʰ ɔu ⁴⁴							
6496-2		tsʰ ɯ ³¹							
1064-2		l a ³⁵							
1065-2		ts ɿ ³³							
6617-2		t ɔ ²¹							
4367-2		t a ²¹							
4378-2		ɕ i ⁵⁵							
4379-2		l i ³⁵							
3984-2		s ɛ̃ ³³							
5086-2		ts w ɔ ³³							
3333-2		s e ⁴⁴							
2226-2		x u ⁵⁵							
2373-2		kʰ w ɔ ³³							
2363-2		s u ⁵⁵							
672-2		tsʰ ɿ ⁵⁵							
673-2		k ɯ ³¹							
2690-2		p ɔu ²¹							
6337-2		p a ⁴⁴							
6319-2		ts e ⁴²							
2617-2		s ɯ ³³							
2066-2		s ɯ ³³							
2094-2		s ɯ ³³							
2096-2		k ɛ ⁴⁴							
798-2		p ɛ ⁴²							
6668-2		ɕ y ³³							
4028-2		t e ⁴⁴							
6555-2		k w a ⁴⁴							
2281-2		k ou ⁴⁴							
701-2		k w a ⁴⁴							
628-2		sʰ w a ⁴⁴							
3096-2		ts ɿ ³³							
3021-2		ts u ²¹							
2708-2		ɕ i ⁵⁵							
3462-2		k ã ⁵⁵							
1932-2		s ɿ ³³							
6469-2		s ɿ ³³							
4454-2		j i ²¹							
4455-2		k ɛ̃ ³⁵							
6926-2		j u ³³							
6927-2		j i ²¹							
3916-2		m ɔu ³³							
6822-2		j i ²¹							
5417-2		ts ɿ ³³							
1959-2		x a ³¹							
1960-2		t w ɔ ³⁵							
2899-2		x u ²¹							
3651-2		ts ɿ ³³							
811-2		k u ²¹							
1633-2		m ɛ ²¹							
1775-2		k w ɔ ²¹							
5801-2		k ɛ ⁴²							
4769-2		l ɔ ³¹							
3720-2		k ã ⁵⁵							
6446-2		m ɛ ³³							
1255-2		pʰ ɛ̃ ⁵⁵							
3595-2		j i ⁴⁴							
1600-2		p e ³³							
242-2		ts ɿ ⁵⁵							
3739-2		k ɛ ²¹							
5984-2		ts ɔu ²¹							
838-2		s u ⁵⁵							
839-2		t ɔ ²¹							
3149-2		j ɛ ³⁵							
2829-2		ts w ɔ̃ ²¹							
4602-2		tɕ i ³⁵							
5225-2		l ɔ ²¹							
3933-2		s w ɔ ⁴²							
5763-2		ts ou ⁴²							
2134-2		ɕ i ⁵⁵							
5724-2		t ɯ ⁵⁵							
5704-2		ts ɔu ⁴²							
5705-2		kʰ w e ³⁵							
5037-2		tɕ i ³¹							
5038-2		t a ⁵⁵							
4332-2		ts ɿ ³³							
5447-2		tsʰ ɛ̃ ³⁵							
3702-2		s ɿ ³¹							
1549-2		z ɛ ²¹							
2394-2		k u ³³							
1-2		v ɛ ⁴²							
2947-2		t ɯ ²¹							
4653-2		k ɛ ⁴²							
4989-2		k e ⁴²							
3749-2		j u ⁴⁴							
3452-2		tɕʰ ɛ ⁵⁵							
598-2		ŋ a ⁴⁴							
638-2		pʰ ɯ ⁵⁵							
2819-2		p ɯ ⁴⁴							
4477-2		k w a ⁴⁴							
4487-2		ts ɿ ⁴²							
4666-2		tɕ i ³³							
5661-2		t a ⁴²							
4923-2		ts e ⁴²							
4913-2		k ɯ ²¹							
1143-2		m ɛ ⁴⁴							
4864-2		ɕ õu ⁵⁵							
3184-2		s ɯ ³³							
4591-2		ts ou ⁴⁴							
1431-2		s ɛ ⁴⁴							
3323-2		kʰ ẽ ⁵⁵							
6709-2		ts ɯ ³³							
903-2		m ɛ ⁴²							
5098-2		k ɯ ²¹							
5994-2		k ã ⁵⁵							
6971-2		sʰ w a ⁴⁴							
763-2		ts ɯ ³⁵							
691-2		x w a ⁴⁴							
1083-2		t ɔu ⁴²							
1421-2		k ɛ ⁴²							
6699-2		t ɯ ⁴²							
2628-2		s u ⁵⁵							
1696-2		x ɔ ³¹							
6179-2		k ɛ ⁵⁵							
6180-2		ts ɿ ³⁵							
6658-2		s e ³³							
1231-2		s w ɔ ³¹							
4265-2		kʰ ɯ ⁵⁵							
2787-2		ts u ²¹							
3247-2		ts ɿ ³⁵							
252-2		t a ⁵⁵							
6004-2		k a ³¹							
4728-2		sʰ a ⁵⁵							
3843-2		w ã ⁴⁴							
4965-2		tsʰ ã ²¹							
5641-2		t a ²¹							
3280-2		s ɔu ⁴²							
1390-2		kʰ ɔu ⁴⁴							
2156-2		w ã ⁴⁴							
3433-2		ɕ i ³¹							
552-2		ɕ i ³¹							
4845-2		tɕ i ⁴⁴							
4846-2		t ɯ ⁴⁴							
2292-2		m ɛ ³¹							
6635-2		j ĩ ⁴⁴							
3994-2		t ɯ ⁴⁴							
3031-2		ts w ɔ ³³							
6078-2		ts ɿ ³³							
1644-2		tʰ ɯ ³⁵							
2435-2		j i ⁴⁴							
1676-2		t w a ⁴²							
6281-2		k ɛ ⁵⁵							
5915-2		tsʰ ɿ ⁵⁵							
1560-2		ɕ i ³³							
575-2		t ɔu ⁴²							
5319-2		s e ⁴²							
2797-2		k ã ⁵⁵							
6991-2		tɕ i ³¹							
3513-2		ts u ²¹							
5205-2		tsʰ ɯ ⁵⁵							
6109-2		tsʰ u ⁵⁵							
2056-2		m ɔu ⁴²							
6099-2		k ou ³³							
6119-2		p ɔu ⁴²							
1978-2		t e ³³							
3973-2		tɕ i ⁵⁵							
2046-2		s u ³³							
5622-2		ɕ ɛ̃ ⁵⁵							
648-2		tɕʰ ɛ ⁵⁵							
6789-2		p ɛ ⁴²							
618-2		x ɯ ⁴⁴							
2384-2		m a ³³							
1124-2		k ã ⁵⁵							
1125-2		tɕ ɯ̃ ⁴²							
4178-2		k u ³³							
1686-2		k ã ⁵⁵							
1495-2		ts ɿ ³³							
4090-2		ɕ i ⁵⁵							
4802-2		xʰ ɛ ⁵⁵							
1764-2		ts u ³³							
3270-2		m e ³³							
1884-2		k ɛ ⁴²							
1203-2		k ɯ ⁵⁵							
6645-2		w e ⁵⁵							
608-2		kʰ u ³³							
2889-2		tɕʰ i ³⁵							
5350-2		tsʰ u ³¹							
6158-2		kʰ a ⁴⁴							
4306-2		s w ɔ ³¹							
4891-2		k u ²¹							
6436-2		k u ³³							
6213-2		s ã ⁵⁵							
2320-2		ɕ i ⁴⁴							
5253-2		f ɤ ⁴⁴							
5108-2		tɕʰ i ⁴⁴							
4100-2		kʰ ɯ ³³							
6018-2		ts ɿ ⁴²							
1352-2		ŋ ɯ ²¹							
4228-2		p e ⁴⁴							
4247-2		tɕʰ i ³⁵							
5263-3			x e ⁵⁵						
452-3			t ɯ ²¹						
4342-3			t ɯ ²¹						
4344-3			tsʰ ɯ ²¹						
5487-3			t ɯ ²¹						
1401-3			pʰ o ⁴⁴						
6496-3			tsʰ ɯ ²¹						
1064-3			l a ⁵⁵						
1065-3			ts ɿ ³³						
6617-3			t o ²¹						
4367-3			t a ²¹						
4378-3			ɕ i ⁵⁵						
4379-3			l i ⁵⁵						
3984-3			s ɛ̃ ³³						
5086-3			ts ɤ ³³						
3333-3			s e ⁴⁴						
2226-3			x ou ⁵⁵						
2373-3			kʰ ou ³³						
2363-3			s o ⁵⁵						
672-3			tsʰ ɿ ⁵⁵						
673-3			k ɯ ³¹						
2690-3			p ou ²¹						
6337-3			p a ⁴⁴						
6319-3			ts e ⁴²						
2617-3			s ɯ ³³						
2066-3			s ɯ ³³						
2094-3			s ɯ ³³						
2096-3			k ɛ ⁴⁴						
798-3			p a ⁴²						
6668-3			ɕ i ³³						
4028-3			t e ⁴⁴						
6555-3			k w a ⁴⁴						
2281-3			k ɤ ⁴⁴						
701-3			k w a ⁴⁴						
628-3			s w a ⁴⁴						
3096-3			ts ɿ ³³						
3021-3			ts ou ²¹						
2708-3			ɕ i ⁵⁵						
3462-3			k ã ⁵⁵						
1932-3			s ɿ ³³						
6469-3			s ɿ ³³						
4454-3			j ĩ ²¹						
4455-3			k ɛ ⁵⁵						
6926-3			j ĩ ³³						
6927-3			j ĩ ²¹						
3916-3			m o ³³						
6822-3			j ĩ ²¹						
5417-3			ts ɿ ³³						
1959-3			x ɛ ³¹						
1960-3			t ɤ ⁵⁵						
2899-3			x o ²¹						
3651-3			ts ɿ ³³						
811-3			k ou ²¹						
1633-3			m e ²¹						
1775-3			k ɤ ²¹						
5801-3			k ɛ ⁴²						
4769-3			l o ³¹						
3720-3			k ã ⁵⁵						
6446-3			m e ³³						
1255-3			j ɛ ⁵⁵						
3595-3			j i ⁴⁴						
1600-3			p e ³³						
242-3			ts ɿ ⁵⁵						
3739-3			k ɛ ²¹						
5984-3			ts o ²¹						
838-3			s ɛ̃ ⁵⁵						
839-3			t o ²¹						
3149-3			j ĩ ⁵⁵						
2829-3			ts ɤ ²¹						
4602-3			tɕ i ⁵⁵						
5225-3			l o ²¹						
3933-3			s ɤ ⁴²						
5763-3			ts o ⁴²						
2134-3			ɕ i ⁵⁵						
5724-3			t ɛ ⁵⁵						
5704-3			ts o ⁴²						
5705-3			kʰ w e ⁵⁵						
5037-3			tɕ i ³¹						
5038-3			t a ⁵⁵						
4332-3			ts ɿ ³³						
5447-3			tsʰ ɛ̃ ⁵⁵						
3702-3			s ɿ ²¹						
1549-3			s ɛ̃ ²¹						
2394-3			k ɤ ³³						
1-3			w ẽ ⁴²						
2947-3			t ɛ ²¹						
4653-3			k ɛ ⁴²						
4989-3			k ɛ ⁴²						
3749-3			j o ⁴⁴						
3452-3			tɕʰ ɛ ⁵⁵						
598-3			j a ⁴⁴						
638-3			pʰ ɛ̃ ⁵⁵						
2819-3			p e ⁴⁴						
4477-3			kʰ w a ⁴⁴						
4487-3			ts ɤ̃ ⁴²						
4666-3			tɕ i ³³						
5661-3			t a ⁴²						
4923-3			ts ɿ ⁴²						
4913-3			k o ²¹						
1143-3			m ɛ ⁴⁴						
4864-3			ɕ ã ⁵⁵						
3184-3			s ɯ ³³						
4591-3			ts o ⁴⁴						
1431-3			s ɛ ⁴⁴						
3323-3			kʰ ẽ ⁵⁵						
6709-3			ts ɯ ⁴⁴						
903-3			m ɛ ⁴²						
5098-3			k ɯ ²¹						
5994-3			k ã ⁵⁵						
6971-3			s w a ⁴⁴						
763-3			ts ɤ̃ ⁵⁵						
691-3			x w a ⁴⁴						
1083-3			t o ⁴²						
1421-3			k ɛ ⁴²						
6699-3			t ɛ ⁴²						
2628-3			s õ ⁵⁵						
1696-3			x o ³¹						
6179-3			k ɛ ⁵⁵						
6180-3			ts ɿ ⁵⁵						
6658-3			s e ³³						
1231-3			s ɤ ²¹						
4265-3			kʰ ɛ ⁵⁵						
2787-3			ts ou ²¹						
3247-3			ts ɿ ⁵⁵						
252-3			t a ⁵⁵						
6004-3			k a ³¹						
4728-3			s ã ⁵⁵						
3843-3			w ã ⁴⁴						
4965-3			tsʰ a ²¹						
5641-3			t a ²¹						
3280-3			s u ³¹						
1390-3			kʰ ou ⁴⁴						
2156-3			w ã ⁴⁴						
3433-3			ɕ i ³¹						
552-3			ɕ i ³¹						
4845-3			tɕ i ⁴⁴						
4846-3			t ɛ ⁴⁴						
2292-3			m ɛ ³¹						
6635-3			j o ⁴⁴						
3994-3			t ɯ ⁴⁴						
3031-3			ts ɿ ³³						
6078-3			ts ɿ ³³						
1644-3			t i ⁵⁵						
2435-3			j i ⁴⁴						
1676-3			t a ⁴²						
6281-3			k ɛ ⁵⁵						
5915-3			tsʰ ɛ̃ ⁵⁵						
1560-3			ɕ i ³³						
575-3			t ou ⁴²						
5319-3			s e ²¹						
2797-3			k ã ⁵⁵						
6991-3			tɕ i ²¹						
3513-3			ts ou ²¹						
5205-3			tsʰ ɯ ⁵⁵						
6109-3			tsʰ u ⁵⁵						
2056-3			m a ⁴²						
6099-3			k o ³³						
6119-3			p o ⁴²						
1978-3			t ẽ ³³						
3973-3			tɕ i ⁵⁵						
2046-3			ɕ o ³³						
5622-3			ɕ ɛ̃ ⁵⁵						
648-3			tsʰ ɛ̃ ⁵⁵						
6789-3			p ɛ ⁴²						
618-3			x ɯ ⁴⁴						
2384-3			m ɛ ³³						
1124-3			k ã ⁵⁵						
1125-3			ɣ ɯ ⁴²						
4178-3			k o ³³						
1686-3			k ã ⁵⁵						
1495-3			ts ɛ̃ ³³						
4090-3			ɕ i ⁵⁵						
4802-3			x ɛ ⁵⁵						
1764-3			ts u ³³						
3270-3			m e ³³						
1884-3			k ɛ ⁴²						
1203-3			k ɯ ⁵⁵						
6645-3			w ẽ ⁵⁵						
608-3			kʰ u ³³						
2889-3			tɕʰ i ⁵⁵						
5350-3			tsʰ u ³¹						
6158-3			kʰ ɛ ⁴⁴						
4306-3			s ɤ̃ ³¹						
4891-3			k ou ²¹						
6436-3			k o ³³						
6213-3			s ã ⁵⁵						
2320-3			ɕ i ⁴⁴						
5253-3			f ɤ ⁴⁴						
5108-3			tɕ i ⁴⁴						
4100-3			tɕ i ³³						
6018-3			ts ɤ̃ ⁴²						
1352-3			ŋ ɛ ²¹						
4228-3			p ɛ ⁴⁴						
4247-3			tɕʰ i ⁵⁵						
5263-4				x e ⁵⁵					
452-4				t j ɯ ³³					
4342-4				t j ɯ ³³					
4344-4				tsʰ ɯ ³¹					
5487-4				t j ɯ ³³					
1401-4				pʰ u ⁵⁵					
6496-4				tsʰ ɯ ³¹					
1064-4				l a ⁵⁵					
1065-4				ts ɿ ³³					
6617-4				t j ɯ ²¹					
4367-4				t a ²¹					
4378-4				ɕ i ⁵⁵					
4379-4				l i ⁵⁵					
3984-4				s ɿ ⁴⁴					
5086-4				ts õ ³³					
3333-4				s e ⁴⁴					
2226-4				x u ⁵⁵					
2373-4				kʰ u ³³					
2363-4				s u ⁵⁵					
672-4				tsʰ ɛ ⁵⁵					
673-4				k ɯ ²¹					
2690-4				p ao ²¹					
6337-4				p a ⁴⁴					
6319-4				ts e ⁴²					
2617-4				s ɿ ⁴⁴					
2066-4				s ɿ ⁴⁴					
2094-4				s ɿ ⁴⁴					
2096-4				k ɛ ⁴⁴					
798-4				p a ³³					
6668-4				ɕ i ³³					
4028-4				t e ⁴⁴					
6555-4				k w a ⁴⁴					
2281-4				k u ⁵⁵					
701-4				k w a ⁴⁴					
628-4				s w a ⁴⁴					
3096-4				ts ɿ ³³					
3021-4				ts u ²¹					
2708-4				ɕ i ⁵⁵					
3462-4				k ã ⁵⁵					
1932-4				s ɿ ³³					
6469-4				s ɿ ³³					
4454-4				j ĩ ²¹					
4455-4				k ɛ ⁵⁵					
6926-4				j ĩ ⁴⁴					
6927-4				j ĩ ²¹					
3916-4				m u ³³					
6822-4				j ĩ ²¹					
5417-4				ts ɿ ⁴⁴					
1959-4				x u ³¹					
1960-4				t u ⁵⁵					
2899-4				x u ³¹					
3651-4				ts ɿ ³³					
811-4				k u ²¹					
1633-4				m e ²¹					
1775-4				k u ³¹					
5801-4				k ɛ ⁴²					
4769-4				l ao ³¹					
3720-4				k ã ⁵⁵					
6446-4				m ɛ ³³					
1255-4				pʰ i ⁵⁵					
3595-4				j i ⁴⁴					
1600-4				p e ⁴⁴					
242-4				ts u ⁵⁵					
3739-4				k e ²¹					
5984-4				ts u ²¹					
838-4				s u ⁵⁵					
839-4				t o ³¹					
3149-4				j i ⁴⁴					
2829-4				ts u ²¹					
4602-4				tɕ i ⁵⁵					
5225-4				l ao ²¹					
3933-4				s u ³³					
5763-4				ts u ³¹					
2134-4				ɕ i ⁵⁵					
5724-4				t i ⁵⁵					
5704-4				ts u ³¹					
5705-4				kʰ w ã ⁵⁵					
5037-4				tɕ i ³¹					
5038-4				t a ⁴⁴					
4332-4				ts ɿ ⁴⁴					
5447-4				tsʰ ɛ ⁵⁵					
3702-4				s ɯ ³³					
1549-4				ʐ e ²¹					
2394-4				k u ³³					
1-4				w e ⁴²					
2947-4				t j ɯ ³³					
4653-4				k ɛ ⁴²					
4989-4				k ɛ ⁴²					
3749-4				j ɔ ⁴⁴					
3452-4				tsʰ ɛ̃ ⁵⁵					
598-4				ŋ a ⁴⁴					
638-4				pʰ ɯ ⁵⁵					
2819-4				p u ⁵⁵					
4477-4				kʰ w a ⁴⁴					
4487-4				ts ɿ ⁴⁴					
4666-4				tɕ i ³³					
5661-4				t a ⁴²					
4923-4				ts a ⁴²					
4913-4				k ɯ ²¹					
1143-4				m a ⁴⁴					
4864-4				ɕ i ⁵⁵					
3184-4				s ɯ ³³					
4591-4				ts u ⁵⁵					
1431-4				s ɛ ⁴⁴					
3323-4				kʰ ẽ ⁵⁵					
6709-4				ts ɯ ⁴⁴					
903-4				m ɛ ³³					
5098-4				k ɯ ²¹					
5994-4				k ã ⁵⁵					
6971-4				s w a ⁴⁴					
763-4				ts u ⁵⁵					
691-4				x w a ³³					
1083-4				t o ³¹					
1421-4				k ɛ ⁴²					
6699-4				t ɯ ⁴²					
2628-4				s u ⁵⁵					
1696-4				x u ³¹					
6179-4				k u ⁵⁵					
6180-4				ts u ⁵⁵					
6658-4				s w e ⁴⁴					
1231-4				s u ³³					
4265-4				kʰ ɯ ⁵⁵					
2787-4				ts u ²¹					
3247-4				ts u ⁵⁵					
252-4				t a ⁴⁴					
6004-4				k a ³¹					
4728-4				s a ⁴⁴					
3843-4				w ã ⁴⁴					
4965-4				tsʰ a ⁴²					
5641-4				t a ³¹					
3280-4				s u ³³					
1390-4				kʰ u ⁵⁵					
2156-4				w ã ⁴⁴					
3433-4				ɕ i ³¹					
552-4				ɕ i ³¹					
4845-4				ts ɯ ⁴⁴					
4846-4				t ɯ ⁴⁴					
2292-4				m æ ²¹					
6635-4				j u ⁴⁴					
3994-4				t ɯ ⁴⁴					
3031-4				ts u ³³					
6078-4				ts ɯ ³³					
1644-4				tʰ ɯ ⁵⁵					
2435-4				j ĩ ⁴⁴					
1676-4				t a ⁴²					
6281-4				k ɛ̃ ⁵⁵					
5915-4				tsʰ ɛ ⁵⁵					
1560-4				ɕ i ⁴⁴					
575-4				t o ³¹					
5319-4				s e ⁴²					
2797-4				k ã ⁵⁵					
6991-4				tɕ i ²¹					
3513-4				ts u ²¹					
5205-4				tsʰ ɯ ⁴⁴					
6109-4				tsʰ u ⁵⁵					
2056-4				m ɯ̃ ³³					
6099-4				k u ³³					
6119-4				p o ³¹					
1978-4				t e ⁴⁴					
3973-4				tɕ i ⁵⁵					
2046-4				ɕ o ⁴⁴					
5622-4				ɕ i ⁵⁵					
648-4				tsʰ ɛ ⁵⁵					
6789-4				p j ɛ ⁴²					
618-4				x u ³³					
2384-4				m a ³³					
1124-4				k ã ⁵⁵					
1125-4				tɕ ɯ ³³					
4178-4				k u ³³					
1686-4				k ã ⁵⁵					
1495-4				ts u ³³					
4090-4				ɕ i ⁵⁵					
4802-4				x ɛ̃ ⁵⁵					
1764-4				ts u ³³					
3270-4				m ɛ ³³					
1884-4				k ɛ ⁴²					
1203-4				k ɯ ⁵⁵					
6645-4				w ẽ ⁵⁵					
608-4				kʰ u ³³					
2889-4				tɕʰ i ⁵⁵					
5350-4				tsʰ u ³¹					
6158-4				kʰ a ⁴⁴					
4306-4				s ɿ ⁴⁴					
4891-4				k u ²¹					
6436-4				k u ³³					
6213-4				s ã ⁵⁵					
2320-4				ɕ i ⁴⁴					
5253-4				f ɛ ⁴⁴					
5108-4				tɕʰ i ⁵⁵					
4100-4				tɕ ɯ ³³					
6018-4				ts ɿ ⁴⁴					
1352-4				ŋ ɯ ²¹					
4228-4				p ɛ ⁴⁴					
4247-4				tɕʰ i ⁵⁵					
5263-5					a ⁵⁵				
452-5					ʈ ɯ ³¹				
4342-5					ʈ ɯ ³¹				
4344-5					ʈ ɯ ³¹				
5487-5					ʈ ɯ ³¹				
1401-5					tɕ o ⁵⁵				
6496-5					ʈ ɯ ³¹				
1064-5					l a ⁵⁵				
1065-5					tɕ i ³¹				
6617-5					t ao ³¹				
4367-5					t a ⁴⁴				
4378-5					ɕ i ⁵⁵				
4379-5					a ⁵⁵				
3984-5					ʂ ʅ ³³				
5086-5					ts õ ³³				
3333-5					s u ³³				
2226-5					x ẽ ⁵⁵				
2373-5					qʰ ɔ ³¹				
2363-5					ɕ o ⁵⁵				
672-5					a ⁵⁵				
673-5					k ɯ ³¹				
2690-5					p ɔ ³¹				
6337-5					a ⁵⁵				
6319-5					t a ⁴²				
2617-5					x ɯ̃ ³³				
2066-5					x ɯ̃ ³³				
2094-5					x ɯ̃ ³³				
2096-5					q w a ⁴⁴				
798-5					p a ⁴²				
6668-5					tɕ i ³³				
4028-5					t ɛ ⁴⁴				
6555-5					q w a ⁵⁵				
2281-5					q o ⁴⁴				
701-5					q w a ⁵⁵				
628-5					s w a ⁵⁵				
3096-5					tɕ i ³¹				
3021-5					t ɤ ³¹				
2708-5					tɕ i ⁵⁵				
3462-5					q o ⁴⁴				
1932-5					s ɿ ³³				
6469-5					s ao ³¹				
4454-5					ɲ i ³¹				
4455-5					k ɤ ⁵⁵				
6926-5					ɲ i ³³				
6927-5					ɲ i ³¹				
3916-5					m ɔ̃ ³³				
6822-5					ɲ i ³¹				
