COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
4135-2		Ø Ø Ø Ø														
4694-2		g u d u														
807-2		k Ø m Ø														
2320-2		k a Ø aː														
2476-2		k u Ø Ø														
2842-2		d Ø g u Ø														
4081-2		d Ø m Ø Ø														
4313-2		Ø ɛ m a m														
4460-2		Ø Ø Ø														
5514-2		Ø ɛ Ø d ɛ														
5810-2		Ø Ø Ø Ø														
93-2		d o														
260-2		Ø ɛ Ø r Ø														
385-2		dʒ ɛ m ɛ														
890-2		ɛĩ Ø m Ø r Ø														
1336-2		t g														
1703-2		Ø Ø Ø														
1769-2		t ɛ m Ø ɛ														
2162-2		Ø ɛ Ø ɛ														
2635-2		Ø Ø														
2735-2		d Ø Ø Ø														
3031-2		d Ø g ɛ														
4591-2		t Ø r Ø														
5301-2		Ø ɛ Ø u														
5605-2		t Ø m ɛ														
296-2		dʒ Ø m														
463-2		d u m Ø Ø														
762-2		Ø Ø Ø Ø Ø k u Ø Ø														
1432-2		t a l Ø														
1474-2		t ɔ Ø Ø Ø														
1788-2		Ø ɛ Ø Ø														
2044-2		d Ø m Ø														
2713-2		t Ø m Ø ɛ d ɛ l ɛ														
3219-2		Ø Ø d u														
3425-2		j oː														
4184-2		Ø Ø Ø														
4629-2		Ø u Ø Ø ɔ														
4759-2		Ø Ø j Ø														
4904-2		Ø u Ø Ø aː														
4960-2		g Ø Ø Ø dʒ u														
4980-2		t ɔ														
5059-2		g u o														
5125-2		Ø ɔ Ø dʒ Ø														
5339-2		Ø Ø g a														
5549-2		t aː Ø oː														
5771-2		dʒ u g u Ø														
5905-2		t Ø Ø Ø														
5938-2		ɛĩ Ø d u Ø ɛĩ ɛĩ aː														
1-2		Ø Ø														
483-2		g Ø Ø														
629-2		d Ø ɛĩ Ø														
667-2		ɛ Ø ɛ														
1254-2		d a Ø d u l u														
1415-2		Ø ɛĩ ɛ														
1542-2		Ø a ɔ														
1683-2		Ø ɛĩ ɛĩ														
1898-2		Ø u Ø o														
2551-2		r Ø														
2901-2		t u Ø l Ø														
2957-2		m aː Ø d Ø														
3048-2		Ø Ø														
3251-2		Ø a Ø a														
3885-2		d ɛ Ø ɛ														
4402-2		j Ø														
5081-2		Ø Ø Ø ɛĩ Ø Ø Ø														
5622-2		Ø ɛ l Ø l Ø j														
6006-2		Ø Ø r Ø														
43-2		Ø Ø Ø														
135-2		t u Ø d u														
158-2		m Ø ɔ Ø u														
194-2		Ø Ø Ø														
221-2		ɛ d u														
650-2		Ø d ɛ														
1152-2		d Ø w ɛ														
1374-2		Ø ɔ l g ɔ														
1452-2		g aː r a														
1862-2		Ø d Ø														
2108-2		Ø a Ø Ø j̃														
2636-2		m														
2880-2		k u Ø dʒ u g ɔ														
2924-2		Ø Ø Ø ɛĩ														
2941-2		Ø Ø Ø Ø														
3405-2		a ɛ m ɛ														
3959-2		t Ø l Ø														
4066-2		g Ø r̃ ɔ														
4535-2		Ø u g o														
4888-2		Ø Ø m u Ø ɛː														
5180-2		Ø ɛ m ɛ														
5751-2		t Ø ɛ														
5981-2		a r̃ a														
114-2		d ɔ j̃ ɛ														
702-2		ɔ g ɔ Ø ɔ Ø ɔ														
851-2		g ɔ ɛĩ ɛĩ														
872-2		ɛ Ø Ø ɛ														
952-2		k u Ø Ø Ø Ø														
2179-2		Ø d Ø														
2351-2		Ø Ø Ø Ø														
2496-2		Ø ɔ Ø														
4609-2		k ɔ r Ø Ø o Ø Ø														
4740-2		g u Ø ɔ Ø														
4921-2		Ø aː r̃ Ø ɛĩ														
5982-2		g Ø Ø d Ø														
978-2		t o m Ø														
999-2		j e														
1052-2		Ø ɛː m g ɔ														
1989-2		m ɛ Ø ɛ														
2456-2		k ɔ l Ø														
2666-2		Ø u g														
2817-2		a Ø g Ø														
3132-2		d u Ø ɔ														
3300-2		u w ɛĩ														
3977-2		m Ø Ø dʒ Ø														
3978-2		m aː Ø dʒ														
4260-2		ɔ m o u														
4278-2		k ɔ l Ø ɔ														
4334-2		Ø o Ø														
4361-2		t Ø g Ø														
4570-2		Ø Ø g Ø Ø Ø														
4648-2		j Ø														
715-3			Ø iː ɔ ɔ													
1089-3			n Ø Ø													
1319-3			n ɔ ɔ Ø													
1398-3			s Ø Ø Ø ɔ Ø													
1557-3			Ø i Ø i													
1626-3			Ø Ø Ø Ø													
1840-3			t i Ø													
2247-3			Ø Ø ɔ													
4677-3			k Ø Ø Ø Ø ɔ													
5162-3			w̃ i Ø ɔ i													
5406-3			t Ø n l Ø													
359-3			Ø Ø Ø u ɔ													
1577-3			Ø i Ø Ø													
2196-3			n Ø Ø Ø													
2533-3			Ø Ø Ø ɔ Ø													
3866-3			ɛ Ø Ø													
4553-3			t Ø ɔ Ø ɔ Ø													
5254-3			Ø Ø Ø Ø													
503-3			k i Ø ɔ													
1881-3			n Ø ɔ ɔ ɔ													
2084-3			Ø Ø Ø p Ø													
2420-3			k Ø Ø Ø													
3218-3			p Ø ɔ Ø Ø													
3372-3			Ø Ø Ø Ø													
3718-3			Ø l Ø													
2320-3			k Ø													
2476-3			k u ɔ ɔ													
3719-3			Ø													
4460-3			s Ø Ø ɔ													
5514-3			n n													
890-3			Ø w̃ ɔ Ø Ø Ø													
1336-3			t i Ø i													
1703-3			Ø Ø													
2162-3			Ø e Ø e													
2635-3			s Ø													
2735-3			Ø Ø Ø ɔ ɔ ɔ Ø													
762-3			Ø Ø n Ø Ø k Ø													
1788-3			s i ɔ u													
2713-3			t Ø w̃ Ø Ø Ø Ø ɔ													
3219-3			p Ø Ø Ø													
4629-3			n Ø Ø Ø													
4904-3			n ɔ Ø Ø Ø Ø													
5125-3			Ø n Ø Ø													
5771-3			Ø Ø Ø Ø Ø													
5938-3			Ø Ø Ø Ø Ø Ø													
1898-3			p Ø Ø ɔ													
2901-3			t Ø Ø Ø													
2957-3			Ø Ø Ø Ø u													
3048-3			Ø Ø Ø													
5081-3			Ø i n Ø ɔ Ø													
6006-3			p Ø Ø i													
716-3			Ø i													
1152-3			t Ø Ø Ø													
1789-3			n Ø Ø Ø													
2083-3			k Ø ɔ Ø u													
2108-3			n Ø ɔ ɔ													
2618-3			k Ø Ø													
2880-3			Ø Ø Ø Ø Ø Ø i													
2941-3			Ø i Ø u													
3405-3			Ø Ø Ø													
3811-3			Ø Ø													
5583-3			t Ø Ø Ø ãː													
5751-3			t Ø Ø Ø													
2442-3			n Ø Ø Ø													
2496-3			Ø Ø Ø													
4921-3			s Ø Ø Ø Ø Ø													
196-3			k Ø Ø Ø													
3639-3			Ø Ø Ø ãː													
3905-3			n													
3977-3			Ø Ø Ø i													
3978-3			Ø Ø Ø Ø													
4361-3			t i Ø i													
715-4				d u u u												
1089-4				n Ø ɛ u												
1319-4				n u Ø ɛː												
1398-4				s u n u u u u												
1557-4				g i r e												
1626-4				w a g a												
1840-4				t Ø n u												
2247-4				g Ø u												
4677-4				k u l Ø Ø u												
5162-4				m i u n ɛ												
5406-4				t a d i												
359-4				g a l a u												
1577-4				g i l e												
2196-4				n a l a												
2230-4				s i g e												
2533-4				b a r u ɛ												
3605-4				k a d a												
3866-4				u ɔ s u												
4553-4				t a u u												
4822-4				k u m b e												
5254-4				d u l ɔ												
503-4				k i l e												
1356-4				m a Ø												
1881-4				n u m ɔ u												
2084-4				j Ø p Ø												
2420-4				k u l ɛː												
3218-4				p u Ø u												
3718-4				u a r a												
4135-4				b a n a												
4694-4				g u dʒ u												
807-4				k oː m o												
2320-4				k a n e												
2842-4				d i g u												
4313-4				n ɛ m u m												
4460-4				s ɔ												
5514-4				n ɛ n d ɛ												
5810-4				p Ø l ɛː												
93-4				d ɔ												
260-4				p e u l e												
385-4				g ɛ m b ɛ												
890-4				Ø a m b u l ɛ												
1769-4				t ɛ m b e												
2162-4				b ɛ r e												
2635-4				s Ø												
2735-4				d a n u u a												
3031-4				d ɛ g ɛ												
5301-4				p ɛ l u												
5605-4				t Ø m ɛ												
63-4				k a l a												
296-4				Ø a m b ɛ												
463-4				d u m b u												
762-4				b a n a k Ø												
1432-4				t a l u												
1474-4				t ɔ												
2044-4				d i m e												
3219-4				p a Ø u												
4120-4				k Ø l o												
4184-4				Ø e m												
4423-4				d u l ɔ												
4629-4				n u m o												
4759-4				Ø Ø												
4904-4				n u m a												
4960-4				Ø Ø Ø e												
4980-4				t u												
5059-4				g u g u												
5125-4				ɔ n dʒ u												
5549-4				t a b u a												
5771-4				Ø u u Ø												
5922-4				b i r ɛ												
1-4				p e												
629-4				d ɔ u u												
667-4				ɛ b ɛ												
1254-4				Ø a Ø d u l u												
1415-4				ɲ ɛ												
1542-4				u u u												
1683-4				s u u u												
1898-4				Ø u l u												
2551-4				r Ø												
3251-4				b a l a												
3885-4				d e g e												
5622-4				p ɛ r Ø l e j												
6006-4				p Ø l a												
43-4				s Ø												
135-4				t u d u												
158-4				m ɔ dʒ u												
221-4				ɛ s u												
650-4				b e Ø ɛ												
1374-4				k ɔ m o												
1452-4				g a r a												
1789-4				n u m aː												
1862-4				Ø Ø ɛ												
2108-4				n a g												
2636-4				m u												
3113-4				t e g e												
3136-4				j a l a												
3751-4				b a												
4888-4				dʒ ɛː m ɛː												
5180-4				s ɛ m b e												
5583-4				t a n g Ø												
5981-4				a l a u												
25-4				a s ɛ g ɛ												
114-4				d u e												
702-4				ɔ g ɔ ɲ ɔ m o												
851-4				k u u u												
872-4				ɛ n dʒ ɛ												
952-4				k u r u												
1941-4				k Ø l Ø												
2442-4				n u m aː												
3448-4				b Ø d u												
3482-4				m i dʒ Ø d ɛ												
3497-4				n a n ɛː												
3588-4				k ɔ l ɔ												
4101-4				a l a												
4293-4				n ɔ b ɔ												
4520-4				b Ø r u												
4609-4				k u r Ø Ø Ø u Ø												
4740-4				g u l ɔ												
4781-4				s a Ø e												
5982-4				g u s u												
196-4				k u l ɛː												
545-4				u r u												
931-4				b ɛ												
978-4				t a m m												
999-4				j ɛ												
1052-4				n a m g u												
1070-4				l u g o												
1298-4				g u u m b aː												
1989-4				m e l Ø												
2145-4				Ø Ø Ø												
2306-4				a m b a												
2456-4				k ɔ l u												
2514-4				d u Ø ɛː												
3132-4				d u m g u												
3300-4				e w ɔ												
3774-4				t u r u												
3976-4				ɔ s Ø												
4039-4				d Ø r												
4278-4				k u n dʒ u												
4361-4				t u g u												
4570-4				u u g u ɛː u												
715-5					Ø Ø i i											
1089-5					r̃ Ø b b											
1319-5					r̃ Ø i i											
1398-5					s Ø b Ø r̃ i Ø											
1557-5					g i r Ø											
1626-5					Ø a g a											
1840-5					Ø i Ø b											
2247-5					g Ø i											
4677-5					k Ø l j i											
5162-5					w̃ i n Ø											
5406-5					Ø Ø r̃ Ø Ø											
359-5					g a l u i											
1577-5					g Ø r											
2196-5					n a l a											
2230-5					s Ø g Ø											
3605-5					k a n Ø a											
3866-5					i ɔ Ø Ø											
4553-5					Ø a i g											
4822-5					k Ø w̃ Ø ɔ											
5254-5					Ø Ø l ɔː											
1356-5					w̃ a Ø i											
1881-5					r̃ Ø Ø Ø i i											
2084-5					j Ø i Ø Ø											
2420-5					k Ø Ø Ø											
3218-5					Ø Ø b Ø Ø Ø											
3372-5					r̃ a w̃ a											
3718-5					i a r a											
4135-5					Ø a n Ø i											
4694-5					g Ø Ø i i Ø											
2476-5					k Ø i i											
2842-5					Ø i g Ø i											
3719-5					w̃ Ø											
4081-5					Ø a w̃ Ø Ø											
5514-5					r̃ e n Ø ɛː											
260-5					Ø ɛ i j Ø											
385-5					Ø ɛː w̃ Ø ɛː i											
890-5					Ø a w̃ b Ø r Ø											
1703-5					Ø Ø i											
1769-5					Ø ɛː w̃ Ø Ø											
2735-5					Ø a r̃ i b b a											
4591-5					Ø Ø r ɔ											
5301-5					Ø Ø r Ø											
63-5					k a r a											
296-5					Ø a w̃ Ø a											
463-5					Ø Ø w̃ Ø Ø											
762-5					Ø a n a b k b b											
1788-5					s Ø b b											
3219-5					Ø Ø Ø Ø											
4120-5					k ɔ l ɔ											
4759-5					n Ø Ø j j											
4960-5					g i n Ø Ø Ø											
5059-5					g Ø Ø o											
5549-5					Ø a Ø a											
5771-5					Ø Ø g Ø i											
5905-5					Ø i r̃											
5938-5					i a Ø Ø Ø b b u											
1415-5					Ø i ɛː											
1542-5					n Ø ɔː b											
1898-5					Ø Ø Ø o Ø											
2551-5					Ø											
2957-5					w̃ a r̃ Ø Ø											
3048-5					Ø i j j											
4402-5					j											
5081-5					Ø i n j i i i											
6006-5					Ø ɔ Ø Ø											
135-5					j Ø r̃ Ø Ø											
194-5					Ø ɛː i											
716-5					j e											
2083-5					k a i Ø Ø											
2618-5					k ɛː l ɛː											
2880-5					k Ø r̃ Ø Ø j Ø											
3113-5					Ø Ø g Ø											
3136-5					j a Ø a											
3405-5					i e w̃ e i											
3572-5					Ø ɛː r Ø											
4535-5					s Ø g Ø											
5751-5					Ø Ø j ɛː											
851-5					g i i											
2179-5					r̃ Ø Ø											
2351-5					Ø a j a											
2496-5					r̃ ɔː j											
3448-5					Ø Ø b Ø Ø											
4781-5					s a b Ø Ø											
4921-5					s a Ø Ø j Ø											
196-5					k Ø Ø Ø											
789-5					g Ø a											
931-5					Ø Ø b i											
1298-5					g Ø Ø Ø w̃ Ø a											
2145-5					Ø o b											
3639-5					Ø Ø Ø a											
3977-5					i Ø Ø Ø Ø Ø											
3978-5					i Ø ɔ Ø Ø Ø											
4260-5					Ø b Ø											
715-6						d u i i										
1089-6						r̃ a i i										
1319-6						r̃ i i Ø										
1398-6						s u n u r Ø Ø										
1557-6						Ø i r Ø										
1626-6						j a Ø a										
1840-6						t i n a										
2247-6						Ø Ø i										
4677-6						k u l Ø i										
5162-6						m i i r Ø										
5406-6						t Ø r̃ Ø ɛ										
359-6						g a l u i										
1577-6						Ø i r Ø										
2196-6						r̃ a l a										
2230-6						s i Ø Ø										
2533-6						Ø a r a u										
3605-6						k a r̃ d a										
4553-6						t a i Ø i										
4822-6						k u m Ø										
5254-6						d u l ɔ										
503-6						k i r Ø Ø										
1356-6						m Ø Ø										
1881-6						r̃ Ø m i i										
2084-6						Ø Ø i Ø Ø										
2420-6						k u l Ø										
3218-6						Ø u Ø Ø Ø u										
3372-6						r̃ a m a										
3718-6						i a r a										
4135-6						Ø a n a Ø										
4694-6						Ø u s i i u										
807-6						k Ø m Ø Ø										
2320-6						k a n aː										
2842-6						Ø i Ø u										
3719-6						m i										
4081-6						d a m i i										
4313-6						r̃ ɛː m i										
4460-6						s u j Ø										
5514-6						r̃ ɛ n Ø ɛ										
5810-6						p i a l										
93-6						d ɔ										
890-6						Ø a m Ø u r ɛ										
1336-6						t Ø Ø Ø										
1703-6						Ø aː i										
4591-6						t r Ø										
5605-6						t i m Ø a										
63-6						k a r a										
296-6						a m a										
463-6						d u m Ø										
762-6						Ø a n a Ø k Ø Ø Ø										
3425-6						Ø Ø										
4120-6						k Ø l Ø										
4423-6						d ɔ r ɔ										
4759-6						r̃ i j Ø										
4904-6						n u Ø Ø a										
4960-6						Ø j Ø Ø										
5125-6						a Ø n d ɔ										
5339-6						p a Ø a										
5771-6						u u										
5922-6						Ø i r a										
5938-6						i a d Ø r̃ Ø Ø u										
483-6						Ø ɛ s u										
1542-6						n Ø Ø										
1683-6						s i Ø Ø										
2551-6						r Ø										
2957-6						m a r̃ Ø Ø										
3048-6						Ø u Ø ɛ										
4402-6						Ø Ø										
5081-6						Ø Ø n i i Ø										
5622-6						p i i j Ø Ø										
650-6						Ø Ø s Ø										
716-6						Ø Ø										
1152-6						Ø ɛ Ø ɛ										
1789-6						n u m ɛ										
1862-6						Ø s ɛ										
2618-6						k l ɛː										
2880-6						k u r̃ Ø ɛ Ø										
2924-6						p Ø Ø Ø										
3136-6						Ø a r a										
3405-6						i ɛ m ɛ i										
3811-6						l Ø										
4535-6						u Ø ɔ										
4888-6						s a m i r̃ aː										
5751-6						t i Ø ɛ										
2179-6						n Ø ɛ										
2442-6						n u m u										
3482-6						m i s Ø d Ø										
4202-6						Ø Ø l Ø i i										
4781-6						s a a Ø										
4921-6						s a m Ø Ø Ø										
5982-6						g u s u										
408-6						j Ø m										
526-6						d a r i Ø a										
789-6						Ø a m a										
1298-6						Ø Ø Ø Ø m Ø										
1942-6						Ø Ø										
2666-6						s u Ø										
3015-6						n Ø n d a										
3905-6						n i a										
3977-6						Ø m Ø n Ø Ø										
3978-6						Ø m Ø n Ø Ø										
4152-6						k Ø Ø Ø a										
4334-6						Ø Ø o Ø										
4648-6						j ɛ										
715-7							d u i i									
1089-7							Ø Ø Ø i									
1319-7							Ø i i ɔ									
1398-7							t u g u Ø i Ø									
1557-7							g u l Ø									
1626-7							w aː g u									
1840-7							t u Ø i									
2247-7							g Ø i									
4677-7							k u Ø Ø Ø i									
5162-7							Ø u Ø Ø Ø									
5406-7							t Ø Ø d u									
359-7							g a l u Ø									
1577-7							g u l Ø									
2196-7							Ø a a									
2230-7							t u g Ø									
2533-7							Ø a l i e									
3605-7							k a Ø d a									
3866-7							Ø Ø dʒ u									
4553-7							t a i g i e									
4822-7							k u Ø Ø Ø									
5254-7							d u Ø ɔ									
503-7							k u Ø Ø i									
1356-7							Ø aː Ø i									
1881-7							Ø u Ø Ø i i									
3372-7							Ø a Ø u									
3718-7							i a l a									
4135-7							Ø a Ø Ø i									
4694-7							g u Ø i i u									
807-7							k Ø Ø Ø u									
2320-7							k a r̃ Ø									
2476-7							k o i i									
2842-7							d u g u Ø									
3719-7							Ø Ø									
4081-7							d a Ø Ø i u									
4313-7							Ø ɛ Ø Ø Ø									
4460-7							t e Ø									
5514-7							Ø ɛ Ø d u									
5810-7							Ø u i Ø Ø									
93-7							d ɔː									
260-7							Ø Ø Ø l Ø									
385-7							Ø ɛ Ø Ø ɛ Ø									
890-7							i a Ø Ø u u									
1336-7							t Ø g Ø									
1703-7							Ø Ø i									
1769-7							t ɛ Ø Ø u									
2162-7							Ø Ø Ø Ø									
2635-7							s Ø									
2735-7							d a Ø i i a									
3031-7							d ɛ g ɛ									
4591-7							t Ø l u									
5301-7							Ø Ø Ø u									
5605-7							t u Ø e i									
296-7							Ø a Ø Ø u									
463-7							d u Ø Ø u									
1432-7							t a g u									
1474-7							t ɔ Ø Ø Ø									
1788-7							s e Ø Ø									
2044-7							d u Ø Ø Ø									
2713-7							t Ø Ø Ø Ø Ø d ɛ l ɛ									
3425-7							Ø Ø									
4184-7							Ø i Ø Ø									
4423-7							d ɔ aː									
4629-7							Ø u Ø i u									
4759-7							Ø oː Ø Ø Ø									
4904-7							Ø Ø u Ø i u									
4960-7							Ø u Ø Ø d									
5059-7							g u l e									
5125-7							Ø Ø Ø Ø Ø									
5339-7							Ø a g u									
5549-7							t a w Ø a									
5771-7							Ø u g u Ø									
5905-7							t u Ø u									
5922-7							Ø u l Ø									
1-7							Ø Ø									
483-7							g s u									
667-7							ɛ w ɛ									
1542-7							Ø Ø u									
1683-7							s u Ø Ø									
1898-7							Ø u oː i									
2551-7							l u									
2901-7							t u Ø i Ø									
2957-7							Ø a Ø d u									
3048-7							Ø u Ø Ø									
3251-7							s a a									
3885-7							t Ø g a									
4402-7							j u									
5081-7							Ø u Ø Ø i i u									
5622-7							Ø Ø i i l Ø Ø									
6006-7							Ø e u									
43-7							s Ø r r									
135-7							t u Ø d u									
158-7							Ø i ɔ s u									
194-7							Ø Ø Ø									
221-7							ɛ s u									
650-7							Ø Ø s u									
1152-7							t u w ɛ									
1374-7							k Ø Ø Ø Ø									
1452-7							g Ø l a									
1862-7							u dʒ u									
2083-7							k a Ø u									
2108-7							Ø a Ø Ø Ø									
2880-7							k u Ø Ø Ø Ø u									
2924-7							Ø Ø Ø Ø									
2941-7							Ø u Ø u									
3113-7							t Ø g Ø									
3136-7							Ø a l a									
3405-7							i ɛ Ø Ø i									
3572-7							Ø ɛ r e									
3751-7							Ø Ø m									
3959-7							t Ø Ø u									
4066-7							g Ø Ø									
4535-7							t u g Ø									
5180-7							s ɛ Ø Ø u									
5583-7							t a r̃ g u									
5981-7							a a									
25-7							a r Ø t ɛ g ɛ									
114-7							d ɔː Ø d									
702-7							Ø g Ø Ø u Ø Ø									
872-7							Ø Ø Ø Ø									
1941-7							k u m u									
2179-7							Ø d u									
2351-7							Ø a Ø a									
2496-7							Ø u Ø									
3588-7							k Ø l Ø									
4202-7							g e a e i i									
4609-7							k Ø l Ø Ø Ø									
4921-7							t a r̃ Ø i Ø									
408-7							Ø e Ø Ø u									
526-7							o o o a g a									
545-7							u g u									
978-7							t Ø Ø Ø									
999-7							j ɛ									
1052-7							Ø Ø Ø i u									
1070-7							Ø u g oː									
1942-7							Ø Ø									
2456-7							k Ø Ø Ø									
2514-7							d u t u									
2666-7							t u Ø u									
2817-7							a Ø g u									
3300-7							ɛ w Ø									
3977-7							i r̃ o Ø Ø u									
3978-7							Ø e Ø Ø u									
4039-7							d o Ø									
4152-7							k u Ø Ø									
4260-7							ɔ Ø Ø u									
4278-7							k u Ø Ø u									
4648-7							Ø e									
715-8								Ø Ø Ø ɔ								
1089-8								Ø Ø Ø Ø								
1319-8								Ø ɔ ɔ Ø								
1398-8								s Ø Ø Ø Ø Ø								
1557-8								Ø i r̃ Ø								
1626-8								Ø Ø Ø Ø								
1840-8								Ø Ø n Ø								
2247-8								Ø Ø Ø								
4677-8								k Ø Ø Ø Ø								
5162-8								w̃ ɛ Ø Ø Ø								
5406-8								Ø Ø n Ø Ø								
359-8								Ø Ø r̃ i ɔ								
1577-8								Ø i r̃ Ø								
2196-8								n Ø Ø Ø								
2230-8								s i Ø i								
2533-8								Ø Ø l Ø								
3605-8								k Ø n Ø Ø								
3866-8								Ø ɛ Ø Ø								
4553-8								Ø Ø ɔ Ø ɔ Ø								
4822-8								k Ø w̃ Ø Ø								
