COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
5514-2		l ɛ m d ɛː														
5810-2		p i l ɛ														
93-2		d ɔ														
260-2		p i r e														
385-2		dʒ ɛ m b ɛ														
890-2		a m b iː r u														
1336-2		t e g e														
1703-2		b ɔː														
1769-2		t ɛ m b u														
2162-2		b ɛ r ɛ														
2635-2		s o														
2735-2		d a nː a														
3031-2		d ɛ g ɛ														
4591-2		tʃ ɛː r i														
5301-2		p ɛ r u														
5605-2		t i w̃ ɛ j̃														
296-2		dʒ a m b i														
463-2		d u m b u														
762-2		b a n a k uː														
1432-2		t a r iː														
1474-2		t u														
1788-2		s ĩː														
2044-2		d i m b eː														
2713-2		t ɛː m ɛ d ɛ r ɛ														
3219-2		p aː s a														
3425-2		j uː														
4184-2		ɲ ɛ j̃														
4629-2		n u w̃ ɔ														
4759-2		n iː j̃ i														
4904-2		n u w̃ ɔ														
4960-2		dʒ i nː aː dʒ o														
4980-2		t ɔ														
5059-2		g u r o														
5125-2		ɔ n dʒ i														
5339-2		p aː														
5549-2		t a w a														
5771-2		dʒ uː														
5905-2		t i r̃ u														
5938-2		a d u n ɔ														
1-2		p ɛ														
483-2		g e s u														
629-2		d ɔ														
667-2		ɛ w ɛ														
1254-2		s u r u														
1415-2		ɲ ɛ														
1542-2		n u														
1683-2		s ĩː														
1898-2		p u r̃ u j														
2551-2		r i														
2901-2		t u ŋ g u														
2957-2		m a n i														
3048-2		b i j e														
3251-2		b a r														
3885-2		d ɔ r ɔ														
715-3			d u j													
1089-3			n a													
1319-3			n ɛː													
1398-3			s u g u l e													
1557-3			g i r e													
1626-3			w a g i													
1840-3			t eː ŋ													
2247-3			g eː													
4677-3			k u l e w̃													
5162-3			m i l ɛ													
5406-3			t aː n d u													
359-3			k a r													
1577-3			g i r e													
2196-3			n a l e													
2533-3			b a nː e													
3866-3			ʔ o dʒ i													
4553-3			t aː g e													
5254-3			d i l ɔ													
503-3			g aː j e													
1881-3			n ɔː m ɔ													
2084-3			j aː f i													
2420-3			k u l ɛ													
3218-3			p u s u													
3372-3			n a m a													
3718-3			ʔ a r a													
2320-3			k a n u													
2476-3			k o													
3719-3			m i													
4460-3			s ɔː w̃													
5514-3			d ɛ n d ɛ													
890-3			ʔ a m iː r u													
1336-3			t ɛ g ɛ													
1703-3			b a w													
2162-3			b ɛː l ɛ													
2635-3			s e													
2735-3			d aː n a m a													
762-3			b a n a ŋ k u													
1788-3			s e													
2713-3			t ɛː m ɛ n d ɛ r ɛ													
3219-3			p u s u													
4629-3			n u ŋ ɛ													
4904-3			n u ŋ ɔ													
5125-3			b ɔ n dʒ ɛ													
5771-3			j u g u													
5938-3			ʔ a r n a													
1898-3			p u l o													
2901-3			k u n d e													
2957-3			m a n d e													
3048-3			b iː j e													
715-4				d eː												
1089-4				n aː												
1319-4				n ɔː												
1398-4				s u n												
1557-4				dʒ i r e												
1626-4				w a ɣ a												
1840-4				t i n												
2247-4				g oː												
4677-4				k u r o j												
5162-4				m i r̃ e												
5406-4				t aː n												
359-4				dʒ eː r u												
1577-4				dʒ i r e												
2196-4				n a r̃ a												
2230-4				s u g o												
2533-4				b a r a												
3605-4				k a n a												
3866-4				o dʒ u												
4553-4				t a g u												
4822-4				k u m o												
5254-4				d u r ɔ												
503-4				tʃ i r̃ e												
1356-4				m a j̃												
1881-4				n uː j̃												
2084-4				j aː f ɛ												
2420-4				k u r ɔ												
3218-4				p uː dʒ u												
3718-4				a r a												
4135-4				b a n												
4694-4				g u dʒ u												
807-4				k o m												
2320-4				k a ŋː ɛ												
2842-4				d i g u												
4313-4				n ɛ m												
4460-4				s u j̃												
5514-4				n ɛ n ɛ												
5810-4				p i r u												
93-4				d ɔː												
260-4				b ɛ r ɛ												
385-4				dʒ ɛ m ɛ n												
890-4				a m iː r̃ u												
1769-4				t ɛ m ɛ												
2162-4				b ɛ r ɛ												
2635-4				s o												
2735-4				d a n a												
3031-4				d ɛ g ɛ												
5301-4				p ɛ r u												
5605-4				t i w̃ e												
63-4				k a r a												
296-4				dʒ a m a												
463-4				d u m												
762-4				b a n a k ũː												
1432-4				t a r u												
1474-4				t ɔ ŋ												
2044-4				d i m e												
3219-4				p aː dʒ u												
4120-4				k o r o												
4184-4				ɲ aː												
4423-4				d ɔ r̃ ɔ												
4629-4				n u ŋ o												
4759-4				n iː												
4904-4				n u ŋ												
4960-4				dʒ i nː aː dʒ o												
4980-4				t ɔː												
5059-4				g u j̃ o												
5125-4				ɔ ɲ ɔ												
5549-4				t ɔ w ɔ												
5771-4				dʒ u g u												
5922-4				b i r ɛ												
1-4				p ɛ̃ː												
629-4				d ɛː												
667-4				ɛ w ɛ												
1254-4				dʒ a n d u r u												
1415-4				ɲ ɛː												
1542-4				n uː												
1683-4				s eː												
1898-4				p u r̃ o												
2551-4				r̃ a												
3251-4				p o r o												
3885-4				t ɛ r ɛ												
715-5					d u											
1089-5					n aː											
1319-5					n j ɛː											
1398-5					s u g u l i											
1557-5					g i r e											
1626-5					w a g u											
1840-5					t eː ŋ											
2247-5					gʷ eː											
4677-5					k u l e j̃											
5162-5					m iː n d ɛ											
5406-5					t aː n d i											
359-5					k a r a											
1577-5					g i r e											
2196-5					n a l e											
2230-5					s i g e											
3605-5					k a n d a											
3866-5					o dʒ i											
4553-5					t a g j eː											
4822-5					k u m b e											
5254-5					d u l ɔ											
1356-5					m a j e											
1881-5					n uː m o											
2084-5					j aː f i											
2420-5					k u l ɛ											
3218-5					p u dʒ u											
3372-5					n a m a											
3718-5					a r a											
4135-5					b u n u											
4694-5					g u dʒ u											
2476-5					k oː											
2842-5					d i g e											
3719-5					m i											
4081-5					t u m b j eː											
5514-5					n eː n d e											
260-5					p i dʒ i											
385-5					d ɛ m b ɛ											
890-5					a m i l i											
1703-5					b aː											
1769-5					t ɛ m b ɛ											
2735-5					d aː n a											
4591-5					t aː r e											
5301-5					p ɛː l u											
63-5					k a r a											
296-5					dʒ a m b a											
463-5					d u m b e											
762-5					b a l a k ũː											
1788-5					s iː											
3219-5					p a dʒ u											
4120-5					k o l o											
4759-5					n oː j e											
4960-5					g i nː aː d i											
5059-5					g j eː											
5549-5					t a b j eː											
5771-5					dʒ u g u											
5905-5					t eː											
5938-5					a r u n a											
1415-5					ɲ ɛː											
1542-5					nʷ ɛː											
1898-5					p u l u											
2551-5					r e											
2957-5					m a n d e											
3048-5					b iː j e											
715-6						d i										
1089-6						n ɛː										
1319-6						n ɛ										
1398-6						s u n uː										
1557-6						g i r e										
1626-6						w a g i										
1840-6						t eː ŋ										
2247-6						gʷ e										
4677-6						k u l e j										
5162-6						m i n ɛ										
5406-6						t aː n d iː										
359-6						g a l i										
1577-6						g i r o										
2196-6						n a l										
2230-6						s u g i										
2533-6						b a r										
3605-6						k a n d aː										
4553-6						t a g iː										
4822-6						k u m b u										
5254-6						d u l ɔː										
503-6						k i n a										
1356-6						m aː										
1881-6						n u m iː										
2084-6						j aː f ɛ										
2420-6						k u l ɛ										
3218-6						b u dʒ uː										
3372-6						n a m aː										
3718-6						a r a										
4135-6						b a n e										
4694-6						g u dʒ u										
807-6						k o m b iː										
2320-6						k a ŋː e										
2842-6						d i g i n										
3719-6						m										
4081-6						d a m b i										
4313-6						n ɛ m g o										
4460-6						sʷ ɛ j										
5514-6						n ɛ n d ɔː										
5810-6						p i l ɛ										
93-6						dʷ										
890-6						a m b i r i										
1336-6						t e g i										
1703-6						b aː										
4591-6						t ɛː r ɛ										
5605-6						t i m ɔː										
63-6						k a r aː										
296-6						dʒ a m b ɛ										
463-6						d u m b e										
762-6						b a n a ŋ k uː										
3425-6						j o										
4120-6						k o l oː										
4423-6						t u l ɛ										
4759-6						n o j										
4904-6						ŋ w a n aː										
4960-6						g i n e										
5125-6						o n dʒ i										
5339-6						p a g aː										
5771-6						dʒ u g i n										
5922-6						b i r ɔː										
5938-6						a d u n a										
483-6						g o dʒ i										
1542-6						ŋ w ɛ										
1683-6						s iː										
2551-6						r										
2957-6						m a n d i										
3048-6						b i j										
715-7							d uː j i									
1089-7							n a ŋ a									
1319-7							n ɔː									
1398-7							s u ŋ u r̃ i									
1557-7							g i r e									
1626-7							w a g a									
1840-7							t i r̃ i									
2247-7							g oː									
4677-7							k u r e									
5162-7							m i r̃ e									
5406-7							t aː n d iː									
359-7							g a r i									
1577-7							g i r e									
2196-7							n a r̃ a									
2230-7							s i g e									
2533-7							b aː r i									
3605-7							k a n d a									
3866-7							o s i									
4553-7							t a g a									
4822-7							k u m b o									
5254-7							d u r a									
503-7							k i r̃ a									
1356-7							m aː									
1881-7							n i m iː									
3372-7							n a m a									
3718-7							a r a									
4135-7							b a r̃ i									
4694-7							g u s i									
807-7							k o m b i									
2320-7							k a ŋ ɛ									
2476-7							k uː									
2842-7							d i g a									
3719-7							m i									
4081-7							d a m b i									
4313-7							n ɛː m i									
4460-7							s u j ɛ									
5514-7							n ɛ n d ɛ									
5810-7							p i r i									
93-7							d ɔː									
260-7							b e n d e									
385-7							dʒ ɛ m b ɛ									
890-7							a m b e r i									
1336-7							t e g e									
1703-7							b aː									
1769-7							t ɛ m b i									
2162-7							b ɛ r ɛ									
2635-7							s o									
2735-7							a n t aː r i									
3031-7							d ɛ g ɛ									
4591-7							k ɛː r i									
5301-7							p ɛː r u									
5605-7							t u m a									
296-7							dʒ a m b i									
463-7							d u m b i									
1432-7							t aː r i									
1474-7							t ɔ ŋ ɔ									
1788-7							s i r i									
2044-7							g i m b e									
2713-7							t ɛː m ɛ d e r ɛ									
3425-7							j uː									
4184-7							n a r̃ i									
4423-7							t u r ɔ									
4629-7							n u ŋ i									
4759-7							n i j̃ ɛ									
4904-7							n u ŋ a									
4960-7							g i n aː dʒ i									
5059-7							g u r o									
5125-7							ɔ n dʒ i									
5339-7							p a g a									
5549-7							t a w a									
5771-7							dʒ u g u									
5905-7							t i r̃ i									
5922-7							b i r a									
1-7							p ɛː									
483-7							g e s i									
667-7							ɛ w ɛ									
1542-7							n u j̃									
1683-7							s i j̃ ɛ									
1898-7							p u r̃ o									
2551-7							r i									
2901-7							t u ŋ i									
2957-7							m a n d i									
3048-7							b i j e									
3251-7							dʒ a r̃ a									
3885-7							d ɛ r̃ i									
715-8								d u								
1089-8								n aː								
1319-8								n ɛː								
1398-8								s u g u l j e								
1557-8								g i r e								
1626-8								w a g e								
1840-8								t eː ŋ								
2247-8								g uː								
4677-8								k u l eː n i								
5162-8								m i l ɛ								
5406-8								t aː n d i								
359-8								k a r a								
1577-8								g i r e								
2196-8								n a l e								
2230-8								s i g e								
2533-8								b a r g e								
3605-8								k a n d a								
3866-8								o dʒ u								
4553-8								t a dʒː e								
4822-8								k u m b e								
5254-8								d u l ɔ								
1881-8								n ɔː m								
2084-8								j aː f i								
2420-8								k u l ɛ								
3218-8								p u g u dʒ ã								
3372-8								n a m a								
3718-8								a r a								
4694-8								g u dʒ u								
2320-8								k a n								
2476-8								k oː								
2842-8								d i g i								
3719-8								m i								
4081-8								t u m b u								
4313-8								n ɛ m								
5514-8								n ɛ m d ɛ								
385-8								d ɛ m b ɛ								
1336-8								d e g e								
1769-8								t e m b e								
2735-8								d aː n a m a								
3031-8								d ɛ g ɛ								
4591-8								t aː r e								
5301-8								p ɛː l								
63-8								k a r a								
1788-8								s e								
2713-8								t ɛː m d ɛ r ɛ								
4120-8								k o l o								
4184-8								ɲ aː								
4759-8								n o e								
5059-8								g u j e								
5771-8								j u g u								
5938-8								a r n a								
629-8								d ɛː								
1415-8								ɲ ɛː								
1898-8								p u l o								
2551-8								r ɛ								
2957-8								m a n d e								
3048-8								b i j e								
715-9									d i							
1089-9									n a ŋ a							
1319-9									n ɛː							
1398-9									s u ŋ u r̃ u							
1557-9									g i r e							
1626-9									w a g a							
1840-9									t i r̃ i							
2247-9									g oː							
4677-9									k u r oː j							
5162-9									m i r̃ e							
5406-9									t aː l u							
359-9									g e r u							
1577-9									g i r e							
2196-9									n a r̃ a							
2230-9									s i g e							
2533-9									b a r a							
3605-9									k a l a							
3866-9									o s u							
4553-9									t a g u							
4822-9									k u m b o							
5254-9									d u r ɔ							
503-9									k i r̃ e							
1356-9									m a j̃							
1881-9									n u m iː							
2084-9									j aː p ɛ							
2420-9									k u r ɔ							
3218-9									p uː s u							
3372-9									n a w̃ a							
3718-9									a r u							
4135-9									b a r̃ u							
4694-9									g u s u							
807-9									k oː m							
2320-9									k a ŋ ɛ							
2476-9									k uː							
2842-9									d i g u							
4081-9									d a m b a							
4313-9									n ɛ m							
4460-9									s u j̃							
5810-9									p i r i							
93-9									d ɔː							
260-9									b ɛ r ɛ							
385-9									g ɛ m b ɛ							
890-9									a m i r u							
1336-9									t e g e							
1703-9									b aː							
1769-9									t ɛ m b ɛ							
2162-9									b ɛ r ɛ							
2635-9									s o							
2735-9									d a nː ɛ							
3031-9									d ɛ g ɛ							
4591-9									t oː r o							
5301-9									p ɛ r u							
5605-9									t i w̃ ɛ							
63-9									k a r a							
296-9									dʒ a m b a							
463-9									d u m b u							
762-9									b a n a k u r u							
1432-9									t a r u							
1474-9									t ɔ							
1788-9									ʃ ĩː							
2044-9									d i m b e							
2713-9									t ɛː m d ɛ r ɛ							
3219-9									p aː s a							
3425-9									j uː							
4120-9									k o r o							
4184-9									ɲ ɛː							
4423-9									d ɔ r̃ ɔ							
4629-9									n u ŋ g ɔ							
4759-9									n i j̃ e							
4904-9									n u ŋ g ɔ							
4960-9									g i nː aː dʒ o							
4980-9									t ɔː							
5059-9									g u j̃ o							
5125-9									ɔ n dʒ ɔ							
5339-9									p a g a							
5549-9									t a w a							
5771-9									dʒ u g u							
5905-9									t i r̃ i							
5922-9									b i r ɛ							
1-9									p ɛː							
483-9									g e s u							
629-9									d ɛː							
667-9									ɛ w ɛ							
1254-9									dʒ a m d u r u							
1415-9									ɲ ɛː							
1542-9									n ɔː							
1683-9									ʃ i j e							
1898-9									p u r̃ o							
2551-9									r o							
2901-9									t u ŋ g u							
3251-9									b a r a							
3885-9									d ɔ r ɔ							
715-10										d i						
1089-10										n aː						
1319-10										ɲ ɛ						
1398-10										s u r̃ o						
1557-10										g i r e						
1626-10										w a g a						
1840-10										t i n eː						
2247-10										g o						
4677-10										k u l e						
5162-10										m i n ɛ						
5406-10										t aː n d u						
359-10										g a l ɛː						
1577-10										g i r e						
2230-10										s u g o						
2533-10										b a r a						
3605-10										k a n d a						
3866-10										o d u						
4822-10										k u m b o						
5254-10										d u l aː						
503-10										tʃ i n aː						
1356-10										m a ɛ̃						
1881-10										n u m						
2084-10										j aː b i						
2420-10										g u l a						
3218-10										p u d u						
3372-10										n a m a						
4135-10										b a r̃ ɛː						
4694-10										g u d u g o						
807-10										g o						
2320-10										k a ɲ a						
2476-10										k u g ɔ						
2842-10										d i g u						
3719-10										m						
4081-10										d a m b i						
4313-10										n e m e						
4460-10										s ɔ						
5514-10										n ɛ n d ɛ						
5810-10										p i l ɛː						
93-10										d ɔ						
260-10										b ɛ r aː						
385-10										z ɛ m b ɛ						
890-10										a m b i r i						
1336-10										t e g e						
1703-10										b a						
1769-10										t ɛ m b i						
2162-10										b ɛː						
2635-10										s o						
2735-10										d a n d a						
3031-10										d ɛ g ɛ						
4591-10										t a g a						
5301-10										p ɛ l u						
5605-10										t i m aː						
63-10										k a r a						
296-10										z a m b i						
463-10										d u m b eː						
762-10										b a r̃ a k ũː						
1432-10										t a l ɛ						
1474-10										t ɔ						
2044-10										d i m b e						
2713-10										t ɛː m d ɛ r ɛ						
3219-10										p aː d u						
3425-10										j ɔ						
4120-10										k oː						
4423-10										d o r̃ ɔ						
4629-10										n u ŋ u						
4759-10										n iː						
4904-10										n u ŋ aː						
4960-10										dʒ i nː aː dʒ e						
4980-10										t ɔ						
5059-10										g u ɲ o						
5125-10										o n d o						
5339-10										p a g a						
5549-10										t a b a						
5905-10										t i n ɛː						
5922-10										b i r aː						
5938-10										a d u n o						
1-10										p ɛ						
483-10										g o d u						
629-10										t o n						
667-10										ɛ b ɛ						
1254-10										z a m d i l e						
1415-10										ɲ ɛ						
1542-10										n ɔː						
1683-10										s eː						
1898-10										p u r̃ o						
2551-10										r i						
2901-10										t u n dʒ iː						
2957-10										m a n d i						
3048-10										b e						
3251-10										s a r̃ a						
3885-10										d ɛ g ɛ						
715-11											d u					
1089-11											n aː					
1319-11											ɲ ɔː					
1398-11											s u ŋ u n u					
1557-11											dʒ i r o					
1626-11											w a g a					
1840-11											t eː ŋ					
2247-11											g oː					
4677-11											k u l e j̃					
5162-11											m i n o					
5406-11											t aː n d i					
1577-11											dʒ i r o					
2196-11											n a l o					
2230-11											s i g o					
2533-11											b a r o					
3605-11											k a n d a					
3866-11											o dʒ i					
4553-11											t aː ŋ g e					
4822-11											k u m u					
5254-11											d i l ɔ					
503-11											k i n a					
1356-11											m a j̃					
1881-11											n uː					
2084-11											j aː p i					
2420-11											k u l ɛ					
3218-11											p u s					
3372-11											n a m a					
3718-11											a r a					
4135-11											b u n i					
807-11											k o w̃					
2320-11											k a ŋː ɛ					
2476-11											k o g o					
2842-11											d i g i					
3719-11											m					
4081-11											d a m b o					
4313-11											n ɛ w̃					
4460-11											s ɔː j					
5514-11											n ɛː n d ɛ					
5810-11											p u l ɛ					
260-11											p i n d i					
890-11											a m i r i					
1336-11											d e g o					
1703-11											b aː					
2735-11											t aː n i					
4591-11											t aː r o					
63-11											k a r a					
463-11											d u m b u					
762-11											b a n a ŋ k uː					
1788-11											s e					
2713-11											t ɛː m d ɛ r ɛ					
3425-11											j o					
4120-11											k o l o					
4184-11											ɲ ɔː					
4423-11											t u l ɔ					
4759-11											n o j o					
4980-11											t ɔː					
5125-11											o n dʒ o					
5339-11											p a g a					
5549-11											t a w o					
5771-11											j u g u					
5938-11											a d u n a					
1415-11											ɲ ɔː					
1542-11											n ɔː					
1683-11											s i j o					
2957-11											m a n d o					
3048-11											b i					
715-12												d u				
1089-12												n a ʔ a				
1319-12												n ɔː				
1398-12												s u g u r u				
1557-12												g i r e				
1626-12												w a g a				
1840-12												t i				
2247-12												g oː				
4677-12												k u r eː				
5162-12												m i r̃ i				
5406-12												t aː n				
359-12												k a g a				
1577-12												g i r e				
2196-12												n a r̃ a				
2230-12												s u g o				
2533-12												b a r a				
3605-12												k a n a				
3866-12												o dʒ u				
4553-12												t a g a				
4822-12												k u m o				
5254-12												d u r ɔ				
503-12												k i r̃ i				
1356-12												m a				
2084-12												j aː p i				
2420-12												k u r ɔ				
3218-12												p uː dʒ u				
3718-12												a r a				
4135-12												b ã				
4694-12												g u dʒ u				
807-12												k ɔː m ɔ				
2320-12												k a ŋ ɛː				
2476-12												k ũ				
3719-12												m̩				
4460-12												s ɔː				
5514-12												n ɛ n ɛ				
5810-12												p i r i				
93-12												d ɔː				
385-12												dʒ ɛ m ɛ				
890-12												a m i r̃ i				
1769-12												t ɛ m ɛ				
2162-12												b ɛ r ɛ				
2635-12												s ɔ̃				
3031-12												d ɛ g ɛ				
4591-12												t oː r u				
5301-12												p ɛ r u				
5605-12												t i m ɛ				
63-12												k a r a				
296-12												dʒ a m a				
463-12												d u m u				
762-12												b a n a k uː				
1432-12												t a r u				
1474-12												t ɔ				
2044-12												d i m e				
2713-12												t ɛ m d ɛ r ɛ				
3219-12												p aː dʒ u				
4120-12												k o r o				
4184-12												ɲ aː				
4423-12												d ɔ r̃ ɔ				
4629-12												n u ŋ ɔ				
4904-12												n u ŋ u				
4960-12												dʒ i n aː dʒ u				
4980-12												d iː				
5125-12												ɔ ɲ ɔ				
5549-12												t ɔ w ɔ				
5771-12												dʒ u g u				
5905-12												t i				
5922-12												b i r ɛ				
1-12												p ɛ̃ː				
629-12												t ɛː r i				
667-12												ɛ w ɛ				
1254-12												dʒ ɔ̃ t u r u				
1415-12												ɲ iː				
2551-12												r̃ u				
2901-12												t u ŋ iː				
3885-12												t ɛ r ɛ				
715-13													d u j i			
1089-13													n a a			
1319-13													n ɔː			
1398-13													s u g u l u			
1557-13													g i r e			
1626-13													w a g e			
1840-13													t i n u			
2247-13													g o o			
4677-13													k u l o j			
5162-13													m i n ɛ			
5406-13													t aː n d u			
359-13													g a l a			
1577-13													g i r e			
2196-13													n a l a			
2230-13													s u g o			
2533-13													b a r a			
3605-13													k a n d a			
3866-13													o d u			
4553-13													t a g a			
4822-13													k u mː ɔ			
5254-13													d u l ɔ			
503-13													k i j e			
1356-13													m aː			
2084-13													j a a b a			
2420-13													k u l o			
3218-13													b u u d u			
3372-13													n a m a			
3718-13													a r a			
4135-13													b a n u			
4694-13													g u d u			
807-13													k ɔ mː ɔ			
2320-13													k a ŋ e			
2476-13													k uː			
2842-13													d i g u			
3719-13													m ɔ			
4081-13													d a m b a			
4313-13													n ɛ m			
4460-13													s ɔ j			
5514-13													n iː n d ɛ			
5810-13													p i l u			
93-13													d ɔː			
260-13													b ɛ r ɛ			
385-13													dʒ ɛ mː ɛ			
1336-13													t e g e			
1703-13													b aː			
1769-13													t ɛ m b ɛ			
2162-13													b ɛ l ɛ			
2635-13													s o			
3031-13													d ɛ g ɛ			
4591-13													t aː r a			
5301-13													p ɛ l u			
5605-13													t i m ɛ			
63-13													k a r u			
762-13													b a n a n k u			
1432-13													t a l u			
1474-13													t ɔ n			
1788-13													s a			
2044-13													d i mː u			
2713-13													t ɛ m i n d ɛ			
3219-13													b aː d u			
3425-13													j uː			
4120-13													k o l o			
4184-13													ɲ̍ ɲ ɛ			
4423-13													d ɔ n ɔ			
4629-13													n u j ɔ			
4980-13													t ɔː			
5059-13													g u j̃ ɔ			
5125-13													ɔ n dʒ ɔ			
5339-13													p a g a			
5905-13													t i n u			
5922-13													b i r ɛ			
5938-13													a d u n i j aː			
1-13													p ɛ̃ː			
483-13													g o d u			
667-13													ɛ b ɛ			
1254-13													dʒ a n d u l u			
1415-13													n̩ j ɛ			
1683-13													s i j e			
2901-13													t u ŋ i			
3251-13													s a n a			
3885-13													t ɛ r ɛ			
715-14														d i		
1089-14														n a ŋ a		
1319-14														n i		
1398-14														s u g u r u		
1557-14														dʒ i r o		
1626-14														w aː g a		
1840-14														t i r̃ u		
2247-14														g u		
4677-14														k u r e j		
5162-14														m i r u		
5406-14														t aː l i		
359-14														g o l u		
2196-14														l a r a		
2230-14														s i g u		
2533-14														b a r u		
3605-14														k a l a		
3866-14														o s u		
4553-14														t a g u		
4822-14														k u m o		
503-14														tʃ i r a		
1356-14														m a j̃		
1881-14														n uː j		
2084-14														j aː f a		
2420-14														k u r ɔ		
3372-14														n a w̃ a		
3718-14														a r u		
4135-14														b a r̃ u		
4694-14														g u s u		
807-14														g oː		
2476-14														k u		
2842-14														d i g u		
3719-14														m		
4081-14														d a m		
4313-14														n ɛ ŋ		
4460-14														s o j̃		
5810-14														p i r u		
93-14														d ɔ		
260-14														b e t e		
385-14														z ɛ m a		
1703-14														b a		
2162-14														b ɛ r u		
2635-14														s o		
2735-14														d a n a		
3031-14														d ɛ g u		
5301-14														p ɛː r u		
5605-14														t i w̃ a		
296-14														z a m u		
1432-14														t a r u		
1474-14														t u ŋ o		
1788-14														i r̃ u		
2044-14														d i m o		
3425-14														j u		
4184-14														n o j̃		
4423-14														d ɔ r u		
4629-14														n u ŋ u		
4904-14														n u ŋ ɔ		
4980-14														t u		
5059-14														g u j̃ o		
5339-14														p a g a		
5905-14														t i r̃ u		
5922-14														b i r a		
5938-14														a d u n aː r̃ u		
483-14														g u s u		
629-14														d ɔ		
1254-14														z a n d u r u		
1898-14														p u r o		
3251-14														j̃ a r̃ a		
715-15															d i	
1089-15															n aː	
1319-15															n i j̃ ɛ	
1398-15															s u n	
1557-15															g i d i	
1626-15															w a dʒ u	
1840-15															t eː	
2247-15															g o	
4677-15															k u l e	
5162-15															m i r̃ ɛ	
5406-15															t aː n d u	
359-15															g a l	
1577-15															g i d e	
2196-15															l a l	
2230-15															s u w o	
2533-15															b a d u	
3605-15															k a n d a	
3866-15															o z u	
4553-15															t a dʒ u	
4822-15															k u m o	
5254-15															d u l ɔ	
503-15															k i r̃ a	
1356-15															m a j̃	
1881-15															n u m	
2084-15															j aː b ɛ	
2420-15															k u l a	
3218-15															p uː z u	
3372-15															n a m a	
4135-15															b a n	
4694-15															g u z u	
807-15															k o m	
2842-15															d i g u	
3719-15															m ɔ	
4081-15															d a m b u	
4313-15															n ɛ m	
5514-15															n ɛ m d a	
5810-15															p i l ɛ	
