COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
4313-2		n i														
4460-2		s u														
5514-2																
5810-2		d oː														
93-2		k u														
260-2																
385-2																
890-2																
1336-2																
1703-2		b ɛ														
1769-2																
2162-2		i r i														
2635-2		s u														
2735-2																
3031-2		d oː														
4591-2																
5301-2		k u														
5605-2																
296-2																
463-2		d u														
762-2																
1432-2		b i														
1474-2		s a														
1788-2		n i														
2044-2																
2713-2																
3219-2																
3425-2		j e														
4184-2		n i														
4629-2																
4759-2		n i														
4904-2		b ɛ n i														
4960-2																
4980-2		s a														
5059-2		k u														
5125-2		k o r ɔ														
5339-2		n aː														
5549-2																
5771-2																
5905-2		n i														
5938-2																
1-2		s a														
483-2																
629-2		k u														
667-2		ɛ w														
1254-2																
1415-2		n i														
1542-2		n u														
1683-2		s i														
1898-2																
2551-2		i r̃ a														
2901-2																
2957-2																
3048-2		j u														
3251-2																
3885-2		d oː														
715-3			t a													
1089-3			n i													
1319-3			n i													
1398-3			n eː w̃													
1557-3																
1626-3			b a													
1840-3			j ɛ													
2247-3			t a													
4677-3																
5162-3																
5406-3			n eː													
359-3			g													
1577-3																
2196-3			k u l ɛ													
2533-3			g i m ɛ													
3866-3			t a													
4553-3			t a													
5254-3																
503-3			k a ɛ													
1881-3			n i													
2084-3																
2420-3			t a													
3218-3			p a n i													
3372-3																
3718-3			t a													
2320-3			j a n i													
2476-3			t a													
3719-3			n u m ɛ													
4460-3			n i													
5514-3																
890-3																
1336-3																
1703-3			t a													
2162-3			k n u u													
2635-3			n i													
2735-3																
762-3																
1788-3			s e													
2713-3																
3219-3																
4629-3																
4904-3			n eː													
5125-3			k u m ɛ													
5771-3			b a													
5938-3																
1898-3																
2901-3																
2957-3																
3048-3			g e													
715-4				d u												
1089-4				n a												
1319-4				n a												
1398-4				dʒ u												
1557-4																
1626-4				g a m												
1840-4				t e e												
2247-4				n u m												
4677-4																
5162-4																
5406-4				n aː												
359-4				n a												
1577-4																
2196-4				n u												
2230-4				d ɔ j̃												
2533-4				n u												
3605-4																
3866-4				dʒ u												
4553-4				t e g u												
4822-4																
5254-4																
503-4				b i												
1356-4				n u m												
1881-4				n u m												
2084-4																
2420-4				d u ŋ o												
3218-4				g u m												
3718-4				n aː												
4135-4				a n												
4694-4																
807-4				k ɔ												
2320-4				g u												
2842-4																
4313-4				n ɛ												
4460-4				n u m												
5514-4																
5810-4				iː i l												
93-4				k ɔ r ɔ												
260-4																
385-4																
890-4																
1769-4																
2162-4				a r u												
2635-4				dʒ u												
2735-4																
3031-4				g ɔ j̃												
5301-4				g u												
5605-4																
63-4																
296-4																
463-4																
762-4																
1432-4				n a												
1474-4				t ɛ m												
2044-4																
3219-4																
4120-4				a r u												
4184-4				n ɛ												
4423-4																
4629-4																
4759-4				g u												
4904-4																
4960-4																
4980-4				g u n												
5059-4				aː b												
5125-4				m ɔ w̃ ɔ												
5549-4																
5771-4				g u n												
5922-4																
1-4				t e g u												
629-4				k ɔ												
667-4				ɛ ɛ												
1254-4																
1415-4				g u												
1542-4				n u												
1683-4				g ɔ												
1898-4																
2551-4				iː dʒ u												
3251-4				b a n a												
3885-4				d ɔ r ɔ												
715-5					j ɛː											
1089-5					n ɛː											
1319-5					j ɛː											
1398-5					b u n i											
1557-5																
1626-5					b u n											
1840-5					j ɛː											
2247-5					g e											
4677-5																
5162-5																
5406-5					g g g g u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u											
359-5					k a l a											
1577-5																
2196-5					g i n d a											
2230-5					k n u n											
3605-5																
3866-5					k a n i											
4553-5					b u n i											
4822-5																
5254-5																
1356-5					j ɛː											
1881-5					n ɔː											
2084-5																
2420-5					k n u u											
3218-5					b u r u											
3372-5																
3718-5					k a n i											
4135-5					k a n i											
4694-5																
2476-5					k a n i											
2842-5																
3719-5					j ɛː											
4081-5					k a											
5514-5																
260-5																
385-5																
890-5																
1703-5					j ɛː											
1769-5																
2735-5																
4591-5																
5301-5					b e l e											
63-5																
296-5																
463-5					g g g g u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u											
762-5																
1788-5					j ɛː											
3219-5																
4120-5					b a											
4759-5					i n d a											
4960-5																
5059-5					g g e											
5549-5																
5771-5					b u n											
5905-5					n i											
5938-5																
1415-5					j ɛː											
1542-5					g ɔ̃ː											
1898-5																
2551-5					g g u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u											
2957-5																
3048-5					j ɛː											
715-6						j ɛ										
1089-6						j ɛ										
1319-6						j ɛ										
1398-6						d a j										
1557-6																
1626-6						j										
1840-6						j ɛ										
2247-6						j ɛ										
4677-6																
5162-6																
5406-6						m a										
359-6						j ɛ										
1577-6																
2196-6						b i b i										
2230-6						b e dʒ i										
2533-6																
3605-6																
4553-6						j										
4822-6																
5254-6																
503-6						b e n d e										
1356-6						j ɛ										
1881-6						n oː										
2084-6																
2420-6						j ɛ										
3218-6						b i n d i										
3372-6																
3718-6						j ɛ										
4135-6						k a n										
4694-6																
807-6						j ɛ										
2320-6						j										
2842-6																
3719-6						j ɛ										
4081-6						g aː										
4313-6						j ɛ										
4460-6						j ɛ										
5514-6																
5810-6						m a l ɔː										
93-6						j ɛ										
890-6																
1336-6																
1703-6						j ɛ										
4591-6																
5605-6																
63-6																
296-6																
463-6						d n u										
762-6																
3425-6						j ɛ										
4120-6						j ɛ										
4423-6																
4759-6						n i										
4904-6						n i										
4960-6																
5125-6						n i										
5339-6						j										
5771-6						dʒ i n dʒ i										
5922-6																
5938-6																
483-6																
1542-6						j ɛ										
1683-6						j ɛ										
2551-6						j ɛ										
2957-6																
3048-6						e g a										
715-7							n̩ d i									
1089-7							n aː									
1319-7							n dʒ i									
1398-7							s i s i									
1557-7																
1626-7							g aː									
1840-7							n̩ d i									
2247-7							g o									
4677-7																
5162-7																
5406-7							j a r i									
359-7							k a j̃									
1577-7																
2196-7							j e									
2230-7							i s i									
2533-7							b ɛ g ɔ									
3605-7																
3866-7							i s i									
4553-7							t aː									
4822-7																
5254-7																
503-7							k i g i									
1356-7							j a									
1881-7							i s i									
3372-7																
3718-7							t a r i									
4135-7							a s i									
4694-7																
807-7							k ɔ r ɔ									
2320-7							j									
2476-7							k a									
2842-7																
3719-7							b i									
4081-7							g a r ɔ									
4313-7							b ɛ									
4460-7							j a									
5514-7																
5810-7							g o r i									
93-7							j a									
260-7																
385-7																
890-7																
1336-7																
1703-7							b ɛ									
1769-7																
2162-7							b ɛ									
2635-7							s u s i									
2735-7																
3031-7							b iː									
4591-7																
5301-7							g n dʒ									
5605-7																
296-7																
463-7							d u r o									
1432-7							j e									
1474-7							k ɔ r ɔ									
1788-7							s i									
2044-7																
2713-7																
3425-7							j a									
4184-7							b ɛ									
4423-7																
4629-7																
4759-7							i s i									
4904-7							b aː r ɛ									
4960-7																
5059-7							b ɛ									
5125-7							g a r i									
5339-7							j a									
5549-7																
5771-7							d eː r i									
5905-7							b iː									
5922-7																
1-7							k ɛ r ɛ									
483-7																
667-7							b ɛ									
1542-7							n u j̃									
1683-7							s i									
1898-7																
2551-7							i r i									
2901-7																
2957-7																
3048-7							b i s i									
3251-7							b a									
3885-7							d o									
715-8								g ɔ								
1089-8								n o								
1319-8								g ɔ								
1398-8								k a n a								
1557-8																
1626-8								e u n o								
1840-8								j eː								
2247-8								g ɛ								
4677-8																
5162-8																
5406-8								k r dʒ dʒ u								
359-8								k a b a								
1577-8																
2196-8								k ɔː n dʒ i								
2230-8								g a								
2533-8								a n dʒ i								
3605-8																
3866-8								g ɔ								
4553-8								g ɛ								
4822-8																
5254-8																
1881-8								g ɛ								
2084-8																
2420-8								g a								
3218-8								m ɔː								
3372-8																
3718-8								g ɔ								
4694-8																
2320-8																
2476-8								g ɔ								
2842-8																
3719-8								j ɛ								
4081-8								g ɔ								
4313-8								g ɛ								
5514-8																
385-8																
1336-8																
1769-8																
2735-8																
3031-8								g ɔ r								
4591-8																
5301-8								g ãː								
63-8																
1788-8								g ɔ								
2713-8																
4120-8								g								
4184-8								g ɔ								
4759-8								k r dʒ dʒ								
5059-8								g ãː								
5771-8								g a								
5938-8																
629-8								g ɛ								
1415-8								g ɛ								
1898-8																
2551-8								g ɔ								
2957-8																
3048-8								j ɔ̀:								
715-9									d u							
1089-9									n a							
1319-9									n aː							
1398-9									d u s u							
1557-9																
1626-9									b ɛ l a							
1840-9									j e							
2247-9									s u							
4677-9																
5162-9																
5406-9									n aː							
359-9									b a							
1577-9																
2196-9									j e							
2230-9									s i							
2533-9									j e							
3605-9																
3866-9									s u							
4553-9									n iː							
4822-9																
5254-9																
503-9									b e							
1356-9									a m							
1881-9									n u w̃ o							
2084-9																
2420-9									d u							
3218-9									d u ŋ							
3372-9																
3718-9									a r̃ a							
4135-9									a r̃ a							
4694-9																
807-9									k u							
2320-9									dʒ a							
2476-9									k u							
2842-9																
4081-9									a							
4313-9									j e							
4460-9									s u ŋ							
5810-9									b e r i							
93-9									k ɔ r ɔ							
260-9																
385-9																
890-9																
1336-9																
1703-9									b ɛ							
1769-9																
2162-9									g ɔ							
2635-9									s u							
2735-9																
3031-9									d u							
4591-9																
5301-9									j e							
5605-9																
63-9																
296-9																
463-9									d u							
762-9																
1432-9									g eː s u							
1474-9									t e g u							
1788-9									s u							
2044-9																
2713-9																
3219-9																
3425-9									j e							
4120-9									k u r u							
4184-9									n aː							
4423-9																
4629-9																
4759-9									n aː							
4904-9									n u							
4960-9																
4980-9									j e							
5059-9									g a u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u u i r							
5125-9									ɔ g ɔ							
5339-9									g ɔ r u							
5549-9																
5771-9									b a l o							
5905-9									t e							
5922-9																
1-9									k i r i							
483-9																
629-9									d ɔ j̃ ɔ							
667-9									ɛ w ɛ							
1254-9																
1415-9									ɔ w ɛ							
1542-9									n u							
1683-9									s u							
1898-9																
2551-9									o r u							
2901-9																
3251-9									b a							
3885-9									d i r e							
715-10										p e						
1089-10										n a						
1319-10										n ɔ						
1398-10										d u						
1557-10																
1626-10										d ɔ r ɔ						
1840-10										ɛ l						
2247-10										g ɔ						
4677-10																
5162-10																
5406-10										n ɛ						
359-10										b u						
1577-10																
2230-10										gʷ i						
2533-10										b a n						
3605-10																
3866-10										g u d u						
4822-10																
5254-10																
503-10										b e						
1356-10										j a						
1881-10										i n d						
2084-10																
2420-10										d o						
3218-10										g u i						
3372-10																
4135-10										b a r a						
4694-10																
807-10										k u l a						
2320-10										g i n d						
2476-10										j a						
2842-10																
3719-10										n u						
4081-10										a r̃ a						
4313-10										n a						
4460-10										g u d u						
5514-10																
5810-10										b ɛ						
93-10										g ɛː						
260-10																
385-10																
890-10																
1336-10																
1703-10										g u						
1769-10																
2162-10																
2635-10										g o						
2735-10																
3031-10										d u						
4591-10																
5301-10										i n d						
5605-10																
63-10																
296-10																
463-10										g u d u						
762-10																
1432-10										g o l e						
1474-10										g o						
2044-10																
2713-10																
3219-10																
3425-10										j a						
4120-10																
4423-10																
4629-10																
4759-10										b e						
4904-10										g u l a						
4960-10																
4980-10										t e						
5059-10										b e						
5125-10										g ɔ ãː						
5339-10										g a p a						
5549-10																
5905-10										ɛ l						
5922-10																
5938-10																
1-10										t e						
483-10																
629-10										g ɔ r ɔ						
667-10										p ɛ						
1254-10																
1415-10										g e						
1542-10										g o						
1683-10										d ɔ						
1898-10																
2551-10										j a						
2901-10																
2957-10																
3048-10										b i n e						
3251-10										a r a						
3885-10										g o						
715-11											j o					
1089-11											n i					
1319-11											j o					
1398-11											n a n					
1557-11																
1626-11											j o					
1840-11											j o					
2247-11											j o					
4677-11																
5162-11																
5406-11											b a					
1577-11																
2196-11											a n					
2230-11											j o					
2533-11											d a dʒ o					
3605-11																
3866-11											j o					
4553-11											j o					
4822-11																
5254-11																
503-11											b a					
1356-11											t a					
1881-11											d a					
2084-11																
2420-11											j o					
3218-11																
3372-11																
3718-11											j o					
4135-11											n a					
807-11											t a					
2320-11											b a a					
2476-11											j o					
2842-11																
3719-11											j o					
4081-11											b a					
4313-11											j o					
4460-11											b a					
5514-11																
5810-11											b a					
260-11																
890-11																
1336-11																
1703-11											j o					
2735-11																
4591-11																
63-11																
463-11											b a					
762-11																
1788-11											j o					
2713-11																
3425-11											j o					
4120-11											k a l e					
4184-11											j o					
4423-11																
4759-11											n i					
4980-11											j o					
5125-11											b a					
5339-11											j o					
5549-11																
5771-11											j o					
5938-11																
1415-11											j o					
1542-11											n d o					
1683-11											j o					
2957-11																
3048-11											j o					
715-12												d e				
1089-12												b a				
1319-12												k i				
1398-12												d u g u				
1557-12																
1626-12												b a n ɛ				
1840-12												b a aː				
2247-12												b ɛ				
4677-12																
5162-12																
5406-12												t aː				
359-12												n u r̃				
1577-12																
2196-12												k a				
2230-12												s a b ɛ				
2533-12												g a n a				
3605-12																
3866-12												k i				
4553-12												b a				
4822-12																
5254-12																
503-12												a r a				
1356-12												a n a				
2084-12																
2420-12												k aː				
3218-12												k k u u				
3718-12												a r a				
4135-12												b a n a				
4694-12																
807-12												k u				
2320-12												dʒ i				
2476-12												k i				
3719-12												k i				
4460-12												d u				
5514-12																
5810-12												dʒ e r i				
93-12												d u				
385-12																
890-12																
1769-12																
2162-12												d u				
2635-12												s ɛ				
3031-12												i r i				
4591-12																
5301-12												dʒ i				
5605-12																
63-12																
296-12																
463-12												d u				
762-12																
1432-12												d e				
1474-12												b a				
2044-12																
2713-12																
3219-12																
4120-12												b aː				
4184-12												b ɛ				
4423-12																
4629-12																
4904-12												m a n u				
4960-12																
4980-12												k u				
5125-12												b ɔ w ɔ				
5549-12																
5771-12												b ɛ				
5905-12												b a aː				
5922-12																
1-12												k u				
629-12												k i				
667-12												ɛ ɛ				
1254-12																
1415-12												b ɛ				
2551-12												s a n a				
2901-12																
3885-12												k u				
715-13													j ɛ			
1089-13													j ɛ			
1319-13													j ɛ			
1398-13													s a			
1557-13																
1626-13													a n a			
1840-13													j ɛ			
2247-13													j ɛ			
4677-13																
5162-13																
5406-13													n a a			
359-13													k a n a			
1577-13																
2196-13													i n u			
2230-13													b i d u			
2533-13													a b a			
3605-13																
3866-13													j ɛ			
4553-13													j ɛ			
4822-13																
5254-13																
503-13													iː			
1356-13													a n a			
2084-13																
2420-13													b i l u			
3218-13													b ɛ			
3372-13																
3718-13													a n a			
4135-13													a n a			
4694-13																
807-13													b o o			
2320-13													b i n u			
2476-13													j ɛ			
2842-13																
3719-13													j ɛ			
4081-13													a d a			
4313-13													j ɛ			
4460-13													j ɔ			
5514-13																
5810-13													i l i			
93-13													j ɛ			
260-13																
385-13																
1336-13																
1703-13													j ɛ			
1769-13																
2162-13													b u u			
2635-13													j e			
3031-13													d ɛ			
4591-13																
5301-13													b i l o			
5605-13																
63-13																
762-13																
1432-13													d o l u			
1474-13													b ɛ			
1788-13													j ɛ			
2044-13																
2713-13																
3219-13																
3425-13													j ɛ			
4120-13													g u			
4184-13													j ɛ			
4423-13																
4629-13																
4980-13													j ɛ			
5059-13													g u			
5125-13													ɔ g ɔ			
5339-13													d ɛ			
5905-13													b ɛ			
5922-13																
5938-13																
1-13													j e			
483-13																
667-13													j ɛ			
1254-13																
1415-13													j ɛ			
1683-13													j e			
2901-13																
3251-13													a n a			
3885-13													j e			
715-14														n a		
1089-14														n a		
1319-14														k a		
1398-14														d u s u		
1557-14																
1626-14														g e g u		
1840-14														k a		
2247-14														n a		
4677-14																
5162-14																
5406-14														k a		
359-14														k a		
2196-14														k a		
2230-14														i r o		
2533-14														a a		
3605-14																
3866-14														t u s u		
4553-14														d u s u		
4822-14																
503-14														b ɛ r u		
1356-14														k a		
1881-14														g u		
2084-14																
2420-14														k u r u		
3372-14																
3718-14														n a		
4135-14														n a		
4694-14																
807-14														k ɔ r u		
2476-14														k a		
2842-14																
3719-14														k a		
4081-14																
4313-14														j		
4460-14														r u		
5810-14														j a j		
93-14														k u		
260-14																
385-14																
1703-14														n a		
2162-14														b ɛ r u		
2635-14														l u s u		
2735-14																
3031-14														d u s u		
5301-14														k a		
5605-14																
296-14																
1432-14														b ɛ r u		
1474-14														n a		
1788-14														k a		
2044-14																
3425-14														k a		
4184-14														k u		
4423-14																
4629-14																
4904-14														k a		
4980-14														k u		
5059-14														b ɛ		
5339-14														a j̃ a		
5905-14														b ɛ r u		
5922-14																
5938-14																
483-14																
629-14														k u		
1254-14																
1898-14																
3251-14														g e g u		
715-15															j ɛ	
1089-15															j ɛ	
1319-15															j ɛ	
1398-15															z u	
1557-15																
1626-15															d o l	
1840-15															j ɛ	
2247-15															j ɛ	
4677-15																
5162-15																
5406-15															d u	
359-15															b u	
1577-15																
2196-15															b i n	
2230-15															a aː	
2533-15															b i n	
3605-15																
3866-15															z u	
4553-15															b i d ɛ	
4822-15																
5254-15																
503-15															k i l e	
1356-15															d ɔ	
1881-15															b u	
2084-15																
2420-15															a z u	
3218-15															b u n	
3372-15																
4135-15															d u	
4694-15																
807-15															j a	
2842-15																
3719-15															j ɛ	
4081-15															a r̃ ɔ	
4313-15															j ɛ	
5514-15																
5810-15															i i l	
93-15															j ɛ	
260-15																
385-15																
1336-15																
1769-15																
2162-15															b i j ɛ	
2635-15															z u	
2735-15																
3031-15															d i d ɛ	
5605-15																
63-15																
296-15																
762-15																
1432-15															i b i	
1474-15															g o l	
2044-15																
2713-15																
3219-15																
3425-15															j ɛ	
4120-15															b uː d o	
4423-15																
4629-15																
4759-15															k u	
4904-15															a a	
4960-15																
4980-15															b i b ɛ	
5339-15															b i d ɛ	
5549-15																
5905-15															d i j ɛ	
5922-15																
5938-15																
1-15															j ɛ	
483-15																
629-15															g o l	
667-15															ɛ m ɛ	
1254-15																
1542-15															n o	
2901-15																
2957-15																
3048-15															b i	
3251-15															a aː	
3885-15															d a j	
715-16																n ɛː
1089-16																n a
1319-16																n a
1398-16																d o
1557-16																
1626-16																g ãː
1840-16																l ɛ
2247-16																g u
4677-16																
5162-16																
5406-16																l a
359-16																k i i l
1577-16																
2196-16																g a r a m a
2230-16																d o l
2533-16																g a m a
3605-16																
3866-16																ɛ dʒ u
4553-16																a r̃ a
4822-16																
5254-16																
503-16																
1356-16																n a
1881-16																n ɛ
2084-16																
2420-16																dʒ u l
3218-16																g u j
3372-16																
3718-16																a r̃ a
4135-16																b a ŋ a
4694-16																
807-16																b ɛː
2320-16																g o l o
2476-16																b ɛː
2842-16																
3719-16																l ɛ
4081-16																a aː
4313-16																n ɛ
4460-16																s u
5514-16																
5810-16																
93-16																k ɔ l
260-16																
890-16																
1336-16																
1703-16																g a
1769-16																
2162-16																b aː
2635-16																s o m
2735-16																
3031-16																d o
4591-16																
5301-16																g o l
5605-16																
63-16																
296-16																
463-16																b u l ɔ
1432-16																b e l
1474-16																t ɔ
1788-16																n ɛː
2044-16																
3219-16																
3425-16																j aː
4120-16																b o
4184-16																j ɛː
4423-16																
4960-16																
4980-16																t ɛː
5059-16																b ɛː
5125-16																b ɔ g ɔ
5339-16																d o l
5549-16																
5771-16																g ãː
5905-16																g a
5922-16																
1-16																p o l
483-16																
629-16																k ɔ l
667-16																ɛ ɲ ɛ
1254-16																
1683-16																g e
2551-16																b ɛː
2901-16																
3251-16																d a m
3885-16																d o
